,1_ALSWR,2_ALSWR,3_ALSWR,4_ALSWR,5_ALSWR,6_ALSWR,7_ALSWR,8_ALSWR,9_ALSWR,10_ALSWR,11_ALSWR,12_ALSWR,13_ALSWR,14_ALSWR,15_ALSWR,16_ALSWR,17_ALSWR,18_ALSWR,19_ALSWR,20_ALSWR,21_ALSWR,22_ALSWR,23_ALSWR,24_ALSWR,25_ALSWR,26_ALSWR,27_ALSWR,28_ALSWR,29_ALSWR,30_ALSWR,31_ALSWR,32_ALSWR,33_ALSWR,34_ALSWR,35_ALSWR,36_ALSWR,37_ALSWR,38_ALSWR,39_ALSWR,40_ALSWR,41_ALSWR,42_ALSWR,43_ALSWR,44_ALSWR,45_ALSWR,46_ALSWR,47_ALSWR,48_ALSWR,49_ALSWR,50_ALSWR,51_ALSWR,52_ALSWR,53_ALSWR,54_ALSWR,55_ALSWR,56_ALSWR,57_ALSWR,58_ALSWR,59_ALSWR,60_ALSWR,61_ALSWR,62_ALSWR,63_ALSWR,64_ALSWR,65_ALSWR,66_ALSWR,67_ALSWR,68_ALSWR,69_ALSWR,70_ALSWR,71_ALSWR,72_ALSWR,73_ALSWR,74_ALSWR,75_ALSWR,76_ALSWR,77_ALSWR,78_ALSWR,79_ALSWR,80_ALSWR,81_ALSWR,82_ALSWR,83_ALSWR,84_ALSWR,85_ALSWR,86_ALSWR,87_ALSWR,88_ALSWR,89_ALSWR,90_ALSWR,91_ALSWR,92_ALSWR,93_ALSWR,94_ALSWR,95_ALSWR,96_ALSWR,97_ALSWR,98_ALSWR,99_ALSWR,100_ALSWR
ACC,0.6786885245901639,0.6950819672131148,0.6836065573770492,0.6868852459016394,0.6934426229508197,0.6918032786885245,0.7163934426229508,0.6885245901639344,0.6885245901639344,0.6754098360655738,0.7262295081967213,0.7065573770491803,0.6885245901639344,0.7098360655737705,0.7180327868852459,0.7180327868852459,0.6655737704918033,0.6901639344262295,0.6868852459016394,0.6918032786885245,0.7032786885245902,0.6770491803278689,0.6950819672131148,0.6934426229508197,0.7278688524590164,0.6786885245901639,0.6950819672131148,0.6737704918032786,0.7098360655737705,0.6770491803278689,0.6819672131147541,0.7032786885245902,0.6983606557377049,0.6885245901639344,0.6934426229508197,0.7262295081967213,0.6901639344262295,0.6983606557377049,0.6950819672131148,0.7098360655737705,0.6950819672131148,0.6918032786885245,0.6819672131147541,0.7098360655737705,0.6852459016393443,0.6901639344262295,0.7180327868852459,0.7377049180327869,0.6885245901639344,0.7180327868852459,0.6934426229508197,0.6622950819672131,0.6836065573770492,0.7,0.6868852459016394,0.6918032786885245,0.7032786885245902,0.7295081967213115,0.7049180327868853,0.7,0.6688524590163935,0.7262295081967213,0.7032786885245902,0.6819672131147541,0.6721311475409836,0.6983606557377049,0.7262295081967213,0.6868852459016394,0.6721311475409836,0.6770491803278689,0.6934426229508197,0.6950819672131148,0.6639344262295082,0.6770491803278689,0.7163934426229508,0.7262295081967213,0.6836065573770492,0.6540983606557377,0.7049180327868853,0.6967213114754098,0.7098360655737705,0.7049180327868853,0.7016393442622951,0.6770491803278689,0.6819672131147541,0.6934426229508197,0.7147540983606557,0.7032786885245902,0.7016393442622951,0.7213114754098361,0.6655737704918033,0.7032786885245902,0.6819672131147541,0.6491803278688525,0.6786885245901639,0.7163934426229508,0.6918032786885245,0.6704918032786885,0.7098360655737705,0.6983606557377049
AUC,0.6132556467880166,0.6176383978714921,0.6086296688857066,0.6168426266466095,0.6094901024161306,0.6140890537927116,0.6315647405316251,0.6052549499405258,0.6108421450693937,0.6035550686143876,0.6274951069081103,0.6141157651213869,0.6125577445867033,0.6217337595052165,0.6350823916913816,0.6327511558874721,0.6004975174265451,0.6115671498107056,0.6166005792305986,0.6130084587483154,0.6189724998298197,0.6157873800967913,0.6177461053355328,0.6176565162725126,0.6236000774618591,0.61125743381912,0.6228241767964169,0.6043274303994002,0.6196976193619478,0.5956016157457077,0.6138838134791705,0.6222106391428635,0.6075903247771679,0.6268208849924131,0.6149896279833836,0.6331296591272455,0.6138827211156679,0.6074052429053711,0.6275933693326675,0.6191437518807905,0.6232800422270799,0.6186092949951718,0.5993167178189812,0.6174139322031733,0.6151470353398175,0.6171158302123761,0.6232194200984367,0.6342498591581577,0.6120513659403118,0.6245232473348381,0.6092251065856844,0.5967105312277545,0.6125702846790976,0.6153017527367438,0.6026825573297253,0.6212047105429708,0.6179517424508224,0.6123497031644535,0.6181882386665556,0.6059944982723338,0.6068448646604528,0.6232883467527095,0.6213949944439533,0.6195999294543395,0.5956964036927688,0.6110403781693262,0.6206593774350936,0.6208828919558836,0.601247137388825,0.6190211726981592,0.6216368741248346,0.6190712138180914,0.6021088026696277,0.5938309868873968,0.6277488565604132,0.6202943852530491,0.6029011596584932,0.6041300361507037,0.6173125270009,0.6231946734465585,0.6233185364229985,0.610759138319451,0.6170428822895327,0.6162894294021738,0.6179097959384819,0.6135111294270275,0.6231453058123094,0.6219927096523632,0.6207749867469353,0.6148875481086601,0.6012021561230124,0.6115935822804854,0.6152801347738159,0.5992101791696162,0.6163315744576328,0.6191176546351274,0.6176237563941165,0.6111359260498577,0.6162209101653946,0.6208026231572947
Fscore,0.0010366313348968241,0.0008795462276927147,0.0010065785943757536,0.0010284954685788094,0.0009879164691325854,0.0009820530433947172,0.001113399666278718,0.0010291968155042247,0.0009154100040642159,0.0010580352448879384,0.0011210271925965211,0.0011312309923447712,0.0010412138579986448,0.0010737177954814635,0.0010923908376012758,0.0010230603898412215,0.0010130250406199582,0.0008637563821770707,0.0009673490895558281,0.0009680025634574958,0.000993114742405089,0.0009308032213573763,0.0009596174818086069,0.0010471337438307854,0.0010111621880905697,0.0010612004910014075,0.0010196055364212438,0.00097006531913774,0.0011515657727988922,0.001091734233310496,0.0012493713014791552,0.000998714961207504,0.0009960763485356704,0.0008579370951558648,0.0010980299604389844,0.001058443191538801,0.0009974346870124501,0.001035535521277171,0.0011185415609485366,0.001033703657701302,0.0010466029744794676,0.0010224527773421684,0.0009404786080035756,0.0009753862648133009,0.0010579079422699986,0.0010037596722583756,0.0009748698391681283,0.0012414035757414962,0.0008930093410383573,0.0009909022908553282,0.0010963254465021321,0.0010596839578416633,0.0009658184568434396,0.0010155252109364482,0.0009462166841708053,0.0009763688380717904,0.0010384472680111344,0.00106021352515095,0.0010285970531135529,0.0011025173431851087,0.0009782837432651202,0.0011293996377269707,0.0009431423831978426,0.001106179904829669,0.0009445562187266032,0.0009653585630084177,0.001166654988927001,0.0010870367911614749,0.0009365688706201752,0.0008945573923432223,0.0009519722061195244,0.0010248670877555197,0.0009409559328562167,0.0011487108699840753,0.001100860845621317,0.0010476357513054442,0.0011019469219522198,0.0009099491134817072,0.0009333927798105222,0.000956276900278314,0.0009143001032375673,0.0011017317708550609,0.0009787311866867794,0.000900523668547406,0.0010629542944147344,0.0010132500256339555,0.0009338908804464624,0.00102438171564234,0.0010790293020540732,0.0011036041621190532,0.0009680297463201686,0.001005787653011492,0.0008834035543569266,0.0008925884575816468,0.0009806017659479416,0.0010590885124908322,0.00108007738096278,0.0010185146553167014,0.0010101975423700937,0.0010835814053219974
HR@10,0.014754098360655738,0.014754098360655738,0.013114754098360656,0.009836065573770493,0.014754098360655738,0.009836065573770493,0.014754098360655738,0.011475409836065573,0.009836065573770493,0.009836065573770493,0.013114754098360656,0.013114754098360656,0.013114754098360656,0.011475409836065573,0.009836065573770493,0.013114754098360656,0.011475409836065573,0.013114754098360656,0.013114754098360656,0.014754098360655738,0.014754098360655738,0.009836065573770493,0.009836065573770493,0.014754098360655738,0.009836065573770493,0.00819672131147541,0.014754098360655738,0.014754098360655738,0.011475409836065573,0.014754098360655738,0.006557377049180328,0.003278688524590164,0.011475409836065573,0.009836065573770493,0.00819672131147541,0.013114754098360656,0.009836065573770493,0.013114754098360656,0.011475409836065573,0.011475409836065573,0.013114754098360656,0.013114754098360656,0.013114754098360656,0.014754098360655738,0.011475409836065573,0.011475409836065573,0.014754098360655738,0.00819672131147541,0.009836065573770493,0.011475409836065573,0.013114754098360656,0.00819672131147541,0.014754098360655738,0.013114754098360656,0.013114754098360656,0.011475409836065573,0.00819672131147541,0.009836065573770493,0.013114754098360656,0.011475409836065573,0.00819672131147541,0.011475409836065573,0.011475409836065573,0.00819672131147541,0.013114754098360656,0.009836065573770493,0.011475409836065573,0.013114754098360656,0.013114754098360656,0.009836065573770493,0.011475409836065573,0.01639344262295082,0.011475409836065573,0.009836065573770493,0.011475409836065573,0.00819672131147541,0.013114754098360656,0.014754098360655738,0.014754098360655738,0.011475409836065573,0.013114754098360656,0.013114754098360656,0.013114754098360656,0.011475409836065573,0.011475409836065573,0.014754098360655738,0.009836065573770493,0.013114754098360656,0.014754098360655738,0.011475409836065573,0.009836065573770493,0.013114754098360656,0.013114754098360656,0.011475409836065573,0.013114754098360656,0.013114754098360656,0.00819672131147541,0.00819672131147541,0.013114754098360656,0.006557377049180328
HR@2,0.003278688524590164,0.003278688524590164,0.0,0.0,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.003278688524590164,0.003278688524590164,0.001639344262295082,0.003278688524590164,0.001639344262295082,0.003278688524590164,0.0,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.003278688524590164,0.001639344262295082,0.003278688524590164,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.003278688524590164,0.0,0.001639344262295082,0.003278688524590164,0.001639344262295082,0.003278688524590164,0.0,0.0,0.001639344262295082,0.0,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.003278688524590164,0.001639344262295082,0.003278688524590164,0.0,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.003278688524590164,0.001639344262295082,0.003278688524590164,0.001639344262295082,0.003278688524590164,0.003278688524590164,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.0,0.0,0.0,0.003278688524590164,0.0,0.0,0.003278688524590164,0.003278688524590164,0.001639344262295082,0.0,0.001639344262295082,0.003278688524590164,0.001639344262295082,0.001639344262295082,0.003278688524590164,0.0,0.003278688524590164,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.003278688524590164,0.003278688524590164,0.001639344262295082,0.001639344262295082,0.003278688524590164,0.003278688524590164,0.0,0.001639344262295082,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.001639344262295082,0.003278688524590164,0.003278688524590164,0.001639344262295082,0.0,0.003278688524590164,0.001639344262295082,0.001639344262295082,0.003278688524590164,0.001639344262295082,0.0,0.001639344262295082,0.0
HR@5,0.00819672131147541,0.00819672131147541,0.004918032786885246,0.004918032786885246,0.006557377049180328,0.004918032786885246,0.006557377049180328,0.004918032786885246,0.004918032786885246,0.006557377049180328,0.006557377049180328,0.006557377049180328,0.00819672131147541,0.003278688524590164,0.003278688524590164,0.006557377049180328,0.004918032786885246,0.004918032786885246,0.00819672131147541,0.006557377049180328,0.00819672131147541,0.004918032786885246,0.003278688524590164,0.006557377049180328,0.006557377049180328,0.003278688524590164,0.006557377049180328,0.00819672131147541,0.003278688524590164,0.00819672131147541,0.003278688524590164,0.0,0.004918032786885246,0.001639344262295082,0.004918032786885246,0.004918032786885246,0.003278688524590164,0.004918032786885246,0.006557377049180328,0.006557377049180328,0.006557377049180328,0.004918032786885246,0.006557377049180328,0.006557377049180328,0.006557377049180328,0.006557377049180328,0.006557377049180328,0.003278688524590164,0.003278688524590164,0.006557377049180328,0.00819672131147541,0.003278688524590164,0.006557377049180328,0.004918032786885246,0.004918032786885246,0.003278688524590164,0.003278688524590164,0.001639344262295082,0.006557377049180328,0.004918032786885246,0.001639344262295082,0.00819672131147541,0.00819672131147541,0.004918032786885246,0.004918032786885246,0.003278688524590164,0.00819672131147541,0.006557377049180328,0.006557377049180328,0.004918032786885246,0.004918032786885246,0.00819672131147541,0.004918032786885246,0.004918032786885246,0.003278688524590164,0.001639344262295082,0.006557377049180328,0.00819672131147541,0.006557377049180328,0.004918032786885246,0.006557377049180328,0.006557377049180328,0.004918032786885246,0.004918032786885246,0.006557377049180328,0.00819672131147541,0.004918032786885246,0.004918032786885246,0.00819672131147541,0.006557377049180328,0.004918032786885246,0.004918032786885246,0.006557377049180328,0.004918032786885246,0.006557377049180328,0.006557377049180328,0.001639344262295082,0.001639344262295082,0.006557377049180328,0.001639344262295082
Lin's AUC,0.6334052187590772,0.6441691742496773,0.6379213062756128,0.6589184053582449,0.6513406065260378,0.6363630427515605,0.6596899089050989,0.6394223256320565,0.6541460022972738,0.6373874274604602,0.6576007523136207,0.6718511878685097,0.6396551275967415,0.6702996840186654,0.6611746144659955,0.6710831066240112,0.6083569139433479,0.6503965896412924,0.6406761013572901,0.6673937489894731,0.6497899862251522,0.6436622343349119,0.6535595374288488,0.6637167066614009,0.687116133187986,0.6276975509014289,0.6494603422382036,0.6290378972197415,0.6729227864995255,0.6341912171151723,0.6326762889212115,0.6608977151206036,0.6523848965543732,0.6383975611460061,0.6343972874030358,0.6577016936817597,0.6665624311854255,0.6645269212288026,0.6475841339581256,0.6626593600734515,0.6404267781642623,0.6334485254503239,0.6429240358159585,0.6685635521302776,0.6334111253500323,0.6463394351657561,0.6527022206027326,0.6773433702489688,0.6552318688960246,0.6690808484770118,0.6574839497409912,0.6270476396345217,0.6610795326376974,0.6626370109008926,0.6537973906524313,0.6469406515505505,0.6567707809132202,0.6803621930095949,0.6577743144312005,0.6595472847329925,0.626672388754617,0.6717451546816763,0.6453021855302823,0.6391368830188491,0.638222397863508,0.6660199089418789,0.6504200200354027,0.6621516957377654,0.6513408435933404,0.6310757968480145,0.6501572963703692,0.6437688041303178,0.6256652745150247,0.6442281668825397,0.6748591888082383,0.6849030380921446,0.6268503352540575,0.6116963138303683,0.6622327370790414,0.652303542091027,0.6602292195301342,0.6675763835599235,0.6588619758279701,0.6455654583508903,0.657076806104855,0.6497880322296589,0.6771723781208032,0.6621555839124891,0.6576578396227835,0.6750634252263595,0.635584060663885,0.6559225242794142,0.6416534118542754,0.5933382083560864,0.6366082017292393,0.6814860709057824,0.6350289548358957,0.6391759362026993,0.6709719666265714,0.6548111343687653
NDCGk,0.2134210434460235,0.2262017503091006,0.22193972644624604,0.2344488845752079,0.22703685007537608,0.22389873603422727,0.24098193357299444,0.22419374382469576,0.23097753856970213,0.22480954722368743,0.23529599093826153,0.22168348779643227,0.23556646920215651,0.22774916048011004,0.224773902476672,0.22178784348793482,0.2221458338277552,0.23003943112783384,0.2266243882932944,0.22099679529555993,0.22254189127851048,0.22290352911038025,0.22275338343121515,0.23039932889998654,0.21285522740841603,0.21456266462962262,0.22991252007363128,0.21489044749206662,0.22522332700979622,0.22493029594457814,0.2334172187362385,0.2307353067458931,0.22180671361092016,0.2239424018710065,0.22030312412912423,0.22534833639074361,0.23290494558740443,0.225427734865917,0.22815303784540283,0.21859138897915117,0.22881269864816808,0.2206294473925522,0.2162413905410871,0.2199950757071345,0.22651344350034464,0.23004097983214852,0.2257244474799188,0.23462674233454628,0.22287852500714125,0.2297732214220199,0.21821904804183279,0.2271731447855498,0.21940756170876174,0.23023582163779083,0.22404818955743722,0.23513299811159216,0.21733884793438704,0.21538023107298027,0.22223064315734511,0.22636480642702542,0.22067582373454525,0.23069265683481135,0.21796673938950734,0.23103215825194942,0.2234101834666632,0.22968872399110718,0.22295857422340096,0.23235403257593526,0.222264971767559,0.22334109395947635,0.22650086944670164,0.2249577841488719,0.2126788786584202,0.24069996987681488,0.2338523669019648,0.22279724469309942,0.23109029712242138,0.2233828640206159,0.2151120293871999,0.22890356673330922,0.2267174688527839,0.21996885216431664,0.22657244492968026,0.22399512789251413,0.22743780592207485,0.2232527674557759,0.2121251940069336,0.22214633159675715,0.22968381937831234,0.22096000730786777,0.2210962622200673,0.22248182930377894,0.2208900509100355,0.22655001572613556,0.22476061755166263,0.21863902354572423,0.22575731305290508,0.2285446991859153,0.2193326021573246,0.2221504768491655
global AUC,0.6873807451776176,0.7011862853073004,0.6912161091404846,0.6960325217437944,0.7018377628707396,0.6988183974685149,0.7202046788400732,0.696195221749256,0.6951794700285451,0.6846574070157868,0.7311614819151829,0.7129665146309659,0.6958196883984632,0.7157899678548364,0.7230316350645369,0.7232955509397089,0.674299470162474,0.6977599858970267,0.6948027600612323,0.6998092680930377,0.7093740137939889,0.6861795049953767,0.7038814999652703,0.7028643489395432,0.7339944396735759,0.6875320975459001,0.7027042801329046,0.6828133488518259,0.7177497877115306,0.6869140216774776,0.6911460980885016,0.7107369526731353,0.7059297966462353,0.6962329303345416,0.702006380704525,0.7315468056630345,0.6987508517834964,0.705842139505151,0.7017259053337622,0.7157930728589694,0.7014294437718341,0.6980502437680938,0.6905130499722776,0.7151021036229269,0.6934405160965408,0.6972668351160362,0.723521515009536,0.7413844695400515,0.6960435029715332,0.7240437400637103,0.7015801201778742,0.6718748615106563,0.6913743237890098,0.7074870178134685,0.6946164266468992,0.6999874536353865,0.7112563427922038,0.7358412490670379,0.7110313579200173,0.7083412619387486,0.6784551865303596,0.732684930239907,0.7101301202047232,0.691460764829798,0.6812852003784253,0.7063333287321576,0.7306042473866401,0.6957691839111003,0.6816258948247603,0.6866060861302877,0.699487971236101,0.7033470286231791,0.6731019840976408,0.6863351863648435,0.7228594652702764,0.7318208309641754,0.6914528475430652,0.6630458943932817,0.7123450889590001,0.7033308450131345,0.7156508270287482,0.7134517607600318,0.7096920808780611,0.6855008862844199,0.6901685098061746,0.7006072573138404,0.7205758721342241,0.7108080076761516,0.7084496196338349,0.727552896967277,0.6755953324238588,0.711406434838361,0.6875961165400599,0.6591041564002269,0.6871295099118965,0.7237267185100228,0.6990563756616572,0.680217846521383,0.7160736035070184,0.7062139582223116
global NDCG,0.7488137604845384,0.7398931546598211,0.7284617339584786,0.7229284963035983,0.7353605502520523,0.7374472299812922,0.7459699788423401,0.7367055522725892,0.7303398235597537,0.7157844286079255,0.7521432927686267,0.7415447420171374,0.7483910436758325,0.7290855363573474,0.727047520587402,0.7399687930806377,0.7214262261752028,0.7254540406601292,0.7529314442857117,0.7394692289013608,0.7448870777190664,0.7186782169296141,0.7263724072594082,0.7399495286859333,0.7492552054959618,0.7203681958516863,0.7393315879311431,0.7427354352019984,0.737047874394117,0.7530825963815307,0.7223489578070248,0.7127352939525731,0.744242882463589,0.7025267775711891,0.7238887639025687,0.7478315647960784,0.7306357203484658,0.746435540157843,0.751263668449152,0.7287558259992528,0.7418779712245511,0.7223876986769279,0.7331968904164692,0.7427130574308886,0.7319850738277222,0.7367823868576313,0.748784505382872,0.7486875124465064,0.7184819339758721,0.7545718015807367,0.7469584751527081,0.7161863970750533,0.7326654648227258,0.7410855352057512,0.732481897574281,0.721810636104579,0.7257593131643171,0.7340824030347958,0.7554962658681583,0.737492744353493,0.7175168647842488,0.7521509842620614,0.7441611381100125,0.7356720965476897,0.7251989473377114,0.741963550298487,0.7522799603348811,0.7423272515150197,0.7312962654386804,0.7263723953274994,0.717766734477222,0.7558789507621131,0.7202148317384864,0.7349896112161721,0.7332309557966228,0.7313344523650451,0.7506248017405774,0.7319284800161753,0.7429833426034058,0.7401573215574071,0.7486667190961949,0.7598114339878923,0.7307046797198584,0.7143054206524502,0.7365595899427976,0.7405906372560699,0.7433479029678509,0.7411697500661593,0.751153692802112,0.7440637188987559,0.7151022524349293,0.7275469142245361,0.7298042090832659,0.7118511969055216,0.7260314237804285,0.7607554828583726,0.7279573196219911,0.7056285588763002,0.736266200093714,0.727165335018128
