,1_BNNR,2_BNNR,3_BNNR,4_BNNR,5_BNNR,6_BNNR,7_BNNR,8_BNNR,9_BNNR,10_BNNR,11_BNNR,12_BNNR,13_BNNR,14_BNNR,15_BNNR,16_BNNR,17_BNNR,18_BNNR,19_BNNR,20_BNNR,21_BNNR,22_BNNR,23_BNNR,24_BNNR,25_BNNR,26_BNNR,27_BNNR,28_BNNR,29_BNNR,30_BNNR,31_BNNR,32_BNNR,33_BNNR,34_BNNR,35_BNNR,36_BNNR,37_BNNR,38_BNNR,39_BNNR,40_BNNR,41_BNNR,42_BNNR,43_BNNR,44_BNNR,45_BNNR,46_BNNR,47_BNNR,48_BNNR,49_BNNR,50_BNNR,51_BNNR,52_BNNR,53_BNNR,54_BNNR,55_BNNR,56_BNNR,57_BNNR,58_BNNR,59_BNNR,60_BNNR,61_BNNR,62_BNNR,63_BNNR,64_BNNR,65_BNNR,66_BNNR,67_BNNR,68_BNNR,69_BNNR,70_BNNR,71_BNNR,72_BNNR,73_BNNR,74_BNNR,75_BNNR,76_BNNR,77_BNNR,78_BNNR,79_BNNR,80_BNNR,81_BNNR,82_BNNR,83_BNNR,84_BNNR,85_BNNR,86_BNNR,87_BNNR,88_BNNR,89_BNNR,90_BNNR,91_BNNR,92_BNNR,93_BNNR,94_BNNR,95_BNNR,96_BNNR,97_BNNR,98_BNNR,99_BNNR,100_BNNR
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0006846231899689475,0.0005511549323618706,0.0006135395853730933,0.0006886167236804766,0.0006327347900730319,0.0006420947469191076,0.0007349217994746627,0.0006881477684913984,0.000590224319045428,0.0006527365724313957,0.0007002224083356702,0.0007292930645960257,0.0006843920564168245,0.0006655891382551025,0.0006946820752449101,0.0006698235389218048,0.0006524046290352208,0.0005625482341732707,0.0006099686119215136,0.0006315228604968824,0.0006242283872290558,0.000588774456985768,0.0006225714766433499,0.000684331953180747,0.000630594498107557,0.0006781756454963292,0.0006529156230058405,0.0006248600954209731,0.0007280359253977951,0.0006931926672148971,0.0007933325727759776,0.0006503793385400636,0.0006484800381323188,0.0005514521468453004,0.00069346954733562,0.000674566896427154,0.0006801978972693281,0.0006557975476508336,0.0007590884764660893,0.0006286138814443166,0.0006759335517225405,0.0006614706417734736,0.0006165115137721249,0.0006132825205411865,0.0006541166407524824,0.0006567917177239626,0.0006100603788945213,0.000788242808420279,0.0005881517247349904,0.0006098961192041884,0.0007146941122825147,0.0006732348527729807,0.0006428325067042894,0.0006516342751622324,0.0006044671571646468,0.0006345899062420886,0.000684215321764503,0.0006628632337623553,0.0006390048146155309,0.0007050775423548543,0.0006409374142501178,0.0007278939408428893,0.000626839644767529,0.0006713998713431769,0.0006244435885346984,0.000622044335788064,0.0007325806122732834,0.0006999302271701308,0.000623104920190775,0.0005743456785351211,0.0006275236379794868,0.0006846907469526002,0.0005813079698259552,0.0007398865254520811,0.0007003530378975345,0.0006312400598379941,0.0007377144041854748,0.0006157726087732402,0.0005821871767739319,0.0005933617341118088,0.0005683546927286206,0.0006980668135729265,0.000606053686153125,0.0006144782504157115,0.0007095309209265365,0.0006570846502947837,0.0005842763369557296,0.0006590698735905775,0.0006797848788214873,0.0007040814017660435,0.0006369157322854013,0.0006361709825217555,0.0005853992898302693,0.0005822264715046324,0.0006308078535208597,0.0006602097242829581,0.0006884403504498622,0.0006712180702503975,0.0006567922112657034,0.0006977655102217018
HR@10,0.01639344262295082,0.014754098360655738,0.01639344262295082,0.014754098360655738,0.013114754098360656,0.01639344262295082,0.013114754098360656,0.013114754098360656,0.014754098360655738,0.013114754098360656,0.014754098360655738,0.014754098360655738,0.014754098360655738,0.01639344262295082,0.01639344262295082,0.013114754098360656,0.014754098360655738,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.013114754098360656,0.011475409836065573,0.013114754098360656,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.013114754098360656,0.01639344262295082,0.014754098360655738,0.01639344262295082,0.013114754098360656,0.013114754098360656,0.014754098360655738,0.011475409836065573,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.014754098360655738,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.013114754098360656,0.013114754098360656,0.01639344262295082,0.01639344262295082,0.014754098360655738,0.014754098360655738,0.013114754098360656,0.014754098360655738,0.014754098360655738,0.013114754098360656,0.014754098360655738,0.013114754098360656,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.014754098360655738,0.01639344262295082,0.01639344262295082,0.014754098360655738,0.01639344262295082,0.014754098360655738,0.01639344262295082,0.01639344262295082,0.014754098360655738,0.01639344262295082,0.013114754098360656,0.014754098360655738,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.014754098360655738,0.01639344262295082,0.014754098360655738,0.013114754098360656,0.014754098360655738,0.014754098360655738,0.01639344262295082,0.013114754098360656,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.013114754098360656,0.01639344262295082,0.014754098360655738,0.01639344262295082,0.014754098360655738,0.014754098360655738,0.01639344262295082,0.014754098360655738,0.014754098360655738,0.01639344262295082,0.013114754098360656,0.014754098360655738,0.01639344262295082,0.01639344262295082,0.014754098360655738
HR@2,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.001639344262295082,0.003278688524590164,0.003278688524590164,0.001639344262295082,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.001639344262295082,0.001639344262295082,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.001639344262295082,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.001639344262295082,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164,0.003278688524590164
HR@5,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.006557377049180328,0.00819672131147541,0.00819672131147541,0.006557377049180328,0.006557377049180328,0.006557377049180328,0.004918032786885246,0.00819672131147541,0.006557377049180328,0.006557377049180328,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.006557377049180328,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.006557377049180328,0.00819672131147541,0.00819672131147541,0.006557377049180328,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.006557377049180328,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.006557377049180328,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.006557377049180328,0.004918032786885246,0.006557377049180328,0.006557377049180328,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.006557377049180328,0.00819672131147541,0.006557377049180328,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.006557377049180328,0.00819672131147541,0.006557377049180328,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.006557377049180328,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.006557377049180328,0.00819672131147541,0.00819672131147541,0.006557377049180328,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541
Lin's AUC,0.9018303022119254,0.9092297631496224,0.9060320097598121,0.9045174290964839,0.8976511966551745,0.9053754218379406,0.9123472822998631,0.8992256741907082,0.9027466235142251,0.9040599791829365,0.8960500993707502,0.9012162574250735,0.9174288626520753,0.8982433495882889,0.9024581315876254,0.9157329964220462,0.8991948315374685,0.9101781715711155,0.8945803559608031,0.8989344576345764,0.8970224680494049,0.8889793532894392,0.8964707730308327,0.9157300386138327,0.9018716660391987,0.9039653975762407,0.9094792685580139,0.9124127793420259,0.901806224329724,0.8973276778501377,0.9028528744204044,0.9059298272873193,0.8979556274538636,0.9046733656768151,0.9102234996403202,0.8983612361005342,0.8930586616016706,0.9027059178972954,0.9003133469954903,0.9085624754810373,0.8849198963395103,0.9044899378675285,0.9107263296361245,0.9088223632951662,0.8882908340906597,0.9031906876972119,0.9052718597961918,0.9097788859157706,0.9097227650065054,0.8796189258312463,0.885995831607313,0.8913132648040232,0.908021986256086,0.9114817231988758,0.9210739294133626,0.9159620963475729,0.9063898499194386,0.9085908664990321,0.9177139449243182,0.9095970753230251,0.8920780875427362,0.9054019497066154,0.9012511382640017,0.9130172912762284,0.9036875182903559,0.9057679243893818,0.9106995266100422,0.9092516691315856,0.9201147344354828,0.8924779269248628,0.8957511059082586,0.8915548800716597,0.8815971295283915,0.9075338767136794,0.9033514111049685,0.8845064762396582,0.9044993579504385,0.8939792115023822,0.9017932138783604,0.8997610355055159,0.901412332947362,0.9106498022178124,0.9031205686969456,0.8898577223299452,0.9107305465919027,0.8955096939733415,0.9233948837824433,0.9112655707831012,0.9044017768187683,0.9194156831026877,0.9031763970704989,0.9109084466697933,0.9111142037817156,0.9068005515194464,0.9035190189902503,0.9166914395274125,0.9017797997229794,0.9134807051669053,0.8991181850757823,0.9056618819372535
NDCGk,0.20083699848857864,0.20199768818665303,0.19989463152968703,0.2086139471927637,0.20830175680330548,0.20519718349626814,0.2022363264862129,0.20831327817420728,0.19666666927780715,0.19987934638287194,0.20122414085309107,0.19908401444683044,0.20742807873558763,0.20235963937229745,0.20007923807628963,0.20434885597409705,0.2031408550106618,0.2036934882312953,0.19808272169384594,0.19018979155123947,0.2036216959705528,0.2058214062382022,0.20012520550611027,0.20252251044313374,0.18693954447797975,0.1971608283446518,0.2044705590482901,0.19717942862324836,0.2001555055773041,0.2099209934148484,0.2040989803189235,0.20743989673407343,0.1971460608268644,0.19491352396757766,0.20202149894495397,0.2024443001969337,0.19897823685202026,0.20531436934504155,0.20484972703918894,0.1971210442127676,0.20175878539051523,0.20452026915374535,0.20361066295800087,0.20557409790053746,0.1979311438341674,0.20386566259727107,0.19507384759690702,0.2046569373207642,0.2059706927598137,0.20523230412042573,0.19462603266758793,0.20214263016844494,0.2059177440148821,0.20228503021444452,0.20051228489705009,0.1976709687259904,0.20313920379394096,0.20897883263618722,0.20631314377321355,0.19772596366053954,0.20420779672232428,0.2056923406537057,0.19955611902832093,0.20105144639874045,0.19639323721451998,0.20477468686231182,0.20440125003933732,0.20186409384760692,0.20287711973743322,0.2023768927669132,0.2038062589684362,0.2088334507365891,0.18726867163982497,0.20496424163243293,0.20437218261448836,0.19560358913140605,0.20616734575152698,0.2016714303287183,0.1934172294929104,0.20445632575485045,0.19918113999036252,0.19871564005869177,0.1991600267239808,0.19979165202986762,0.20182501809040432,0.2023496697107561,0.19802688892369918,0.20364420203580327,0.20641336405167496,0.1973090813890886,0.20787058493041938,0.20941465764337003,0.19421254390205195,0.19791481659508778,0.19622973441732824,0.19475154572059822,0.2012087713970491,0.20576894085179115,0.20479814300381832,0.20371420854328026
global AUC,0.9811782562025143,0.9841564779309542,0.9840235123674083,0.9837679702114179,0.9810689730077221,0.9839880717302071,0.9838988131271742,0.982156616787497,0.9821704440057991,0.9817947116567762,0.9816305649657676,0.9824434601016289,0.9851914045525677,0.9836659378172226,0.9826909981065792,0.9839142023236486,0.9797323713864172,0.982995117941671,0.9821576212547546,0.9822902346230198,0.9821323374240527,0.9799713966892949,0.9824669797972259,0.9854083773769589,0.982538920816172,0.9833893065868762,0.9846115473998149,0.9835516401828975,0.9829773423457842,0.9832352014097412,0.982778565224655,0.982888961861926,0.981605576473709,0.9828077500524108,0.983781937991962,0.982431278567104,0.9819027882273783,0.9827164730387564,0.9835952239540298,0.9839790220487828,0.9802856022600893,0.9815498301202648,0.9840399060311404,0.9831999313424519,0.9791206524059058,0.9828822322471705,0.9837907760403478,0.9835418671586997,0.9832531459961888,0.9796034347473588,0.9800117649017218,0.9793953536692889,0.9827472767013219,0.9846160280186981,0.9856908427300245,0.9837827118739685,0.9834615255716043,0.9842680906685214,0.9834119560600536,0.9838629239542793,0.982551170262791,0.9838510535519083,0.9838893670286403,0.9840283672924867,0.9816979274460664,0.9830564946815512,0.9842441540242511,0.9846810277898502,0.9846072436682476,0.9819029872256086,0.9811150616295939,0.9818595582308779,0.9781173522887466,0.9831747106857912,0.9819464478073603,0.9800999463873498,0.981623451568711,0.9823181480731934,0.9832244207595838,0.9809654528648527,0.9809011069450287,0.9841629122070663,0.9825995252533966,0.9802640425391252,0.9838498437690163,0.9803295682341716,0.9854294632926126,0.9825594476415598,0.9816131605173739,0.9848146029828949,0.9817054862201148,0.984024478930241,0.9823620287623196,0.98293137217524,0.9815442013131799,0.9838058935884444,0.9811864072332004,0.9844852593324405,0.9815301561444352,0.9830541825116376
global NDCG,0.8219124956895084,0.8377854076856611,0.8345142081509551,0.8359214596733996,0.8226076612208049,0.8480045272625845,0.8310746402919637,0.8261692998803188,0.8306304342401617,0.810647464603348,0.8374147099351688,0.8344424649284882,0.8326833511476656,0.8452221199903616,0.8317328199675134,0.8266272321439949,0.8273306077920826,0.8391037869072503,0.8405018404303003,0.8351116247640593,0.8312209999468814,0.8228240785546405,0.8278855015325983,0.8410976302173115,0.8384249814802491,0.8419622806400892,0.8378373618653199,0.8384912406077736,0.8451068060240131,0.8334202954063868,0.8277250627626329,0.8339665682368074,0.8393842400716355,0.8196512102410272,0.8433116042670978,0.8290343293881418,0.8263018226130112,0.8397284819042772,0.8449970661988708,0.8408582216084887,0.827997026514233,0.8263136058640709,0.8372604464243136,0.835134889312159,0.8190456728908962,0.8291404800045572,0.8366524240831479,0.8430225825940264,0.8291164813014877,0.8313920590865872,0.8284402904460082,0.8257307002727072,0.8320720738238178,0.8288491835555745,0.8268723710026497,0.8270817735514104,0.8379964913767933,0.8391708506270726,0.8452995468736886,0.8308668791415337,0.8300032285515626,0.8412668494411839,0.8292862746038874,0.8335676717751603,0.8219460875307508,0.8359776577947596,0.8445719572172654,0.821941471829385,0.8325533930864261,0.8200627294219901,0.8182107264993724,0.8353387725601538,0.8255093573082858,0.83797426794182,0.8377153939586648,0.8226232343889001,0.8360615793499163,0.8282803042024571,0.8361842265797229,0.8282668489197182,0.8293422252919119,0.837842826611719,0.833405602098157,0.8264380935785121,0.8341279965087779,0.8210997559767838,0.8414027664653821,0.8295152873953932,0.8345353560803749,0.8285845708027337,0.8222124608885688,0.8297483171254314,0.8169673338299103,0.8291269158408919,0.8264939998825303,0.8451498214208198,0.8283694745002517,0.8310261137083026,0.8375098611753056,0.8379224245450768
