,1_DDA_SKF,2_DDA_SKF,3_DDA_SKF,4_DDA_SKF,5_DDA_SKF,6_DDA_SKF,7_DDA_SKF,8_DDA_SKF,9_DDA_SKF,10_DDA_SKF,11_DDA_SKF,12_DDA_SKF,13_DDA_SKF,14_DDA_SKF,15_DDA_SKF,16_DDA_SKF,17_DDA_SKF,18_DDA_SKF,19_DDA_SKF,20_DDA_SKF,21_DDA_SKF,22_DDA_SKF,23_DDA_SKF,24_DDA_SKF,25_DDA_SKF,26_DDA_SKF,27_DDA_SKF,28_DDA_SKF,29_DDA_SKF,30_DDA_SKF,31_DDA_SKF,32_DDA_SKF,33_DDA_SKF,34_DDA_SKF,35_DDA_SKF,36_DDA_SKF,37_DDA_SKF,38_DDA_SKF,39_DDA_SKF,40_DDA_SKF,41_DDA_SKF,42_DDA_SKF,43_DDA_SKF,44_DDA_SKF,45_DDA_SKF,46_DDA_SKF,47_DDA_SKF,48_DDA_SKF,49_DDA_SKF,50_DDA_SKF,51_DDA_SKF,52_DDA_SKF,53_DDA_SKF,54_DDA_SKF,55_DDA_SKF,56_DDA_SKF,57_DDA_SKF,58_DDA_SKF,59_DDA_SKF,60_DDA_SKF,61_DDA_SKF,62_DDA_SKF,63_DDA_SKF,64_DDA_SKF,65_DDA_SKF,66_DDA_SKF,67_DDA_SKF,68_DDA_SKF,69_DDA_SKF,70_DDA_SKF,71_DDA_SKF,72_DDA_SKF,73_DDA_SKF,74_DDA_SKF,75_DDA_SKF,76_DDA_SKF,77_DDA_SKF,78_DDA_SKF,79_DDA_SKF,80_DDA_SKF,81_DDA_SKF,82_DDA_SKF,83_DDA_SKF,84_DDA_SKF,85_DDA_SKF,86_DDA_SKF,87_DDA_SKF,88_DDA_SKF,89_DDA_SKF,90_DDA_SKF,91_DDA_SKF,92_DDA_SKF,93_DDA_SKF,94_DDA_SKF,95_DDA_SKF,96_DDA_SKF,97_DDA_SKF,98_DDA_SKF,99_DDA_SKF,100_DDA_SKF
ACC,0.5377049180327869,0.6327868852459017,0.6311475409836066,0.5754098360655737,0.580327868852459,0.5950819672131148,0.5688524590163935,0.5672131147540984,0.5737704918032787,0.6065573770491803,0.5245901639344263,0.7032786885245902,0.6114754098360655,0.5754098360655737,0.5737704918032787,0.5540983606557377,0.5770491803278689,0.6196721311475409,0.5639344262295082,0.5819672131147541,0.580327868852459,0.5983606557377049,0.5442622950819672,0.5901639344262295,0.6049180327868853,0.5540983606557377,0.6131147540983607,0.5901639344262295,0.6081967213114754,0.578688524590164,0.5934426229508196,0.5704918032786885,0.6721311475409836,0.6032786885245902,0.5901639344262295,0.6229508196721312,0.5360655737704918,0.559016393442623,0.5606557377049181,0.5836065573770491,0.5295081967213114,0.5704918032786885,0.6672131147540984,0.5852459016393443,0.5622950819672131,0.5983606557377049,0.5704918032786885,0.6295081967213115,0.5377049180327869,0.6131147540983607,0.6032786885245902,0.6147540983606558,0.5245901639344263,0.5688524590163935,0.6622950819672131,0.5508196721311476,0.5262295081967213,0.6459016393442623,0.5491803278688525,0.6622950819672131,0.5688524590163935,0.6229508196721312,0.5344262295081967,0.5901639344262295,0.559016393442623,0.5836065573770491,0.6131147540983607,0.5475409836065573,0.5278688524590164,0.5622950819672131,0.6180327868852459,0.5836065573770491,0.6032786885245902,0.6524590163934426,0.5655737704918032,0.6196721311475409,0.5721311475409836,0.5606557377049181,0.5229508196721312,0.6245901639344262,0.6262295081967213,0.5852459016393443,0.559016393442623,0.5836065573770491,0.6147540983606558,0.5983606557377049,0.6196721311475409,0.5868852459016394,0.5573770491803278,0.5901639344262295,0.5836065573770491,0.5918032786885246,0.5475409836065573,0.5098360655737705,0.5622950819672131,0.5901639344262295,0.5311475409836065,0.5573770491803278,0.5868852459016394,0.5672131147540984
AUC,0.5425744257049274,0.576239277328388,0.5487426212190345,0.5538920703611949,0.5394357564593568,0.566855452041685,0.5616050561599383,0.5538199321926441,0.558304926151622,0.5577667501124756,0.54168031065752,0.5778187185245507,0.5566742620180081,0.5536364813086345,0.5361088298861526,0.5487625871360658,0.556385415437555,0.5535720033369685,0.5415111844088111,0.5564907227760324,0.572806309615795,0.5671472819729466,0.5536758442424993,0.5546347004674154,0.566826238238941,0.5446654142655449,0.5738257905380224,0.5627110636024585,0.5579044539495066,0.5448992873564248,0.5633773632522482,0.5614275990650288,0.5718748322073864,0.5571407340866738,0.5705729632054105,0.5553249973215445,0.5389549025638525,0.5405102647059439,0.554410606017142,0.5451144253594119,0.5322528797779694,0.5608658498444536,0.5596112460457043,0.556923991656007,0.5527855914857777,0.5674626950413463,0.5443958777800025,0.5650437224683559,0.5405583161318721,0.5380214830261718,0.5764366271993222,0.5505012457296163,0.5517425379393402,0.5544717224714365,0.5642483810124219,0.5470966843721041,0.5377699236966141,0.5670071398473133,0.5469859078382032,0.5697233755221186,0.5482867591927322,0.5572276972091097,0.5334493247837508,0.5549206030508042,0.547427684615081,0.5475207619245669,0.5462813649898052,0.5307552520355029,0.5442765457765706,0.5638575284997673,0.5506272495235031,0.5513200726671503,0.556552704786989,0.5644321931103231,0.5584769770596264,0.5491009451847891,0.5580248162030952,0.553861172087415,0.5474068252097412,0.5731623345280528,0.5771652440511066,0.5452044851106465,0.5451817053171962,0.571184828458799,0.5552337766168005,0.544460548837297,0.5667879237809639,0.5487268455227347,0.5443581449811035,0.5463334878162636,0.5657420469829733,0.5551803676182884,0.5515142327004989,0.5247312097988702,0.5577377756431001,0.5486564049129725,0.533827729190545,0.5421362732043804,0.5518904796996009,0.5569712639484633
Fscore,0.0007705529538953,0.000764727905696,0.0007368253377261,0.0007888935413032,0.0007353883271737,0.0008485342597624,0.0008694697501057,0.0008376898668157,0.000711233672639,0.0008202724712748,0.0008102667375752,0.0009799410614376,0.0008627127227428,0.0008613628251887,0.0009072496972326,0.000751301054817,0.0008010318860519,0.0006869732851362,0.0007198555414306,0.0007499012472032,0.0008054979961955,0.000727497455049,0.000706998894381,0.0008150500394733,0.000734238245316,0.0008198144440374,0.0008289484129181,0.0007600765852254,0.0008568109388961,0.0008910478507832,0.000936222697055,0.0007561079234393,0.0008382614963182,0.0006312189705268,0.0008563809422631,0.0007916740057369,0.0007319194947432,0.0007774848853153,0.0008594832744011,0.0007700187308426,0.0007679673427973,0.0007933994269153,0.0007441897890221,0.0006916399831624,0.0007498555084935,0.0008076691934381,0.000723704427945,0.0010325468916315,0.0006529765179502,0.0006720660075192,0.0008327271845843,0.0008876166734046,0.0007091730175888,0.0007749824891652,0.0007516239718273,0.000718873130785,0.0007893127437753,0.0008166124709884,0.0007749530671687,0.0008804063029511,0.0008114922965968,0.0008577413111439,0.0006708672267503,0.0007776467751731,0.0006964571955382,0.0007832432691438,0.0008808321018485,0.0007799475076471,0.0007343362701038,0.0006965540254306,0.000749620079766,0.0007861094031853,0.0007176871994099164,0.0008981615294374339,0.0007776522298052876,0.0008190873382846902,0.0009020341988620407,0.0007539528260521889,0.0006630825409600496,0.0007443376818346731,0.0007153699210258143,0.0008145674871606111,0.0006764618491404172,0.000692569588108852,0.0008563699066726313,0.0007814177447966032,0.0007050849977398888,0.0007481327332111851,0.0007684845122162981,0.0009085812829548187,0.0007277937675542081,0.000792969196797407,0.0006770353897264152,0.0006431642908175045,0.000707399328305751,0.0008077115019711303,0.0007711456187123092,0.0008073853652219693,0.0007975073616832895,0.0008402597329604339
HR@10,0.0147540983606557,0.0147540983606557,0.0065573770491803,0.0114754098360655,0.0065573770491803,0.0114754098360655,0.0049180327868852,0.0147540983606557,0.0098360655737704,0.0065573770491803,0.0032786885245901,0.0114754098360655,0.0098360655737704,0.0131147540983606,0.0032786885245901,0.0098360655737704,0.0163934426229508,0.0147540983606557,0.0065573770491803,0.0114754098360655,0.0114754098360655,0.0098360655737704,0.0049180327868852,0.0065573770491803,0.0049180327868852,0.0098360655737704,0.0081967213114754,0.0131147540983606,0.0098360655737704,0.0147540983606557,0.0081967213114754,0.0098360655737704,0.0131147540983606,0.0032786885245901,0.0081967213114754,0.0081967213114754,0.0081967213114754,0.0114754098360655,0.0065573770491803,0.0098360655737704,0.0065573770491803,0.0081967213114754,0.0131147540983606,0.0131147540983606,0.0098360655737704,0.0081967213114754,0.0131147540983606,0.0049180327868852,0.0032786885245901,0.0032786885245901,0.0098360655737704,0.0147540983606557,0.0065573770491803,0.0065573770491803,0.0098360655737704,0.0049180327868852,0.0098360655737704,0.0098360655737704,0.0163934426229508,0.0,0.0131147540983606,0.0147540983606557,0.0032786885245901,0.0081967213114754,0.0131147540983606,0.0114754098360655,0.0081967213114754,0.0147540983606557,0.0049180327868852,0.0114754098360655,0.0081967213114754,0.0081967213114754,0.013114754098360656,0.00819672131147541,0.0,0.006557377049180328,0.011475409836065573,0.011475409836065573,0.013114754098360656,0.00819672131147541,0.011475409836065573,0.011475409836065573,0.011475409836065573,0.006557377049180328,0.001639344262295082,0.013114754098360656,0.006557377049180328,0.013114754098360656,0.003278688524590164,0.013114754098360656,0.011475409836065573,0.013114754098360656,0.009836065573770493,0.006557377049180328,0.011475409836065573,0.013114754098360656,0.011475409836065573,0.013114754098360656,0.00819672131147541,0.013114754098360656
HR@2,0.0032786885245901,0.0032786885245901,0.001639344262295,0.0032786885245901,0.001639344262295,0.0032786885245901,0.0,0.0032786885245901,0.0032786885245901,0.001639344262295,0.001639344262295,0.0032786885245901,0.001639344262295,0.0032786885245901,0.001639344262295,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.001639344262295,0.001639344262295,0.001639344262295,0.0032786885245901,0.001639344262295,0.001639344262295,0.001639344262295,0.0032786885245901,0.001639344262295,0.001639344262295,0.001639344262295,0.0032786885245901,0.0,0.0032786885245901,0.001639344262295,0.0,0.0032786885245901,0.001639344262295,0.001639344262295,0.0032786885245901,0.001639344262295,0.001639344262295,0.001639344262295,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.001639344262295,0.001639344262295,0.0032786885245901,0.001639344262295,0.001639344262295,0.0,0.0032786885245901,0.0032786885245901,0.001639344262295,0.0032786885245901,0.001639344262295,0.001639344262295,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0,0.001639344262295,0.0032786885245901,0.0,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.001639344262295,0.0032786885245901,0.0,0.0032786885245901,0.001639344262295,0.001639344262295,0.003278688524590164,0.003278688524590164,0.0,0.001639344262295082,0.003278688524590164,0.001639344262295082,0.003278688524590164,0.003278688524590164,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.0,0.003278688524590164,0.001639344262295082,0.003278688524590164,0.0,0.001639344262295082,0.0,0.003278688524590164,0.003278688524590164,0.001639344262295082,0.001639344262295082,0.003278688524590164,0.001639344262295082,0.003278688524590164,0.003278688524590164,0.003278688524590164
HR@5,0.0081967213114754,0.0065573770491803,0.0032786885245901,0.0081967213114754,0.0049180327868852,0.0065573770491803,0.0,0.0081967213114754,0.0049180327868852,0.0049180327868852,0.0032786885245901,0.0049180327868852,0.0049180327868852,0.0081967213114754,0.0032786885245901,0.0065573770491803,0.0081967213114754,0.0065573770491803,0.001639344262295,0.0049180327868852,0.0065573770491803,0.0065573770491803,0.001639344262295,0.0032786885245901,0.0032786885245901,0.0065573770491803,0.0049180327868852,0.0065573770491803,0.0032786885245901,0.0081967213114754,0.0032786885245901,0.0065573770491803,0.0065573770491803,0.0,0.0065573770491803,0.0049180327868852,0.0049180327868852,0.0065573770491803,0.0049180327868852,0.0049180327868852,0.0049180327868852,0.0065573770491803,0.0081967213114754,0.0081967213114754,0.0049180327868852,0.0049180327868852,0.0049180327868852,0.001639344262295,0.0032786885245901,0.001639344262295,0.0081967213114754,0.0081967213114754,0.0032786885245901,0.0049180327868852,0.0049180327868852,0.001639344262295,0.0065573770491803,0.0065573770491803,0.0081967213114754,0.0,0.0065573770491803,0.0081967213114754,0.0,0.0065573770491803,0.0081967213114754,0.0081967213114754,0.0049180327868852,0.0065573770491803,0.001639344262295,0.0065573770491803,0.001639344262295,0.0065573770491803,0.00819672131147541,0.006557377049180328,0.0,0.003278688524590164,0.00819672131147541,0.006557377049180328,0.00819672131147541,0.004918032786885246,0.006557377049180328,0.004918032786885246,0.006557377049180328,0.003278688524590164,0.0,0.00819672131147541,0.003278688524590164,0.006557377049180328,0.0,0.006557377049180328,0.004918032786885246,0.006557377049180328,0.00819672131147541,0.004918032786885246,0.004918032786885246,0.00819672131147541,0.004918032786885246,0.00819672131147541,0.004918032786885246,0.00819672131147541
Lin's AUC,0.4928504179801816,0.5697865645552704,0.5434611026161744,0.5370017170289142,0.5354299555050019,0.5617020810399252,0.542106721927213,0.520006809464562,0.5402220554363633,0.5456848573061849,0.5051865317047615,0.631953164647786,0.5325423587309392,0.5474227040661118,0.5144540730786392,0.5082454973258121,0.5363150320910662,0.5278890017975835,0.494245562955719,0.5522019396649298,0.5200182208239789,0.5187334528995869,0.5034231857924836,0.5511792556693684,0.562282464107641,0.5221057088063996,0.5636227881355751,0.5309685297789231,0.5698361037453544,0.5095525959786509,0.517844193828877,0.5232431593053575,0.5392415166024233,0.5546263653665795,0.5367040282212188,0.5630860821978172,0.506805569834174,0.5220487252314929,0.5057307253859599,0.5370774873454107,0.4989383413351733,0.5306705458001376,0.5704068878842532,0.5468393327783964,0.5168910294591401,0.5288505814151184,0.5066638493363104,0.5676436330503265,0.4968688876800675,0.5648437597207919,0.5439707499266826,0.5177735153753785,0.5167960335179758,0.5073517068896445,0.5857919040452012,0.4964846077088066,0.5054060370027899,0.5438144404927922,0.5132666207677334,0.5087794693843942,0.5166604728725428,0.5823131151845802,0.4890282554375273,0.5356140884613697,0.5198647411150686,0.5525591487553293,0.5242488226288299,0.4975880097048648,0.5076320281105694,0.5180540350725754,0.5637466417506571,0.5316215095897054,0.5410915502688981,0.5742870409082343,0.5021708142901912,0.56160637318069,0.5190353226642972,0.4963502127420679,0.5009838521270307,0.5291257607711108,0.5397191708777742,0.5446409455171175,0.5223844543128301,0.5306652433922353,0.5676051335983953,0.5151957545425226,0.5544939842021296,0.49639824932587406,0.541962142651389,0.5372729462587879,0.4841295096234943,0.5209009386520249,0.5124679636473196,0.4827823573781861,0.49751593254521276,0.5436779281946753,0.49529094535558466,0.512633969217032,0.5437475280318443,0.5182540407039037
NDCGk,0.2050233179723653,0.2156476600810434,0.200939513911625,0.2146037211229025,0.2123103188013571,0.2181035961080035,0.221899739847253,0.2190515851590033,0.2078281909025593,0.2049771889781839,0.2113465244032936,0.2060647922352429,0.2232677137507104,0.2153875727079084,0.2144097055803265,0.2184424755035555,0.2161419445116994,0.21001555389276,0.2103134002641982,0.2056181122360529,0.2107591155996778,0.2157971704391121,0.2190602901308662,0.2170206544413796,0.2029717754202579,0.2125326417328155,0.2140284991538697,0.2073696749693177,0.214689613170499,0.2152262675113423,0.2201958723217236,0.2195776412142024,0.2190443791374754,0.2144597667507649,0.2105860011033448,0.2218569018135382,0.206357233846378,0.2069497696389283,0.2177930575118858,0.2045434685009549,0.2088602078830404,0.2194490691551107,0.20705137699795,0.2160934476494954,0.2144787046624833,0.2240235460448253,0.2057149086153169,0.2151106785763321,0.2026940798777554,0.2074229163404204,0.2126103385707489,0.2084837669778781,0.2195674628118791,0.2187599084404788,0.2168721318824991,0.2161340607043489,0.2011293101630338,0.2137084613243439,0.2121733721998196,0.2248559304995717,0.2147838854158743,0.2096953547926937,0.210504325639784,0.2176546698097619,0.210180446887894,0.214266085651582,0.2149021033139093,0.2180196954358018,0.2122756177673436,0.2050408819205719,0.2061740063493225,0.2154287905980288,0.20955869362531124,0.21520249991683246,0.21929676404812204,0.21223746522888284,0.21351424843976186,0.21291982311909954,0.21062622346479584,0.21321446498688237,0.2193627833179755,0.2137904604280013,0.21004783533925867,0.21028659168857988,0.20796702194791233,0.2146293651633787,0.2035257034073558,0.2158705373039093,0.21486196397649168,0.21410872459727479,0.21688478254887114,0.22233788594310205,0.21623174576025964,0.20416859554679415,0.21150531489651142,0.20974997439384,0.20919097893319366,0.20195002428825948,0.2206717082107643,0.2137838307697757
global AUC,0.5497427821525626,0.6396637255254682,0.6343501316373295,0.5829849074372366,0.587222135691334,0.6044730111493023,0.579311412741187,0.5764521651054836,0.579613727378047,0.6153356422603129,0.5384415368311136,0.6988997561576763,0.6160388498875169,0.5865732072004634,0.5827476952293459,0.5604089688439211,0.5865559606871732,0.6215745510702583,0.5711260090592207,0.5915661801939084,0.5880222965198084,0.603595149408661,0.5550304841598515,0.5955483132483578,0.6140344007293065,0.5679682988238289,0.619416934869427,0.5941668280500197,0.6137995954523915,0.5873435103976417,0.599782559687703,0.5784766893946862,0.6658673007782125,0.6108284823829552,0.5983371549943202,0.6292532610361181,0.5476688952467945,0.5672461863647488,0.5712643775826536,0.5886209179421953,0.5431422114319554,0.5795245224729492,0.6656150420930217,0.5927265388746359,0.5734246328790625,0.6055220745420207,0.5781671018463151,0.6299153028786232,0.5470449978904608,0.6171068212708134,0.6106859143651232,0.6170779491545624,0.5373655281304057,0.5758031513296573,0.6665199217918004,0.5621317012614562,0.5404053334937111,0.6466330889266549,0.5600023712376424,0.654182600081185,0.578391518152129,0.629620153757404,0.5433303468858182,0.5958932103477942,0.5668063718475246,0.5936868285250886,0.6131927614046281,0.5587502348889826,0.5398439689622144,0.5732128908652958,0.6233365619480069,0.5931151066095114,0.6108104430354456,0.6555126600305073,0.5718738996858764,0.6168706893390299,0.5807795237643846,0.5667165588922786,0.5379013498176308,0.6290545976282633,0.6264322431715414,0.5938216987859813,0.5705647061224144,0.591047252824693,0.618062500795598,0.603630542665331,0.6243214420940577,0.590127126071033,0.56599816106683,0.5984233828227191,0.5888551514940361,0.5971864872115367,0.5588780107050308,0.5260262267664433,0.5718362637507383,0.6003582031318974,0.5411536995050282,0.5648874366510456,0.5912628279234189,0.5745683783662645
global NDCG,0.5978475181825994,0.6300292874263316,0.5881000055374596,0.6021769890819694,0.5723323862951426,0.6177157811748344,0.5514805462278419,0.5750048294418765,0.5822793844707614,0.601988390093524,0.5434880479392402,0.6282522522399923,0.5794998809616673,0.6070783201730859,0.5439983220033412,0.5617957377694436,0.6244090498366272,0.6113402949589294,0.5294572839903465,0.5978037454895266,0.5973319612925452,0.5726272610213654,0.527179116346296,0.568696295910833,0.5769023836676339,0.5992566592387233,0.5723774559052279,0.5960393638733945,0.5755080885420002,0.6119659426858822,0.5841749473412456,0.5768637622408248,0.5838054945684392,0.5712864639979849,0.6099022664846895,0.5970844844983874,0.5746128801356339,0.5850270759989583,0.5552847724287957,0.5763026278250712,0.5627854108456002,0.5889854365094185,0.6193127424148148,0.5989173348944308,0.572379576643277,0.5989862277211692,0.5856018747932484,0.5396783935702428,0.5461500256827999,0.5537624704107276,0.6111484418323875,0.6024614819742063,0.5561585539751636,0.5651268329149087,0.6276367397205308,0.5417911767987439,0.5796820880962432,0.6082990703211183,0.5867902722399493,0.5141266593369149,0.5958038835579553,0.6460123336200569,0.5249659779729435,0.6006279890231833,0.5814091146992698,0.5895046235336666,0.5744364408639595,0.590190604387187,0.5385319378266744,0.5932109477797568,0.6020135208019243,0.6070163054113689,0.6237836747066432,0.6198598219881817,0.5080143493901835,0.5484497303435178,0.5892759240511201,0.5784939429131372,0.5901583555003669,0.572219925061785,0.5909804892739919,0.5896350978502337,0.5865586073925765,0.5547552529861914,0.5630877099932078,0.5790439579276271,0.5798262322282381,0.5653244844014974,0.5393534155098451,0.613259980154155,0.5465931673901433,0.5997906830559662,0.5576918964917059,0.5514148840609323,0.5858417744438071,0.620160917452067,0.5628886969385732,0.5810552278847875,0.5856539516270125,0.5760835824098469
