,1_DRRS,2_DRRS,3_DRRS,4_DRRS,5_DRRS,6_DRRS,7_DRRS,8_DRRS,9_DRRS,10_DRRS,11_DRRS,12_DRRS,13_DRRS,14_DRRS,15_DRRS,16_DRRS,17_DRRS,18_DRRS,19_DRRS,20_DRRS,21_DRRS,22_DRRS,23_DRRS,24_DRRS,25_DRRS,26_DRRS,27_DRRS,28_DRRS,29_DRRS,30_DRRS,31_DRRS,32_DRRS,33_DRRS,34_DRRS,35_DRRS,36_DRRS,37_DRRS,38_DRRS,39_DRRS,40_DRRS,41_DRRS,42_DRRS,43_DRRS,44_DRRS,45_DRRS,46_DRRS,47_DRRS,48_DRRS,49_DRRS,50_DRRS,51_DRRS,52_DRRS,53_DRRS,54_DRRS,55_DRRS,56_DRRS,57_DRRS,58_DRRS,59_DRRS,60_DRRS,61_DRRS,62_DRRS,63_DRRS,64_DRRS,65_DRRS,66_DRRS,67_DRRS,68_DRRS,69_DRRS,70_DRRS,71_DRRS,72_DRRS,73_DRRS,74_DRRS,75_DRRS,76_DRRS,77_DRRS,78_DRRS,79_DRRS,80_DRRS,81_DRRS,82_DRRS,83_DRRS,84_DRRS,85_DRRS,86_DRRS,87_DRRS,88_DRRS,89_DRRS,90_DRRS,91_DRRS,92_DRRS,93_DRRS,94_DRRS,95_DRRS,96_DRRS,97_DRRS,98_DRRS,99_DRRS,100_DRRS
ACC,0.9016393442622952,0.9081967213114754,0.9098360655737704,0.9016393442622952,0.8934426229508197,0.9016393442622952,0.8836065573770492,0.90327868852459,0.9,0.8672131147540983,0.8852459016393442,0.8770491803278688,0.8901639344262295,0.8950819672131147,0.8852459016393442,0.8967213114754098,0.8672131147540983,0.8852459016393442,0.8803278688524591,0.8852459016393442,0.8770491803278688,0.8688524590163934,0.8524590163934426,0.90327868852459,0.8901639344262295,0.8557377049180328,0.8803278688524591,0.8901639344262295,0.8885245901639345,0.8852459016393442,0.8868852459016393,0.8901639344262295,0.8901639344262295,0.8885245901639345,0.9081967213114754,0.8770491803278688,0.8918032786885246,0.8868852459016393,0.9016393442622952,0.8852459016393442,0.8819672131147541,0.8737704918032787,0.898360655737705,0.9016393442622952,0.8622950819672132,0.8852459016393442,0.8754098360655738,0.9098360655737704,0.9114754098360656,0.8868852459016393,0.8934426229508197,0.8836065573770492,0.8885245901639345,0.8770491803278688,0.8786885245901639,0.8688524590163934,0.9016393442622952,0.8852459016393442,0.8836065573770492,0.8918032786885246,0.8721311475409836,0.90327868852459,0.9016393442622952,0.8770491803278688,0.8672131147540983,0.8868852459016393,0.8819672131147541,0.898360655737705,0.8918032786885246,0.9114754098360656,0.8721311475409836,0.8819672131147541,0.8590163934426229,0.8803278688524591,0.8819672131147541,0.8868852459016393,0.8721311475409836,0.8918032786885246,0.8786885245901639,0.8868852459016393,0.8655737704918033,0.8950819672131147,0.8885245901639345,0.8868852459016393,0.8901639344262295,0.8836065573770492,0.8950819672131147,0.8934426229508197,0.8836065573770492,0.8901639344262295,0.8655737704918033,0.8934426229508197,0.8639344262295082,0.9049180327868852,0.8672131147540983,0.8770491803278688,0.8622950819672132,0.9065573770491804,0.8754098360655738,0.8967213114754098
AUC,0.7556764680695941,0.7601020678947036,0.7541557420333507,0.7571468871261291,0.7543589665883543,0.7577912121048924,0.7508174928044877,0.7580023150863127,0.7534703325880345,0.7387857445227956,0.7516014338252984,0.7452409405653824,0.7456063386058736,0.7428872598336697,0.75594059757111,0.7513483182617788,0.7358270241418198,0.7478656779595526,0.7371798747850341,0.753701892159097,0.7382846108544359,0.7265145515803758,0.7320103913695848,0.7498962234711805,0.7509880021058127,0.7300869203275988,0.7339959473774629,0.7419482059987967,0.7492750523198168,0.7509620911945305,0.7493391400036149,0.742798622508149,0.7450967779979677,0.7577311316757196,0.7558418709413192,0.7469755571363497,0.7414477767441723,0.746195277315248,0.7562001636538735,0.7466115085733402,0.7513053806567805,0.7410053407132559,0.7572408514819237,0.7649981273661344,0.7331411673630804,0.7432550419769692,0.7367807965061773,0.7542477900597382,0.7627181867708758,0.7497118222303172,0.7564034720176384,0.7462758377445882,0.726111616178497,0.7433805613660132,0.7404054843599507,0.7316812029031622,0.7550181066721683,0.7438900420505249,0.7437501147764057,0.7478120210168633,0.7313432176800599,0.7618969581529246,0.746705968671182,0.7299396612680821,0.7415453679318228,0.7503978121610914,0.7377173483205564,0.751607809916466,0.7621525535518362,0.7571757129803081,0.741367325265116,0.733884472295325,0.7330207624044663,0.7461554130533417,0.7501078483746064,0.7428423160850852,0.7318873106898699,0.7507612433989808,0.736519922187336,0.7432744401173442,0.7310605265594019,0.7566005174180198,0.7516399660031297,0.7592018315406899,0.7450600473621903,0.7428149073741342,0.7592042530699767,0.7446076174924587,0.7453023594922218,0.7453524676439962,0.7380844776532206,0.7558383003361698,0.725866141914853,0.7515191673616654,0.7425009759066798,0.7378373191946072,0.730693595183849,0.7686676546036316,0.7375864028431206,0.7509801717312427
Fscore,0.001551964152066,0.0012635182142283,0.0014601011813436,0.0014709018714703,0.0014119729467098,0.0014271914686614,0.0015860496392513,0.001595092595948,0.0013760034193838,0.0014827840092934,0.0015677391775016,0.0016253222536875,0.0015691797710426,0.0015313508831384,0.0015511297807053,0.0015143630483207,0.0014751703709086,0.001293873295849,0.001420840557326,0.0014312825087888,0.0014563091397608,0.0012848035182364,0.0013641969457229,0.0015895909052424,0.0014375214939832,0.0015079043601032,0.0014688373799575,0.0013611767650392,0.0016380478778212,0.0016154090164787,0.001751049298265,0.0015038140597897,0.0015056764138469,0.0012853445251208,0.0016003606641507,0.001490890855651,0.0014829354130838,0.0014619543596317,0.0017055131502071,0.0014570856416237,0.0015167278741043,0.0015263154145225,0.0014430209236758,0.0013909651341585,0.0014491928402345,0.0015178469052975,0.0013908502048275,0.0017981933448395,0.0013421379914325,0.0013597586939873,0.001595342784275,0.001541973303844,0.0014258134965941,0.00145369073835,0.0013959589374364,0.0014267671751104,0.0015190179278583,0.0015930423768734,0.0014465234832651,0.0015571071432066,0.0014496886690864,0.001605390205478,0.0014793704858717,0.00150169544982,0.0013571951732747,0.0013880491728334,0.0017073316709944,0.0015447200879585,0.0013379939929036,0.0013445362217604,0.0013977324524039,0.0015540432962634,0.001311325577612,0.0016794618514177,0.0015601826221041,0.001522076892801,0.0016830404901263,0.001405394439571,0.0013428314560252,0.0013890002476249,0.0012983881253087,0.0016045574040479,0.0013397463134967,0.0013672005710502,0.001591227464908,0.0014386832536352,0.0013676874762449,0.0014457072772368,0.0015382833489091,0.0016241724546283,0.0014422199293582,0.0014345733513435,0.0013254994855461,0.0013995647449847675,0.0013648999710645726,0.0014696652014075556,0.0014485635480935577,0.0015798795578383052,0.00149234202761671,0.0015583115960929293
HR@10,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0065573770491803,0.0032786885245901,0.0065573770491803,0.001639344262295,0.0032786885245901,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0032786885245901,0.0032786885245901,0.0,0.0,0.0,0.001639344262295,0.0,0.001639344262295,0.0049180327868852,0.0,0.0,0.0032786885245901,0.0,0.0,0.0,0.0,0.001639344262295,0.001639344262295,0.0,0.0,0.0,0.001639344262295,0.001639344262295,0.001639344262295,0.0,0.0,0.001639344262295,0.001639344262295,0.001639344262295,0.001639344262295,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.001639344262295,0.0,0.0049180327868852,0.0,0.0,0.001639344262295,0.0,0.0049180327868852,0.0,0.0032786885245901,0.0032786885245901,0.001639344262295,0.001639344262295,0.0,0.001639344262295,0.001639344262295,0.0,0.0032786885245901,0.0,0.0,0.0032786885245901,0.0,0.0,0.0,0.0,0.001639344262295,0.001639344262295,0.0,0.009836065573770493,0.0,0.0,0.003278688524590164,0.001639344262295082,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032786885245901,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.001639344262295,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003278688524590164,0.0,0.0,0.001639344262295082,0.0,0.0
HR@5,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0049180327868852,0.001639344262295,0.0049180327868852,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0032786885245901,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.001639344262295,0.0,0.0,0.001639344262295,0.001639344262295,0.0,0.001639344262295,0.0,0.0,0.0032786885245901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004918032786885246,0.0,0.0,0.001639344262295082,0.001639344262295082,0.0
Lin's AUC,0.883594180754034,0.8717880301861436,0.8860618187648917,0.8701851014199924,0.8792919352075519,0.8859243323521088,0.8712801082765699,0.8777501064005067,0.8843178745470572,0.8529915369849514,0.871637485575153,0.8616995214642902,0.8712106818581627,0.8691549089521737,0.8687331072223564,0.879568397918608,0.8581745988842869,0.8723636790758602,0.866821141186383,0.8656980896922042,0.8607374405982503,0.8435350316112289,0.8488635030882329,0.8831965728743733,0.8763094864679661,0.8558673889000783,0.8620485936806396,0.8732563145984882,0.8745490031386288,0.8579113613743768,0.8551303413173196,0.8745254047926629,0.8768397412532692,0.8786257218579822,0.8869769289954734,0.8610372445013895,0.8785232277070706,0.8800312765082894,0.8809195178549514,0.8640728332161576,0.8720414463819225,0.8729141331799245,0.8822734166389992,0.8801800604937139,0.8526497231713291,0.8686903972655081,0.8655040875218251,0.8802288722839547,0.885935069586086,0.8685412627106733,0.868818366974979,0.8789605962346917,0.8662286577012518,0.8674025651801222,0.8758985457566841,0.8708774066921111,0.8677659519815504,0.8698845210308814,0.8732735648645473,0.8755221856842267,0.8531495537993142,0.8790536988668661,0.8822106979912206,0.8686080750385002,0.8591776914159169,0.8775930927915037,0.8662211147858141,0.8740849329815856,0.87221274430129,0.8787629081414564,0.8719306967315833,0.8714984605358791,0.8587248382659308,0.8717320227541433,0.878095198868488,0.8654531087477794,0.8730397575378952,0.8735356358198343,0.8622415500622428,0.8703463076665038,0.8756118370301803,0.883427277116074,0.8665463600412974,0.8779010764794806,0.8805431933053897,0.8598434966536229,0.8753036564943685,0.8753165784579108,0.8710016326036386,0.8694869901522991,0.865493148244963,0.8632845237267553,0.868460193494556,0.881269376258838,0.8579667072427399,0.8711037614779205,0.8588888037171988,0.8916952020979735,0.8559141410174889,0.8689873827318861
NDCGk,0.2573668876768111,0.2739122295077981,0.2721324331063805,0.2757567984432957,0.2689974526642405,0.266820592509372,0.2800321098600527,0.2804310421389891,0.2593323282672755,0.2557000085903758,0.2632820828921146,0.2545265501925255,0.2726109493861467,0.2581810997885047,0.2518797588863469,0.2604897157793988,0.2727179115468993,0.2635602914447334,0.2663195382679199,0.2679710106557815,0.2567936387708914,0.2610466809899484,0.2569601302609683,0.2650660926742194,0.256359039416869,0.2711199977316435,0.2606354348966666,0.2546338791504133,0.2627151908598711,0.2612569675449513,0.2740391456724135,0.2653056155321757,0.2658782808497144,0.2705902338615845,0.2723269046714283,0.2630586966268411,0.2744653720005937,0.2718640841724712,0.2646218608560365,0.2713865485202935,0.2578061288597468,0.2625890686377663,0.26159234489601,0.2636597082090314,0.262057486868637,0.2622697243291906,0.2408703002697863,0.2767949531117072,0.2548708755473076,0.2589781981995081,0.2727419459106966,0.2682024014036155,0.2614345739974436,0.270543749407808,0.2650810525344287,0.2578205509173323,0.254385608168766,0.2627776191537245,0.2565310487297829,0.2619081793223053,0.2480978954617803,0.2756668030398668,0.2597813567391499,0.2643621700817041,0.2622168935315261,0.2649981201078339,0.2476323370816819,0.2695442897696872,0.2690337292326784,0.2584982653849833,0.2548025433689843,0.2613057852253374,0.2677985096891913,0.2821151865486511,0.2667243713737222,0.2620221865703273,0.2595453589543868,0.2613148188052095,0.2661532663326686,0.2575323348564603,0.263108098080821,0.2641045341400325,0.2760147166173607,0.2667991035547278,0.2769578519983546,0.2498228953026188,0.2466891656336366,0.2602104182520557,0.2620100790238438,0.2669195588554993,0.264136328974776,0.27090237115379,0.2570179070930518,0.26197939463704895,0.2482403940779975,0.26368289736641465,0.2653651156357827,0.279748456801794,0.27574890659029644,0.2650653275358972
global AUC,0.8990957725731984,0.9040504715736876,0.9066520796752277,0.8980141413828097,0.891147715343961,0.8989124620367445,0.8827036060658828,0.9005247267462119,0.897830406000927,0.8662091181431328,0.8851845707006439,0.875655407778487,0.8886913949027333,0.8928811225951337,0.8837343300343954,0.8952678710439663,0.8654584652315188,0.8839088119985696,0.8804866757576219,0.8845270221118309,0.8761513871771793,0.8674378516681719,0.8539485686862763,0.9005985471928883,0.887698908602103,0.85652398483027,0.8784453171657486,0.8878275688547302,0.8872667318264787,0.8836243298142338,0.8842069761009124,0.8891572071173267,0.8879216144707471,0.8869115484137587,0.9055916828594897,0.8764556633680235,0.8890538322747524,0.8856018589340715,0.8997909065579172,0.8833697415862678,0.8808977539827838,0.8733413837067133,0.8964994268693033,0.8995590941512114,0.8620506584425013,0.8838441707401025,0.8746847133634227,0.9064242882962538,0.9074037670617688,0.8841561431085352,0.8914589675283215,0.8824961346173119,0.8857390018811021,0.877314760839031,0.8794149486775669,0.8698108376520951,0.8979970306937083,0.8853998520400774,0.8825491597489247,0.8903198795473187,0.8703386978307581,0.9006163828041143,0.9001426501440853,0.8766214999646382,0.8668755158357894,0.8861419954083211,0.8809310419645255,0.8951584172792633,0.8892878810425223,0.907256890574316,0.8721614142241977,0.8807009352569364,0.860520766365559,0.879456117620968,0.881790327378306,0.8842075841510607,0.8723201137334902,0.8895183036203178,0.8787394855099755,0.8855864302538209,0.8664592999817143,0.8935312845591618,0.8869125655158242,0.8851619954569652,0.8889131073595768,0.8817715204661941,0.893091496890905,0.8897592304618404,0.8818825046220504,0.8881816388249717,0.8664537675150423,0.8917657359350973,0.8646992095948228,0.9024389460005035,0.8659579428927514,0.877103528955648,0.8623258777330237,0.9025811270773325,0.8728965500119036,0.8941460959089977
global NDCG,0.6603542767038113,0.6660555149190974,0.6721670435450093,0.6665386247182007,0.6619832704881473,0.6713212867661723,0.6717147086520837,0.6773431178047931,0.6903142529733269,0.665586639742574,0.6704759889300136,0.6649430164204503,0.672928298670808,0.6719022804736199,0.6610520960755284,0.6655584087668215,0.6588345621833316,0.6691460801571917,0.6728745191517429,0.6637972361588345,0.6581392648776071,0.6482510592940117,0.6648874242578473,0.6773109576622156,0.6667334798358883,0.669474814283506,0.6772405462245031,0.6651529931631985,0.6743436442730271,0.6610387694116479,0.6644963281608619,0.6646708095468875,0.6661934792187245,0.6642081232760246,0.6759577034360529,0.6621445438762825,0.6762317038510487,0.6649901609160869,0.6703171873033416,0.6598575665298625,0.6626787913167067,0.6618306543549846,0.6664082380139797,0.6662677234151695,0.6676337854337246,0.659571101279344,0.6613841231339441,0.6690276964687473,0.6640273065605563,0.6714761222950668,0.6618694174763543,0.6665879356694022,0.6517491600030964,0.6633570158037709,0.6692784456638167,0.6670142398357506,0.6709853952518847,0.6634657063989343,0.6662464334675912,0.6629541472062244,0.6608088922885206,0.6672142838146468,0.6753178347824482,0.6772088688640612,0.6620980002043717,0.6664017968554633,0.6839375307866261,0.6582637934445407,0.6678328609092626,0.6727946058300895,0.6627611983725771,0.6692297823932493,0.6558628607616929,0.6699967740655706,0.6612800262427376,0.6622291860324703,0.6783411939918348,0.6702905431792363,0.6637067950327757,0.6590543270127459,0.6637482380308759,0.6738363712970492,0.666150197165522,0.661731756594452,0.6695252027619105,0.6591789176424993,0.6698986528889943,0.6601771752547974,0.6661872468312026,0.6611021608850101,0.6634939743489376,0.665029506455933,0.661884272664556,0.6651346231556136,0.6917718549027168,0.6793855479458419,0.6592510342055937,0.6661780883391621,0.6612869514607177,0.6666956354544776
