,1_FastaiCollabWrapper,2_FastaiCollabWrapper,3_FastaiCollabWrapper,4_FastaiCollabWrapper,5_FastaiCollabWrapper,6_FastaiCollabWrapper,7_FastaiCollabWrapper,8_FastaiCollabWrapper,9_FastaiCollabWrapper,10_FastaiCollabWrapper,11_FastaiCollabWrapper,12_FastaiCollabWrapper,13_FastaiCollabWrapper,14_FastaiCollabWrapper,15_FastaiCollabWrapper,16_FastaiCollabWrapper,17_FastaiCollabWrapper,18_FastaiCollabWrapper,19_FastaiCollabWrapper,20_FastaiCollabWrapper,21_FastaiCollabWrapper,22_FastaiCollabWrapper,23_FastaiCollabWrapper,24_FastaiCollabWrapper,25_FastaiCollabWrapper,26_FastaiCollabWrapper,27_FastaiCollabWrapper,28_FastaiCollabWrapper,29_FastaiCollabWrapper,30_FastaiCollabWrapper,31_FastaiCollabWrapper,32_FastaiCollabWrapper,33_FastaiCollabWrapper,34_FastaiCollabWrapper,35_FastaiCollabWrapper,36_FastaiCollabWrapper,37_FastaiCollabWrapper,38_FastaiCollabWrapper,39_FastaiCollabWrapper,40_FastaiCollabWrapper,41_FastaiCollabWrapper,42_FastaiCollabWrapper,43_FastaiCollabWrapper,44_FastaiCollabWrapper,45_FastaiCollabWrapper,46_FastaiCollabWrapper,47_FastaiCollabWrapper,48_FastaiCollabWrapper,49_FastaiCollabWrapper,50_FastaiCollabWrapper,51_FastaiCollabWrapper,52_FastaiCollabWrapper,53_FastaiCollabWrapper,54_FastaiCollabWrapper,55_FastaiCollabWrapper,56_FastaiCollabWrapper,57_FastaiCollabWrapper,58_FastaiCollabWrapper,59_FastaiCollabWrapper,60_FastaiCollabWrapper,61_FastaiCollabWrapper,62_FastaiCollabWrapper,63_FastaiCollabWrapper,64_FastaiCollabWrapper,65_FastaiCollabWrapper,66_FastaiCollabWrapper,67_FastaiCollabWrapper,68_FastaiCollabWrapper,69_FastaiCollabWrapper,70_FastaiCollabWrapper,71_FastaiCollabWrapper,72_FastaiCollabWrapper,73_FastaiCollabWrapper,74_FastaiCollabWrapper,75_FastaiCollabWrapper,76_FastaiCollabWrapper,77_FastaiCollabWrapper,78_FastaiCollabWrapper,79_FastaiCollabWrapper,80_FastaiCollabWrapper,81_FastaiCollabWrapper,82_FastaiCollabWrapper,83_FastaiCollabWrapper,84_FastaiCollabWrapper,85_FastaiCollabWrapper,86_FastaiCollabWrapper,87_FastaiCollabWrapper,88_FastaiCollabWrapper,89_FastaiCollabWrapper,90_FastaiCollabWrapper,91_FastaiCollabWrapper,92_FastaiCollabWrapper,93_FastaiCollabWrapper,94_FastaiCollabWrapper,95_FastaiCollabWrapper,96_FastaiCollabWrapper,97_FastaiCollabWrapper,98_FastaiCollabWrapper,99_FastaiCollabWrapper,100_FastaiCollabWrapper
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0006846231899689475,0.0005511549323618706,0.0006135395853730933,0.0006886167236804766,0.0006327347900730319,0.0006420947469191076,0.0007349217994746627,0.0006881477684913984,0.000590224319045428,0.0006527365724313957,0.0007002224083356702,0.0007292930645960257,0.0006843920564168245,0.0006655891382551025,0.0006946820752449101,0.0006698235389218048,0.0006524046290352208,0.0005625482341732707,0.0006099686119215136,0.0006315228604968824,0.0006242283872290558,0.000588774456985768,0.0006225714766433499,0.000684331953180747,0.000630594498107557,0.0006781756454963292,0.0006529156230058405,0.0006248600954209731,0.0007280359253977951,0.0006931926672148971,0.0007933325727759776,0.0006503793385400636,0.0006484800381323188,0.0005514521468453004,0.00069346954733562,0.000674566896427154,0.0006801978972693281,0.0006557975476508336,0.0007590884764660893,0.0006286138814443166,0.0006759335517225405,0.0006614706417734736,0.0006165115137721249,0.0006132825205411865,0.0006541166407524824,0.0006567917177239626,0.0006100603788945213,0.000788242808420279,0.0005881517247349904,0.0006098961192041884,0.0007146941122825147,0.0006732348527729807,0.0006428325067042894,0.0006516342751622324,0.0006044671571646468,0.0006345899062420886,0.000684215321764503,0.0006628632337623553,0.0006390048146155309,0.0007050775423548543,0.0006409374142501178,0.0007278939408428893,0.000626839644767529,0.0006713998713431769,0.0006244435885346984,0.000622044335788064,0.0007325806122732834,0.0006999302271701308,0.000623104920190775,0.0005743456785351211,0.0006275236379794868,0.0006846907469526002,0.0005813079698259552,0.0007398865254520811,0.0007003530378975345,0.0006312400598379941,0.0007377144041854748,0.0006157726087732402,0.0005821871767739319,0.0005933617341118088,0.0005683546927286206,0.0006980668135729265,0.000606053686153125,0.0006144782504157115,0.0007095309209265365,0.0006570846502947837,0.0005842763369557296,0.0006590698735905775,0.0006797848788214873,0.0007040814017660435,0.0006369157322854013,0.0006361709825217555,0.0005853992898302693,0.0005822264715046324,0.0006308078535208597,0.0006602097242829581,0.0006884403504498622,0.0006712180702503975,0.0006567922112657034,0.0006977655102217018
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.47840837082114024,0.46534628146095935,0.46195881367364144,0.4280100899910606,0.518582732359242,0.5785537130133339,0.5426888725703155,0.491465759394916,0.49521381080344756,0.44788990692022423,0.5288342464141617,0.49523689346795147,0.5542343053742445,0.460457268274832,0.47135801927144605,0.5081260865828194,0.45585671687724616,0.5709731230856024,0.5348678402811151,0.4597109282239515,0.4406222019662866,0.5213190145834546,0.4969407304001648,0.4813357372735704,0.4543455668653057,0.4617690759472882,0.5552861559344454,0.426020702825092,0.46359362441461527,0.5578624884850448,0.4758418533980868,0.5548564797878628,0.399938209771263,0.500194165065496,0.48702017876379206,0.5815022450496393,0.4580119203999947,0.49882547935439736,0.3787591902070932,0.4649973603467788,0.4223866438296696,0.41960387267471044,0.4619230634603282,0.4337402150586455,0.5100294144118861,0.47926911764363594,0.5240267944216083,0.5244541572880818,0.43353925752391403,0.4816976029549913,0.48783588347707935,0.5613601055536076,0.5250261064120174,0.512300683508329,0.5191642321029118,0.4969701639337664,0.44883105938921347,0.4788848413366234,0.5116273360355472,0.5442268981731574,0.5129441010152798,0.5357839615964434,0.5017368838111959,0.5033588715195709,0.5236151815306783,0.4251932732928923,0.4377245650748513,0.5506018477870933,0.4640422817569693,0.495767373660245,0.561524142124208,0.48475795178060027,0.4467351100129995,0.4770284835829759,0.4471056996205246,0.5616765450397054,0.45678473952565246,0.4580446551567212,0.49804758479178696,0.5591750979233752,0.5030257280765014,0.44634672139656106,0.47885672536990675,0.5164734166700057,0.40723889762655163,0.6050689183770811,0.4321519374493467,0.5133881809296789,0.4613229744612523,0.4551431205279403,0.4834058189221231,0.5195258576600225,0.5469332853886398,0.5441605929657257,0.4856818283934005,0.4701216850713624,0.4702556671817052,0.3960191686636623,0.43774285189327944,0.504279258978074
NDCGk,0.20083699848857864,0.20199768818665303,0.19989463152968703,0.2086139471927637,0.20830175680330548,0.20519718349626814,0.2022363264862129,0.20831327817420728,0.19666666927780715,0.19987934638287194,0.20122414085309107,0.19908401444683044,0.20742807873558763,0.20235963937229745,0.20007923807628963,0.20434885597409705,0.2031408550106618,0.2036934882312953,0.19808272169384594,0.19018979155123947,0.2036216959705528,0.2058214062382022,0.20012520550611027,0.20252251044313374,0.18693954447797975,0.1971608283446518,0.2044705590482901,0.19717942862324836,0.2001555055773041,0.2099209934148484,0.2040989803189235,0.20743989673407343,0.1971460608268644,0.19491352396757766,0.20202149894495397,0.2024443001969337,0.19897823685202026,0.20531436934504155,0.20484972703918894,0.1971210442127676,0.20175878539051523,0.20452026915374535,0.20361066295800087,0.20557409790053746,0.1979311438341674,0.20386566259727107,0.19507384759690702,0.2046569373207642,0.2059706927598137,0.20523230412042573,0.19462603266758793,0.20214263016844494,0.2059177440148821,0.20228503021444452,0.20051228489705009,0.1976709687259904,0.20313920379394096,0.20897883263618722,0.20631314377321355,0.19772596366053954,0.20420779672232428,0.2056923406537057,0.19955611902832093,0.20105144639874045,0.19639323721451998,0.20477468686231182,0.20440125003933732,0.20186409384760692,0.20287711973743322,0.2023768927669132,0.2038062589684362,0.2088334507365891,0.18726867163982497,0.20496424163243293,0.20437218261448836,0.19560358913140605,0.20616734575152698,0.2016714303287183,0.1934172294929104,0.20445632575485045,0.19918113999036252,0.19871564005869177,0.1991600267239808,0.19979165202986762,0.20182501809040432,0.2023496697107561,0.19802688892369918,0.20364420203580327,0.20641336405167496,0.1973090813890886,0.20787058493041938,0.20941465764337003,0.19421254390205195,0.19791481659508778,0.19622973441732824,0.19475154572059822,0.2012087713970491,0.20576894085179115,0.20479814300381832,0.20371420854328026
global AUC,0.8990610126362929,0.8966006190487487,0.895399566809281,0.8927631119065284,0.9073255876062387,0.919332714396192,0.9119204993857429,0.9050825174590151,0.9033238848131279,0.8899393601853122,0.909093874824996,0.8977781594893742,0.9166628704332315,0.8949438750761127,0.8984424503277517,0.9037593640117638,0.8974504883716647,0.9180251286120825,0.9108175659086086,0.8969508180296061,0.8855771847328682,0.9079780775336905,0.8988707877010121,0.9006961937292626,0.8949952608413526,0.8911303029988116,0.914017116311591,0.8852176865331232,0.8985840991632817,0.9162662180004133,0.8957609507541608,0.9129604025424646,0.8795165878133546,0.9010772074281427,0.8990511795967557,0.9199076613465806,0.8947362678033528,0.9040390181199891,0.8765814428843651,0.8948430635202668,0.8863833265637083,0.8860464967893532,0.8919616654863122,0.8881933007530061,0.9072098243341542,0.8952520254150431,0.9070722060024626,0.9054603298133495,0.8916024878948271,0.8990079938220842,0.901685252838149,0.9125726781810413,0.9061831893054686,0.9110281392026102,0.9088998657646381,0.9020973371099196,0.8894884254574582,0.8969525505776903,0.9025717883746687,0.9107540507274285,0.9059686581577762,0.9067472608446375,0.9061353776116189,0.9036310670098744,0.907435482009881,0.8903494892205027,0.8860537002094186,0.9097376735837082,0.8971509312817102,0.904808885416282,0.9163652385721871,0.8995744770302817,0.8943842020295735,0.8993494337221073,0.8923604184560056,0.916863909185041,0.8931968222320066,0.8965430611796684,0.901896404174629,0.9158558441658126,0.9041956186717575,0.8855678349747474,0.8964268209435718,0.9040451870651277,0.8848340084690487,0.9210383187517642,0.8860432322707658,0.9045759406148849,0.8938298040154874,0.893512984618732,0.897932120945565,0.9072433539566045,0.9130053508728899,0.9107025370347551,0.9012307614117668,0.8905330413976651,0.8973786421137808,0.8837246801995782,0.8898823961522206,0.9031103991958197
global NDCG,0.4865865754156491,0.4786917630301263,0.47777190673001174,0.47967752249754403,0.49261756218156155,0.4960816143295999,0.49363388432492283,0.489670161426093,0.4832462348434455,0.47581696778210336,0.48816955365852266,0.4816378447596996,0.4970236298185117,0.477541731989105,0.48118261360341047,0.481940176572382,0.4811672774720098,0.4972274781657949,0.4901331506592367,0.48012215777207945,0.4747648588441467,0.4900016839245191,0.4809229890694039,0.4838893229691479,0.47756198368359254,0.4788149939097348,0.4953254883252001,0.4739104339222356,0.4856936040480919,0.4927476432958251,0.480252531209553,0.4917869631858303,0.4698535394720157,0.4833741573210677,0.48033443741485005,0.49975187376070174,0.4792029844766311,0.4882935751246967,0.46805151831070707,0.48062479498947136,0.47366452371362855,0.4856795612983292,0.4766993340271064,0.4759171452018684,0.4878150647955874,0.48212019928178146,0.4866876556400331,0.4888103235620362,0.4792303559778582,0.4826409762906918,0.4809781667245605,0.49843670143234337,0.4900384482623978,0.4967102959362734,0.4871711959478431,0.48387948758267946,0.4746234456179921,0.4819054465563066,0.4847707884710409,0.49026564898128,0.48799594908128713,0.48587154687172684,0.4830495711139572,0.484457822344942,0.49349397233426384,0.47789194219762116,0.474302038045979,0.4903107683518328,0.47925584323948917,0.4882947047453721,0.4932777353499599,0.48383454728103453,0.48286793169202125,0.4847057194924784,0.4787143526244882,0.494930122088647,0.4794990456510194,0.48349250304396324,0.4826914898557715,0.4977184303683028,0.4870747165327896,0.4748037831155265,0.4812798994797382,0.48321799038957897,0.4752680664511185,0.5013048257834188,0.47439176095220914,0.4908806095702101,0.4788857661128193,0.47810039488262973,0.4807006507005357,0.4898832644325903,0.491270959067992,0.49763801606899977,0.4827022006960895,0.47679959755120827,0.48027552887038,0.4704522252746184,0.47478903054034094,0.48309544364397533
