,1_HAN,2_HAN,3_HAN,4_HAN,5_HAN,6_HAN,7_HAN,8_HAN,9_HAN,10_HAN,11_HAN,12_HAN,13_HAN,14_HAN,15_HAN,16_HAN,17_HAN,18_HAN,19_HAN,20_HAN,21_HAN,22_HAN,23_HAN,24_HAN,25_HAN,26_HAN,27_HAN,28_HAN,29_HAN,30_HAN,31_HAN,32_HAN,33_HAN,34_HAN,35_HAN,36_HAN,37_HAN,38_HAN,39_HAN,40_HAN,41_HAN,42_HAN,43_HAN,44_HAN,45_HAN,46_HAN,47_HAN,48_HAN,49_HAN,50_HAN,51_HAN,52_HAN,53_HAN,54_HAN,55_HAN,56_HAN,57_HAN,58_HAN,59_HAN,60_HAN,61_HAN,62_HAN,63_HAN,64_HAN,65_HAN,66_HAN,67_HAN,68_HAN,69_HAN,70_HAN,71_HAN,72_HAN,73_HAN,74_HAN,75_HAN,76_HAN,77_HAN,78_HAN,79_HAN,80_HAN,81_HAN,82_HAN,83_HAN,84_HAN,85_HAN,86_HAN,87_HAN,88_HAN,89_HAN,90_HAN,91_HAN,92_HAN,93_HAN,94_HAN,95_HAN,96_HAN,97_HAN,98_HAN,99_HAN,100_HAN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0006846231899689475,0.0005511549323618706,0.0006135395853730933,0.0006886167236804766,0.0006327347900730319,0.0006420947469191076,0.0007349217994746627,0.0006881477684913984,0.000590224319045428,0.0006527365724313957,0.0007002224083356702,0.0007292930645960257,0.0006843920564168245,0.0006655891382551025,0.0006946820752449101,0.0006698235389218048,0.0006524046290352208,0.0005625482341732707,0.0006099686119215136,0.0006315228604968824,0.0006242283872290558,0.000588774456985768,0.0006225714766433499,0.000684331953180747,0.000630594498107557,0.0006781756454963292,0.0006529156230058405,0.0006248600954209731,0.0007280359253977951,0.0006931926672148971,0.0007933325727759776,0.0006503793385400636,0.0006484800381323188,0.0005514521468453004,0.00069346954733562,0.000674566896427154,0.0006801978972693281,0.0006557975476508336,0.0007590884764660893,0.0006286138814443166,0.0006759335517225405,0.0006614706417734736,0.0006165115137721249,0.0006132825205411865,0.0006541166407524824,0.0006567917177239626,0.0006100603788945213,0.000788242808420279,0.0005881517247349904,0.0006098961192041884,0.0007146941122825147,0.0006732348527729807,0.0006428325067042894,0.0006516342751622324,0.0006044671571646468,0.0006345899062420886,0.000684215321764503,0.0006628632337623553,0.0006390048146155309,0.0007050775423548543,0.0006409374142501178,0.0007278939408428893,0.000626839644767529,0.0006713998713431769,0.0006244435885346984,0.000622044335788064,0.0007325806122732834,0.0006999302271701308,0.000623104920190775,0.0005743456785351211,0.0006275236379794868,0.0006846907469526002,0.0005813079698259552,0.0007398865254520811,0.0007003530378975345,0.0006312400598379941,0.0007377144041854748,0.0006157726087732402,0.0005821871767739319,0.0005933617341118088,0.0005683546927286206,0.0006980668135729265,0.000606053686153125,0.0006144782504157115,0.0007095309209265365,0.0006570846502947837,0.0005842763369557296,0.0006590698735905775,0.0006797848788214873,0.0007040814017660435,0.0006369157322854013,0.0006361709825217555,0.0005853992898302693,0.0005822264715046324,0.0006308078535208597,0.0006602097242829581,0.0006884403504498622,0.0006712180702503975,0.0006567922112657034,0.0006977655102217018
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.7337025217220743,0.715404604832228,0.6778705003486524,0.6998132691222789,0.7158503780612305,0.6997315251175663,0.7335360047805008,0.7024253484234034,0.705231021295381,0.7110113650365232,0.7412625656746711,0.7292183628505352,0.7199845935269615,0.7288268193568271,0.7148597052738166,0.7232874790200928,0.6683898489896388,0.6885696995574284,0.7055326808663688,0.7143967455584715,0.6916979789715033,0.7189632665266017,0.7133750198411106,0.7152452099770111,0.7126427713146392,0.7203817663910094,0.7048911029967294,0.7191035800034025,0.7147910506574656,0.7060266208160453,0.715750103746109,0.7431724937927793,0.7017608018594278,0.6895204108376147,0.6856792954044438,0.7242101276217885,0.7060180399601648,0.7119204607747609,0.7431271093264389,0.7320113721141919,0.7091676047122125,0.6982080584801263,0.7048152388820574,0.6883314089258685,0.7025632231932996,0.6836133876393086,0.6737141072181233,0.6868416993206883,0.7108829432920959,0.6981033795014846,0.7314180834440437,0.6983708762436017,0.6912391947987478,0.7101224176917299,0.7149885708911937,0.6975246952398801,0.711910996212134,0.7062559107942208,0.728552769823423,0.7281665350162095,0.6783155254113467,0.7085402298249162,0.7075556838765557,0.7221429369400036,0.7237486771914005,0.717994894287443,0.7276951205820307,0.7211779537244423,0.7111483989317722,0.6896942571944139,0.726468507655797,0.7223721240410437,0.6899888571373836,0.7080414983644598,0.7082984457851257,0.7153476127716017,0.719046093956659,0.6993387309254949,0.7088983093504002,0.7144902534006191,0.6997860543411109,0.7142562194584124,0.7184029165471273,0.7096204340149321,0.7003898565426082,0.7135974553347856,0.7039677025369573,0.7099970011378185,0.7168767427591014,0.728874755022429,0.7070359038311941,0.7211109215122664,0.709010345306842,0.687421921524155,0.6875516953614808,0.7301890059646943,0.6853164010378416,0.74738520399837,0.7023176294546011,0.7221478250313043
NDCGk,0.20083699848857864,0.20199768818665303,0.19989463152968703,0.2086139471927637,0.20830175680330548,0.20519718349626814,0.2022363264862129,0.20831327817420728,0.19666666927780715,0.19987934638287194,0.20122414085309107,0.19908401444683044,0.20742807873558763,0.20235963937229745,0.20007923807628963,0.20434885597409705,0.2031408550106618,0.2036934882312953,0.19808272169384594,0.19018979155123947,0.2036216959705528,0.2058214062382022,0.20012520550611027,0.20252251044313374,0.18693954447797975,0.1971608283446518,0.2044705590482901,0.19717942862324836,0.2001555055773041,0.2099209934148484,0.2040989803189235,0.20743989673407343,0.1971460608268644,0.19491352396757766,0.20202149894495397,0.2024443001969337,0.19897823685202026,0.20531436934504155,0.20484972703918894,0.1971210442127676,0.20175878539051523,0.20452026915374535,0.20361066295800087,0.20557409790053746,0.1979311438341674,0.20386566259727107,0.19507384759690702,0.2046569373207642,0.2059706927598137,0.20523230412042573,0.19462603266758793,0.20214263016844494,0.2059177440148821,0.20228503021444452,0.20051228489705009,0.1976709687259904,0.20313920379394096,0.20897883263618722,0.20631314377321355,0.19772596366053954,0.20420779672232428,0.2056923406537057,0.19955611902832093,0.20105144639874045,0.19639323721451998,0.20477468686231182,0.20440125003933732,0.20186409384760692,0.20287711973743322,0.2023768927669132,0.2038062589684362,0.2088334507365891,0.18726867163982497,0.20496424163243293,0.20437218261448836,0.19560358913140605,0.20616734575152698,0.2016714303287183,0.1934172294929104,0.20445632575485045,0.19918113999036252,0.19871564005869177,0.1991600267239808,0.19979165202986762,0.20182501809040432,0.2023496697107561,0.19802688892369918,0.20364420203580327,0.20641336405167496,0.1973090813890886,0.20787058493041938,0.20941465764337003,0.19421254390205195,0.19791481659508778,0.19622973441732824,0.19475154572059822,0.2012087713970491,0.20576894085179115,0.20479814300381832,0.20371420854328026
global AUC,0.9509289190008658,0.9441883561839632,0.9434161135437152,0.9414895469230404,0.9452349447336115,0.9439762477607566,0.9497089777230325,0.9446709000434101,0.9414129894610221,0.944691805913046,0.9508666167612798,0.9469777933452654,0.9470782969276599,0.9497083838870439,0.9488411053776808,0.9463464572455619,0.9389265444781734,0.9420827953932098,0.9450366161481757,0.9463421961564724,0.9438098520738759,0.944055704911273,0.9476006530679699,0.9450316712000886,0.9467880690642626,0.9482458985122291,0.9447810250323032,0.9469901880921795,0.9475861830537973,0.9489003231446977,0.9478191436487046,0.9526470602449453,0.9431207148850329,0.9401108824456491,0.9391232431733421,0.9491602100953824,0.9447480481827151,0.944062311336648,0.9512183240223746,0.9493334191026236,0.9452139393648602,0.9455422311675261,0.9410571127131979,0.9398570317746162,0.9444557640042713,0.9448132501107993,0.9434512130410931,0.9413647639772014,0.9469628969063136,0.9454336349904338,0.9479094240918565,0.9415723570358019,0.9398859102082713,0.9475209258484266,0.9470562934090554,0.9432045041954354,0.9456719401092399,0.9454310527514933,0.949864689100169,0.9470803753536207,0.940230584619212,0.9472170729236595,0.9460984059515254,0.9443863452089265,0.9472290507219008,0.9459439406823549,0.9536941494488712,0.9447103790812048,0.9444138717180968,0.9425481432785995,0.9466243014175023,0.9486055499090247,0.9435734627078738,0.9449324374159251,0.9469410607989185,0.947498412199438,0.9482902008880816,0.9435717175249816,0.9467569763804577,0.9457673344910398,0.9443399375581457,0.9480409050654305,0.9480261381332633,0.9419219195381927,0.9444014264319496,0.9428935362942608,0.9450708375263788,0.945103064184226,0.9485781260576718,0.9495214108355422,0.942852482643485,0.9506527157746497,0.9437196332254141,0.9417006666724996,0.9423743183244552,0.9479575579733175,0.9423898038613427,0.9480002967916464,0.9435374487662473,0.9486054519892604
global NDCG,0.5714223067777687,0.5436425802534193,0.5491336989141431,0.5318991389512678,0.541403545999752,0.5697469866970627,0.5529889366087628,0.5332117778428554,0.5359417605491986,0.542232809080534,0.5481179415649525,0.5332852975002487,0.546843885878397,0.5640295384400481,0.5613260345479639,0.5467863441514111,0.5417552322153312,0.537613958104358,0.542967744274168,0.5492933174483233,0.5448362707425433,0.5406734573005908,0.5492678387463988,0.5448475889883382,0.5542972758413763,0.5603558676487578,0.5596625710761532,0.5429530958140567,0.5542250080461802,0.5550769963162945,0.5439018817112627,0.5586258594946972,0.5451702855189089,0.5376756879871684,0.5317983611874657,0.5531457022874469,0.5417891519653424,0.5491373535749152,0.5521634214768604,0.5441660218688611,0.5531975516923645,0.5510292953906983,0.5372492494004942,0.5459113350547824,0.5389827720688286,0.5510114663196684,0.541807095389255,0.5297812186372912,0.5508179615898792,0.5479518354193461,0.5507660425510256,0.534726835028839,0.5351279416844513,0.5432149294020249,0.5443957843098545,0.5348651290746786,0.5442509008780724,0.5552000371660305,0.5508861775116273,0.5436231181987021,0.5343233957863408,0.5512179941089783,0.5442281739909041,0.5425195771142449,0.5601376722596071,0.5449039295237043,0.5584991300090413,0.5471759951337046,0.5419088303642069,0.5299213955992333,0.5486583264966415,0.538915640242861,0.5516294149443026,0.5383621754879189,0.5496010067733843,0.5380178451932193,0.5422421118108697,0.5322328364954992,0.5378479211711471,0.5400753145836021,0.5456027751770995,0.5580177373164185,0.5435486480673031,0.5339529982165686,0.5527742532964202,0.5420026666886605,0.5514870537118426,0.5420373663125039,0.5526790160219757,0.5525422006413463,0.532382709383072,0.5631547040582895,0.5527382695029988,0.5375015805930281,0.5430576613744219,0.550732108352296,0.542801570294605,0.5413958430249999,0.5456957988472593,0.5502135653391773
