,1_LRSSL,2_LRSSL,3_LRSSL,4_LRSSL,5_LRSSL,6_LRSSL,7_LRSSL,8_LRSSL,9_LRSSL,10_LRSSL,11_LRSSL,12_LRSSL,13_LRSSL,14_LRSSL,15_LRSSL,16_LRSSL,17_LRSSL,18_LRSSL,19_LRSSL,20_LRSSL,21_LRSSL,22_LRSSL,23_LRSSL,24_LRSSL,25_LRSSL,26_LRSSL,27_LRSSL,28_LRSSL,29_LRSSL,30_LRSSL,31_LRSSL,32_LRSSL,33_LRSSL,34_LRSSL,35_LRSSL,36_LRSSL,37_LRSSL,38_LRSSL,39_LRSSL,40_LRSSL,41_LRSSL,42_LRSSL,43_LRSSL,44_LRSSL,45_LRSSL,46_LRSSL,47_LRSSL,48_LRSSL,49_LRSSL,50_LRSSL,51_LRSSL,52_LRSSL,53_LRSSL,54_LRSSL,55_LRSSL,56_LRSSL,57_LRSSL,58_LRSSL,59_LRSSL,60_LRSSL,61_LRSSL,62_LRSSL,63_LRSSL,64_LRSSL,65_LRSSL,66_LRSSL,67_LRSSL,68_LRSSL,69_LRSSL,70_LRSSL,71_LRSSL,72_LRSSL,73_LRSSL,74_LRSSL,75_LRSSL,76_LRSSL,77_LRSSL,78_LRSSL,79_LRSSL,80_LRSSL,81_LRSSL,82_LRSSL,83_LRSSL,84_LRSSL,85_LRSSL,86_LRSSL,87_LRSSL,88_LRSSL,89_LRSSL,90_LRSSL,91_LRSSL,92_LRSSL,93_LRSSL,94_LRSSL,95_LRSSL,96_LRSSL,97_LRSSL,98_LRSSL,99_LRSSL,100_LRSSL
ACC,0.1262295081967213,0.0967213114754098,0.1573770491803278,0.6754098360655738,0.6196721311475409,0.8459016393442623,0.1081967213114754,0.0770491803278688,0.6557377049180327,0.1311475409836065,0.1885245901639344,0.8442622950819673,0.0754098360655737,0.1540983606557377,0.0639344262295081,0.659016393442623,0.1180327868852459,0.0868852459016393,0.0967213114754098,0.1655737704918032,0.0950819672131147,0.7262295081967213,0.0983606557377049,0.1557377049180328,0.6737704918032786,0.6622950819672131,0.9360655737704918,0.3540983606557377,0.0786885245901639,0.7229508196721312,0.7852459016393443,0.0967213114754098,0.8163934426229508,0.1114754098360655,0.6163934426229508,0.6098360655737705,0.0934426229508196,0.8,0.6573770491803279,0.3459016393442622,0.1721311475409836,0.8360655737704918,0.6327868852459017,0.6622950819672131,0.6459016393442623,0.081967213114754,0.6573770491803279,0.6475409836065574,0.6295081967213115,0.918032786885246,0.1360655737704918,0.6786885245901639,0.101639344262295,0.7491803278688525,0.7672131147540984,0.1147540983606557,0.6147540983606558,0.0737704918032786,0.639344262295082,0.3475409836065574,0.140983606557377,0.6655737704918033,0.081967213114754,0.7327868852459016,0.5852459016393443,0.7032786885245902,0.6622950819672131,0.6327868852459017,0.081967213114754,0.0918032786885245,0.921311475409836,0.1163934426229508,0.6622950819672131,0.7491803278688525,0.081967213114754,0.0868852459016393,0.6278688524590164,0.1262295081967213,0.6557377049180327,0.1196721311475409,0.1196721311475409,0.0885245901639344,0.8540983606557377,0.2442622950819672,0.5655737704918032,0.0885245901639344,0.6524590163934426,0.1131147540983606,0.6508196721311476,0.6245901639344262,0.0852459016393442,0.6327868852459017,0.2049180327868852,0.2278688524590164,0.6836065573770492,0.6524590163934426,0.15737704918032788,0.07704918032786885,0.6360655737704918,0.07049180327868852
AUC,0.5212322987259563,0.5021243893494199,0.5238656689540347,0.5248407373064425,0.4777409122373572,0.4895784074697399,0.5045823733745787,0.4980269357113469,0.5101751254223623,0.5133547308162272,0.5167645297799729,0.5123584425131495,0.4980073688850358,0.4982528404824345,0.4977697592806349,0.5034612447167897,0.5194663248260523,0.5055671056201297,0.5123312627257448,0.5042235807968738,0.5007779019687508,0.5124751862949541,0.4901519513222386,0.5067261324651677,0.5205627337236678,0.5123544631652517,0.5130615054279857,0.5178316851528877,0.503173219908758,0.4836899777609014,0.5235552780044368,0.5132634583512033,0.513042602860927,0.5066223852709649,0.476603762093452,0.4822764092073926,0.5145736794914647,0.503850451097185,0.4886426231043443,0.5204146510501745,0.5089519872139432,0.5094022579873607,0.5158552394970974,0.516050186891065,0.5045295922993134,0.5057338825716291,0.5063537476033925,0.4912612429613158,0.4822811995063269,0.5043066470634332,0.5159815257788439,0.4984581955639294,0.5051733582882494,0.4873629652610612,0.5011549608502223,0.5106698482201472,0.49298754872457,0.5093722609291538,0.4960603774659178,0.5389860533663902,0.5188382242549343,0.5098103535579136,0.5081131510382803,0.5160898438671869,0.486799152054971,0.4849007590199846,0.5162986305068781,0.4894566648564785,0.4980042034597791,0.4921877812321261,0.500367234670643,0.4962873479485745,0.5166204187687102,0.500190736070406,0.5027274413337294,0.5005956885955195,0.49044747597404,0.5049770907209544,0.5041033243291688,0.4977318952877044,0.5028767764294977,0.5006270494827899,0.502053393661939,0.5077536520845379,0.4827535540053505,0.502778248754391,0.5156400326479503,0.524607230555683,0.4982996078035873,0.4754389604540036,0.4923155152486692,0.4967154884638285,0.5070397941290249,0.5116580305494083,0.5199240236750114,0.5040758177178984,0.508265735026787,0.504863197864064,0.4766882901454617,0.4952352908378396
Fscore,0.0003814294031939,0.0002221206863815,0.0004388832640802,0.0007411539608401,0.0006203305712956,0.0006417816746002,0.0004136189211699,0.0002135565950409,0.0005912619387311,0.0006173663177131,0.0006457467806348,0.0007517041661877,0.0002065886834016,0.0006301474087351,0.0001507449435842,0.0007063292412925,0.0002393015594565,0.0001968614475034,0.0002897537329999,0.0003361690261728,0.0003332961425628,0.0006457963364198,0.0004293062239677,0.0005606106299927,0.000630880110463,0.0006804645238892,0.0006615292882748,0.0005570153234596,0.0002556365535864,0.0006654948889291,0.0008351111546768,0.0003759055439313,0.000691217466738,0.0002821216836753,0.0007019485454187,0.0006717917079698,0.0003131931112541,0.0006458486906678,0.0007944620811674,0.0007368069144229,0.0006228407320178,0.0006641492813237,0.0006739678557276,0.0006112752415341,0.000660636325241,0.0002175164472136,0.0006115302891391,0.0008022604855351,0.0005889090529191,0.000615436723477,0.0005224795037548,0.0006598341428176,0.0002491282222251,0.0006361189200563,0.0006307380059986,0.0003631960734259,0.0006238848842175,0.0001843722208159,0.0006365552597559,0.0008481382465041,0.0005184482964417,0.000783264508375,0.0003912276925855,0.0007667864059542,0.0005577403441098,0.0005589890036381,0.0007420765860521,0.0006938699854932,0.0001838290041771,0.0003080597026932,0.0006288313778901,0.0003134617904602,0.0005815724219151,0.0007466122072274,0.0002666771004706,0.0003847463770754,0.0007245449871417,0.0003298566570035,0.0005844187934685,0.0004141210610858,0.0004824611339625,0.0001736335640774,0.000612283647441,0.0005297637106999,0.0006650960285817,0.0002096343797453,0.0006023825623183,0.0002588469473459,0.0007045127454115,0.0007118914944998,0.0002879855593189,0.0006147163805865,0.0005174105339277,0.0006933376056175145,0.0006656949751238434,0.0006257153954719897,0.00044314556458904873,0.00023255584529169155,0.0006806812206204303,0.00022477731390966774
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032786885245901,0.0,0.0,0.001639344262295,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.001639344262295,0.0032786885245901,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.001639344262295,0.0,0.0,0.001639344262295,0.0032786885245901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006557377049180328,0.0,0.0,0.0,0.0,0.0,0.001639344262295082
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.001639344262295,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0032786885245901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003278688524590164,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.3139057115150592,0.321178254953856,0.3369027620600532,0.5560911668990777,0.5217600636629469,0.6559737005053231,0.3064355514237153,0.3000605071738932,0.5223776709797098,0.3233820487226533,0.3273617811447932,0.669399604120893,0.2709372673330688,0.349859282922673,0.296385345952494,0.5704360757423971,0.3114138605456963,0.3024181129616227,0.3113303642361906,0.3658878319028953,0.3165565561749511,0.5998873540718436,0.326668088292966,0.3365546126606018,0.5363399402389096,0.5340029143820445,0.7044924426097126,0.4309872195515516,0.2874263498354551,0.5863972435849217,0.6298250496955247,0.2882496965540025,0.6437340609818937,0.332495733663196,0.5268459907880418,0.5119634247016225,0.2987458895600731,0.6020428046444702,0.5553971233611642,0.4517168712863215,0.3586875541557823,0.6399373174105318,0.5824846783288474,0.5593897844973366,0.5255989990185,0.3033174095394636,0.5573163969581526,0.5341520430326209,0.5379820117046673,0.7077132058487989,0.3098116958748654,0.5914624082309708,0.2791251085315922,0.59459978596571,0.5952207863264669,0.3246949701179342,0.5259315222317076,0.3051382574389126,0.5353922628970629,0.4654512508154282,0.3212899273747871,0.5559306880831318,0.3092545421653467,0.6087730398105461,0.5030981095135035,0.5548539383781083,0.533600811333988,0.52796391700252,0.2971952376588487,0.3338182094362583,0.6955913038812938,0.3228564278712862,0.5394755976408688,0.6006386850247981,0.2903174921381784,0.3181346821752326,0.531055743316719,0.3486161265765944,0.5479347437156366,0.3388457713139065,0.321305887420465,0.3170422315628695,0.6790804184690845,0.3838151389401172,0.485858881846535,0.2909768885694596,0.577705193577479,0.3216877100260671,0.5521060497762472,0.5470164486121091,0.3009737716139689,0.5238238979980363,0.3649156841152339,0.3739414988079074,0.52631907879567,0.5516406727290989,0.335380157201426,0.29972370725159625,0.5621327244280501,0.28566340562928544
NDCGk,0.2150690274420724,0.2039859441354433,0.2161442460718672,0.2044479785929426,0.1998815882379298,0.2043696349021335,0.2128007121442566,0.2145782095738079,0.19728781681665,0.2232679512519081,0.2101272297181066,0.203938247886153,0.2098079597699594,0.2117477239806228,0.2023805972565132,0.2011954205606478,0.2212438342925121,0.2027876603857771,0.2091981903702743,0.1998938766512626,0.2045344625203906,0.2055797005956075,0.2011869155836413,0.2085117753556922,0.2083508439994716,0.2057731320136684,0.2085204921734718,0.2100136741351811,0.2082362019459412,0.2074363233968966,0.2214744186196571,0.2090739261241935,0.2020972284070421,0.2083464090368227,0.1979078888738143,0.1992629305257557,0.2163038461175855,0.2106219157960981,0.199084928129985,0.2093517277985314,0.2085488308381707,0.2065615907974514,0.20332051652522,0.2115381674317982,0.1992619216674868,0.207650402004911,0.2042889849297854,0.2026319919894086,0.1986295491959219,0.2029169229348272,0.2140365761789432,0.2035248751667979,0.2085635141539141,0.2018462261409095,0.2054631014558895,0.2038239128308241,0.2051555081410668,0.2041768269927754,0.2043592723694355,0.2216799484519612,0.2087670528883151,0.2122843965437579,0.2066841633329088,0.1967452076645088,0.2062814575079552,0.2037380006155742,0.2048508187729879,0.2039614306637072,0.2087404541297699,0.2000071469658178,0.2074527760303184,0.2034216640248501,0.2003474654575213,0.2019634125831616,0.2178665454469724,0.205797721497802,0.2094146876414575,0.206405565532011,0.2121741366604237,0.2085152296585923,0.2128806369723244,0.1980135589761319,0.1992818371411379,0.2050775044710868,0.1994956238078474,0.2049463063403739,0.1983375474125334,0.2221856913690595,0.2015335530087752,0.2015301745551201,0.2059139848583284,0.2018592917455362,0.2106723321702646,0.2207498943816866,0.2029147564347215,0.19851952699353376,0.2246388400767707,0.20838947084786566,0.19871708482783323,0.1942247977020802
global AUC,0.1656792427125505,0.1415093551437078,0.1920765411631156,0.6513353223469676,0.6018188912052354,0.8106317789497337,0.1465303900463233,0.1193714037584701,0.6333884000393827,0.1722307208856192,0.2208311884430167,0.8069920381439807,0.1132011224890016,0.1928695964912885,0.1066333327784546,0.63909684432081,0.15781965599018,0.1306419970350527,0.1379912891209594,0.2028265661247587,0.1386364413835076,0.7031962653528319,0.1415397134292818,0.1948334642246825,0.6491975080493994,0.640860496144283,0.8912182918036136,0.3709241458861711,0.1184635580384498,0.6978785856835683,0.7587594946240945,0.1360097310766344,0.7847455284860756,0.1549926508058338,0.5996031912114294,0.5929054856641832,0.1355418214838679,0.7647393298491376,0.6351786354994586,0.3673396444621809,0.2088025998518632,0.8002166869618538,0.6220223397308526,0.639781085521448,0.6233884452088221,0.1248511627482388,0.6372886895439035,0.6272613898295417,0.61150037621721,0.876438541623465,0.1744209112015251,0.6604866081613976,0.1407663620846081,0.7205446136185608,0.7359616193060882,0.1561557465019033,0.5960523520753762,0.1171594278744022,0.6188949640907693,0.3710929974639096,0.1795348672222212,0.6433511801053068,0.1265104036748592,0.7141082369694932,0.5698646382450657,0.6784287513527536,0.6400855259647995,0.6141263063246722,0.1256903209124428,0.1392967380431202,0.8762331975607366,0.1571696614373616,0.6393025816419459,0.7226507429756862,0.1242384550939804,0.1301110081619914,0.6111877705290126,0.1684549963764949,0.6339291493018337,0.1646026607074172,0.1602363584107217,0.1310228069976495,0.8169081152204807,0.2742022263606133,0.5522612769059426,0.1300145824639664,0.6370482491424992,0.1547184344032183,0.630596091617901,0.6081926797521796,0.1278647461463282,0.6126492877616435,0.2375990225459625,0.26347176639957837,0.6586748556228356,0.632892919715617,0.1940792356623275,0.11937322790891428,0.6185088838337724,0.11236062503512081
global NDCG,0.4202394438134917,0.4090744200390071,0.4227906293313419,0.4797726571442233,0.4757659084352138,0.538269994688313,0.4184802355612477,0.4070656397299888,0.4765856599462641,0.4248051920267484,0.432472061846875,0.5240705874128446,0.4046831271179855,0.4261593005965137,0.4023568753015515,0.4843091327087377,0.414166943878301,0.4122256655898133,0.4164661360184441,0.4194227461456151,0.4119278696936036,0.5061738226957992,0.415557279737467,0.4261350788593832,0.4851644123751083,0.4881317832467114,0.5588344091914874,0.4533236955575141,0.420696363438486,0.5003387553443832,0.5262538974353987,0.4313321051880706,0.5243599882524521,0.4211399803398769,0.4779384621826198,0.476470727953268,0.414352785185696,0.5111051821764964,0.4833339263967128,0.459999267941788,0.4329667782233802,0.5257672835071385,0.503507584150427,0.4796551014317004,0.4821648849401528,0.4108517012256505,0.4828799195620221,0.4798070097475999,0.481903537389139,0.5612839467149959,0.4212959651547278,0.5321371552811416,0.4118949048472883,0.504316702145915,0.5091355639118856,0.4153599739327024,0.4794038240527222,0.4088257907458414,0.4758699655331629,0.4589382117996568,0.4255810764654731,0.4850440239742098,0.4118112268116388,0.5242654962931247,0.4751484990826683,0.4964214230930342,0.4819312623245489,0.4797204928281877,0.4073446296136478,0.4104760707903569,0.5506314157431572,0.4134522977437093,0.4826913037509126,0.5178874240767178,0.4072293054455755,0.4130881981637748,0.4828942952136997,0.4186635686007169,0.4781116855718036,0.4205021731828456,0.427055320326248,0.408667443323606,0.5256857366125888,0.443525564534982,0.4838937621805618,0.4123214872106226,0.5053206718030531,0.4139610142335422,0.4826842564579785,0.479629630733917,0.4093931529110443,0.4789519374613098,0.4367585075351557,0.4680210345809538,0.48368588636719906,0.4855152274140617,0.42393443780744383,0.4078732358358977,0.4835075777124427,0.4115643865951081
