,1_LibMF,2_LibMF,3_LibMF,4_LibMF,5_LibMF,6_LibMF,7_LibMF,8_LibMF,9_LibMF,10_LibMF,11_LibMF,12_LibMF,13_LibMF,14_LibMF,15_LibMF,16_LibMF,17_LibMF,18_LibMF,19_LibMF,20_LibMF,21_LibMF,22_LibMF,23_LibMF,24_LibMF,25_LibMF,26_LibMF,27_LibMF,28_LibMF,29_LibMF,30_LibMF,31_LibMF,32_LibMF,33_LibMF,34_LibMF,35_LibMF,36_LibMF,37_LibMF,38_LibMF,39_LibMF,40_LibMF,41_LibMF,42_LibMF,43_LibMF,44_LibMF,45_LibMF,46_LibMF,47_LibMF,48_LibMF,49_LibMF,50_LibMF,51_LibMF,52_LibMF,53_LibMF,54_LibMF,55_LibMF,56_LibMF,57_LibMF,58_LibMF,59_LibMF,60_LibMF,61_LibMF,62_LibMF,63_LibMF,64_LibMF,65_LibMF,66_LibMF,67_LibMF,68_LibMF,69_LibMF,70_LibMF,71_LibMF,72_LibMF,73_LibMF,74_LibMF,75_LibMF,76_LibMF,77_LibMF,78_LibMF,79_LibMF,80_LibMF,81_LibMF,82_LibMF,83_LibMF,84_LibMF,85_LibMF,86_LibMF,87_LibMF,88_LibMF,89_LibMF,90_LibMF,91_LibMF,92_LibMF,93_LibMF,94_LibMF,95_LibMF,96_LibMF,97_LibMF,98_LibMF,99_LibMF,100_LibMF
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0006846231899689475,0.0005511549323618706,0.0006135395853730933,0.0006886167236804766,0.0006327347900730319,0.0006420947469191076,0.0007349217994746627,0.0006881477684913984,0.000590224319045428,0.0006527365724313957,0.0007002224083356702,0.0007292930645960257,0.0006843920564168245,0.0006655891382551025,0.0006946820752449101,0.0006698235389218048,0.0006524046290352208,0.0005625482341732707,0.0006099686119215136,0.0006315228604968824,0.0006242283872290558,0.000588774456985768,0.0006225714766433499,0.000684331953180747,0.000630594498107557,0.0006781756454963292,0.0006529156230058405,0.0006248600954209731,0.0007280359253977951,0.0006931926672148971,0.0007933325727759776,0.0006503793385400636,0.0006484800381323188,0.0005514521468453004,0.00069346954733562,0.000674566896427154,0.0006801978972693281,0.0006557975476508336,0.0007590884764660893,0.0006286138814443166,0.0006759335517225405,0.0006614706417734736,0.0006165115137721249,0.0006132825205411865,0.0006541166407524824,0.0006567917177239626,0.0006100603788945213,0.000788242808420279,0.0005881517247349904,0.0006098961192041884,0.0007146941122825147,0.0006732348527729807,0.0006428325067042894,0.0006516342751622324,0.0006044671571646468,0.0006345899062420886,0.000684215321764503,0.0006628632337623553,0.0006390048146155309,0.0007050775423548543,0.0006409374142501178,0.0007278939408428893,0.000626839644767529,0.0006713998713431769,0.0006244435885346984,0.000622044335788064,0.0007325806122732834,0.0006999302271701308,0.000623104920190775,0.0005743456785351211,0.0006275236379794868,0.0006846907469526002,0.0005813079698259552,0.0007398865254520811,0.0007003530378975345,0.0006312400598379941,0.0007377144041854748,0.0006157726087732402,0.0005821871767739319,0.0005933617341118088,0.0005683546927286206,0.0006980668135729265,0.000606053686153125,0.0006144782504157115,0.0007095309209265365,0.0006570846502947837,0.0005842763369557296,0.0006590698735905775,0.0006797848788214873,0.0007040814017660435,0.0006369157322854013,0.0006361709825217555,0.0005853992898302693,0.0005822264715046324,0.0006308078535208597,0.0006602097242829581,0.0006884403504498622,0.0006712180702503975,0.0006567922112657034,0.0006977655102217018
HR@10,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.001639344262295082
HR@2,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082
Lin's AUC,0.046429259116447096,0.05453504488903188,0.056774185109713236,0.04981842462944019,0.05733742564979215,0.05148478199565661,0.047358805036657306,0.058393544412175875,0.04701636046367715,0.05595123618652294,0.05132816374495513,0.056671360058800746,0.051429368743666624,0.04524376416140999,0.05780954970009203,0.050311625634856576,0.05525621535902388,0.04648923375874473,0.05921165870941201,0.05849546566410986,0.05185475495015878,0.04621565920615687,0.05894682454290358,0.05340986655835113,0.050353331548417445,0.05164649268332319,0.04446364966766849,0.04657519666649981,0.053837801825055605,0.03779719136897288,0.05055759924584852,0.045356121833117484,0.051151902573867064,0.0464246020143287,0.04826093147646514,0.04212514488456164,0.038307639161336185,0.05216232545657452,0.04524643252462356,0.05276837354099648,0.04282128365374551,0.056579356430148366,0.05658161272730071,0.054069167532119954,0.04652982356172968,0.0460581368938821,0.04170963654557353,0.05075762192215994,0.054608054276011495,0.043380351945099226,0.056986611626109046,0.05097939033000818,0.03738108835765571,0.05158352150185368,0.04403784560847515,0.05399976406388856,0.05060783036977895,0.05256112396332747,0.05986191191229104,0.04943195989665995,0.04618231340249069,0.05493877489442007,0.049450789401035165,0.05019056615609442,0.05113493159478967,0.03885415897280905,0.04571656099038578,0.04848206955067381,0.04866627084720338,0.04633749339336507,0.05059972219220703,0.05681145821615135,0.05030114171293777,0.05093077420804282,0.048848254451274845,0.04539542787666642,0.045465789800940855,0.052100249080926336,0.04351083000177565,0.04486442451519262,0.061928068812191935,0.05551709052161626,0.04840285827597707,0.0567945659850269,0.05266593201248052,0.04052827030804312,0.05378567187500136,0.03783225254687344,0.04448902053341563,0.056520986445103755,0.06310189117441344,0.0481202539450039,0.0611263095704842,0.059317789537092554,0.053234270927839236,0.05148973636020653,0.04753414431799978,0.05206573399732188,0.045533919541515894,0.04535235891965092
NDCGk,0.20083699848857864,0.20199768818665303,0.19989463152968703,0.2086139471927637,0.20830175680330548,0.20519718349626814,0.2022363264862129,0.20831327817420728,0.19666666927780715,0.19987934638287194,0.20122414085309107,0.19908401444683044,0.20742807873558763,0.20235963937229745,0.20007923807628963,0.20434885597409705,0.2031408550106618,0.2036934882312953,0.19808272169384594,0.19018979155123947,0.2036216959705528,0.2058214062382022,0.20012520550611027,0.20252251044313374,0.18693954447797975,0.1971608283446518,0.2044705590482901,0.19717942862324836,0.2001555055773041,0.2099209934148484,0.2040989803189235,0.20743989673407343,0.1971460608268644,0.19491352396757766,0.20202149894495397,0.2024443001969337,0.19897823685202026,0.20531436934504155,0.20484972703918894,0.1971210442127676,0.20175878539051523,0.20452026915374535,0.20361066295800087,0.20557409790053746,0.1979311438341674,0.20386566259727107,0.19507384759690702,0.2046569373207642,0.2059706927598137,0.20523230412042573,0.19462603266758793,0.20214263016844494,0.2059177440148821,0.20228503021444452,0.20051228489705009,0.1976709687259904,0.20313920379394096,0.20897883263618722,0.20631314377321355,0.19772596366053954,0.20420779672232428,0.2056923406537057,0.19955611902832093,0.20105144639874045,0.19639323721451998,0.20477468686231182,0.20440125003933732,0.20186409384760692,0.20287711973743322,0.2023768927669132,0.2038062589684362,0.2088334507365891,0.18726867163982497,0.20496424163243293,0.20437218261448836,0.19560358913140605,0.20616734575152698,0.2016714303287183,0.1934172294929104,0.20445632575485045,0.19918113999036252,0.19871564005869177,0.1991600267239808,0.19979165202986762,0.20182501809040432,0.2023496697107561,0.19802688892369918,0.20364420203580327,0.20641336405167496,0.1973090813890886,0.20787058493041938,0.20941465764337003,0.19421254390205195,0.19791481659508778,0.19622973441732824,0.19475154572059822,0.2012087713970491,0.20576894085179115,0.20479814300381832,0.20371420854328026
global AUC,0.89839092400027,0.8989565259305907,0.8996650607088323,0.8990930639861753,0.9002464261418226,0.89764288965267,0.8978692896233826,0.9000322013882306,0.8977382666616085,0.8996788974032405,0.8987278501150383,0.89952247689749,0.8980048642748364,0.8981663671322141,0.8999518898088047,0.8994720308461155,0.8994084461734899,0.898002937466575,0.8985887708836403,0.9005743325828363,0.8988833072166582,0.8971010237890381,0.8994733432868247,0.8988357513776758,0.8980928830873078,0.8988409174349078,0.8976746819889829,0.8985787878057548,0.8988861974290503,0.8970104638007531,0.8992298673727335,0.8972401030204362,0.8987532476590148,0.898040510227672,0.8973339022576918,0.8969552007287251,0.8963430063635528,0.8973098171544245,0.8973705116146581,0.8988145564868005,0.8977633151690065,0.8991996528081035,0.9002069265724643,0.8991649702593986,0.8975188758507846,0.8970008297594462,0.8963420429594221,0.8978490581366381,0.899237574605779,0.8973907431014025,0.9003691275029989,0.8991778435496761,0.8967506100164401,0.897866748447569,0.8980539978855017,0.8980713391598542,0.8978297900540242,0.8983356609282421,0.8991894043992443,0.8975802683841752,0.8984275333572362,0.8992038554612047,0.8987846909587491,0.8981012046879056,0.8990705566545908,0.8979524914152006,0.898146484682048,0.8984011724091291,0.8990676664421988,0.8980690633150142,0.8974552911781589,0.898567575992765,0.899202892057074,0.8982974737995929,0.8986118925827768,0.8971649574982423,0.8979101016334501,0.8991360681354779,0.8981917646761906,0.8973207636364406,0.9000832618071573,0.8991283609024323,0.8986311606653907,0.8987875811711412,0.898502064511878,0.896833811808258,0.8992077090777275,0.8966442865254856,0.8975015345764321,0.8996750437867178,0.9005114459833676,0.8976261627458698,0.9005091701385277,0.8994656360537792,0.9000058404401234,0.8981217852112285,0.8986315097019691,0.8991052392032958,0.8981699554177631,0.8979312965243254
global NDCG,0.47906089047347133,0.4859683118594998,0.48790150605157095,0.4843034681987538,0.4862227659334844,0.48450555640858733,0.4839808945540814,0.48777152429970405,0.4810342641921505,0.48176834558981385,0.48335327867913325,0.4906082260922457,0.48235190959813595,0.4814654287087892,0.48696171276270067,0.4833918574570423,0.49055843804392707,0.4878513089638482,0.4843061308652993,0.4882060666179201,0.49001779144670565,0.48023317023570933,0.4875122069455763,0.4838305637644688,0.48306058385957523,0.48565077080961433,0.48158097856531135,0.481171658964975,0.48428798123381384,0.48186392533033284,0.48052501482898136,0.4819160273119927,0.4843768769991189,0.4824431172679137,0.48138055734138446,0.482454336541604,0.4800290625635966,0.48234069469933827,0.48164381909030246,0.4861735324942666,0.481512795805374,0.4829890435621533,0.4884581295919508,0.4865500579888746,0.48314858083829615,0.4824695978909503,0.47790931040965906,0.48159290139241445,0.48441985867746334,0.481361069941592,0.4878912320248038,0.48555675269038945,0.48298286860395745,0.4832952867531971,0.48174429214479275,0.48365892680264744,0.482569115912238,0.4841347331330647,0.4844984792479283,0.4823303422150562,0.48591685501116294,0.484426756668973,0.4847902749509794,0.48350862893064794,0.4857238188175202,0.48165351153131514,0.48554756458640935,0.48374162425543016,0.4849696220135263,0.48233143239270815,0.48471001912962647,0.4843875247728424,0.4860279963155601,0.48410105592860103,0.48344428536368944,0.48150938789574205,0.48347392375032794,0.48441686038840837,0.4851337048711235,0.48102411590709415,0.48945692254343126,0.4888489228760135,0.4831282103502698,0.4851318666987853,0.48240403811228444,0.48255541827531534,0.48160945887048107,0.4806031161705469,0.483912151828407,0.49138281159453895,0.48764410436772476,0.48330468749694167,0.4892419498559827,0.4905324091276325,0.4839829067035264,0.48030047063832376,0.48054542378260756,0.48436093738710917,0.4813758855137111,0.4828352175507654
