,1_LogisticMF,2_LogisticMF,3_LogisticMF,4_LogisticMF,5_LogisticMF,6_LogisticMF,7_LogisticMF,8_LogisticMF,9_LogisticMF,10_LogisticMF,11_LogisticMF,12_LogisticMF,13_LogisticMF,14_LogisticMF,15_LogisticMF,16_LogisticMF,17_LogisticMF,18_LogisticMF,19_LogisticMF,20_LogisticMF,21_LogisticMF,22_LogisticMF,23_LogisticMF,24_LogisticMF,25_LogisticMF,26_LogisticMF,27_LogisticMF,28_LogisticMF,29_LogisticMF,30_LogisticMF,31_LogisticMF,32_LogisticMF,33_LogisticMF,34_LogisticMF,35_LogisticMF,36_LogisticMF,37_LogisticMF,38_LogisticMF,39_LogisticMF,40_LogisticMF,41_LogisticMF,42_LogisticMF,43_LogisticMF,44_LogisticMF,45_LogisticMF,46_LogisticMF,47_LogisticMF,48_LogisticMF,49_LogisticMF,50_LogisticMF,51_LogisticMF,52_LogisticMF,53_LogisticMF,54_LogisticMF,55_LogisticMF,56_LogisticMF,57_LogisticMF,58_LogisticMF,59_LogisticMF,60_LogisticMF,61_LogisticMF,62_LogisticMF,63_LogisticMF,64_LogisticMF,65_LogisticMF,66_LogisticMF,67_LogisticMF,68_LogisticMF,69_LogisticMF,70_LogisticMF,71_LogisticMF,72_LogisticMF,73_LogisticMF,74_LogisticMF,75_LogisticMF,76_LogisticMF,77_LogisticMF,78_LogisticMF,79_LogisticMF,80_LogisticMF,81_LogisticMF,82_LogisticMF,83_LogisticMF,84_LogisticMF,85_LogisticMF,86_LogisticMF,87_LogisticMF,88_LogisticMF,89_LogisticMF,90_LogisticMF,91_LogisticMF,92_LogisticMF,93_LogisticMF,94_LogisticMF,95_LogisticMF,96_LogisticMF,97_LogisticMF,98_LogisticMF,99_LogisticMF,100_LogisticMF
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0006846231899689475,0.0005511549323618706,0.0006135395853730933,0.0006886167236804766,0.0006327347900730319,0.0006420947469191076,0.0007349217994746627,0.0006881477684913984,0.000590224319045428,0.0006527365724313957,0.0007002224083356702,0.0007292930645960257,0.0006843920564168245,0.0006655891382551025,0.0006946820752449101,0.0006698235389218048,0.0006524046290352208,0.0005625482341732707,0.0006099686119215136,0.0006315228604968824,0.0006242283872290558,0.000588774456985768,0.0006225714766433499,0.000684331953180747,0.000630594498107557,0.0006781756454963292,0.0006529156230058405,0.0006248600954209731,0.0007280359253977951,0.0006931926672148971,0.0007933325727759776,0.0006503793385400636,0.0006484800381323188,0.0005514521468453004,0.00069346954733562,0.000674566896427154,0.0006801978972693281,0.0006557975476508336,0.0007590884764660893,0.0006286138814443166,0.0006759335517225405,0.0006614706417734736,0.0006165115137721249,0.0006132825205411865,0.0006541166407524824,0.0006567917177239626,0.0006100603788945213,0.000788242808420279,0.0005881517247349904,0.0006098961192041884,0.0007146941122825147,0.0006732348527729807,0.0006428325067042894,0.0006516342751622324,0.0006044671571646468,0.0006345899062420886,0.000684215321764503,0.0006628632337623553,0.0006390048146155309,0.0007050775423548543,0.0006409374142501178,0.0007278939408428893,0.000626839644767529,0.0006713998713431769,0.0006244435885346984,0.000622044335788064,0.0007325806122732834,0.0006999302271701308,0.000623104920190775,0.0005743456785351211,0.0006275236379794868,0.0006846907469526002,0.0005813079698259552,0.0007398865254520811,0.0007003530378975345,0.0006312400598379941,0.0007377144041854748,0.0006157726087732402,0.0005821871767739319,0.0005933617341118088,0.0005683546927286206,0.0006980668135729265,0.000606053686153125,0.0006144782504157115,0.0007095309209265365,0.0006570846502947837,0.0005842763369557296,0.0006590698735905775,0.0006797848788214873,0.0007040814017660435,0.0006369157322854013,0.0006361709825217555,0.0005853992898302693,0.0005822264715046324,0.0006308078535208597,0.0006602097242829581,0.0006884403504498622,0.0006712180702503975,0.0006567922112657034,0.0006977655102217018
HR@10,0.003278688524590164,0.0,0.0,0.001639344262295082,0.001639344262295082,0.003278688524590164,0.001639344262295082,0.0,0.001639344262295082,0.0,0.003278688524590164,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.001639344262295082,0.001639344262295082,0.0,0.0,0.0,0.001639344262295082,0.0,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.003278688524590164,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.001639344262295082,0.001639344262295082,0.0,0.001639344262295082,0.0,0.0,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.0,0.0,0.001639344262295082,0.0,0.0,0.001639344262295082,0.004918032786885246,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.0,0.0,0.0,0.003278688524590164,0.003278688524590164,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.0,0.0
HR@2,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.003278688524590164,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.003278688524590164,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.001639344262295082,0.001639344262295082,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.001639344262295082,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.7507925911106272,0.7466678276373355,0.7636539601915893,0.7720937640707334,0.7633118457915755,0.7645715121465345,0.7863656825529896,0.7712570571874274,0.7674287483523301,0.7519851954948953,0.7610897697409101,0.7689640106221863,0.7879222892951872,0.7665688802959332,0.7711770922870178,0.7776518503963595,0.7414807401540138,0.7395482735865142,0.7545662446496969,0.7471445346710907,0.748392322174751,0.739675556936993,0.7692914826272692,0.7789797410323904,0.7702644899744937,0.7536484542424381,0.7631783815538606,0.7736240697356465,0.7716771907405497,0.7618793979152295,0.7423287780877095,0.7762988762413624,0.7455043702947788,0.764872348840401,0.7775075478448185,0.7666838237683017,0.762727504376903,0.757954563758035,0.7913221785851711,0.7604247934219273,0.7384010446662769,0.743837832010988,0.7839001433115782,0.7548835635813511,0.750942899508301,0.7608589303247028,0.7532883937009147,0.7713770673100654,0.7629907202156091,0.7591667831526927,0.7784548683538147,0.7584628075942256,0.7502362003737497,0.7595943870167032,0.7570814307778233,0.771784063186184,0.7538894455415742,0.7522563047973145,0.7751059037208329,0.7846593266561136,0.7459843911344382,0.7547182082972723,0.7416685258970362,0.7626207238392724,0.7507629325269104,0.7667038614316954,0.7646812138530845,0.7651880296901247,0.7552652845514879,0.7332520390524765,0.7525267644530791,0.7579350296797951,0.7374789458995165,0.7653357976389136,0.7835941682296591,0.7499542399556578,0.7696585107679254,0.7527238505704354,0.7583173503703051,0.7457219466886196,0.7530316965383167,0.7458674957686446,0.7831480028969086,0.7547912329636518,0.7489862704365482,0.7335715549001646,0.7435990385187532,0.7537060821572831,0.7646716995497498,0.7822986213092581,0.7726271720120644,0.7458772014089815,0.7527133831260293,0.7478602091234728,0.7436200971179275,0.7788801898334018,0.7706257914669996,0.761025071596783,0.7614597141162941,0.7823789863282021
NDCGk,0.20083699848857864,0.20199768818665303,0.19989463152968703,0.2086139471927637,0.20830175680330548,0.20519718349626814,0.2022363264862129,0.20831327817420728,0.19666666927780715,0.19987934638287194,0.20122414085309107,0.19908401444683044,0.20742807873558763,0.20235963937229745,0.20007923807628963,0.20434885597409705,0.2031408550106618,0.2036934882312953,0.19808272169384594,0.19018979155123947,0.2036216959705528,0.2058214062382022,0.20012520550611027,0.20252251044313374,0.18693954447797975,0.1971608283446518,0.2044705590482901,0.19717942862324836,0.2001555055773041,0.2099209934148484,0.2040989803189235,0.20743989673407343,0.1971460608268644,0.19491352396757766,0.20202149894495397,0.2024443001969337,0.19897823685202026,0.20531436934504155,0.20484972703918894,0.1971210442127676,0.20175878539051523,0.20452026915374535,0.20361066295800087,0.20557409790053746,0.1979311438341674,0.20386566259727107,0.19507384759690702,0.2046569373207642,0.2059706927598137,0.20523230412042573,0.19462603266758793,0.20214263016844494,0.2059177440148821,0.20228503021444452,0.20051228489705009,0.1976709687259904,0.20313920379394096,0.20897883263618722,0.20631314377321355,0.19772596366053954,0.20420779672232428,0.2056923406537057,0.19955611902832093,0.20105144639874045,0.19639323721451998,0.20477468686231182,0.20440125003933732,0.20186409384760692,0.20287711973743322,0.2023768927669132,0.2038062589684362,0.2088334507365891,0.18726867163982497,0.20496424163243293,0.20437218261448836,0.19560358913140605,0.20616734575152698,0.2016714303287183,0.1934172294929104,0.20445632575485045,0.19918113999036252,0.19871564005869177,0.1991600267239808,0.19979165202986762,0.20182501809040432,0.2023496697107561,0.19802688892369918,0.20364420203580327,0.20641336405167496,0.1973090813890886,0.20787058493041938,0.20941465764337003,0.19421254390205195,0.19791481659508778,0.19622973441732824,0.19475154572059822,0.2012087713970491,0.20576894085179115,0.20479814300381832,0.20371420854328026
global AUC,0.9546072180827607,0.9541648007950326,0.9553980117802532,0.9588328665350772,0.9568848128435858,0.9570207381109691,0.9588869624666911,0.9573710192180803,0.9573865347626375,0.9540316930898939,0.9569432172448202,0.957202126577215,0.9611590168640891,0.9575855740560384,0.9593294460871625,0.958710308894845,0.9512625979699084,0.9559105585712911,0.9588032252748727,0.9539213122461331,0.9554156404964936,0.9509865969006247,0.9563122759828752,0.9589846832325639,0.9582620669605039,0.9567238232752941,0.9576140592312863,0.9598762932239555,0.9592582552599576,0.9602773157210844,0.9549893452241198,0.9592714586346011,0.9550325309987915,0.9571075961004307,0.9590808246474029,0.9598378107566629,0.9570935935741639,0.9560044320380455,0.9614001174342255,0.9561233571708996,0.951211452266026,0.9537324123863702,0.9563926902201183,0.9565681940244116,0.9552905748468196,0.9576656913752872,0.9580279597567458,0.9593101653697405,0.9548605112428789,0.9580245894216394,0.9589387588631995,0.9560501542504775,0.9533255557665218,0.9569011275397663,0.9561991439096134,0.9582844305711442,0.954960714748577,0.9579544125377981,0.9583289998573215,0.9592345270900239,0.9562848205445015,0.958034447730793,0.9538951739865217,0.9574026157148648,0.9539564970284669,0.9567247772033187,0.9600696373775282,0.9569099182076211,0.9553229831300355,0.9529935761791917,0.9539050796762066,0.9561786692028096,0.950798647810184,0.95698446041772,0.9602852345871685,0.9551425296396019,0.9576337821669978,0.9543417828718938,0.9559048002574216,0.952848234820944,0.9567644125968658,0.9566827569897102,0.95723942137253,0.9525361171522165,0.9527790687217645,0.9496117402385761,0.9543053346087329,0.9552141089871611,0.9580243935821112,0.9610248036132267,0.9562362902459312,0.9555022394723856,0.9517322211585469,0.9516512225614212,0.953526613470544,0.9597584546846126,0.9574211383437907,0.9562237186117012,0.9561615743072185,0.9592010795938276
global NDCG,0.6054500910390582,0.5859481697871728,0.5886213114475367,0.598377733204298,0.6020977879472851,0.5994494107823855,0.593012565481559,0.6018807940106761,0.5930210337165952,0.5844207036651777,0.5996210200173671,0.5970315563928359,0.6044160084559337,0.6021463387489412,0.5959950218395563,0.591020900347373,0.5892017308633427,0.5877546850737753,0.6057245467146927,0.5894458695362322,0.5916238393652875,0.5817494824851664,0.5896739862361509,0.5867209576814187,0.6016664689074318,0.5944372908868453,0.5972901035783015,0.599321323658206,0.6106913822110264,0.6060650280673109,0.5854341534043542,0.59319600718609,0.590971313481143,0.5928845890333354,0.5976919610043147,0.6014391485403423,0.5868836171344123,0.5951390555769668,0.5962370113521454,0.5882119143188616,0.5746853286257606,0.5968197915407841,0.5895266579232772,0.5834364437281363,0.5922713867691684,0.6067085324139039,0.5956132476860537,0.6083313399347625,0.5839722305515522,0.5955611686457666,0.5974970537418427,0.5970995475851565,0.5846865653918057,0.5945682187639645,0.5903197964397544,0.5900889188263823,0.5883857358887661,0.5949063259936729,0.5951052407338823,0.60304350868432,0.5939374124807334,0.6009961697419773,0.5849570536485728,0.5884974105917996,0.5848101474193492,0.5945397517215801,0.5992041502721935,0.5878687691758095,0.5964294176372976,0.5870509887136036,0.5928153908006994,0.6064858096313337,0.5993814358787067,0.594972727034844,0.5977259588428037,0.586188170233604,0.6096420137626359,0.5915886872376264,0.5887045427893284,0.5940470431175299,0.6021256903711841,0.5944642919713365,0.5970567522203575,0.5896558953867403,0.5913471670651584,0.5858738851129897,0.5935708676090443,0.5850057828261842,0.5993453234511362,0.6268763450748047,0.5971872948081591,0.5931145195720129,0.5856429496110662,0.5822939580441525,0.5861148854990442,0.6035487162655527,0.5965474600631048,0.5918841851158594,0.5940091082144994,0.5935187617554043
