,1_MBiRW,2_MBiRW,3_MBiRW,4_MBiRW,5_MBiRW,6_MBiRW,7_MBiRW,8_MBiRW,9_MBiRW,10_MBiRW,11_MBiRW,12_MBiRW,13_MBiRW,14_MBiRW,15_MBiRW,16_MBiRW,17_MBiRW,18_MBiRW,19_MBiRW,20_MBiRW,21_MBiRW,22_MBiRW,23_MBiRW,24_MBiRW,25_MBiRW,26_MBiRW,27_MBiRW,28_MBiRW,29_MBiRW,30_MBiRW,31_MBiRW,32_MBiRW,33_MBiRW,34_MBiRW,35_MBiRW,36_MBiRW,37_MBiRW,38_MBiRW,39_MBiRW,40_MBiRW,41_MBiRW,42_MBiRW,43_MBiRW,44_MBiRW,45_MBiRW,46_MBiRW,47_MBiRW,48_MBiRW,49_MBiRW,50_MBiRW,51_MBiRW,52_MBiRW,53_MBiRW,54_MBiRW,55_MBiRW,56_MBiRW,57_MBiRW,58_MBiRW,59_MBiRW,60_MBiRW,61_MBiRW,62_MBiRW,63_MBiRW,64_MBiRW,65_MBiRW,66_MBiRW,67_MBiRW,68_MBiRW,69_MBiRW,70_MBiRW,71_MBiRW,72_MBiRW,73_MBiRW,74_MBiRW,75_MBiRW,76_MBiRW,77_MBiRW,78_MBiRW,79_MBiRW,80_MBiRW,81_MBiRW,82_MBiRW,83_MBiRW,84_MBiRW,85_MBiRW,86_MBiRW,87_MBiRW,88_MBiRW,89_MBiRW,90_MBiRW,91_MBiRW,92_MBiRW,93_MBiRW,94_MBiRW,95_MBiRW,96_MBiRW,97_MBiRW,98_MBiRW,99_MBiRW,100_MBiRW
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0006846231899689,0.0005511549323618,0.000613539585373,0.0006886167236804,0.000632734790073,0.0006420947469191,0.0007349217994746,0.0006881477684913,0.0005902243190454,0.0006527365724313,0.0007002224083356,0.000729293064596,0.0006843920564168,0.0006655891382551,0.0006946820752449,0.0006698235389218,0.0006524046290352,0.0005625482341732,0.0006099686119215,0.0006315228604968,0.000624228387229,0.0005887744569857,0.0006225714766433,0.0006843319531807,0.0006305944981075,0.0006781756454963,0.0006529156230058,0.0006248600954209,0.0007280359253977,0.0006931926672148,0.0007933325727759,0.00065037933854,0.0006484800381323,0.0005514521468453,0.0006934695473356,0.0006745668964271,0.0006801978972693,0.0006557975476508,0.000759088476466,0.0006286138814443,0.0006759335517225,0.0006614706417734,0.0006165115137721,0.0006132825205411,0.0006541166407524,0.0006567917177239,0.0006100603788945,0.0007882428084202,0.0005881517247349,0.0006098961192041,0.0007146941122825,0.0006732348527729,0.0006428325067042,0.0006516342751622,0.0006044671571646,0.000634589906242,0.0006842153217645,0.0006628632337623,0.0006390048146155,0.0007050775423548,0.0006409374142501,0.0007278939408428,0.0006268396447675,0.0006713998713431,0.0006244435885346,0.000622044335788,0.0007325806122732,0.0006999302271701,0.0006231049201907,0.0005743456785351,0.0006275236379794,0.0006846907469526,0.0005813079698259,0.000739886525452,0.0007003530378975,0.0006312400598379,0.0007377144041854,0.0006157726087732,0.0005821871767739,0.0005933617341118,0.0005683546927286,0.0006980668135729,0.0006060536861531,0.0006144782504157,0.0007095309209265,0.0006570846502947,0.0005842763369557,0.0006590698735905,0.0006797848788214,0.000704081401766,0.0006369157322854,0.0006361709825217,0.0005853992898302,0.0005822264715046,0.0006308078535208,0.0006602097242829,0.0006884403504498,0.0006712180702503975,0.0006567922112657034,0.0006977655102217018
HR@10,0.0081967213114754,0.0147540983606557,0.0131147540983606,0.0147540983606557,0.0163934426229508,0.0147540983606557,0.0114754098360655,0.0114754098360655,0.0147540983606557,0.0098360655737704,0.0131147540983606,0.0081967213114754,0.0147540983606557,0.0147540983606557,0.0147540983606557,0.0114754098360655,0.0147540983606557,0.0163934426229508,0.0131147540983606,0.0114754098360655,0.0147540983606557,0.0114754098360655,0.0147540983606557,0.0147540983606557,0.0163934426229508,0.0131147540983606,0.0131147540983606,0.0131147540983606,0.0114754098360655,0.0131147540983606,0.0163934426229508,0.0131147540983606,0.0131147540983606,0.0163934426229508,0.0163934426229508,0.0098360655737704,0.0147540983606557,0.0147540983606557,0.0147540983606557,0.0147540983606557,0.0131147540983606,0.0131147540983606,0.0147540983606557,0.0131147540983606,0.0114754098360655,0.0131147540983606,0.0163934426229508,0.0114754098360655,0.0147540983606557,0.0163934426229508,0.0114754098360655,0.0131147540983606,0.0114754098360655,0.0163934426229508,0.0065573770491803,0.0131147540983606,0.0114754098360655,0.0131147540983606,0.0147540983606557,0.0131147540983606,0.0131147540983606,0.0131147540983606,0.0114754098360655,0.0131147540983606,0.0163934426229508,0.0098360655737704,0.0147540983606557,0.0131147540983606,0.0147540983606557,0.0098360655737704,0.0131147540983606,0.0098360655737704,0.0147540983606557,0.0131147540983606,0.0131147540983606,0.0147540983606557,0.0114754098360655,0.0147540983606557,0.0131147540983606,0.0131147540983606,0.0147540983606557,0.0163934426229508,0.0131147540983606,0.0163934426229508,0.0163934426229508,0.0114754098360655,0.0114754098360655,0.0163934426229508,0.0163934426229508,0.0114754098360655,0.0131147540983606,0.0131147540983606,0.0147540983606557,0.0163934426229508,0.0163934426229508,0.0114754098360655,0.0147540983606557,0.013114754098360656,0.013114754098360656,0.013114754098360656
HR@2,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.001639344262295,0.0032786885245901,0.001639344262295,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.001639344262295,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.001639344262295,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.001639344262295,0.001639344262295,0.0032786885245901,0.0032786885245901,0.001639344262295,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.001639344262295,0.0032786885245901,0.001639344262295,0.0032786885245901,0.001639344262295,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.001639344262295,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.001639344262295,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.001639344262295,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.001639344262295,0.001639344262295,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.0032786885245901,0.003278688524590164,0.003278688524590164,0.003278688524590164
HR@5,0.0049180327868852,0.0081967213114754,0.0081967213114754,0.0081967213114754,0.0081967213114754,0.0081967213114754,0.0049180327868852,0.0049180327868852,0.0081967213114754,0.0049180327868852,0.0081967213114754,0.0049180327868852,0.0081967213114754,0.0081967213114754,0.0081967213114754,0.0049180327868852,0.0081967213114754,0.0081967213114754,0.0081967213114754,0.0065573770491803,0.0065573770491803,0.0081967213114754,0.0081967213114754,0.0081967213114754,0.0081967213114754,0.0065573770491803,0.0065573770491803,0.0081967213114754,0.0065573770491803,0.0065573770491803,0.0081967213114754,0.0081967213114754,0.0049180327868852,0.0081967213114754,0.0081967213114754,0.0065573770491803,0.0081967213114754,0.0081967213114754,0.0065573770491803,0.0081967213114754,0.0065573770491803,0.0081967213114754,0.0065573770491803,0.0065573770491803,0.0049180327868852,0.0081967213114754,0.0081967213114754,0.0065573770491803,0.0081967213114754,0.0081967213114754,0.0065573770491803,0.0065573770491803,0.0049180327868852,0.0081967213114754,0.0049180327868852,0.0065573770491803,0.0081967213114754,0.0065573770491803,0.0081967213114754,0.0081967213114754,0.0081967213114754,0.0065573770491803,0.0065573770491803,0.0081967213114754,0.0081967213114754,0.0032786885245901,0.0081967213114754,0.0065573770491803,0.0081967213114754,0.0065573770491803,0.0081967213114754,0.0049180327868852,0.0081967213114754,0.0065573770491803,0.0065573770491803,0.0081967213114754,0.0049180327868852,0.0065573770491803,0.0065573770491803,0.0065573770491803,0.0081967213114754,0.0081967213114754,0.0081967213114754,0.0081967213114754,0.0081967213114754,0.0081967213114754,0.0081967213114754,0.0081967213114754,0.0081967213114754,0.0081967213114754,0.0081967213114754,0.0065573770491803,0.0081967213114754,0.0081967213114754,0.0081967213114754,0.0065573770491803,0.0081967213114754,0.00819672131147541,0.006557377049180328,0.00819672131147541
Lin's AUC,0.9155242628716096,0.9150596165152888,0.9198304364506036,0.9202645376045114,0.9018260376677516,0.9181761762736944,0.9197988828256628,0.9100658491681176,0.9175955548971028,0.9030304182390708,0.9031488199928922,0.9137574990018312,0.9127310046349814,0.9165092407627674,0.9081211051413708,0.9185998381705194,0.902923929960322,0.9160498468186106,0.9088481634742926,0.915359405280214,0.9043212396689044,0.9144484569610098,0.8987270099648957,0.923967815565147,0.924640996454732,0.9191325473575652,0.9151252221898046,0.9185240823823668,0.9223762188815232,0.9014106818674112,0.9063169510168544,0.9174333162141436,0.908611330571883,0.9061722573667264,0.9217350985472624,0.9138094492848094,0.910659478351518,0.9126029537200608,0.9269524088877812,0.919390871269908,0.9007883684964808,0.9099273372315572,0.9209673779016893,0.916469169401452,0.9058303779398846,0.9075897353937954,0.9105463078337326,0.9143082248388366,0.9180439343436247,0.9095491958555688,0.9129152098442984,0.9113564055064302,0.9155743874676906,0.9136463328245268,0.915336914848465,0.9215217110149692,0.9197533278640612,0.912225653611732,0.9128489680029872,0.9185719566195436,0.9091244522514076,0.9195812144126266,0.9116118422468406,0.9194142776916032,0.9146000780163724,0.914810068410559,0.9216048309388744,0.9101515660963276,0.9153188062184214,0.905517502022882,0.8961287767992835,0.91078862500958,0.9002044663206296,0.9101384385708008,0.9135655326259404,0.8988211246795469,0.9120358500782336,0.9070775284947435,0.905731476450616,0.9055034629320292,0.904001520835378,0.905740108548784,0.9040040177775612,0.9038878466019552,0.9164703836443372,0.9049394319527048,0.920581468343236,0.9203370284032364,0.9106429644367724,0.9249335472524992,0.9188586609461936,0.9115477589237848,0.9165238119226355,0.9171997630945284,0.9144862501654224,0.9187888351352343,0.9081313103505296,0.922378541154272,0.9089753782130133,0.9166368556057681
NDCGk,0.2008369984885786,0.201997688186653,0.199894631529687,0.2086139471927637,0.2083017568033054,0.2051971834962681,0.2022363264862129,0.2083132781742072,0.1966666692778071,0.1998793463828719,0.201224140853091,0.1990840144468304,0.2074280787355876,0.2023596393722974,0.2000792380762896,0.204348855974097,0.2031408550106618,0.2036934882312953,0.1980827216938459,0.1901897915512394,0.2036216959705528,0.2058214062382022,0.2001252055061102,0.2025225104431337,0.1869395444779797,0.1971608283446518,0.2044705590482901,0.1971794286232483,0.2001555055773041,0.2099209934148484,0.2040989803189235,0.2074398967340734,0.1971460608268644,0.1949135239675776,0.2020214989449539,0.2024443001969337,0.1989782368520202,0.2053143693450415,0.2048497270391889,0.1971210442127676,0.2017587853905152,0.2045202691537453,0.2036106629580008,0.2055740979005374,0.1979311438341674,0.203865662597271,0.195073847596907,0.2046569373207642,0.2059706927598137,0.2052323041204257,0.1946260326675879,0.2021426301684449,0.2059177440148821,0.2022850302144445,0.20051228489705,0.1976709687259904,0.2031392037939409,0.2089788326361872,0.2063131437732135,0.1977259636605395,0.2042077967223242,0.2056923406537057,0.1995561190283209,0.2010514463987404,0.1963932372145199,0.2047746868623118,0.2044012500393373,0.2018640938476069,0.2028771197374332,0.2023768927669132,0.2038062589684362,0.2088334507365891,0.1872686716398249,0.2049642416324329,0.2043721826144883,0.195603589131406,0.2061673457515269,0.2016714303287183,0.1934172294929104,0.2044563257548504,0.1991811399903625,0.1987156400586917,0.1991600267239808,0.1997916520298676,0.2018250180904043,0.2023496697107561,0.1980268889236991,0.2036442020358032,0.2064133640516749,0.1973090813890886,0.2078705849304193,0.20941465764337,0.1942125439020519,0.1979148165950877,0.1962297344173282,0.1947515457205982,0.2012087713970491,0.20576894085179115,0.20479814300381832,0.20371420854328026
global AUC,0.9826715894617236,0.9840119910016158,0.984241674443128,0.9837397756367604,0.9810953765983071,0.9840286863213956,0.9832184602887818,0.9827863782742196,0.9829609091982762,0.9815499548889964,0.9826113482752364,0.983482603590503,0.9827609917857004,0.9846438530252136,0.9825833179530864,0.9848626184130282,0.9794191766002844,0.9834852821698564,0.9834196822453116,0.9843457442001572,0.9820430882971256,0.9815667307556788,0.9808701421886578,0.9854942640655344,0.9844255077447744,0.9839419894257394,0.9849541702337626,0.9832835390274856,0.9855306807416746,0.9821407601031166,0.980560295626717,0.9840969363969752,0.9819386047501256,0.9833184837484622,0.9832386443949954,0.9834112674630028,0.9828829713834544,0.982749333016368,0.985920685685991,0.983761823377194,0.9805074379063136,0.98276729971373,0.9844755479029332,0.983913794851082,0.9794366884445486,0.9818497062391284,0.983575166195899,0.9827916722588852,0.983287332628669,0.9828385221279556,0.9824254270715232,0.981542249235302,0.9822227647468508,0.9824404846042808,0.9845080288362964,0.9835790735103568,0.9832718770994512,0.9843643078922096,0.9821845207615644,0.9844182901105492,0.9823943296496654,0.9846054653189832,0.983175688304081,0.9836777166172336,0.9807415419513696,0.9817228496053816,0.9849568472337652,0.9828313803025804,0.9827148778942122,0.9831171701895725,0.9797397927569256,0.9838249310858072,0.979891557335828,0.982726097603957,0.9825723114557312,0.9806169501070056,0.981895314738286,0.9825043124969656,0.9827550913302378,0.9812141943352912,0.9810338861451524,0.9830175320915444,0.9811791074727216,0.9801084748829332,0.9837745055659964,0.9799291395730312,0.9837414687010688,0.982758079462394,0.9815920509114546,0.9838431978598656,0.981979866875238,0.9825041766727768,0.9817364383416776,0.9828482635651328,0.9821282942854056,0.984751972238294,0.98014484101984,0.9843700788408877,0.9815754392972795,0.983877296048688
global NDCG,0.796101243152731,0.8009649171854794,0.8084014748874784,0.8090013651943267,0.8077503160492351,0.8124975681036227,0.8043603157545461,0.7888478800015688,0.8010048595244165,0.7833976644338514,0.8059685676998896,0.7938841816318529,0.8104023016230967,0.8209343800104469,0.7989339832335691,0.7899304946760548,0.7956526150267862,0.8045428093847891,0.8167233204531169,0.7940438090584975,0.8048557554965422,0.792960070025556,0.8101378514006041,0.8169517510520118,0.8098501615547572,0.8066997122859365,0.7978712986610554,0.8018522706956472,0.8131501063553546,0.7983095458963825,0.8072428438187021,0.8043097792701788,0.8012703069290221,0.7979609453902792,0.8161935728704437,0.7889670960990496,0.8062472026061235,0.8078437019358468,0.8099456017694506,0.8173232905809128,0.7977183282501855,0.8071654003413254,0.7997151660687488,0.801856312883608,0.7781952676366135,0.8081439162484769,0.8116169002696588,0.8060336951366845,0.8070813078417183,0.8207686394703622,0.8097574701449702,0.802721721453955,0.7874545125664062,0.7981248722190355,0.7969630180967856,0.8071700628262841,0.8044512788419553,0.8157759246155236,0.8074326576544282,0.8055904607862774,0.8041776602177734,0.8124685618678892,0.802636546356019,0.801167468882428,0.8027858991867313,0.7903209379117194,0.8218528047092106,0.799765359654731,0.8065857568271537,0.7975830279515028,0.7963981611982638,0.7969022735338678,0.8040985344434194,0.8127177120098465,0.8008914415283489,0.7957698531945153,0.7947979290705183,0.7948542764302332,0.800290010088477,0.8009406276658166,0.8003259061328366,0.814401459702964,0.7962663823710199,0.8001542686601903,0.8047260974293097,0.7957935263457535,0.8075902300615441,0.8135132061815467,0.8047520760990658,0.8027270071822419,0.7992587343964249,0.7972860505020365,0.7942553608363446,0.8132797854082561,0.8063654244876733,0.8081432526335985,0.8057576451958135,0.8000978595799344,0.8037507079456181,0.8012948283089317
