,1_NIMCGCN,2_NIMCGCN,3_NIMCGCN,4_NIMCGCN,5_NIMCGCN,6_NIMCGCN,7_NIMCGCN,8_NIMCGCN,9_NIMCGCN,10_NIMCGCN,11_NIMCGCN,12_NIMCGCN,13_NIMCGCN,14_NIMCGCN,15_NIMCGCN,16_NIMCGCN,17_NIMCGCN,18_NIMCGCN,19_NIMCGCN,20_NIMCGCN,21_NIMCGCN,22_NIMCGCN,23_NIMCGCN,24_NIMCGCN,25_NIMCGCN,26_NIMCGCN,27_NIMCGCN,28_NIMCGCN,29_NIMCGCN,30_NIMCGCN,31_NIMCGCN,32_NIMCGCN,33_NIMCGCN,34_NIMCGCN,35_NIMCGCN,36_NIMCGCN,37_NIMCGCN,38_NIMCGCN,39_NIMCGCN,40_NIMCGCN,41_NIMCGCN,42_NIMCGCN,43_NIMCGCN,44_NIMCGCN,45_NIMCGCN,46_NIMCGCN,47_NIMCGCN,48_NIMCGCN,49_NIMCGCN,50_NIMCGCN,51_NIMCGCN,52_NIMCGCN,53_NIMCGCN,54_NIMCGCN,55_NIMCGCN,56_NIMCGCN,57_NIMCGCN,58_NIMCGCN,59_NIMCGCN,60_NIMCGCN,61_NIMCGCN,62_NIMCGCN,63_NIMCGCN,64_NIMCGCN,65_NIMCGCN,66_NIMCGCN,67_NIMCGCN,68_NIMCGCN,69_NIMCGCN,70_NIMCGCN,71_NIMCGCN,72_NIMCGCN,73_NIMCGCN,74_NIMCGCN,75_NIMCGCN,76_NIMCGCN,77_NIMCGCN,78_NIMCGCN,79_NIMCGCN,80_NIMCGCN,81_NIMCGCN,82_NIMCGCN,83_NIMCGCN,84_NIMCGCN,85_NIMCGCN,86_NIMCGCN,87_NIMCGCN,88_NIMCGCN,89_NIMCGCN,90_NIMCGCN,91_NIMCGCN,92_NIMCGCN,93_NIMCGCN,94_NIMCGCN,95_NIMCGCN,96_NIMCGCN,97_NIMCGCN,98_NIMCGCN,99_NIMCGCN,100_NIMCGCN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0006846231899689475,0.0005511549323618706,0.0006135395853730933,0.0006886167236804766,0.0006327347900730319,0.0006420947469191076,0.0007349217994746627,0.0006881477684913984,0.000590224319045428,0.0006527365724313957,0.0007002224083356702,0.0007292930645960257,0.0006843920564168245,0.0006655891382551025,0.0006946820752449101,0.0006698235389218048,0.0006524046290352208,0.0005625482341732707,0.0006099686119215136,0.0006315228604968824,0.0006242283872290558,0.000588774456985768,0.0006225714766433499,0.000684331953180747,0.000630594498107557,0.0006781756454963292,0.0006529156230058405,0.0006248600954209731,0.0007280359253977951,0.0006931926672148971,0.0007933325727759776,0.0006503793385400636,0.0006484800381323188,0.0005514521468453004,0.00069346954733562,0.000674566896427154,0.0006801978972693281,0.0006557975476508336,0.0007590884764660893,0.0006286138814443166,0.0006759335517225405,0.0006614706417734736,0.0006165115137721249,0.0006132825205411865,0.0006541166407524824,0.0006567917177239626,0.0006100603788945213,0.000788242808420279,0.0005881517247349904,0.0006098961192041884,0.0007146941122825147,0.0006732348527729807,0.0006428325067042894,0.0006516342751622324,0.0006044671571646468,0.0006345899062420886,0.000684215321764503,0.0006628632337623553,0.0006390048146155309,0.0007050775423548543,0.0006409374142501178,0.0007278939408428893,0.000626839644767529,0.0006713998713431769,0.0006244435885346984,0.000622044335788064,0.0007325806122732834,0.0006999302271701308,0.000623104920190775,0.0005743456785351211,0.0006275236379794868,0.0006846907469526002,0.0005813079698259552,0.0007398865254520811,0.0007003530378975345,0.0006312400598379941,0.0007377144041854748,0.0006157726087732402,0.0005821871767739319,0.0005933617341118088,0.0005683546927286206,0.0006980668135729265,0.000606053686153125,0.0006144782504157115,0.0007095309209265365,0.0006570846502947837,0.0005842763369557296,0.0006590698735905775,0.0006797848788214873,0.0007040814017660435,0.0006369157322854013,0.0006361709825217555,0.0005853992898302693,0.0005822264715046324,0.0006308078535208597,0.0006602097242829581,0.0006884403504498622,0.0006712180702503975,0.0006567922112657034,0.0006977655102217018
HR@10,0.001639344262295082,0.0,0.0,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.0,0.0,0.001639344262295082,0.001639344262295082,0.0,0.003278688524590164,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.001639344262295082,0.001639344262295082,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.001639344262295082,0.001639344262295082,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.001639344262295082,0.001639344262295082,0.0,0.0,0.0,0.0,0.001639344262295082
HR@2,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.001639344262295082,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.538315377989667,0.5292566745360883,0.5319874996267306,0.547858127044179,0.5496594683047209,0.5486441387360306,0.5605482506023991,0.5533285025048414,0.5407792585424743,0.5364927009363407,0.5403439691709515,0.5464717900266649,0.5341201630539842,0.5406798849502681,0.5608448368574771,0.536039398069158,0.5484386326524753,0.5261665624970366,0.5620515526012269,0.5437146458544914,0.5386655599956106,0.5480653026757066,0.5240552768850453,0.538136981401557,0.5524553286519541,0.5622840382838541,0.5362968835077987,0.5440575430645139,0.5686254962413897,0.5312914977905101,0.5569946423836637,0.5504167960783553,0.5429258403762407,0.5231636090968131,0.5483306440010388,0.5428315573948136,0.5498094154605287,0.5441586086223853,0.5601108541193774,0.562124036246816,0.5307513122473554,0.5439956434846976,0.5344954425522326,0.5607278381039034,0.5502643704799757,0.5401946097780235,0.5327391553877929,0.5578689600115944,0.5461369214700402,0.5495707815591622,0.554395529653269,0.5423006892305168,0.5362002878027702,0.5415419001366888,0.5380170153657282,0.547888996110051,0.5374723797110463,0.5378451441091409,0.5356012632589535,0.5395608325572239,0.5345793329900566,0.5639650325240368,0.5583179200995785,0.5443268969405178,0.5592098283789031,0.5369320798425471,0.5490110377933886,0.5329388736969012,0.542536292957782,0.5576342983517889,0.5430143166315426,0.545233517211298,0.5575176119356273,0.5240843345425598,0.5545960652273532,0.5459807496778943,0.553402604989738,0.5407465424009111,0.5459320536621016,0.5446448600791753,0.5425383417641276,0.5469712913369301,0.547806146049294,0.5478938073685521,0.5453493295218725,0.5475000229695496,0.5312906374312196,0.5526591155541319,0.5354535535391671,0.5595454024955754,0.532911905185655,0.538211193457164,0.5396441163939224,0.5468243486977459,0.5155538313573895,0.560780374787617,0.5384472598058936,0.5250823966904644,0.5250495645386946,0.5476317807743805
NDCGk,0.20083699848857864,0.20199768818665303,0.19989463152968703,0.2086139471927637,0.20830175680330548,0.20519718349626814,0.2022363264862129,0.20831327817420728,0.19666666927780715,0.19987934638287194,0.20122414085309107,0.19908401444683044,0.20742807873558763,0.20235963937229745,0.20007923807628963,0.20434885597409705,0.2031408550106618,0.2036934882312953,0.19808272169384594,0.19018979155123947,0.2036216959705528,0.2058214062382022,0.20012520550611027,0.20252251044313374,0.18693954447797975,0.1971608283446518,0.2044705590482901,0.19717942862324836,0.2001555055773041,0.2099209934148484,0.2040989803189235,0.20743989673407343,0.1971460608268644,0.19491352396757766,0.20202149894495397,0.2024443001969337,0.19897823685202026,0.20531436934504155,0.20484972703918894,0.1971210442127676,0.20175878539051523,0.20452026915374535,0.20361066295800087,0.20557409790053746,0.1979311438341674,0.20386566259727107,0.19507384759690702,0.2046569373207642,0.2059706927598137,0.20523230412042573,0.19462603266758793,0.20214263016844494,0.2059177440148821,0.20228503021444452,0.20051228489705009,0.1976709687259904,0.20313920379394096,0.20897883263618722,0.20631314377321355,0.19772596366053954,0.20420779672232428,0.2056923406537057,0.19955611902832093,0.20105144639874045,0.19639323721451998,0.20477468686231182,0.20440125003933732,0.20186409384760692,0.20287711973743322,0.2023768927669132,0.2038062589684362,0.2088334507365891,0.18726867163982497,0.20496424163243293,0.20437218261448836,0.19560358913140605,0.20616734575152698,0.2016714303287183,0.1934172294929104,0.20445632575485045,0.19918113999036252,0.19871564005869177,0.1991600267239808,0.19979165202986762,0.20182501809040432,0.2023496697107561,0.19802688892369918,0.20364420203580327,0.20641336405167496,0.1973090813890886,0.20787058493041938,0.20941465764337003,0.19421254390205195,0.19791481659508778,0.19622973441732824,0.19475154572059822,0.2012087713970491,0.20576894085179115,0.20479814300381832,0.20371420854328026
global AUC,0.9165235716720397,0.915589124942555,0.9143266185750065,0.9166583313783601,0.9144478937821993,0.9149186414687739,0.9162812455255009,0.9196801558301444,0.9125267159072521,0.9133343612802762,0.9163104603609267,0.9142937886050645,0.9163735127922538,0.9139848659634785,0.9144894623014119,0.9168069325171415,0.912918194386083,0.9181458099832864,0.9189020601149647,0.9165615045251724,0.9183441211958605,0.9121279313505382,0.91302826409769,0.9131409997538424,0.9144372473768796,0.9151959360265545,0.9143117173980014,0.915801718226529,0.9185967747188101,0.9169786300854432,0.9146956181505718,0.9174266824976601,0.9122164318650748,0.9121267578927201,0.9181640530670792,0.9175136620971514,0.9157001612169947,0.9166281784084204,0.9196525092902956,0.9154851688988003,0.9116736784061618,0.9180866032717268,0.9126774049481003,0.9142910894941474,0.9123165295542538,0.9172522494933678,0.9160035182255374,0.9146141062643601,0.9158203672035377,0.9149796138947893,0.9191011862726725,0.9163692090606864,0.9109508963022432,0.9173195061571475,0.9168543209449144,0.9129407490981986,0.9183699309504568,0.9169127474570633,0.9117219654846731,0.9160863851949359,0.9150155709797785,0.9175543982983693,0.9171954907759108,0.91549167582506,0.9161714111371981,0.9146992854036725,0.9196778452395816,0.9129334145919968,0.9144020183727168,0.9142880050215783,0.9136960610953626,0.9183303666277062,0.9146539422354885,0.9128110701641543,0.9185290537258266,0.9195229203792603,0.9179317242125853,0.9156649369508852,0.9164133866678073,0.914455191963327,0.9116829649902414,0.9180412364132776,0.9153563017511875,0.9116678537595488,0.9164893850395595,0.9142588280905776,0.9114870417564305,0.9160776924468452,0.9161983011679016,0.9154212478244045,0.9146296881416608,0.9156375336310958,0.9120344621976488,0.9124060803372281,0.9145170361911132,0.9180454137967622,0.9166415207659551,0.9118848486948544,0.9101761930330846,0.9176956601928963
global NDCG,0.512254813010401,0.5048319184343067,0.5075422206743214,0.5184319384646853,0.5103318766276906,0.5088343150341453,0.5081909775300089,0.5134417706575725,0.5055183792859339,0.50896324477129,0.512190440995233,0.5122399329671864,0.507837532169872,0.505756298319542,0.5049104916832107,0.5101235628670653,0.5027339716576111,0.5087349152216444,0.5101594981824193,0.511381010546488,0.5099244491350835,0.502043525612183,0.5014418159521699,0.508156433351987,0.5027149446635168,0.5061078808222533,0.5063993915431653,0.5072174015614276,0.5083345327927722,0.5123782546808267,0.5058770978653795,0.5067278680077771,0.5013485761195519,0.5030259533406733,0.5171995396046223,0.5088133782535962,0.503538908858952,0.5115613339938041,0.5166791410633984,0.5038955850574005,0.5048157537375694,0.5075964651403428,0.5026372541537532,0.503866291736662,0.5005271150585331,0.5110750567499333,0.5079158096069941,0.5076732122294036,0.5047842444646422,0.5101157197430348,0.5104082448342222,0.5078620090646344,0.5003213223400234,0.5093827586191846,0.5148945968290155,0.4998925102071041,0.5099603601912269,0.5138749644351754,0.5074784485866393,0.5040726648151158,0.5061954789483425,0.5099784780115151,0.5088028744571862,0.5080113905729223,0.5095474346912178,0.5045326722692334,0.5132222886818487,0.5066801041530824,0.49833979664012057,0.5054538303521398,0.5096457894872011,0.5080285559942903,0.5072572486952214,0.5064430365097741,0.5121884622384416,0.513010537611753,0.5068950810803088,0.5130065775088802,0.508278992724645,0.5055128806588862,0.501240311637937,0.5148518997712399,0.5069197387729832,0.4988511926589001,0.503880104698185,0.5058351849230109,0.5138300337068484,0.5055494387081159,0.5107103588845378,0.5037029329165273,0.506235117629374,0.5105046984551529,0.5030940259877809,0.5041059595776555,0.510771583112338,0.5092329741734188,0.5074932515554708,0.5047695630602608,0.5013487845289122,0.5107414636313977
