,1_PMF,2_PMF,3_PMF,4_PMF,5_PMF,6_PMF,7_PMF,8_PMF,9_PMF,10_PMF,11_PMF,12_PMF,13_PMF,14_PMF,15_PMF,16_PMF,17_PMF,18_PMF,19_PMF,20_PMF,21_PMF,22_PMF,23_PMF,24_PMF,25_PMF,26_PMF,27_PMF,28_PMF,29_PMF,30_PMF,31_PMF,32_PMF,33_PMF,34_PMF,35_PMF,36_PMF,37_PMF,38_PMF,39_PMF,40_PMF,41_PMF,42_PMF,43_PMF,44_PMF,45_PMF,46_PMF,47_PMF,48_PMF,49_PMF,50_PMF,51_PMF,52_PMF,53_PMF,54_PMF,55_PMF,56_PMF,57_PMF,58_PMF,59_PMF,60_PMF,61_PMF,62_PMF,63_PMF,64_PMF,65_PMF,66_PMF,67_PMF,68_PMF,69_PMF,70_PMF,71_PMF,72_PMF,73_PMF,74_PMF,75_PMF,76_PMF,77_PMF,78_PMF,79_PMF,80_PMF,81_PMF,82_PMF,83_PMF,84_PMF,85_PMF,86_PMF,87_PMF,88_PMF,89_PMF,90_PMF,91_PMF,92_PMF,93_PMF,94_PMF,95_PMF,96_PMF,97_PMF,98_PMF,99_PMF,100_PMF
ACC,0.6081967213114754,0.5950819672131148,0.6049180327868853,0.6147540983606558,0.6081967213114754,0.6081967213114754,0.6065573770491803,0.5852459016393443,0.5950819672131148,0.601639344262295,0.5754098360655737,0.6196721311475409,0.6180327868852459,0.5885245901639344,0.580327868852459,0.6409836065573771,0.6114754098360655,0.5950819672131148,0.6245901639344262,0.5934426229508196,0.5672131147540984,0.6,0.6262295081967213,0.5754098360655737,0.5754098360655737,0.6377049180327868,0.5950819672131148,0.6131147540983607,0.6163934426229508,0.6377049180327868,0.6409836065573771,0.5967213114754099,0.6180327868852459,0.601639344262295,0.5901639344262295,0.6196721311475409,0.5655737704918032,0.6098360655737705,0.6213114754098361,0.6032786885245902,0.5967213114754099,0.5967213114754099,0.6049180327868853,0.6311475409836066,0.6,0.5885245901639344,0.5901639344262295,0.6262295081967213,0.6475409836065574,0.6278688524590164,0.6049180327868853,0.5622950819672131,0.6032786885245902,0.601639344262295,0.580327868852459,0.5983606557377049,0.5967213114754099,0.5918032786885246,0.639344262295082,0.6524590163934426,0.601639344262295,0.6442622950819672,0.5721311475409836,0.5918032786885246,0.6311475409836066,0.5934426229508196,0.5836065573770491,0.5983606557377049,0.5934426229508196,0.5983606557377049,0.6344262295081967,0.6131147540983607,0.6032786885245902,0.6245901639344262,0.639344262295082,0.6163934426229508,0.6,0.5901639344262295,0.5655737704918032,0.5852459016393443,0.6163934426229508,0.6131147540983607,0.5836065573770491,0.6131147540983607,0.6213114754098361,0.601639344262295,0.578688524590164,0.6,0.5836065573770491,0.5983606557377049,0.5983606557377049,0.6262295081967213,0.6278688524590164,0.6475409836065574,0.5819672131147541,0.6065573770491803,0.6131147540983607,0.6032786885245902,0.6311475409836066,0.5918032786885246
AUC,0.5381744394233947,0.5328212126674559,0.5329161547417276,0.5637076149795106,0.5425228560508994,0.542526871407598,0.5393758453725369,0.5266570953207379,0.5507772211123879,0.5289535101443095,0.5331092451637373,0.5552640372991631,0.5525470365477728,0.538667397045094,0.541795889504492,0.5482479894814885,0.5403663259917489,0.5317963416739786,0.5498478237733885,0.5421721365091628,0.5179919162211672,0.5353324013079872,0.5538881244747934,0.5235578971141053,0.5303594507142612,0.569430132623204,0.5454754800034289,0.5412809492042512,0.5421067975085947,0.5595268736919323,0.5660782336402231,0.5489617851089639,0.5434646412305385,0.5339968870868959,0.5334627817986175,0.5499752004863616,0.5257840408496194,0.5378207085860393,0.5546726517413384,0.5407707609977522,0.5415230859497089,0.540128193541259,0.5441442480824467,0.5632823413721247,0.5476376272939824,0.5292715223876615,0.5391431439512311,0.556480551975409,0.5656737474673577,0.5542197896156033,0.5452396761996825,0.5191102495289597,0.545109616969451,0.5400391832922651,0.5262240421813869,0.5490388983475599,0.5384334405987344,0.5447471824958598,0.5516597735644577,0.5752875301287184,0.551026481803121,0.55925909976011,0.5323699293794977,0.5273548997625807,0.5558153969546658,0.5372797820659321,0.5360457699909212,0.5499747973309341,0.5365931806128392,0.5364855378879004,0.5673531991090925,0.547779177002257,0.5408339383531077,0.5583821092575686,0.5730461230301708,0.5519022938355546,0.5310052377774648,0.5337459932491604,0.5257279258537404,0.5408002762998138,0.5399506427993317,0.5518062136081942,0.5413645124381375,0.5378668477168509,0.5449213931990085,0.538560846814484,0.5351500799254792,0.552093069427966,0.5296355274785373,0.5374733333352865,0.5392382526854566,0.5440857711677344,0.5641279368433314,0.553902290847075,0.5356647603604279,0.5532159927804065,0.5599198282952303,0.5518058317679059,0.5679762333280465,0.537237213538771
Fscore,0.0008717156939884242,0.0006909112625419439,0.0007995194682350315,0.0007996921245163135,0.0007750707200738057,0.0008160286807023675,0.0008684762097415701,0.0008284995548932964,0.0006928505090891236,0.0008253997793345645,0.0008134715333026481,0.0008678450917567901,0.0008427032904818143,0.0007723404709908612,0.0008132085590104012,0.0008658175956722455,0.0008277473292391912,0.0007047496729495775,0.000786230950210279,0.0007496790302354107,0.0007051974574980699,0.0007325219732837978,0.0007906540341208651,0.000802796705893248,0.0007216100573078873,0.0008614995634443383,0.000767501456122415,0.0007968247768795252,0.00092764957937057,0.000882276629475414,0.0009770043393462114,0.0007913970256303234,0.0008090289826594446,0.000694686126235266,0.0008426662070631604,0.0008582060865013488,0.0007621669742384814,0.0008318295438567161,0.0009417273180474897,0.0007930118747598682,0.000828798429811517,0.0008055343732757224,0.0007559428403411013,0.000784623404535952,0.0007975370168330041,0.0008145657881687084,0.000737181739656369,0.0010151664835762607,0.0007531268144398786,0.0008008817297292751,0.0008887191326604129,0.0007834743018070985,0.0008369786780214784,0.0008053675225813745,0.0007130847890131218,0.0007772763199075836,0.0008244354009879203,0.0007625360609043153,0.0008116791519720563,0.0009211590778368509,0.0007451435025706496,0.0009658512378560071,0.0007215505633297296,0.0008246915113936155,0.0008073072808432723,0.0007437949935614689,0.0008867183092621842,0.0007892438306674386,0.0007531007740816325,0.0007010464227631013,0.0008073075963377341,0.000818508309015219,0.000728256802382027,0.000945013243624335,0.0008863085127155835,0.0007739095439250116,0.0009398207923967107,0.0007501362174541496,0.0006814935877558417,0.0006728637806645297,0.0007484223351241318,0.0008603461485600644,0.0007109071815550017,0.0007738322282067471,0.0008900872692992831,0.0008086737641627043,0.0006499542958313579,0.0007515025311919971,0.0008251557506372963,0.0008782948142226288,0.000794187200097857,0.0008408284170874754,0.0007302307750941309,0.0007727644664996844,0.0007443850271399842,0.0008238781017118509,0.0008416660375660009,0.0008229213504050677,0.0008185034433815566,0.0008246735317319719
HR@10,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5542488775598325,0.5666601077510325,0.5806222394218732,0.5505827784675226,0.5663753004561948,0.5673517747067583,0.5705736422684714,0.5555313462623976,0.5629541951706813,0.5701307051803305,0.5641550174344325,0.5767774576433347,0.5595894506916144,0.5462024213940311,0.5424256646912599,0.5778116117976891,0.5667139296265211,0.5521883395524809,0.5665655162194737,0.5740922546654832,0.5580930605185764,0.552059991869724,0.559820195332529,0.5516901882676445,0.5383270143999964,0.586801306464671,0.5385242888911355,0.5681637889283037,0.5648464264864781,0.5765008941863714,0.571323793268625,0.577509669309877,0.5670337212115425,0.5581251878855605,0.5522124244096034,0.5510443491039043,0.5489927218986439,0.5662442753771868,0.56026202900521,0.5520198492875059,0.5748814188303745,0.5570012143074409,0.558635016272612,0.5737800824687328,0.5574269705714672,0.5514065449205254,0.5559154558244926,0.5820906264243236,0.5923810408309858,0.5672175576590412,0.5539658370369213,0.538497629512816,0.5606716079897641,0.5611471223714536,0.5519530273081966,0.5616280260256873,0.5756087809626553,0.562207652392661,0.5719547968520191,0.5914371136502696,0.5718984413414976,0.5728919019113513,0.5483048693496251,0.5433175490477266,0.5712959463089159,0.5469409447586998,0.5529600623686292,0.551621014678044,0.5458889877750489,0.5580120371467219,0.5871183464194297,0.5634907954600222,0.556254764084118,0.5726614155571916,0.581202093941784,0.5718823093200796,0.5545722222938484,0.5559578019344521,0.5533562316339784,0.540735993477962,0.5691308704926282,0.5595361481900063,0.5565405509832683,0.570252611824275,0.5782559717981132,0.5881903324952208,0.5521138439772889,0.5532506334548382,0.5546197287377534,0.5627672802398973,0.5588719700386494,0.5670534090151761,0.5956811273682822,0.5642803739623624,0.5525690043273427,0.5647002748362518,0.572411606512273,0.5587919382466096,0.5644595977777845,0.5458147721585036
NDCGk,0.21263076621413288,0.21070939272575176,0.2083827501844732,0.21830119823364272,0.2077655155315117,0.21991925822883918,0.2149840478581172,0.20581520183118363,0.20469098129857313,0.20402048279793927,0.21038734453841487,0.2118332538394255,0.21600930464916862,0.2075370075449298,0.20635455449588827,0.21236767748407107,0.21919747318124427,0.21496400710817481,0.21598981439815318,0.20739167781269274,0.19735753426818542,0.21172790161934338,0.20587114317623,0.21313124986248444,0.20903787073944072,0.20542300776225567,0.2085327875563951,0.2125243032012324,0.21657619035553458,0.2130061531163745,0.21452849009863875,0.21718721857174567,0.21226005527933153,0.21927801277297218,0.21069409182473575,0.21365897083389943,0.21085908551407787,0.22708813558624913,0.22461949730431338,0.20970235594865322,0.2112454227514415,0.22051016590808414,0.20965018524547224,0.2182311784117278,0.21251266775355337,0.20591189853716804,0.21033847222097854,0.22098133985876064,0.22006380147768262,0.2106347738798527,0.20859747370281853,0.20415092731861362,0.2201842538489764,0.2147704005787995,0.209348997902339,0.20971407413121942,0.22038124572565512,0.2192855322404107,0.22178379834153084,0.22826334021470807,0.21337012329203556,0.21846468072671996,0.20979753640641688,0.2070278793818936,0.21979215810931266,0.20557049328347976,0.21854024940056943,0.22001827044150138,0.20846700184577457,0.20922422431857224,0.22335863366884123,0.20619029989904808,0.20415517548081516,0.2073367505944598,0.22285685357523916,0.21248600475286358,0.2196819325156976,0.21209688861682247,0.21212534521574292,0.21613441003686648,0.19718071937185228,0.21175677368283108,0.2108822187217922,0.20356040251472998,0.21266173583171152,0.2123544051637581,0.2045154754372397,0.21265749274272422,0.20912126365234787,0.21598888814221434,0.2023671305329736,0.20700105716806136,0.21988512709454003,0.20971347362351395,0.20627409022277055,0.2132381639941744,0.20911836129097044,0.21247419908040388,0.2185676073664991,0.21115875098844578
global AUC,0.600295885098801,0.5909756671597295,0.5990089793371295,0.604490132893861,0.6009303956940826,0.600414105841094,0.6018671593315338,0.5810525161699488,0.5896164523903209,0.5943694208832468,0.5730087076255773,0.612665934121541,0.608393836955317,0.5830198031983312,0.5751066733172085,0.6306655799046913,0.6050719847669698,0.5885586851940545,0.6162960503620932,0.5904406935840095,0.5631789626146448,0.5936236007857966,0.6168817905974473,0.5726183267957149,0.5710426714432137,0.6305936973217333,0.5866091469125914,0.605144072665562,0.6087401665261413,0.6274473457789775,0.6306475437158839,0.5927825458210009,0.6097857316563193,0.5943668023192327,0.5838136576781272,0.6084925874580639,0.5632452827232611,0.6031269634294636,0.6124806983561767,0.5960712316376358,0.5937706099387361,0.5910181990830731,0.5987963828944534,0.6218807967118418,0.5931345168337183,0.5838807769383667,0.5849827154243497,0.6194310274187026,0.6373916663900169,0.618175547583904,0.5972105186168688,0.5582956534395913,0.5961131033922471,0.5951251340355738,0.5758410557544712,0.5924622692248321,0.5936229058713417,0.5888341745536034,0.6297286456973281,0.6415158257448939,0.5968399207380573,0.6328117631833879,0.5689823953846562,0.5862939431919435,0.6220996694955265,0.586068800384654,0.5796104138995779,0.5909441464717945,0.5884704847562143,0.5920249437648375,0.6257579866281401,0.605424322189127,0.5951534517996122,0.6163888814571649,0.6305573785653573,0.6086250918511078,0.5931979751582612,0.5847697557309358,0.5619667033002402,0.5791053721846529,0.6088653964283229,0.6051618277298854,0.579726398280807,0.6068044317727144,0.6140350577393365,0.5973948004542087,0.5759763587575473,0.5922360840458601,0.5799842873524338,0.592574987508123,0.5920101894674785,0.6187943973343335,0.619524667141504,0.634103438585182,0.577313699515136,0.6009926063313088,0.6058321295782978,0.5964924603518927,0.620196166138,0.5852696424440862
global NDCG,0.4750400048649045,0.4667502850397955,0.4745327342409038,0.4718596027596681,0.4692552014240148,0.46963402523744097,0.4692083746531818,0.46798603169256253,0.4695859661585876,0.47040651499419445,0.46439056327669104,0.47193821786881673,0.4712983479360116,0.4654788287679165,0.4636275872652972,0.4772420632660307,0.47056121809012263,0.46936645452838716,0.472629745269156,0.4721155010553173,0.46482886654059985,0.4689339950792872,0.47632989177105467,0.46541573452074453,0.4653700895872746,0.47818954068143726,0.463136956713477,0.4666469234905638,0.4706377894235864,0.4726033134296041,0.47271441937924696,0.469912235404248,0.470825903036877,0.46683615611844237,0.468195479245392,0.46881108003486227,0.4634544238902961,0.4752911655384421,0.47340822631861396,0.4709638316076719,0.4695460586175223,0.46537920964507506,0.4716303623110365,0.47381627270480775,0.46949005062211563,0.46650290557470675,0.4679058631117277,0.47421284588489143,0.475122895004184,0.4745660338144799,0.46632534255536995,0.46464884304870413,0.46914572121244424,0.4677026179048447,0.46646946655602767,0.47134657356032955,0.4759554865883693,0.472506565308721,0.4738317699507087,0.47212725195416194,0.47111386858534476,0.47371545479555044,0.4665949105852649,0.46887957611318004,0.4748420192203592,0.47007135399917155,0.46594710081320045,0.4663988338628445,0.4706497977491448,0.4640379902379697,0.47676051195812086,0.4736530079107781,0.46866254713027755,0.47088880497165103,0.48023791506784885,0.4736636707669267,0.4684823231554646,0.47080923260050467,0.46407766705101705,0.46562014657689393,0.4697229519121785,0.47245734560046476,0.46827248044863873,0.473043281429947,0.48012845925839026,0.47137021177432525,0.46876647140704086,0.47249624154675623,0.46854126007752045,0.4663627537820039,0.4682107435409564,0.475945742413042,0.4747870770121135,0.47443808325740977,0.46362054145271175,0.4763065601440873,0.4686091590022774,0.47293838753588774,0.473217161998803,0.4657684517481128
