,1_SCPMF,2_SCPMF,3_SCPMF,4_SCPMF,5_SCPMF,6_SCPMF,7_SCPMF,8_SCPMF,9_SCPMF,10_SCPMF,11_SCPMF,12_SCPMF,13_SCPMF,14_SCPMF,15_SCPMF,16_SCPMF,17_SCPMF,18_SCPMF,19_SCPMF,20_SCPMF,21_SCPMF,22_SCPMF,23_SCPMF,24_SCPMF,25_SCPMF,26_SCPMF,27_SCPMF,28_SCPMF,29_SCPMF,30_SCPMF,31_SCPMF,32_SCPMF,33_SCPMF,34_SCPMF,35_SCPMF,36_SCPMF,37_SCPMF,38_SCPMF,39_SCPMF,40_SCPMF,41_SCPMF,42_SCPMF,43_SCPMF,44_SCPMF,45_SCPMF,46_SCPMF,47_SCPMF,48_SCPMF,49_SCPMF,50_SCPMF,51_SCPMF,52_SCPMF,53_SCPMF,54_SCPMF,55_SCPMF,56_SCPMF,57_SCPMF,58_SCPMF,59_SCPMF,60_SCPMF,61_SCPMF,62_SCPMF,63_SCPMF,64_SCPMF,65_SCPMF,66_SCPMF,67_SCPMF,68_SCPMF,69_SCPMF,70_SCPMF,71_SCPMF,72_SCPMF,73_SCPMF,74_SCPMF,75_SCPMF,76_SCPMF,77_SCPMF,78_SCPMF,79_SCPMF,80_SCPMF,81_SCPMF,82_SCPMF,83_SCPMF,84_SCPMF,85_SCPMF,86_SCPMF,87_SCPMF,88_SCPMF,89_SCPMF,90_SCPMF,91_SCPMF,92_SCPMF,93_SCPMF,94_SCPMF,95_SCPMF,96_SCPMF,97_SCPMF,98_SCPMF,99_SCPMF,100_SCPMF
ACC,0.5639344262295082,0.6901639344262295,0.6639344262295082,0.6852459016393443,0.6950819672131148,0.6459016393442623,0.6163934426229508,0.6344262295081967,0.6688524590163935,0.659016393442623,0.6639344262295082,0.5885245901639344,0.6639344262295082,0.6032786885245902,0.6557377049180327,0.6409836065573771,0.6377049180327868,0.659016393442623,0.660655737704918,0.6524590163934426,0.6622950819672131,0.6131147540983607,0.6983606557377049,0.6262295081967213,0.6672131147540984,0.6213114754098361,0.6672131147540984,0.6213114754098361,0.5491803278688525,0.5754098360655737,0.6049180327868853,0.6459016393442623,0.6950819672131148,0.6573770491803279,0.5918032786885246,0.6049180327868853,0.580327868852459,0.6081967213114754,0.5704918032786885,0.7163934426229508,0.5491803278688525,0.639344262295082,0.680327868852459,0.6508196721311476,0.5754098360655737,0.6721311475409836,0.6491803278688525,0.6475409836065574,0.6262295081967213,0.5721311475409836,0.6409836065573771,0.6049180327868853,0.6311475409836066,0.6688524590163935,0.6442622950819672,0.5819672131147541,0.6360655737704918,0.6311475409836066,0.6311475409836066,0.601639344262295,0.6754098360655738,0.6327868852459017,0.6508196721311476,0.5967213114754099,0.5967213114754099,0.6754098360655738,0.6163934426229508,0.6,0.6229508196721312,0.6049180327868853,0.6278688524590164,0.6491803278688525,0.6147540983606558,0.6,0.6147540983606558,0.6475409836065574,0.7131147540983607,0.6,0.659016393442623,0.6,0.639344262295082,0.6442622950819672,0.6098360655737705,0.5672131147540984,0.6327868852459017,0.6311475409836066,0.6344262295081967,0.6688524590163935,0.5311475409836065,0.680327868852459,0.6426229508196721,0.6131147540983607,0.5393442622950819,0.6819672131147541,0.6475409836065574,0.6098360655737705,0.6508196721311476,0.6918032786885245,0.6245901639344262,0.5836065573770491
AUC,0.5235850388734679,0.585322956695544,0.5666638397525183,0.5647282054156598,0.5742828824195214,0.5746888842680514,0.5633867023981678,0.5531482900476807,0.5699854603389352,0.5680906968688446,0.5679254492433491,0.5438459689974038,0.5720151645574384,0.5363388798269318,0.5601348998744161,0.5699796132403256,0.577167881894392,0.572845262882536,0.5688253959271024,0.5641305332194513,0.5817814525193756,0.5717149777671601,0.607400344726789,0.5559399218306903,0.5883087417255386,0.5583049119474893,0.5752347034097857,0.5328601733838416,0.5308631006780196,0.5325423394866446,0.5480363605743327,0.5597986566040877,0.6005804704900077,0.5753596442996238,0.5478366358631267,0.5466583003253778,0.5380546851955049,0.5361381126370536,0.5365926518032633,0.5832324738244787,0.5389979982473089,0.5756557783196811,0.5827420434770086,0.5530551654428606,0.5301229000825062,0.5860720020204736,0.5546331078294738,0.5511562923254819,0.5639774313440211,0.5370060246701734,0.5657140042593043,0.530152810228435,0.5610132496125191,0.5768684677230252,0.5764914203833307,0.5606980605893279,0.5673647128309482,0.5688342542455308,0.5755475777093486,0.555256081382324,0.5753016249812455,0.558403491420548,0.579183500081574,0.5456132197515681,0.5446647789151355,0.5769270039421174,0.5311920393791113,0.5593119756169307,0.5442188376670944,0.5523398008360396,0.5508231218035097,0.5567717719840413,0.550967564757806,0.5662271640053484,0.5689822886840369,0.5544679574271614,0.5874912124284922,0.5464087387585466,0.5699488727462887,0.5478179042986576,0.5686608733548062,0.5586622416748267,0.5501915269237256,0.5279494362780549,0.5643735489508024,0.5598621920067162,0.5708194135904237,0.5931918687135281,0.531908417105919,0.5731439862387205,0.5672202161858803,0.5353484462252825,0.5250776011291024,0.587681929614562,0.5732821146644079,0.5645042910530322,0.5530404284178334,0.5929295696016368,0.5533140099481532,0.5416947654392108
Fscore,0.000741163245094,0.0007465071079251,0.0008607489124102,0.0009672497728246,0.0009262794514855,0.000772490113692,0.0008911903549559,0.0008548855423544,0.0007715581501736,0.0008860628512472,0.0009534641378776,0.0007649705225925,0.0009513584084021,0.0007886106205624,0.0009174160795315,0.0008119663908599,0.0008178760065453,0.000703844745023,0.0008158578649791,0.0008483647188388,0.0008741005424152,0.000655498990925,0.0008579779226321,0.0008705228608914,0.0008021670520514,0.0008043236714474,0.0008888755844149,0.0007573335056378,0.000724199223363,0.0008310119286142,0.000865123030301,0.0008797466915035,0.0008737925472069,0.0007044575286916,0.0008070020777748637,0.0008200384678557129,0.0007854480086467411,0.0008503393494661538,0.0007860152576694383,0.0010418234172462463,0.0006570130445215144,0.0008377138099228583,0.0008124567370950678,0.0008175477217537912,0.0007106429682742691,0.0008549346053236084,0.0008444119413937697,0.000990328784315408,0.0007048115858960366,0.000705776794392843,0.0008715050886457312,0.0008353193316629211,0.0007633021411672691,0.000878017032912664,0.000770418301815457,0.0006541216987340315,0.0008337159195074215,0.0008526749003589158,0.0007722646935632399,0.0008424865253620181,0.0008542764298126386,0.0009471130298323831,0.0007763843303653611,0.0007928118916335449,0.0007612905161783096,0.000861088579884694,0.0008935175164711022,0.0007394682640072119,0.0007704053686454979,0.0006631539269488609,0.0008298171121208056,0.0008978402514484632,0.0007519371651752834,0.000812156424092712,0.000805453464571672,0.0008017854193509719,0.001122904304928006,0.0006948225481538644,0.0007428692369490636,0.0007049007717577331,0.0007361102082514688,0.0009093012241023401,0.0006883332042116104,0.0006778420456305265,0.0008909947457805103,0.000864218583363724,0.0006929225987413911,0.0008048943928268886,0.0006861624262798883,0.0009615796221637452,0.0008148966317331454,0.0007998198640791781,0.0006183689046773876,0.0008426322175084028,0.0007944816224910644,0.000756361144209865,0.0009050072662373529,0.0009471762977333746,0.0007914196892548602,0.0007393030066243838
HR@10,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032786885245901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.001639344262295082,0.0,0.0,0.0,0.001639344262295082,0.001639344262295082,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032786885245901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5305278188883954,0.6476701258110271,0.6012250364520448,0.610763829284227,0.6067875593154122,0.588460243327918,0.5679969878264924,0.5821012444819099,0.6077150054851207,0.6141441995046109,0.6061221631602476,0.5411177442082181,0.5934312030682372,0.5601601696623467,0.5986922928009749,0.5957634153176539,0.5935811971700118,0.5928853666901235,0.6145770988111348,0.6185342953588958,0.6225057343800057,0.5706428123871614,0.6346159621844347,0.5845819666843237,0.6158207715980029,0.5833733720684002,0.6001153870642858,0.5919350389211758,0.5543160558461679,0.5638573071220229,0.5620767823597268,0.5959722499732513,0.6220721843983776,0.5818131305541694,0.5699723677237671,0.5686053030441758,0.5717854572886103,0.5634251077083806,0.5282816772727702,0.6631877493222978,0.5283037736665062,0.618994921028562,0.6288055881924476,0.6001406675764039,0.5460658615792935,0.6268627530084707,0.5933802816965968,0.6037485884949926,0.5787465167800642,0.5613741479832468,0.5775100354808398,0.5816690128011099,0.5644796330031846,0.6271417493015417,0.5776103375980248,0.5572063695837866,0.5814557305448971,0.5815705545084153,0.5910011097508141,0.5602309903966238,0.6167567210095316,0.6107310723461101,0.6092375798314381,0.5598153820942428,0.5839246209564729,0.6063976151545925,0.5678006842009377,0.5616691370580241,0.5855322156406617,0.5650903652106016,0.5963020576634414,0.5865566685945179,0.5807052098719486,0.5653012731121181,0.5799395917126206,0.5829815318042876,0.632103744274378,0.5646327549638722,0.5893008765505539,0.5837652444746447,0.5947475920209435,0.5934448898237266,0.5818933232853257,0.5285774077340714,0.569279951263513,0.5935734117306521,0.5693176629237339,0.5955019945674592,0.5288789604092208,0.6138120044217907,0.5998075829241716,0.5690216467281628,0.5377351902427263,0.6161006183676271,0.6083335592212329,0.5749391674112924,0.5903500622857222,0.6170249152413286,0.574252322930423,0.5754474699789442
NDCGk,0.1997444426384512,0.2214021053551086,0.2125461688670459,0.217028040954249,0.2133531025775053,0.2161960949387046,0.2178482475791874,0.2174086435053867,0.2191253790140819,0.2174489934838649,0.2202840720214737,0.2104994479308006,0.2145812182604578,0.208765002205153,0.2094070090056455,0.2230878284763912,0.2249641419541147,0.220050645668074,0.2144206351313834,0.2070179820429489,0.2146800981694852,0.2254581885298172,0.2154653048537098,0.2075588403439437,0.2132392518488117,0.2200687099931749,0.220163825593132,0.2171345265798858,0.2040107217233332,0.2173586683960961,0.219687530355596,0.2127459319185839,0.2036410157249716,0.2162124171096044,0.2160644566694429,0.20700025688823512,0.21696233734605563,0.215572783849362,0.21617946443182204,0.20685755147274756,0.21542091123798893,0.22556208498098815,0.21881691433099823,0.21118902387111377,0.21433187336315598,0.22866730173538521,0.21924364840720378,0.21499464631061424,0.2230827821155129,0.21537753506823262,0.21588295332142088,0.21201217476139642,0.21860482917932833,0.21379481108264944,0.2164957188696727,0.22146684525715596,0.20717878802102024,0.21744748451011273,0.21767483165344237,0.2156052169604107,0.21288226984428532,0.22082917274549047,0.22851837575642925,0.21409255792754617,0.21685258222742496,0.21834946768153302,0.2033483156802701,0.22223385112628594,0.20646971517279047,0.20639116094308838,0.218580885868619,0.21134838439022047,0.20429533226996657,0.21810980826136514,0.23154068450906204,0.2072663306485839,0.22610624488015427,0.20363435896151064,0.21577716583168324,0.21474644696388343,0.20531511477471245,0.22114306129932257,0.21990876381471927,0.2013519969391711,0.21589318915263067,0.2147210404102425,0.20506186168729199,0.21474203185771865,0.20915667592366524,0.21596955348771602,0.2176092861711442,0.20547177680231601,0.20349395192352274,0.21124242414389469,0.22312604450778337,0.21447252263665412,0.20784465747607972,0.21721377958188748,0.21505719516622102,0.21093467728076692
global AUC,0.5607244647445101,0.6809322138429929,0.6581976136448096,0.6785927843304876,0.683659718332851,0.6385858168654663,0.610498132685892,0.6321108314010238,0.6594190616235295,0.6496157644250106,0.6540739502061573,0.5817956071488125,0.6533268413582632,0.5962914026478705,0.6459688249372452,0.6291184444731605,0.6291332619445608,0.6484928647921053,0.6510617392641167,0.6462748968502151,0.6600818678719348,0.6070028867062328,0.6889173558138579,0.6208400738719335,0.656276178335644,0.6138224107574275,0.663535763282824,0.6163519183255671,0.5466989526028228,0.574831484034356,0.6027025286326078,0.6398611175557407,0.6846720633933816,0.6500435632395687,0.5885570868908083,0.5993825685067992,0.5768158375300112,0.6072632743111953,0.5678561506862612,0.7122665636255936,0.5462521447192205,0.6347520843722172,0.6715594887994477,0.6459071607554769,0.5710848337984152,0.6622728383872515,0.6438978440373797,0.6407287150940126,0.6170516624359537,0.568868915854167,0.6309567806483255,0.600852236770116,0.6219133408192468,0.6652286380690628,0.6377461075077514,0.5773379772992295,0.6300739960705115,0.6271151861456294,0.6252672411987743,0.5972747950452473,0.6684634869676533,0.6275475840303982,0.643083281106827,0.5935751399786718,0.594099279206299,0.6694779388824633,0.6104814105171449,0.5944462563110472,0.6191048851127939,0.6028037523990737,0.6259709937020851,0.6398032185468373,0.610102322047175,0.5976251203741875,0.6119064905420722,0.6380498261876808,0.7024098559338098,0.5944812010320237,0.65217991663743,0.5966950689786302,0.6310377824041533,0.636998051049237,0.6042112889927161,0.5624407076086468,0.6219856814140046,0.6253905348165884,0.6271914624831637,0.6591443114002643,0.5298236815664432,0.6740168073905288,0.6363022237294143,0.6039968036462036,0.5382530191743008,0.6714525698931534,0.6388557627028861,0.6025338665769934,0.6461387536323889,0.6824974612721807,0.6186952393590198,0.5821608478689169
global NDCG,0.4761693758112642,0.5048789075447025,0.4972632036105983,0.5216148465057967,0.5090811634887312,0.4950219188791319,0.4774742182350874,0.4943648647320753,0.4963307937817131,0.4929425758421537,0.4850761799559985,0.4755719043674732,0.4918284166813369,0.4727522880314139,0.4889703258422862,0.4789734408991167,0.4861455476598734,0.4980155396576894,0.4864692602321663,0.4905318359754977,0.5223591580023199,0.4869472762057759,0.5107836653765503,0.4946278088061906,0.484203526683273,0.4883209174739765,0.5126435933059801,0.4936366245161342,0.4738049219006248,0.479465912743614,0.4899022330798641,0.4943440689938766,0.5115320495698221,0.5087138402534643,0.4799913472431603,0.4799244836448891,0.47324872457250694,0.4912854352978585,0.4777807342640593,0.541179412984017,0.46976148795451156,0.4934248422581512,0.49569723258559345,0.5095103581052414,0.4834369179644329,0.48850159930198944,0.48801109741975984,0.4928153561638183,0.4822545175678566,0.49544232252552195,0.48487613440698774,0.49235422371885545,0.483197747404671,0.5068261673478092,0.5038275182595265,0.4740044648203316,0.48609061213965093,0.5032863424336468,0.4899652702944827,0.48099191549949166,0.4990993319304164,0.4854565602483348,0.49155077313558265,0.48573191822270834,0.4835112696495713,0.508991802996403,0.48033013592918805,0.4848891122908563,0.49500268871366243,0.4862442941075113,0.5026901728158351,0.48506364341264724,0.4826890449509576,0.4935646914616947,0.48393510065745443,0.4920498350028257,0.5058638774422959,0.4878525471165427,0.49216786171024196,0.48512225966428263,0.4833800900734933,0.48209657940359935,0.4808827964118344,0.4689024447457742,0.5004731992972771,0.4783967339621873,0.49182520319169526,0.48690437723629965,0.4621655716435025,0.508966956933891,0.5040727217296477,0.4810224818794307,0.4627354082878548,0.48867050522924416,0.4862071740259253,0.47507079348243453,0.5028008289627723,0.49668680204882754,0.4841030097695219,0.4810601671451587
