,1_ALSWR,2_ALSWR,3_ALSWR,4_ALSWR,5_ALSWR,6_ALSWR,7_ALSWR,8_ALSWR,9_ALSWR,10_ALSWR,11_ALSWR,12_ALSWR,13_ALSWR,14_ALSWR,15_ALSWR,16_ALSWR,17_ALSWR,18_ALSWR,19_ALSWR,20_ALSWR,21_ALSWR,22_ALSWR,23_ALSWR,24_ALSWR,25_ALSWR,26_ALSWR,27_ALSWR,28_ALSWR,29_ALSWR,30_ALSWR,31_ALSWR,32_ALSWR,33_ALSWR,34_ALSWR,35_ALSWR,36_ALSWR,37_ALSWR,38_ALSWR,39_ALSWR,40_ALSWR,41_ALSWR,42_ALSWR,43_ALSWR,44_ALSWR,45_ALSWR,46_ALSWR,47_ALSWR,48_ALSWR,49_ALSWR,50_ALSWR,51_ALSWR,52_ALSWR,53_ALSWR,54_ALSWR,55_ALSWR,56_ALSWR,57_ALSWR,58_ALSWR,59_ALSWR,60_ALSWR,61_ALSWR,62_ALSWR,63_ALSWR,64_ALSWR,65_ALSWR,66_ALSWR,67_ALSWR,68_ALSWR,69_ALSWR,70_ALSWR,71_ALSWR,72_ALSWR,73_ALSWR,74_ALSWR,75_ALSWR,76_ALSWR,77_ALSWR,78_ALSWR,79_ALSWR,80_ALSWR,81_ALSWR,82_ALSWR,83_ALSWR,84_ALSWR,85_ALSWR,86_ALSWR,87_ALSWR,88_ALSWR,89_ALSWR,90_ALSWR,91_ALSWR,92_ALSWR,93_ALSWR,94_ALSWR,95_ALSWR,96_ALSWR,97_ALSWR,98_ALSWR,99_ALSWR,100_ALSWR
ACC,0.07142857142857142,0.06938775510204082,0.05510204081632653,0.0673469387755102,0.07142857142857142,0.07142857142857142,0.061224489795918366,0.06938775510204082,0.0653061224489796,0.06938775510204082,0.0653061224489796,0.053061224489795916,0.0673469387755102,0.061224489795918366,0.0673469387755102,0.0673469387755102,0.07142857142857142,0.05510204081632653,0.053061224489795916,0.0653061224489796,0.061224489795918366,0.07142857142857142,0.07346938775510205,0.0653061224489796,0.07551020408163266,0.06938775510204082,0.05918367346938776,0.0653061224489796,0.06938775510204082,0.05918367346938776,0.06326530612244897,0.053061224489795916,0.07142857142857142,0.0673469387755102,0.05714285714285714,0.05510204081632653,0.0673469387755102,0.0653061224489796,0.05918367346938776,0.061224489795918366,0.05918367346938776,0.0653061224489796,0.07142857142857142,0.06938775510204082,0.06938775510204082,0.07142857142857142,0.07346938775510205,0.07142857142857142,0.0673469387755102,0.06326530612244897,0.0673469387755102,0.05918367346938776,0.0673469387755102,0.06938775510204082,0.07755102040816327,0.061224489795918366,0.06326530612244897,0.061224489795918366,0.0673469387755102,0.07551020408163266,0.06938775510204082,0.0653061224489796,0.07142857142857142,0.05510204081632653,0.06938775510204082,0.061224489795918366,0.07142857142857142,0.053061224489795916,0.06326530612244897,0.0673469387755102,0.0653061224489796,0.0673469387755102,0.0673469387755102,0.06938775510204082,0.06938775510204082,0.061224489795918366,0.06326530612244897,0.05714285714285714,0.05510204081632653,0.0653061224489796,0.061224489795918366,0.0673469387755102,0.05102040816326531,0.053061224489795916,0.061224489795918366,0.06326530612244897,0.06938775510204082,0.05918367346938776,0.05102040816326531,0.0673469387755102,0.07142857142857142,0.06326530612244897,0.061224489795918366,0.0673469387755102,0.053061224489795916,0.05918367346938776,0.05102040816326531,0.0653061224489796,0.06326530612244897,0.061224489795918366
AUC,0.5119273488158546,0.5097213987216657,0.5068281235610441,0.5099762729123501,0.5091088989973975,0.5128825139992584,0.5064958432043163,0.5108980976221476,0.5094012573304932,0.5111834935156602,0.5118845574911363,0.5052499442018736,0.5092707664149067,0.5027300609277956,0.5084246095163348,0.5111703950572586,0.5116997057157264,0.5041173738441046,0.5031587931380329,0.5102974631135575,0.5050843653437814,0.5140128783468662,0.5118584909713467,0.5072568126066147,0.5144173047741687,0.5123636355912684,0.5037598177271789,0.5098303927654463,0.5110870697578827,0.5043376150165384,0.5099930332774146,0.5015198854409901,0.5129990588726503,0.5096508008626232,0.5090862090636347,0.5033107381145325,0.5117104101791297,0.5099040938055548,0.5086379724174177,0.509021719793178,0.5062367506853495,0.5121166520500469,0.5136522655430167,0.5092138208634429,0.509528622008712,0.5132154282680252,0.512656965694593,0.5133064085204304,0.5089116429328563,0.5086303557227306,0.5093912368572481,0.507207419678094,0.5137470638606653,0.5127971102914672,0.5142570872396447,0.5086710784440518,0.5097323034168775,0.5067314076645584,0.5123175743363609,0.5134204378013113,0.513161910916361,0.5118029683057101,0.5133474831095204,0.5041602865809733,0.5083405303167885,0.50673188583096,0.516149964128859,0.5035312566732659,0.507431984218917,0.5099151039475521,0.5098576082260974,0.513290861786325,0.5106835861295396,0.5111975883850762,0.5108322677214294,0.5092910968996318,0.5106950262318813,0.5052729988897322,0.5026539824515701,0.5115841341725954,0.5074413574729361,0.5095996160846329,0.5022939479722119,0.5046965175480914,0.5076305989998124,0.5091343422473094,0.5135329107849541,0.5098263174435265,0.5019883977488941,0.5102908306215072,0.5108388920941954,0.5075856557640821,0.5046185100047246,0.5109058506570842,0.5065226906253334,0.5072444936614956,0.5058459057564919,0.5078562583139699,0.5072705001534665,0.5069968345052607
Fscore,0.00034072084690115834,0.00036169725590161356,0.00024213301884782373,0.0003235099983849393,0.0003885038119966211,0.00032218650867717625,0.0002807743797699337,0.0003561139562908691,0.0003060609290782848,0.00033875209162097974,0.00030873869737670106,0.0002353385701461774,0.00032740480531869037,0.00034624590356509163,0.00033099133181077795,0.00035027055085424695,0.0003435962772190338,0.0002649414415446481,0.0002673500282412268,0.00031336633306753404,0.00031553679795886467,0.0003364538529132115,0.000406431966888336,0.000342308735485951,0.0003781822627133772,0.00030946357269130145,0.0003163184225610629,0.0003254815878003705,0.00034520145537905646,0.00030271728230427423,0.00033307296722704435,0.00027334613749858516,0.000353495234904313,0.0003322148896999336,0.00026923235680422766,0.0002986145709780777,0.00032978071266078813,0.0003449678488919995,0.0002974965215124437,0.0002897650468113604,0.00028311555654487287,0.0002957951926356583,0.00031485122378474177,0.00039728962113374144,0.0003389419917388446,0.00035599253399947085,0.0003390809683583026,0.00034152659162843297,0.00034731631443030684,0.0002961677682328104,0.0003369915281563597,0.0002876486522101446,0.0003022571266670893,0.00029735916198880884,0.00039337107015625434,0.0002969966879846669,0.00030355279459076104,0.0003104819692292632,0.0003119173879375467,0.00037596241530114723,0.000340455600849232,0.0002869523678859926,0.0003562969422382488,0.0002825890800471214,0.00039489144272845413,0.0002940592129557189,0.0003454729481063933,0.000249418995199856,0.0003171035519466582,0.0003441565770160818,0.0003205867232759153,0.0003242919194280396,0.0003161625730528638,0.0003465317913647155,0.0003359634026722312,0.0002647595941492447,0.0002828544942100891,0.00029180884022128,0.00028895340929780745,0.0002972398218446777,0.00027849011276523557,0.00033937252855290983,0.00023266691950786086,0.0002485201418591997,0.0002885789150559649,0.00029983333135356194,0.0003180911999745675,0.00028143923539422936,0.0002704663090018231,0.0003220179265467235,0.0003708606641304699,0.00031942228697745783,0.00029358261003149355,0.00034328560888769464,0.0002386907986102005,0.0002846911226849075,0.00021884171196596999,0.0003222586958241885,0.00030188844605969276,0.00028655184610572304
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.07452954693425808,0.07420493104534073,0.060223110755169514,0.0722603112267094,0.07313303444527675,0.07012925376795083,0.06887456038892407,0.07131451762130529,0.06847234230456513,0.07048124487183698,0.06348493916673958,0.05739151022106516,0.0686694455247921,0.07123507956363839,0.06565881227648586,0.07354622642854221,0.06484475542026642,0.06636897634255268,0.067394690343772,0.06594260887234771,0.067593530704153,0.07698885638369984,0.06830145816085754,0.0744875669265759,0.07022211280033082,0.06659638491169625,0.06453821720665383,0.0727971147397837,0.07325206801327759,0.06763577747184063,0.06836035148307952,0.06272587165942363,0.07254626403814046,0.07031302704976633,0.06651817740442068,0.06447656639094144,0.06571895588587695,0.07018402802870122,0.06023207202870441,0.06828065015896886,0.06348001738943977,0.0713211379374071,0.07000267373928039,0.06512861317959558,0.06900364900184085,0.062250303650203634,0.07678712163076659,0.07105516501861367,0.0727978152198588,0.06404097450755529,0.07286759612549441,0.06471226593524397,0.05579701977972206,0.07134533770184417,0.0767865033785474,0.07063044542887789,0.06247275019552954,0.056738723303636225,0.07337645696803823,0.08126949000232175,0.0629602888579965,0.07391712078021352,0.07478610809747245,0.057302407771187225,0.0674009842888001,0.07377631508075175,0.07649021548307175,0.0682049488695388,0.060361347550280046,0.06500211908194473,0.05777881146421898,0.06884192611520742,0.07116523131678232,0.06987290164881982,0.0661157862204107,0.06737645883262053,0.07036814349029104,0.06894283646180606,0.0710492213874085,0.06659951608036413,0.07044977754385673,0.07255433309516823,0.058894287588706906,0.07007548690022893,0.07025041391867326,0.06937305436346809,0.0707582649643187,0.056235686646312594,0.06214590233691585,0.07613031613124675,0.07528763648141643,0.06942683693346317,0.07003964472867542,0.06958866291377064,0.061924551660782735,0.06253211093819533,0.0623682726501432,0.06040222368877803,0.06830793422842214,0.06959048374656356
NDCGk,0.2239617472408276,0.22066404774155912,0.22126473663454277,0.22030062172519801,0.22212018439619774,0.2197401121890531,0.22245771069156733,0.22039988114616377,0.22376823642857513,0.22865946574694127,0.22276483314080886,0.2281909716274031,0.2214574196316032,0.21789776357977883,0.22128959425881098,0.228049826145035,0.22074299118570603,0.22379410975033587,0.22309273857784898,0.22356115194931825,0.21572692296935533,0.221378079714578,0.22237130937837077,0.21864836096432158,0.22869566704554772,0.22517088428507226,0.22278862572856664,0.2211156172241632,0.2203826998607839,0.225914142725804,0.2262973085054005,0.21877716819602233,0.22308063424787686,0.22544986515552742,0.22225593569589375,0.22616916492467673,0.22869851141754907,0.22285456189785174,0.21997070206759428,0.21834485145287122,0.22075146103070903,0.22487430794018112,0.2215941301135608,0.22112151198486946,0.22716663915972785,0.22513519623662465,0.22877488548917696,0.22815273520523446,0.22658825202258692,0.22474919975289573,0.23035704938532447,0.21827439012685146,0.22020287132199806,0.23472905544215114,0.22456326780253397,0.22426861121298894,0.22360064441198094,0.21872212545401232,0.23288792856620696,0.22678611711147167,0.22332686859272485,0.22903514644584685,0.22450665006966242,0.21911520215492178,0.2197953863061626,0.21947996562777372,0.22596582635247475,0.22233949860925065,0.21649990263360716,0.22280556422502937,0.22119534583705636,0.2261779310992243,0.22424159260316553,0.22307678412289603,0.2293601173078564,0.21869570071682862,0.22842687320514696,0.22335303993358666,0.22182404486533797,0.22953378923296694,0.22174445621701747,0.22767086874308096,0.22243003869585615,0.22544625997465922,0.22243428575281043,0.21877398052575472,0.22169314924556946,0.2260359104561428,0.2188667861446841,0.22372896246421345,0.22495937991970016,0.22250047185391317,0.2210315294736674,0.2218613606859416,0.22233474280240811,0.21688224367470565,0.2217199832841812,0.22712296607375365,0.21677357102619157,0.22491350178758307
global AUC,0.15695821133199064,0.15519277643808194,0.1434555694432776,0.15392903129856078,0.15695933766455708,0.15737404230772448,0.14875699078062396,0.15584308901797442,0.1521446374559556,0.155185165339134,0.15217999014567118,0.14220673002775497,0.1535429822856783,0.14866481824943384,0.15395862848783234,0.1540225149358971,0.15677191435296398,0.1440198384709365,0.14222260483020938,0.15180991028770935,0.14866402608185222,0.15713863683566673,0.15857375357345224,0.15214458831404604,0.1605093000670649,0.15541836728796848,0.1471171802985603,0.15191579341165817,0.1555713224642175,0.14718743750377652,0.15028635187250527,0.1418196333093612,0.15711683355324663,0.1541532186555112,0.14534826615745686,0.1438675182081586,0.15402659568006447,0.15185145092667293,0.1468179257262889,0.14920392858509002,0.146925202514792,0.15213004820585443,0.15711591558237661,0.15518396431086515,0.1554615512323867,0.15649258584216866,0.15899841436749032,0.15748677974521452,0.15379933007390123,0.15027027460538359,0.15411591601482544,0.14713669160231996,0.15316916371123948,0.15576535831115687,0.1624917417021035,0.149121838008059,0.15048163002691756,0.14842572713416133,0.15359986306312057,0.16054681893215259,0.15496503906958717,0.15243844710465107,0.15718963827505292,0.14383071878062648,0.15512537929200026,0.14877581213197377,0.15725763495243084,0.1423799198766719,0.14957439174994616,0.1537606927389526,0.15141224609309045,0.153468522464359,0.1537060095877045,0.15527415740593933,0.15507291538938656,0.14880196545622537,0.15065864704774865,0.14567345193254888,0.1440930795728994,0.15187957779001127,0.14856108557544603,0.15368530315270515,0.14021725520262443,0.1421500595776854,0.14882702783008553,0.1504777026055079,0.15544218735435567,0.1464941866890136,0.1402446960449058,0.1539968432023589,0.1572065391605783,0.15005913737392784,0.14872710267124806,0.15381278906008314,0.14157337730367933,0.1472705404041438,0.14061195122590775,0.1521130293797462,0.15043576489991536,0.14903741220748717
global NDCG,0.39144928658103223,0.39528504742673454,0.38599343302126593,0.39393502263240343,0.39231475388521386,0.3907125678437705,0.3890360450075768,0.39434062618309845,0.39183757527675395,0.3908694540123478,0.389909650509319,0.3858592969502929,0.39089628494532164,0.39190366572389546,0.3892277362741589,0.389020838946744,0.39166003418979906,0.390909230617102,0.3880452514162901,0.38962787051696535,0.39180326022066186,0.39126192646156027,0.3902092254059865,0.39152643269913456,0.39441109316185086,0.39141476214156556,0.3903828201506377,0.390657946902925,0.3885907480369767,0.38692920652730645,0.3876861508528522,0.38838959552113794,0.39165953977393264,0.39003959724317744,0.38846331609826845,0.3872024229328891,0.39262516008658893,0.3886893929856581,0.3885226320842526,0.3872163950138716,0.3890041651749248,0.3898659755624666,0.3897056728513238,0.39425221907643027,0.3938437106649894,0.39288319445066605,0.3917748788268212,0.38993925440497695,0.3924330586719246,0.39130941779486506,0.38815294944269324,0.38905066093507473,0.3907831161059324,0.3896227409198128,0.3949943534554029,0.389861414362115,0.390557102197987,0.39064168703635044,0.391678434456409,0.39473622155042193,0.3958317265064558,0.3900874868687614,0.3926812337916889,0.3907650496294763,0.3911357615616195,0.38908750671547665,0.39148440565549136,0.3867011430148319,0.39003214129215386,0.39333716622862297,0.38944527355125164,0.3894545245336402,0.39163212463475205,0.39063916757322686,0.3918728337464852,0.3891413824947065,0.3892135090368704,0.3889391101404252,0.3872323267855968,0.38884557228261324,0.3907100016888755,0.3918593965961769,0.3874674422135258,0.38741423696753674,0.38960059913948575,0.3886970109202965,0.3932168967971448,0.39480510710173716,0.3856611250955607,0.3910745885855611,0.3916319640652795,0.39140178391224756,0.3891291258503888,0.3931027717768504,0.3882928414747039,0.3870462989636032,0.3853006149501864,0.3887341002369971,0.38879789414567356,0.388048703840412
prediction time (sec),0.059938669204711914,0.05472707748413086,0.05852079391479492,0.08843994140625,0.08170557022094727,0.08381867408752441,0.08878040313720703,0.060364484786987305,0.0868833065032959,0.06072115898132324,0.06073641777038574,0.05947446823120117,0.08529877662658691,0.08219718933105469,0.05431532859802246,0.08588695526123047,0.05614304542541504,0.07129096984863281,0.060688018798828125,0.11112093925476074,0.06937956809997559,0.060849666595458984,0.06504654884338379,0.10216736793518066,0.087860107421875,0.06042909622192383,0.05443692207336426,0.06956124305725098,0.06654667854309082,0.06636381149291992,0.06793951988220215,0.07331562042236328,0.08629703521728516,0.09707999229431152,0.05790567398071289,0.08947181701660156,0.06580924987792969,0.06455779075622559,0.0794522762298584,0.08861303329467773,0.06217551231384277,0.09565567970275879,0.05636119842529297,0.06245732307434082,0.06487822532653809,0.08310699462890625,0.06163930892944336,0.09533262252807617,0.0588076114654541,0.062272071838378906,0.060858964920043945,0.05484962463378906,0.05130767822265625,0.11088109016418457,0.0541839599609375,0.058205366134643555,0.10273408889770508,0.08419036865234375,0.08806324005126953,0.08677291870117188,0.07529664039611816,0.1247553825378418,0.08456087112426758,0.09520864486694336,0.0690469741821289,0.05541825294494629,0.07638430595397949,0.07638001441955566,0.07035017013549805,0.08088397979736328,0.11235237121582031,0.05947995185852051,0.12191009521484375,0.08696556091308594,0.06487822532653809,0.10733580589294434,0.07850813865661621,0.06752181053161621,0.09703898429870605,0.09538745880126953,0.10339188575744629,0.07001876831054688,0.10589289665222168,0.10113072395324707,0.0680396556854248,0.06085491180419922,0.0705559253692627,0.05774831771850586,0.08088397979736328,0.08056759834289551,0.0639653205871582,0.08377981185913086,0.057221174240112305,0.056092262268066406,0.0571136474609375,0.05574345588684082,0.05171370506286621,0.05518460273742676,0.053052663803100586,0.05507159233093262
training time (sec),41.80488038063049,46.18634223937988,33.637951135635376,43.59504699707031,50.68160152435303,51.71382784843445,33.5139901638031,33.56269860267639,38.1287055015564,43.18225717544556,31.924717903137207,32.700708627700806,33.85373544692993,46.13317632675171,32.78713130950928,32.168541431427,32.67611575126648,36.00004601478577,31.73140597343445,32.87352967262268,33.404568672180176,34.097039222717285,32.35644459724426,57.57492017745972,62.151774168014526,44.26180624961853,31.95798945426941,37.453115940093994,34.294864892959595,34.210923194885254,46.921929359436035,32.62718343734741,33.21906542778015,40.71321964263916,33.26728105545044,31.961931943893433,32.88406157493591,33.99881958961487,33.116960287094116,48.16387939453125,36.67555618286133,54.04192304611206,34.02822232246399,46.52296161651611,54.379178524017334,33.04277777671814,32.447356939315796,44.18934082984924,33.30680203437805,31.777398586273193,32.037418365478516,34.50790619850159,33.29054498672485,46.67413830757141,32.523191928863525,33.10439491271973,37.88920187950134,35.37687706947327,52.84042000770569,43.40999627113342,34.013680934906006,47.84920334815979,42.23755240440369,54.18320608139038,32.68949270248413,33.04371356964111,35.89499592781067,35.727227210998535,43.26298403739929,47.672261238098145,34.00848078727722,33.83292865753174,37.722906827926636,32.61728620529175,32.79220485687256,55.13281440734863,32.834880113601685,31.87834906578064,55.87671184539795,55.50595736503601,44.77041244506836,40.57175827026367,56.68312740325928,34.98064708709717,33.63036870956421,33.91165208816528,34.33471417427063,32.17334318161011,52.70665955543518,52.071228981018066,31.745620250701904,53.674721002578735,31.891695976257324,32.53994584083557,31.47134566307068,33.946343421936035,32.41251182556152,34.4251651763916,32.807781457901,33.75268507003784
