,1_DRRS,2_DRRS,3_DRRS,4_DRRS,5_DRRS,6_DRRS,7_DRRS,8_DRRS,9_DRRS,10_DRRS,11_DRRS,12_DRRS,13_DRRS,14_DRRS,15_DRRS,16_DRRS,17_DRRS,18_DRRS,19_DRRS,20_DRRS,21_DRRS,22_DRRS,23_DRRS,24_DRRS,25_DRRS,26_DRRS,27_DRRS,28_DRRS,29_DRRS,30_DRRS,31_DRRS,32_DRRS,33_DRRS,34_DRRS,35_DRRS,36_DRRS,37_DRRS,38_DRRS,39_DRRS,40_DRRS,41_DRRS,42_DRRS,43_DRRS,44_DRRS,45_DRRS,46_DRRS,47_DRRS,48_DRRS,49_DRRS,50_DRRS,51_DRRS,52_DRRS,53_DRRS,54_DRRS,55_DRRS,56_DRRS,57_DRRS,58_DRRS,59_DRRS,60_DRRS,61_DRRS,62_DRRS,63_DRRS,64_DRRS,65_DRRS,66_DRRS,67_DRRS,68_DRRS,69_DRRS,70_DRRS,71_DRRS,72_DRRS,73_DRRS,74_DRRS,75_DRRS,76_DRRS,77_DRRS,78_DRRS,79_DRRS,80_DRRS,81_DRRS,82_DRRS,83_DRRS,84_DRRS,85_DRRS,86_DRRS,87_DRRS,88_DRRS,89_DRRS,90_DRRS,91_DRRS,92_DRRS,93_DRRS,94_DRRS,95_DRRS,96_DRRS,97_DRRS,98_DRRS,99_DRRS,100_DRRS
ACC,0.736734693877551,0.7408163265306122,0.7346938775510204,0.7285714285714285,0.726530612244898,0.7285714285714285,0.7306122448979592,0.7448979591836735,0.7571428571428571,0.7142857142857143,0.7163265306122449,0.7204081632653061,0.7285714285714285,0.7142857142857143,0.710204081632653,0.7591836734693878,0.7142857142857143,0.7285714285714285,0.7081632653061225,0.7163265306122449,0.7346938775510204,0.689795918367347,0.736734693877551,0.7224489795918367,0.7408163265306122,0.726530612244898,0.7448979591836735,0.7224489795918367,0.7285714285714285,0.6816326530612244,0.7285714285714285,0.7346938775510204,0.6795918367346939,0.753061224489796,0.726530612244898,0.6959183673469388,0.6244897959183674,0.6959183673469388,0.6979591836734694,0.7142857142857143,0.7571428571428571,0.7,0.7244897959183674,0.7081632653061225,0.753061224489796,0.7163265306122449,0.7061224489795919,0.7142857142857143,0.736734693877551,0.7346938775510204,0.726530612244898,0.746938775510204,0.736734693877551,0.7204081632653061,0.7285714285714285,0.7306122448979592,0.7122448979591837,0.7163265306122449,0.6959183673469388,0.7408163265306122,0.7244897959183674,0.726530612244898,0.7204081632653061,0.7183673469387755,0.7448979591836735,0.7387755102040816,0.726530612244898,0.710204081632653,0.6816326530612244,0.7163265306122449,0.7285714285714285,0.7244897959183674,0.6979591836734694,0.6938775510204082,0.6530612244897959,0.7285714285714285,0.710204081632653,0.7326530612244898,0.7244897959183674,0.7224489795918367,0.6551020408163265,0.7122448979591837,0.7346938775510204,0.7081632653061225,0.736734693877551,0.7142857142857143,0.746938775510204,0.7326530612244898,0.7183673469387755,0.753061224489796,0.7448979591836735,0.6979591836734694,0.7326530612244898,0.6795918367346939,0.7204081632653061,0.726530612244898,0.7183673469387755,0.7204081632653061,0.746938775510204,0.7408163265306122
AUC,0.6096402481203012,0.623085203241155,0.6182261310716376,0.6079789905961834,0.6084860125018197,0.6176511700394697,0.6181131804436176,0.6351408229224329,0.6202981237986102,0.6067795601656188,0.596256860855606,0.6041430031816081,0.6271181393809848,0.6034756354316014,0.6124740072790857,0.6310058177654388,0.6067442181243422,0.619040351552547,0.6090889360577371,0.6114722355490793,0.620313594878291,0.606146937559653,0.6171487718094977,0.6128820818910061,0.6202976482559478,0.6221838458101846,0.6192098679899872,0.6160578495572425,0.6151569383206376,0.6042956034569851,0.6130538566299433,0.6186489474048367,0.6020092128030915,0.6301107308663537,0.6261575055571688,0.6065915889912993,0.5816866710925992,0.5976425844186338,0.5934702711732265,0.6217033554463519,0.624146690139837,0.617276007590125,0.6132503661811811,0.6122423134143066,0.6219311942593535,0.6143024791792894,0.618602488511835,0.6099135543281016,0.6166769928052693,0.6174772556911469,0.6047478877254471,0.624009766945659,0.6216960804692293,0.6126916015554078,0.6154765175815665,0.6120649606353631,0.6105636851251671,0.6104973679630411,0.6069406755243003,0.6248465072822098,0.6180675953207627,0.6257599723066821,0.6075530638694605,0.6147197595684112,0.6214014388270864,0.6234880391199454,0.61401240047035,0.6133327510821382,0.6009871696212751,0.617695989088828,0.6164871536078105,0.6095998576367744,0.6119446418493769,0.6178967655169354,0.5915290077190581,0.6210613787643192,0.6068982883345531,0.6301376300183835,0.6172938915118026,0.6104054247934917,0.5933284680035842,0.6086282820748387,0.6117913379438792,0.605054320946477,0.6155834405751626,0.6083485304622233,0.6214430449345624,0.6147530616455837,0.6182386518677787,0.6265319110398904,0.627063533680883,0.6128312366809998,0.6112884118133212,0.6047035360661791,0.6135362330329651,0.6247116404402288,0.611679761667144,0.6094807286462306,0.6242225735914045,0.6156418006919104
Fscore,0.001116000428777,0.0010897462326271,0.0010731170612181,0.0010686278175227,0.0010638347892603,0.0010960281835727,0.0011451300706311,0.0010591864440236,0.0012104750756214,0.0010474204945972,0.0010122047187571,0.0010309484003334,0.0010834732262708,0.0010357455905124,0.0010109759066282,0.0011129870700598,0.0010758212586306,0.0011428041184945,0.0010659767774742,0.0010297984454621,0.0010067161066791,0.000966625397821,0.0010578959899017,0.001071112284431,0.0010554736016998,0.0010811649488077,0.0012218260728503,0.0010203618275758,0.0010139979446506,0.0009851855095816,0.0010639369790959,0.0010419473086786,0.0010004959380776,0.0011012824783211,0.0010035845013152,0.0010263335388882,0.0010129703705645,0.0010929976401128,0.0009831120946556,0.0010239822877394,0.0011148041856854,0.0011024388690737,0.0010791052978826,0.0008479017754313,0.0011582570498246,0.0010065619976542,0.0010380578648703,0.0010060958288413,0.0010244172422114,0.0010817954020925,0.0010056468701269,0.0010863144934798,0.0010331430238496,0.0010395790567044,0.0010604166313825,0.0010742012593238,0.0009512443697711,0.0010329725540603,0.001105191577677,0.00106376048718,0.0009773923514301,0.001007754765206,0.0010133413069244,0.0010636931000949,0.0011125047918833,0.0009944542302415,0.0010420076669172,0.0010908387844475,0.0010153347401589,0.001075195065771,0.0010043126400171,0.0010938741461568,0.0010749348615393,0.0010418497748922,0.0009397663428415,0.0010122047818333,0.0010044556093287,0.000970192969066,0.0010048005610744,0.0010167687131798,0.0009844843347722,0.0010177267776123,0.001107484426238,0.0010524366055186,0.0010720672879561,0.0010629696737492,0.0011395988822203,0.0010308599318385,0.0009766377276821,0.0010670196767218,0.0011581769948381,0.0010256775161118,0.0010585043107802,0.0010545823677964,0.0011053442669926,0.0010262965265318,0.0009364436284587709,0.0010705010966192568,0.0011046548685724278,0.0011125785875385882
HR@10,0.0061224489795918,0.0081632653061224,0.0040816326530612,0.0061224489795918,0.0061224489795918,0.0061224489795918,0.0061224489795918,0.0081632653061224,0.0061224489795918,0.0061224489795918,0.0040816326530612,0.0040816326530612,0.0081632653061224,0.0061224489795918,0.010204081632653,0.0061224489795918,0.0061224489795918,0.0061224489795918,0.0081632653061224,0.0081632653061224,0.0061224489795918,0.0061224489795918,0.0020408163265306,0.0081632653061224,0.0040816326530612,0.0081632653061224,0.0061224489795918,0.0040816326530612,0.0040816326530612,0.0081632653061224,0.0061224489795918,0.0081632653061224,0.0163265306122449,0.0061224489795918,0.0,0.010204081632653,0.0204081632653061,0.0061224489795918,0.0040816326530612,0.0081632653061224,0.0040816326530612,0.0081632653061224,0.0061224489795918,0.0,0.0061224489795918,0.0081632653061224,0.0122448979591836,0.0061224489795918,0.0061224489795918,0.0040816326530612,0.0,0.0040816326530612,0.0081632653061224,0.0061224489795918,0.0081632653061224,0.0040816326530612,0.0040816326530612,0.0061224489795918,0.010204081632653,0.0040816326530612,0.0040816326530612,0.0081632653061224,0.0,0.0061224489795918,0.0061224489795918,0.0040816326530612,0.0040816326530612,0.0061224489795918,0.0122448979591836,0.0081632653061224,0.0,0.0061224489795918,0.010204081632653,0.010204081632653,0.0122448979591836,0.0061224489795918,0.0081632653061224,0.0061224489795918,0.0,0.0020408163265306,0.0183673469387755,0.0081632653061224,0.0061224489795918,0.0081632653061224,0.0061224489795918,0.0040816326530612,0.0061224489795918,0.0081632653061224,0.0061224489795918,0.0040816326530612,0.0081632653061224,0.010204081632653,0.0081632653061224,0.010204081632653,0.0040816326530612,0.0061224489795918,0.006122448979591836,0.006122448979591836,0.00816326530612245,0.004081632653061225
HR@2,0.0020408163265306,0.0040816326530612,0.0020408163265306,0.0,0.0040816326530612,0.0040816326530612,0.0020408163265306,0.0040816326530612,0.0020408163265306,0.0040816326530612,0.0,0.0020408163265306,0.0040816326530612,0.0,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0,0.0020408163265306,0.0,0.0040816326530612,0.0040816326530612,0.0020408163265306,0.0,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0020408163265306,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0,0.0,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0,0.0,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0020408163265306,0.0020408163265306,0.0040816326530612,0.0,0.0040816326530612,0.0040816326530612,0.0,0.0,0.0040816326530612,0.0,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0,0.0,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0020408163265306,0.0040816326530612,0.0,0.0,0.0040816326530612,0.0040816326530612,0.0020408163265306,0.0040816326530612,0.0040816326530612,0.0,0.0,0.0040816326530612,0.0040816326530612,0.0020408163265306,0.0040816326530612,0.0040816326530612,0.0020408163265306,0.0040816326530612,0.0020408163265306,0.0040816326530612,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225
HR@5,0.0040816326530612,0.0061224489795918,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0020408163265306,0.0040816326530612,0.0020408163265306,0.0040816326530612,0.0,0.0040816326530612,0.0061224489795918,0.0,0.0061224489795918,0.0061224489795918,0.0061224489795918,0.0061224489795918,0.0061224489795918,0.0061224489795918,0.0040816326530612,0.0040816326530612,0.0,0.0061224489795918,0.0040816326530612,0.0061224489795918,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0061224489795918,0.0061224489795918,0.0040816326530612,0.010204081632653,0.0061224489795918,0.0,0.0061224489795918,0.010204081632653,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0081632653061224,0.0040816326530612,0.0,0.0,0.0040816326530612,0.0061224489795918,0.0040816326530612,0.0061224489795918,0.0020408163265306,0.0,0.0040816326530612,0.0061224489795918,0.0040816326530612,0.0061224489795918,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0081632653061224,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0,0.0,0.0040816326530612,0.0,0.0040816326530612,0.0040816326530612,0.0081632653061224,0.0061224489795918,0.0,0.0040816326530612,0.0061224489795918,0.0040816326530612,0.0061224489795918,0.0040816326530612,0.0061224489795918,0.0061224489795918,0.0,0.0,0.010204081632653,0.0040816326530612,0.0061224489795918,0.0040816326530612,0.0040816326530612,0.0,0.0020408163265306,0.0061224489795918,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0081632653061224,0.0061224489795918,0.0081632653061224,0.0040816326530612,0.0040816326530612,0.004081632653061225,0.004081632653061225,0.006122448979591836,0.004081632653061225
Lin's AUC,0.6626658297170528,0.6833255268251535,0.6657333884105184,0.6336164443520953,0.688598254398609,0.6637543371349599,0.6473045780327883,0.6652324948749392,0.6730729991081753,0.654122836162531,0.6349861494123256,0.6400003401742209,0.6627975217710337,0.6302195123643995,0.6809930036324425,0.6828586859905239,0.6415181695440977,0.6772928903260368,0.6877370743150601,0.6759332573098848,0.6656912859498044,0.6678316410026941,0.6363151002187997,0.6495014135517926,0.6641522174720573,0.6757472570053793,0.6612517829398882,0.6573007176421815,0.6490503769079554,0.6952323477070506,0.6513837917755225,0.6674939203038851,0.6639914040678573,0.6712202186372046,0.6290850661212959,0.6794841187587519,0.656932679521174,0.6885509327628835,0.6336273745949456,0.680199720534589,0.6691567826595065,0.6864675677102733,0.668810103442107,0.5993086994108762,0.6451064322956588,0.6632471906925956,0.679045131027045,0.6684910539999012,0.6477832891437844,0.6457489674389215,0.6326147105245001,0.6537914278198889,0.6796641142518313,0.6635389766259494,0.6529454516388826,0.6583944027543119,0.6591644718415491,0.6433872716235454,0.6793062708098362,0.6564550003625435,0.6715948317795334,0.6731231701481746,0.6391891421062071,0.6573765263353498,0.6701288216801714,0.6372412118118146,0.6622061747770878,0.6671416723502684,0.6790942931630476,0.6729495217286384,0.6302304821145432,0.6545219801958748,0.6813064065325285,0.6678590917336473,0.6653079593676042,0.6600062680299651,0.6488707561770957,0.6692678588288141,0.6154202862547448,0.631328825874799,0.6632249852267279,0.6739972429501113,0.6471143999060358,0.6752060718256959,0.6581567770169252,0.648674014748285,0.6484661667741114,0.6854335195933275,0.654363092066496,0.6587389029500936,0.670792276902917,0.6811613075643549,0.664861792841833,0.6822702181788415,0.6550140506260181,0.6582436639430329,0.6413895056685402,0.6544668971569513,0.6882015597437201,0.6586558933348662
NDCGk,0.252028971697926,0.2552358463321647,0.2504072575247833,0.2493787513202896,0.2596386664166135,0.2524030310349998,0.2556532697601121,0.2572399885394548,0.2570316264155431,0.2521712781795698,0.2606153002695519,0.2510838758519445,0.2642313468404574,0.2489902404171784,0.2557154172010117,0.2589480206941628,0.2529422103193829,0.2492912164650195,0.2493794871953925,0.2592681207066866,0.2563695680094593,0.2545679150152644,0.2578818337632249,0.2486306816110558,0.2584227080545264,0.2626642712916096,0.2510832467517423,0.2485243389333249,0.2522288941685425,0.2482279100440405,0.2477328384222466,0.2551292489417265,0.2596399495327278,0.2563152237585596,0.2615997767904229,0.2604374234221262,0.2465822073764072,0.2466705530079098,0.2526783460712657,0.2556192627481063,0.2542068113066719,0.2635376108036031,0.2519211742866792,0.2482932977903971,0.2569858375966419,0.2580274246911874,0.2562409145953653,0.2517602189150938,0.2500124897357639,0.2479141501775717,0.2558532910047122,0.2507174610687659,0.2487577401861673,0.2561959618231992,0.2547718466876816,0.2491868379546669,0.2479204816794818,0.2492674481356368,0.2650129416319081,0.2498522112178627,0.2585463830230993,0.2624958401110914,0.2580890872369965,0.2491968540489033,0.2517657704569514,0.2562801072422849,0.2458122557927149,0.2625823825534074,0.2524437177175444,0.2590393549385025,0.2544294955768361,0.250936880396308,0.2502930865667979,0.2549908378377041,0.2559716685713157,0.2510141944593597,0.250581847722981,0.2622942388185719,0.2637619983408181,0.2526295649541198,0.2526057059039392,0.2548367716694653,0.2514668959280917,0.2560507253573799,0.2523708186683788,0.252626906447456,0.2652025328918847,0.2502110102594215,0.2528809055266891,0.2518989464706464,0.2649206022896113,0.264868110532666,0.2492284235921201,0.247343487509562,0.2514040372574926,0.2556598248148755,0.2540940554394816,0.2471886747108798,0.25373910919841675,0.2515076243505604
global AUC,0.7209623837553042,0.7259332844718599,0.7191560293761686,0.7107787746421612,0.7155136251448068,0.7130520204067085,0.7129101398511911,0.7281908775553845,0.7387557531907744,0.7008058192040841,0.6993781248603144,0.7042740645080734,0.71336717926658,0.6976554630844601,0.6994876228631278,0.7409463029499652,0.699088541415838,0.7155400300756349,0.698396924078148,0.7053691821335584,0.7195524846798131,0.6805056148169857,0.7175033240570442,0.7068167337401314,0.7245141604771121,0.7128871689570005,0.7277318429784684,0.707686447254986,0.7123078625050259,0.6755362040831266,0.7125330700480177,0.7202551294620018,0.6714627486438112,0.7352562850831464,0.7066833586663152,0.6859811931160283,0.6237406098165013,0.6867825679258149,0.6848584144925072,0.7020359728999273,0.738849455018189,0.6903431174613117,0.710028576216959,0.6875775601843914,0.7312043282464121,0.7026547029574036,0.6944615829584035,0.7031736415220359,0.7186124943029784,0.7160058540987715,0.7074679112176315,0.7290375317206109,0.7220634947280756,0.7062941724339286,0.713533467625723,0.7157350467950886,0.700330280808272,0.7008203946944507,0.6858833712309187,0.7216911641706574,0.712284915198952,0.7130567301673179,0.7029708996944041,0.7044496642762335,0.7294350190043556,0.718691644228143,0.7114713020880159,0.6979814056449589,0.6754845814900041,0.7040611562021988,0.7092556565384668,0.709013103867087,0.688303804877213,0.6846629279763988,0.6482408493734819,0.7132073088408222,0.6972703261454184,0.7184900267674014,0.7024376785251857,0.7037667450565305,0.6499021289729808,0.7009297452715362,0.7177540735989337,0.6969498599593176,0.720453975319046,0.7014886499683506,0.7273824872465932,0.7192222333566868,0.7043583762994153,0.7342203559391751,0.7279067960390995,0.6885413293484094,0.7175855306089818,0.6723454493825162,0.7064743247085875,0.7113817910826463,0.7032795148176028,0.706203865329624,0.7319075509374567,0.7240271759477319
global NDCG,0.5387852792840531,0.5693772311033792,0.5432194023602475,0.5188889861476738,0.5673355043426226,0.5505763924800835,0.5270802732049334,0.5559176363474018,0.5315263198027917,0.545983564414615,0.5096294074667456,0.5237875602389624,0.556974927163263,0.5104630899409667,0.5725891443794731,0.5642690028536439,0.5318312928330418,0.5624643220018194,0.5800682588982085,0.5664164869551147,0.5481347340510279,0.5720813647208326,0.5070819890569805,0.5351011708077809,0.5240574180861566,0.5612376063265998,0.5413150647795658,0.5421596049601541,0.5172427843737097,0.5813605419508949,0.5471707591890731,0.5590684558079384,0.5915489058426775,0.5544137478898044,0.5038109126418829,0.5768216361053226,0.5858035272361721,0.5711578017672901,0.5229960193842021,0.5696413328054046,0.5466874089480485,0.5768374408135712,0.5526737021446644,0.4936936642315105,0.5115135014463372,0.5543955216587267,0.5857347461070329,0.5614132528649283,0.5494698876771221,0.515230702552387,0.5036414103724167,0.5439400575921924,0.5629792465381707,0.5455218433921518,0.5441084123705936,0.5445042067309577,0.5426758715692517,0.5279964712853291,0.5716905818103338,0.5216989577715555,0.5573893022441769,0.5652829513509552,0.503115770260852,0.5201697977301346,0.5512741434634592,0.512281694986084,0.5464950321200861,0.560844632825724,0.5759749394186284,0.5619666879319561,0.5013605262436394,0.5291695808224283,0.5759593677444504,0.5681366821133281,0.5702443202128041,0.5472447890950685,0.5434533349064901,0.5613864579234322,0.4922690747696246,0.504578334904053,0.5895446269545609,0.5679545179619129,0.5349398936209991,0.5619336582169021,0.5422918333501088,0.5116402260228565,0.5201007737997676,0.5563592912250739,0.5515612311189964,0.5420853370796213,0.5635303714798857,0.5750234150595724,0.5364466234260906,0.5762725966270246,0.5417133538313665,0.5505269104612454,0.54216833040935,0.5424675555002085,0.5736496695280556,0.5376776289835057
