,1_FastaiCollabWrapper,2_FastaiCollabWrapper,3_FastaiCollabWrapper,4_FastaiCollabWrapper,5_FastaiCollabWrapper,6_FastaiCollabWrapper,7_FastaiCollabWrapper,8_FastaiCollabWrapper,9_FastaiCollabWrapper,10_FastaiCollabWrapper,11_FastaiCollabWrapper,12_FastaiCollabWrapper,13_FastaiCollabWrapper,14_FastaiCollabWrapper,15_FastaiCollabWrapper,16_FastaiCollabWrapper,17_FastaiCollabWrapper,18_FastaiCollabWrapper,19_FastaiCollabWrapper,20_FastaiCollabWrapper,21_FastaiCollabWrapper,22_FastaiCollabWrapper,23_FastaiCollabWrapper,24_FastaiCollabWrapper,25_FastaiCollabWrapper,26_FastaiCollabWrapper,27_FastaiCollabWrapper,28_FastaiCollabWrapper,29_FastaiCollabWrapper,30_FastaiCollabWrapper,31_FastaiCollabWrapper,32_FastaiCollabWrapper,33_FastaiCollabWrapper,34_FastaiCollabWrapper,35_FastaiCollabWrapper,36_FastaiCollabWrapper,37_FastaiCollabWrapper,38_FastaiCollabWrapper,39_FastaiCollabWrapper,40_FastaiCollabWrapper,41_FastaiCollabWrapper,42_FastaiCollabWrapper,43_FastaiCollabWrapper,44_FastaiCollabWrapper,45_FastaiCollabWrapper,46_FastaiCollabWrapper,47_FastaiCollabWrapper,48_FastaiCollabWrapper,49_FastaiCollabWrapper,50_FastaiCollabWrapper,51_FastaiCollabWrapper,52_FastaiCollabWrapper,53_FastaiCollabWrapper,54_FastaiCollabWrapper,55_FastaiCollabWrapper,56_FastaiCollabWrapper,57_FastaiCollabWrapper,58_FastaiCollabWrapper,59_FastaiCollabWrapper,60_FastaiCollabWrapper,61_FastaiCollabWrapper,62_FastaiCollabWrapper,63_FastaiCollabWrapper,64_FastaiCollabWrapper,65_FastaiCollabWrapper,66_FastaiCollabWrapper,67_FastaiCollabWrapper,68_FastaiCollabWrapper,69_FastaiCollabWrapper,70_FastaiCollabWrapper,71_FastaiCollabWrapper,72_FastaiCollabWrapper,73_FastaiCollabWrapper,74_FastaiCollabWrapper,75_FastaiCollabWrapper,76_FastaiCollabWrapper,77_FastaiCollabWrapper,78_FastaiCollabWrapper,79_FastaiCollabWrapper,80_FastaiCollabWrapper,81_FastaiCollabWrapper,82_FastaiCollabWrapper,83_FastaiCollabWrapper,84_FastaiCollabWrapper,85_FastaiCollabWrapper,86_FastaiCollabWrapper,87_FastaiCollabWrapper,88_FastaiCollabWrapper,89_FastaiCollabWrapper,90_FastaiCollabWrapper,91_FastaiCollabWrapper,92_FastaiCollabWrapper,93_FastaiCollabWrapper,94_FastaiCollabWrapper,95_FastaiCollabWrapper,96_FastaiCollabWrapper,97_FastaiCollabWrapper,98_FastaiCollabWrapper,99_FastaiCollabWrapper,100_FastaiCollabWrapper
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9755102040816327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.0005742116751649803,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.4804990821538285,0.4370477323343536,0.42219049970839156,0.4520494572623213,0.48187314800481856,0.45521309679647415,0.5500658411205536,0.43912329606742984,0.48963314801288393,0.5198284982415803,0.49773680028146144,0.3790507830016171,0.4277688038481616,0.43702230155756266,0.5048991798888034,0.41366319607007146,0.48242704257474106,0.4385417616173966,0.46610613435381526,0.5501967548717657,0.41066451206237614,0.4746577971511481,0.4285037439165598,0.422219596316983,0.41800617458110273,0.43850858383094915,0.4659255076132607,0.4954309526694215,0.5109943342668581,0.4811441138361064,0.5229312369402704,0.49609125854831587,0.5409758072882305,0.4052131423334446,0.5250357520258033,0.5412247771961617,0.5501153241092588,0.5380001683590162,0.39931517558984464,0.5516930877702567,0.3776027694717903,0.4237430344145008,0.46091646785029095,0.4149523939757458,0.5507273290136427,0.47437598698389627,0.4204174183088838,0.4425339656544369,0.4045714227023163,0.5597340850285396,0.5461193650585878,0.5683803200735326,0.4409153723554016,0.4659804932277667,0.4723383586361992,0.40368191043926155,0.4037533459810595,0.5681562039945329,0.3599740741804038,0.41379681578615707,0.4651724662250971,0.5601075462673478,0.42177899050642875,0.43279401819188107,0.4105735936284258,0.537028761606727,0.431260714608119,0.4190788477269365,0.55273303600038,0.43412777313457057,0.40644139965461806,0.43641006042121444,0.436197735973313,0.5204466898925295,0.48629245899097373,0.5696950731357311,0.45058495732336096,0.4462438025728887,0.5842005401901184,0.43643101275441404,0.47484714918590254,0.4485365209306081,0.5508763470021688,0.4131077568282058,0.5170486428754149,0.4281781971879333,0.4405552971120401,0.4006336810899831,0.558831331887551,0.4375401427255512,0.471004286070777,0.49501638864076575,0.6011821319689886,0.35547689580916186,0.5087673683352053,0.4419733676074038,0.4805544889961539,0.5582152336447426,0.5603053698562768,0.5198703374070067
NDCGk,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612
global AUC,0.8995365524796084,0.8964333942155728,0.8940072777988607,0.8973706758903541,0.9012506694602336,0.900229131033049,0.9072636735102737,0.8988804254289804,0.9027371139396846,0.9026322411733956,0.8997636274151627,0.8877615219398773,0.8917723823805104,0.8937554038900813,0.9007794889689584,0.8918647062687818,0.8980919375935491,0.8934622979535305,0.9015422814827349,0.9084363960392879,0.8929944040731644,0.8987023508742563,0.8922558129669931,0.890307749046185,0.8918207851957207,0.8968304765699828,0.8981101633449553,0.9031332999456648,0.9039358305731634,0.8978657590064246,0.906830438435861,0.9038551592144795,0.907247838021347,0.8887746944483835,0.9066302539532013,0.9121105282531188,0.909852925341213,0.904926594370924,0.8913537876637847,0.9093659093610109,0.88938869312281,0.8944644154980688,0.8984471903545675,0.8910553036366546,0.9117579645373898,0.8978875701515502,0.8909429613001172,0.8977062089859167,0.8931258685095381,0.9098003395666636,0.9079616301542934,0.9123728595602459,0.8931186977220995,0.8959230731761954,0.9011696993187398,0.8928217076090192,0.8916023749616546,0.9131042798789788,0.8846828638662566,0.8920968605121051,0.8941235043119273,0.9106823464216061,0.8871558891841291,0.8958388164237924,0.8915494904042952,0.904981570407953,0.893682799667266,0.892555193342553,0.9083996457536653,0.8947276431536259,0.8922827034198877,0.8941970048831727,0.8943813538769055,0.9056499475537886,0.8993318862547995,0.911959941716909,0.8975687688933442,0.897481225530032,0.9132249881341946,0.8952663485599475,0.9001015507732048,0.8964937483431805,0.9092111398654621,0.8928572627634022,0.8792591853207063,0.894980413410835,0.8989640846157636,0.8906190807341424,0.9087537033834441,0.8969063674037077,0.8976694587002939,0.9006055973735734,0.9177097181113923,0.8844778988586378,0.9064154291128546,0.8958459872112309,0.899792609347727,0.9100489268645335,0.9105150280480397,0.901347475090654
global NDCG,0.45690167371450063,0.4584039858371745,0.4558453817951441,0.45701573416470875,0.45807668486371966,0.458512128686222,0.46328504589070957,0.4590990060094755,0.46548271447200384,0.4597053103094155,0.4577416977903885,0.4554096593723656,0.4498759203702643,0.4587794874646922,0.4629037912215254,0.45706767816487687,0.4570781378193772,0.45765690528534114,0.46263582612313764,0.4636566077541164,0.45874911911404204,0.458295087022022,0.4573757534764491,0.45493020460432315,0.45735918077722454,0.45747403036887413,0.4577830413719529,0.46234151033986587,0.45928043680077685,0.4581471814834645,0.4659448784628833,0.46375885345180534,0.4681581154263645,0.4526114732504312,0.4663606769014172,0.47211185412866946,0.4669265781537465,0.4656597298365346,0.4602099711621852,0.4654748638623236,0.4584329285580922,0.45629598124637666,0.46359835347715334,0.4684028022140764,0.4663599681908825,0.45694557878448305,0.4561566845414326,0.45993810554179226,0.4578487704385156,0.46936707771807396,0.4647282836497192,0.47388347692486,0.45317032276730373,0.46081074607797634,0.45920751797109965,0.4578546255150099,0.4615356657449265,0.47754207798372716,0.4549663552723193,0.45583181215896434,0.45815163203928594,0.46805716944019476,0.44894931560168827,0.4666298888389554,0.4574668521326346,0.462458536514212,0.46430209173995496,0.46177536886223264,0.4707510573974926,0.4543558258712464,0.45759818732278595,0.45714451989261884,0.4570351800292913,0.4636285998820442,0.4566324185102309,0.46669352642156964,0.4586487940827106,0.4594971409308295,0.4718343933069572,0.45857636098595045,0.4569252539780473,0.4562898588414971,0.470485540777351,0.45970461458574335,0.454825406732512,0.45985646319864615,0.4608440543932108,0.4568433188403215,0.4640219924406819,0.45893170691204643,0.46405933427612667,0.45834617406579226,0.477193297625251,0.4572143387118842,0.46684906362399986,0.45510913532822217,0.4601840740166814,0.4672684553463864,0.4686684957468424,0.4605441920328851
