,1_HAN,2_HAN,3_HAN,4_HAN,5_HAN,6_HAN,7_HAN,8_HAN,9_HAN,10_HAN,11_HAN,12_HAN,13_HAN,14_HAN,15_HAN,16_HAN,17_HAN,18_HAN,19_HAN,20_HAN,21_HAN,22_HAN,23_HAN,24_HAN,25_HAN,26_HAN,27_HAN,28_HAN,29_HAN,30_HAN,31_HAN,32_HAN,33_HAN,34_HAN,35_HAN,36_HAN,37_HAN,38_HAN,39_HAN,40_HAN,41_HAN,42_HAN,43_HAN,44_HAN,45_HAN,46_HAN,47_HAN,48_HAN,49_HAN,50_HAN,51_HAN,52_HAN,53_HAN,54_HAN,55_HAN,56_HAN,57_HAN,58_HAN,59_HAN,60_HAN,61_HAN,62_HAN,63_HAN,64_HAN,65_HAN,66_HAN,67_HAN,68_HAN,69_HAN,70_HAN,71_HAN,72_HAN,73_HAN,74_HAN,75_HAN,76_HAN,77_HAN,78_HAN,79_HAN,80_HAN,81_HAN,82_HAN,83_HAN,84_HAN,85_HAN,86_HAN,87_HAN,88_HAN,89_HAN,90_HAN,91_HAN,92_HAN,93_HAN,94_HAN,95_HAN,96_HAN,97_HAN,98_HAN,99_HAN,100_HAN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591
HR@10,0.0,0.00816326530612245,0.0,0.0,0.006122448979591836,0.0,0.0,0.0,0.0,0.004081632653061225,0.0,0.0,0.0,0.004081632653061225,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0020408163265306124,0.0,0.004081632653061225,0.0020408163265306124,0.0,0.0,0.0,0.0,0.004081632653061225,0.0,0.0,0.006122448979591836,0.0,0.0,0.0,0.006122448979591836,0.004081632653061225,0.004081632653061225,0.0,0.0020408163265306124,0.006122448979591836,0.0,0.004081632653061225,0.006122448979591836,0.0,0.0020408163265306124,0.0020408163265306124,0.0,0.0020408163265306124,0.0,0.0,0.0020408163265306124,0.004081632653061225,0.0,0.0020408163265306124,0.0,0.0,0.0020408163265306124,0.004081632653061225,0.0,0.0,0.0,0.0,0.0,0.006122448979591836,0.0020408163265306124,0.0020408163265306124,0.0020408163265306124,0.0,0.0,0.006122448979591836,0.004081632653061225,0.0,0.004081632653061225,0.0020408163265306124,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006122448979591836,0.004081632653061225,0.0,0.0,0.0020408163265306124,0.0,0.0
HR@2,0.0,0.0020408163265306124,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0020408163265306124,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0020408163265306124,0.0,0.0020408163265306124,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0020408163265306124,0.0,0.0020408163265306124,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081632653061225,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.004081632653061225,0.0,0.0,0.004081632653061225,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0020408163265306124,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.004081632653061225,0.0,0.0,0.004081632653061225,0.0,0.0,0.0,0.0020408163265306124,0.004081632653061225,0.0020408163265306124,0.0,0.0020408163265306124,0.004081632653061225,0.0,0.0020408163265306124,0.004081632653061225,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0020408163265306124,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0020408163265306124,0.0,0.0020408163265306124,0.0,0.0,0.0020408163265306124,0.0020408163265306124,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006122448979591836,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0
Lin's AUC,0.6347534400827588,0.6310515627521313,0.640122101855641,0.6351225633258859,0.6297134298937761,0.6521325216187537,0.649941943193766,0.6633489381349519,0.6310139672705641,0.6499650754332142,0.6250422114190798,0.6394956738939251,0.6370898361113414,0.6568825595754566,0.63873039230913,0.6324169093299545,0.6172812872525928,0.631080043792309,0.6346797572194675,0.6390745411558258,0.6416782854540025,0.6278176906976426,0.6374790524602942,0.6580496645402165,0.6078356860799461,0.6297379959394193,0.6431021734800224,0.6429231906246331,0.6343870268584935,0.6312634223181565,0.6542446163800555,0.6155634400298959,0.620871225452358,0.6381727109026869,0.6397610673031332,0.6275887196385096,0.633146169410157,0.622088966414603,0.6079330951370953,0.6247440479261903,0.6420617274571674,0.6387848367092154,0.624464641525525,0.6289161028229548,0.6368683591762911,0.6396515085561966,0.639832699213794,0.6302963348670962,0.6393766095256352,0.628985417057468,0.640417322396024,0.6225788204435307,0.6315612221081365,0.6184276816463582,0.6281080316488126,0.651546181154364,0.6601497317716811,0.6548242154643877,0.6431021799640921,0.6357205811604192,0.6458068387087149,0.636843683348963,0.6358327740089619,0.6552404967908757,0.6139365696544106,0.635780957408815,0.6572669225042542,0.6327262245928971,0.653126975885375,0.6297591022061256,0.6462880428157616,0.6356561885591091,0.635297637614139,0.6432081422473823,0.6239384625210013,0.6381278705769182,0.6449790806964157,0.63618042508278,0.6193197836621088,0.6431108689940398,0.6459625929853436,0.6430690615153383,0.649831497665492,0.640937386673912,0.6141168632203473,0.6212172929450195,0.6448724572671908,0.6365602860857196,0.5939701160333228,0.6236753159511282,0.6383153100252661,0.6380971777628496,0.6483649326069042,0.6339622581494865,0.6481062388250978,0.6533862433173281,0.6403018609256224,0.6428302151437175,0.6514960204572444,0.619803915772317
NDCGk,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612
global AUC,0.9248222881125681,0.9239469055870303,0.9257119611053974,0.9255857410936087,0.9251868483512516,0.9258512430367389,0.9262081646570051,0.9285830319591067,0.9231460143336336,0.9262648783519548,0.9217880484281332,0.9248776533535206,0.9246918045487089,0.9271530672591163,0.9251889437622741,0.9254525095141685,0.9211325877417984,0.9247160079219904,0.9230654392930925,0.9252440573966495,0.9247489546238153,0.92390063749637,0.9267651095744676,0.9295818510986775,0.9226537342720827,0.9234786618162686,0.9269668607012033,0.9265344551422232,0.924804862391449,0.9241431095750181,0.927798502995907,0.9245996732967229,0.9251781738213816,0.9271501089161626,0.9272207808790953,0.9245690323332929,0.9229470623300648,0.9218949360127129,0.922283381185104,0.9243894166882859,0.9255356635221217,0.925421457724375,0.9227099211657626,0.9251724104582318,0.9267142418010753,0.9260441800705812,0.925936582876828,0.9226216642619237,0.9272692918065065,0.9252359450502244,0.9250857300268508,0.9247491669168646,0.9233514294811436,0.9240365895719218,0.9243085782471097,0.9258784519292071,0.9287595536294899,0.9284121144320865,0.9265271428260853,0.9257165175432489,0.9277479674218232,0.9245135884652853,0.9262785535625389,0.9290812228095358,0.9226306316775748,0.9246352146913709,0.92666780269657,0.9243807873689723,0.9272014936624432,0.9245132110554201,0.9271702728244808,0.9244912760726824,0.9252936632058051,0.9254883949021835,0.9248200295504062,0.9251539331002487,0.9259251622970534,0.925410127565714,0.9241715273584609,0.9249216687790479,0.9279285934244902,0.9254940167366337,0.9269629372111464,0.9258892218700997,0.9226129248647329,0.9249311354764997,0.9266586524730156,0.9251637772075657,0.9198259456466107,0.9230662806025836,0.9259524851987517,0.9254670299655964,0.9273300606918308,0.9241900794121465,0.927416375507405,0.9276404115072739,0.9260439402580627,0.9280575024815683,0.9292365348317658,0.9219725389505655
global NDCG,0.5067877440913651,0.5325669844497757,0.4920730905667613,0.501313892052826,0.5202710308646331,0.5257833451757681,0.5133609432857739,0.5340574955528199,0.5126310100457487,0.5300068246614645,0.504670137741738,0.5095206222349322,0.5057199150927154,0.5338684625216196,0.524773308801632,0.5264374824096106,0.5156506962090455,0.5071460028082677,0.5145416250094357,0.49821917981387237,0.5105769173998681,0.5066066021777799,0.5301578505037688,0.5264369069104493,0.5109673072291369,0.5219527353876989,0.5095807543539578,0.5348426204769039,0.5278858180496343,0.5224829987985005,0.5120684843998561,0.5013385578657088,0.5288417643854207,0.5333761026363171,0.5237248159346047,0.5102813672656568,0.5290156103852597,0.49084038540789937,0.4933767214021453,0.5216570829261336,0.5298288045459895,0.5302665291915372,0.5215427058488188,0.5244782858530078,0.5151709180346917,0.5251728348139403,0.5254118729008773,0.5219595438384904,0.5252090501972351,0.49055707735877796,0.5248310465319287,0.5217660731547425,0.5142482820742271,0.5191968951226748,0.5052639645689556,0.5093011131032255,0.5326041435464584,0.5244968089659594,0.5104819390408939,0.5233045841754596,0.5263567425431501,0.5277103421685607,0.5296786724215732,0.5295431735442095,0.49572068575198347,0.5037775918260119,0.5120352556737036,0.49819403216986174,0.5199820066485902,0.5235715546962963,0.542665078220981,0.5213412413169513,0.5298006766281327,0.5287494679753136,0.5201261466024734,0.5274002431224186,0.5242383357884836,0.5164926840339237,0.5167097347445798,0.5320911304660202,0.5311480775855996,0.5123714805468044,0.500197362281746,0.5169938380402118,0.5212052211218733,0.5208727339037005,0.5041440288170668,0.50482790789938,0.49695243872523615,0.5145863355584734,0.5054174091125265,0.4959403399655164,0.509633862569192,0.5306979097625635,0.5244118157901465,0.5080855204773564,0.5243774094712258,0.5237147888253967,0.5323125360299845,0.504388859139404
