,1_LogisticMF,2_LogisticMF,3_LogisticMF,4_LogisticMF,5_LogisticMF,6_LogisticMF,7_LogisticMF,8_LogisticMF,9_LogisticMF,10_LogisticMF,11_LogisticMF,12_LogisticMF,13_LogisticMF,14_LogisticMF,15_LogisticMF,16_LogisticMF,17_LogisticMF,18_LogisticMF,19_LogisticMF,20_LogisticMF,21_LogisticMF,22_LogisticMF,23_LogisticMF,24_LogisticMF,25_LogisticMF,26_LogisticMF,27_LogisticMF,28_LogisticMF,29_LogisticMF,30_LogisticMF,31_LogisticMF,32_LogisticMF,33_LogisticMF,34_LogisticMF,35_LogisticMF,36_LogisticMF,37_LogisticMF,38_LogisticMF,39_LogisticMF,40_LogisticMF,41_LogisticMF,42_LogisticMF,43_LogisticMF,44_LogisticMF,45_LogisticMF,46_LogisticMF,47_LogisticMF,48_LogisticMF,49_LogisticMF,50_LogisticMF,51_LogisticMF,52_LogisticMF,53_LogisticMF,54_LogisticMF,55_LogisticMF,56_LogisticMF,57_LogisticMF,58_LogisticMF,59_LogisticMF,60_LogisticMF,61_LogisticMF,62_LogisticMF,63_LogisticMF,64_LogisticMF,65_LogisticMF,66_LogisticMF,67_LogisticMF,68_LogisticMF,69_LogisticMF,70_LogisticMF,71_LogisticMF,72_LogisticMF,73_LogisticMF,74_LogisticMF,75_LogisticMF,76_LogisticMF,77_LogisticMF,78_LogisticMF,79_LogisticMF,80_LogisticMF,81_LogisticMF,82_LogisticMF,83_LogisticMF,84_LogisticMF,85_LogisticMF,86_LogisticMF,87_LogisticMF,88_LogisticMF,89_LogisticMF,90_LogisticMF,91_LogisticMF,92_LogisticMF,93_LogisticMF,94_LogisticMF,95_LogisticMF,96_LogisticMF,97_LogisticMF,98_LogisticMF,99_LogisticMF,100_LogisticMF
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591
HR@10,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.6154271748355907,0.6203451134026683,0.6038438721581287,0.613699818615702,0.6012863476750663,0.6084401994915829,0.6076814061505714,0.5977048887252234,0.6122548192793701,0.6112806000498606,0.6171835101125543,0.61292297679842,0.6075250897680976,0.6348294400885292,0.5922217745940342,0.6213463066387664,0.6275821712870912,0.6003062049049936,0.6359403910087866,0.6140945598750153,0.6157874761488731,0.625056559255453,0.6227925926548337,0.6165035713505448,0.6142315012659402,0.6322934059152009,0.6298800582502014,0.613808516651037,0.5879410446533813,0.6146704907226371,0.6172399232918825,0.6256021796351511,0.6057969215716765,0.6263786019826211,0.6225690651017805,0.6172394546916411,0.6233046412542712,0.6088051997215068,0.6334839796764298,0.6237588324734722,0.6032607432946323,0.612907602009563,0.6261205436478046,0.6090452008023326,0.6020041148569076,0.6016124845318098,0.6210980750027277,0.6194252347461336,0.6136736586613106,0.6181767945662157,0.636016038449941,0.5870614919925905,0.6133361914078463,0.6217575502649266,0.6012032866790037,0.6134461414268685,0.589608392343176,0.6065407695860708,0.6169818161919473,0.6255648706743164,0.6193022244875452,0.6016679977262805,0.6193224984300776,0.6055280382425012,0.6078708873570434,0.6172127711297432,0.6292280311634448,0.6059060167908429,0.6160836046961018,0.609481300754409,0.6209101114049548,0.610386329195353,0.62256218636949,0.5914359399167503,0.6143242200432281,0.6063904663358558,0.616139851347768,0.6285695149737693,0.6006278349910794,0.60084312964836,0.6020167663471399,0.6079433440265959,0.6307834881098332,0.6207675476074567,0.5880886147560275,0.616701861166022,0.6166952839394972,0.6017749211660225,0.6116095790006593,0.6134823899156453,0.6098041675291596,0.6128290112339488,0.6286184518240172,0.6138121143953912,0.6004779232872909,0.6149224398818336,0.6092046402491027,0.6033277369677165,0.6157251773345407,0.6107836289267462
NDCGk,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612
global AUC,0.9182312985450812,0.9192774747600272,0.9191047861585876,0.9211150244233324,0.9178605444601206,0.9166077206185733,0.9158797520275658,0.9153821685711384,0.9179977683282909,0.9161067719241812,0.9193968660120677,0.9165047427643158,0.9182182425225572,0.9200077825059284,0.9154032995922361,0.9202197374587586,0.920193743354294,0.9153176275528386,0.9220839731446149,0.9196967692575448,0.9185447020559443,0.920106074187693,0.9182507783980186,0.9192777067098403,0.919400400298201,0.9226920787212505,0.9216753955147277,0.9173257271616809,0.9162763665509972,0.9180263020866403,0.9177328934359265,0.9197610586692678,0.9186273823358897,0.9194238783368979,0.9196756775499747,0.9169624662350854,0.9209551598946035,0.9195379544000035,0.9210897733445398,0.9222486928940052,0.9181296219685878,0.9176575136780609,0.9202721305970228,0.9166575347894252,0.9184083155659121,0.9170838978592094,0.9202673579347691,0.9170784883178084,0.9191728771884317,0.9191246473527431,0.9213227806914125,0.9155245621681913,0.9179156738199071,0.9186511198438686,0.9179143921989067,0.9189405735537036,0.9161893814397769,0.9174690171071637,0.9173444875770629,0.9203586911221445,0.9213038826786838,0.9177547832081073,0.9183451190702571,0.9171310937491216,0.9177790946935898,0.920026865292237,0.9214734576487358,0.919162069899688,0.917187846757599,0.9171256016493127,0.9189760736691477,0.9195218397850304,0.9195300563123038,0.9147772277334766,0.918399021847982,0.9184214620095495,0.9196135464509183,0.9204995318348564,0.918618009990904,0.9164553610422678,0.9166180718703966,0.9182911769790048,0.9208356546333333,0.9186749910178419,0.9157406843549498,0.9190968605514187,0.918544819996527,0.9146434202108565,0.9179648353862007,0.9184791781994538,0.9162278222070875,0.9194089274023426,0.9206739384374532,0.9188538950879989,0.9166729535549593,0.9192795465829331,0.9172210273749135,0.9172223207899723,0.9193596321700552,0.9192230255242685
global NDCG,0.4992816100734771,0.5068235601239487,0.5042408087200592,0.5049323830636891,0.5069711054379656,0.5078601572149106,0.5008571880231986,0.4958514688942241,0.5096681465307705,0.49480394191160804,0.5046532678766363,0.5012954703546292,0.5127394640802798,0.5097091719777207,0.5025022774648503,0.5020843167757729,0.5028899760131446,0.5005104726179249,0.5068556441725578,0.49662000132497286,0.507458763439316,0.5049165248110696,0.5000406867438711,0.5030774308637839,0.5063574380640066,0.5100651392858518,0.500633839333172,0.49815293498036434,0.5054248491498183,0.5038534302674772,0.4987471256928367,0.5068892287791567,0.49802913215004607,0.4978782962102655,0.49749509049275,0.5022374642498674,0.4974284760939505,0.5018171970104432,0.5025615175445381,0.5047539348740203,0.5037695193078079,0.5034816525183076,0.5023014496793997,0.4949011646633695,0.5076024576400672,0.4983586887342988,0.4995566385847633,0.49804758079154876,0.4995584357464141,0.5024275948879906,0.5048680320807768,0.4995103774055883,0.5110584343192272,0.5039144611688522,0.4967744458279978,0.5083785517785223,0.503792541943446,0.4936600547768543,0.5012283117521239,0.5103585385540202,0.5069838271560869,0.49795088998504955,0.50785414298499,0.49912787994200203,0.5032187625399127,0.5030021454728579,0.5030133338775039,0.49943467313208395,0.5012176633523652,0.5063885443324925,0.4948940794421899,0.5082149440048821,0.5019410570913452,0.4992434970689901,0.5074311767644549,0.5053813796934392,0.5021625187762784,0.5071673560212628,0.506132869824572,0.5012978585309485,0.5008398219188562,0.5061989891286172,0.49854721720429723,0.5039351630909288,0.5003620568931765,0.49921597996592476,0.5012194249247681,0.5006967968873075,0.5035630383250432,0.5031935072337105,0.49811692966287796,0.5066718011255794,0.5045562085559017,0.5054629952506063,0.503653257762238,0.49860806527692825,0.5029682540527859,0.5023281605583917,0.49751883657595525,0.4966246350471777
