,1_MBiRW,2_MBiRW,3_MBiRW,4_MBiRW,5_MBiRW,6_MBiRW,7_MBiRW,8_MBiRW,9_MBiRW,10_MBiRW,11_MBiRW,12_MBiRW,13_MBiRW,14_MBiRW,15_MBiRW,16_MBiRW,17_MBiRW,18_MBiRW,19_MBiRW,20_MBiRW,21_MBiRW,22_MBiRW,23_MBiRW,24_MBiRW,25_MBiRW,26_MBiRW,27_MBiRW,28_MBiRW,29_MBiRW,30_MBiRW,31_MBiRW,32_MBiRW,33_MBiRW,34_MBiRW,35_MBiRW,36_MBiRW,37_MBiRW,38_MBiRW,39_MBiRW,40_MBiRW,41_MBiRW,42_MBiRW,43_MBiRW,44_MBiRW,45_MBiRW,46_MBiRW,47_MBiRW,48_MBiRW,49_MBiRW,50_MBiRW,51_MBiRW,52_MBiRW,53_MBiRW,54_MBiRW,55_MBiRW,56_MBiRW,57_MBiRW,58_MBiRW,59_MBiRW,60_MBiRW,61_MBiRW,62_MBiRW,63_MBiRW,64_MBiRW,65_MBiRW,66_MBiRW,67_MBiRW,68_MBiRW,69_MBiRW,70_MBiRW,71_MBiRW,72_MBiRW,73_MBiRW,74_MBiRW,75_MBiRW,76_MBiRW,77_MBiRW,78_MBiRW,79_MBiRW,80_MBiRW,81_MBiRW,82_MBiRW,83_MBiRW,84_MBiRW,85_MBiRW,86_MBiRW,87_MBiRW,88_MBiRW,89_MBiRW,90_MBiRW,91_MBiRW,92_MBiRW,93_MBiRW,94_MBiRW,95_MBiRW,96_MBiRW,97_MBiRW,98_MBiRW,99_MBiRW,100_MBiRW
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591
HR@10,0.018367346938775512,0.018367346938775512,0.02040816326530612,0.014285714285714285,0.0163265306122449,0.018367346938775512,0.018367346938775512,0.0163265306122449,0.0163265306122449,0.0163265306122449,0.014285714285714285,0.014285714285714285,0.0163265306122449,0.018367346938775512,0.0163265306122449,0.0163265306122449,0.0163265306122449,0.018367346938775512,0.018367346938775512,0.014285714285714285,0.018367346938775512,0.014285714285714285,0.018367346938775512,0.0163265306122449,0.0163265306122449,0.0163265306122449,0.018367346938775512,0.014285714285714285,0.014285714285714285,0.0163265306122449,0.014285714285714285,0.012244897959183673,0.0163265306122449,0.012244897959183673,0.0163265306122449,0.018367346938775512,0.018367346938775512,0.012244897959183673,0.0163265306122449,0.014285714285714285,0.014285714285714285,0.0163265306122449,0.014285714285714285,0.014285714285714285,0.018367346938775512,0.0163265306122449,0.0163265306122449,0.0163265306122449,0.012244897959183673,0.0163265306122449,0.0163265306122449,0.014285714285714285,0.018367346938775512,0.014285714285714285,0.018367346938775512,0.0163265306122449,0.014285714285714285,0.0163265306122449,0.018367346938775512,0.0163265306122449,0.018367346938775512,0.018367346938775512,0.014285714285714285,0.0163265306122449,0.0163265306122449,0.018367346938775512,0.0163265306122449,0.01020408163265306,0.0163265306122449,0.0163265306122449,0.0163265306122449,0.0163265306122449,0.014285714285714285,0.0163265306122449,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.018367346938775512,0.018367346938775512,0.0163265306122449,0.0163265306122449,0.0163265306122449,0.018367346938775512,0.014285714285714285,0.014285714285714285,0.02040816326530612,0.02040816326530612,0.0163265306122449,0.0163265306122449,0.018367346938775512,0.0163265306122449,0.0163265306122449,0.0163265306122449,0.018367346938775512,0.012244897959183673,0.0163265306122449,0.018367346938775512,0.018367346938775512,0.0163265306122449,0.014285714285714285
HR@2,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225
HR@5,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.00816326530612245,0.00816326530612245,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.00816326530612245,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.00816326530612245,0.00816326530612245,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.006122448979591836,0.01020408163265306,0.01020408163265306,0.00816326530612245,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.00816326530612245,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.00816326530612245,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.00816326530612245,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.004081632653061225,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.00816326530612245,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306
Lin's AUC,0.7491325618845037,0.741176725898213,0.7599673082333591,0.7494897995878548,0.7319661148742803,0.7494528833554789,0.7485921386077949,0.7518005448987016,0.7469440128871297,0.7623988924128332,0.74170520136921,0.7555069440664453,0.7540185397905238,0.7599179285819003,0.7527924673914883,0.7574518420425224,0.7471426872776332,0.7488861992129007,0.7633905204632535,0.7491563594335201,0.7442115210109697,0.7423935625025869,0.7451791482746352,0.7532209558751943,0.7525792943662417,0.7395928552808787,0.749695077461321,0.748842396423689,0.7462109037905652,0.7539907891058291,0.7529208515862419,0.7174117802160027,0.761724217619741,0.75387762377958,0.7257776361506586,0.7393392750801113,0.7462394161988349,0.7570108011017993,0.757120115206847,0.7533921796306021,0.7644161842119617,0.7403901923570203,0.7528664742741235,0.7480380652609412,0.7526619133685772,0.7419168696950573,0.7518188565342955,0.7473818023208323,0.7459215307830803,0.7481897864014094,0.7555442484538354,0.75400856186798,0.7453714122559074,0.7464557482997036,0.7464982889169335,0.7517368864335057,0.7485064805078498,0.7517599507802697,0.7480944254104746,0.7458470947295486,0.7535657509797564,0.7493380486923954,0.7447102466662238,0.751913664490875,0.7520503836470959,0.7489184379991992,0.7626084495265741,0.7565384650434017,0.7550043948280973,0.7536335483668054,0.7580623575999,0.7493306240041825,0.7442700340944729,0.74364677946017,0.7494124171790438,0.7544122135860862,0.754700991511995,0.7554383938051812,0.7549770427358741,0.752047265375705,0.7421048287441261,0.7502178635911187,0.7537031654105343,0.750572662787101,0.7520206379173394,0.7476737510392243,0.7514273490172837,0.7541279580359589,0.7361036685211213,0.7528125651536476,0.7472193013173462,0.7564452886202236,0.7445987182975857,0.7530145409517376,0.7529423466944238,0.7551583965115242,0.7503867118826185,0.7391601680946355,0.7555178226047697,0.7550134074758186
NDCGk,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612
global AUC,0.9359589750758919,0.9339793974313407,0.9375106112125248,0.9365100524493567,0.9328461712378536,0.9339724546623622,0.9353924926966277,0.9367342692914526,0.9341987610184517,0.9372010604273686,0.9343924941512284,0.9368832026938259,0.9353766336195842,0.9368329088979368,0.9350039747942104,0.9365883001290625,0.935533480835068,0.9359024127380233,0.9366207200296173,0.9356263747694901,0.9351940419405362,0.9349068861063912,0.9350961237372839,0.9365782869735766,0.9367011810609281,0.9340498217190493,0.9362242077213577,0.9344005416303327,0.9355601845487066,0.9355938683791745,0.9362546599798551,0.9312966128211556,0.937686236534478,0.9371552070944248,0.9328888559004711,0.9344074902963402,0.9354432071472623,0.9367189507754141,0.9367315900745452,0.9347466068199457,0.9385666354661406,0.9333704348198026,0.9372879610145045,0.9343663467240058,0.9348816782724785,0.9352742317085067,0.9363388341738501,0.9356721435783495,0.9356347603449322,0.9346460919581938,0.9367607725061002,0.936846863234567,0.9335213928688484,0.9340997597275132,0.9346957134927605,0.936378118216328,0.9355449466253996,0.9361292557237647,0.9356038029076048,0.935339838123405,0.935384254546914,0.934909995806426,0.9355836901068727,0.9350695458269339,0.9358099139045538,0.9346079715961336,0.9371917097048235,0.9366185027466594,0.9363192147578894,0.9365623866173292,0.937407193046758,0.9356765525904724,0.934300528016058,0.9338070764113842,0.9360419364475595,0.936882903911016,0.9355471383545645,0.9364658129367217,0.9365078135439585,0.936098689456037,0.9335513340514866,0.935534351629705,0.9361113189267863,0.9355724543006778,0.9358924624841818,0.9361138566149944,0.9359418618973172,0.9365011616950847,0.9342943970714253,0.9360461901712486,0.935331999005997,0.9360596078782265,0.9350454505658533,0.9365555047843187,0.9360211887333563,0.9350390601519382,0.9349405876279464,0.933679089256529,0.9357785082930118,0.9359244283134924
global NDCG,0.6354817784878573,0.6328301121755354,0.6409882616473711,0.6341745852322987,0.6265954470388756,0.635268997823359,0.6372012126397485,0.6341248538060883,0.6276594789690231,0.6346699793756474,0.6294462919088255,0.6331619623705851,0.6320404277647695,0.6339483099064438,0.6351228281488996,0.6308216177621503,0.6303078323890675,0.6322842381778048,0.6361865143483374,0.6273543508019038,0.6307264212492748,0.6283661199337885,0.6320324193878799,0.6308797106135844,0.6342706493361034,0.6299919887242887,0.6313394720199832,0.6263059680137397,0.6303020464937454,0.631618052947717,0.629603643287618,0.6204568063210698,0.630137717465697,0.6328114986143327,0.6278088419981503,0.6325049022206414,0.6333324267181545,0.6213091472214667,0.6293743016303665,0.6288684997419662,0.6313663024829795,0.6330075551320202,0.6289672364088332,0.6288511626185266,0.631703782896012,0.6325080533374611,0.6300512339189548,0.6261138673585699,0.6282660148742066,0.6295416363160288,0.6324820011525644,0.620899423368694,0.629257367787839,0.6252655943647031,0.6356419490241915,0.6341949002197729,0.62848340561932,0.6262198162286364,0.6310537345243312,0.6329146601961757,0.6354548437496114,0.6346632873782407,0.6326978377296807,0.6359233933073108,0.6335731599894183,0.6358718206717152,0.6356247960387654,0.6185540768670028,0.6341025608869583,0.6333570586798778,0.6311815389571561,0.6290520524923702,0.6303899505249109,0.6240342802043716,0.6252636876976725,0.6276952983349797,0.6261803106236339,0.6313941303818275,0.6309205866423642,0.6295714836121338,0.6285794162578918,0.6334276500872695,0.6328737976106088,0.632664262222945,0.6245609443868728,0.6352665470169425,0.6394453029030703,0.6394787197109412,0.6303914003762117,0.6366743929422772,0.6311924855295786,0.6283574511542566,0.6311240613628557,0.6352092386617673,0.6303030575989573,0.6329242721802388,0.6365186612903834,0.635706341502942,0.6322531496838093,0.6307869497332768
