,1_NIMCGCN,2_NIMCGCN,3_NIMCGCN,4_NIMCGCN,5_NIMCGCN,6_NIMCGCN,7_NIMCGCN,8_NIMCGCN,9_NIMCGCN,10_NIMCGCN,11_NIMCGCN,12_NIMCGCN,13_NIMCGCN,14_NIMCGCN,15_NIMCGCN,16_NIMCGCN,17_NIMCGCN,18_NIMCGCN,19_NIMCGCN,20_NIMCGCN,21_NIMCGCN,22_NIMCGCN,23_NIMCGCN,24_NIMCGCN,25_NIMCGCN,26_NIMCGCN,27_NIMCGCN,28_NIMCGCN,29_NIMCGCN,30_NIMCGCN,31_NIMCGCN,32_NIMCGCN,33_NIMCGCN,34_NIMCGCN,35_NIMCGCN,36_NIMCGCN,37_NIMCGCN,38_NIMCGCN,39_NIMCGCN,40_NIMCGCN,41_NIMCGCN,42_NIMCGCN,43_NIMCGCN,44_NIMCGCN,45_NIMCGCN,46_NIMCGCN,47_NIMCGCN,48_NIMCGCN,49_NIMCGCN,50_NIMCGCN,51_NIMCGCN,52_NIMCGCN,53_NIMCGCN,54_NIMCGCN,55_NIMCGCN,56_NIMCGCN,57_NIMCGCN,58_NIMCGCN,59_NIMCGCN,60_NIMCGCN,61_NIMCGCN,62_NIMCGCN,63_NIMCGCN,64_NIMCGCN,65_NIMCGCN,66_NIMCGCN,67_NIMCGCN,68_NIMCGCN,69_NIMCGCN,70_NIMCGCN,71_NIMCGCN,72_NIMCGCN,73_NIMCGCN,74_NIMCGCN,75_NIMCGCN,76_NIMCGCN,77_NIMCGCN,78_NIMCGCN,79_NIMCGCN,80_NIMCGCN,81_NIMCGCN,82_NIMCGCN,83_NIMCGCN,84_NIMCGCN,85_NIMCGCN,86_NIMCGCN,87_NIMCGCN,88_NIMCGCN,89_NIMCGCN,90_NIMCGCN,91_NIMCGCN,92_NIMCGCN,93_NIMCGCN,94_NIMCGCN,95_NIMCGCN,96_NIMCGCN,97_NIMCGCN,98_NIMCGCN,99_NIMCGCN,100_NIMCGCN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.4930276430054187,0.48708488412984907,0.4873829502460242,0.48882020441416,0.48827968103577746,0.48871543285558705,0.488591276258835,0.49450577845689725,0.4901826045046468,0.4920915050159566,0.48691120269092625,0.4890199623587286,0.49540181591141924,0.48932744127722255,0.4876921552352945,0.48850827333612656,0.4922597043378038,0.489534730094713,0.49977670797620877,0.49057666585531257,0.4871068634454925,0.48867852984150156,0.48903958840165135,0.49080571921053323,0.4881224527319099,0.48823206431088945,0.48782733771883374,0.4886626388615432,0.4885697046682694,0.4892275142819519,0.4985445240695475,0.49608993301675947,0.4887473592126382,0.4871830206509493,0.4885626992192936,0.4891127915699971,0.49586496808485814,0.4889320363673657,0.4875545475156485,0.48814777270068066,0.48954691840528086,0.4889710927592561,0.4893199681589492,0.48908257060115956,0.48643283283190053,0.48746043145755785,0.4859677631141854,0.4880676282085909,0.48978642826077995,0.4895610094819638,0.4922661233091878,0.48719280473941273,0.4893655939622355,0.4887211849371325,0.4889413153107669,0.49316977191164324,0.48840811832317277,0.4876843481759644,0.4866619227124661,0.4919626828004665,0.4932961391831953,0.49096370264961964,0.4903604543457503,0.4889684387940154,0.49344630082502833,0.4895529767327244,0.4895425659333618,0.4870729853591422,0.4887389814402431,0.4919695197751932,0.49141070279229493,0.48731698089149217,0.48653188535053143,0.4894973287160161,0.48755196797404593,0.4888371832730367,0.48981624534612034,0.4906279122378327,0.48473878779331214,0.48596433293337055,0.4906955712524536,0.4879216041568758,0.48974733687507216,0.4874643920868727,0.49061784819722914,0.4882898146417311,0.4918885602380571,0.48846807890736343,0.4895011421017664,0.4871428987489632,0.4972170212302517,0.49120351681652713,0.4864344253488159,0.4894232986911198,0.4889200009260446,0.48773330414928817,0.4863850079429162,0.48836924775719465,0.4880526015529308,0.48921821180796204
NDCGk,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612
global AUC,0.8973502603754591,0.8971039925757189,0.8971403025498322,0.8971402199914242,0.8972887681212265,0.8971758832580079,0.8972156449598465,0.8975732250817003,0.8972234054501994,0.8973650481588749,0.8970054433903484,0.8973059402700927,0.8973550114152725,0.8970005508218355,0.8970442183226435,0.8970539877342578,0.8973254260200595,0.8970636136514968,0.8978899505856478,0.8972013623552607,0.8968797285573898,0.8972564150536686,0.8968580510782581,0.8971076212143185,0.897026816189641,0.8971022470550924,0.8971663595559413,0.8971624144434442,0.8970708001643464,0.8973345408614388,0.8977603102969559,0.8976574916624853,0.8970558040192342,0.8971681208019786,0.897285088375041,0.8972860535221442,0.8972589684672879,0.897332278367924,0.8972879936447323,0.8969973369409523,0.8973377016690598,0.8971594207183156,0.8973999703654629,0.8972168027432351,0.8971208089371602,0.8972151378153401,0.8969431766596216,0.8970689013209622,0.8972256286301866,0.8971983273509283,0.8973251390313075,0.8973948497784898,0.89733478460531,0.8972181964077894,0.8972306371736058,0.8974559665885335,0.8971177601730927,0.8971176854773902,0.8972305939287255,0.8972767027995989,0.8973656437588183,0.8974524735816045,0.8973165293687579,0.8971584791593288,0.8974372631777667,0.8973476027809917,0.8973176340788843,0.8970890888173967,0.8972830067237534,0.8973296306018386,0.8973728165119332,0.8968669654206465,0.8971533389155922,0.897197210846744,0.897076182186278,0.8972276257573899,0.8973354450725742,0.8970210744489316,0.8967448104276144,0.8967755457435106,0.897313889465378,0.8972763509435268,0.8971441533098629,0.8968106959685589,0.8972052602915248,0.8971852438089353,0.8974929389955875,0.8970933386097328,0.8970620588014792,0.8969940876778942,0.8975425900152997,0.8972358796325145,0.89684695286941,0.8973076189577223,0.8971339494837683,0.8970750715791224,0.897000377842314,0.8970727776347859,0.8971332457716237,0.897133933758357
global NDCG,0.4660653693187709,0.46561338572092553,0.46596261263677297,0.4660165733809224,0.4661505831503314,0.46599378830136656,0.4661894220098304,0.46621755112988666,0.4657828673886756,0.46589860677445283,0.4662023981784077,0.46663048225049875,0.46567019731577486,0.46591294886600876,0.46637191704278214,0.4655489969452431,0.4666156429287497,0.4661982490445247,0.4670475053488927,0.4658986779153453,0.46595980093587885,0.466499992031289,0.46490092635526276,0.46571204253960763,0.4654423999923841,0.466197866533929,0.46594054228351306,0.466190163586424,0.46640281930251115,0.46595698646747313,0.46704338772440956,0.4653091151333389,0.465674583943265,0.4659072873712826,0.4665475754685366,0.46593244754715385,0.46574100271876623,0.46601734139887696,0.4665328831077257,0.4659726944381308,0.46595733044640103,0.466041888875117,0.4664790592142632,0.4663420205843509,0.46671013790385724,0.4662334877239203,0.4661445290451358,0.46599019952654624,0.4659058958526147,0.4660409723021513,0.4660608753209942,0.46677701695105517,0.4663393749440055,0.4663356906511302,0.46634347622445554,0.465985007366782,0.46582014385340287,0.46635710557112586,0.46609014977043944,0.466072446713322,0.46593044770216013,0.46629977941396145,0.4661125959503749,0.46602908144368316,0.46605171035444853,0.4661374431628781,0.4660768841874375,0.46600154749675393,0.46627015815248296,0.46644156124555186,0.4658692304924076,0.4660988380047859,0.466265059707883,0.4658519584632474,0.46612323939799644,0.46625493164908544,0.46636160151092404,0.46518710563736176,0.46587443024393704,0.4659020724912701,0.4656651161468106,0.4660569805909748,0.46583207211050454,0.4660083315111495,0.4658242044831318,0.46639872305157865,0.46627979189222274,0.46597115057615396,0.4659007921867179,0.46623098364825827,0.4666025995326474,0.46547588797111783,0.46631427618858456,0.46522337507507894,0.4660464733416263,0.4662670985107211,0.465942901177912,0.4660237819842582,0.46624061466139666,0.4654308951197248
