,1_PMF,2_PMF,3_PMF,4_PMF,5_PMF,6_PMF,7_PMF,8_PMF,9_PMF,10_PMF,11_PMF,12_PMF,13_PMF,14_PMF,15_PMF,16_PMF,17_PMF,18_PMF,19_PMF,20_PMF,21_PMF,22_PMF,23_PMF,24_PMF,25_PMF,26_PMF,27_PMF,28_PMF,29_PMF,30_PMF,31_PMF,32_PMF,33_PMF,34_PMF,35_PMF,36_PMF,37_PMF,38_PMF,39_PMF,40_PMF,41_PMF,42_PMF,43_PMF,44_PMF,45_PMF,46_PMF,47_PMF,48_PMF,49_PMF,50_PMF,51_PMF,52_PMF,53_PMF,54_PMF,55_PMF,56_PMF,57_PMF,58_PMF,59_PMF,60_PMF,61_PMF,62_PMF,63_PMF,64_PMF,65_PMF,66_PMF,67_PMF,68_PMF,69_PMF,70_PMF,71_PMF,72_PMF,73_PMF,74_PMF,75_PMF,76_PMF,77_PMF,78_PMF,79_PMF,80_PMF,81_PMF,82_PMF,83_PMF,84_PMF,85_PMF,86_PMF,87_PMF,88_PMF,89_PMF,90_PMF,91_PMF,92_PMF,93_PMF,94_PMF,95_PMF,96_PMF,97_PMF,98_PMF,99_PMF,100_PMF
ACC,0.5285714285714286,0.5061224489795918,0.5020408163265306,0.5102040816326531,0.49795918367346936,0.5265306122448979,0.5142857142857142,0.5081632653061224,0.5061224489795918,0.5204081632653061,0.5244897959183673,0.5346938775510204,0.5142857142857142,0.5428571428571428,0.5224489795918368,0.4959183673469388,0.5122448979591837,0.5061224489795918,0.5265306122448979,0.5204081632653061,0.5204081632653061,0.5265306122448979,0.5571428571428572,0.5122448979591837,0.5265306122448979,0.5061224489795918,0.5183673469387755,0.5102040816326531,0.5163265306122449,0.5183673469387755,0.5244897959183673,0.4959183673469388,0.5306122448979592,0.5,0.5081632653061224,0.5142857142857142,0.5285714285714286,0.5428571428571428,0.5183673469387755,0.5224489795918368,0.5081632653061224,0.49387755102040815,0.5163265306122449,0.5204081632653061,0.5102040816326531,0.5081632653061224,0.5081632653061224,0.5224489795918368,0.5489795918367347,0.5142857142857142,0.4959183673469388,0.5204081632653061,0.5346938775510204,0.5408163265306123,0.5346938775510204,0.5081632653061224,0.47959183673469385,0.5285714285714286,0.5285714285714286,0.5081632653061224,0.5183673469387755,0.5428571428571428,0.5285714285714286,0.5020408163265306,0.536734693877551,0.5510204081632653,0.5163265306122449,0.5265306122448979,0.5,0.5,0.5163265306122449,0.4959183673469388,0.5142857142857142,0.48367346938775513,0.5081632653061224,0.5020408163265306,0.5306122448979592,0.5306122448979592,0.5081632653061224,0.5142857142857142,0.5142857142857142,0.49183673469387756,0.536734693877551,0.5224489795918368,0.49387755102040815,0.5142857142857142,0.5326530612244897,0.4959183673469388,0.5183673469387755,0.5244897959183673,0.5020408163265306,0.5122448979591837,0.5265306122448979,0.5387755102040817,0.5204081632653061,0.5204081632653061,0.5163265306122449,0.5102040816326531,0.5,0.5306122448979592
AUC,0.5219825100065502,0.5068551925478769,0.5114177290785972,0.5082272911613716,0.4961629318046984,0.5162035446747602,0.507497909347752,0.5084253367803737,0.5054557839415563,0.5074113609967661,0.5074299870267909,0.5203324234244366,0.5084576262339635,0.5231449449122348,0.5117924488099382,0.49433705015433643,0.50744057798192,0.5056293178770378,0.5167392354958592,0.507771761742982,0.515152051455679,0.5091218247262391,0.5253786965629923,0.5051175071207747,0.5164420333457219,0.5030371531857393,0.5113982643460669,0.5054255855038572,0.5068554845196473,0.5100708908168722,0.5065876278996935,0.49791841536695836,0.5155060631311357,0.5048683542185459,0.5086056900416168,0.5063950704593728,0.5098288004764497,0.5343190503226076,0.5118663814815735,0.5133268998068224,0.5017834270845842,0.49486205545229894,0.5051456714184399,0.5193263734004452,0.5063894972225831,0.513093848909488,0.5056093209072009,0.5154188029603316,0.5365126565216528,0.5009381548453389,0.4978819344637356,0.5031827999341447,0.5176253973453031,0.5226744299131596,0.5223777008946515,0.5073218585712632,0.4972215328793997,0.5122668971681706,0.5198597890910054,0.5104829066569707,0.49910327206828703,0.5218076598596039,0.5179995832842941,0.5032882382064646,0.5222271819203256,0.5258099364625596,0.5177544131964511,0.5166398059197201,0.5019877129531153,0.5005832718534909,0.5131338516374332,0.5054798368960386,0.5080455160854566,0.49282720616008796,0.49611516577973946,0.4956437205002159,0.5123314681732459,0.5072472497549202,0.5056064763197429,0.5155995059175185,0.5107630367550255,0.4945000695698311,0.5168071341615451,0.5111834229322425,0.49764505738319265,0.5135620992101031,0.5119856215214201,0.49959143591618477,0.5082827175635833,0.5200630764121142,0.5029462025125034,0.5151944289751954,0.5103949952102957,0.5205613730304183,0.5087786987492311,0.5087153427258552,0.5111891546109851,0.5051294753517332,0.4984297067996342,0.519077632474457
Fscore,0.0005935870017856513,0.0005753805390100179,0.0005422013495295419,0.0005869433656652979,0.0005813013465095712,0.000597173627518985,0.0005835300527861231,0.0005734138649979154,0.0005825788456930609,0.0006143105764119031,0.00058973884446351,0.0006197429298965301,0.0005867000557766303,0.0006317622588614558,0.0005820329324514867,0.0005643629108413763,0.0005804512993669384,0.0005880634685722742,0.0006187498750341913,0.00061154249980139,0.0005895121766345926,0.0005923055879164182,0.0006487775330571281,0.0005766793987146305,0.0006045592083222526,0.0005793163518541329,0.0005804324027014956,0.0005819155102487404,0.0006056346754553585,0.0006009365090300332,0.0005994796582149954,0.0005522875366925374,0.000607242464838616,0.0005752773426487401,0.0005829379288443816,0.000603280911280719,0.000649025353084071,0.0005815692566217065,0.0005887417218947191,0.0006244039073047561,0.0005930001661312662,0.0005748720136502535,0.0006090061294318322,0.0005829766077366837,0.0005806119719832036,0.0005671223741093203,0.0005806717416365586,0.0005803032070656577,0.0006124931200666016,0.0006162301293793406,0.0005674883416335972,0.0006093019952661493,0.000599895282615577,0.0006047020547033492,0.0005974279387946902,0.000599620879227181,0.0005492202112034608,0.0006146422642644126,0.0005990948606334527,0.000556270782160323,0.0006262442330413624,0.0006326568193156136,0.0006081720697327965,0.0005709960145950634,0.0006147361975333157,0.0006275290841541999,0.0005555906584365216,0.0005946092823137723,0.0005704841594894974,0.000573815392786803,0.0005853598939072138,0.0005694494370548147,0.0005972362962086956,0.0005508841100283656,0.0006014093630603977,0.0006025242800009604,0.0006115513679128141,0.0006176824177909463,0.0005637823939619917,0.0005683824409493898,0.000595401126444784,0.0005665116654669629,0.0006216712944971368,0.0005865301470647209,0.0005733435306932579,0.0005901592416668164,0.0006212564553584848,0.0005558942854881297,0.0005847870215741068,0.0006021377880002874,0.0005769898302949223,0.0005764559465225759,0.0006127131576636461,0.0006155793923254586,0.0005967659607387215,0.0006104729875344969,0.0005908887219747343,0.0005756443102205753,0.0005857137539705315,0.0006100282949579634
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5226077820427161,0.5034263627649869,0.5087333334404339,0.5117592040268505,0.5125300579121512,0.508936004808778,0.4951105766920963,0.5058172929995731,0.5112358604276567,0.5042761024915366,0.5216333716015157,0.5080132636482416,0.5161832075287398,0.5279518903409274,0.5065587495255752,0.50718260397513,0.5039838829325833,0.5125516888320358,0.510044735023666,0.5232600808862551,0.5205446808400115,0.5160870443233125,0.5234694513343016,0.5102327560727132,0.5102682160666451,0.5146470818460324,0.5153934348687687,0.5075677350058104,0.526408302084375,0.514329542203731,0.5131238277469986,0.49582940845574963,0.5180351868083785,0.5011755076754455,0.5020770825161167,0.5106720504216204,0.5144959400888321,0.5134834006382135,0.5101398936623737,0.517308789942445,0.5143074747627829,0.5116463057927487,0.5202884430582706,0.5198904558419307,0.5087875591357498,0.507542847790885,0.5098128735182418,0.5106081715409696,0.5318718499345136,0.5137872757391244,0.5066167941930939,0.5250416948041079,0.5174760987918535,0.5193827019910472,0.5122417730890898,0.5089684680465465,0.49984178832980264,0.5180324534275609,0.5187811246953113,0.5100684372631837,0.5218298978548185,0.5122268176896918,0.5118336759153074,0.5074044296011774,0.5203779685908456,0.5161737683296612,0.5179864289706461,0.5126638070715728,0.5088634870825007,0.5093468998655848,0.5170410711972642,0.5024057298551596,0.5085763250595327,0.4958859450981276,0.510999464285459,0.5104542024737767,0.5212781159121832,0.5161041025693516,0.5067268296235675,0.5082606763239772,0.5091023299905525,0.5007205704529079,0.5230753475933984,0.5176371356950619,0.5070777823300288,0.5087135010261693,0.5122090432572675,0.5050963043949492,0.5106383387511896,0.5106819950405012,0.5135780293409047,0.5104922284227711,0.5257448245648199,0.5165169026222773,0.5146883325810364,0.5137742862566274,0.5238322239251596,0.5078794500519261,0.511065540934504,0.5094625261673925
NDCGk,0.21736349877148198,0.23242943049116113,0.22717305711145017,0.22448900894266333,0.22090373245636946,0.21797756963229306,0.22753395066190868,0.22452512469575087,0.2246810588337233,0.22731936928261282,0.22670003813088893,0.22935939853519394,0.22375071221811088,0.22570804034478353,0.22422782583888526,0.2204416073258486,0.22538032296830696,0.2197652918679444,0.22218539826183237,0.2244135778696519,0.2305344718478033,0.22675600205668822,0.23105882588072577,0.21557088269014407,0.2295875347524325,0.2200479911257945,0.22665131318079293,0.23093257426780014,0.22819394380645838,0.23130932758988967,0.2295483323718591,0.2194607196722351,0.2338256036077641,0.2221277866298635,0.22136966249158882,0.2197044701306356,0.2321603318829363,0.23225152781298547,0.23387433820233905,0.229204342941705,0.22478868734235258,0.22623411496633258,0.22029367349720344,0.22461804644084624,0.22973071283314994,0.22636174060437206,0.22594015865948078,0.2275740412335932,0.22844191711291847,0.22430451633807522,0.21732695655012996,0.22489754108867974,0.23205114478645894,0.23253228047075847,0.2296382164433961,0.2252942094643613,0.2206910674259311,0.2312658259911842,0.23092576360933592,0.22966466592292178,0.21919184396002406,0.22642788803424105,0.2202839226054622,0.2227941262058656,0.22611593587228804,0.2264742293201908,0.22469807765675448,0.22194204624007174,0.21745445997747628,0.22231950637368064,0.23007649625339918,0.22242331957025777,0.22438582726807849,0.22324396909048885,0.22506559257031938,0.22635771588065004,0.22162752452090773,0.22260412315381636,0.2200286056481242,0.23195107728953548,0.22464102774512879,0.2235610866480158,0.2356346444382281,0.22454387203348616,0.22442464390794117,0.22228345690701448,0.22036075254212836,0.21734104102174073,0.23367141852047996,0.23360586442288175,0.22905003979938834,0.22890996122493235,0.23119291619287807,0.23489599768702032,0.22342171256192148,0.2234132157028387,0.22606640070965267,0.22722986703967193,0.21947358834636238,0.22668248441219024
global AUC,0.527830325330842,0.5062007851147348,0.5042547654973631,0.5113026431231579,0.5011764494514328,0.5241629000048238,0.5135094686827849,0.508408565993083,0.5063594348554601,0.5180362562718346,0.5249097272950323,0.5304825849525036,0.5140427999298803,0.539979526301084,0.5191461007447673,0.49933422540969313,0.5111699206539003,0.5070714578796633,0.5245497726361099,0.5213544556006189,0.5202580760108974,0.5244186069825464,0.5504563258748626,0.5125176591451895,0.5239661161423035,0.5075288314600371,0.5174305881339115,0.5101264020334215,0.5159463766628295,0.5183150088394501,0.5228072437690713,0.4984798048570841,0.5284289445532622,0.5021288393148801,0.5092561656486494,0.5148216009121053,0.5262984226193999,0.5383684775958298,0.5175307943844715,0.5225412248530529,0.5100807197143229,0.4978694151644935,0.5169305239938912,0.5202373695758978,0.5109496469586249,0.5080150218561592,0.5090751189912368,0.5198617327508065,0.5439404113854021,0.5135189039294147,0.4983036566652135,0.5207051848292085,0.5330294843201336,0.5363639044104156,0.5322842492277938,0.5090045905226801,0.4842258912838646,0.5281586404627329,0.5272039546892724,0.5082610065985005,0.5186662712774148,0.5387786238354695,0.5268764061711703,0.5032172186017302,0.5345487673892088,0.5446468440259773,0.5159642407297818,0.5249317939780875,0.5014559725641898,0.5030525656853368,0.5163577652099418,0.4990959500501188,0.5148598175923083,0.48800499454780344,0.5083253589118676,0.5037018285940417,0.5290412920595284,0.5289125638446774,0.5093169129115335,0.5135731644602407,0.5146552732394349,0.49553987242838915,0.5336722604967807,0.5217295145168543,0.4981003192376384,0.5147518115378678,0.5290954818260049,0.4978229505061951,0.5178632099172933,0.522799420377074,0.5033173580192932,0.5120644449360382,0.5259735474211761,0.5348332636632102,0.5202510467521582,0.5202711595528905,0.516226355812507,0.5099846767663382,0.5034892996637081,0.527133650307823
global NDCG,0.4350223888366318,0.42963918955943015,0.42931426194556155,0.4314863638073157,0.43034510241474355,0.43143318821468785,0.4305948322231213,0.4285036020202032,0.4288935649926628,0.4305340980614269,0.4319661485641073,0.4318685215173258,0.4310084379935666,0.4344421357440118,0.4303316306653917,0.4301394336345285,0.4283260042835201,0.42935218717802576,0.43187958786162955,0.43114062075801785,0.4327097380258064,0.43156375024651206,0.4346743788506112,0.43021409982311315,0.4317870023613702,0.43008632167784006,0.430415492990486,0.42950316384413195,0.4304203764465501,0.4314721657634095,0.4313942241350216,0.4286773518336791,0.43257556732028124,0.42880681823240063,0.4292714258064225,0.43059783604374957,0.43171071360462454,0.4327716412736345,0.4335104512095183,0.4324182488930187,0.43098687716128,0.4298720950921087,0.43181319672869356,0.43195534963841675,0.43168953102052704,0.4294360336245455,0.42997883048990315,0.42931607432495655,0.4335157819435434,0.43035619793782587,0.42825041599056124,0.4328988940770725,0.43590864017498565,0.4332173975365091,0.4320030694676539,0.42953863722411667,0.4267121176828733,0.43444786810524305,0.43270363580487575,0.4288425098761544,0.43181294003107257,0.4349305200026153,0.4322122518392486,0.4293567108944382,0.43367022437949415,0.4324892329412835,0.4308180994489498,0.43101693870444735,0.4263465618964309,0.42969140739881034,0.43061791618825684,0.42955865703770746,0.43074948244656275,0.4276733905027708,0.43099413528455405,0.4289140653458871,0.43316610120235316,0.4336325731072232,0.4296202765438191,0.4315167328118216,0.42967457541769505,0.4296950323630212,0.4348622136514752,0.43094642450674553,0.42818045210610567,0.4308841064024976,0.4314897667663194,0.4280678096227382,0.43245465137237477,0.4305197355901706,0.43035430397949775,0.4295266904898257,0.43317680708712136,0.43289783685362904,0.43219078853073317,0.4329330888859033,0.4314458754994983,0.42961527496235025,0.4311936482044021,0.4316767564255818
