,1_SCPMF,2_SCPMF,3_SCPMF,4_SCPMF,5_SCPMF,6_SCPMF,7_SCPMF,8_SCPMF,9_SCPMF,10_SCPMF,11_SCPMF,12_SCPMF,13_SCPMF,14_SCPMF,15_SCPMF,16_SCPMF,17_SCPMF,18_SCPMF,19_SCPMF,20_SCPMF,21_SCPMF,22_SCPMF,23_SCPMF,24_SCPMF,25_SCPMF,26_SCPMF,27_SCPMF,28_SCPMF,29_SCPMF,30_SCPMF,31_SCPMF,32_SCPMF,33_SCPMF,34_SCPMF,35_SCPMF,36_SCPMF,37_SCPMF,38_SCPMF,39_SCPMF,40_SCPMF,41_SCPMF,42_SCPMF,43_SCPMF,44_SCPMF,45_SCPMF,46_SCPMF,47_SCPMF,48_SCPMF,49_SCPMF,50_SCPMF,51_SCPMF,52_SCPMF,53_SCPMF,54_SCPMF,55_SCPMF,56_SCPMF,57_SCPMF,58_SCPMF,59_SCPMF,60_SCPMF,61_SCPMF,62_SCPMF,63_SCPMF,64_SCPMF,65_SCPMF,66_SCPMF,67_SCPMF,68_SCPMF,69_SCPMF,70_SCPMF,71_SCPMF,72_SCPMF,73_SCPMF,74_SCPMF,75_SCPMF,76_SCPMF,77_SCPMF,78_SCPMF,79_SCPMF,80_SCPMF,81_SCPMF,82_SCPMF,83_SCPMF,84_SCPMF,85_SCPMF,86_SCPMF,87_SCPMF,88_SCPMF,89_SCPMF,90_SCPMF,91_SCPMF,92_SCPMF,93_SCPMF,94_SCPMF,95_SCPMF,96_SCPMF,97_SCPMF,98_SCPMF,99_SCPMF,100_SCPMF
ACC,0.473469387755102,0.4612244897959183,0.44285714285714284,0.4857142857142857,0.47346938775510206,0.3816326530612245,0.5102040816326531,0.49183673469387756,0.5346938775510204,0.42857142857142855,0.4530612244897959,0.463265306122449,0.49183673469387756,0.5265306122448979,0.49387755102040815,0.4673469387755102,0.4061224489795918,0.5897959183673469,0.45918367346938777,0.5489795918367347,0.4897959183673469,0.4387755102040816,0.45714285714285713,0.5285714285714286,0.5040816326530613,0.4489795918367347,0.5408163265306123,0.4857142857142857,0.40408163265306124,0.46530612244897956,0.5612244897959183,0.5020408163265306,0.49795918367346936,0.4714285714285714,0.4673469387755102,0.5693877551020409,0.5469387755102041,0.4959183673469388,0.5122448979591837,0.5285714285714286,0.5693877551020409,0.49387755102040815,0.5102040816326531,0.5102040816326531,0.4163265306122449,0.5061224489795918,0.4959183673469388,0.4897959183673469,0.46938775510204084,0.49183673469387756,0.49183673469387756,0.563265306122449,0.4448979591836735,0.4816326530612245,0.5122448979591837,0.536734693877551,0.5020408163265306,0.5204081632653061,0.4959183673469388,0.4897959183673469,0.5142857142857142,0.5285714285714286,0.6510204081632653,0.5285714285714286,0.49183673469387756,0.47959183673469385,0.48367346938775513,0.5040816326530613,0.5448979591836735,0.5224489795918368,0.5244897959183673,0.5612244897959183,0.4816326530612245,0.5224489795918368,0.48367346938775513,0.5,0.5306122448979592,0.5122448979591837,0.5020408163265306,0.5326530612244897,0.536734693877551,0.5102040816326531,0.5020408163265306,0.5408163265306123,0.49795918367346936,0.5020408163265306,0.563265306122449,0.49795918367346936,0.42244897959183675,0.5571428571428572,0.5244897959183673,0.5857142857142857,0.4489795918367347,0.46122448979591835,0.49795918367346936,0.5306122448979592,0.45714285714285713,0.5040816326530613,0.48367346938775513,0.5306122448979592
AUC,0.4817049662042768,0.4908046960091071,0.4890718141237209,0.5002883837501587,0.4947502773333042,0.47090343548111185,0.4930710074448066,0.4860218775784787,0.503197227339042,0.5213381109610957,0.49562041362393855,0.48199178342526156,0.509626477282712,0.5262674679731392,0.5269958802138518,0.4789664490012411,0.5026328094150445,0.5281340558449911,0.49075353654607096,0.528011013988263,0.49782157488193896,0.47712015674725483,0.49217652943207457,0.5209748311263113,0.49548577678822386,0.4887698227584178,0.5253378729389369,0.5245098883583988,0.4988493327473117,0.5023536183699556,0.5258236858322192,0.4976902881958412,0.5379214350084549,0.4976323664933582,0.49608670928508763,0.5276579526990135,0.5101110321429296,0.523422923341831,0.49498545588277093,0.5060921462501776,0.5148149139226978,0.5128627015950536,0.505973343986567,0.5149958105550951,0.47564185941052983,0.5205536360108886,0.5186098606222116,0.4959772830453975,0.47544669257457933,0.4996996046095309,0.512230002537167,0.5111657052047143,0.5064337852018259,0.5034343061692089,0.5103240994950176,0.5246817278380015,0.4905697789091029,0.5327381918239903,0.5049559648113853,0.502185696144859,0.5021925566231428,0.5302067403300229,0.5287294754022284,0.5004537071249572,0.5265141083735164,0.5221997388587902,0.4887565973884816,0.49371796563449216,0.5134450381959158,0.5168636562545048,0.5158895211466251,0.5042927959670691,0.5132743568485503,0.5289474759210182,0.500244056477662,0.5227721725656868,0.5177934446887063,0.4979018416500905,0.5076848270525836,0.5288929617204995,0.5233231780696037,0.5116725380760025,0.5219290309206278,0.538128997635356,0.5136030756438221,0.49499514419483653,0.5595857631653695,0.5259130927154695,0.469367904632798,0.5135821548570969,0.513002464184137,0.5412634616688508,0.49272188681310075,0.45120055829302774,0.4997851630722954,0.5300407725003684,0.48244829097100445,0.5239382128219403,0.5136753652680827,0.5113331198627197
Fscore,0.0005464359927529,0.0005071405386431,0.0004731081555568337,0.0005814318646421378,0.0005546517540572591,0.0003965814907432749,0.0005861549045451856,0.0005404082710780997,0.000547808202218361,0.0005387590435822757,0.0005731635226833082,0.0005141573921964106,0.00047590747332859347,0.0005798797656120872,0.000456520613039415,0.0005235080447598664,0.0005175391107137858,0.0005920898700051815,0.0005021478681846712,0.000625521726551695,0.000518658521496563,0.0004932991703791716,0.0005309370045761442,0.0005134946147453693,0.0004945285596103095,0.0005383378674880452,0.0005549264852457693,0.0004711876981786049,0.0004836364502406686,0.0005390289445327188,0.0005852447793836417,0.0005034084457293029,0.0006363212045404143,0.0005647974371455013,0.0005325214584050384,0.0006419219945408435,0.0005731149165273089,0.0005409632097558858,0.0005419548467304516,0.0005720801579084714,0.000595146761428533,0.0005136092996593021,0.00057768891572497,0.0005663549457129343,0.0004688565289747874,0.000561921835516514,0.000570252808947561,0.0005620841805053119,0.0005040489540681509,0.0005764220792330462,0.0005351514036189567,0.0006331744549510187,0.00041487589476979503,0.0004995408722568457,0.0005643900538697099,0.0005525918733523872,0.0005720323766600085,0.0006202699121015673,0.000549802753324255,0.000501654196600755,0.0004541246039806098,0.0007151403809022587,0.0006713032243644779,0.0005560290922475267,0.00045550629793949924,0.0005117846156697178,0.0005667601245765774,0.0005874233081426102,0.0006747979759520325,0.0005985607511152066,0.0005506270068444272,0.0006526045651527689,0.0005345707215736158,0.0006341997268652518,0.0005387821083992238,0.0005754083735286578,0.000507807516243575,0.000609387327128511,0.0005112309248369888,0.0005875540120387725,0.0005800545585051285,0.0005214214148291224,0.0005640431340519119,0.0005711307233369709,0.0005162011045860502,0.0005310707246417897,0.0005750967139902401,0.0005336121167892737,0.00043863411737522095,0.000550270531167732,0.0005725671696440745,0.0005982569592154199,0.00046855685258806446,0.000504407849915266,0.0005741388358876,0.0005184561119212581,0.0004896696926356095,0.0005310789212232529,0.0005244651930645742,0.0006035111197511961
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.4938143154847642,0.4944679465749133,0.48670909741725504,0.5056774872737976,0.49474234618999335,0.4427643451885064,0.5158560322767978,0.5154977125419675,0.5321941100240312,0.4678962831439126,0.4812196434084879,0.508795755936027,0.4582878217065333,0.4976558913965256,0.48791427949646643,0.502079438900676,0.4577742969540573,0.5481378906605925,0.5137464295334412,0.5448692143914183,0.509593388419978,0.4834414246578902,0.48573210310979936,0.5160354659849988,0.5205733613896684,0.5033505372025511,0.5104288346612321,0.48961909862422326,0.47473983787764296,0.5025975580046825,0.5513075837268473,0.5096628030675373,0.5150772602337191,0.513456646084777,0.5012097108484465,0.5294256960256242,0.4906147505305514,0.5078453225200769,0.5041277111748937,0.5053293455788394,0.5241342754939818,0.5148817275411384,0.5276837279716828,0.5062457691264066,0.4955747577828137,0.5031762871527392,0.5035714499513907,0.5119229441697978,0.46304116655972366,0.5112826589558366,0.4953945509026177,0.5445115896190927,0.4399185685587965,0.5074713844133281,0.5166652358879424,0.5316062623074442,0.486608505763062,0.5200842200148398,0.5058527128980114,0.4923021822449493,0.49656520483416133,0.5013452044697084,0.553733893569133,0.5076091909144675,0.48499076648596795,0.4621727249729945,0.4854050371244417,0.5316424325125928,0.5586798699443042,0.5305784935010639,0.5096884341746866,0.5132746320791174,0.48004213578675553,0.5294650986583103,0.5162570329741394,0.4958419440531082,0.5057218875145653,0.5180560134128239,0.5353325038247579,0.5328129606155653,0.5225866262272795,0.5024534546108596,0.5129691392923752,0.5226495828334689,0.5080757522413331,0.4970666467948692,0.5225198028139137,0.48886552883456846,0.4759036698982812,0.4921423024547511,0.5002235039682119,0.537449870083357,0.48581728717279865,0.4645135856170522,0.49049030428992946,0.5033381185851138,0.5118194028155906,0.5122171208172273,0.48742545239087975,0.5089749608266588
NDCGk,0.2098009351756411,0.199068585378698,0.1959779661717288,0.2093267457253433,0.21000501441481592,0.20999861998178376,0.2191778831610436,0.2004971533047774,0.20794815030200406,0.20424437886696903,0.20146632211918353,0.22172682059454085,0.2242480215794396,0.2196042797375762,0.21619928114395037,0.21702462879995632,0.19349496492716067,0.22557397057809445,0.21945442096798623,0.23616789503693286,0.2004651545425288,0.20368179031356176,0.22221948791886242,0.23206438019144676,0.21420635596243728,0.20068267308325208,0.24425743521019327,0.22003902757573318,0.22274913366809015,0.2192832709850392,0.22652553529588385,0.20786843701892083,0.24012591451517368,0.2263416643159441,0.21569586149731934,0.22528798898349853,0.22472496248379964,0.22842831732294044,0.21067837281257135,0.21829047420110753,0.2140927853571841,0.23070010506129326,0.20748633680086734,0.2063786278014336,0.19075658403102744,0.21417531596400935,0.21636002707822063,0.20490133972125268,0.20304332535888597,0.21484131421727598,0.202542607774762,0.2013544290790055,0.2136313722738686,0.21088867526854083,0.22558469669707606,0.2150609277084021,0.21511751660171766,0.21839430852986452,0.2184344668562554,0.2121585896290541,0.19555073744441284,0.22434773125149549,0.2280046834869894,0.2158073047033123,0.2154061531165714,0.221601025513969,0.22166078485514448,0.21136890021188842,0.21346564623668113,0.2171962843829108,0.1989587293973054,0.20862901075815848,0.22462367930561924,0.2200052837005909,0.22507880600874627,0.2160133557921531,0.2254154203111298,0.20573038946105018,0.20911031224034665,0.2142396216563439,0.2143277029738987,0.21061796574706296,0.21194243919243397,0.23659456786970015,0.2058777882426822,0.20676756465632953,0.23930722392772283,0.21911808831659618,0.21537888085237591,0.21484344378712955,0.20652261261356175,0.22326325646297804,0.2066832362088745,0.21296751635865552,0.21928665308743273,0.22544512583401563,0.20951599414841107,0.21508586015939724,0.21935008292083705,0.20969511261451443
global AUC,0.47385542300825,0.4654517751374724,0.44970601147475386,0.48725595390598964,0.4767038532014008,0.39134750929342305,0.5114167899506131,0.49275244503605187,0.5345916309283767,0.4377541526191241,0.45632349246283016,0.4643497894387117,0.4894338997482243,0.5253279131510707,0.4936776260070307,0.4713773301766668,0.41620519727193994,0.5818443839269473,0.463537005843209,0.5476264673921611,0.49141572219520285,0.4428780262030165,0.46342649158570604,0.5237384908173625,0.506267437269468,0.45728954770847935,0.5387067587069734,0.48654499627838493,0.41596039586678013,0.4710935690656318,0.5543792222974376,0.5029545570609709,0.5010461683522407,0.4783162149784776,0.47406297484598636,0.5623484556879735,0.5396598286944485,0.4997410771757178,0.5102445667033999,0.5273409780584519,0.5600136410078149,0.4973613310648378,0.510942696326941,0.5096374518276603,0.42740339614626005,0.5075975515063234,0.4971600497347575,0.4908485852457038,0.47179134879877715,0.4937324094077744,0.49379978886276854,0.5574364977433839,0.4474777679052774,0.48052265526553395,0.5126808495983554,0.5335955637357397,0.49816409364214953,0.5200389070257481,0.4960515026082363,0.4924317999734005,0.5107896448325493,0.5221815296634129,0.6350189257287656,0.5268788829234106,0.4960697519477593,0.4812608571677819,0.48646304723005346,0.5105809646965702,0.5460006132124039,0.5215877577989488,0.5197710246485203,0.5548312885515821,0.4836801015798652,0.5196988568058616,0.4864804985049656,0.5001756528414225,0.5274895124285197,0.5106749436843545,0.5058504229565526,0.5325744656200646,0.532526035285385,0.5084390654278135,0.5008772931629805,0.5364736402600715,0.49838700134377567,0.5010822109943661,0.5603996723296099,0.5024363536593052,0.43001244626971036,0.5460654844643357,0.5241795099702448,0.5740609108857861,0.45431042755544904,0.46141686661199205,0.4985291315401935,0.5250133892046706,0.4652992229248816,0.5055755034578804,0.4859525374857435,0.528418192303457
global NDCG,0.4282674571855994,0.4305332053792201,0.4224944954676545,0.4282873157354423,0.42892780176925904,0.415447578562279,0.43828040636172727,0.4311051049913743,0.43768859200089066,0.428697976700488,0.4419690618474434,0.42645344540112495,0.4306851415540501,0.4383228664404012,0.43013801520685957,0.42752560891015345,0.4210742319897171,0.44547278624729697,0.4270947474217262,0.4423910994786236,0.44024992847000505,0.42693252946876237,0.42739229181026966,0.4330214607043228,0.4334560035443882,0.422864230414195,0.4403177317444819,0.43125708412703245,0.4185467942012198,0.43090720729419235,0.435297716482721,0.4382047869192721,0.4328963546739879,0.4333878510913053,0.43135220552347403,0.4531752588368798,0.4352535047893318,0.4294409660327929,0.4344891036308986,0.4374309831359073,0.44072132210212395,0.4347957996547836,0.4369362269935469,0.4312162451848857,0.4215596360288022,0.43865235319146584,0.43155451010894647,0.4400914471295087,0.42697226962056983,0.43246921188941345,0.43231668468234974,0.4404752758853151,0.4233342646837845,0.4258695689430356,0.4338614395968687,0.4361910045591649,0.4335140951937924,0.44120062632732643,0.43621395325976475,0.4285072766554652,0.4393945924103581,0.4336365902583299,0.4549187510837819,0.4403854192581971,0.43046468604863103,0.4426287026813417,0.428801659160545,0.4361468118398985,0.44056399436832977,0.4324711495953747,0.4334268445144553,0.4415178541020024,0.4365049260148157,0.4346885402386566,0.42965192967455396,0.43481383288661,0.43988211701683905,0.4360110513945834,0.4338318170948014,0.43825558724472014,0.43418267975473035,0.43925575503831993,0.43127143827257003,0.43760304420953283,0.43098367720337694,0.4324085360075907,0.44396831282711047,0.43687609052399506,0.4226768646341426,0.43718258352262757,0.4353602856307838,0.4401061580639414,0.43034043296357327,0.42302250931643365,0.440062037886727,0.43586435235252063,0.4288059300241016,0.4320065161966018,0.43341281658426084,0.4392440531179246
