,1_ALSWR,2_ALSWR,3_ALSWR,4_ALSWR,5_ALSWR,6_ALSWR,7_ALSWR,8_ALSWR,9_ALSWR,10_ALSWR,11_ALSWR,12_ALSWR,13_ALSWR,14_ALSWR,15_ALSWR,16_ALSWR,17_ALSWR,18_ALSWR,19_ALSWR,20_ALSWR,21_ALSWR,22_ALSWR,23_ALSWR,24_ALSWR,25_ALSWR,26_ALSWR,27_ALSWR,28_ALSWR,29_ALSWR,30_ALSWR,31_ALSWR,32_ALSWR,33_ALSWR,34_ALSWR,35_ALSWR,36_ALSWR,37_ALSWR,38_ALSWR,39_ALSWR,40_ALSWR,41_ALSWR,42_ALSWR,43_ALSWR,44_ALSWR,45_ALSWR,46_ALSWR,47_ALSWR,48_ALSWR,49_ALSWR,50_ALSWR,51_ALSWR,52_ALSWR,53_ALSWR,54_ALSWR,55_ALSWR,56_ALSWR,57_ALSWR,58_ALSWR,59_ALSWR,60_ALSWR,61_ALSWR,62_ALSWR,63_ALSWR,64_ALSWR,65_ALSWR,66_ALSWR,67_ALSWR,68_ALSWR,69_ALSWR,70_ALSWR,71_ALSWR,72_ALSWR,73_ALSWR,74_ALSWR,75_ALSWR,76_ALSWR,77_ALSWR,78_ALSWR,79_ALSWR,80_ALSWR,81_ALSWR,82_ALSWR,83_ALSWR,84_ALSWR,85_ALSWR,86_ALSWR,87_ALSWR,88_ALSWR,89_ALSWR,90_ALSWR,91_ALSWR,92_ALSWR,93_ALSWR,94_ALSWR,95_ALSWR,96_ALSWR,97_ALSWR,98_ALSWR,99_ALSWR,100_ALSWR
ACC,0.696969696969697,0.6917748917748918,0.6857142857142857,0.677056277056277,0.703030303030303,0.6822510822510822,0.6701298701298701,0.6909090909090909,0.6935064935064935,0.6943722943722944,0.6995670995670996,0.6891774891774892,0.6917748917748918,0.6909090909090909,0.6865800865800866,0.6813852813852814,0.7064935064935065,0.6865800865800866,0.7004329004329004,0.6822510822510822,0.6718614718614718,0.6943722943722944,0.6848484848484848,0.6926406926406926,0.670995670995671,0.7012987012987013,0.7038961038961039,0.6632034632034632,0.7073593073593074,0.6761904761904762,0.6917748917748918,0.6987012987012987,0.6787878787878788,0.6943722943722944,0.6744588744588744,0.6961038961038961,0.6779220779220779,0.6926406926406926,0.6926406926406926,0.6857142857142857,0.6761904761904762,0.664069264069264,0.6857142857142857,0.7082251082251082,0.6787878787878788,0.6891774891774892,0.6883116883116883,0.6961038961038961,0.7004329004329004,0.6735930735930736,0.6701298701298701,0.683982683982684,0.7116883116883117,0.664069264069264,0.703030303030303,0.6519480519480519,0.69004329004329,0.6813852813852814,0.6883116883116883,0.683982683982684,0.696969696969697,0.7238095238095238,0.6917748917748918,0.7186147186147186,0.6692640692640692,0.6865800865800866,0.7082251082251082,0.670995670995671,0.7203463203463204,0.6848484848484848,0.6935064935064935,0.6857142857142857,0.6805194805194805,0.6995670995670996,0.6926406926406926,0.6935064935064935,0.7142857142857143,0.6761904761904762,0.6874458874458874,0.670995670995671,0.6779220779220779,0.6683982683982684,0.677056277056277,0.6857142857142857,0.6753246753246753,0.6632034632034632,0.6952380952380952,0.7021645021645022,0.6961038961038961,0.6917748917748918,0.664069264069264,0.6935064935064935,0.6822510822510822,0.6822510822510822,0.677056277056277,0.683982683982684,0.6935064935064935,0.6917748917748918,0.6718614718614718,0.6813852813852814
AUC,0.6418573050324214,0.6295615496461667,0.632549373979474,0.6250223385288702,0.6307990601211024,0.6321172103260136,0.6235816553595258,0.6260680321048286,0.6395016364288416,0.6387337589640968,0.6399990775777069,0.6305398738933866,0.6368223550949857,0.6302112844468511,0.6292190736628317,0.6281772352499361,0.6450263068454702,0.6364770887738929,0.6363307958896552,0.6317795602076198,0.6235620033467529,0.6394501559645833,0.6201840263190639,0.6302947492129077,0.623600153950868,0.6359336538489502,0.6392869976267177,0.6192418547993709,0.6408806362063473,0.6251584224586709,0.6300184159202995,0.6295696927451014,0.619575516554113,0.6340750963753521,0.6198080330650577,0.6307121014081967,0.6288063227472517,0.6375165133814801,0.6363894118873156,0.624731918322778,0.6202295174221027,0.629531355075383,0.629637503022624,0.6407727909620056,0.6287693283476474,0.6331086821545969,0.6301144073974683,0.63154537224183,0.635063664589699,0.6208419049866045,0.6202162417308352,0.627749999946559,0.6340656495188919,0.6263078803407058,0.6370284386076481,0.6265011056091052,0.626108333847128,0.6352991284156585,0.6254380293872178,0.6317961727578035,0.6446418167632016,0.6441618860738325,0.6340727192847251,0.6385522005196673,0.6285978088702068,0.6222171893388215,0.642618146629431,0.6304615392371667,0.6473446586383479,0.6334274188902784,0.6329720415221411,0.6326431919336399,0.6231776494285222,0.6379036242837736,0.6378461264356887,0.6458946203676236,0.6460086618943666,0.6323557387032519,0.6345565825830477,0.6236009865849296,0.6228230506620532,0.6282777810468866,0.6236604975832701,0.633020134795268,0.626449197975065,0.6101791847610745,0.640407383030684,0.6279212741615381,0.643758827693189,0.6344424520107882,0.6233690530659923,0.6402781997534173,0.6331384186286715,0.632383846998873,0.6233030772532457,0.6419526145617532,0.6275539173103959,0.6336041185342859,0.6352804030214578,0.6270337827711034
Fscore,0.0002991343916252075,0.000279011688833943,0.00029165522639643874,0.0003054767335974109,0.0003199873657840982,0.0002836254094487932,0.00028721802194748436,0.0002928540879385201,0.0002863100238571251,0.0002947926646630645,0.00032773454967597416,0.00027382874120302874,0.0003241162986582312,0.00030700297674221734,0.00029572012954249,0.00031494654613201524,0.0003091515343782372,0.00028220434089422006,0.00030178574561975094,0.00028059245696895673,0.0002844278198755092,0.00029337082605587967,0.00029775650612333794,0.0002930419073918853,0.00026277849972295716,0.00029657712890894305,0.0003391018391104832,0.0002795021688502577,0.00027717737959471263,0.0003000661377484007,0.0003107889327920674,0.00030745028011816257,0.00029570361160136653,0.0002939342456475197,0.0002886386692138526,0.0002863709098739967,0.00029459094763710264,0.0002820893377597906,0.0002978842510767632,0.00028296102224374805,0.00028309706464436273,0.0002733918817986754,0.0002810965506083478,0.0002959215059535035,0.0003038201085873491,0.0003003569438274854,0.0002636687164115258,0.0003109877047080977,0.00029197675473953167,0.0002864528081496618,0.0002861410772264674,0.0003305585421103686,0.00032979597958507947,0.0003083601229690605,0.00030061646952918953,0.0002840433004979485,0.00033565798228989206,0.00028380884891133617,0.0002988512891132251,0.00027824710054069385,0.00032150422139478544,0.0003340655346022931,0.0003100987750766944,0.00031306710725343816,0.0002903222461698553,0.00028649616137805655,0.000314722250182842,0.00027516118858218806,0.0003186869713259558,0.00029457001429492095,0.00030054493817545375,0.00030783379102598514,0.00027383645203480294,0.0003076916449468664,0.00030519304931631957,0.000298500561911262,0.0003112154856004936,0.0002731053594721774,0.00028410731538815653,0.0002817302799177677,0.00029222416979279853,0.00028737559155676167,0.0002657829997784807,0.0002824300932016605,0.00028299369692181826,0.00029567479442100375,0.00028266729373528085,0.0003321940922124734,0.0003146403198646903,0.00031941559674581366,0.0002908786094484168,0.0003423169286761044,0.00030304661200829193,0.00030539250981705894,0.000319190887731337,0.00031355448005868417,0.00028273420991445884,0.0003071106117323572,0.0002784939766810991,0.00030578861644020133
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0035555555555555557,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0017777777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.6469558191168299,0.6208171029499495,0.6279855098880185,0.6018545756310011,0.6465200843603381,0.6165101078308919,0.6158998856225703,0.6302545354168037,0.6327959769568965,0.6428230996642122,0.6223343740295011,0.6400418682836109,0.6236910818112827,0.6204438527609877,0.6431855948481808,0.6292141715515042,0.6289329191216231,0.6162473713774276,0.648571483070345,0.6327266456521794,0.6116676017349265,0.6163265860756273,0.6470173505064168,0.6441341734929151,0.6333507634894302,0.6514698143149206,0.6446655771551517,0.6156416777146747,0.6563375990229088,0.6424817406166483,0.6268939086773111,0.6407576308604443,0.610197727951049,0.6429015451270751,0.6438412660989768,0.618063048201799,0.6302925400024658,0.6368590212749786,0.6345385541998556,0.6364454241876327,0.6088378835859708,0.6104207171691193,0.6192364970307176,0.6389682201471284,0.6180862900872809,0.6250635124004775,0.6322611088850691,0.6403421580871669,0.6400894504368558,0.620145887898843,0.6300933853100339,0.6159578418636701,0.6540723492673769,0.6087437059763307,0.643862627152261,0.6060333212353021,0.6304142729988664,0.633965106571299,0.6259705983254293,0.6206383281086766,0.6146284245158125,0.6505770775082058,0.6341348207724148,0.6418161651479306,0.609973862038813,0.6160660266851965,0.6517202375492889,0.611869122132329,0.6196410412931264,0.630150410194748,0.6385813560604152,0.6407494728479219,0.6042153723473054,0.6383856820743553,0.6191885971111899,0.6348060863375887,0.6280105324622705,0.6297394489067899,0.615440688055222,0.6191836803450124,0.6263765241501156,0.6152675457195806,0.6196481938217815,0.6211712232102211,0.6275156442416023,0.6244521559090469,0.6149076515864549,0.6382640623701429,0.659037480150214,0.6344359298974798,0.6267911081731177,0.625379047692187,0.6253488300671002,0.6184224801020523,0.6236196425440454,0.606746976824028,0.625762211890828,0.6358319030593631,0.6064937055596057,0.6051988188923288
NDCGk,0.19756977783355667,0.19676809410120533,0.19178286142206702,0.20044124341132333,0.18991484859653715,0.1951902170717491,0.19032865158282627,0.1931337022468309,0.19520271257840544,0.1962993458432188,0.20226981403794253,0.19518868816142276,0.19681616156136478,0.1951704089164726,0.18957182256716737,0.20032092577882082,0.1970605156302724,0.19075693318338358,0.19378356424848553,0.19308252675265986,0.19795995773634148,0.18651672529411029,0.1939117898193138,0.1937162688659232,0.1920872319505938,0.19683892029396993,0.19895877199629886,0.1969267643653535,0.20214061470194572,0.19184061167310446,0.1989202065703194,0.1960073559642263,0.19269297456372322,0.19613627039807435,0.19456810344089312,0.19333142198082676,0.19786720753604778,0.19209792452484767,0.1922826778101194,0.18803917800005532,0.19075371137093566,0.1960144675844212,0.19720279982938824,0.19623540253869234,0.20121436960289169,0.19483759949938526,0.1882758945140991,0.20753818168784913,0.1897932482209055,0.19251807317118963,0.19623234886332258,0.20103386627690084,0.1931580702160825,0.1928295420475697,0.19716749579213966,0.20080934463917535,0.18872370055972032,0.19826672552010724,0.19314897018942961,0.19860201749117187,0.20078229205109432,0.20121994802142215,0.2076670517365429,0.19778168657418674,0.19725305683699867,0.1963397485343737,0.19834044488705851,0.19382666537833254,0.19801674358767898,0.19674163814860313,0.20102857494961346,0.198746704564149,0.19376026565456958,0.18972045255022665,0.19284800323099294,0.19695766330992923,0.19755910113860495,0.19597518344237677,0.2023291928338732,0.1900868368800309,0.19798949576658098,0.19202653368473624,0.1979191508247403,0.1954799944065787,0.1981096082183947,0.18874567716707188,0.201789249785017,0.2000411222138226,0.19338265970321136,0.19148150459074417,0.19739781475303012,0.1955774643163412,0.19727024807813104,0.20049855422096993,0.19131652986694384,0.19766039193525134,0.19348069309850013,0.1939080418897859,0.19268612466265198,0.1946016143637136
global AUC,0.7075408458601968,0.7008491816727106,0.6981131308938195,0.6897943445688812,0.7119875424878851,0.6961905452451287,0.6836259414873826,0.7018358184771936,0.7036698992546646,0.7074232594916378,0.7088749419575215,0.7018478184363401,0.7015786180964704,0.7017735680796184,0.6964121982935988,0.6952959672543887,0.7186627184273465,0.697908353273853,0.7132371742018938,0.6970567786729184,0.6852139665671367,0.7033344164634725,0.694602957423655,0.7069212245208594,0.6848241464617562,0.7159831490832632,0.7167506256595363,0.675023955968434,0.7185775542726414,0.6927201933793852,0.70270198179606,0.7086120928007555,0.686984620118691,0.707639982248737,0.6890178579417956,0.7074795920108772,0.6904674200081247,0.7053214187700169,0.7030492086224749,0.6982811690662829,0.6908061214841346,0.6784943695089446,0.6950059682855962,0.7184018787082695,0.6899543697659223,0.7043754203652581,0.7005862813838738,0.7096998812299504,0.7106181765947557,0.6908823580846164,0.6847988115746931,0.6939874335027739,0.7232780341299989,0.6752058456608737,0.7145215754608231,0.6687546150153675,0.6998991849508296,0.6936559305789886,0.6986759911533611,0.6975439697925427,0.7043804639906013,0.7361180130841436,0.7025888320571729,0.7252256897805374,0.6830184511001796,0.6989296201961142,0.7167548258692698,0.6838295952560505,0.730152109346198,0.6966133790095597,0.7046264282304383,0.6989945842834113,0.6941311388713451,0.7103442120109634,0.7021848628642461,0.7068415884283382,0.7245709196228219,0.6875656404341355,0.698179091529373,0.6823244489382676,0.6937379271809458,0.6851010951554011,0.689365507530284,0.6981613790108775,0.6896320355605104,0.6762013061740327,0.70409877661907,0.7121907426570951,0.7107731523679715,0.7043086426708335,0.6765587069648006,0.7032818389886656,0.6987001318166353,0.694971200849214,0.691415478191941,0.6964478046649445,0.704238899843408,0.7053366147471879,0.6853066945784521,0.6940489261441376
global NDCG,0.6334677890183967,0.6400379531277974,0.6368507773540308,0.6255587937517184,0.6180109503745126,0.617481339264293,0.6118922563625167,0.6284594630598387,0.625381344590935,0.6340260201447868,0.6389001598836133,0.6267540925225885,0.6181358240965904,0.6457578088688856,0.6194876418074774,0.6448862696127119,0.6242093544666446,0.6340291445370764,0.6341080524703023,0.6358041004127706,0.6314004848041103,0.6468025684660026,0.6421717373520123,0.6055256555370061,0.6357575520231749,0.6498759516755362,0.6380453029937909,0.6130514478978117,0.6403083611849586,0.6288469982086339,0.6290410757397299,0.6408634943626584,0.6188492379870467,0.6286646355775952,0.640943860925404,0.6366782436899309,0.6414642548993642,0.6389828939699369,0.6495464967778602,0.6303144980190648,0.634094810223105,0.633213135333641,0.6090358131926655,0.6277916417136817,0.6291497547180642,0.630296105487346,0.6353064802568689,0.6274804433628217,0.628893480400495,0.6056702351065671,0.632114000493297,0.6114768431888036,0.6434227987878423,0.6199442003953257,0.6314536184784977,0.6144037136316801,0.6072222938670598,0.6404543358413495,0.6308350177772538,0.6348297695642734,0.6348982076087345,0.651245770892921,0.6286743858895179,0.6392730014569258,0.6239739809621222,0.6487117599254627,0.6401353076770198,0.6327014960700046,0.627659795149812,0.6181977199349699,0.6565110662827126,0.6342492480113249,0.5960630007018533,0.655452663154506,0.62458399506561,0.653512328422116,0.6158126418421253,0.6228454220957025,0.6311695250910583,0.6135189847184749,0.6315055124511088,0.6299835294541422,0.6301729593742464,0.633343663131233,0.6135504030766498,0.625981171333954,0.6285420960276332,0.6539307804089147,0.624987020914714,0.6172441129007085,0.6232302792552611,0.6275987213919388,0.6387388240189688,0.6212569974708085,0.601638786651968,0.6411844950715094,0.6406002098265879,0.6374883276082799,0.6244973659110025,0.6211062409900142
