,1_BNNR,2_BNNR,3_BNNR,4_BNNR,5_BNNR,6_BNNR,7_BNNR,8_BNNR,9_BNNR,10_BNNR,11_BNNR,12_BNNR,13_BNNR,14_BNNR,15_BNNR,16_BNNR,17_BNNR,18_BNNR,19_BNNR,20_BNNR,21_BNNR,22_BNNR,23_BNNR,24_BNNR,25_BNNR,26_BNNR,27_BNNR,28_BNNR,29_BNNR,30_BNNR,31_BNNR,32_BNNR,33_BNNR,34_BNNR,35_BNNR,36_BNNR,37_BNNR,38_BNNR,39_BNNR,40_BNNR,41_BNNR,42_BNNR,43_BNNR,44_BNNR,45_BNNR,46_BNNR,47_BNNR,48_BNNR,49_BNNR,50_BNNR,51_BNNR,52_BNNR,53_BNNR,54_BNNR,55_BNNR,56_BNNR,57_BNNR,58_BNNR,59_BNNR,60_BNNR,61_BNNR,62_BNNR,63_BNNR,64_BNNR,65_BNNR,66_BNNR,67_BNNR,68_BNNR,69_BNNR,70_BNNR,71_BNNR,72_BNNR,73_BNNR,74_BNNR,75_BNNR,76_BNNR,77_BNNR,78_BNNR,79_BNNR,80_BNNR,81_BNNR,82_BNNR,83_BNNR,84_BNNR,85_BNNR,86_BNNR,87_BNNR,88_BNNR,89_BNNR,90_BNNR,91_BNNR,92_BNNR,93_BNNR,94_BNNR,95_BNNR,96_BNNR,97_BNNR,98_BNNR,99_BNNR,100_BNNR
ACC,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.00017755903431791354,0.00016819692988457856,0.00017414746278583478,0.00018573184185688923,0.00019093135675763887,0.0001703092220000952,0.00017297791185066067,0.0001760998140172574,0.00017424155568570687,0.0001726758181098377,0.00020079080385499538,0.0001678725980632524,0.00018784736684794492,0.00018381661708668202,0.0001867024617547811,0.00018975952491790207,0.0001794835526522795,0.00016966607988542148,0.00018358103491859283,0.00016641643602037878,0.00017609340213393558,0.00018063654460449783,0.00018073420442198343,0.00017736454394318125,0.00016157104062494888,0.00017547390268948568,0.00020027117613108386,0.00017241464192661827,0.0001656897817027426,0.00018483786520137797,0.00018672701007280593,0.0001817677349411535,0.00017417447782506332,0.00018029723410488988,0.00017697067597272054,0.00017303786846099915,0.00017945946494839576,0.00016853646442891303,0.00017456004990317676,0.0001742713210227415,0.0001675781163044392,0.00016723190665618933,0.00017186576339590118,0.00017374268764346155,0.00018181475749780009,0.00017356090517162386,0.00016114806539287342,0.00018310694932794928,0.00017379806212299253,0.00017273262926525707,0.00017222794950667546,0.0001989419882239824,0.00019063659966890784,0.0001901169667207376,0.00017588664646782598,0.00017910274592296786,0.00019670493819797205,0.00017288757639152851,0.000178040138137541,0.00016645993850053942,0.0002019644240026389,0.00018595040767035808,0.00018866711656062595,0.00018076508507854783,0.00017141733740604686,0.00016377917039673464,0.00018259457577366833,0.00017419627020657423,0.00018044834652615265,0.00017801179837178044,0.00017272425159900077,0.00018293600316847522,0.00016868719066993282,0.00018448319839106114,0.00017866273529289068,0.00017955221896328772,0.00017780168716328897,0.00016807607209748263,0.00016346079053083414,0.00016684002879444396,0.00017714592476503514,0.00017469141873791965,0.0001630812994636051,0.00017155535304012767,0.00018075079350555928,0.00017955231210741785,0.0001684680441755264,0.00020006181799312817,0.00019051986535582874,0.00019409435926411538,0.00018040637012489973,0.00019532608479249356,0.00018313341097421043,0.00019485195629616192,0.00018679989096252348,0.00019383006334482302,0.00016337809713470227,0.00018430495271364012,0.0001655244221216278,0.00018874943499253653
HR@10,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.0071111111111111115,0.008888888888888889,0.008888888888888889,0.008,0.008888888888888889,0.008888888888888889,0.008,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008,0.008,0.008888888888888889,0.008,0.008,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008,0.008,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008,0.008,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008,0.008888888888888889,0.008,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008,0.008888888888888889,0.008888888888888889,0.008,0.008,0.008,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008,0.008888888888888889,0.008888888888888889,0.008,0.008,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889,0.008888888888888889
HR@2,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0008888888888888889,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0008888888888888889,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779,0.0017777777777777779
HR@5,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0035555555555555557,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0035555555555555557,0.0044444444444444444,0.0044444444444444444,0.0035555555555555557,0.0035555555555555557,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0035555555555555557,0.0035555555555555557,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0035555555555555557,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0035555555555555557,0.0044444444444444444,0.0044444444444444444,0.0035555555555555557,0.0035555555555555557,0.0035555555555555557,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0035555555555555557,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444
Lin's AUC,0.8572832629339048,0.8628381908899998,0.8561444817261048,0.8547365970986571,0.886763794065814,0.8484977541656674,0.8559920374146887,0.851579295457847,0.8667009616856894,0.8605227057663013,0.8720090399982646,0.869008954628732,0.8703061024581109,0.855191203672933,0.8663194739839699,0.8457990136914629,0.8727414536393631,0.8558206921103472,0.865803577122741,0.854093877847577,0.8393020179135684,0.8481181605307806,0.8618373384411809,0.8623685446974756,0.8500637289581349,0.8409329336148932,0.8621725214751936,0.8566640395535093,0.8616479772237349,0.8667494047217073,0.8617375112655551,0.8786155931540134,0.8528737943088885,0.8633423038756421,0.876998888764383,0.8578885163698138,0.8557580039500131,0.8460670900357683,0.8580457935589947,0.872212719171672,0.8634915969198997,0.8600206771414484,0.8604958939795812,0.8706459533899819,0.838485080870959,0.8501925674312627,0.8742310574244582,0.8601598319265251,0.8567800807824378,0.8509143141076988,0.8659316553360382,0.8615585924883989,0.8543298985799289,0.858517398731519,0.8691952209856453,0.8638891667168365,0.8602933743754378,0.8571758211319074,0.8526562240697717,0.8779317232273482,0.8522275245048786,0.8593248149589817,0.8632883503694696,0.8491686935152596,0.8582572573579862,0.8532758753809399,0.8402933178816725,0.8502243926546698,0.8458603609291655,0.865591536755468,0.8674623591611412,0.8605177744808822,0.8323006151925257,0.8708937797708242,0.8525005555423784,0.8660194018556825,0.861447870169685,0.8584819866158734,0.8645877139980118,0.8547075760667033,0.8765909292667597,0.8653898403091462,0.8462006285615908,0.8569223457017199,0.8614776598061085,0.8621251764954939,0.8509469836561129,0.8698225720091994,0.8698945931301815,0.8629863907716616,0.8565824676147547,0.8661178301273742,0.8635757984989506,0.864258283509941,0.8485571257883038,0.8564979609798289,0.8600472674836981,0.8672816288349108,0.851370914801,0.8587930273367822
NDCGk,0.1695655332255303,0.17753159507084487,0.1688532188199136,0.17172520883756393,0.1709641081542584,0.17785824184753307,0.17249169183631627,0.17172169349105412,0.17247536741315872,0.17382875101130424,0.18025020884052081,0.1691428360172378,0.17412429141870617,0.17163518314015871,0.16982568786837937,0.17701245702135596,0.17444097509868836,0.1687944326482695,0.16954299845125057,0.17528990372250577,0.17549364761470848,0.17289926485560517,0.17387986371457756,0.17898605346995805,0.17794139345678453,0.17157753357080996,0.17440657079843086,0.17944887808401191,0.1784048573465359,0.17217605208005263,0.1700119577415077,0.1707927933150007,0.174000188406928,0.17784468381260043,0.17102112983259637,0.17491511561871692,0.17278963534311245,0.17285786750953172,0.1734810692539139,0.16927849884780605,0.17121945527972077,0.17565513740540784,0.17004185224859195,0.1780685047548311,0.1798750318708609,0.1713397027820662,0.169952977781888,0.1733915748468032,0.17589365476056712,0.1788704789454292,0.17673854864289126,0.17181130743981887,0.1734769658282812,0.17171970535807948,0.1744452644151875,0.17339897238444496,0.1725853931637633,0.1763755678153484,0.17254422090791166,0.17435706397044312,0.17693953653654035,0.17526973783416222,0.17637081816973368,0.17271468520256783,0.17251473835359296,0.1724801829511781,0.17336476186175498,0.17020572477456458,0.17444807237159612,0.17013900695358775,0.17344120250519693,0.17445662569916273,0.1748355980842,0.17874930374909395,0.1752198543616761,0.17566793083264487,0.17451887369559568,0.16699842007225743,0.18189873286430164,0.17285352980785146,0.1770713684077177,0.17589524575641222,0.16929756627746634,0.17855867921451601,0.17382601739332462,0.16924212452961326,0.18286756081426497,0.17763617526338346,0.16692877778916348,0.172309782061942,0.17185696986465895,0.17507484740254514,0.17232718101556174,0.18182165135261738,0.17082691282352142,0.1791622037268356,0.1721111223854839,0.177792721886215,0.17200174469903193,0.1713600471155013
global AUC,0.9781163959664967,0.9793884438224253,0.9774260761044214,0.9786396004054984,0.9819937915386304,0.9777269809641755,0.9771934633972451,0.9778978419432559,0.9778380867380474,0.9784136733484291,0.9799848960078437,0.9780498409865063,0.9793590368193743,0.9778091357065599,0.9783572883792813,0.9764942249422375,0.9802294462086985,0.9767751542939903,0.9778325333733955,0.9786567538975849,0.976888885462513,0.9769082444864176,0.979385421231736,0.9786149584370717,0.9760695274928778,0.9743918689463926,0.9784966609637276,0.9771760120740216,0.9780606306442542,0.9801647064172395,0.9778582862783197,0.9805462892513599,0.9776416299401998,0.9783940821216646,0.9798237967737375,0.9784216320289714,0.9775933380709568,0.9777106329339957,0.9773395205775287,0.9802757128262098,0.979233716856814,0.9781836256789743,0.9776014627989471,0.9797805804214903,0.97580643532699,0.9769285014843785,0.9790680586977728,0.9784932559367728,0.9779924502442445,0.97653130122885,0.9798777366283208,0.9783430805162099,0.977551933480865,0.9780082474186047,0.9800820087260569,0.9773391984981931,0.9773870644425532,0.9768712947121464,0.9764324481752406,0.9807116967578248,0.9781899064895889,0.9803812546927348,0.978771592312662,0.977713121800745,0.977470464540798,0.9780916469897144,0.9754064620790788,0.9768622200873265,0.9764903718507404,0.9796857841969613,0.9794748538601254,0.9777531708638124,0.9762570725505448,0.9808003276142506,0.978214968847983,0.9781467375794696,0.9792074974376309,0.9781960172992448,0.9795105316582307,0.9768877982470793,0.9808939143280827,0.9796969462754141,0.9764856518861376,0.9779719225625865,0.9782850055530351,0.979471017373373,0.9785178986959016,0.9799840549643409,0.9787171632770254,0.9786408976841323,0.9767785522046258,0.9793751107394811,0.9789458319619593,0.9791344102037474,0.9761452786022493,0.97764879976358,0.977951864030861,0.9793142274658951,0.9754534608867659,0.9787877084035493
global NDCG,0.8513516046838242,0.860536421898842,0.8485544661647093,0.8564190036789889,0.860039811350866,0.8543316700322037,0.8513073911469138,0.8530928846019861,0.8568209559900547,0.8539676020667138,0.8515563619584746,0.8477025686710744,0.8556049396750794,0.8525107748019157,0.8541604088832274,0.8514652542719281,0.8614916418539119,0.8504530202571499,0.8555169650457572,0.8600751234429572,0.8481110013167774,0.8521728657827249,0.8556095752605378,0.8539598666503444,0.8450064465914503,0.8459182570910921,0.8553215796687411,0.8471543048953482,0.8407949026826095,0.8505416651767915,0.852500772530446,0.8553949209144097,0.8519857898052362,0.8591449894682148,0.8517443672536972,0.8576366172443588,0.8532992402132206,0.8553191045074201,0.8568734291913108,0.8548165780981909,0.8619303009024077,0.8483613417221235,0.851579303086185,0.8599894848215472,0.8423964605049443,0.8523619459389205,0.8511612976732973,0.8540786139585381,0.8569976493672615,0.846455204937455,0.8591602028055731,0.8533108100678943,0.8542421646929542,0.8477685214021123,0.860326525735163,0.8472083389375229,0.8552635437120216,0.8480630170766766,0.8487301857136493,0.8506100759093819,0.858925349194262,0.8598297478278369,0.8570565223025273,0.8555078241722157,0.8420522548655993,0.8532726367941466,0.8512864237423927,0.8473338921023262,0.852097715306206,0.8522415976560153,0.8573037264277613,0.8502022640376379,0.8470378873033095,0.8575482132553292,0.851342065956521,0.8481542905572366,0.8550987663734596,0.8489715871394472,0.8623921001876654,0.855334915728842,0.8580322148426528,0.860135522588475,0.8485883741189423,0.8478176490339033,0.8608152864752338,0.8528629461971519,0.8592548510944182,0.8540006683510226,0.861363917215534,0.8543762170743833,0.8440893739474371,0.8536244255576783,0.8555416902312784,0.8581332784551022,0.8522976170158334,0.8527642090287886,0.8553069865124295,0.8552360921370992,0.8483757803853156,0.8549916541120778
