,1_DDA_SKF,2_DDA_SKF,3_DDA_SKF,4_DDA_SKF,5_DDA_SKF,6_DDA_SKF,7_DDA_SKF,8_DDA_SKF,9_DDA_SKF,10_DDA_SKF,11_DDA_SKF,12_DDA_SKF,13_DDA_SKF,14_DDA_SKF,15_DDA_SKF,16_DDA_SKF,17_DDA_SKF,18_DDA_SKF,19_DDA_SKF,20_DDA_SKF,21_DDA_SKF,22_DDA_SKF,23_DDA_SKF,24_DDA_SKF,25_DDA_SKF,26_DDA_SKF,27_DDA_SKF,28_DDA_SKF,29_DDA_SKF,30_DDA_SKF,31_DDA_SKF,32_DDA_SKF,33_DDA_SKF,34_DDA_SKF,35_DDA_SKF,36_DDA_SKF,37_DDA_SKF,38_DDA_SKF,39_DDA_SKF,40_DDA_SKF,41_DDA_SKF,42_DDA_SKF,43_DDA_SKF,44_DDA_SKF,45_DDA_SKF,46_DDA_SKF,47_DDA_SKF,48_DDA_SKF,49_DDA_SKF,50_DDA_SKF,51_DDA_SKF,52_DDA_SKF,53_DDA_SKF,54_DDA_SKF,55_DDA_SKF,56_DDA_SKF,57_DDA_SKF,58_DDA_SKF,59_DDA_SKF,60_DDA_SKF,61_DDA_SKF,62_DDA_SKF,63_DDA_SKF,64_DDA_SKF,65_DDA_SKF,66_DDA_SKF,67_DDA_SKF,68_DDA_SKF,69_DDA_SKF,70_DDA_SKF,71_DDA_SKF,72_DDA_SKF,73_DDA_SKF,74_DDA_SKF,75_DDA_SKF,76_DDA_SKF,77_DDA_SKF,78_DDA_SKF,79_DDA_SKF,80_DDA_SKF,81_DDA_SKF,82_DDA_SKF,83_DDA_SKF,84_DDA_SKF,85_DDA_SKF,86_DDA_SKF,87_DDA_SKF,88_DDA_SKF,89_DDA_SKF,90_DDA_SKF,91_DDA_SKF,92_DDA_SKF,93_DDA_SKF,94_DDA_SKF,95_DDA_SKF,96_DDA_SKF,97_DDA_SKF,98_DDA_SKF,99_DDA_SKF,100_DDA_SKF
ACC,0.5619047619047619,0.5255411255411255,0.5341991341991342,0.4987012987012987,0.5696969696969697,0.567965367965368,0.5437229437229437,0.5437229437229437,0.535064935064935,0.5134199134199134,0.5575757575757576,0.4917748917748917,0.4926406926406926,0.5454545454545454,0.5333333333333333,0.5385281385281385,0.5489177489177489,0.5341991341991342,0.5541125541125541,0.522077922077922,0.5004329004329005,0.5099567099567099,0.541991341991342,0.6043290043290044,0.554978354978355,0.5307359307359307,0.5497835497835498,0.5021645021645021,0.5073593073593073,0.5367965367965368,0.5324675324675324,0.567965367965368,0.5636363636363636,0.6,0.503030303030303,0.5965367965367966,0.5662337662337662,0.554978354978355,0.5376623376623376,0.5454545454545454,0.5246753246753246,0.5385281385281385,0.5056277056277056,0.5532467532467532,0.6077922077922078,0.5082251082251082,0.4969696969696969,0.5229437229437229,0.5367965367965368,0.548051948051948,0.612987012987013,0.5316017316017316,0.5385281385281385,0.5047619047619047,0.5567099567099567,0.5532467532467532,0.5731601731601732,0.5341991341991342,0.4935064935064935,0.5281385281385281,0.5532467532467532,0.6225108225108225,0.5627705627705628,0.6060606060606061,0.5593073593073593,0.5333333333333333,0.548051948051948,0.5186147186147186,0.5151515151515151,0.5194805194805194,0.5341991341991342,0.5471861471861472,0.5359307359307359,0.567965367965368,0.5255411255411255,0.5272727272727272,0.5722943722943723,0.5142857142857142,0.5428571428571428,0.5316017316017316,0.5593073593073593,0.5264069264069264,0.5307359307359307,0.5627705627705628,0.5471861471861472,0.5878787878787879,0.4562770562770563,0.5264069264069264,0.5264069264069264,0.5108225108225108,0.5748917748917749,0.5272727272727272,0.5307359307359307,0.5523809523809524,0.5402597402597402,0.5203463203463203,0.5437229437229437,0.5376623376623376,0.5341991341991342,0.4727272727272727
AUC,0.5802183498740059,0.5627041192155697,0.5631159679698875,0.5594880928853786,0.5803369076877459,0.5933651254969534,0.5757273804763086,0.5768851641456673,0.566532845231109,0.5653626982601365,0.5873961773274434,0.5628440398319635,0.5494936124315185,0.5831254399251083,0.5710800946528874,0.5716576764079768,0.5713696326115775,0.5589559170734409,0.5737102497644179,0.5790993318801022,0.5684197717441092,0.5659271260902978,0.5712057063386288,0.599688129128034,0.5806962445564914,0.5800311422961437,0.581512012193188,0.5676409763720417,0.5521398723674504,0.5768277054744363,0.5705916500570942,0.5734970518578563,0.5645487537751936,0.5814869736309003,0.5497530005808589,0.5899831357102429,0.5925216104857599,0.570161407142251,0.5689298746874211,0.5732603329643249,0.5624808650902293,0.5795935839771841,0.5626890860899617,0.581170636427182,0.5882362452477972,0.5603016925820571,0.5669653988975311,0.5664940262240946,0.5705777743074489,0.5914231245101182,0.5970952259551631,0.5753824602446613,0.5690096809721594,0.5662462383522524,0.5738696182148314,0.5757121478380548,0.5810028715753605,0.5756117143187575,0.5556682641212961,0.563432272123601,0.5705267478281233,0.5778279920876618,0.5660803585375611,0.5913587630378417,0.5739088065240853,0.5701199761866743,0.5689592792750935,0.5725734039896239,0.5640296641156021,0.563604125383907,0.5636430378276381,0.5803063756018135,0.5647709013972878,0.570723827364159,0.5764646836808286,0.5699965814831874,0.5795210401457013,0.5665838184333553,0.5760387961916859,0.5699082277931931,0.5776716942677859,0.5752146949870078,0.5733216223332992,0.5720030653105278,0.574507561166268,0.5839656042600072,0.5270144612584693,0.5560229309506808,0.5773279949810757,0.5619569379210038,0.580054950767641,0.5734814056370677,0.5626253173513275,0.5771017642249162,0.5685335211771386,0.566537826456423,0.5762368867951682,0.5785749165414097,0.5734107059839046,0.5558441956287875
Fscore,0.0002594483804398,0.0002330437694491,0.0002204580340184,0.0002514958225673,0.0002807205343595,0.0002486843199581,0.0002350885989572,0.0002353294108764,0.0002400697084771,0.0002321175599549,0.00027619245242,0.0002098811299849,0.000232404310231,0.0002530523239298,0.0002674933074213,0.0002539419580735,0.0002511206117921,0.00023335466513,0.0002502585068061,0.0002280276316955,0.0002270422451816,0.0002385160224678,0.0002654054026352,0.0002554413448556,0.0002344875534229,0.0002228779367951,0.0003024017362657,0.000212338480069,0.0002122560328959,0.0002600782726159,0.0002643227414264,0.0002521438848491,0.0002294246792211,0.000256079846947,0.0002381964600266,0.0002502285190708,0.0002560952209493,0.0002441801269015,0.0002530899529497,0.0002384554422271,0.0002257204773194,0.0002334071031812,0.000228428649695,0.0002429655815298,0.0002595013315923,0.0002314373185507,0.0002014409488818,0.0002548654479127,0.0002360903289845,0.0002430517286231,0.0002752753055917,0.0002602504361899,0.0002482101182051,0.0002349973233373,0.0002548597521531,0.0002439025141717,0.0002827340525748,0.0002274292529808,0.0002277784407751,0.000229410248231,0.0002784715887002,0.0002729438311009,0.0002475067443003,0.0002697531469283,0.0002468137629221,0.0002340068224062,0.0002526735346664,0.0002298520623283,0.0002397001851549,0.0002384689932054,0.000240640206561,0.000254995269279,0.0002409190709611,0.000255452759632,0.0002403803822318,0.0002300131014929,0.0002430996605403,0.000214973284775,0.0002345986946844,0.0002329150398385,0.0002313646304384,0.000237509180837,0.0002293034591236,0.000234802821873,0.0002553276879211,0.0002646230734908,0.0002053798588357,0.0002688001936384,0.0002580175821039,0.0002694899236809,0.0002359743714531,0.0002522324163613589,0.00024111994064905006,0.0002803722363138059,0.00026650728490861984,0.00026602294106988997,0.0002170933243206933,0.00025352444908105477,0.000230310114044289,0.0002390570164750237
HR@10,0.0017777777777777,0.0017777777777777,0.0,0.0017777777777777,0.0008888888888888,0.0017777777777777,0.0017777777777777,0.0,0.0008888888888888,0.0026666666666666,0.0026666666666666,0.0,0.0017777777777777,0.0,0.0,0.0,0.0017777777777777,0.0008888888888888,0.0026666666666666,0.0035555555555555,0.0008888888888888,0.0026666666666666,0.0071111111111111,0.0008888888888888,0.0008888888888888,0.0044444444444444,0.0017777777777777,0.0008888888888888,0.0,0.0035555555555555,0.0026666666666666,0.0017777777777777,0.0,0.0,0.0008888888888888,0.0,0.0,0.0008888888888888,0.0,0.0017777777777777,0.0044444444444444,0.0035555555555555,0.0053333333333333,0.0,0.0,0.0008888888888888,0.0,0.0,0.0026666666666666,0.0035555555555555,0.0008888888888888,0.0008888888888888,0.0,0.0008888888888888,0.0008888888888888,0.0035555555555555,0.0017777777777777,0.0008888888888888,0.0,0.0035555555555555,0.0,0.0,0.0026666666666666,0.0026666666666666,0.0017777777777777,0.0008888888888888,0.0017777777777777,0.0017777777777777,0.0008888888888888,0.0008888888888888,0.0,0.0008888888888888,0.0017777777777777,0.0,0.0026666666666666,0.0008888888888888,0.0026666666666666,0.0008888888888888,0.0026666666666666,0.0,0.0017777777777777,0.0,0.0008888888888888,0.0008888888888888,0.0035555555555555,0.0017777777777777,0.0017777777777777,0.0008888888888888,0.0026666666666666,0.0,0.0,0.0017777777777777779,0.0,0.0035555555555555557,0.0044444444444444444,0.0044444444444444444,0.0008888888888888889,0.0026666666666666666,0.0026666666666666666,0.0008888888888888889
HR@2,0.0,0.0,0.0,0.0,0.0,0.0008888888888888,0.0,0.0,0.0,0.0008888888888888,0.0008888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888,0.0,0.0008888888888888,0.0017777777777777,0.0,0.0,0.0008888888888888,0.0008888888888888,0.0,0.0,0.0008888888888888,0.0008888888888888,0.0008888888888888,0.0,0.0,0.0008888888888888,0.0,0.0,0.0,0.0,0.0008888888888888,0.0017777777777777,0.0017777777777777,0.0017777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888,0.0,0.0008888888888888,0.0,0.0,0.0008888888888888,0.0017777777777777,0.0008888888888888,0.0,0.0,0.0017777777777777,0.0,0.0,0.0008888888888888,0.0008888888888888,0.0008888888888888,0.0,0.0008888888888888,0.0008888888888888,0.0,0.0008888888888888,0.0,0.0,0.0,0.0,0.0,0.0008888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888,0.0,0.0008888888888888,0.0017777777777777,0.0008888888888888,0.0008888888888888,0.0008888888888888,0.0,0.0,0.0008888888888888889,0.0,0.0008888888888888889,0.0008888888888888889,0.0017777777777777779,0.0,0.0008888888888888889,0.0,0.0
HR@5,0.0008888888888888,0.0008888888888888,0.0,0.0008888888888888,0.0,0.0008888888888888,0.0,0.0,0.0,0.0017777777777777,0.0008888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888,0.0,0.0017777777777777,0.0,0.0008888888888888,0.0035555555555555,0.0,0.0008888888888888,0.0017777777777777,0.0017777777777777,0.0008888888888888,0.0,0.0017777777777777,0.0017777777777777,0.0008888888888888,0.0,0.0,0.0008888888888888,0.0,0.0,0.0008888888888888,0.0,0.0008888888888888,0.0017777777777777,0.0026666666666666,0.0035555555555555,0.0,0.0,0.0008888888888888,0.0,0.0,0.0017777777777777,0.0017777777777777,0.0,0.0008888888888888,0.0,0.0,0.0008888888888888,0.0026666666666666,0.0008888888888888,0.0,0.0,0.0017777777777777,0.0,0.0,0.0017777777777777,0.0017777777777777,0.0008888888888888,0.0008888888888888,0.0008888888888888,0.0008888888888888,0.0008888888888888,0.0008888888888888,0.0,0.0,0.0008888888888888,0.0,0.0017777777777777,0.0008888888888888,0.0,0.0,0.0017777777777777,0.0,0.0017777777777777,0.0,0.0008888888888888,0.0,0.0008888888888888,0.0017777777777777,0.0017777777777777,0.0008888888888888,0.0026666666666666,0.0,0.0,0.0017777777777777779,0.0,0.0035555555555555557,0.0026666666666666666,0.0044444444444444444,0.0,0.0008888888888888889,0.0017777777777777779,0.0
Lin's AUC,0.4923001402850195,0.4784438284374123,0.4557302630226931,0.4498271623310063,0.5055087263669157,0.4867901618989432,0.4742622159619285,0.4897731600636951,0.4992120679811582,0.4667184587515426,0.4697105018124426,0.4521145024407548,0.4554845044293928,0.477088351915346,0.475485862875002,0.5027569151070501,0.5131270632268609,0.4923043389660801,0.5015777393884128,0.4745315475471139,0.4541183820995567,0.467339100526024,0.5069217260399227,0.5234293501959905,0.4890478493052187,0.4905478839827912,0.4791605119129095,0.4608857436274346,0.4883511775618187,0.4917653961042419,0.4817411727087184,0.5107651006619002,0.4974154543011008,0.5244994887097686,0.4804871596361874,0.5215984775477269,0.5038397079972963,0.4912271673005681,0.4778224060251831,0.4921526988296269,0.4562605738800389,0.4842877310405978,0.4828746544670048,0.4785599510873457,0.5325831882576942,0.4565588963948738,0.4680953694297814,0.4667173845870392,0.470224748534069,0.4858511963215445,0.5258431917502949,0.4760345114904218,0.4940339996224361,0.4649397276785647,0.474396502732412,0.4938059234787076,0.5145136122697839,0.4832480315082449,0.4586882902191757,0.47792797616862,0.4848403702855126,0.535049340660228,0.5076674255428629,0.5141503728125191,0.4865695732263093,0.4724218514650785,0.5039354681867015,0.4658447367636477,0.4371779869667554,0.4657569014761238,0.5060055206494432,0.4851701230793577,0.4916687892874275,0.5317865458808924,0.4650427270427487,0.4913926842262625,0.5025918899448878,0.4640692931756677,0.4794158015043271,0.4717246936812753,0.5004057106035338,0.4696858333751106,0.4539137524842601,0.4954198198555979,0.5061185835382238,0.5181561812951526,0.437812415520788,0.480446954965002,0.492300479018507,0.4432452769310271,0.5021173582355348,0.4858774109719078,0.48198847148482804,0.5018095631764788,0.4857459865162587,0.46166605487957196,0.5105209218531792,0.4826416293207023,0.48130376803775893,0.43616967139178514
NDCGk,0.1861219382857111,0.189745820954027,0.1828363891757267,0.1857555854175927,0.1846002682067465,0.1890001202679301,0.1846332542711057,0.1827510207253854,0.1822715604773539,0.1793240268140479,0.1932051810261532,0.1814530649937753,0.1808275450302527,0.1866997101775859,0.1884952176200577,0.192640604697447,0.1845763413835447,0.1807886518239481,0.1819881963422319,0.1894418270101092,0.1873473982321049,0.1818221990848518,0.1831737979524509,0.1930738633557484,0.1910263918825822,0.190318940882731,0.1883913965228725,0.183279415372073,0.1821704962001721,0.1816042742564397,0.1897577934819134,0.1918983749277295,0.1816733759864068,0.1847581254854252,0.1791662033358614,0.1858036283902824,0.1891840215660807,0.1876926444456798,0.1872423199712052,0.1859229339925605,0.1911488207214718,0.1880629576458502,0.1801154574031148,0.1872236339175343,0.1912864871247206,0.182482183058981,0.1814549571530529,0.1823043261011634,0.1840839450906546,0.1908981551110883,0.1912750522004205,0.1846108739231862,0.1859269257592721,0.1819377905996672,0.1877977143466957,0.1872706065864804,0.1861300021957954,0.1828778183945768,0.1824121236210159,0.1889663732423268,0.1908482403428894,0.1887533382732939,0.1886817273638729,0.1852028408670147,0.1861797650361069,0.1871593222893845,0.1861074419241684,0.1883012373635771,0.1829412685984482,0.1898449976861987,0.1874615117809206,0.1889675223971694,0.1807008932891651,0.1842562198704343,0.1881389765017153,0.1856321761724012,0.1908246107245524,0.1843118627071167,0.193226584678483,0.1835782170917816,0.1868330791792614,0.1850429893491229,0.1907457389401272,0.1838651565621746,0.1871716390535433,0.1794078912027962,0.1823863939676509,0.1863947618810896,0.1889499064855113,0.1839031561959778,0.1863290551537664,0.18817493973115318,0.18320208499226665,0.19084088626244977,0.18724732293953256,0.18662341524994366,0.1893523838131157,0.18713768122284832,0.1855970310895715,0.18833767668721133
global AUC,0.5827022142624875,0.5516048613685011,0.5573158148004284,0.5203516710995405,0.5873697621666819,0.5872605688377042,0.5605220945567736,0.5634924707036623,0.5559678524233538,0.5346944711800604,0.5717006852422365,0.516802960915923,0.5154566052455839,0.5663417568808381,0.554996559984476,0.5582544256751527,0.5698895962378391,0.5542505873434287,0.5740202421064041,0.5442872620851409,0.525654718696185,0.5303840233362556,0.5639608900274998,0.6190094070491753,0.5720644567200951,0.5526096924926456,0.5691236823525498,0.521545111039289,0.5335471159963324,0.5582790694885508,0.5505482234405624,0.5862224886888413,0.5828220409537582,0.615672781100374,0.5272724828738861,0.6134795381113485,0.5863171699979935,0.5731653895179911,0.5555350291917344,0.5629115961409782,0.5421493619198511,0.556985610209546,0.530176224179869,0.5703747644778384,0.6203648281194764,0.5313473238851019,0.5183349389199075,0.5447978487630618,0.5596226548021811,0.5694577511047592,0.6262134936613692,0.5486423155448414,0.5605330360293311,0.5242300392352988,0.5750913103482813,0.571942282697757,0.5925544479795418,0.5568020837636894,0.514969022464836,0.5481552699144097,0.5703796454821093,0.6412222623503556,0.5804767746732835,0.6183815136476833,0.5766154822772352,0.5542868397184177,0.5688151390466175,0.5368175580680115,0.5363725303489599,0.5400697844710713,0.5585186693669144,0.5641963650764,0.5610343464533879,0.5857705897682485,0.5461544287391232,0.5485807651822224,0.5906438050958775,0.5335134863803205,0.5628248271245095,0.5490451914602851,0.577938618979421,0.5487432460365232,0.5497391398544516,0.5785316748356082,0.567244891586501,0.6017350967308749,0.4830529341473611,0.5501790071878119,0.5466532758624667,0.534659539804769,0.5913427989603586,0.5471236967169718,0.5500215915713786,0.5736495090233938,0.5578079277772671,0.5414564917798277,0.5651057703135496,0.5588482000160117,0.555100757920941,0.494798295641551
global NDCG,0.5340383708036603,0.5353653906982179,0.4960755847537557,0.5030626651364197,0.5460176330715095,0.5345005660192056,0.5213532515699525,0.5223939084353774,0.5181876982458867,0.5271162194251362,0.5194682115906436,0.5099962689222881,0.5053885705684363,0.5342113779619548,0.5298374498827413,0.5222136606171701,0.5428486047098471,0.5313747594057748,0.5260297754553295,0.5412009904400334,0.516029021964682,0.5269631593119719,0.5611280370315764,0.5291506483021231,0.5191098556524545,0.5333276035407134,0.5297571292258024,0.5048710227121834,0.5107826659519632,0.551366819838768,0.5361093378646432,0.5431051713226002,0.5179537076332706,0.538294696962373,0.5220976538759182,0.5324478869473229,0.5301953144938145,0.5291333504323319,0.5197488597070732,0.5438972708908842,0.5360169046620111,0.5428546403575935,0.5487692668558612,0.5220510496660813,0.5421179913613955,0.5168912737643819,0.5012996479494799,0.5053140120803165,0.5404581742050707,0.5458233576512942,0.5587637631527378,0.5270200586734075,0.5307218212332203,0.4880594494322489,0.5303945725934852,0.545456860179775,0.5464457318069458,0.5209293046344938,0.4988256808482152,0.5465826846016628,0.5306296502985975,0.5434901303802784,0.5594942374806147,0.5647311198910624,0.5366037186827303,0.5344666775141134,0.530365982179458,0.5171286293732184,0.5125741619000839,0.5209650010782589,0.5274785080103194,0.5279859063003145,0.5282547671583326,0.5257200777644255,0.5416454209207945,0.5219065227080799,0.5350889179381967,0.5034417270186338,0.523445611027696,0.5177497815797433,0.5287232976674212,0.5187914257377471,0.515020334221644,0.5305265550733542,0.5350504345633896,0.5486103656754483,0.5002201828501317,0.5215307705829877,0.5297113963315975,0.5095258167998715,0.5326289107050735,0.5262339552796714,0.5084917795058297,0.5583779491588503,0.5469312208230344,0.5457700090480821,0.5258436611038875,0.5396739634893075,0.5350719008607967,0.49974899290954283
prediction time (sec),1.0055394172668457,0.9998779296875,0.9733412265777588,0.9749906063079834,0.9668209552764891,0.8189589977264404,0.9955658912658693,0.9149935245513916,1.0312445163726809,0.9900720119476318,0.9854822158813475,0.987269163131714,0.9991192817687988,1.0070571899414062,0.9682464599609376,0.9212501049041748,2.5187270641326904,1.5081641674041748,1.0836000442504885,1.093806505203247,4.5516517162323,1.0136189460754397,0.9181454181671144,1.0529601573944092,0.974311351776123,2.214587688446045,1.0190269947052002,1.143474817276001,1.6990694999694824,0.9953045845031738,1.0662376880645752,1.1057889461517334,0.9908270835876464,0.987767219543457,1.0404369831085205,1.0495307445526123,1.0279366970062256,0.988389015197754,0.982668399810791,0.9979181289672852,0.913316011428833,2.5026817321777344,1.149430751800537,1.1117510795593262,1.1479334831237793,1.142953634262085,1.0816709995269775,2.2372469902038574,1.116403102874756,1.1107065677642822,1.6976690292358398,1.0834722518920898,1.068591594696045,1.0518043041229248,0.8670272827148438,0.9422423839569092,0.9387862682342528,0.7552647590637207,0.9324350357055664,0.9127922058105468,0.9121479988098145,0.9456980228424072,0.7641303539276123,0.938779592514038,0.923983097076416,0.9121947288513184,0.9819154739379884,0.9937615394592284,0.9317257404327391,0.9354522228240968,0.9286844730377196,0.8566267490386963,1.0492165088653564,1.6063990592956543,2.2990353107452397,0.9587771892547609,0.921436071395874,0.9642910957336426,0.9366323947906494,2.4393739700317383,1.1068074703216553,1.3331069946289062,1.1010613441467283,1.1102757453918457,1.1035122871398926,1.1391384601593018,2.139195680618286,2.278280258178711,1.0946605205535889,1.1214051246643066,1.006505250930786,1.145653486251831,1.1846201419830322,0.9997498989105225,1.7937800884246826,0.9118826389312744,0.9374842643737793,1.0419566631317139,1.1472573280334473,1.6775298118591309
