,1_FastaiCollabWrapper,2_FastaiCollabWrapper,3_FastaiCollabWrapper,4_FastaiCollabWrapper,5_FastaiCollabWrapper,6_FastaiCollabWrapper,7_FastaiCollabWrapper,8_FastaiCollabWrapper,9_FastaiCollabWrapper,10_FastaiCollabWrapper,11_FastaiCollabWrapper,12_FastaiCollabWrapper,13_FastaiCollabWrapper,14_FastaiCollabWrapper,15_FastaiCollabWrapper,16_FastaiCollabWrapper,17_FastaiCollabWrapper,18_FastaiCollabWrapper,19_FastaiCollabWrapper,20_FastaiCollabWrapper,21_FastaiCollabWrapper,22_FastaiCollabWrapper,23_FastaiCollabWrapper,24_FastaiCollabWrapper,25_FastaiCollabWrapper,26_FastaiCollabWrapper,27_FastaiCollabWrapper,28_FastaiCollabWrapper,29_FastaiCollabWrapper,30_FastaiCollabWrapper,31_FastaiCollabWrapper,32_FastaiCollabWrapper,33_FastaiCollabWrapper,34_FastaiCollabWrapper,35_FastaiCollabWrapper,36_FastaiCollabWrapper,37_FastaiCollabWrapper,38_FastaiCollabWrapper,39_FastaiCollabWrapper,40_FastaiCollabWrapper,41_FastaiCollabWrapper,42_FastaiCollabWrapper,43_FastaiCollabWrapper,44_FastaiCollabWrapper,45_FastaiCollabWrapper,46_FastaiCollabWrapper,47_FastaiCollabWrapper,48_FastaiCollabWrapper,49_FastaiCollabWrapper,50_FastaiCollabWrapper,51_FastaiCollabWrapper,52_FastaiCollabWrapper,53_FastaiCollabWrapper,54_FastaiCollabWrapper,55_FastaiCollabWrapper,56_FastaiCollabWrapper,57_FastaiCollabWrapper,58_FastaiCollabWrapper,59_FastaiCollabWrapper,60_FastaiCollabWrapper,61_FastaiCollabWrapper,62_FastaiCollabWrapper,63_FastaiCollabWrapper,64_FastaiCollabWrapper,65_FastaiCollabWrapper,66_FastaiCollabWrapper,67_FastaiCollabWrapper,68_FastaiCollabWrapper,69_FastaiCollabWrapper,70_FastaiCollabWrapper,71_FastaiCollabWrapper,72_FastaiCollabWrapper,73_FastaiCollabWrapper,74_FastaiCollabWrapper,75_FastaiCollabWrapper,76_FastaiCollabWrapper,77_FastaiCollabWrapper,78_FastaiCollabWrapper,79_FastaiCollabWrapper,80_FastaiCollabWrapper,81_FastaiCollabWrapper,82_FastaiCollabWrapper,83_FastaiCollabWrapper,84_FastaiCollabWrapper,85_FastaiCollabWrapper,86_FastaiCollabWrapper,87_FastaiCollabWrapper,88_FastaiCollabWrapper,89_FastaiCollabWrapper,90_FastaiCollabWrapper,91_FastaiCollabWrapper,92_FastaiCollabWrapper,93_FastaiCollabWrapper,94_FastaiCollabWrapper,95_FastaiCollabWrapper,96_FastaiCollabWrapper,97_FastaiCollabWrapper,98_FastaiCollabWrapper,99_FastaiCollabWrapper,100_FastaiCollabWrapper
ACC,0.9601731601731601,0.974025974025974,0.9783549783549783,0.974025974025974,0.9653679653679653,0.9679653679653679,0.9549783549783549,0.9636363636363636,0.9748917748917749,0.9670995670995671,0.9688311688311688,0.9809523809523809,0.9567099567099567,0.9696969696969697,0.9679653679653679,0.9705627705627705,0.9679653679653679,0.9584415584415584,0.9696969696969697,0.9679653679653679,0.9636363636363636,0.9670995670995671,0.9714285714285714,0.9601731601731601,0.9714285714285714,0.974025974025974,0.9757575757575757,0.9627705627705627,0.9670995670995671,0.9679653679653679,0.9757575757575757,0.9748917748917749,0.9766233766233766,0.9575757575757575,0.9593073593073593,0.9567099567099567,0.9532467532467532,0.9567099567099567,0.9783549783549783,0.9792207792207792,0.9766233766233766,0.9722943722943723,0.9662337662337662,0.9792207792207792,0.9783549783549783,0.9627705627705627,0.9757575757575757,0.9757575757575757,0.9593073593073593,0.9757575757575757,0.9809523809523809,0.9705627705627705,0.9558441558441558,0.9809523809523809,0.9766233766233766,0.9696969696969697,0.9593073593073593,0.9748917748917749,0.9757575757575757,0.9748917748917749,0.9584415584415584,0.9575757575757575,0.9722943722943723,0.9731601731601731,0.9766233766233766,0.9722943722943723,0.9757575757575757,0.9653679653679653,0.9645021645021645,0.9774891774891775,0.9705627705627705,0.974025974025974,0.9567099567099567,0.961038961038961,0.9575757575757575,0.9800865800865801,0.9662337662337662,0.9567099567099567,0.9679653679653679,0.9731601731601731,0.9792207792207792,0.974025974025974,0.9670995670995671,0.9696969696969697,0.9619047619047619,0.9627705627705627,0.9653679653679653,0.9792207792207792,0.9567099567099567,0.9731601731601731,0.9593073593073593,0.9783549783549783,0.9679653679653679,0.9766233766233766,0.9722943722943723,0.9541125541125541,0.9731601731601731,0.9679653679653679,0.9679653679653679,0.9705627705627705
AUC,0.5003788001935118,0.4998326401948538,0.5015246100399258,0.5017749775911066,0.5001985765136824,0.4982168977013943,0.5020668021142439,0.5005317517429225,0.49948810811144356,0.498992710242293,0.5009078798414641,0.5021304892182642,0.4985176070333291,0.5006544964019353,0.5054720849485345,0.5013099493492578,0.5021104478324031,0.4986315928564048,0.4990375130999277,0.4985459283593316,0.501166348750422,0.4999740592885122,0.4993620402567348,0.5002820144896639,0.5001377604692538,0.5016718434492043,0.5000164279316095,0.5000029443286342,0.5001900741433016,0.5015971993933256,0.5000600365216425,0.5006505930475097,0.5005069161190072,0.49993128043419255,0.49873474251563005,0.5022188793774227,0.5010676051824889,0.5006330131188147,0.49945377895643756,0.5010164938795121,0.5030841889158486,0.5005860305541185,0.5026063166935475,0.500081141718283,0.5008741619446256,0.5020562250957634,0.4992081309064967,0.5005997120481231,0.5013960857670461,0.5028347841469984,0.5001355372910085,0.5010979269189678,0.5006336362041675,0.5017415533931373,0.5030264579658494,0.4999075446116761,0.4999302088645978,0.5018378829685003,0.5007135399116123,0.4987548312530121,0.5001017155101023,0.4996723533669222,0.4994729529409552,0.49915278931946244,0.5017957023849533,0.499771419053238,0.500123491607444,0.501185393158134,0.5010745832060379,0.49991350618722136,0.5004036318468132,0.500445379144102,0.5026360726520673,0.5038099203315161,0.5016828480045319,0.501506066149886,0.5001088903692752,0.5004948106469289,0.49938230111707155,0.5008407344187076,0.5000371378855537,0.4988696544039436,0.5015100820872742,0.5023508971854538,0.4995364469734299,0.5008559058642288,0.5003595499039184,0.5007734835599129,0.5002313093312033,0.5003593843939829,0.5018864640813161,0.4997440185549356,0.5014122133979685,0.5012873216926276,0.5010821114645776,0.49985558002137864,0.5006641217919678,0.499904346012344,0.5015935092429427,0.49743824922488283
Fscore,0.0001770916899419296,0.00016797969254055494,0.00017442030386549402,0.00018598942305986222,0.0001899500143818431,0.0001695563523529875,0.00017544709645509843,0.00017519492988355922,0.00017426965567666217,0.00017453988109183882,0.0002007443899096997,0.00016863041372043412,0.00018618921357175066,0.00018391288071509227,0.00018530259217753328,0.00019025534769386753,0.00018417716319710716,0.00016716381674013994,0.00018183294531953648,0.0001654147589822692,0.000173655342762593,0.00017991960124668122,0.0001807919978817591,0.0001748742246419966,0.0001612811558164945,0.00017683908281787675,0.0002002718715639496,0.00016954507368537394,0.00016510601092452698,0.00018428563520240585,0.00018620231524633335,0.0001817404021150683,0.00017421003473121533,0.00017660817540897798,0.00017421395217478964,0.00017311378602224306,0.00017707120832551238,0.00016589033516228576,0.00017484721117111694,0.00017441937676454934,0.00016783499518480434,0.00016688741203153685,0.0001708800035885776,0.0001738724080013531,0.0001818360403566068,0.0001718869611586792,0.00016127563644590488,0.00018337906760094335,0.00017310311606493322,0.00017354826976757046,0.00017226390630102804,0.00019896322749397166,0.00018844290246138024,0.0001905150434434642,0.00017724900044845972,0.00017700359466416924,0.00019509121654504578,0.00017320691997646938,0.00017845316773326333,0.0001665700265381267,0.00020102400133158787,0.00018816534040504311,0.00018855256232047678,0.0001806108133262444,0.00017164975363536487,0.00016348466563371084,0.00018164891289772195,0.00017316087991362805,0.00017915943122459894,0.0001780385649658023,0.00017234246713233284,0.0001829032550100241,0.00016718043993160664,0.0001848239991624113,0.00017719271464974518,0.0001874211135065276,0.00017512227750654985,0.00016418719897953355,0.00016319216982485063,0.00016669092609337738,0.0001771708876356156,0.00017443492657909652,0.00016279591561969492,0.000170378988455502,0.0001799672056229735,0.00017936306756878657,0.00016704904872916136,0.00020010930154352622,0.00018719574795268218,0.000194096548124142,0.00017963290582775877,0.0001953747813485303,0.00018386946924952414,0.00019510867382870485,0.00018653367785052645,0.00019054936687781953,0.0001633870156147862,0.00018267080749707082,0.00016537906410146652,0.00018838312668947808
HR@10,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.44745337401381774,0.4486760295708475,0.4333421512794014,0.4571802847229726,0.5425598552594578,0.462818731878609,0.5418262408526314,0.43431307554404547,0.4288392156538697,0.45223958228321354,0.4765118539485772,0.5017954753286044,0.39442830384827765,0.39487373408456117,0.44708107603885455,0.43740574827121304,0.4267557841007597,0.4622251136921436,0.4039525337134005,0.45471953087239897,0.5043590108635624,0.46458575228149224,0.46751936255678617,0.48028024636474637,0.4303241904898551,0.481217609303272,0.46357694631310215,0.5662559661142439,0.4534329750568985,0.4562099863708875,0.5629851702066696,0.46852297079761956,0.4283844433419655,0.45820567088889275,0.4646739226260184,0.38197991445575874,0.5272459074569172,0.4523760636029096,0.4434473072582719,0.4696884608892353,0.47028726884794486,0.5508088657866246,0.44240875434765387,0.5523990820442123,0.47836167602463003,0.5189295820400636,0.4623800070718776,0.42751841119458844,0.48614357997116636,0.46823543883518826,0.5508956127244322,0.46345064976611744,0.45314950668154613,0.4265211717497676,0.4612984399848138,0.5718555952463099,0.5138699569492526,0.453320470674625,0.5603699094684547,0.5604075272968666,0.41466916016658334,0.5460398875786818,0.4544684926735843,0.4476651777454291,0.5270546731563456,0.4440808121593995,0.5596101393566802,0.5571198495673865,0.4906789520578689,0.5257722067682539,0.4202579557628288,0.5689951879598495,0.4718379507207905,0.5211632996867227,0.5878963604875602,0.42658104578544875,0.47789701915399074,0.5448767569701547,0.4542588089940994,0.4291167427983993,0.4746036353727931,0.42980815969616026,0.44949435344026906,0.5268104460116122,0.3884207760478705,0.43337647153934544,0.504335673476427,0.47474713538600566,0.525007098369953,0.4888283138450899,0.4655784806931654,0.5445209618749411,0.42990765758943095,0.5621746005661994,0.4404934340044673,0.4289559336422397,0.4140105397585123,0.49354060409386197,0.4987572111775464,0.5434781296663778
NDCGk,0.1704542899782528,0.17529366346409428,0.16890268691599813,0.17280235367535543,0.17103027385814087,0.17767397856224768,0.17383706952316685,0.17154054285706938,0.1727978594895203,0.17463727687429748,0.1787444055761367,0.17000999897515076,0.17399445463274035,0.17330328327598035,0.17097126446687044,0.17518707234987582,0.1743774299749161,0.16979772445589378,0.16983951375771617,0.17343838870616343,0.1751259679178137,0.17287187393844677,0.1723961362860605,0.17756543993822899,0.17711504068496178,0.1715911528061564,0.17443489512061036,0.17944887808401191,0.17880958620161122,0.1726937965679423,0.17028334800073328,0.16976648388857637,0.17390977194721746,0.1778476219380585,0.1693012382406586,0.1766243788101265,0.1729613536261172,0.1729429198097764,0.17310372297559956,0.16930152409785845,0.1720223778215212,0.17666347342554295,0.1699214981564871,0.17826087481009795,0.1798473090370782,0.1713914510221911,0.1692852743350875,0.1738521189312313,0.1764317951597695,0.17908651546718574,0.1768174862665728,0.17209799835708878,0.17361165714764443,0.17341731886408038,0.17682210365652226,0.17366401855517052,0.17187440715246632,0.17754959374697102,0.17263471985247164,0.17540420201361692,0.17668785127441092,0.1752454653684033,0.17641296803554657,0.1729265545137277,0.17305337692661327,0.17235494516940383,0.17329154091570312,0.17041458874179216,0.17451943772967962,0.16943816350486018,0.17311404977361874,0.17548429399668267,0.17533445000009495,0.17769391288841757,0.17328556651016225,0.17735821848910283,0.17491518165156608,0.1668983117229986,0.1820267286787655,0.17267507521155653,0.17705442172251326,0.175573408327015,0.1696815292189967,0.17881866208320715,0.17424071328674093,0.1697465067988884,0.18290084808467078,0.17729020065864906,0.166804962554704,0.17367149155257433,0.17387861198722662,0.17541547316984832,0.1725310126336184,0.1819954747275,0.17042506310450695,0.17980204769941124,0.1707111423895748,0.17786772293414815,0.17217990135882305,0.1716564004814915
global AUC,0.8721669319801784,0.8778844785500634,0.8839439263039255,0.8960337917099496,0.9020191343327149,0.882630625409147,0.8874302619497332,0.8790504294665693,0.8759984694642369,0.8833057669530655,0.8887244776671123,0.899748005338557,0.8550993283314834,0.8681467255871542,0.8863560746515062,0.8739762218736545,0.878819236860425,0.8780579717765464,0.8685343530755183,0.8835272152096827,0.8963026188384122,0.8830696058382812,0.8886644913133136,0.8828559992382901,0.8790127019049658,0.8913448466153172,0.8938294678212235,0.9038236884475455,0.8852257936260841,0.8841713390903039,0.9136284874164698,0.8913544320337157,0.8969128919699915,0.8684267366701623,0.8866214092486452,0.8626707242864492,0.8888344395585642,0.8676701897059149,0.8882953818053507,0.9007635873760449,0.9022226826744313,0.9108154567770916,0.8791432976957293,0.9184898609253788,0.8980761065299806,0.8887482804370078,0.8883376168962503,0.8792756849539596,0.8889047074122067,0.8987146883793471,0.9139161374727908,0.8900737726408495,0.8798280749994152,0.8795813166310685,0.8929670171124413,0.9109860014753184,0.8928481089534825,0.8943174580771375,0.9108988405341586,0.9150387571216732,0.8738234402988593,0.8953659586258518,0.8887812550880858,0.8931992218173168,0.9038567906652341,0.8837770799831449,0.914441288884013,0.9020700128522041,0.8877624306447157,0.9068449109587031,0.87473459035205,0.914705362574816,0.8803705804774985,0.8964702669311564,0.9059713108227024,0.8821124840994743,0.8835042959176379,0.8987823411174664,0.8821080155781498,0.8918469103149401,0.8959236571818652,0.8768874237178353,0.8887107241942005,0.8986823352201464,0.8543051012477607,0.8832274869147034,0.892617023619261,0.9006230735448528,0.8843235574216126,0.8958191297861781,0.8883857076635838,0.912210014703765,0.878676302953569,0.9224677655449569,0.87841254343508,0.8635273954897694,0.8717777713203767,0.8964980811965431,0.8950120806766564,0.9054322079994677
global NDCG,0.48523151256162184,0.4841118889959799,0.48608121773821195,0.4943866513003355,0.5014621255012633,0.4854747890972279,0.49856978324106804,0.48610546057232773,0.48089174084499314,0.49080455782522125,0.49166982550486094,0.4958340988888181,0.47728775136192175,0.4870003962221498,0.48903428055399245,0.4806194324364702,0.4860364426391112,0.49045353003850456,0.4808193415172361,0.48917071672748824,0.4971063274299036,0.4863594037571801,0.48495613687900463,0.49348925214064837,0.48104568048439966,0.490310914812642,0.4878081063660847,0.5020772663870932,0.4900087289848842,0.493258675855492,0.501334329107034,0.4863952399718939,0.4986261014760425,0.48549766354702373,0.4938221684816781,0.4844992216294207,0.5002784328119034,0.48269790911192756,0.4830666367975113,0.49082964605290724,0.49553813084581494,0.5043687776104023,0.4865988247403748,0.5069018483124041,0.4924867473515837,0.4896742034208144,0.49276364687772345,0.48258033459491423,0.4928911506913434,0.4925939623513793,0.49757535865799407,0.4921611284631142,0.49143984149549264,0.4794831582717001,0.49070602517726025,0.5111755614312588,0.4974404863385433,0.49182306203962983,0.5014910995290625,0.5091590974880427,0.48558331964702806,0.4988788191399274,0.4863918439036374,0.4892068425766396,0.5007004573163246,0.48418510740541476,0.5073821460543263,0.5031611773139716,0.49397364617081474,0.49868296845525284,0.48198720970806874,0.5042867420285041,0.4909612955794814,0.49528058643336464,0.5052281352151453,0.48361227106248067,0.4901342068196399,0.5062312571560158,0.49010469824705866,0.49061011933383286,0.49107377431176596,0.48377141989569383,0.490147751386421,0.49719797465628585,0.4752352172145439,0.48686356199670944,0.4906395855740063,0.4945465968116455,0.49307103076852743,0.49541102513173524,0.4928821613080367,0.49969479862364224,0.4815803669197635,0.5070048442093765,0.48360792246354717,0.4836672905718336,0.4806812896677563,0.49510837981456385,0.4917141260156007,0.49822349454367726
