,1_HAN,2_HAN,3_HAN,4_HAN,5_HAN,6_HAN,7_HAN,8_HAN,9_HAN,10_HAN,11_HAN,12_HAN,13_HAN,14_HAN,15_HAN,16_HAN,17_HAN,18_HAN,19_HAN,20_HAN,21_HAN,22_HAN,23_HAN,24_HAN,25_HAN,26_HAN,27_HAN,28_HAN,29_HAN,30_HAN,31_HAN,32_HAN,33_HAN,34_HAN,35_HAN,36_HAN,37_HAN,38_HAN,39_HAN,40_HAN,41_HAN,42_HAN,43_HAN,44_HAN,45_HAN,46_HAN,47_HAN,48_HAN,49_HAN,50_HAN,51_HAN,52_HAN,53_HAN,54_HAN,55_HAN,56_HAN,57_HAN,58_HAN,59_HAN,60_HAN,61_HAN,62_HAN,63_HAN,64_HAN,65_HAN,66_HAN,67_HAN,68_HAN,69_HAN,70_HAN,71_HAN,72_HAN,73_HAN,74_HAN,75_HAN,76_HAN,77_HAN,78_HAN,79_HAN,80_HAN,81_HAN,82_HAN,83_HAN,84_HAN,85_HAN,86_HAN,87_HAN,88_HAN,89_HAN,90_HAN,91_HAN,92_HAN,93_HAN,94_HAN,95_HAN,96_HAN,97_HAN,98_HAN,99_HAN,100_HAN
ACC,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.00017755903431791354,0.00016819692988457856,0.00017414746278583478,0.00018573184185688923,0.00019093135675763887,0.0001703092220000952,0.00017297791185066067,0.0001760998140172574,0.00017424155568570687,0.0001726758181098377,0.00020079080385499538,0.0001678725980632524,0.00018784736684794492,0.00018381661708668202,0.0001867024617547811,0.00018975952491790207,0.0001794835526522795,0.00016966607988542148,0.00018358103491859283,0.00016641643602037878,0.00017609340213393558,0.00018063654460449783,0.00018073420442198343,0.00017736454394318125,0.00016157104062494888,0.00017547390268948568,0.00020027117613108386,0.00017241464192661827,0.0001656897817027426,0.00018483786520137797,0.00018672701007280593,0.0001817677349411535,0.00017417447782506332,0.00018029723410488988,0.00017697067597272054,0.00017303786846099915,0.00017945946494839576,0.00016853646442891303,0.00017456004990317676,0.0001742713210227415,0.0001675781163044392,0.00016723190665618933,0.00017186576339590118,0.00017374268764346155,0.00018181475749780009,0.00017356090517162386,0.00016114806539287342,0.00018310694932794928,0.00017379806212299253,0.00017273262926525707,0.00017222794950667546,0.0001989419882239824,0.00019063659966890784,0.0001901169667207376,0.00017588664646782598,0.00017910274592296786,0.00019670493819797205,0.00017288757639152851,0.000178040138137541,0.00016645993850053942,0.0002019644240026389,0.00018595040767035808,0.00018866711656062595,0.00018076508507854783,0.00017141733740604686,0.00016377917039673464,0.00018259457577366833,0.00017419627020657423,0.00018044834652615265,0.00017801179837178044,0.00017272425159900077,0.00018293600316847522,0.00016868719066993282,0.00018448319839106114,0.00017866273529289068,0.00017955221896328772,0.00017780168716328897,0.00016807607209748263,0.00016346079053083414,0.00016684002879444396,0.00017714592476503514,0.00017469141873791965,0.0001630812994636051,0.00017155535304012767,0.00018075079350555928,0.00017955231210741785,0.0001684680441755264,0.00020006181799312817,0.00019051986535582874,0.00019409435926411538,0.00018040637012489973,0.00019532608479249356,0.00018313341097421043,0.00019485195629616192,0.00018679989096252348,0.00019383006334482302,0.00016337809713470227,0.00018430495271364012,0.0001655244221216278,0.00018874943499253653
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.6898394929444185,0.6548738455257822,0.6538739214810143,0.6496844335266877,0.6572604000997875,0.6702324613083323,0.6396474874210252,0.6519566111475305,0.6618747985480443,0.6746515584562682,0.6823798296025131,0.6875817858322456,0.6839605080996639,0.6407243422899712,0.6601723051055343,0.6365748419686402,0.6763461637639555,0.6494766226475143,0.6687468017722992,0.6240061545814515,0.6431899471438429,0.6928351554750815,0.6372039905980664,0.6505116350627761,0.646581484930933,0.6813393667758437,0.6697144111653082,0.686821124660227,0.6658527251857713,0.6681653922905232,0.6817563816251533,0.6570262659484056,0.682554626056766,0.6535667001594433,0.6672819722651643,0.6627607103345617,0.6594613717572806,0.6788735922427589,0.6661009255695373,0.6682568806967438,0.6752845529365014,0.6498753741213263,0.6318754943796171,0.6437043007292916,0.634778702267129,0.6677720952357437,0.6530964121509757,0.6545185256540151,0.6235921766933573,0.6663508791194666,0.6398099120278554,0.665581729729196,0.6697479619790621,0.6449559260803155,0.6782394382701004,0.6779915200178409,0.6682453954511556,0.6606788867082637,0.6489511378832138,0.6627161251661268,0.671371668443028,0.6808483519158183,0.6548112926839161,0.6313120596199201,0.6512566413034834,0.6715363946201821,0.6505818193193371,0.6521814048179642,0.6405369316736402,0.66611024443038,0.6877478947899057,0.6744428222635149,0.6381912361392784,0.6661119193133289,0.6788933431461951,0.6599724978463147,0.6346891569809197,0.6687980907590381,0.6477139087625493,0.6853659155876334,0.6837900252994884,0.6661870586050945,0.6395024776587361,0.6690365646176789,0.6625300252323948,0.6579597844781134,0.6632759572901045,0.6827347960210239,0.6774256403948927,0.677608241340758,0.6514126193202675,0.6463357745402423,0.691098983545405,0.6553502428594198,0.6398016979230605,0.6696400920248547,0.6677824911310449,0.6543998055490381,0.6548687303558683,0.6875460951743315
NDCGk,0.1695655332255303,0.17753159507084487,0.1688532188199136,0.17172520883756393,0.1709641081542584,0.17785824184753307,0.17249169183631627,0.17172169349105412,0.17247536741315872,0.17382875101130424,0.18025020884052081,0.1691428360172378,0.17412429141870617,0.17163518314015871,0.16982568786837937,0.17701245702135596,0.17444097509868836,0.1687944326482695,0.16954299845125057,0.17528990372250577,0.17549364761470848,0.17289926485560517,0.17387986371457756,0.17898605346995805,0.17794139345678453,0.17157753357080996,0.17440657079843086,0.17944887808401191,0.1784048573465359,0.17217605208005263,0.1700119577415077,0.1707927933150007,0.174000188406928,0.17784468381260043,0.17102112983259637,0.17491511561871692,0.17278963534311245,0.17285786750953172,0.1734810692539139,0.16927849884780605,0.17121945527972077,0.17565513740540784,0.17004185224859195,0.1780685047548311,0.1798750318708609,0.1713397027820662,0.169952977781888,0.1733915748468032,0.17589365476056712,0.1788704789454292,0.17673854864289126,0.17181130743981887,0.1734769658282812,0.17171970535807948,0.1744452644151875,0.17339897238444496,0.1725853931637633,0.1763755678153484,0.17254422090791166,0.17435706397044312,0.17693953653654035,0.17526973783416222,0.17637081816973368,0.17271468520256783,0.17251473835359296,0.1724801829511781,0.17336476186175498,0.17020572477456458,0.17444807237159612,0.17013900695358775,0.17344120250519693,0.17445662569916273,0.1748355980842,0.17874930374909395,0.1752198543616761,0.17566793083264487,0.17451887369559568,0.16699842007225743,0.18189873286430164,0.17285352980785146,0.1770713684077177,0.17589524575641222,0.16929756627746634,0.17855867921451601,0.17382601739332462,0.16924212452961326,0.18286756081426497,0.17763617526338346,0.16692877778916348,0.172309782061942,0.17185696986465895,0.17507484740254514,0.17232718101556174,0.18182165135261738,0.17082691282352142,0.1791622037268356,0.1721111223854839,0.177792721886215,0.17200174469903193,0.1713600471155013
global AUC,0.9282443944325344,0.9238858297282257,0.9256662937847188,0.9253671405937578,0.9234131327058451,0.9344751022064871,0.9217905805631579,0.9235710662321757,0.9239817835406784,0.9334073538593018,0.9317354547871579,0.9333360789147085,0.9344734812671133,0.9235189679228617,0.9303364660292949,0.917953619653165,0.9292557667718631,0.9244130148253354,0.9278135044676317,0.9141839298357283,0.9197976137268525,0.9353911459151834,0.9161761046520629,0.9238635493235049,0.9270890410331576,0.9358945464285464,0.9278399608338875,0.9332713296348241,0.9283902499837742,0.9284268631825036,0.931204702569156,0.9276214474000231,0.933261647487198,0.9251505377598156,0.9267940213693839,0.9241171765212862,0.9269412706649178,0.9325864110590237,0.9297387326428526,0.9257843817219978,0.9311134892795616,0.919965064671198,0.9187556327807973,0.9202426707018833,0.926669166866813,0.9288932182466377,0.9223446505870799,0.9261748844668872,0.920779506582101,0.9244327112154836,0.9156588660606593,0.9262084231521538,0.9267588361787079,0.9264268667406632,0.9317532640348805,0.930812420744466,0.9295683089220521,0.9232215192221336,0.9236057403657062,0.9274286396925221,0.9321731526974311,0.9381515184281368,0.9225557356379664,0.9251704861203771,0.9180189790915294,0.9329935159130451,0.9240461764774679,0.9223583703233674,0.92326476983814,0.9245061126216816,0.9336551672878619,0.9316218930924591,0.9278758523851365,0.9317710756547095,0.9308921208838599,0.924953292104806,0.9237137663547675,0.9307554727953988,0.9211258823494528,0.9316950159079385,0.9227451804892929,0.9242138672681273,0.9179720158654383,0.9301330668667142,0.9241360938062653,0.9288294291427108,0.9282816615419284,0.9350113353081118,0.9264886124067095,0.9346923750287042,0.9225639747541986,0.9207910060267975,0.9380890073624253,0.9236901480820365,0.9240706813908581,0.928017913356837,0.9241803517767899,0.925603262964138,0.9228296301128365,0.9322544843188941
global NDCG,0.5148007859990822,0.5100679458530192,0.5111249965811727,0.5088872937760418,0.502911813788099,0.5216461462012287,0.5079019412262243,0.5025652843362773,0.5122895767957591,0.517604537929649,0.5135722979637135,0.5202427813457428,0.5167563177760166,0.5076000558771073,0.5098713956293754,0.5046695756274303,0.5146727348814126,0.5100689398416939,0.513029192591425,0.5077698532325231,0.5025652768480864,0.5194871940142287,0.5011893071080156,0.5049755953295845,0.5089855301112358,0.5208356899188267,0.5117759907352414,0.5181124398436935,0.5167709815695432,0.5087010640622847,0.5161172415160561,0.5090422131787702,0.5208546316008666,0.5084334942494746,0.5074017943968383,0.5099711126782943,0.5085463516154441,0.5200521643206785,0.5153202026221042,0.5101732936197215,0.511206416466639,0.5062173640600702,0.5063505857670729,0.5067824320187161,0.5090293689084752,0.5152201145829819,0.5122119697653902,0.5088430856052706,0.5044594721139983,0.5107801383971668,0.5027882322598872,0.5082347370387326,0.5078287585555727,0.507563885069882,0.5145379113004247,0.5163980335418908,0.516285319990215,0.5087556493101787,0.5097981245549797,0.5093168792614343,0.5134687163965669,0.5165579798011709,0.509299359082572,0.512027726585184,0.5029432485495002,0.5174113653310303,0.5111955387311305,0.504830211161803,0.5116520849198593,0.5093910779882596,0.519381713184397,0.5177282107457755,0.5139168087305984,0.5157181435432668,0.5146188687060818,0.5121789413996051,0.5095559093075025,0.5197684952601331,0.5088008266672678,0.518611992631676,0.5099582806822184,0.5090535917624699,0.5051255570514397,0.5151451911322448,0.5150209658320253,0.5122307269060519,0.5111823105648737,0.5240615669637493,0.5152387926215753,0.5240399918391179,0.5092131273018864,0.5068416555465685,0.5208045531368258,0.5122209164337355,0.5133943273766867,0.5136677800434452,0.5119316162878328,0.5152275958945348,0.508875453816796,0.5175561719994242
