,1_LRSSL,2_LRSSL,3_LRSSL,4_LRSSL,5_LRSSL,6_LRSSL,7_LRSSL,8_LRSSL,9_LRSSL,10_LRSSL,11_LRSSL,12_LRSSL,13_LRSSL,14_LRSSL,15_LRSSL,16_LRSSL,17_LRSSL,18_LRSSL,19_LRSSL,20_LRSSL,21_LRSSL,22_LRSSL,23_LRSSL,24_LRSSL,25_LRSSL,26_LRSSL,27_LRSSL,28_LRSSL,29_LRSSL,30_LRSSL,31_LRSSL,32_LRSSL,33_LRSSL,34_LRSSL,35_LRSSL,36_LRSSL,37_LRSSL,38_LRSSL,39_LRSSL,40_LRSSL,41_LRSSL,42_LRSSL,43_LRSSL,44_LRSSL,45_LRSSL,46_LRSSL,47_LRSSL,48_LRSSL,49_LRSSL,50_LRSSL,51_LRSSL,52_LRSSL,53_LRSSL,54_LRSSL,55_LRSSL,56_LRSSL,57_LRSSL,58_LRSSL,59_LRSSL,60_LRSSL,61_LRSSL,62_LRSSL,63_LRSSL,64_LRSSL,65_LRSSL,66_LRSSL,67_LRSSL,68_LRSSL,69_LRSSL,70_LRSSL,71_LRSSL,72_LRSSL,73_LRSSL,74_LRSSL,75_LRSSL,76_LRSSL,77_LRSSL,78_LRSSL,79_LRSSL,80_LRSSL,81_LRSSL,82_LRSSL,83_LRSSL,84_LRSSL,85_LRSSL,86_LRSSL,87_LRSSL,88_LRSSL,89_LRSSL,90_LRSSL,91_LRSSL,92_LRSSL,93_LRSSL,94_LRSSL,95_LRSSL,96_LRSSL,97_LRSSL,98_LRSSL,99_LRSSL,100_LRSSL
ACC,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.9688311688311688,0.8571428571428571,0.974025974025974,0.9670995670995672,0.9748917748917748,0.9774891774891776,0.9748917748917748,0.974025974025974,0.9463203463203465,0.9627705627705628,0.974025974025974,0.5532467532467532,0.9714285714285714,0.974025974025974,0.9194805194805196,0.5272727272727272,0.4718614718614718,0.5359307359307359,0.5186147186147186,0.5307359307359307,0.5203463203463203,0.4761904761904761,0.4952380952380952,0.5324675324675324,0.5151515151515151,0.5212121212121212,0.5316017316017316,0.9714285714285714,0.8077922077922078,0.9766233766233766,0.9757575757575756,0.974025974025974,0.974025974025974,0.6268398268398269,0.974025974025974,0.974025974025974,0.974025974025974,0.9445887445887444,0.974025974025974,0.974025974025974,0.974025974025974,0.9636363636363636,0.9307359307359307,0.7818181818181819,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.9186147186147188,0.974025974025974,0.974025974025974,0.974025974025974,0.6398268398268399,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.5298701298701298,0.6727272727272727,0.4883116883116883,0.5982683982683983,0.6502164502164502,0.9662337662337662,0.6519480519480519,0.5922077922077922,0.5636363636363636,0.7125541125541126,0.6406926406926406,0.5125541125541125,0.4952380952380952,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0001775590343179,0.0001681969298845,0.0001741474627858,0.0001857318418568,0.0001904787431506,0.0001556259225719,0.0001729779118506,0.0001754774041299,0.0001737324003875,0.0001724758308097,0.0002007908038549,0.0001678725980632,0.0001830695144146,0.000182491426098,0.0001867024617547,0.0001117934925348,0.0001793251147705,0.0001696660798854,0.0001772592469137,9.37621188783878e-05,4.417471845324128e-05,4.972438914751494e-05,4.457364999304022e-05,5.183719489747892e-05,4.88742857525168e-05,4.606892929679302e-05,4.371129986822717e-05,5.459113537878496e-05,4.773156493719525e-05,4.710368952161767e-05,5.140185396618133e-05,0.0001816834553735,0.0001474309591871,0.0001802559099295,0.0001769706759727,0.0001730378684609,0.0001794594649483,0.0001003134163431,0.0001745600499031,0.0001742713210227,0.0001675781163044,0.0001614206889752,0.0001718657633959,0.0001737426876434,0.0001818147574978,0.0001685968997266,0.0001445444788231,0.0001350283464235,0.0001737980621229,0.0001727326292652,0.0001722279495066,0.0001989419882239,0.0001906365996689,0.0001901169667207,0.0001758866464678,0.0001791027459229,0.0001967049381979,0.0001518263119685,0.0001780401381375,0.0001664599385005,0.0002019644240026,0.0001092611428195,0.0001886671165606,0.0001807650850785,0.000171417337406,0.0001637791703967,0.0001825945757736,0.0001741962702065,0.0001804483465261,0.0001780117983717,8.812631423573906e-05,0.0001262770689985,7.725113506725835e-05,0.0001136568552635,0.000114156079364,0.0001789134074226,0.0001173041810191,9.754880460840752e-05,8.670686699502271e-05,0.000125990211729,0.0001183415977731,8.529588666363347e-05,7.480772683749109e-05,0.00017155535304012767,0.00018075079350555928,0.00017955231210741785,0.0001684680441755264,0.00020006181799312817,0.00019051986535582874,0.00019409435926411538,0.00018040637012489973,0.00019532608479249356,0.00018313341097421043,0.00019485195629616192,0.00018679989096252348,0.00019383006334482302,0.00016337809713470227,0.00018430495271364012,0.0001655244221216278,0.00018874943499253653
HR@10,0.0,0.0,0.0,0.0,0.0,0.0017777777777777,0.0,0.0,0.0008888888888888,0.0,0.0,0.0,0.0008888888888888,0.0,0.0,0.0,0.0,0.0008888888888888,0.0008888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888,0.0008888888888888,0.0,0.0,0.0,0.0008888888888888,0.0,0.0,0.0,0.0008888888888888,0.0,0.0,0.0017777777777777,0.0008888888888888,0.0,0.0,0.0008888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888,0.0,0.0,0.0,0.0008888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0017777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0
Lin's AUC,0.4936315090743569,0.5305765015586875,0.4859776941648759,0.463988763106426,0.7164750393974241,0.6380045613095267,0.7178451349632972,0.6982846732430026,0.7146347194237379,0.712296231066328,0.7368908148116079,0.7357713073556451,0.699488785482677,0.7016024189113801,0.7251839062729206,0.5416171205759309,0.7307628430490587,0.7083330726480642,0.661658037965021,0.523568079615489,0.3029744916030749,0.2698648886219785,0.2687865608451119,0.269979285082529,0.283926044676278,0.3282408963484595,0.2659408392645362,0.2694805889423975,0.286839137849076,0.262200406650878,0.2654561731635244,0.7037797164965438,0.5986945831045214,0.7251822179088646,0.7234681839273605,0.5252146546028743,0.5331939436766072,0.4822440082675156,0.4940064614075301,0.489717923758767,0.4960752201487711,0.489119890044035,0.4706737491309126,0.4624813352487977,0.4562889689698055,0.4824479071901165,0.5155629113639518,0.5153468775565622,0.5261238389574349,0.498873457160818,0.4813105346108416,0.5176831742373517,0.5197256521965978,0.5414338878361488,0.4798048784707195,0.4707321337533684,0.4724772889760981,0.4589864695520549,0.4496873890767908,0.4697322792156788,0.4898148889612712,0.5251757107305473,0.4626448294316881,0.5233936620456244,0.5139075894635027,0.5015149609790146,0.5384204220546481,0.494746582815728,0.5166038151073686,0.5113671852233115,0.490617998404811,0.5199904109379724,0.4937342367662991,0.519034095429548,0.5042746880976574,0.5114272641218147,0.4893381420033202,0.5163820736564578,0.4943751165967002,0.5185764815393233,0.5166095729500793,0.5170922942425151,0.491332009922315,0.49365175365373215,0.5210414705696431,0.523136023955321,0.5130336123663287,0.517150847138883,0.5096825361972233,0.5177585772447589,0.5387288464741187,0.4698098086636874,0.4931915870468651,0.5207143507754368,0.5219904706512435,0.5437191103848885,0.5047801148827747,0.5199399613957603,0.49783345846366367,0.5334921416581402
NDCGk,0.1695655332255303,0.1775315950708448,0.1688532188199136,0.1717252088375639,0.1709641081542584,0.177858241847533,0.1724916918363162,0.1717216934910541,0.1724753674131587,0.1738287510113042,0.1802502088405208,0.1691428360172378,0.1741242914187061,0.1716351831401587,0.1698256878683793,0.1770124570213559,0.1744409750986883,0.1687944326482695,0.1695429984512505,0.1752899037225057,0.1754936476147084,0.1728992648556051,0.1738798637145775,0.178986053469958,0.1779413934567845,0.1715775335708099,0.1744065707984308,0.1794488780840119,0.1784048573465359,0.1721760520800526,0.1700119577415077,0.1707927933150007,0.174000188406928,0.1778446838126004,0.1710211298325963,0.1749151156187169,0.1727896353431124,0.1728578675095317,0.1734810692539139,0.169278498847806,0.1712194552797207,0.1756551374054078,0.1700418522485919,0.1780685047548311,0.1798750318708609,0.1713397027820662,0.169952977781888,0.1733915748468032,0.1758936547605671,0.1788704789454292,0.1767385486428912,0.1718113074398188,0.1734769658282812,0.1717197053580794,0.1744452644151875,0.1733989723844449,0.1725853931637633,0.1763755678153484,0.1725442209079116,0.1743570639704431,0.1769395365365403,0.1752697378341622,0.1763708181697336,0.1727146852025678,0.1725147383535929,0.1724801829511781,0.1733647618617549,0.1702057247745645,0.1744480723715961,0.1701390069535877,0.1734412025051969,0.1744566256991627,0.1748355980842,0.1787493037490939,0.1752198543616761,0.1756679308326448,0.1745188736955956,0.1669984200722574,0.1818987328643016,0.1728535298078514,0.1770713684077177,0.1758952457564122,0.1692975662774663,0.17855867921451601,0.17382601739332462,0.16924212452961326,0.18286756081426497,0.17763617526338346,0.16692877778916348,0.172309782061942,0.17185696986465895,0.17507484740254514,0.17232718101556174,0.18182165135261738,0.17082691282352142,0.1791622037268356,0.1721111223854839,0.177792721886215,0.17200174469903193,0.1713600471155013
global AUC,0.8994190526927196,0.9046658621272456,0.8958353810871297,0.8894267671780862,0.9380707126235928,0.8313303103472931,0.9419984411307436,0.931922882820909,0.9335344004517548,0.9401683262516072,0.9453874669099396,0.9446595357194746,0.914223782541099,0.92574862274514,0.9451422164105616,0.5493236148134091,0.944795506703342,0.942686398111276,0.8777117467697346,0.5223573102553738,0.4376136535808758,0.4914414524934626,0.4760581893514167,0.4864551530552236,0.4800688466983408,0.4524845359418597,0.4573741003539379,0.4897912112798931,0.4759991760883767,0.4710867825242968,0.4813103921651961,0.9292922112874707,0.7726725013894944,0.9423799672978772,0.9430769569960168,0.8998714046856349,0.9033056773401568,0.6112113352422198,0.8975545480692536,0.8993531068169396,0.8995262170800227,0.8742182584324266,0.8960871345844217,0.8940101559099877,0.8921687566571354,0.8906983920083735,0.8666825299964386,0.7382847606989411,0.9025808818107868,0.9022729781828808,0.8987836639621356,0.9022148059633436,0.9024180248458376,0.9037877167718136,0.8936405306006666,0.8943452048692755,0.8964585819350258,0.8488650133743972,0.895583894320024,0.8935650106398856,0.898480647927685,0.6181781495395642,0.8971083134751786,0.901126820649318,0.8975233828082246,0.8972900413372484,0.9036901069655258,0.8968915116478661,0.8974139166870108,0.8972760266690651,0.5208556111353265,0.6464582162352894,0.4915173095569201,0.587337478062134,0.625806397505071,0.8966997192019048,0.6201685252449773,0.5820768218518442,0.5563933982961027,0.6772849131067773,0.621474881139349,0.5127012318150864,0.497448869674827,0.8962054228329078,0.9023121218920053,0.9014095029877007,0.897728937161254,0.8987606089328914,0.8981776316296666,0.9017308498697153,0.9035570259979567,0.8913335377298349,0.895890281381238,0.9019253180516966,0.9014631086388492,0.9037044186741441,0.8961308780714247,0.8990812889894398,0.8968075635930427,0.9032328399681475
global NDCG,0.4944007230771727,0.5042633306039375,0.4955964708598051,0.4946136349676525,0.5585375842963866,0.5348308040999077,0.5501623051873054,0.5522346855714942,0.5560189005188302,0.5564377379984968,0.55963251279931,0.5607558339316578,0.5556030856456315,0.5525778265549747,0.5622663658693852,0.4856940555048983,0.5587428684555964,0.5562046299125762,0.5425033646077096,0.4852538355022102,0.4455788936264038,0.4456682155979921,0.445320060169913,0.4451107758596528,0.4455009853426904,0.449742565336373,0.4419867600821207,0.4442848473392279,0.4452243591946357,0.4430445500346969,0.4447453894816806,0.5498513403788826,0.5253073362280103,0.5577663858075335,0.5573406076126506,0.5148098418455795,0.5170890227926458,0.4933264258082336,0.4932646618932477,0.5033610780818748,0.4938290590386025,0.5106231764080656,0.4935042445924276,0.4915948299998325,0.4941250954626383,0.4990041132114191,0.5135334304716289,0.5005977345028598,0.512793891447388,0.510428474870053,0.4934743781023119,0.5158071324561292,0.5125375715492632,0.515769991400189,0.4970661333211897,0.5040029586146957,0.5052549761069997,0.5041267222092765,0.5019395847655567,0.493390058169777,0.5104563579333666,0.4925765373743571,0.5030792795321073,0.51084276918091,0.5016204356574895,0.5128532750763247,0.5164150094611926,0.5009891007037275,0.509195840513994,0.5076089545756062,0.4599343318484218,0.4806927057308869,0.4598964969940172,0.4695969175857357,0.4740447151324083,0.4949925355371583,0.4699110183494963,0.4688203107651185,0.464500652496582,0.481227080693288,0.4724211375576558,0.4648977153277386,0.4608095672106396,0.4967071730537169,0.5128503833470749,0.5202648575519541,0.506738754117049,0.5057485475828749,0.5107558833096049,0.5058935688913817,0.5106713541259622,0.5001651949336303,0.503403587463427,0.5177283766258277,0.5131684771880183,0.5157605552786184,0.5055003062836826,0.5035890739672688,0.5047195923659158,0.5047570816080579
