,1_LibMF,2_LibMF,3_LibMF,4_LibMF,5_LibMF,6_LibMF,7_LibMF,8_LibMF,9_LibMF,10_LibMF,11_LibMF,12_LibMF,13_LibMF,14_LibMF,15_LibMF,16_LibMF,17_LibMF,18_LibMF,19_LibMF,20_LibMF,21_LibMF,22_LibMF,23_LibMF,24_LibMF,25_LibMF,26_LibMF,27_LibMF,28_LibMF,29_LibMF,30_LibMF,31_LibMF,32_LibMF,33_LibMF,34_LibMF,35_LibMF,36_LibMF,37_LibMF,38_LibMF,39_LibMF,40_LibMF,41_LibMF,42_LibMF,43_LibMF,44_LibMF,45_LibMF,46_LibMF,47_LibMF,48_LibMF,49_LibMF,50_LibMF,51_LibMF,52_LibMF,53_LibMF,54_LibMF,55_LibMF,56_LibMF,57_LibMF,58_LibMF,59_LibMF,60_LibMF,61_LibMF,62_LibMF,63_LibMF,64_LibMF,65_LibMF,66_LibMF,67_LibMF,68_LibMF,69_LibMF,70_LibMF,71_LibMF,72_LibMF,73_LibMF,74_LibMF,75_LibMF,76_LibMF,77_LibMF,78_LibMF,79_LibMF,80_LibMF,81_LibMF,82_LibMF,83_LibMF,84_LibMF,85_LibMF,86_LibMF,87_LibMF,88_LibMF,89_LibMF,90_LibMF,91_LibMF,92_LibMF,93_LibMF,94_LibMF,95_LibMF,96_LibMF,97_LibMF,98_LibMF,99_LibMF,100_LibMF
ACC,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.00017755903431791354,0.00016819692988457856,0.00017414746278583478,0.00018573184185688923,0.00019093135675763887,0.0001703092220000952,0.00017297791185066067,0.0001760998140172574,0.00017424155568570687,0.0001726758181098377,0.00020079080385499538,0.0001678725980632524,0.00018784736684794492,0.00018381661708668202,0.0001867024617547811,0.00018975952491790207,0.0001794835526522795,0.00016966607988542148,0.00018358103491859283,0.00016641643602037878,0.00017609340213393558,0.00018063654460449783,0.00018073420442198343,0.00017736454394318125,0.00016157104062494888,0.00017547390268948568,0.00020027117613108386,0.00017241464192661827,0.0001656897817027426,0.00018483786520137797,0.00018672701007280593,0.0001817677349411535,0.00017417447782506332,0.00018029723410488988,0.00017697067597272054,0.00017303786846099915,0.00017945946494839576,0.00016853646442891303,0.00017456004990317676,0.0001742713210227415,0.0001675781163044392,0.00016723190665618933,0.00017186576339590118,0.00017374268764346155,0.00018181475749780009,0.00017356090517162386,0.00016114806539287342,0.00018310694932794928,0.00017379806212299253,0.00017273262926525707,0.00017222794950667546,0.0001989419882239824,0.00019063659966890784,0.0001901169667207376,0.00017588664646782598,0.00017910274592296786,0.00019670493819797205,0.00017288757639152851,0.000178040138137541,0.00016645993850053942,0.0002019644240026389,0.00018595040767035808,0.00018866711656062595,0.00018076508507854783,0.00017141733740604686,0.00016377917039673464,0.00018259457577366833,0.00017419627020657423,0.00018044834652615265,0.00017801179837178044,0.00017272425159900077,0.00018293600316847522,0.00016868719066993282,0.00018448319839106114,0.00017866273529289068,0.00017955221896328772,0.00017780168716328897,0.00016807607209748263,0.00016346079053083414,0.00016684002879444396,0.00017714592476503514,0.00017469141873791965,0.0001630812994636051,0.00017155535304012767,0.00018075079350555928,0.00017955231210741785,0.0001684680441755264,0.00020006181799312817,0.00019051986535582874,0.00019409435926411538,0.00018040637012489973,0.00019532608479249356,0.00018313341097421043,0.00019485195629616192,0.00018679989096252348,0.00019383006334482302,0.00016337809713470227,0.00018430495271364012,0.0001655244221216278,0.00018874943499253653
HR@10,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017777777777777779,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.1716327259518189,0.15889304244534852,0.1626814884949831,0.14403887933975165,0.15524804931868716,0.17464424487800181,0.16127559637437322,0.1583132606003859,0.16023017200951334,0.15799169025275572,0.1521817446141119,0.1767620553588525,0.1604734605564613,0.1575009514617071,0.16912061588126165,0.16888455202507455,0.15085524885774737,0.15749693467817097,0.16084727096568582,0.1518063498352888,0.16329035168947104,0.16486807472536014,0.16693449948023809,0.16906850124904751,0.15216433236645663,0.16757423402512053,0.16936317011471855,0.1713617169565804,0.15619594585401977,0.15622443912734663,0.16295429800775768,0.15907328166159354,0.15723960443516447,0.15392119802686918,0.16318186678771943,0.1675774476966367,0.1555645801783098,0.15543399237041783,0.15114184597652724,0.16120928434303258,0.16977997591618735,0.1575492785823273,0.16779194276370019,0.15844810650529637,0.16543409512605722,0.1640537609229863,0.16001505987338058,0.15987585311367447,0.16246834149373104,0.17147734323857233,0.16057177903938658,0.15793481029289247,0.16298698786524884,0.1565636802675366,0.16977504162630153,0.16326618472922905,0.17821784272296248,0.1610753948666533,0.1661408948658234,0.1546543192171211,0.157216246795569,0.16459497587758135,0.15665962075207077,0.17882861865702557,0.17558612057976508,0.15274119875258022,0.15225811110638107,0.1580895954635407,0.17280371444948564,0.1583551077440086,0.17909255444480177,0.16713411894803035,0.16121086023188377,0.1828782166050245,0.15743633509511248,0.16047762787396658,0.15891999724804712,0.16226827919648862,0.1619373285716212,0.17159016917842262,0.16918410014047713,0.14346370858136206,0.15721243383831535,0.15808314137379278,0.15870933755790856,0.15809214504762323,0.15663235751715807,0.1655455176522436,0.1594114278095786,0.15626259159414632,0.16397507706992642,0.15947120929429187,0.14727751336838674,0.1685055594306902,0.16168912303951982,0.1678933092630228,0.15664180119809776,0.16274481709670965,0.17320452393964234,0.1564429066520139
NDCGk,0.1695655332255303,0.17753159507084487,0.1688532188199136,0.17172520883756393,0.1709641081542584,0.17785824184753307,0.17249169183631627,0.17172169349105412,0.17247536741315872,0.17382875101130424,0.18025020884052081,0.1691428360172378,0.17412429141870617,0.17163518314015871,0.16982568786837937,0.17701245702135596,0.17444097509868836,0.1687944326482695,0.16954299845125057,0.17528990372250577,0.17549364761470848,0.17289926485560517,0.17387986371457756,0.17898605346995805,0.17794139345678453,0.17157753357080996,0.17440657079843086,0.17944887808401191,0.1784048573465359,0.17217605208005263,0.1700119577415077,0.1707927933150007,0.174000188406928,0.17784468381260043,0.17102112983259637,0.17491511561871692,0.17278963534311245,0.17285786750953172,0.1734810692539139,0.16927849884780605,0.17121945527972077,0.17565513740540784,0.17004185224859195,0.1780685047548311,0.1798750318708609,0.1713397027820662,0.169952977781888,0.1733915748468032,0.17589365476056712,0.1788704789454292,0.17673854864289126,0.17181130743981887,0.1734769658282812,0.17171970535807948,0.1744452644151875,0.17339897238444496,0.1725853931637633,0.1763755678153484,0.17254422090791166,0.17435706397044312,0.17693953653654035,0.17526973783416222,0.17637081816973368,0.17271468520256783,0.17251473835359296,0.1724801829511781,0.17336476186175498,0.17020572477456458,0.17444807237159612,0.17013900695358775,0.17344120250519693,0.17445662569916273,0.1748355980842,0.17874930374909395,0.1752198543616761,0.17566793083264487,0.17451887369559568,0.16699842007225743,0.18189873286430164,0.17285352980785146,0.1770713684077177,0.17589524575641222,0.16929756627746634,0.17855867921451601,0.17382601739332462,0.16924212452961326,0.18286756081426497,0.17763617526338346,0.16692877778916348,0.172309782061942,0.17185696986465895,0.17507484740254514,0.17232718101556174,0.18182165135261738,0.17082691282352142,0.1791622037268356,0.1721111223854839,0.177792721886215,0.17200174469903193,0.1713600471155013
global AUC,0.90229397817728,0.9000972445019021,0.9002208731525986,0.896265071029761,0.899096570098874,0.9032483907070096,0.9029527843422527,0.9008568651889102,0.90055177039855,0.9001823322220673,0.900698829398437,0.9025581483337435,0.9014456942150584,0.8988421906797962,0.9021546285231957,0.9011560297132682,0.8974913630617567,0.8989916159876018,0.8999492901636325,0.8996708815702816,0.9009496564563959,0.8995772007628957,0.9010196393937028,0.9014708978455672,0.897647910487247,0.9014006299919248,0.9014012230185251,0.9031244423490837,0.90125298376392,0.8998668652646858,0.8988036323538181,0.9001986462520554,0.899823580121353,0.899297007291262,0.899895923568096,0.9019811682426349,0.9003943392316417,0.9008337371515021,0.8989830286988634,0.9002798850978015,0.9038787315951723,0.9000622559324898,0.9009606390454643,0.9005784623940417,0.9004841653661263,0.9018148358782411,0.9007501204008728,0.9001443901166186,0.900666218733908,0.9017988241600354,0.9011459424625824,0.9003172399751324,0.9001636634811254,0.9001307563032962,0.9024872816550186,0.9018963712372874,0.9034010892580808,0.900340966837623,0.9009298016622536,0.8992492686499453,0.898979174025962,0.9011070992202688,0.8991054596993948,0.9025154504185284,0.9019079410544737,0.8985898694583723,0.898365711201976,0.8999673658779742,0.9027873357192769,0.8996664338707802,0.9023980311516873,0.9008624931431299,0.9000100811886361,0.9036480616431383,0.8991395645273891,0.8987188527439176,0.8992910712267776,0.9004050079119632,0.900203390464857,0.9005731251546398,0.90043079877059,0.8974240545426332,0.9003258446593176,0.900216739361844,0.9005271597946415,0.8997521262145102,0.899039953454001,0.9002493442278908,0.8999377319434108,0.9000889479279814,0.9015313807603061,0.9018566384550734,0.898507746871208,0.9022139195862519,0.9007839229170846,0.9022017625409476,0.8998369174213753,0.9001304539915137,0.9022047276739487,0.8984866944269007
global NDCG,0.4960557556087496,0.48882669203661744,0.4914974174107635,0.4885838206256531,0.4913256674258746,0.49389628024703175,0.4910104336109541,0.49434701894233163,0.49212681739964376,0.4930022249633049,0.49175493608150206,0.49141696497148435,0.49189472681499635,0.4923148118406101,0.49201472703096094,0.4922000837868746,0.4907692577562176,0.49176139437575056,0.4906137694075159,0.4913432689427328,0.49276683205769917,0.4914422408136844,0.4918974471465486,0.4920716398533706,0.4902616907677311,0.49353667421813696,0.49140644216845925,0.492315278892615,0.492427563674086,0.49308664326956425,0.489798786210045,0.4924303270352528,0.49242399773036094,0.49110585957719816,0.490309160571102,0.49694980443503095,0.4920406264470982,0.4936006533615933,0.4907909291977355,0.4917809892598085,0.4947814180837498,0.49337938829735967,0.49217886753564344,0.49246082782252765,0.49089578018366337,0.4925028696338918,0.4955131907800453,0.49161596993390005,0.49467721679129917,0.4926656976115479,0.49251671645408895,0.4910343041847895,0.4931222850642951,0.49111925877835605,0.49368516149592573,0.4915684818765922,0.49857117354422903,0.49031867417935493,0.4923782187855037,0.49010409888793693,0.4917267815408082,0.4920983663626573,0.4919158038117346,0.49289045381550717,0.49364281531961507,0.49216406318595274,0.49059872754718503,0.49386844659124945,0.49442132263193894,0.4939524496896012,0.4935073707268717,0.49198086817897707,0.49156002367200446,0.4953031922254086,0.4937046692231251,0.4910321035275164,0.4930643232350154,0.49097227408344485,0.4911052572731967,0.49225195874926486,0.4910602290795218,0.49001639960405696,0.4935592614982719,0.4911575829933965,0.4909121871569973,0.49229765458880687,0.49307875413468344,0.4911297268138379,0.4915004441500507,0.4896324112899385,0.4948428491487691,0.4928502396871436,0.49438409062682526,0.49412114569267407,0.49299233877507864,0.4950300931975665,0.4954867520071535,0.4927529879706587,0.49302332846285896,0.4926474668468991
