,1_LogisticMF,2_LogisticMF,3_LogisticMF,4_LogisticMF,5_LogisticMF,6_LogisticMF,7_LogisticMF,8_LogisticMF,9_LogisticMF,10_LogisticMF,11_LogisticMF,12_LogisticMF,13_LogisticMF,14_LogisticMF,15_LogisticMF,16_LogisticMF,17_LogisticMF,18_LogisticMF,19_LogisticMF,20_LogisticMF,21_LogisticMF,22_LogisticMF,23_LogisticMF,24_LogisticMF,25_LogisticMF,26_LogisticMF,27_LogisticMF,28_LogisticMF,29_LogisticMF,30_LogisticMF,31_LogisticMF,32_LogisticMF,33_LogisticMF,34_LogisticMF,35_LogisticMF,36_LogisticMF,37_LogisticMF,38_LogisticMF,39_LogisticMF,40_LogisticMF,41_LogisticMF,42_LogisticMF,43_LogisticMF,44_LogisticMF,45_LogisticMF,46_LogisticMF,47_LogisticMF,48_LogisticMF,49_LogisticMF,50_LogisticMF,51_LogisticMF,52_LogisticMF,53_LogisticMF,54_LogisticMF,55_LogisticMF,56_LogisticMF,57_LogisticMF,58_LogisticMF,59_LogisticMF,60_LogisticMF,61_LogisticMF,62_LogisticMF,63_LogisticMF,64_LogisticMF,65_LogisticMF,66_LogisticMF,67_LogisticMF,68_LogisticMF,69_LogisticMF,70_LogisticMF,71_LogisticMF,72_LogisticMF,73_LogisticMF,74_LogisticMF,75_LogisticMF,76_LogisticMF,77_LogisticMF,78_LogisticMF,79_LogisticMF,80_LogisticMF,81_LogisticMF,82_LogisticMF,83_LogisticMF,84_LogisticMF,85_LogisticMF,86_LogisticMF,87_LogisticMF,88_LogisticMF,89_LogisticMF,90_LogisticMF,91_LogisticMF,92_LogisticMF,93_LogisticMF,94_LogisticMF,95_LogisticMF,96_LogisticMF,97_LogisticMF,98_LogisticMF,99_LogisticMF,100_LogisticMF
ACC,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.00017755903431791354,0.00016819692988457856,0.00017414746278583478,0.00018573184185688923,0.00019093135675763887,0.0001703092220000952,0.00017297791185066067,0.0001760998140172574,0.00017424155568570687,0.0001726758181098377,0.00020079080385499538,0.0001678725980632524,0.00018784736684794492,0.00018381661708668202,0.0001867024617547811,0.00018975952491790207,0.0001794835526522795,0.00016966607988542148,0.00018358103491859283,0.00016641643602037878,0.00017609340213393558,0.00018063654460449783,0.00018073420442198343,0.00017736454394318125,0.00016157104062494888,0.00017547390268948568,0.00020027117613108386,0.00017241464192661827,0.0001656897817027426,0.00018483786520137797,0.00018672701007280593,0.0001817677349411535,0.00017417447782506332,0.00018029723410488988,0.00017697067597272054,0.00017303786846099915,0.00017945946494839576,0.00016853646442891303,0.00017456004990317676,0.0001742713210227415,0.0001675781163044392,0.00016723190665618933,0.00017186576339590118,0.00017374268764346155,0.00018181475749780009,0.00017356090517162386,0.00016114806539287342,0.00018310694932794928,0.00017379806212299253,0.00017273262926525707,0.00017222794950667546,0.0001989419882239824,0.00019063659966890784,0.0001901169667207376,0.00017588664646782598,0.00017910274592296786,0.00019670493819797205,0.00017288757639152851,0.000178040138137541,0.00016645993850053942,0.0002019644240026389,0.00018595040767035808,0.00018866711656062595,0.00018076508507854783,0.00017141733740604686,0.00016377917039673464,0.00018259457577366833,0.00017419627020657423,0.00018044834652615265,0.00017801179837178044,0.00017272425159900077,0.00018293600316847522,0.00016868719066993282,0.00018448319839106114,0.00017866273529289068,0.00017955221896328772,0.00017780168716328897,0.00016807607209748263,0.00016346079053083414,0.00016684002879444396,0.00017714592476503514,0.00017469141873791965,0.0001630812994636051,0.00017155535304012767,0.00018075079350555928,0.00017955231210741785,0.0001684680441755264,0.00020006181799312817,0.00019051986535582874,0.00019409435926411538,0.00018040637012489973,0.00019532608479249356,0.00018313341097421043,0.00019485195629616192,0.00018679989096252348,0.00019383006334482302,0.00016337809713470227,0.00018430495271364012,0.0001655244221216278,0.00018874943499253653
HR@10,0.0,0.0,0.0008888888888888889,0.0008888888888888889,0.0,0.0017777777777777779,0.0,0.0026666666666666666,0.0008888888888888889,0.0035555555555555557,0.0026666666666666666,0.0,0.0,0.0,0.0026666666666666666,0.0,0.0008888888888888889,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0008888888888888889,0.0008888888888888889,0.0008888888888888889,0.0,0.0008888888888888889,0.0,0.0,0.0017777777777777779,0.0017777777777777779,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0017777777777777779,0.0026666666666666666,0.0008888888888888889,0.0,0.0008888888888888889,0.0017777777777777779,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0008888888888888889,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0008888888888888889,0.0,0.0026666666666666666,0.0017777777777777779,0.0017777777777777779,0.0,0.0,0.0,0.0008888888888888889,0.0008888888888888889,0.0008888888888888889,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0008888888888888889,0.0,0.0008888888888888889,0.0026666666666666666,0.0008888888888888889,0.0,0.0,0.0,0.0017777777777777779,0.0008888888888888889,0.0,0.0,0.0008888888888888889,0.0,0.0017777777777777779,0.0,0.0,0.0
HR@2,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0017777777777777779,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0008888888888888889,0.0008888888888888889,0.0,0.0,0.0,0.0017777777777777779,0.0,0.0017777777777777779,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0008888888888888889,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0008888888888888889,0.0008888888888888889,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0008888888888888889,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0026666666666666666,0.0,0.0,0.0,0.0,0.0017777777777777779,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.7916247988012427,0.7747155468531929,0.7811383081210241,0.778955335315767,0.7963977246023545,0.7762265824751087,0.7876097510521058,0.7737407852095421,0.7907478471698834,0.796567831037962,0.7955261676405999,0.7819062859501695,0.7826570859639048,0.7843914386875288,0.7802910697176473,0.7761281895683015,0.7976116758264681,0.778718256883649,0.7972480586497255,0.7753416818370668,0.7598595255535067,0.7928369760822099,0.7920892046981711,0.7790206913213763,0.776803443502675,0.7841984173349194,0.7799870203155771,0.7909917906162612,0.7719341653150704,0.7903483478444815,0.7850713997432769,0.7753821624724501,0.7776207190155353,0.7864658283373087,0.8013280922613981,0.7705501997461057,0.7975377267475593,0.7672073018370793,0.8027323806645953,0.7922971594512349,0.7916764920258198,0.7647439057638442,0.7832616529273362,0.7934755587587512,0.7777850900422807,0.7758104285623475,0.7818330593523276,0.7854600375315873,0.7755661310532052,0.767585452661618,0.7813367000880519,0.7905984796485376,0.7719769266840227,0.7768507092520129,0.8023651371769928,0.7874646381710434,0.8021786348440465,0.7724196273977716,0.78178049058667,0.7839413359963269,0.7894918868416261,0.7686774960478165,0.778514479597661,0.7755410687878733,0.7903379345881422,0.7767968219365589,0.7883003262647723,0.7902747236547094,0.7892312795291034,0.7888587281089359,0.7924145045985433,0.7791390645301778,0.7675280628927992,0.7971805072023749,0.7804198854764893,0.7913171164415668,0.772086493244072,0.7764829778609927,0.7935853524644647,0.776076849697549,0.7976297760056463,0.7968823880308397,0.7854218123241101,0.7841815325927023,0.8075553605221926,0.7894652959614966,0.7658361537594844,0.8029948363728918,0.8015836341662103,0.7841655988040411,0.7800018615842342,0.7868184605824262,0.7859218445809069,0.7923063252155118,0.7736920623142064,0.7843979561717337,0.7999458525946028,0.7825858260008242,0.7813739176576472,0.7841792560027676
NDCGk,0.1695655332255303,0.17753159507084487,0.1688532188199136,0.17172520883756393,0.1709641081542584,0.17785824184753307,0.17249169183631627,0.17172169349105412,0.17247536741315872,0.17382875101130424,0.18025020884052081,0.1691428360172378,0.17412429141870617,0.17163518314015871,0.16982568786837937,0.17701245702135596,0.17444097509868836,0.1687944326482695,0.16954299845125057,0.17528990372250577,0.17549364761470848,0.17289926485560517,0.17387986371457756,0.17898605346995805,0.17794139345678453,0.17157753357080996,0.17440657079843086,0.17944887808401191,0.1784048573465359,0.17217605208005263,0.1700119577415077,0.1707927933150007,0.174000188406928,0.17784468381260043,0.17102112983259637,0.17491511561871692,0.17278963534311245,0.17285786750953172,0.1734810692539139,0.16927849884780605,0.17121945527972077,0.17565513740540784,0.17004185224859195,0.1780685047548311,0.1798750318708609,0.1713397027820662,0.169952977781888,0.1733915748468032,0.17589365476056712,0.1788704789454292,0.17673854864289126,0.17181130743981887,0.1734769658282812,0.17171970535807948,0.1744452644151875,0.17339897238444496,0.1725853931637633,0.1763755678153484,0.17254422090791166,0.17435706397044312,0.17693953653654035,0.17526973783416222,0.17637081816973368,0.17271468520256783,0.17251473835359296,0.1724801829511781,0.17336476186175498,0.17020572477456458,0.17444807237159612,0.17013900695358775,0.17344120250519693,0.17445662569916273,0.1748355980842,0.17874930374909395,0.1752198543616761,0.17566793083264487,0.17451887369559568,0.16699842007225743,0.18189873286430164,0.17285352980785146,0.1770713684077177,0.17589524575641222,0.16929756627746634,0.17855867921451601,0.17382601739332462,0.16924212452961326,0.18286756081426497,0.17763617526338346,0.16692877778916348,0.172309782061942,0.17185696986465895,0.17507484740254514,0.17232718101556174,0.18182165135261738,0.17082691282352142,0.1791622037268356,0.1721111223854839,0.177792721886215,0.17200174469903193,0.1713600471155013
global AUC,0.9681388383333711,0.9668316938454051,0.9671162654347527,0.9666733604873625,0.9691754688616557,0.9656559566721588,0.9664764540435683,0.9654502186126669,0.965512619770782,0.9693032995670575,0.9686175294050592,0.9666565717725268,0.9674604543835702,0.9677344063161286,0.9671322713544759,0.9665154514727979,0.9704106657810804,0.965777823374934,0.9684012528675306,0.9686063620552589,0.9625908093396418,0.9653079059341206,0.9683232126754823,0.9673303854639956,0.9658579199196645,0.9669046424428479,0.9670117235428592,0.9667557226572729,0.9647104097583185,0.9681277785190611,0.9678912963792102,0.9658022581794018,0.9668943111287701,0.9671822426750507,0.9681646811147714,0.965069886669322,0.9696339158501843,0.9650374810602129,0.9696829082815176,0.967319024128605,0.969530770338259,0.9641989446103271,0.9677370230130561,0.9689127728375367,0.9652570094920497,0.9659990497078191,0.9659541162141051,0.9678084961603175,0.9677600814686762,0.9647857673615949,0.9671671165432347,0.9697897484809459,0.9664035755550482,0.9656619781324735,0.9699706078885059,0.9662191458637877,0.9690988846158026,0.9650947231504734,0.9649239699704508,0.9684643208511116,0.9683930416894404,0.9669039824701335,0.9664913297863753,0.9668103095697689,0.9657047561721716,0.96673863716557,0.9690479301889087,0.9686552527495843,0.9686146644276616,0.9678323005116171,0.9682866321591077,0.9659612367503856,0.9654170966274248,0.9698250174860481,0.9674968952092345,0.9671322022998229,0.9668005101346598,0.9640949082406647,0.9685073487526838,0.966567774341518,0.9690581703086735,0.9692481823569973,0.968079077066113,0.9667711213177578,0.9698553598897234,0.9682610640149152,0.9658084562298596,0.9701234490295285,0.9679113222285808,0.9671954226253484,0.9661151822387216,0.9676440232637746,0.9687601135580047,0.9673936205492941,0.9656182016995483,0.9654510562297938,0.9674452671041226,0.9666526794094905,0.9664325247415638,0.9664137408216777
global NDCG,0.6094564749554052,0.6185715962785022,0.6242412771152048,0.6343842990008667,0.6276811088912071,0.6148544693978598,0.6128923572776873,0.6268491876162642,0.6147904045672589,0.6338179093650558,0.626050014387354,0.6126106722797797,0.6153671133544234,0.6207646747032413,0.6313404778628559,0.6139923099785969,0.6285139711479638,0.6190792948947555,0.6171605021671762,0.6292975529191709,0.6165178153279548,0.608914934053277,0.6253161974289491,0.6140730123098924,0.6167130143709849,0.6245447540845424,0.6203039605538402,0.6127535939768796,0.6090396012611676,0.6248698326011521,0.6203350622509213,0.6123916001801216,0.6265338954907341,0.6319894708846694,0.6188785834116768,0.6201126770143324,0.6179584950810463,0.6085604523816941,0.623006769706259,0.6209870669520385,0.6274196915225067,0.6082800898436939,0.6275184979969011,0.6255213686963426,0.6168673250293896,0.6110769676663186,0.618029500632621,0.6258535666632169,0.6142675156709083,0.6217124441503872,0.6296955171732975,0.6243859947668097,0.6206471100821583,0.6104818202314342,0.6271496839331376,0.6245132004671567,0.6224561143519981,0.6106895891792004,0.6135462059846329,0.6152429751294314,0.6212150616108114,0.6187296321906837,0.6144585174241223,0.6270266581582649,0.61722049516288,0.6222738893400341,0.6220869016797388,0.6129065990137695,0.6312005261175873,0.6248455533751622,0.6282113358690774,0.6166227418435832,0.6158620347502587,0.6238509141911266,0.6188752909535213,0.6177113888441573,0.6192918567161344,0.6118194343690726,0.6213889025864624,0.6207425604862666,0.6309977646129323,0.6144448166934015,0.6313778823224565,0.6153150496200335,0.6380227090331564,0.638380613558344,0.6228717067681455,0.6220920339094678,0.6172667148920137,0.6128133746397747,0.62475686991694,0.6272460270226148,0.6160884664756516,0.6233633083375362,0.618877865636355,0.6195004309900892,0.6283464964250778,0.6153141298071894,0.6151875048935065,0.6131875270186394
