,1_NIMCGCN,2_NIMCGCN,3_NIMCGCN,4_NIMCGCN,5_NIMCGCN,6_NIMCGCN,7_NIMCGCN,8_NIMCGCN,9_NIMCGCN,10_NIMCGCN,11_NIMCGCN,12_NIMCGCN,13_NIMCGCN,14_NIMCGCN,15_NIMCGCN,16_NIMCGCN,17_NIMCGCN,18_NIMCGCN,19_NIMCGCN,20_NIMCGCN,21_NIMCGCN,22_NIMCGCN,23_NIMCGCN,24_NIMCGCN,25_NIMCGCN,26_NIMCGCN,27_NIMCGCN,28_NIMCGCN,29_NIMCGCN,30_NIMCGCN,31_NIMCGCN,32_NIMCGCN,33_NIMCGCN,34_NIMCGCN,35_NIMCGCN,36_NIMCGCN,37_NIMCGCN,38_NIMCGCN,39_NIMCGCN,40_NIMCGCN,41_NIMCGCN,42_NIMCGCN,43_NIMCGCN,44_NIMCGCN,45_NIMCGCN,46_NIMCGCN,47_NIMCGCN,48_NIMCGCN,49_NIMCGCN,50_NIMCGCN,51_NIMCGCN,52_NIMCGCN,53_NIMCGCN,54_NIMCGCN,55_NIMCGCN,56_NIMCGCN,57_NIMCGCN,58_NIMCGCN,59_NIMCGCN,60_NIMCGCN,61_NIMCGCN,62_NIMCGCN,63_NIMCGCN,64_NIMCGCN,65_NIMCGCN,66_NIMCGCN,67_NIMCGCN,68_NIMCGCN,69_NIMCGCN,70_NIMCGCN,71_NIMCGCN,72_NIMCGCN,73_NIMCGCN,74_NIMCGCN,75_NIMCGCN,76_NIMCGCN,77_NIMCGCN,78_NIMCGCN,79_NIMCGCN,80_NIMCGCN,81_NIMCGCN,82_NIMCGCN,83_NIMCGCN,84_NIMCGCN,85_NIMCGCN,86_NIMCGCN,87_NIMCGCN,88_NIMCGCN,89_NIMCGCN,90_NIMCGCN,91_NIMCGCN,92_NIMCGCN,93_NIMCGCN,94_NIMCGCN,95_NIMCGCN,96_NIMCGCN,97_NIMCGCN,98_NIMCGCN,99_NIMCGCN,100_NIMCGCN
ACC,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.00017755903431791354,0.00016819692988457856,0.00017414746278583478,0.00018573184185688923,0.00019093135675763887,0.0001703092220000952,0.00017297791185066067,0.0001760998140172574,0.00017424155568570687,0.0001726758181098377,0.00020079080385499538,0.0001678725980632524,0.00018784736684794492,0.00018381661708668202,0.0001867024617547811,0.00018975952491790207,0.0001794835526522795,0.00016966607988542148,0.00018358103491859283,0.00016641643602037878,0.00017609340213393558,0.00018063654460449783,0.00018073420442198343,0.00017736454394318125,0.00016157104062494888,0.00017547390268948568,0.00020027117613108386,0.00017241464192661827,0.0001656897817027426,0.00018483786520137797,0.00018672701007280593,0.0001817677349411535,0.00017417447782506332,0.00018029723410488988,0.00017697067597272054,0.00017303786846099915,0.00017945946494839576,0.00016853646442891303,0.00017456004990317676,0.0001742713210227415,0.0001675781163044392,0.00016723190665618933,0.00017186576339590118,0.00017374268764346155,0.00018181475749780009,0.00017356090517162386,0.00016114806539287342,0.00018310694932794928,0.00017379806212299253,0.00017273262926525707,0.00017222794950667546,0.0001989419882239824,0.00019063659966890784,0.0001901169667207376,0.00017588664646782598,0.00017910274592296786,0.00019670493819797205,0.00017288757639152851,0.000178040138137541,0.00016645993850053942,0.0002019644240026389,0.00018595040767035808,0.00018866711656062595,0.00018076508507854783,0.00017141733740604686,0.00016377917039673464,0.00018259457577366833,0.00017419627020657423,0.00018044834652615265,0.00017801179837178044,0.00017272425159900077,0.00018293600316847522,0.00016868719066993282,0.00018448319839106114,0.00017866273529289068,0.00017955221896328772,0.00017780168716328897,0.00016807607209748263,0.00016346079053083414,0.00016684002879444396,0.00017714592476503514,0.00017469141873791965,0.0001630812994636051,0.00017155535304012767,0.00018075079350555928,0.00017955231210741785,0.0001684680441755264,0.00020006181799312817,0.00019051986535582874,0.00019409435926411538,0.00018040637012489973,0.00019532608479249356,0.00018313341097421043,0.00019485195629616192,0.00018679989096252348,0.00019383006334482302,0.00016337809713470227,0.00018430495271364012,0.0001655244221216278,0.00018874943499253653
HR@10,0.0008888888888888889,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0008888888888888889,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5146912454292658,0.5180127282624304,0.5251162761813041,0.5206893749066562,0.554952667595776,0.5187249088182626,0.5299884445065841,0.5377528096880431,0.5209929008406533,0.5360430209468441,0.5211456087140144,0.5152594932349367,0.537413258025037,0.5236621156832403,0.5292268728486496,0.5253993362364979,0.5285499413327872,0.521186041538183,0.5505820426015581,0.5269871523383689,0.5187458342668595,0.5393879701055182,0.5295276817261485,0.5339672866125718,0.5217189485103486,0.5269916869515779,0.5355549485239856,0.5122206930478373,0.5259648124703933,0.515263272529337,0.5320910250202914,0.5361301516219059,0.5233829907945888,0.521286642242597,0.5364061410541702,0.5188628169492178,0.5538026604319192,0.5262942172680919,0.5265670984816055,0.5268998298974176,0.5325622718205745,0.5258033736119989,0.51762505158088,0.5239481832594556,0.5367354534352294,0.5258768166893685,0.5227842515683969,0.5242893184072301,0.5168117282471291,0.5241189562522611,0.518586079548767,0.5458348691049028,0.5294357768430804,0.5289893380428149,0.5312284127475501,0.5540362427196336,0.5268179618130954,0.5262440236674762,0.5211380726022682,0.5220326957645903,0.5342614176083076,0.5185860898581989,0.5389233833104206,0.522788641571481,0.5359629976369535,0.5321587164811346,0.5463813495999656,0.5121276651435874,0.511729111177354,0.5246112427745391,0.5269278200853903,0.5308241494889727,0.5157142259430574,0.5350450124371061,0.5366135442257127,0.5251550847008613,0.5187189369843923,0.5316646611254606,0.5342356893775931,0.5173649096511733,0.5406737997434343,0.5403238781648926,0.5276982960860432,0.524839429922417,0.5119319373680329,0.5207566987747647,0.5180743793002309,0.5307853426491205,0.5460382601018204,0.5158955025667972,0.5238229265096553,0.5306778412129243,0.5197021279472365,0.523614469230083,0.5241272652615877,0.521539440085829,0.5153462355909056,0.5306202623220073,0.5204708282349112,0.5280863897315067
NDCGk,0.1695655332255303,0.17753159507084487,0.1688532188199136,0.17172520883756393,0.1709641081542584,0.17785824184753307,0.17249169183631627,0.17172169349105412,0.17247536741315872,0.17382875101130424,0.18025020884052081,0.1691428360172378,0.17412429141870617,0.17163518314015871,0.16982568786837937,0.17701245702135596,0.17444097509868836,0.1687944326482695,0.16954299845125057,0.17528990372250577,0.17549364761470848,0.17289926485560517,0.17387986371457756,0.17898605346995805,0.17794139345678453,0.17157753357080996,0.17440657079843086,0.17944887808401191,0.1784048573465359,0.17217605208005263,0.1700119577415077,0.1707927933150007,0.174000188406928,0.17784468381260043,0.17102112983259637,0.17491511561871692,0.17278963534311245,0.17285786750953172,0.1734810692539139,0.16927849884780605,0.17121945527972077,0.17565513740540784,0.17004185224859195,0.1780685047548311,0.1798750318708609,0.1713397027820662,0.169952977781888,0.1733915748468032,0.17589365476056712,0.1788704789454292,0.17673854864289126,0.17181130743981887,0.1734769658282812,0.17171970535807948,0.1744452644151875,0.17339897238444496,0.1725853931637633,0.1763755678153484,0.17254422090791166,0.17435706397044312,0.17693953653654035,0.17526973783416222,0.17637081816973368,0.17271468520256783,0.17251473835359296,0.1724801829511781,0.17336476186175498,0.17020572477456458,0.17444807237159612,0.17013900695358775,0.17344120250519693,0.17445662569916273,0.1748355980842,0.17874930374909395,0.1752198543616761,0.17566793083264487,0.17451887369559568,0.16699842007225743,0.18189873286430164,0.17285352980785146,0.1770713684077177,0.17589524575641222,0.16929756627746634,0.17855867921451601,0.17382601739332462,0.16924212452961326,0.18286756081426497,0.17763617526338346,0.16692877778916348,0.172309782061942,0.17185696986465895,0.17507484740254514,0.17232718101556174,0.18182165135261738,0.17082691282352142,0.1791622037268356,0.1721111223854839,0.177792721886215,0.17200174469903193,0.1713600471155013
global AUC,0.904689264538294,0.9034652874185782,0.9054611558681466,0.9026260662206447,0.9082744940906546,0.9043044880582563,0.9027636412755737,0.9072503052604424,0.9073409998494371,0.9030896572536872,0.9035888715263878,0.9019265805394368,0.9056359832726965,0.9047565295688005,0.9018987889408445,0.9040967218477917,0.9020891196421282,0.9011483008634795,0.9047287369159387,0.9043318988019874,0.9040725872465676,0.9050068265927623,0.9034354531728076,0.9048489376093186,0.9023729142348459,0.9058376189059516,0.9027778689061986,0.9022284967072198,0.9017004779464937,0.9038086466572902,0.9062730796563212,0.9032817662440691,0.9042324485046999,0.9031447280758891,0.9040690087922781,0.9034735911088181,0.9053135768498228,0.905459774511519,0.9052311569586565,0.9031529276570145,0.9052612787564364,0.9037994634427104,0.9023442905540418,0.9049416361010871,0.9034948022206868,0.9037564086572658,0.9059305622518142,0.9009073285897794,0.9022030049975669,0.9041470329067165,0.903410587435677,0.9072659403408652,0.901791289295837,0.9065230946631888,0.9040481542870716,0.904055204977997,0.9013711312674263,0.9036007399654133,0.9055843572761233,0.9016231475413939,0.906888974416503,0.9028208422493234,0.9063564974135805,0.9025813222318755,0.9047745277943331,0.904517846377777,0.904000760391885,0.9052230628044822,0.9004828340873007,0.9022137841126197,0.9049864965866378,0.902759929983326,0.9035267563388777,0.9017762614746528,0.9037013594475891,0.9020280278867464,0.9030802096810273,0.9039442752671338,0.9042657644755321,0.9030326431492084,0.9038834958390948,0.9042753338163204,0.90412553608781,0.901557524535652,0.9050054233600423,0.9027326842327734,0.9066724601411995,0.9054983383724122,0.9074701404847068,0.9028235390707339,0.9037514050941643,0.9033817618622616,0.904066632205232,0.9032708985703776,0.9032410630067699,0.904978121206071,0.9022378090698148,0.9035085657091593,0.9028438854180361,0.9026285751185145
global NDCG,0.4932398628508098,0.4952890097491848,0.49380836729725774,0.4903481108076514,0.49470870974202885,0.49199745770889597,0.4936326527073708,0.4944421144240134,0.49544718694711876,0.494792407425449,0.48969470452195263,0.49032176194907173,0.4938941120975173,0.49197374918022335,0.4915136229956614,0.4928968674909297,0.4899084228296398,0.49138693413194096,0.49542794379062155,0.49126432258474745,0.4911382649644862,0.49270358123079505,0.4931640534788225,0.493547799082049,0.4893204997303863,0.4931956298346588,0.4905774716444165,0.4938533703305555,0.48979139561118107,0.4934631882208275,0.49232920799427404,0.4920874765068722,0.4918767555554934,0.490465309807224,0.49130383110070674,0.4911547281570148,0.492977620083875,0.49158536907006434,0.49382857833299887,0.49220950278850395,0.491563523274638,0.49260163747279134,0.4891624095831378,0.4923239681414252,0.49276606681430685,0.49540428654228524,0.4948774348940578,0.49006577181525773,0.490657120456882,0.4925192062467963,0.4937566923021427,0.4946156216799625,0.4891972458456637,0.49351721091575873,0.49314856580808614,0.492259414447818,0.49095849915063056,0.4916581321411318,0.4931196617641532,0.4899388204691977,0.4944785891313586,0.4900038834468186,0.4938917713277057,0.4921788240361931,0.49255108957119415,0.4924817157285634,0.4908784830095681,0.4939361179573999,0.4896620544784301,0.48971415535879004,0.4921910201758774,0.49169624457557454,0.4923702084870443,0.49087343206502493,0.4923233519085251,0.49180144616075655,0.4915689103939992,0.49218811072634666,0.49147054273981655,0.48954041812661475,0.49062057081020594,0.4929880052575467,0.4909663838431018,0.48857723234997563,0.49212629304155425,0.49174733576086666,0.49229209061013635,0.4949224379991486,0.49479336924675366,0.4899810718917878,0.49337059124619403,0.4893573085180537,0.49224538016462666,0.4910760258859808,0.4900292681608707,0.49013989909042033,0.49152967121427066,0.49226740847901485,0.49009491349171647,0.48954581627362326
