,1_PMF,2_PMF,3_PMF,4_PMF,5_PMF,6_PMF,7_PMF,8_PMF,9_PMF,10_PMF,11_PMF,12_PMF,13_PMF,14_PMF,15_PMF,16_PMF,17_PMF,18_PMF,19_PMF,20_PMF,21_PMF,22_PMF,23_PMF,24_PMF,25_PMF,26_PMF,27_PMF,28_PMF,29_PMF,30_PMF,31_PMF,32_PMF,33_PMF,34_PMF,35_PMF,36_PMF,37_PMF,38_PMF,39_PMF,40_PMF,41_PMF,42_PMF,43_PMF,44_PMF,45_PMF,46_PMF,47_PMF,48_PMF,49_PMF,50_PMF,51_PMF,52_PMF,53_PMF,54_PMF,55_PMF,56_PMF,57_PMF,58_PMF,59_PMF,60_PMF,61_PMF,62_PMF,63_PMF,64_PMF,65_PMF,66_PMF,67_PMF,68_PMF,69_PMF,70_PMF,71_PMF,72_PMF,73_PMF,74_PMF,75_PMF,76_PMF,77_PMF,78_PMF,79_PMF,80_PMF,81_PMF,82_PMF,83_PMF,84_PMF,85_PMF,86_PMF,87_PMF,88_PMF,89_PMF,90_PMF,91_PMF,92_PMF,93_PMF,94_PMF,95_PMF,96_PMF,97_PMF,98_PMF,99_PMF,100_PMF
ACC,0.6623376623376623,0.6424242424242425,0.658008658008658,0.6554112554112554,0.6493506493506493,0.651082251082251,0.6432900432900432,0.6632034632034632,0.6528138528138528,0.651082251082251,0.6701298701298701,0.6528138528138528,0.6545454545454545,0.6164502164502165,0.6432900432900432,0.6484848484848484,0.6363636363636364,0.6675324675324675,0.6372294372294373,0.6666666666666666,0.5904761904761905,0.6493506493506493,0.625974025974026,0.6502164502164502,0.6822510822510822,0.6536796536796536,0.6536796536796536,0.6675324675324675,0.6303030303030303,0.6649350649350649,0.6432900432900432,0.6614718614718614,0.6406926406926406,0.638961038961039,0.6268398268398269,0.6476190476190476,0.6415584415584416,0.6614718614718614,0.6406926406926406,0.6354978354978355,0.6649350649350649,0.6398268398268399,0.6363636363636364,0.638961038961039,0.645021645021645,0.6484848484848484,0.6199134199134199,0.6476190476190476,0.6554112554112554,0.6346320346320347,0.6346320346320347,0.6476190476190476,0.6181818181818182,0.6424242424242425,0.6458874458874458,0.6545454545454545,0.6285714285714286,0.6432900432900432,0.6458874458874458,0.638095238095238,0.6562770562770562,0.6727272727272727,0.6562770562770562,0.6536796536796536,0.658008658008658,0.6311688311688312,0.651082251082251,0.6372294372294373,0.6571428571428571,0.6519480519480519,0.6597402597402597,0.6242424242424243,0.6346320346320347,0.638961038961039,0.6493506493506493,0.6536796536796536,0.6502164502164502,0.6597402597402597,0.6528138528138528,0.6329004329004329,0.6588744588744588,0.6796536796536796,0.6406926406926406,0.6398268398268399,0.638961038961039,0.6588744588744588,0.6554112554112554,0.6354978354978355,0.6502164502164502,0.6441558441558441,0.638095238095238,0.6476190476190476,0.6484848484848484,0.6606060606060606,0.6536796536796536,0.6519480519480519,0.6761904761904762,0.6346320346320347,0.6649350649350649,0.6484848484848484
AUC,0.5733091676530403,0.5559388412140525,0.5636235961936342,0.5694984090368143,0.5787145825551793,0.5604956230962481,0.5622141078874522,0.569870149961192,0.5730392393134712,0.5637697220446739,0.579627170753064,0.565436398374041,0.5644853203663017,0.5540822945422459,0.5684010076039954,0.5711680959254284,0.5599932580857555,0.5778694771672382,0.5603905779829794,0.572248962762535,0.5439450204844009,0.5730725045430912,0.5511624063893305,0.5569947308236809,0.5848079127038988,0.5584347925929036,0.5678764306364402,0.5806083962271927,0.5610392585690009,0.5634057753837991,0.5610039564562217,0.5813829323848037,0.5630908955008347,0.5687306159031214,0.5616970624575809,0.5637867370410876,0.5580701879018131,0.5682341826290622,0.5639058919464851,0.5731302863450268,0.575126597463407,0.5655398896323541,0.5655120102840124,0.5635871571046358,0.5649128774564407,0.5622160178453479,0.5498734275901187,0.5542202029391448,0.5708568524859418,0.553842908632976,0.559619186903759,0.5613879617030328,0.5436602273963272,0.5659565695192886,0.5662373993571775,0.5770887107671034,0.5600823452092513,0.5674682895475062,0.5632272001457317,0.5571313284154951,0.5740325550118842,0.5758777002287667,0.5713580205708324,0.5640428941605198,0.5734123765181565,0.559109929323956,0.5668419366263053,0.5668874675573143,0.5840307772713653,0.5713829920503507,0.5750103013608693,0.5546476159088486,0.5607328734158117,0.5551627734064719,0.5749280408768838,0.5686811396514403,0.5683722507575285,0.5747581449104359,0.5736187804195503,0.5568149826355152,0.5707677051216151,0.5813767240739672,0.5602162596332227,0.5644331563959583,0.560788230851066,0.5761950711214858,0.5689548906122592,0.558666941280787,0.5738573877209555,0.5603330128237549,0.5570585803241591,0.5777922799697985,0.5675548785117649,0.5740976157905074,0.5739704769446025,0.5641514702441704,0.5763043383872317,0.5675051557305699,0.5756007198035803,0.5661227034607156
Fscore,0.00023928105202436606,0.00022559010511289982,0.000245078643264611,0.00025161132689069426,0.00024834117566369633,0.00022494100659399386,0.00022845435809732456,0.00024023448607505548,0.00022787579414847278,0.00023203032866983835,0.0002796488061326916,0.0002262616847824391,0.0002542608447057469,0.00023030286771238257,0.00024726825991110515,0.00025464717195310094,0.00023743349391632283,0.00023629124528590605,0.00024525146947872596,0.00023837375562421124,0.00022094023514114306,0.0002281890486399703,0.00023712011178899205,0.0002415374167387519,0.0002298754298824678,0.00023766435494520027,0.00026403312611679127,0.00023508505070696085,0.00021510177224612164,0.0002614896011991359,0.0002481372335082292,0.00023596110821265964,0.00022323835157755896,0.00023118921517480137,0.00022346179483410383,0.0002290775504228997,0.00023724051694845713,0.00023451884027116736,0.0002362446133261146,0.00022101015206777233,0.00022768614348906135,0.00022444975491560682,0.0002226640126733009,0.0002274121164845756,0.00024275495085288403,0.00022919010859917367,0.00020552873073874936,0.00024886002611609827,0.00022985648213440707,0.00022716302937324042,0.00022367471355474837,0.00026063035694015054,0.0002532374474871032,0.00025238884929498756,0.00022515819832537144,0.00023507418948066815,0.00025481769903842774,0.00022587194175883316,0.00024006992842234623,0.0002223167097718581,0.00027319328017831536,0.000254786916595883,0.00025522566040371005,0.0002476440691024099,0.00023377167066182493,0.0002206292505016431,0.0002407375053070392,0.00022408184771654,0.00023360177862887736,0.00023270919333098162,0.00023156566074236838,0.00024173065054057077,0.00021771398211104767,0.0002494981353503906,0.0002430566223673526,0.00024186675605329376,0.00023640810441872696,0.0002238843997336768,0.00021986864467022835,0.00021368119882502775,0.0002455428919187371,0.0002417301007536697,0.00021696834100143632,0.00022446043107940901,0.00023676988419278703,0.0002386281109801992,0.00023119165743012185,0.00026982139268447397,0.000247993566535331,0.00024177792944757783,0.0002443710148564542,0.00025771163189586646,0.00023956239127579496,0.0002647357420140376,0.000246830152742888,0.00026140474265747715,0.00022714530513968305,0.00023568426648921145,0.00022214544056020725,0.0002519925432389752
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0008888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5798147088441009,0.563556903971762,0.57951385801398,0.5698144011018907,0.5728506454019532,0.5819578776695188,0.5771840810617349,0.5750967943901818,0.5792777196822873,0.5735090282072796,0.5828839094868398,0.5716649579729576,0.5641587547565097,0.5561187718742998,0.5612832335092983,0.5752930363566171,0.5660932135919193,0.5754868785982644,0.5658909436326732,0.574516090305236,0.5401047763632394,0.5665405994459641,0.5525153852736128,0.5741358767189864,0.5867577596867709,0.5779132916995752,0.5647955637427952,0.5736528729440775,0.5612272141787485,0.5799683033677973,0.5711367211944488,0.5849944312019075,0.5563308572593865,0.560712739644014,0.5656485608133375,0.5653445952882689,0.5721819510617614,0.5781586171884526,0.5594810377185604,0.5646371411028053,0.577905823251778,0.5673975161591632,0.5463442733328829,0.5574574072210617,0.576302959769452,0.5711659799759352,0.5528547638620441,0.5637259647872535,0.5682794859465853,0.5640452273217613,0.5695294854950493,0.561770949865006,0.5558310714371679,0.5685317440497218,0.5702322557113805,0.578061951487045,0.5667624154847497,0.5659761760903054,0.5686686971840603,0.5703806605291584,0.562432717706269,0.578466332447179,0.572802058598436,0.5665881680415111,0.5723502093119234,0.5574759023456969,0.5714954487705903,0.5668162307145559,0.5738041605153882,0.5667766681298387,0.576935559731901,0.5645652170049338,0.5542756097414138,0.5593687241626866,0.5758240217402879,0.5730684079566318,0.5621143513113295,0.5722681189346381,0.5815616207423517,0.5560997127131905,0.5730218344022601,0.5786481505701356,0.5584636880224101,0.5597590290034676,0.5758347711807507,0.5848692521192815,0.5676327263768862,0.5646989511403341,0.5766824174243219,0.5660812447603277,0.5725216311435197,0.5807582143862343,0.5678180293186416,0.565137866008959,0.5646578440461706,0.5670973097132287,0.5890030328521,0.5682550155389821,0.5801283444754762,0.5731474022125321
NDCGk,0.18169115139925104,0.18137509293209933,0.182910983836986,0.18436067708282486,0.18348857911073044,0.17864163092090152,0.1830490285898358,0.17351245276593055,0.1854037418155902,0.18543391730878822,0.1906313460805216,0.17816820255532687,0.18655758765404562,0.1761775487954131,0.1816073244366172,0.18582770897721987,0.1804497591802764,0.17821223111346352,0.1775105429199913,0.18206774531945605,0.17505041215112044,0.18654919189612046,0.1840643970850997,0.17584249545538103,0.18328168277838955,0.18278977361777568,0.18649159975475604,0.19238990588262123,0.18440426354487632,0.17886136387755494,0.19429701414905887,0.18459969499184048,0.1799961610658091,0.1854455440188256,0.18361695172888168,0.18489227186797033,0.18018334312126158,0.17670429590365122,0.17954740885423043,0.18007626028197773,0.17562252298453046,0.1773287804493697,0.18225822127999897,0.18418351231325905,0.18215719215942033,0.18033527986559647,0.17191870483306368,0.18179407350430027,0.1818966044294827,0.17762268215089239,0.18306512390773524,0.18092999482131086,0.18045667376533356,0.1879072325706533,0.18579699102355604,0.18701185346761864,0.18340952456341503,0.18806133567811,0.1730349291565255,0.1785681207949179,0.18027505355741497,0.18272117421696343,0.18250476167109037,0.18252791328353324,0.18411117947470143,0.1776945435082499,0.18141172685956697,0.18245262401624965,0.186419517845318,0.18347200774620254,0.18654807024472622,0.18023945504037597,0.17841476918912205,0.17884049275582303,0.18368002780934842,0.18694457863821295,0.1834350439047256,0.18697277162970222,0.1858110351183026,0.17735515865838383,0.1844827259774485,0.17910176911374817,0.1820188817765824,0.17673225787334138,0.1815897971745734,0.18082204255385165,0.17941446945421274,0.18246577344494083,0.18333843663931831,0.18145922497689002,0.1782260237245028,0.18484107964223193,0.1819114889636658,0.18004529351376383,0.1846160119148763,0.18379545179273474,0.17835649669745351,0.1811594667792586,0.18182590882056915,0.1855593705377536
global AUC,0.6552148902390128,0.6426111372372275,0.652594053195145,0.6512785799780382,0.6445847677164227,0.6478448500087471,0.6415609814853801,0.6573630539815641,0.6456532893702949,0.6470274015847648,0.6663188252011266,0.6471857871291482,0.6502257859167384,0.6176863288589476,0.639269099195889,0.6474144175968125,0.6349652136526585,0.6628666376083634,0.6346307102778427,0.6635301542495132,0.5936426278062925,0.6436851321312684,0.6212893687133004,0.6468244425797053,0.6779837617456331,0.6468484451336731,0.6467328307762354,0.6596373041406107,0.6319630336209843,0.6630090045817894,0.638518541536736,0.6557525434416696,0.633440622915141,0.6327599575261171,0.6260880840859007,0.644863009998758,0.6436299975257611,0.656321536386959,0.6399223688645221,0.634448249434895,0.6607943364641842,0.6359156565941098,0.6273191198035634,0.634548165192172,0.6410164070033806,0.6462071994088183,0.6210643549171955,0.6462191896159724,0.6502353175673916,0.6326638724571101,0.6318175412655912,0.6431156131054925,0.6168567558084485,0.6405823310360141,0.6416863936965226,0.6496710292997971,0.6284171536238701,0.6408340299748589,0.6402773640758325,0.6349146081889726,0.6486705201535148,0.6663085123367651,0.6542448426288605,0.6515289442116815,0.6534271100792451,0.6313135978034294,0.6470957820324141,0.6361333490155923,0.6503239895403286,0.6430993293857528,0.6600531196329033,0.6269922245646773,0.6304460916087724,0.6358533070952008,0.646834709056208,0.6513910151857638,0.6472709262449523,0.6556588995337165,0.6507231396673187,0.6276346547613282,0.6557124891072544,0.6712416423278666,0.6358403300917841,0.6362097250432167,0.6358711490252784,0.6553767712139617,0.6550005593558675,0.634104687249302,0.646814585159773,0.6359400771659391,0.6355064698213705,0.6486371419807813,0.6442712922741481,0.6565028148666495,0.6466188236526681,0.6475342922573459,0.6729072642793393,0.6334263981837571,0.6588081701933628,0.6467738919380339
global NDCG,0.49121574905998067,0.495110592713396,0.49046364096378253,0.4900850996797332,0.4918121564771847,0.49116214812787345,0.49144642350826784,0.4941724583536694,0.49028087739782894,0.49266069902046505,0.4938023187855078,0.49219681168408386,0.49157574295115275,0.4886559160318584,0.4908161414379763,0.49419913303181306,0.4870274648135862,0.4949640594513079,0.49051277667943965,0.4961498589381587,0.48435819363038646,0.4904285028243207,0.4895090497010275,0.49494411953449474,0.4978739270041277,0.49322962775657475,0.496038842250292,0.4915563771863883,0.4899340319186895,0.494513764719177,0.4902187825765532,0.49820483685511324,0.48804959682961774,0.4894056354969152,0.4863355077260606,0.4909555562157852,0.49610765206932783,0.4907128142107511,0.4923001774880936,0.48865667614901837,0.5008263440921781,0.49318270963794625,0.4857094855348668,0.4864848619649906,0.48932276267033276,0.49270413382987327,0.48867698278971583,0.4930336846977012,0.49397752452042215,0.4915545889651698,0.48874064540842277,0.4908690982502615,0.4871312937758498,0.4912114160066317,0.49328723797507457,0.488681040365278,0.4857069604439863,0.4880951632957927,0.49266904196490985,0.4929517402654291,0.49514358078921455,0.49837699613945285,0.4924548283217326,0.493137736907166,0.4914060538447701,0.48838858002260965,0.4908041262075161,0.48871940164297256,0.4922981538497332,0.49029318215267825,0.491771169198084,0.49060064054771196,0.48609717328371516,0.48569767786539375,0.49162468521437547,0.49357529231141506,0.4896565850848681,0.49338414829432226,0.49411040007587437,0.48824688946186195,0.4893044100892193,0.4973102226919626,0.4885611649818549,0.49126198185733166,0.4897672094132223,0.49248519703329724,0.4915371534507394,0.4873555922303747,0.49305349272035964,0.49039042867163557,0.4907186708249063,0.4914899240736981,0.4930363933104359,0.49197395507548825,0.4922395392333068,0.4936435789738367,0.49741093243306866,0.48838709250630824,0.49739946568289256,0.49033777101776255
