,1_BNNR,2_BNNR,3_BNNR,4_BNNR,5_BNNR,6_BNNR,7_BNNR,8_BNNR,9_BNNR,10_BNNR,11_BNNR,12_BNNR,13_BNNR,14_BNNR,15_BNNR,16_BNNR,17_BNNR,18_BNNR,19_BNNR,20_BNNR,21_BNNR,22_BNNR,23_BNNR,24_BNNR,25_BNNR,26_BNNR,27_BNNR,28_BNNR,29_BNNR,30_BNNR,31_BNNR,32_BNNR,33_BNNR,34_BNNR,35_BNNR,36_BNNR,37_BNNR,38_BNNR,39_BNNR,40_BNNR,41_BNNR,42_BNNR,43_BNNR,44_BNNR,45_BNNR,46_BNNR,47_BNNR,48_BNNR,49_BNNR,50_BNNR,51_BNNR,52_BNNR,53_BNNR,54_BNNR,55_BNNR,56_BNNR,57_BNNR,58_BNNR,59_BNNR,60_BNNR,61_BNNR,62_BNNR,63_BNNR,64_BNNR,65_BNNR,66_BNNR,67_BNNR,68_BNNR,69_BNNR,70_BNNR,71_BNNR,72_BNNR,73_BNNR,74_BNNR,75_BNNR,76_BNNR,77_BNNR,78_BNNR,79_BNNR,80_BNNR,81_BNNR,82_BNNR,83_BNNR,84_BNNR,85_BNNR,86_BNNR,87_BNNR,88_BNNR,89_BNNR,90_BNNR,91_BNNR,92_BNNR,93_BNNR,94_BNNR,95_BNNR,96_BNNR,97_BNNR,98_BNNR,99_BNNR,100_BNNR
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.001312597373107167,0.0017191820033748936,0.001031302685640168,0.0012661773641341608,0.0013708463847358515,0.0012143242892492172,0.0014003931507319618,0.0012412832329429177,0.0012559756523882475,0.001443635109436188,0.001852320681038558,0.0012878398898115617,0.001652944570169576,0.0014644213257771397,0.0015444781592039581,0.0015529643205222262,0.0017094227403029586,0.0014622448405436895,0.001294904303768782,0.0014182192185773362,0.0016725295103113063,0.001275415751734456,0.00144357095300882,0.001470045501135046,0.0014962483870762555,0.0014064927740465047,0.0014468713863682002,0.0014322047844769082,0.0014215989532099336,0.0012525797386025736,0.0014503124523580861,0.001509911693333599,0.0012830590510723178,0.0016093121817278074,0.00114614623023633,0.001480238619308458,0.0016030159581818504,0.0015337760093480676,0.001230311555273665,0.0016662453676691202,0.0012038518265947173,0.0015684475217363142,0.0012510954770973122,0.001363099084803115,0.0016312342218125313,0.001379204508715284,0.0013090580434411056,0.0018331822324132397,0.0015776919044112228,0.0013857164568166099,0.0014825144105412387,0.0012872796550949446,0.0014439189700588084,0.0015022410490122293,0.0016706691724832786,0.0014273837991661974,0.0013040599291916347,0.0013017510787711514,0.0014944426164542294,0.0012928637310968413,0.0013367059197644004,0.0012303845191212874,0.0012375203290623514,0.001456370712552682,0.0015357549044806354,0.0014561939819287804,0.001319150495901544,0.0016299629508898655,0.0015790106830048153,0.0012805423871070554,0.0013841450858824477,0.0013413372659146566,0.0013672026433847913,0.0017056733467411898,0.0013520752759018334,0.0013761698467775298,0.0015862246574834026,0.0016182635487312076,0.0012617927932531115,0.0012899008511200606,0.0012179269282395458,0.001635847064402928,0.0014874035086938071,0.0015238238165511979,0.0015177863634335074,0.0013204488327524882,0.001491046664700973,0.0014016270283314792,0.0013153084495856793,0.001429258925709433,0.0012960190607313898,0.0014907990554726457,0.0012698030950105028,0.0011619280726890377,0.0015795179156450141,0.001237565376260148,0.0014722517767488319,0.0012522910287803273,0.00164143029958636,0.0013615713989582252
HR@10,0.025839793281653745,0.023255813953488372,0.023255813953488372,0.025839793281653745,0.023255813953488372,0.025839793281653745,0.023255813953488372,0.025839793281653745,0.025839793281653745,0.023255813953488372,0.025839793281653745,0.025839793281653745,0.025839793281653745,0.025839793281653745,0.025839793281653745,0.025839793281653745,0.023255813953488372,0.025839793281653745,0.025839793281653745,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.025839793281653745,0.025839793281653745,0.023255813953488372,0.025839793281653745,0.025839793281653745,0.025839793281653745,0.025839793281653745,0.020671834625323,0.025839793281653745,0.023255813953488372,0.025839793281653745,0.025839793281653745,0.025839793281653745,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.025839793281653745,0.025839793281653745,0.025839793281653745,0.023255813953488372,0.025839793281653745,0.025839793281653745,0.025839793281653745,0.023255813953488372,0.023255813953488372,0.025839793281653745,0.025839793281653745,0.023255813953488372,0.020671834625323,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.025839793281653745,0.023255813953488372,0.025839793281653745,0.025839793281653745,0.025839793281653745,0.025839793281653745,0.025839793281653745,0.025839793281653745,0.023255813953488372,0.025839793281653745,0.025839793281653745,0.025839793281653745,0.023255813953488372,0.023255813953488372,0.025839793281653745,0.025839793281653745,0.025839793281653745,0.025839793281653745,0.023255813953488372,0.025839793281653745,0.023255813953488372,0.025839793281653745,0.025839793281653745,0.025839793281653745,0.025839793281653745,0.025839793281653745,0.023255813953488372,0.023255813953488372,0.025839793281653745,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.025839793281653745,0.025839793281653745,0.023255813953488372,0.023255813953488372,0.01808785529715762,0.023255813953488372,0.025839793281653745,0.023255813953488372,0.023255813953488372,0.025839793281653745
HR@2,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075
HR@5,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.0103359173126615,0.0103359173126615,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873
Lin's AUC,0.8718647447594136,0.8990018764790778,0.8468177170414931,0.8682675019841724,0.8777456188086133,0.8707905949250484,0.8726104702478781,0.8854491238003057,0.8694055078091943,0.8819166218144959,0.8706811354850096,0.873719925367206,0.8949793367446872,0.8629410997498417,0.8740586840897343,0.8762525795178557,0.8665093418103549,0.8856431155016413,0.8707159220089533,0.8637195514001819,0.8732385500732048,0.8627877749612023,0.8765676879013559,0.8675955674789344,0.8889530740798712,0.8715951370216944,0.8768112110413674,0.8756358860671053,0.9027241468452025,0.878666318501059,0.887240525700255,0.8558432586508906,0.8768878622206587,0.8842406608516318,0.8826444356518166,0.8799633881665194,0.8730648899875428,0.8786449677362809,0.8696074439783442,0.8701177350696069,0.8826285144797065,0.8940508675322137,0.8788041827932329,0.9058478284887885,0.8841375078207304,0.8899972330483711,0.89747189066773,0.8838865352503328,0.8820754484942779,0.8866078854209658,0.8967470848652649,0.884105270334623,0.8825288913743824,0.8716289915957679,0.8949113376338069,0.8772837234086494,0.871060532121189,0.8711039022563042,0.8833286910698216,0.8930563097337164,0.8896613094685394,0.8540877001756999,0.8853951912766905,0.8819619032071708,0.8680593871879906,0.8951171483107665,0.8724454445154497,0.8782726745850526,0.8614075018479191,0.8823826443358473,0.8688967123933681,0.8954990814162136,0.8628587331997101,0.8857163996971386,0.8638033178035003,0.8867995599101086,0.8733404513867415,0.8867490857478938,0.8681289024732713,0.9002227583925969,0.8626429102795129,0.8961747562719785,0.8627221425285186,0.8933716393226429,0.8914189010078691,0.87199247274173,0.8908102016506778,0.8920970495827468,0.888394844622355,0.8847334624946177,0.8703964749165195,0.8838004054106191,0.8747197369088402,0.8757483237016117,0.8966193653862895,0.8705371627976044,0.8529947647308246,0.8806673590341207,0.8704970792988883,0.8688807375124291
NDCGk,0.23097107734558092,0.22329439422180972,0.23772181628030523,0.24026754115860635,0.24996898234148415,0.23378220700949867,0.23655386231180275,0.2372292503680283,0.22020708774737038,0.23524928133639156,0.2289490864487988,0.22162795730776239,0.2177240999816248,0.2266647538497661,0.2233418790015492,0.22755992969700506,0.22863623689969792,0.23578659572476782,0.2257785551056406,0.22445738290664263,0.22611277926835352,0.22959284121827672,0.23486997199996518,0.2430122923629786,0.21984519263574037,0.2305972311295642,0.2353172384079639,0.23328154655192018,0.23425941969745184,0.22300876726308047,0.23446670825836302,0.2398764199596599,0.24769165595630427,0.24373850691828056,0.23581348543644837,0.23883436696988972,0.228518065590755,0.23249879049550135,0.21614233888194992,0.23054683350285343,0.231406567006586,0.2166117078197694,0.2376455242552693,0.23933797821571723,0.23519336685226166,0.21933973652545508,0.2373807693920819,0.2352693078204087,0.24171675948178004,0.23116573544091476,0.2221604421696475,0.22255288112732133,0.24698357695502138,0.2299111248527119,0.22538207268017604,0.23322288450381723,0.22926649400924964,0.23160202736481372,0.22688774738369624,0.23035300412493825,0.22394990724063396,0.21761035640061965,0.22866467057443438,0.23590173307785955,0.23385274049938198,0.24707133208399715,0.23186878475487754,0.25044815405641413,0.2397383917543785,0.2410468993484287,0.23119658053150793,0.23559395514115572,0.22962804378221816,0.24448356919822045,0.23644993281972396,0.2318072591263751,0.25549064463007465,0.22962521986777668,0.21994682790624862,0.21664107721278178,0.23894296279583557,0.2174485716196305,0.23859617806590835,0.23813633439700144,0.22901933458407792,0.21806512041309406,0.23128807989704522,0.2288104019299852,0.2157998490063942,0.21904431292061596,0.2250646261407235,0.22157255313599591,0.22712055954863813,0.23377417989642688,0.23030445168782457,0.22459679652432896,0.2381947943569186,0.24983148742829564,0.2276194645223727,0.2265801114150952
global AUC,0.9763708788646305,0.9798125411737914,0.9722611516923458,0.9764699149902023,0.9778484827913885,0.9785187379167627,0.975186560818686,0.9797761158570049,0.9770970275295319,0.979603106065305,0.9748681776016416,0.9781298338355451,0.9806376213339021,0.9743655821687766,0.9739589397534747,0.9769342226858324,0.9762261401968172,0.9774942950643737,0.9763956623097747,0.9762412557964872,0.9747052193000776,0.9752500505225143,0.9781939234201171,0.9766013167745043,0.9778475899456305,0.9754014018292234,0.9770549940253273,0.9785027224959771,0.9818068935337516,0.9773572641665813,0.9811198417475536,0.9739680495703501,0.9770075406683569,0.9802725590245682,0.9774545634281393,0.9761581304613387,0.9777793988508573,0.9776327768365229,0.9745271244727711,0.9761175548068486,0.9784106547525329,0.978861960381811,0.9783854458105822,0.981334724610236,0.978304552589829,0.9794378668218432,0.9803839554836032,0.9764055812681184,0.9787101068493631,0.9778150429276056,0.9812350467517756,0.9783467674533278,0.9785722947115322,0.9768122655355651,0.9792043527793186,0.9763094678173329,0.9761497042294968,0.9771331459305891,0.9787116553787247,0.9787368224685304,0.9793362149372146,0.9730398666512541,0.9783808839267869,0.9781137905133297,0.9765577068395082,0.9793274050607111,0.9767377268654805,0.9774519755705123,0.9750249278350441,0.9774342163103558,0.9760419628577838,0.9803059291347763,0.9749480175434148,0.9790031695187369,0.9749236386690047,0.9799960907306511,0.9757812797978552,0.9780802599698994,0.9767704203660126,0.9813627515966106,0.9730380809597379,0.9800259382853292,0.9758381777888603,0.9807759915003316,0.9785988498974776,0.9776011296396137,0.9780318091368086,0.979308864560516,0.9786981929387786,0.9765472298525657,0.9765172706921678,0.9792062919286995,0.9771115781252455,0.9769245129882134,0.9795236916203384,0.9764384421772301,0.9739726533062901,0.979296148483821,0.9756963478451182,0.9751837288235471
global NDCG,0.8205529154284341,0.8409688343261609,0.8245283280588211,0.8320679007892434,0.8129741302915006,0.8376178423735438,0.8227898125106693,0.8371050807613529,0.8448515870527278,0.8421159773404365,0.8297418606182171,0.8350895500173987,0.8546018867907232,0.8253194035642665,0.819419670083723,0.8372595871687097,0.8198095846368897,0.8367941956016552,0.8407249695807327,0.8356771922373336,0.822143091908077,0.8076495480337359,0.8411019759503063,0.8353079857532484,0.8464485068065448,0.8332015199026773,0.8284643484148567,0.8462153786557242,0.8345783737020331,0.8257792419526262,0.8463078134917283,0.8294996224642561,0.83334274352609,0.8387108559777626,0.8381685798397297,0.835548725578649,0.837065808990836,0.8275242922913352,0.8190093434283086,0.8310645739210496,0.8385081887110432,0.8428658232141659,0.8439910478611529,0.8365311440442766,0.8354117865110764,0.8350225900653436,0.8188457332888622,0.8457059724457865,0.8477890420752359,0.8294576483126485,0.8395935584431352,0.8356605583229626,0.8275944184207159,0.8200402340553736,0.8081116821634312,0.8192946081228746,0.837328995901437,0.8285778067149738,0.8263101701639965,0.8360491104471902,0.8395662017465066,0.8270862508820865,0.8355489852340356,0.8292104961825529,0.8420438770392533,0.8246346328620867,0.8354075153875492,0.814299372156092,0.8442173725948637,0.8295706041599458,0.8317223603138404,0.8494286333119365,0.8351017434089697,0.8548322933147393,0.8260453919381092,0.8389088286698994,0.8414322494148365,0.8223702760548958,0.8274299872831212,0.8380705604269569,0.8271589462446935,0.8358245860705041,0.8233501341062709,0.8287092569329155,0.8363462129948758,0.8434586270581104,0.8351372465481207,0.8348833704120185,0.8213139735865213,0.8282299032610159,0.8280682616172548,0.8514807310209617,0.8241211323552362,0.8354190152453008,0.828747920202775,0.8356947025640132,0.8329414771072997,0.8374621338427738,0.8293577422832568,0.8252070097830677
