,1_DDA_SKF,2_DDA_SKF,3_DDA_SKF,4_DDA_SKF,5_DDA_SKF,6_DDA_SKF,7_DDA_SKF,8_DDA_SKF,9_DDA_SKF,10_DDA_SKF,11_DDA_SKF,12_DDA_SKF,13_DDA_SKF,14_DDA_SKF,15_DDA_SKF,16_DDA_SKF,17_DDA_SKF,18_DDA_SKF,19_DDA_SKF,20_DDA_SKF,21_DDA_SKF,22_DDA_SKF,23_DDA_SKF,24_DDA_SKF,25_DDA_SKF,26_DDA_SKF,27_DDA_SKF,28_DDA_SKF,29_DDA_SKF,30_DDA_SKF,31_DDA_SKF,32_DDA_SKF,33_DDA_SKF,34_DDA_SKF,35_DDA_SKF,36_DDA_SKF,37_DDA_SKF,38_DDA_SKF,39_DDA_SKF,40_DDA_SKF,41_DDA_SKF,42_DDA_SKF,43_DDA_SKF,44_DDA_SKF,45_DDA_SKF,46_DDA_SKF,47_DDA_SKF,48_DDA_SKF,49_DDA_SKF,50_DDA_SKF,51_DDA_SKF,52_DDA_SKF,53_DDA_SKF,54_DDA_SKF,55_DDA_SKF,56_DDA_SKF,57_DDA_SKF,58_DDA_SKF,59_DDA_SKF,60_DDA_SKF,61_DDA_SKF,62_DDA_SKF,63_DDA_SKF,64_DDA_SKF,65_DDA_SKF,66_DDA_SKF,67_DDA_SKF,68_DDA_SKF,69_DDA_SKF,70_DDA_SKF,71_DDA_SKF,72_DDA_SKF,73_DDA_SKF,74_DDA_SKF,75_DDA_SKF,76_DDA_SKF,77_DDA_SKF,78_DDA_SKF,79_DDA_SKF,80_DDA_SKF,81_DDA_SKF,82_DDA_SKF,83_DDA_SKF,84_DDA_SKF,85_DDA_SKF,86_DDA_SKF,87_DDA_SKF,88_DDA_SKF,89_DDA_SKF,90_DDA_SKF,91_DDA_SKF,92_DDA_SKF,93_DDA_SKF,94_DDA_SKF,95_DDA_SKF,96_DDA_SKF,97_DDA_SKF,98_DDA_SKF,99_DDA_SKF,100_DDA_SKF
ACC,0.48320413436692505,0.5503875968992248,0.5736434108527132,0.46770025839793283,0.5090439276485789,0.537467700258398,0.6149870801033591,0.6330749354005168,0.5658914728682171,0.5917312661498708,0.5167958656330749,0.5322997416020672,0.5400516795865633,0.5943152454780362,0.5607235142118863,0.5503875968992248,0.5167958656330749,0.4806201550387597,0.5090439276485789,0.5271317829457365,0.5607235142118863,0.5064599483204134,0.5271317829457365,0.5968992248062015,0.5478036175710594,0.5788113695090439,0.6098191214470284,0.5452196382428941,0.5710594315245479,0.49612403100775193,0.5633074935400517,0.5142118863049095,0.5710594315245479,0.6020671834625323,0.5297157622739018,0.6976744186046512,0.5142118863049095,0.5633074935400517,0.4806201550387597,0.5839793281653747,0.49612403100775193,0.48320413436692505,0.5116279069767442,0.5710594315245479,0.49612403100775193,0.6434108527131783,0.5142118863049095,0.5529715762273901,0.599483204134367,0.5116279069767442,0.5736434108527132,0.5167958656330749,0.5167958656330749,0.5400516795865633,0.537467700258398,0.5658914728682171,0.5297157622739018,0.58656330749354,0.5710594315245479,0.537467700258398,0.5322997416020672,0.5193798449612403,0.5607235142118863,0.5529715762273901,0.5555555555555556,0.5684754521963824,0.5064599483204134,0.5167958656330749,0.5943152454780362,0.5348837209302325,0.5555555555555556,0.5762273901808785,0.6098191214470284,0.5710594315245479,0.5917312661498708,0.5581395348837209,0.5736434108527132,0.5503875968992248,0.4392764857881137,0.5607235142118863,0.5271317829457365,0.5271317829457365,0.6330749354005168,0.5529715762273901,0.5607235142118863,0.5788113695090439,0.6201550387596899,0.5297157622739018,0.5581395348837209,0.5452196382428941,0.5658914728682171,0.5633074935400517,0.5529715762273901,0.5943152454780362,0.5555555555555556,0.5038759689922481,0.5064599483204134,0.5529715762273901,0.5064599483204134,0.5762273901808785
AUC,0.5199739649150081,0.5232574969983427,0.512613219296094,0.4943571268683897,0.5074043851892006,0.522815809807359,0.5542332495657026,0.5487887462126368,0.552448216199951,0.5367010926243111,0.5234512887505989,0.5230628076646172,0.514351779428532,0.5206345308281782,0.5579877884995479,0.5065220586518407,0.5324604172218292,0.5136012671052615,0.51731398573358,0.5317595172398797,0.5475183796955896,0.533139731259606,0.5176944944261767,0.5388024095113281,0.5281564710041762,0.5366012799344665,0.5460790859930749,0.5302934747621428,0.5376294822387014,0.5277275186512866,0.5072219617269611,0.518317573807732,0.5461095489339036,0.5279966774323078,0.5266012313751119,0.5507369980897393,0.5412530507043444,0.5280545233063612,0.5145523388538836,0.5389572341023834,0.5131137114911483,0.4975982248965149,0.5058164230457557,0.5359056198798604,0.5093745858604569,0.5510256046970045,0.5195321786943092,0.5410403046734736,0.5528734736232505,0.5170542442696203,0.538211293324848,0.5193568089313734,0.5254214989642398,0.5578156071701239,0.5271624987052306,0.5444060819648707,0.5502376773497585,0.5304359699062788,0.5426381915686398,0.5304360545430075,0.5191615547735876,0.5360712820732797,0.549271741424101,0.5559058098776363,0.5291754639290485,0.5282881335948072,0.540065719052794,0.512172587557855,0.5475956325245556,0.5273385111404535,0.5336498897427521,0.5257090889212362,0.5531726572339595,0.5208564810922413,0.5352111839300997,0.5495664464159036,0.4998390867909029,0.5367355729340602,0.48742644165337845,0.5321759381002256,0.5243139286635221,0.5271011106221312,0.5446029637739125,0.5363801430661083,0.5181464166799227,0.5397977827078044,0.5588711841556387,0.5328235934563336,0.5401153456471982,0.5387665512481271,0.5251779041980615,0.5505671774281798,0.5430292916124725,0.5519220161402624,0.5463980990833971,0.5136250377865565,0.5166208545717882,0.5469722435168682,0.5284290396442071,0.5480431540201816
Fscore,0.0012720772104399417,0.0015163003306059007,0.0011065758656409637,0.0011092322354479068,0.001299944216429214,0.0011456173099516685,0.0014600738475621855,0.0012945657808719738,0.0013025972736992997,0.0014561880538543081,0.0016813558486266564,0.0012049990194194663,0.0016426431058357371,0.001502352461418874,0.0017256464461814492,0.001553403355399875,0.0015905457808475846,0.0013484471117248518,0.0012442359674403724,0.0012947886742475652,0.0013166518733366505,0.0011630890129141651,0.0013270202718668777,0.0016321524403133056,0.0015315123884363966,0.0015520504529920312,0.001394509951100585,0.0014000741892690198,0.0014929533851020366,0.001110393792642444,0.0014849356908632756,0.0014854543733190204,0.001331802943112584,0.0016661426320436026,0.0011179058869868785,0.0014508545631152579,0.001557421511412473,0.0015370548072401917,0.0010828717240991376,0.0019172853745609661,0.0011270562103108594,0.0014045347416161184,0.0011985394768153207,0.0013153922880511392,0.0014706846688167907,0.0014376656008347304,0.0012225427450561098,0.001839248630124471,0.0015587431294992527,0.001388566780671104,0.0015139715406324232,0.001244832644236485,0.0015293417340831346,0.0013895940559948373,0.001625624738597636,0.001383057923023355,0.0012540345022891755,0.0013491805930829048,0.0013183425667149826,0.0012495738992249214,0.0013333298835132576,0.001248612749004303,0.001299102734094485,0.001484086441539397,0.0016393054708131664,0.0014808288536539548,0.0011550758086558725,0.0017029047469798264,0.0016306316512156988,0.0013291100202965345,0.0014758379088075,0.0014665631053969934,0.0014701745994306489,0.001622740988005893,0.0014670469706730216,0.001219960513489301,0.001480949925373525,0.001615894451256868,0.0010935510170735963,0.001419069085957664,0.0012503960025563113,0.001707709417848659,0.0015579967105599874,0.0015249192672904075,0.0015707507602049438,0.0013204221477961585,0.0014588195887653805,0.0013309743084604893,0.0013931890042943177,0.0015005703870573292,0.0013783092156574087,0.001487562990207614,0.0013754244603242493,0.0011092962544784113,0.0014139261266876574,0.0012173107480505643,0.0014377166919141932,0.0012206482537756912,0.0015972179502820062,0.0013640638354198219
HR@10,0.0,0.0,0.0,0.0,0.0,0.00516795865633075,0.0103359173126615,0.007751937984496124,0.0,0.007751937984496124,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.007751937984496124,0.0,0.002583979328165375,0.00516795865633075,0.007751937984496124,0.0103359173126615,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.007751937984496124,0.002583979328165375,0.002583979328165375,0.007751937984496124,0.00516795865633075,0.002583979328165375,0.007751937984496124,0.0,0.002583979328165375,0.0,0.007751937984496124,0.0,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.0,0.0,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.007751937984496124,0.002583979328165375,0.0,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.0,0.00516795865633075,0.007751937984496124,0.00516795865633075,0.0,0.0,0.0103359173126615,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.007751937984496124,0.00516795865633075,0.0,0.007751937984496124,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.012919896640826873,0.007751937984496124,0.002583979328165375,0.0,0.0,0.002583979328165375,0.015503875968992248,0.007751937984496124,0.012919896640826873,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.0,0.00516795865633075,0.007751937984496124,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.007751937984496124,0.00516795865633075,0.00516795865633075,0.007751937984496124,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.0,0.00516795865633075,0.0,0.002583979328165375,0.0,0.0,0.0,0.002583979328165375,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0,0.00516795865633075,0.0,0.00516795865633075,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.002583979328165375,0.002583979328165375,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.00516795865633075,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.00516795865633075,0.0,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375
HR@5,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.00516795865633075,0.0,0.0,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.0,0.0,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.007751937984496124,0.002583979328165375,0.0,0.002583979328165375,0.0,0.002583979328165375,0.00516795865633075,0.0,0.00516795865633075,0.0,0.0,0.0,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.0,0.002583979328165375,0.0,0.00516795865633075,0.0,0.00516795865633075,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375,0.0,0.002583979328165375,0.0,0.00516795865633075,0.0,0.0,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.0,0.0,0.007751937984496124,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.0,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.0103359173126615,0.00516795865633075,0.0,0.0,0.0,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.0103359173126615,0.002583979328165375,0.0,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375,0.0,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.0,0.00516795865633075,0.002583979328165375
Lin's AUC,0.44108653565591394,0.4806977470863893,0.5214970842976882,0.45538445609065586,0.46383595866033334,0.5213622774785068,0.5459063000228408,0.5647715320709201,0.4986606957521134,0.5487956359959344,0.49335351228727,0.4729185673113076,0.4870166873931063,0.5197371416815727,0.47692934522884445,0.5102514271802178,0.4921318095696448,0.47825298800736804,0.5002546104793854,0.5010432287779889,0.49890153146131994,0.4597139318473897,0.48743666640034133,0.5285584718767867,0.5091644116748237,0.5499383029911556,0.5215582155905484,0.4784806370944369,0.49117839966407,0.48306581501772056,0.5166257969165251,0.48548439926245696,0.525382464633219,0.5362872897778758,0.5221184573487122,0.5881525763305103,0.48071692693959567,0.5149059967705213,0.44926673945891676,0.5125556942815547,0.48042454045038885,0.4622897223403482,0.5033537660932437,0.5057764882670456,0.48742115077627707,0.5637568568953032,0.490376232308894,0.5152155035982176,0.5463148087605407,0.4785589093270768,0.528495060130881,0.4860582685631679,0.47462662102503284,0.5009473952847256,0.49701199817169117,0.5186295101841785,0.4836769960791764,0.5266130197666846,0.5009934013921866,0.4969126637399237,0.4991682258854311,0.5044807712445735,0.5439962069142147,0.47288098886459895,0.4916401997183828,0.5133482405892404,0.47610991703466343,0.49933438777994654,0.530148403524658,0.5096860534553533,0.48997522669893806,0.5279564863960438,0.5085162743659164,0.5319447158359177,0.5184152982837148,0.5092679811004353,0.5252994573101789,0.4773411247076701,0.42884693481238184,0.5113369338384124,0.49575427655915816,0.4879055368682051,0.5488017515577256,0.5123178408802017,0.5292908270892047,0.5278898044373507,0.549093090064663,0.5092434757000563,0.5129690603205934,0.517983135071398,0.5092605588289261,0.5049717614665442,0.5037443470873357,0.5369732024934458,0.5040806258420798,0.48727136381952085,0.47263117367488605,0.4853785020919817,0.47371462194318903,0.5252344977096948
NDCGk,0.2312868469752225,0.24636414557994907,0.23407209270221724,0.24677998917733981,0.23805714366015723,0.24621613318806965,0.2422295952544378,0.2531660155451981,0.25387760087869815,0.24071843808909035,0.23812765952352258,0.23348183108543233,0.2262544883946025,0.2414911414814444,0.23685030297657386,0.23600418701009232,0.2283016964384476,0.23107656953349445,0.22811584472182594,0.2211346262989245,0.23324818621903912,0.2519488929334422,0.23653408489533295,0.2446530833666622,0.23492644274200222,0.2455061408764473,0.23877197622658758,0.24535630578311776,0.23353546826407223,0.22773713848429472,0.22953556425686775,0.24371463034100208,0.23731072700493452,0.250419172873728,0.2374484424978696,0.25046758117776396,0.24055184284153777,0.22766156866626167,0.23019373694702366,0.2506730568369707,0.2345989782364708,0.225947626740246,0.22979792111428546,0.2533215214239057,0.2482309738848053,0.23982313012831596,0.2353089365251941,0.22933754373070359,0.24731060467792268,0.24037088013759755,0.24148103078307384,0.2327211971211353,0.23193703334575727,0.25345100291147454,0.24540688364281252,0.2524039096285856,0.22922331711746705,0.2408012172096551,0.23661887378324428,0.25012588430960137,0.22600157454803804,0.2372172076757725,0.23560970269707104,0.24952280768088836,0.25466546165452336,0.24481588851177394,0.2359314588661414,0.2503547255084822,0.2539049858277827,0.24665953023663525,0.2503953140332877,0.2428963989103334,0.2511498655384199,0.22751816132232713,0.23820487796580883,0.24211059613334543,0.24364291293005907,0.23647251911588085,0.21115329261210358,0.23436020325552073,0.23723687538681681,0.23264456174095083,0.24323069697338512,0.24654783951721507,0.23079280270968647,0.23483885979133995,0.24720709438502383,0.23297615958174564,0.24077851247101736,0.21988018097775108,0.23639916037869288,0.24210633603438944,0.23451288666018993,0.23100523903879142,0.23560250183333373,0.2413697498475063,0.25135369047742406,0.25170945623073554,0.2499672881983553,0.2377112805393436
global AUC,0.49535099398983673,0.5527034295349527,0.5798167975369287,0.4825529359182,0.5182558219053959,0.5434133973235888,0.616322205378129,0.6310894277938475,0.5681406629385334,0.5957936445955474,0.5278548554779868,0.5369756027385476,0.5461587306210967,0.5949000594495769,0.5625794685039869,0.5537125824037343,0.5269179463866769,0.4974102171744071,0.5220905665349077,0.5354656471037744,0.5644368876211594,0.5136502374955766,0.5324655179480552,0.5942107825243412,0.5530651994755537,0.5845620495296697,0.6053823964912055,0.5514521062050074,0.5719436627161312,0.5068917368994486,0.5684590880077227,0.5250420355968117,0.5780952723342787,0.6012341444195313,0.5394074704460382,0.6907348795803581,0.5239939044304038,0.5692665693408987,0.48762813627069546,0.5876689016549093,0.5094365077431909,0.4957869259312179,0.5228412824088711,0.5730941014507711,0.5079685088836897,0.6444579236252485,0.5236937547978252,0.5589737457867794,0.6006632114093858,0.5210708250734637,0.5747503582334343,0.5298667229605917,0.5235370673426402,0.5467831715985094,0.5466764277029168,0.571275032849051,0.537722091545875,0.5869445665829539,0.5725093851342353,0.544798752147608,0.5399613138303454,0.5294213882373208,0.5677484804392979,0.5570004799324964,0.5602456952488079,0.5740742368324153,0.5197498597743885,0.5254933482014473,0.5964630138505209,0.5453086996072622,0.5618750201762216,0.5766432330927029,0.6073724659816698,0.576633941916533,0.5937251232594495,0.5639479429628925,0.5766250692618121,0.5544042797780174,0.45594074037616206,0.5668656164177817,0.534425677105624,0.5355610839448839,0.6310992421218291,0.558301935156686,0.5641614586555076,0.5803379543960613,0.6185409828898109,0.5370581909711698,0.5630122406084275,0.5543093591133618,0.565233326963437,0.5660456561700651,0.558418981655284,0.5945056029838013,0.5645280555434882,0.5164971250227084,0.5133763082317839,0.5563964349003696,0.5175496785657615,0.5773555984512139
global NDCG,0.48079985454479557,0.49387144018604434,0.5167971441763783,0.48374047161502115,0.5071087221909623,0.5220031303733689,0.5563277658445878,0.5385972841365264,0.5037239702219847,0.5370187995315037,0.5056709760669751,0.4933788066335863,0.512055851010938,0.5361523102491801,0.4928220715350257,0.5058193339172823,0.5043094973364641,0.5288345201706308,0.5273045449004565,0.533995422879014,0.4904435203062393,0.48921152692132314,0.49966209072950835,0.5186602472823943,0.5151416459407298,0.5350287189097959,0.5269120935004548,0.5203797292579454,0.5068457745740466,0.49752960649756733,0.5159249660980428,0.5113777629991239,0.5337677752482424,0.5191204666749711,0.5204032774046627,0.5275795566832654,0.5339875256382023,0.5057294462352445,0.5046321951339515,0.5188252783949127,0.48884138112367,0.49444233601228116,0.5049353581879427,0.5094219181590844,0.5047360006761438,0.5520871706341511,0.4914718756878928,0.5028941102035627,0.5441834567603512,0.502496249605866,0.4916056361828733,0.5307404506593896,0.4928811650820252,0.5131988008184717,0.5133678692841416,0.5109030597983799,0.5235261573812705,0.5198926740470795,0.49715876881540333,0.5064000195491266,0.5112986234122965,0.5421152048757221,0.5353247543998547,0.49605214328829317,0.5077639877707915,0.501710513750812,0.5138040709873631,0.5182007683245579,0.51897725625821,0.5346850296617093,0.524040459100593,0.51266120010051,0.5164659760946501,0.5577227993896747,0.5457438026548604,0.509317516081315,0.5187415742916536,0.48048087660251587,0.4712075603220482,0.5458777112185824,0.5013687143187973,0.5439845494367923,0.5405006412802071,0.5173985422260723,0.5242589068350405,0.5071112107915255,0.5401791952446737,0.5055583465397845,0.50616679377387,0.5162598725128817,0.4904814897929812,0.511851186897118,0.5222671040524155,0.5265981942939356,0.5346453143453569,0.5188613270580151,0.49247144926235564,0.4981282680950586,0.5272392205772785,0.5204714611552177
