,1_DRRS,2_DRRS,3_DRRS,4_DRRS,5_DRRS,6_DRRS,7_DRRS,8_DRRS,9_DRRS,10_DRRS,11_DRRS,12_DRRS,13_DRRS,14_DRRS,15_DRRS,16_DRRS,17_DRRS,18_DRRS,19_DRRS,20_DRRS,21_DRRS,22_DRRS,23_DRRS,24_DRRS,25_DRRS,26_DRRS,27_DRRS,28_DRRS,29_DRRS,30_DRRS,31_DRRS,32_DRRS,33_DRRS,34_DRRS,35_DRRS,36_DRRS,37_DRRS,38_DRRS,39_DRRS,40_DRRS,41_DRRS,42_DRRS,43_DRRS,44_DRRS,45_DRRS,46_DRRS,47_DRRS,48_DRRS,49_DRRS,50_DRRS,51_DRRS,52_DRRS,53_DRRS,54_DRRS,55_DRRS,56_DRRS,57_DRRS,58_DRRS,59_DRRS,60_DRRS,61_DRRS,62_DRRS,63_DRRS,64_DRRS,65_DRRS,66_DRRS,67_DRRS,68_DRRS,69_DRRS,70_DRRS,71_DRRS,72_DRRS,73_DRRS,74_DRRS,75_DRRS,76_DRRS,77_DRRS,78_DRRS,79_DRRS,80_DRRS,81_DRRS,82_DRRS,83_DRRS,84_DRRS,85_DRRS,86_DRRS,87_DRRS,88_DRRS,89_DRRS,90_DRRS,91_DRRS,92_DRRS,93_DRRS,94_DRRS,95_DRRS,96_DRRS,97_DRRS,98_DRRS,99_DRRS,100_DRRS
ACC,0.8733850129198967,0.8475452196382429,0.834625322997416,0.8449612403100775,0.8578811369509044,0.8837209302325582,0.8708010335917312,0.8863049095607235,0.8733850129198967,0.8733850129198967,0.8475452196382429,0.8785529715762274,0.8863049095607235,0.8630490956072352,0.8604651162790697,0.8423772609819121,0.8630490956072352,0.8837209302325582,0.8630490956072352,0.8656330749354005,0.8268733850129198,0.8552971576227391,0.8656330749354005,0.8294573643410853,0.8449612403100775,0.8656330749354005,0.8888888888888888,0.8888888888888888,0.8811369509043928,0.8656330749354005,0.896640826873385,0.8733850129198967,0.8372093023255814,0.8656330749354005,0.8733850129198967,0.8811369509043928,0.9043927648578812,0.8578811369509044,0.8604651162790697,0.8578811369509044,0.875968992248062,0.8733850129198967,0.8604651162790697,0.8811369509043928,0.8656330749354005,0.8811369509043928,0.8630490956072352,0.8501291989664083,0.8552971576227391,0.8682170542635659,0.8656330749354005,0.8888888888888888,0.8552971576227391,0.8940568475452196,0.8682170542635659,0.8604651162790697,0.8708010335917312,0.8630490956072352,0.8501291989664083,0.8397932816537468,0.8578811369509044,0.8656330749354005,0.834625322997416,0.8940568475452196,0.8578811369509044,0.8733850129198967,0.8682170542635659,0.8397932816537468,0.8501291989664083,0.8811369509043928,0.8656330749354005,0.8811369509043928,0.8837209302325582,0.8940568475452196,0.8733850129198967,0.896640826873385,0.875968992248062,0.8888888888888888,0.8578811369509044,0.9043927648578811,0.8527131782945736,0.8914728682170543,0.8397932816537468,0.8914728682170543,0.8992248062015504,0.896640826873385,0.8940568475452196,0.896640826873385,0.834625322997416,0.875968992248062,0.8604651162790697,0.8888888888888888,0.8397932816537468,0.8708010335917312,0.8630490956072352,0.8578811369509044,0.8501291989664083,0.8630490956072352,0.8475452196382429,0.8501291989664083
AUC,0.6923459222373649,0.7074480540224666,0.6857512086216383,0.7039964541540159,0.6947142025655039,0.7192902922135835,0.7071587814464333,0.7163522017404353,0.7060927884113718,0.7021952805295459,0.6989732276291729,0.7115977942263895,0.7220438896769543,0.7050340224341554,0.7047350688312246,0.6974199376315998,0.7032896778449592,0.7109866954827677,0.6973257767493783,0.701491230804997,0.6803734943210955,0.6891807298211482,0.7141805693343136,0.6948342762987807,0.6944651564326086,0.7079494881700069,0.7101459267350441,0.7000592955287361,0.7205533284590273,0.7010144513980858,0.711453252429999,0.70701591568844,0.6895646833084998,0.7070710117934949,0.707268949738087,0.7274838315254607,0.7209868405593333,0.6920457047064809,0.6994695717435165,0.6882326747896451,0.7157113716401795,0.7054503217878567,0.7062347330318965,0.7208390930714642,0.7037485833611963,0.7122455819963356,0.7132037261154014,0.6969955194828514,0.7127392528395747,0.7038254120957732,0.6975261493608435,0.7141464968372755,0.6984510111562628,0.7279400890589487,0.6905178640044176,0.6998103201994116,0.7043673740041464,0.7062512378368774,0.6845138661388253,0.6838302102396893,0.6957587551305395,0.7064775724597294,0.6763974428567194,0.7158227843074136,0.7036378406320062,0.701320688810306,0.6989003368004167,0.7005648717542869,0.692929038729207,0.720930803915733,0.7010989539994426,0.7100859560684,0.7104415694293517,0.7173419167279932,0.709000753546807,0.7141812524543196,0.7117112007890725,0.707411805145646,0.6961235469283413,0.724229818757107,0.7007394050675018,0.7084986367837229,0.6832529755329106,0.7107922421604448,0.7273719148083704,0.7168373069994612,0.7155469144194516,0.7225680259277204,0.6932379832072972,0.7039602307711016,0.6940350009167067,0.701513445779095,0.6944248554127593,0.7085935531777535,0.6964933775724955,0.703790442335399,0.7040883625478942,0.7033372164719585,0.6883194385483176,0.6944750090016005
Fscore,0.002412486150048,0.0027958023987489,0.0018112736833549,0.002149609692236,0.0024421901117203,0.0022000626792265,0.0024464462855063,0.0022782535326642,0.0021609417072836,0.0025546556062878,0.003053117278797,0.0022809064212129,0.0028094726110255,0.0026581678732001,0.0025652225407525,0.0027143021275278,0.0029487336526791,0.0025279810082485,0.0022944575716832,0.0025531433984164,0.0027878691744494,0.0022044148889098,0.0024538077734128,0.0025018047263899,0.0026529663175956,0.002393162751786,0.0025961482113827,0.0026297782516477,0.0025052801015658,0.0021806928834346,0.0026709544250332,0.0025654751635378,0.0022412366163566,0.0027859635102811,0.002068821446755,0.0026501668909485,0.0029010808420832,0.0026819021194247,0.0022149097340981,0.0028224520538678,0.0021349532038363,0.002725881883728,0.0022178884963309,0.0024172736855004,0.002776793913639,0.0025568771918473,0.0021691729164419,0.0030174376178641,0.0025903123973005,0.0023303521545702,0.0026328845308816,0.0023187618461637,0.0024346391424924,0.0027061063433218,0.0028916591315785,0.0024609203158629,0.0022585621816874,0.0022804219298311,0.0025291421548587,0.0022051870586312,0.0023370596755855,0.0021284606850224,0.002060961957898,0.0026248614775436,0.002635338181414,0.0025539328444312,0.0023466564888697,0.002572807555104,0.0026806067071903,0.0022084007624332,0.002422470334997,0.002336846224649358,0.0024939971661484765,0.002980387252976965,0.0023058580432872224,0.002360931785193688,0.0027943369255859123,0.0028006927524368555,0.002184940214159664,0.002401866920193702,0.0021724943577496308,0.002973283698737235,0.0024844476601307073,0.002691574899435001,0.0027081828249066126,0.0023139038978859825,0.002647201967242313,0.00254133461305999,0.0021607322231518324,0.0026379834837308653,0.0022497812188653696,0.0026710638984068407,0.002134716445771713,0.002052219064504092,0.002557025786742117,0.002162049377791388,0.0024237695738114303,0.0021812268097034316,0.0028704792302215944,0.002389237525945439
HR@10,0.0180878552971576,0.020671834625323,0.020671834625323,0.0232558139534883,0.0155038759689922,0.0232558139534883,0.020671834625323,0.0180878552971576,0.0258397932816537,0.0155038759689922,0.0258397932816537,0.0180878552971576,0.0155038759689922,0.0232558139534883,0.0232558139534883,0.0232558139534883,0.0258397932816537,0.0232558139534883,0.020671834625323,0.0232558139534883,0.020671834625323,0.0180878552971576,0.0232558139534883,0.0155038759689922,0.020671834625323,0.0180878552971576,0.0258397932816537,0.020671834625323,0.0232558139534883,0.020671834625323,0.020671834625323,0.0155038759689922,0.0232558139534883,0.0232558139534883,0.0232558139534883,0.020671834625323,0.0180878552971576,0.0258397932816537,0.020671834625323,0.020671834625323,0.020671834625323,0.0232558139534883,0.0155038759689922,0.020671834625323,0.0180878552971576,0.020671834625323,0.020671834625323,0.020671834625323,0.020671834625323,0.0232558139534883,0.0180878552971576,0.0232558139534883,0.0129198966408268,0.0232558139534883,0.0155038759689922,0.0232558139534883,0.0180878552971576,0.0258397932816537,0.020671834625323,0.020671834625323,0.020671834625323,0.0232558139534883,0.0180878552971576,0.0129198966408268,0.020671834625323,0.0232558139534883,0.020671834625323,0.020671834625323,0.0232558139534883,0.0258397932816537,0.020671834625323,0.023255813953488372,0.020671834625323,0.020671834625323,0.025839793281653745,0.020671834625323,0.020671834625323,0.020671834625323,0.015503875968992248,0.023255813953488372,0.023255813953488372,0.01808785529715762,0.020671834625323,0.01808785529715762,0.015503875968992248,0.020671834625323,0.020671834625323,0.023255813953488372,0.020671834625323,0.01808785529715762,0.01808785529715762,0.023255813953488372,0.020671834625323,0.020671834625323,0.020671834625323,0.025839793281653745,0.01808785529715762,0.020671834625323,0.012919896640826873,0.023255813953488372
HR@2,0.0025839793281653,0.0025839793281653,0.0025839793281653,0.0025839793281653,0.0025839793281653,0.0051679586563307,0.0025839793281653,0.0025839793281653,0.0051679586563307,0.0,0.0051679586563307,0.0025839793281653,0.0025839793281653,0.0025839793281653,0.0051679586563307,0.0025839793281653,0.0051679586563307,0.0051679586563307,0.0051679586563307,0.0051679586563307,0.0051679586563307,0.0051679586563307,0.0051679586563307,0.0,0.0025839793281653,0.0051679586563307,0.0051679586563307,0.0051679586563307,0.0051679586563307,0.0025839793281653,0.0025839793281653,0.0025839793281653,0.0051679586563307,0.0051679586563307,0.0025839793281653,0.0025839793281653,0.0025839793281653,0.0051679586563307,0.0025839793281653,0.0025839793281653,0.0025839793281653,0.0051679586563307,0.0,0.0051679586563307,0.0025839793281653,0.0051679586563307,0.0051679586563307,0.0051679586563307,0.0051679586563307,0.0025839793281653,0.0025839793281653,0.0025839793281653,0.0,0.0025839793281653,0.0025839793281653,0.0051679586563307,0.0025839793281653,0.0051679586563307,0.0051679586563307,0.0051679586563307,0.0051679586563307,0.0051679586563307,0.0051679586563307,0.0051679586563307,0.0051679586563307,0.0051679586563307,0.0025839793281653,0.0051679586563307,0.0051679586563307,0.0051679586563307,0.0025839793281653,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.0,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.0,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.0,0.002583979328165375,0.0,0.00516795865633075
HR@5,0.0077519379844961,0.0077519379844961,0.0103359173126615,0.0103359173126615,0.0103359173126615,0.0129198966408268,0.0103359173126615,0.0077519379844961,0.0129198966408268,0.0077519379844961,0.0129198966408268,0.0077519379844961,0.0077519379844961,0.0103359173126615,0.0129198966408268,0.0103359173126615,0.0129198966408268,0.0103359173126615,0.0129198966408268,0.0129198966408268,0.0103359173126615,0.0103359173126615,0.0103359173126615,0.0077519379844961,0.0077519379844961,0.0103359173126615,0.0129198966408268,0.0129198966408268,0.0103359173126615,0.0103359173126615,0.0103359173126615,0.0103359173126615,0.0129198966408268,0.0129198966408268,0.0103359173126615,0.0103359173126615,0.0077519379844961,0.0129198966408268,0.0103359173126615,0.0103359173126615,0.0077519379844961,0.0129198966408268,0.0077519379844961,0.0129198966408268,0.0077519379844961,0.0103359173126615,0.0103359173126615,0.0103359173126615,0.0103359173126615,0.0103359173126615,0.0103359173126615,0.0103359173126615,0.0051679586563307,0.0103359173126615,0.0077519379844961,0.0103359173126615,0.0103359173126615,0.0129198966408268,0.0103359173126615,0.0129198966408268,0.0129198966408268,0.0129198966408268,0.0103359173126615,0.0103359173126615,0.0129198966408268,0.0129198966408268,0.0077519379844961,0.0103359173126615,0.0129198966408268,0.0129198966408268,0.0103359173126615,0.0103359173126615,0.0103359173126615,0.0103359173126615,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.0103359173126615,0.007751937984496124,0.0103359173126615,0.0103359173126615,0.007751937984496124,0.007751937984496124,0.0103359173126615,0.00516795865633075,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.012919896640826873,0.007751937984496124,0.0103359173126615,0.007751937984496124,0.012919896640826873,0.007751937984496124,0.0103359173126615,0.00516795865633075,0.012919896640826873
Lin's AUC,0.8347140047981599,0.8243327336761345,0.8256957213127945,0.8192844129328737,0.8338915520539946,0.8563649550946477,0.8347753366506758,0.8464613005053915,0.8265318164872332,0.8346885364558178,0.8154790800776573,0.8370371607723825,0.8535324232734262,0.8429138835726905,0.8372283612106752,0.8180354183992452,0.821936780040707,0.8538215672083246,0.8422911264436956,0.8199613956648861,0.7997517405404095,0.8280418749968989,0.8378102621203507,0.8157543448959336,0.8340136115510979,0.8444712786671604,0.8518269035164497,0.8500173093878443,0.8421682016186954,0.8406559795042494,0.8594179516773572,0.8327086156293604,0.8288517470507013,0.8313454931785205,0.8514857138704138,0.8565303098496863,0.8523123566415303,0.8388724110470184,0.8304522711738419,0.8304793507929201,0.8588819035831053,0.8466666782298562,0.8398849996169119,0.864668711472546,0.8332533404390606,0.8525611074812508,0.8288248121574633,0.8236353806895115,0.8271832343225124,0.8458079991356344,0.8458751250597641,0.8425212138585492,0.8440749871485855,0.8520570171176618,0.8403734772226498,0.8416937346460874,0.8451544478846104,0.8266090780897644,0.8339583223892477,0.8367688988859534,0.8429230587670626,0.8334073813291162,0.8266502126988954,0.8625440959729004,0.8383976928793166,0.8472762676673147,0.8373172329489353,0.8016827313431248,0.8182693515799973,0.8433255500365894,0.8380334075847302,0.8419160833914623,0.8515056163342272,0.8421799471546424,0.8311028293766092,0.8507167283404954,0.8383591325687837,0.8477399875390275,0.8324893924380802,0.8684774748186405,0.8253364573285752,0.8547338375371715,0.824500517355307,0.8600754074344492,0.8444217778600044,0.8450492373240495,0.8507145719447999,0.8579961251679867,0.8300536059930803,0.84759185076958,0.8279659975994095,0.8609143608873009,0.7979686780607813,0.8478316475446405,0.8579267442991562,0.826503401108558,0.8322478546321319,0.8263959305953217,0.8319216185010031,0.8203062660497957
NDCGk,0.2775296412747397,0.2797585237207483,0.2784326277032532,0.2836597695744972,0.2841222993093651,0.2974692095624691,0.2810867966163733,0.2871730512880343,0.2856748666483913,0.2926380597218824,0.2901767169537215,0.2785311588202461,0.2740881956787267,0.2701005398999588,0.2685263027885383,0.2794272941847829,0.2901333860689263,0.2813300732752196,0.2614469036592614,0.28485195311523,0.2792027452024159,0.2718419532135701,0.292158539645802,0.2872398686354012,0.2804190039141966,0.2697629102443347,0.3112933269905703,0.2679564681781939,0.3044599846826529,0.2833815985985885,0.2610475295344813,0.279250994510696,0.2901841046434403,0.3079804547620336,0.2934345313865316,0.3035167802427068,0.282910960509512,0.2868114836728356,0.2728438028401452,0.2813788450188805,0.2777793769655843,0.2886321936060325,0.2664037549785178,0.2870279086890477,0.3002485499268374,0.2859415550644992,0.2966606029566694,0.2822290851714358,0.2900420550612039,0.2795205252178728,0.2857598649911041,0.2794929663150393,0.2719309902806083,0.2817273487845992,0.2767614579509522,0.2847107762760967,0.2736413764471898,0.2886792737259563,0.274879186029312,0.253842615952804,0.2725873414674699,0.2940955213671047,0.268688445109062,0.3014703453939423,0.3079887219165036,0.2697675004616094,0.2638292511056735,0.303153634158376,0.2827366551002698,0.2985379950067297,0.2779752682869186,0.27587653900231823,0.3065543666136124,0.28493260015306665,0.26955829852171226,0.2805933412843809,0.2916882148432446,0.2686296971277352,0.2711450872277977,0.274927897300668,0.2673825461615606,0.28174418694796366,0.27836429619555614,0.2731694456697944,0.303106524679757,0.267915785199421,0.29584960858919135,0.2631715792974501,0.2589709959722773,0.2839824387145832,0.2795157355639097,0.2812826145749701,0.275257553781493,0.2597942597219644,0.25174103072392534,0.3034074308359683,0.2727424996226914,0.28044026109364184,0.2842930180377331,0.28215507827027597
global AUC,0.8670410508437436,0.8446752646039084,0.8324477210209681,0.8405870982616095,0.8539577076263285,0.8788819503612917,0.8644194673633766,0.8807838164563584,0.8665346050135465,0.8675415606447208,0.8436475921610039,0.8739541253617386,0.8812229849636125,0.8600938947290767,0.8547497036658881,0.8381649681531684,0.8561387833308041,0.8764666282017554,0.8597617770331444,0.8594266669088511,0.8240630553343671,0.8496294285533248,0.8611036335278873,0.826891004765927,0.8433795291728563,0.8621047786862762,0.8836635858186738,0.8823306996336571,0.8742075052223808,0.8613196742999122,0.8897481064485308,0.8677755071594095,0.8344788265395165,0.8608489492753958,0.867558420083762,0.8754272232075615,0.8965906042994929,0.8558711458394632,0.8556790793711138,0.8524565618680586,0.8715474107933389,0.8688385167633327,0.8565262225869497,0.8753224742642093,0.8600253757925017,0.8755221787490045,0.8579109147520079,0.8453803755906348,0.851911960832419,0.8651289937513913,0.8619942890237142,0.8818088870909208,0.8507607966606004,0.8866423006269145,0.86429248795572,0.8560242200594708,0.8673812320529284,0.8578825599238314,0.8482731121425156,0.839378282760178,0.8560540885402215,0.8609737942236618,0.8318589799231633,0.8876445060396413,0.8544632954875548,0.8681936031117016,0.8641274649483404,0.8350349927178662,0.8447314790098797,0.8744048659870605,0.8603820746482111,0.874619372180439,0.8772765020825488,0.886946216952535,0.8667530801853336,0.8885321342303195,0.8694109215739074,0.8806420004633314,0.8557854605481174,0.8970937786870294,0.8470746620223062,0.8840869481658676,0.8373015235268902,0.8859105507499528,0.890489572998469,0.8862727322366453,0.886911207633318,0.8905765138541625,0.8335856668903523,0.870519326804343,0.8555378283820433,0.8833227489258855,0.8346916586470983,0.8662004435378713,0.8601577332007793,0.8524371354974634,0.8475008633399959,0.8582139800840152,0.845342750512361,0.8454219626719603
global NDCG,0.7344489606215767,0.7459863710199699,0.7433875877645634,0.7316827498523595,0.7241253101823825,0.7698980324809623,0.7371187896014527,0.7420301368499018,0.7734396093474234,0.744500638715984,0.7648498308716466,0.7492122386860411,0.7488645158742455,0.7575697501018392,0.7380834522821352,0.7381085446808033,0.7465686387252086,0.7643478164800078,0.7701746202939402,0.7636778200327194,0.7354913187293664,0.7189332439595921,0.7588060247663263,0.7215836029819831,0.7498955896633394,0.7566561584545888,0.7678422662198696,0.764764256085432,0.7545826595118948,0.7336395978358821,0.7546421935962222,0.733257503036371,0.7635594107223327,0.7509484010461555,0.7576087276454501,0.7498536662417232,0.7552857202889874,0.7663480758737542,0.7329155468273097,0.7315392221964889,0.7490447170977097,0.7659813456338243,0.7283869797012956,0.7488721726503816,0.735859524564836,0.7680857027993632,0.7303153782807281,0.7497393683172439,0.7628195525083765,0.7520352018632136,0.7383848650474427,0.7444602995090033,0.7173553677199458,0.7590752764544741,0.7306337730359709,0.7459648105732007,0.7553636554430151,0.7576289261862843,0.7452383522852353,0.737865769997494,0.7563874757420629,0.7505892738953608,0.7462757515898963,0.7430699530498603,0.7759607203676079,0.768544232801533,0.742864717307083,0.7254294360706134,0.7519016948685701,0.7575105567082974,0.7384730147714355,0.7573058545589235,0.7449375242854965,0.7466302446063023,0.7529625022719426,0.7564613917828799,0.7500682970205714,0.7475163796692086,0.7309527693045853,0.7538048333115591,0.7395011979404607,0.7518867034740185,0.7383614232022215,0.7672811108599225,0.734460068058566,0.7552329667104901,0.7673510212593743,0.7695404992710205,0.7271976748498591,0.7362163517676192,0.7326102784757521,0.7760849437107742,0.7279070816086934,0.7599894716856515,0.7480225161100836,0.7474380074514122,0.7363718420621385,0.7454938668000068,0.7118127711978864,0.7537931781973636
prediction time (sec),0.0462269783020019,0.0950181484222412,0.0436563491821289,0.0474905967712402,0.0788159370422363,0.0441663265228271,0.0448553562164306,0.0451219081878662,0.0442743301391601,0.0458447933197021,0.0511801242828369,0.0657534599304199,0.0433840751647949,0.0437104701995849,0.0432939529418945,0.0434954166412353,0.0441958904266357,0.0438051223754882,0.0790765285491943,0.0810823440551757,0.0437986850738525,0.0483899116516113,0.0496437549591064,0.0482316017150878,0.0357303619384765,0.0432150363922119,0.0472753047943115,0.0506768226623535,0.0887234210968017,0.0484011173248291,0.0507662296295166,0.0461969375610351,0.0461337566375732,0.0490307807922363,0.0475678443908691,0.04732346534729,0.0485165119171142,0.0481724739074707,0.0489847660064697,0.0479354858398437,0.0516829490661621,0.0374512672424316,0.0499775409698486,0.0465867519378662,0.0492947101593017,0.0467722415924072,0.0481898784637451,0.0488348007202148,0.0496747493743896,0.0489325523376464,0.0488159656524658,0.0486724376678466,0.0500829219818115,0.050783634185791,0.0495014190673828,0.0495781898498535,0.0481736660003662,0.0409700870513916,0.0855517387390136,0.0900166034698486,0.0462589263916015,0.0469818115234375,0.0488650798797607,0.0474891662597656,0.0545969009399414,0.0433330535888671,0.0435829162597656,0.0427525043487548,0.0435948371887207,0.0444226264953613,0.0431950092315673,0.043328046798706055,0.04378366470336914,0.048184871673583984,0.05067634582519531,0.08371376991271973,0.08134984970092773,0.04378867149353027,0.04547524452209473,0.045847177505493164,0.04510927200317383,0.04414653778076172,0.050246477127075195,0.04922127723693848,0.045264244079589844,0.04601931571960449,0.04404449462890625,0.07802534103393555,0.08153343200683594,0.08804702758789062,0.045310020446777344,0.04589390754699707,0.04653620719909668,0.04523825645446777,0.04393267631530762,0.04480123519897461,0.0492253303527832,0.045638322830200195,0.05025005340576172,0.045589447021484375
