,1_HAN,2_HAN,3_HAN,4_HAN,5_HAN,6_HAN,7_HAN,8_HAN,9_HAN,10_HAN,11_HAN,12_HAN,13_HAN,14_HAN,15_HAN,16_HAN,17_HAN,18_HAN,19_HAN,20_HAN,21_HAN,22_HAN,23_HAN,24_HAN,25_HAN,26_HAN,27_HAN,28_HAN,29_HAN,30_HAN,31_HAN,32_HAN,33_HAN,34_HAN,35_HAN,36_HAN,37_HAN,38_HAN,39_HAN,40_HAN,41_HAN,42_HAN,43_HAN,44_HAN,45_HAN,46_HAN,47_HAN,48_HAN,49_HAN,50_HAN,51_HAN,52_HAN,53_HAN,54_HAN,55_HAN,56_HAN,57_HAN,58_HAN,59_HAN,60_HAN,61_HAN,62_HAN,63_HAN,64_HAN,65_HAN,66_HAN,67_HAN,68_HAN,69_HAN,70_HAN,71_HAN,72_HAN,73_HAN,74_HAN,75_HAN,76_HAN,77_HAN,78_HAN,79_HAN,80_HAN,81_HAN,82_HAN,83_HAN,84_HAN,85_HAN,86_HAN,87_HAN,88_HAN,89_HAN,90_HAN,91_HAN,92_HAN,93_HAN,94_HAN,95_HAN,96_HAN,97_HAN,98_HAN,99_HAN,100_HAN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.001312597373107167,0.0017191820033748936,0.001031302685640168,0.0012661773641341608,0.0013708463847358515,0.0012143242892492172,0.0014003931507319618,0.0012412832329429177,0.0012559756523882475,0.001443635109436188,0.001852320681038558,0.0012878398898115617,0.001652944570169576,0.0014644213257771397,0.0015444781592039581,0.0015529643205222262,0.0017094227403029586,0.0014622448405436895,0.001294904303768782,0.0014182192185773362,0.0016725295103113063,0.001275415751734456,0.00144357095300882,0.001470045501135046,0.0014962483870762555,0.0014064927740465047,0.0014468713863682002,0.0014322047844769082,0.0014215989532099336,0.0012525797386025736,0.0014503124523580861,0.001509911693333599,0.0012830590510723178,0.0016093121817278074,0.00114614623023633,0.001480238619308458,0.0016030159581818504,0.0015337760093480676,0.001230311555273665,0.0016662453676691202,0.0012038518265947173,0.0015684475217363142,0.0012510954770973122,0.001363099084803115,0.0016312342218125313,0.001379204508715284,0.0013090580434411056,0.0018331822324132397,0.0015776919044112228,0.0013857164568166099,0.0014825144105412387,0.0012872796550949446,0.0014439189700588084,0.0015022410490122293,0.0016706691724832786,0.0014273837991661974,0.0013040599291916347,0.0013017510787711514,0.0014944426164542294,0.0012928637310968413,0.0013367059197644004,0.0012303845191212874,0.0012375203290623514,0.001456370712552682,0.0015357549044806354,0.0014561939819287804,0.001319150495901544,0.0016299629508898655,0.0015790106830048153,0.0012805423871070554,0.0013841450858824477,0.0013413372659146566,0.0013672026433847913,0.0017056733467411898,0.0013520752759018334,0.0013761698467775298,0.0015862246574834026,0.0016182635487312076,0.0012617927932531115,0.0012899008511200606,0.0012179269282395458,0.001635847064402928,0.0014874035086938071,0.0015238238165511979,0.0015177863634335074,0.0013204488327524882,0.001491046664700973,0.0014016270283314792,0.0013153084495856793,0.001429258925709433,0.0012960190607313898,0.0014907990554726457,0.0012698030950105028,0.0011619280726890377,0.0015795179156450141,0.001237565376260148,0.0014722517767488319,0.0012522910287803273,0.00164143029958636,0.0013615713989582252
HR@10,0.002583979328165375,0.0,0.0,0.0,0.00516795865633075,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375
HR@2,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.00516795865633075,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375
Lin's AUC,0.6735115661218104,0.7097946282646584,0.6744544986367976,0.692372173857875,0.6695907666352935,0.6666841521836311,0.6667168897867298,0.6777598789509023,0.6880975174877838,0.6940874716607525,0.6997325103950438,0.7003554571116215,0.7011738375300601,0.6843688732222296,0.7062247916620941,0.688793597467106,0.6953161908632268,0.699051855849429,0.6615789929814673,0.6800118320156703,0.7042971821969097,0.6947995326073634,0.6978275498431702,0.6829375810359164,0.6954157495077959,0.7011130882090013,0.6657473096299713,0.721599624906996,0.7026128446641063,0.65237046755153,0.7191747296434068,0.7054110385742102,0.6712054713094527,0.7024249547950083,0.6474870473339466,0.6796770868715577,0.6948394307444374,0.7466680424603016,0.6860369364414675,0.6961178268137738,0.6742733675587036,0.7035735864589194,0.6620602154926192,0.6982376954013026,0.6880155341071189,0.679171428502813,0.6803769652715277,0.6909170308089981,0.7008588137915713,0.667814887865457,0.7147958209989674,0.6723164292754037,0.6784815278275707,0.6646065529464407,0.7006151628598946,0.7112926496724995,0.7087067705607338,0.6846991337293167,0.6942076626124628,0.6775138079278139,0.7126565576028945,0.6911224932085559,0.7134204673964503,0.7115352107042314,0.6907259733690242,0.69173251204354,0.6700028528718676,0.6645963144112446,0.7381947924725696,0.6879513587726033,0.6927863546721338,0.6918138516104928,0.6815502033438178,0.7102402766154264,0.6891891794805843,0.7042049006167783,0.7139080159962908,0.7176969000952805,0.6816416907839445,0.7084939076177889,0.6529918311203432,0.6779036210730779,0.6891936025840052,0.6748687719181492,0.7204105078303991,0.666560616737591,0.6649174858606071,0.6846512789685874,0.6964495258598736,0.7130908954972153,0.6597989092224575,0.6802453213694191,0.6646017940776852,0.6793265610054218,0.6984138838494105,0.6882475474241587,0.6995889334113603,0.6798304978510096,0.6960401329266975,0.6953679543651767
NDCGk,0.23097107734558092,0.22329439422180972,0.23772181628030523,0.24026754115860635,0.24996898234148415,0.23378220700949867,0.23655386231180275,0.2372292503680283,0.22020708774737038,0.23524928133639156,0.2289490864487988,0.22162795730776239,0.2177240999816248,0.2266647538497661,0.2233418790015492,0.22755992969700506,0.22863623689969792,0.23578659572476782,0.2257785551056406,0.22445738290664263,0.22611277926835352,0.22959284121827672,0.23486997199996518,0.2430122923629786,0.21984519263574037,0.2305972311295642,0.2353172384079639,0.23328154655192018,0.23425941969745184,0.22300876726308047,0.23446670825836302,0.2398764199596599,0.24769165595630427,0.24373850691828056,0.23581348543644837,0.23883436696988972,0.228518065590755,0.23249879049550135,0.21614233888194992,0.23054683350285343,0.231406567006586,0.2166117078197694,0.2376455242552693,0.23933797821571723,0.23519336685226166,0.21933973652545508,0.2373807693920819,0.2352693078204087,0.24171675948178004,0.23116573544091476,0.2221604421696475,0.22255288112732133,0.24698357695502138,0.2299111248527119,0.22538207268017604,0.23322288450381723,0.22926649400924964,0.23160202736481372,0.22688774738369624,0.23035300412493825,0.22394990724063396,0.21761035640061965,0.22866467057443438,0.23590173307785955,0.23385274049938198,0.24707133208399715,0.23186878475487754,0.25044815405641413,0.2397383917543785,0.2410468993484287,0.23119658053150793,0.23559395514115572,0.22962804378221816,0.24448356919822045,0.23644993281972396,0.2318072591263751,0.25549064463007465,0.22962521986777668,0.21994682790624862,0.21664107721278178,0.23894296279583557,0.2174485716196305,0.23859617806590835,0.23813633439700144,0.22901933458407792,0.21806512041309406,0.23128807989704522,0.2288104019299852,0.2157998490063942,0.21904431292061596,0.2250646261407235,0.22157255313599591,0.22712055954863813,0.23377417989642688,0.23030445168782457,0.22459679652432896,0.2381947943569186,0.24983148742829564,0.2276194645223727,0.2265801114150952
global AUC,0.9326512075445913,0.941880686677628,0.9297945963691256,0.9361759045092534,0.9342215000216096,0.9304304699574562,0.9323209104169625,0.9340955320407885,0.9303169599651031,0.933085060829442,0.9373783794107312,0.9336231887333357,0.9366555440406352,0.9332254608248997,0.9326066489609773,0.9347368324572423,0.9326813271382114,0.937819138299492,0.9266280491345297,0.9371650590281255,0.938076905659992,0.936547251615681,0.9369224979469429,0.9315527770753592,0.9332671525365874,0.9365749089081091,0.9258803256889274,0.9336231678072633,0.9343298622001387,0.9261771341252707,0.9395433699408465,0.9359721891939045,0.9314694285287713,0.9347075917586652,0.9257172557816435,0.9343107566959874,0.9304506566420178,0.9458205638951533,0.9348278050695615,0.9357257777153901,0.9325825560762241,0.9363925660880942,0.92704007652581,0.9377514843072453,0.9343870322300857,0.9339234848484214,0.9311258642712062,0.934635815330145,0.9337424603709712,0.9291251434098623,0.9355068979728689,0.9303799125664051,0.9343912802227942,0.927352544639707,0.9386301700896281,0.9389072591903613,0.9398987504539911,0.9381748396790811,0.9381526510669216,0.9351064217735839,0.9380956554209118,0.9342329186818126,0.9379681040339412,0.9375345227880325,0.9358854994510811,0.9357442066098655,0.934343645506529,0.9312234564977786,0.9402630943015039,0.9324439208462103,0.9346521306913023,0.9333249991762103,0.931633042513939,0.9383872044377113,0.9353432560862716,0.9372220965262804,0.9394208547619805,0.9413958923570644,0.9312842048861152,0.9370307345690375,0.9274114864104552,0.9343905966377605,0.9334515182102728,0.9285568401094885,0.93693670675014,0.9270263978497818,0.929391176568982,0.9352104034276124,0.9366355456907259,0.9371692023904717,0.929811846428186,0.9347990665967235,0.9278523429542207,0.9333454020968539,0.9334168646342875,0.9343272464410819,0.9338049316726066,0.933752567663967,0.9380032389095933,0.9377091578380263
global NDCG,0.5213833641998172,0.5346957434507449,0.5110867657929369,0.5255169005119793,0.5406420760270401,0.5212974624024642,0.5137525586818809,0.5201484662584318,0.5130989314534117,0.5184465674627157,0.527109358966526,0.5192860531379809,0.5191792707611697,0.5175173854333113,0.516380545578617,0.5153195813078739,0.5198207160072135,0.5210330725329426,0.5139476902693195,0.5209823933159556,0.5255772005214587,0.5185979218759352,0.5231979992646224,0.5141270512029315,0.5219615959078338,0.5197439785403521,0.5150567930970764,0.5221877232360694,0.5234134658899906,0.5104815246229245,0.5220289195082072,0.519198535260081,0.5170167167742848,0.517932680829005,0.5106918156581042,0.519956729047279,0.5182005621176832,0.5343162437925196,0.5145103799502878,0.5187082648005858,0.517188709020763,0.5248442260190387,0.5091711060591143,0.5169478777143393,0.5159021455275609,0.5223780532772385,0.5109842932946842,0.5132936362315462,0.5084935954623959,0.5093970646281759,0.5208859026569596,0.509265076052978,0.519335042921224,0.5094472809240647,0.524009691755505,0.5280219316420137,0.5298376299167149,0.5190991229001968,0.5243160135510276,0.5160085243938318,0.525388782975251,0.5155373277241537,0.5206595263963506,0.5217865394663745,0.524659071395613,0.5147907027289483,0.5164260295589947,0.5080479716838302,0.5254134786426211,0.5179732010131997,0.5174760645034256,0.519729039497976,0.5189000307839133,0.5171855549549363,0.5151094216364862,0.5182248470727232,0.5215317617562084,0.5248881682658151,0.5154181059461773,0.5182091688184325,0.509842456364363,0.5204528215782066,0.5158382609562665,0.5069993388239259,0.5165856824976148,0.5038746320109754,0.513208263890809,0.5212202388246135,0.5218965851260285,0.520527131621655,0.5097410948202831,0.5131311758273753,0.5093090118228336,0.5102356179770061,0.514315282117661,0.5179613689498187,0.5179719808402025,0.5193052494713079,0.5215654096765933,0.5254877130741422
