,1_LRSSL,2_LRSSL,3_LRSSL,4_LRSSL,5_LRSSL,6_LRSSL,7_LRSSL,8_LRSSL,9_LRSSL,10_LRSSL,11_LRSSL,12_LRSSL,13_LRSSL,14_LRSSL,15_LRSSL,16_LRSSL,17_LRSSL,18_LRSSL,19_LRSSL,20_LRSSL,21_LRSSL,22_LRSSL,23_LRSSL,24_LRSSL,25_LRSSL,26_LRSSL,27_LRSSL,28_LRSSL,29_LRSSL,30_LRSSL,31_LRSSL,32_LRSSL,33_LRSSL,34_LRSSL,35_LRSSL,36_LRSSL,37_LRSSL,38_LRSSL,39_LRSSL,40_LRSSL,41_LRSSL,42_LRSSL,43_LRSSL,44_LRSSL,45_LRSSL,46_LRSSL,47_LRSSL,48_LRSSL,49_LRSSL,50_LRSSL,51_LRSSL,52_LRSSL,53_LRSSL,54_LRSSL,55_LRSSL,56_LRSSL,57_LRSSL,58_LRSSL,59_LRSSL,60_LRSSL,61_LRSSL,62_LRSSL,63_LRSSL,64_LRSSL,65_LRSSL,66_LRSSL,67_LRSSL,68_LRSSL,69_LRSSL,70_LRSSL,71_LRSSL,72_LRSSL,73_LRSSL,74_LRSSL,75_LRSSL,76_LRSSL,77_LRSSL,78_LRSSL,79_LRSSL,80_LRSSL,81_LRSSL,82_LRSSL,83_LRSSL,84_LRSSL,85_LRSSL,86_LRSSL,87_LRSSL,88_LRSSL,89_LRSSL,90_LRSSL,91_LRSSL,92_LRSSL,93_LRSSL,94_LRSSL,95_LRSSL,96_LRSSL,97_LRSSL,98_LRSSL,99_LRSSL,100_LRSSL
ACC,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.001312597373107167,0.0017191820033748936,0.001031302685640168,0.0,0.0013708463847358515,0.0012143242892492172,0.0014003931507319618,0.0012412832329429177,0.0012559756523882475,0.001443635109436188,0.001852320681038558,0.0012878398898115617,0.001652944570169576,0.0014644213257771397,0.0015444781592039581,0.0015529643205222262,0.0017094227403029586,0.0014622448405436895,0.001294904303768782,0.0014182192185773362,0.0016725295103113063,0.001275415751734456,0.00144357095300882,0.001470045501135046,0.0014962483870762555,0.0014064927740465047,0.0014468713863682002,0.0014322047844769082,0.0014215989532099336,0.0012525797386025736,0.0014503124523580861,0.001509911693333599,0.0012830590510723178,0.0016093121817278074,0.00114614623023633,0.001480238619308458,0.0016030159581818504,0.0015337760093480676,0.001230311555273665,0.0016662453676691202,0.0012038518265947173,0.0015684475217363142,0.0012510954770973122,0.001363099084803115,0.0016312342218125313,0.001379204508715284,0.0013090580434411056,0.0018331822324132397,0.0015776919044112228,0.0013857164568166099,0.0014825144105412387,0.0012872796550949446,0.0014439189700588084,0.0015022410490122293,0.0016706691724832786,0.0014273837991661974,0.0013040599291916347,0.0013017510787711514,0.0014944426164542294,0.0012928637310968413,0.0013367059197644004,0.0012303845191212874,0.0012375203290623514,0.001456370712552682,0.0015357549044806354,0.0014561939819287804,0.001319150495901544,0.0016299629508898655,0.0015790106830048153,0.0012805423871070554,0.0013841450858824477,0.0013413372659146566,0.0013672026433847913,0.0017056733467411898,0.0013520752759018334,0.0013761698467775298,0.0015862246574834026,0.0016182635487312076,0.0012617927932531115,0.0012899008511200606,0.0,0.001635847064402928,0.0014874035086938071,0.0015238238165511979,0.0015177863634335074,0.0013204488327524882,0.001491046664700973,0.0014016270283314792,0.0013153084495856793,0.001429258925709433,0.0012960190607313898,0.0014907990554726457,0.0012698030950105028,0.0011619280726890377,0.0015795179156450141,0.001237565376260148,0.0014722517767488319,0.0012522910287803273,0.00164143029958636,0.0013615713989582252
HR@10,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0103359173126615,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00516795865633075,0.00516795865633075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.4871089572266618,0.522101711944056,0.5350656665413487,0.49012901482866406,0.5133627577148434,0.5752809786443379,0.5356821774656018,0.5128856799588586,0.4184946231029428,0.5202523299047597,0.5500370612223326,0.5621455094229717,0.5023641990916627,0.5250081487982542,0.4953494402706711,0.4786006306298146,0.4980118590795471,0.484330435658641,0.46084799289041856,0.5004031959828681,0.5368259850081862,0.4917872866310409,0.5402860281836396,0.5172628312022084,0.44313273486042326,0.5406596791379045,0.49514195620293694,0.5501944749151435,0.4933145655694693,0.5606703052111499,0.5213551091244293,0.47817840386503524,0.4995113552675929,0.5201384693636997,0.4676659361611953,0.5183947735534562,0.500882612129175,0.5076957655599837,0.45763832685169836,0.4724190098902448,0.455644453585168,0.4985542975653522,0.5555201438148463,0.47595598211335355,0.5477170393622113,0.4977788313006586,0.5201248447693573,0.47336970457201616,0.49306130033990736,0.49624628670943854,0.4981045572678108,0.5147393955414662,0.5119503088787044,0.48051691870813884,0.47565248497592033,0.4951862369439703,0.4869835551446674,0.42480921575795255,0.5276134081091028,0.4491741775261224,0.5291948284629285,0.47088351193610356,0.5477742618869686,0.5376614083858919,0.4945268358337694,0.5290686223463686,0.5505528759613938,0.49755050035961196,0.4812983816935108,0.5187959479780635,0.4993920568950369,0.5275060099833211,0.5052298500303327,0.49510578527824584,0.49089573904298045,0.47058406257867247,0.504126655117144,0.4784764456225356,0.48790091490201704,0.5152817913801636,0.5231311064625724,0.47625927152819,0.46259213360127216,0.5222273582768089,0.4689245896551077,0.5346128276905286,0.47061868069098084,0.49666264761258744,0.5216909924983593,0.5050718854546007,0.4996773548177311,0.5236689403635191,0.5337504223028472,0.4506208187834709,0.5373497444027671,0.513847456891655,0.5178074516047207,0.46205661119212127,0.5420524892407451,0.47025659118459684
NDCGk,0.23097107734558092,0.22329439422180972,0.23772181628030523,0.24026754115860635,0.24996898234148415,0.23378220700949867,0.23655386231180275,0.2372292503680283,0.22020708774737038,0.23524928133639156,0.2289490864487988,0.22162795730776239,0.2177240999816248,0.2266647538497661,0.2233418790015492,0.22755992969700506,0.22863623689969792,0.23578659572476782,0.2257785551056406,0.22445738290664263,0.22611277926835352,0.22959284121827672,0.23486997199996518,0.2430122923629786,0.21984519263574037,0.2305972311295642,0.2353172384079639,0.23328154655192018,0.23425941969745184,0.22300876726308047,0.23446670825836302,0.2398764199596599,0.24769165595630427,0.24373850691828056,0.23581348543644837,0.23883436696988972,0.228518065590755,0.23249879049550135,0.21614233888194992,0.23054683350285343,0.231406567006586,0.2166117078197694,0.2376455242552693,0.23933797821571723,0.23519336685226166,0.21933973652545508,0.2373807693920819,0.2352693078204087,0.24171675948178004,0.23116573544091476,0.2221604421696475,0.22255288112732133,0.24698357695502138,0.2299111248527119,0.22538207268017604,0.23322288450381723,0.22926649400924964,0.23160202736481372,0.22688774738369624,0.23035300412493825,0.22394990724063396,0.21761035640061965,0.22866467057443438,0.23590173307785955,0.23385274049938198,0.24707133208399715,0.23186878475487754,0.25044815405641413,0.2397383917543785,0.2410468993484287,0.23119658053150793,0.23559395514115572,0.22962804378221816,0.24448356919822045,0.23644993281972396,0.2318072591263751,0.25549064463007465,0.22962521986777668,0.21994682790624862,0.21664107721278178,0.23894296279583557,0.2174485716196305,0.23859617806590835,0.23813633439700144,0.22901933458407792,0.21806512041309406,0.23128807989704522,0.2288104019299852,0.2157998490063942,0.21904431292061596,0.2250646261407235,0.22157255313599591,0.22712055954863813,0.23377417989642688,0.23030445168782457,0.22459679652432896,0.2381947943569186,0.24983148742829564,0.2276194645223727,0.2265801114150952
global AUC,0.8974358013905906,0.90477525858557,0.9099305918448528,0.09742031191175937,0.9023033104739708,0.9151847101168381,0.9080441203637553,0.9048702071516556,0.8869772363672705,0.9047060839653914,0.9084553804657123,0.9091505794694525,0.9018434321303436,0.9038224456791943,0.8994646468933138,0.8981056240438005,0.9018492007509836,0.8989664110588769,0.8954979982537612,0.9021036199398909,0.9079294873388473,0.8989848887808546,0.9077085010383659,0.9065767702125005,0.8942455728173332,0.9078679228336848,0.90150144430357,0.9076616545374965,0.8966834393322606,0.9114625896092788,0.9006001095354337,0.8974441857702875,0.9005199696532888,0.9040377540386831,0.8950294844175676,0.9051665691651198,0.9021942368089781,0.9043796511858094,0.8946053826824808,0.8953047180732099,0.8932963731461347,0.9006136138275246,0.9097539409165458,0.8996599499275357,0.9101593905457176,0.9015789963280881,0.9029401327109194,0.8977073799589107,0.9010451861704778,0.902728814255912,0.9010731294525625,0.9015990016533549,0.9023792442155523,0.8971771551350476,0.8961044986117225,0.9020867186487047,0.8976129963967814,0.8881783999015415,0.9048400247798181,0.8919098743634882,0.9053352751612513,0.8968783168696762,0.9087470689896616,0.9074825134065674,0.9014433395757201,0.9073704263871413,0.9092468115013154,0.8991652157225563,0.8985101808272142,0.9044903152323086,0.9020042629478748,0.9040328573377288,0.9021871358950586,0.9006403364220497,0.8982796452623358,0.8958637790249159,0.9025541303784156,0.8964243396784812,0.8973121422530967,0.9043509685158312,0.10287381380209523,0.8983508915636873,0.8955542126597326,0.9048731019250117,0.8937954529988275,0.9058122849828616,0.894633849116377,0.8975379136488131,0.9057234607806479,0.9012850617390286,0.8987711708028723,0.9055037091184411,0.9097381975347022,0.8922007049184669,0.9087490569665448,0.9023971987857186,0.9031785574051134,0.8923745447777074,0.907239596582153,0.895018386623809
global NDCG,0.4843906596658616,0.4871700476434204,0.5001792289616814,0.3807339512379263,0.4883499269751584,0.5069192115019915,0.4963733452164564,0.5389327097944872,0.47967244010988713,0.48474208681405234,0.49609368708850443,0.4963057752309601,0.4836260405938847,0.4969126624496171,0.48569236708524405,0.4981491403083333,0.4855200064432681,0.4815662288089823,0.4892870195891477,0.5012708989444284,0.48791100768392553,0.4871865335568541,0.49916468514381446,0.49661799157817405,0.48543715866693066,0.49578968317650035,0.4908002849090438,0.4965898062695312,0.4855362558812874,0.5005257366170398,0.4895929641538132,0.4823231613830312,0.4791786052709949,0.48398403867338285,0.48481004401652844,0.5165070429381695,0.5235257484246608,0.5005767310695255,0.48126278549593654,0.4772579801906452,0.48351195621374415,0.48173424079995875,0.5050521271967233,0.4875361218556474,0.4908781353072322,0.4951668957022595,0.48921412312447854,0.4839672772721698,0.48687881512628217,0.4834201662038797,0.4842391823120124,0.48200481169099413,0.482903735008139,0.49373000837291725,0.4913708252572443,0.4856589808604899,0.4810855824683362,0.4733853449569743,0.49161544085935377,0.47904494255946484,0.48918549851475374,0.4881528044067862,0.49565164122058347,0.49590090430760986,0.4894941842647808,0.4895366936289767,0.49274082437276684,0.48773501518199325,0.48549064793369123,0.4905803926427429,0.4829020685052737,0.4911314165942187,0.486352841905612,0.489601739647603,0.4881483873632349,0.482749257523007,0.48770097284217917,0.4788027515401756,0.487354942234099,0.49572832766671027,0.3809227038314066,0.48387106601709423,0.48152423183466697,0.49242388304646123,0.4785185194658016,0.49454888956925225,0.4852324711272106,0.48536377592629937,0.49132647422264053,0.4786309421886627,0.4873145362268785,0.48990291102523076,0.4994841487492201,0.47937428575246754,0.48628379174363234,0.48398151993309074,0.4905486543777497,0.4766277264380932,0.4883337616717103,0.4786024120740161
