,1_LogisticMF,2_LogisticMF,3_LogisticMF,4_LogisticMF,5_LogisticMF,6_LogisticMF,7_LogisticMF,8_LogisticMF,9_LogisticMF,10_LogisticMF,11_LogisticMF,12_LogisticMF,13_LogisticMF,14_LogisticMF,15_LogisticMF,16_LogisticMF,17_LogisticMF,18_LogisticMF,19_LogisticMF,20_LogisticMF,21_LogisticMF,22_LogisticMF,23_LogisticMF,24_LogisticMF,25_LogisticMF,26_LogisticMF,27_LogisticMF,28_LogisticMF,29_LogisticMF,30_LogisticMF,31_LogisticMF,32_LogisticMF,33_LogisticMF,34_LogisticMF,35_LogisticMF,36_LogisticMF,37_LogisticMF,38_LogisticMF,39_LogisticMF,40_LogisticMF,41_LogisticMF,42_LogisticMF,43_LogisticMF,44_LogisticMF,45_LogisticMF,46_LogisticMF,47_LogisticMF,48_LogisticMF,49_LogisticMF,50_LogisticMF,51_LogisticMF,52_LogisticMF,53_LogisticMF,54_LogisticMF,55_LogisticMF,56_LogisticMF,57_LogisticMF,58_LogisticMF,59_LogisticMF,60_LogisticMF,61_LogisticMF,62_LogisticMF,63_LogisticMF,64_LogisticMF,65_LogisticMF,66_LogisticMF,67_LogisticMF,68_LogisticMF,69_LogisticMF,70_LogisticMF,71_LogisticMF,72_LogisticMF,73_LogisticMF,74_LogisticMF,75_LogisticMF,76_LogisticMF,77_LogisticMF,78_LogisticMF,79_LogisticMF,80_LogisticMF,81_LogisticMF,82_LogisticMF,83_LogisticMF,84_LogisticMF,85_LogisticMF,86_LogisticMF,87_LogisticMF,88_LogisticMF,89_LogisticMF,90_LogisticMF,91_LogisticMF,92_LogisticMF,93_LogisticMF,94_LogisticMF,95_LogisticMF,96_LogisticMF,97_LogisticMF,98_LogisticMF,99_LogisticMF,100_LogisticMF
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.001312597373107167,0.0017191820033748936,0.001031302685640168,0.0012661773641341608,0.0013708463847358515,0.0012143242892492172,0.0014003931507319618,0.0012412832329429177,0.0012559756523882475,0.001443635109436188,0.001852320681038558,0.0012878398898115617,0.001652944570169576,0.0014644213257771397,0.0015444781592039581,0.0015529643205222262,0.0017094227403029586,0.0014622448405436895,0.001294904303768782,0.0014182192185773362,0.0016725295103113063,0.001275415751734456,0.00144357095300882,0.001470045501135046,0.0014962483870762555,0.0014064927740465047,0.0014468713863682002,0.0014322047844769082,0.0014215989532099336,0.0012525797386025736,0.0014503124523580861,0.001509911693333599,0.0012830590510723178,0.0016093121817278074,0.00114614623023633,0.001480238619308458,0.0016030159581818504,0.0015337760093480676,0.001230311555273665,0.0016662453676691202,0.0012038518265947173,0.0015684475217363142,0.0012510954770973122,0.001363099084803115,0.0016312342218125313,0.001379204508715284,0.0013090580434411056,0.0018331822324132397,0.0015776919044112228,0.0013857164568166099,0.0014825144105412387,0.0012872796550949446,0.0014439189700588084,0.0015022410490122293,0.0016706691724832786,0.0014273837991661974,0.0013040599291916347,0.0013017510787711514,0.0014944426164542294,0.0012928637310968413,0.0013367059197644004,0.0012303845191212874,0.0012375203290623514,0.001456370712552682,0.0015357549044806354,0.0014561939819287804,0.001319150495901544,0.0016299629508898655,0.0015790106830048153,0.0012805423871070554,0.0013841450858824477,0.0013413372659146566,0.0013672026433847913,0.0017056733467411898,0.0013520752759018334,0.0013761698467775298,0.0015862246574834026,0.0016182635487312076,0.0012617927932531115,0.0012899008511200606,0.0012179269282395458,0.001635847064402928,0.0014874035086938071,0.0015238238165511979,0.0015177863634335074,0.0013204488327524882,0.001491046664700973,0.0014016270283314792,0.0013153084495856793,0.001429258925709433,0.0012960190607313898,0.0014907990554726457,0.0012698030950105028,0.0011619280726890377,0.0015795179156450141,0.001237565376260148,0.0014722517767488319,0.0012522910287803273,0.00164143029958636,0.0013615713989582252
HR@10,0.00516795865633075,0.00516795865633075,0.0103359173126615,0.002583979328165375,0.007751937984496124,0.002583979328165375,0.0,0.0,0.0,0.002583979328165375,0.0,0.007751937984496124,0.002583979328165375,0.0,0.002583979328165375,0.007751937984496124,0.0,0.0,0.007751937984496124,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.007751937984496124,0.002583979328165375,0.0,0.007751937984496124,0.002583979328165375,0.002583979328165375,0.0,0.00516795865633075,0.002583979328165375,0.0,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.0,0.002583979328165375,0.0103359173126615,0.007751937984496124,0.0,0.007751937984496124,0.0,0.00516795865633075,0.002583979328165375,0.0,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.007751937984496124,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.002583979328165375,0.0103359173126615,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.0,0.0103359173126615,0.007751937984496124,0.002583979328165375,0.0,0.0103359173126615,0.0,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.007751937984496124,0.002583979328165375,0.007751937984496124,0.0103359173126615,0.0,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.007751937984496124,0.0103359173126615
HR@2,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00516795865633075,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.00516795865633075,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.0
HR@5,0.0,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.0,0.00516795865633075,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.0,0.00516795865633075,0.0,0.0,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.0,0.0,0.00516795865633075,0.00516795865633075,0.0,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.002583979328165375,0.0,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.00516795865633075,0.0,0.0,0.002583979328165375,0.0,0.007751937984496124,0.00516795865633075,0.002583979328165375,0.0,0.00516795865633075,0.0,0.00516795865633075,0.002583979328165375,0.0,0.002583979328165375,0.0,0.00516795865633075,0.0103359173126615,0.0,0.002583979328165375,0.0,0.0,0.00516795865633075,0.002583979328165375
Lin's AUC,0.7589120295012982,0.7815420714772661,0.8016583850792676,0.7953395401753452,0.7957246855685693,0.7726511646660468,0.7826506856438736,0.7909181907224612,0.8023858205824173,0.8143574946436763,0.7968516381679606,0.7917234027568273,0.8011444845152873,0.7996937410657649,0.8101089072025852,0.8053740814436323,0.7885766172500811,0.8071707295025147,0.791602207919783,0.7653680867649048,0.8136948197180198,0.7920092647079308,0.8021243843667305,0.7863236350431106,0.8151322195898159,0.7944362190815794,0.7707160721664867,0.8021969812619368,0.7993769744214473,0.7741711885079468,0.794372895929753,0.7996403168229302,0.7799762281654862,0.8003482007389601,0.7984691261902724,0.7846180057683453,0.8032564840240939,0.7837678383572795,0.7906207213348188,0.7981511861294005,0.7795066578026179,0.8072057173040883,0.8044239884607796,0.8019969316280111,0.8029405767311589,0.7972930835331111,0.7900509882552667,0.8208865617190206,0.8021412795696858,0.8130884611311366,0.8226059803367428,0.7859611572106868,0.798605534805048,0.791270152422051,0.8038711567839067,0.770166811468048,0.791002621472746,0.776613819270385,0.7980292969925744,0.798141027873458,0.8052540217099833,0.7797418220659987,0.7894664843704114,0.8186617170828824,0.7983565584925927,0.8034119584501396,0.748848418322354,0.79014192364472,0.7907175445895432,0.7860503555245835,0.7684662353676601,0.7908751148681942,0.803086423664163,0.8157032931369916,0.7885875417966999,0.7871820298414242,0.8010339838813954,0.8146918811638996,0.7847344027315145,0.8080773550779337,0.7982111590439591,0.7855755310925774,0.7667854940725892,0.8137082081752905,0.807002641998104,0.7909955128665024,0.8233274885720582,0.7890913999165746,0.7831671233114049,0.8145571588049645,0.7803300853415597,0.8147279538249824,0.778274576805559,0.7702961509871622,0.8018813349872207,0.7807116185338161,0.7837193647260935,0.7847240840675407,0.8012701936897583,0.7907814735092792
NDCGk,0.23097107734558092,0.22329439422180972,0.23772181628030523,0.24026754115860635,0.24996898234148415,0.23378220700949867,0.23655386231180275,0.2372292503680283,0.22020708774737038,0.23524928133639156,0.2289490864487988,0.22162795730776239,0.2177240999816248,0.2266647538497661,0.2233418790015492,0.22755992969700506,0.22863623689969792,0.23578659572476782,0.2257785551056406,0.22445738290664263,0.22611277926835352,0.22959284121827672,0.23486997199996518,0.2430122923629786,0.21984519263574037,0.2305972311295642,0.2353172384079639,0.23328154655192018,0.23425941969745184,0.22300876726308047,0.23446670825836302,0.2398764199596599,0.24769165595630427,0.24373850691828056,0.23581348543644837,0.23883436696988972,0.228518065590755,0.23249879049550135,0.21614233888194992,0.23054683350285343,0.231406567006586,0.2166117078197694,0.2376455242552693,0.23933797821571723,0.23519336685226166,0.21933973652545508,0.2373807693920819,0.2352693078204087,0.24171675948178004,0.23116573544091476,0.2221604421696475,0.22255288112732133,0.24698357695502138,0.2299111248527119,0.22538207268017604,0.23322288450381723,0.22926649400924964,0.23160202736481372,0.22688774738369624,0.23035300412493825,0.22394990724063396,0.21761035640061965,0.22866467057443438,0.23590173307785955,0.23385274049938198,0.24707133208399715,0.23186878475487754,0.25044815405641413,0.2397383917543785,0.2410468993484287,0.23119658053150793,0.23559395514115572,0.22962804378221816,0.24448356919822045,0.23644993281972396,0.2318072591263751,0.25549064463007465,0.22962521986777668,0.21994682790624862,0.21664107721278178,0.23894296279583557,0.2174485716196305,0.23859617806590835,0.23813633439700144,0.22901933458407792,0.21806512041309406,0.23128807989704522,0.2288104019299852,0.2157998490063942,0.21904431292061596,0.2250646261407235,0.22157255313599591,0.22712055954863813,0.23377417989642688,0.23030445168782457,0.22459679652432896,0.2381947943569186,0.24983148742829564,0.2276194645223727,0.2265801114150952
global AUC,0.950553295121209,0.9620611282942068,0.9609956284876613,0.9582138001197921,0.9586819442620389,0.955349676484315,0.9550746799908271,0.9594720290536475,0.9596568341748544,0.9612263593625495,0.9606268971402904,0.9600649623413006,0.9643946085843716,0.9583411143446079,0.9584925214541766,0.9582103821946244,0.9577539427022372,0.9608979734828715,0.9591668850651095,0.9530632659064587,0.9628791982200451,0.9598549901302876,0.9611847583305091,0.960274209115135,0.9633531598104345,0.9601408402800221,0.955336144290794,0.9630807860513608,0.9608823765835353,0.9576681458051721,0.9607808711814139,0.9573233678354045,0.9599433679096223,0.959002740952773,0.960506823336544,0.9586087309098766,0.9606634619642267,0.9585028868353995,0.9544256508782798,0.9592694646722837,0.9583615521420389,0.9592517054121268,0.9654218276290394,0.958155262919778,0.9604918402686662,0.9599910654041045,0.9602911034309636,0.9637134230738186,0.9604462632828593,0.9581046636765821,0.9645475502725871,0.9586694304707108,0.9605510889551436,0.9578889856231465,0.9596871351277692,0.9523786485200231,0.9564102098363311,0.9556273654657919,0.9605444623655329,0.9585946267370419,0.9614931946877798,0.9550878634164738,0.9592133409459596,0.9623042753054182,0.9584449076639844,0.9608121347336614,0.9536491680337669,0.9576240894472969,0.9593811680470481,0.9581027245272011,0.958269086803218,0.9588200005373816,0.9627170909120941,0.9622359865556402,0.9590818415066527,0.9586011417209328,0.962032682786383,0.9601861522022445,0.957593397874363,0.9606080218229359,0.9570624197118915,0.9578065089962441,0.9569440618460865,0.9627973772767461,0.9590434770404853,0.9604266206761818,0.9631343707475605,0.9573373604025194,0.9573559009027146,0.9604198127272764,0.9574085369502962,0.9623579158044776,0.9590836132474538,0.9556981234921195,0.9624416898478723,0.9603532678168697,0.9570456370017826,0.956378192945475,0.9613085988272974,0.9583098368416452
global NDCG,0.5878052341855295,0.618579737965106,0.6411971463422906,0.6027881624541582,0.6253563863690086,0.5948182291233842,0.587006379003264,0.5899826919050067,0.6021197178434847,0.6085394008293991,0.6024356904288048,0.6188737620923143,0.6241428196118797,0.5972103392325561,0.6080219815046193,0.6288698026814283,0.5957523908026562,0.5979943854907859,0.6344258456142812,0.5916692639306924,0.6015462188562947,0.5887468755561506,0.6074399756525687,0.6025665244149724,0.6329236908341248,0.6031393390332975,0.577511773915031,0.6200880483646654,0.6136026968993795,0.6071762391733988,0.6066004417486323,0.6101338144099354,0.5975017088422931,0.6031049611277195,0.6158294694640085,0.6159049522357785,0.6120097787836771,0.5903195931108852,0.5931715712348591,0.638079933935546,0.6141659029542952,0.5868512585653621,0.6274865099466338,0.5852797721398684,0.6098687565959492,0.6080576030004745,0.5984620619375572,0.626978253915324,0.6158111128158364,0.618479780725117,0.615120948275,0.6207720484362979,0.606881087098228,0.6029725776952821,0.6126600658016115,0.5930089981757798,0.6038067160687104,0.6011216342547698,0.5872472669491037,0.6066682254537435,0.6014947961886202,0.6030902168500154,0.6089987676799662,0.6191966373316501,0.6042697135114873,0.6089011641041674,0.6119234366436106,0.6077140956782624,0.6059599220706071,0.6052342332628506,0.6017823477595226,0.6114209159357867,0.624015835105145,0.6165559218802756,0.6168546792211845,0.6098991483247639,0.6351277600553786,0.5983417178086373,0.5984074164727883,0.6103230656210972,0.6054004402072093,0.628303596417699,0.6288187850909469,0.6197033766064262,0.609452542809509,0.6182909352442111,0.612474254188747,0.6224725991569298,0.6153738645940873,0.6255857838917117,0.6120926448634568,0.6065401242083774,0.6135313532552032,0.6264832017818266,0.6068377190813711,0.6270526706429357,0.5986855561480028,0.6052518777758162,0.6204351842116919,0.6131041439709018
