,1_MBiRW,2_MBiRW,3_MBiRW,4_MBiRW,5_MBiRW,6_MBiRW,7_MBiRW,8_MBiRW,9_MBiRW,10_MBiRW,11_MBiRW,12_MBiRW,13_MBiRW,14_MBiRW,15_MBiRW,16_MBiRW,17_MBiRW,18_MBiRW,19_MBiRW,20_MBiRW,21_MBiRW,22_MBiRW,23_MBiRW,24_MBiRW,25_MBiRW,26_MBiRW,27_MBiRW,28_MBiRW,29_MBiRW,30_MBiRW,31_MBiRW,32_MBiRW,33_MBiRW,34_MBiRW,35_MBiRW,36_MBiRW,37_MBiRW,38_MBiRW,39_MBiRW,40_MBiRW,41_MBiRW,42_MBiRW,43_MBiRW,44_MBiRW,45_MBiRW,46_MBiRW,47_MBiRW,48_MBiRW,49_MBiRW,50_MBiRW,51_MBiRW,52_MBiRW,53_MBiRW,54_MBiRW,55_MBiRW,56_MBiRW,57_MBiRW,58_MBiRW,59_MBiRW,60_MBiRW,61_MBiRW,62_MBiRW,63_MBiRW,64_MBiRW,65_MBiRW,66_MBiRW,67_MBiRW,68_MBiRW,69_MBiRW,70_MBiRW,71_MBiRW,72_MBiRW,73_MBiRW,74_MBiRW,75_MBiRW,76_MBiRW,77_MBiRW,78_MBiRW,79_MBiRW,80_MBiRW,81_MBiRW,82_MBiRW,83_MBiRW,84_MBiRW,85_MBiRW,86_MBiRW,87_MBiRW,88_MBiRW,89_MBiRW,90_MBiRW,91_MBiRW,92_MBiRW,93_MBiRW,94_MBiRW,95_MBiRW,96_MBiRW,97_MBiRW,98_MBiRW,99_MBiRW,100_MBiRW
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.001312597373107167,0.0017191820033748936,0.001031302685640168,0.0012661773641341608,0.0013708463847358515,0.0012143242892492172,0.0014003931507319618,0.0012412832329429177,0.0012559756523882475,0.001443635109436188,0.001852320681038558,0.0012878398898115617,0.001652944570169576,0.0014644213257771397,0.0015444781592039581,0.0015529643205222262,0.0017094227403029586,0.0014622448405436895,0.001294904303768782,0.0014182192185773362,0.0016725295103113063,0.001275415751734456,0.00144357095300882,0.001470045501135046,0.0014962483870762555,0.0014064927740465047,0.0014468713863682002,0.0014322047844769082,0.0014215989532099336,0.0012525797386025736,0.0014503124523580861,0.001509911693333599,0.0012830590510723178,0.0016093121817278074,0.00114614623023633,0.001480238619308458,0.0016030159581818504,0.0015337760093480676,0.001230311555273665,0.0016662453676691202,0.0012038518265947173,0.0015684475217363142,0.0012510954770973122,0.001363099084803115,0.0016312342218125313,0.001379204508715284,0.0013090580434411056,0.0018331822324132397,0.0015776919044112228,0.0013857164568166099,0.0014825144105412387,0.0012872796550949446,0.0014439189700588084,0.0015022410490122293,0.0016706691724832786,0.0014273837991661974,0.0013040599291916347,0.0013017510787711514,0.0014944426164542294,0.0012928637310968413,0.0013367059197644004,0.0012303845191212874,0.0012375203290623514,0.001456370712552682,0.0015357549044806354,0.0014561939819287804,0.001319150495901544,0.0016299629508898655,0.0015790106830048153,0.0012805423871070554,0.0013841450858824477,0.0013413372659146566,0.0013672026433847913,0.0017056733467411898,0.0013520752759018334,0.0013761698467775298,0.0015862246574834026,0.0016182635487312076,0.0012617927932531115,0.0012899008511200606,0.0012179269282395458,0.001635847064402928,0.0014874035086938071,0.0015238238165511979,0.0015177863634335074,0.0013204488327524882,0.001491046664700973,0.0014016270283314792,0.0013153084495856793,0.001429258925709433,0.0012960190607313898,0.0014907990554726457,0.0012698030950105028,0.0011619280726890377,0.0015795179156450141,0.001237565376260148,0.0014722517767488319,0.0012522910287803273,0.00164143029958636,0.0013615713989582252
HR@10,0.015503875968992248,0.020671834625323,0.015503875968992248,0.0103359173126615,0.0103359173126615,0.015503875968992248,0.015503875968992248,0.023255813953488372,0.01808785529715762,0.0103359173126615,0.020671834625323,0.015503875968992248,0.025839793281653745,0.01808785529715762,0.023255813953488372,0.023255813953488372,0.0103359173126615,0.020671834625323,0.015503875968992248,0.020671834625323,0.015503875968992248,0.012919896640826873,0.012919896640826873,0.020671834625323,0.01808785529715762,0.01808785529715762,0.01808785529715762,0.015503875968992248,0.020671834625323,0.015503875968992248,0.01808785529715762,0.025839793281653745,0.023255813953488372,0.020671834625323,0.015503875968992248,0.025839793281653745,0.015503875968992248,0.015503875968992248,0.025839793281653745,0.020671834625323,0.01808785529715762,0.023255813953488372,0.01808785529715762,0.023255813953488372,0.012919896640826873,0.015503875968992248,0.020671834625323,0.025839793281653745,0.023255813953488372,0.020671834625323,0.023255813953488372,0.01808785529715762,0.025839793281653745,0.01808785529715762,0.015503875968992248,0.01808785529715762,0.020671834625323,0.025839793281653745,0.020671834625323,0.01808785529715762,0.01808785529715762,0.023255813953488372,0.01808785529715762,0.012919896640826873,0.020671834625323,0.012919896640826873,0.01808785529715762,0.01808785529715762,0.020671834625323,0.015503875968992248,0.023255813953488372,0.01808785529715762,0.015503875968992248,0.01808785529715762,0.020671834625323,0.015503875968992248,0.020671834625323,0.01808785529715762,0.020671834625323,0.01808785529715762,0.025839793281653745,0.023255813953488372,0.020671834625323,0.015503875968992248,0.015503875968992248,0.020671834625323,0.01808785529715762,0.020671834625323,0.0103359173126615,0.020671834625323,0.01808785529715762,0.020671834625323,0.01808785529715762,0.01808785529715762,0.01808785529715762,0.015503875968992248,0.020671834625323,0.020671834625323,0.020671834625323,0.020671834625323
HR@2,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.0,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.0,0.00516795865633075,0.0,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.002583979328165375,0.0,0.00516795865633075,0.00516795865633075,0.002583979328165375,0.002583979328165375,0.00516795865633075,0.00516795865633075,0.00516795865633075,0.00516795865633075
HR@5,0.007751937984496124,0.0103359173126615,0.0103359173126615,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.012919896640826873,0.007751937984496124,0.007751937984496124,0.0103359173126615,0.007751937984496124,0.012919896640826873,0.0103359173126615,0.0103359173126615,0.0103359173126615,0.0,0.007751937984496124,0.002583979328165375,0.007751937984496124,0.0103359173126615,0.007751937984496124,0.0103359173126615,0.0103359173126615,0.012919896640826873,0.0103359173126615,0.0103359173126615,0.007751937984496124,0.0103359173126615,0.00516795865633075,0.007751937984496124,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.0103359173126615,0.012919896640826873,0.0103359173126615,0.00516795865633075,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.012919896640826873,0.0103359173126615,0.0103359173126615,0.00516795865633075,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.007751937984496124,0.0103359173126615,0.0103359173126615,0.012919896640826873,0.0103359173126615,0.007751937984496124,0.007751937984496124,0.012919896640826873,0.012919896640826873,0.0103359173126615,0.0103359173126615,0.007751937984496124,0.012919896640826873,0.0103359173126615,0.007751937984496124,0.007751937984496124,0.00516795865633075,0.0103359173126615,0.007751937984496124,0.0103359173126615,0.007751937984496124,0.0103359173126615,0.007751937984496124,0.007751937984496124,0.0103359173126615,0.007751937984496124,0.007751937984496124,0.0103359173126615,0.0103359173126615,0.0103359173126615,0.00516795865633075,0.012919896640826873,0.012919896640826873,0.012919896640826873,0.007751937984496124,0.0103359173126615,0.012919896640826873,0.007751937984496124,0.007751937984496124,0.002583979328165375,0.0103359173126615,0.0103359173126615,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.00516795865633075,0.012919896640826873,0.0103359173126615,0.0103359173126615,0.012919896640826873
Lin's AUC,0.8744811721890224,0.9014045427940327,0.860374876668365,0.8660014648196115,0.8731662822138012,0.8807763739180857,0.8831929359839658,0.8673555844323294,0.8807428850329089,0.8828659150960241,0.8971339328902654,0.8817233818199507,0.8877630146894547,0.8800855613348666,0.8891345853978104,0.8875838192940767,0.8803651279062372,0.8885422845762547,0.8659110621672275,0.8787044856057048,0.8730430209911614,0.880744313263497,0.8822003234288779,0.8811215447609185,0.8892156326931426,0.8887701656480899,0.8744611781728285,0.8921442136091687,0.897118331107572,0.8858791087955467,0.8991273093384312,0.8907060461048099,0.8748264624759237,0.8820828171994298,0.894688553821786,0.8866185832246942,0.8825714704805668,0.8896629103076381,0.8737662300027437,0.8852244535361526,0.885023227040277,0.8943225897845133,0.8858182897023366,0.8965582236170346,0.8821868545928075,0.8871436897639887,0.8944250080568952,0.8847971840002812,0.887780705456028,0.88915922396811,0.8914014547561842,0.870502431120806,0.883706094737743,0.8875596680711921,0.8889157068524283,0.883651816517237,0.8862599789432777,0.8760622267236691,0.8846634932175464,0.8959765942796659,0.8835829322326969,0.8646793236360256,0.8700226367429341,0.8814329751572129,0.8652692646614832,0.8852756752007529,0.8758659260639003,0.8746382085454338,0.8793722947214744,0.8847853348096927,0.87522525515896,0.8873024678011977,0.8853161927445247,0.8762682824323806,0.8738189669106384,0.8952495439032228,0.880821989715478,0.8921957647728758,0.8788521926853726,0.9063274563160882,0.8690113478418718,0.8882119556339577,0.8739390735444726,0.8967263659818081,0.8986712955704863,0.8766397137785813,0.9052356341494527,0.8827155890096051,0.8898469122808017,0.8989836290888191,0.8800149125830083,0.8845404931615686,0.8796549874242645,0.8799221695433266,0.8957046818061914,0.874131145331536,0.8747693114284649,0.8731554795106593,0.8771240181420298,0.8826985115316943
NDCGk,0.23097107734558092,0.22329439422180972,0.23772181628030523,0.24026754115860635,0.24996898234148415,0.23378220700949867,0.23655386231180275,0.2372292503680283,0.22020708774737038,0.23524928133639156,0.2289490864487988,0.22162795730776239,0.2177240999816248,0.2266647538497661,0.2233418790015492,0.22755992969700506,0.22863623689969792,0.23578659572476782,0.2257785551056406,0.22445738290664263,0.22611277926835352,0.22959284121827672,0.23486997199996518,0.2430122923629786,0.21984519263574037,0.2305972311295642,0.2353172384079639,0.23328154655192018,0.23425941969745184,0.22300876726308047,0.23446670825836302,0.2398764199596599,0.24769165595630427,0.24373850691828056,0.23581348543644837,0.23883436696988972,0.228518065590755,0.23249879049550135,0.21614233888194992,0.23054683350285343,0.231406567006586,0.2166117078197694,0.2376455242552693,0.23933797821571723,0.23519336685226166,0.21933973652545508,0.2373807693920819,0.2352693078204087,0.24171675948178004,0.23116573544091476,0.2221604421696475,0.22255288112732133,0.24698357695502138,0.2299111248527119,0.22538207268017604,0.23322288450381723,0.22926649400924964,0.23160202736481372,0.22688774738369624,0.23035300412493825,0.22394990724063396,0.21761035640061965,0.22866467057443438,0.23590173307785955,0.23385274049938198,0.24707133208399715,0.23186878475487754,0.25044815405641413,0.2397383917543785,0.2410468993484287,0.23119658053150793,0.23559395514115572,0.22962804378221816,0.24448356919822045,0.23644993281972396,0.2318072591263751,0.25549064463007465,0.22962521986777668,0.21994682790624862,0.21664107721278178,0.23894296279583557,0.2174485716196305,0.23859617806590835,0.23813633439700144,0.22901933458407792,0.21806512041309406,0.23128807989704522,0.2288104019299852,0.2157998490063942,0.21904431292061596,0.2250646261407235,0.22157255313599591,0.22712055954863813,0.23377417989642688,0.23030445168782457,0.22459679652432896,0.2381947943569186,0.24983148742829564,0.2276194645223727,0.2265801114150952
global AUC,0.9734353694206521,0.9796759008960182,0.9735810009342236,0.972439427878947,0.9730120349748889,0.9756326209791355,0.9755700520224951,0.9765020155853482,0.9759245117884519,0.9761636828458967,0.9791438624792089,0.9764901714283386,0.9781095285699064,0.9747517309837874,0.9738029707601105,0.9764999787809626,0.973820939280992,0.9759603511752096,0.9717014071556062,0.9762873698848203,0.9765284103380714,0.9745623500280702,0.9759136302307753,0.9758822829742377,0.978492336188682,0.977137763617244,0.9737320174237732,0.9786616560162723,0.9778022501219781,0.9781526641805933,0.9797196224367339,0.9754912862857748,0.9748286412754168,0.9768346424823767,0.9774292359051114,0.9763500225457505,0.9760702270063131,0.9771081183479329,0.9729166678873543,0.9777520135973712,0.9772576560616958,0.9759598629001857,0.9768312943107841,0.9767804858068635,0.9768863856842004,0.9788023908288892,0.977795735138087,0.9754238345788951,0.9777695217446586,0.9756802905721876,0.9786763600698507,0.9727691669779769,0.9766551386328584,0.9774331979081629,0.9761885569706882,0.9756382012651234,0.9780097670071562,0.9729772000396087,0.9759580074550946,0.9771480871463218,0.976798817046334,0.9714633940075038,0.9729955312790795,0.9755649042086714,0.974290352938301,0.9765900724982385,0.9752429775100244,0.9729489777432246,0.9763749943255468,0.9760652605517837,0.9747337764136211,0.9784543065396738,0.9768952722896362,0.9781176757874489,0.9736215835640711,0.9788361376084016,0.9759617741481366,0.9776661190453013,0.9770694609167512,0.9786746441319093,0.9714184587545857,0.9757604653311199,0.9765913420133008,0.9791038099765301,0.9773474986661024,0.976992871491566,0.9796518498634099,0.9759028323773885,0.9764380655079258,0.9784173789971483,0.9742096341014849,0.9779153206668095,0.9758611336903433,0.9747747496634878,0.9786035233869925,0.9748626670692285,0.9738474177380048,0.9767870147414695,0.974845242626231,0.9739221796195289
global NDCG,0.7483562955968516,0.7933038185385342,0.7766138161547741,0.7510664959335228,0.7556608272437914,0.7674328951464865,0.7573706128666478,0.7850565769452617,0.7621384468501212,0.7841135987387697,0.7869663445794053,0.7596620830036007,0.8113359212561674,0.769964264942034,0.7720998846670641,0.7973356222751834,0.7262208516193223,0.7762391383545761,0.7407734074932133,0.785990794847236,0.778757035065038,0.7508081691870782,0.7790701687159438,0.7777438028395804,0.7938595318025257,0.7751303068220168,0.7841960275074444,0.7788927474017944,0.7761657134818444,0.7743662191807855,0.7842551424176917,0.7941133098766907,0.7892922310204078,0.7851697967268639,0.7675279120032763,0.8081011330261336,0.7803824458609468,0.7718342645823878,0.7827564442772745,0.8063438266066877,0.77504873764569,0.7942759776675576,0.7931776812958625,0.7862923060599389,0.7678279329416241,0.7872525606914663,0.7804267166982826,0.8074311480929732,0.8046892186953194,0.7887493468817909,0.7960515294824233,0.77007985791144,0.7922352874464234,0.7761947325388139,0.7703265623184754,0.7769894414406346,0.785561640049592,0.7744417551978156,0.7917668703673099,0.7731125072289403,0.7717180781036491,0.7889133823859061,0.7735077625897934,0.763594106068311,0.7746919217577504,0.771863846036401,0.7812540132593563,0.741180849534556,0.786184383221225,0.7626966855955689,0.7739861726289692,0.797923412711316,0.7869916122051782,0.7982985417252366,0.7857805980810356,0.7862458244010442,0.7764321958142368,0.7691764185277209,0.7615370060008345,0.7810857057195598,0.783522710570924,0.7828262365678722,0.7860038122334939,0.7824625783956903,0.7871103130463639,0.7973270678673143,0.7754030806070078,0.7764212265356565,0.7648517204417197,0.7959103590390247,0.7485035930009478,0.7757403018390681,0.790334160113207,0.7704457812599383,0.7771921062071355,0.7707532229536422,0.7926276709207134,0.7874487645474458,0.7747033177598365,0.7878167435453278
