,1_NIMCGCN,2_NIMCGCN,3_NIMCGCN,4_NIMCGCN,5_NIMCGCN,6_NIMCGCN,7_NIMCGCN,8_NIMCGCN,9_NIMCGCN,10_NIMCGCN,11_NIMCGCN,12_NIMCGCN,13_NIMCGCN,14_NIMCGCN,15_NIMCGCN,16_NIMCGCN,17_NIMCGCN,18_NIMCGCN,19_NIMCGCN,20_NIMCGCN,21_NIMCGCN,22_NIMCGCN,23_NIMCGCN,24_NIMCGCN,25_NIMCGCN,26_NIMCGCN,27_NIMCGCN,28_NIMCGCN,29_NIMCGCN,30_NIMCGCN,31_NIMCGCN,32_NIMCGCN,33_NIMCGCN,34_NIMCGCN,35_NIMCGCN,36_NIMCGCN,37_NIMCGCN,38_NIMCGCN,39_NIMCGCN,40_NIMCGCN,41_NIMCGCN,42_NIMCGCN,43_NIMCGCN,44_NIMCGCN,45_NIMCGCN,46_NIMCGCN,47_NIMCGCN,48_NIMCGCN,49_NIMCGCN,50_NIMCGCN,51_NIMCGCN,52_NIMCGCN,53_NIMCGCN,54_NIMCGCN,55_NIMCGCN,56_NIMCGCN,57_NIMCGCN,58_NIMCGCN,59_NIMCGCN,60_NIMCGCN,61_NIMCGCN,62_NIMCGCN,63_NIMCGCN,64_NIMCGCN,65_NIMCGCN,66_NIMCGCN,67_NIMCGCN,68_NIMCGCN,69_NIMCGCN,70_NIMCGCN,71_NIMCGCN,72_NIMCGCN,73_NIMCGCN,74_NIMCGCN,75_NIMCGCN,76_NIMCGCN,77_NIMCGCN,78_NIMCGCN,79_NIMCGCN,80_NIMCGCN,81_NIMCGCN,82_NIMCGCN,83_NIMCGCN,84_NIMCGCN,85_NIMCGCN,86_NIMCGCN,87_NIMCGCN,88_NIMCGCN,89_NIMCGCN,90_NIMCGCN,91_NIMCGCN,92_NIMCGCN,93_NIMCGCN,94_NIMCGCN,95_NIMCGCN,96_NIMCGCN,97_NIMCGCN,98_NIMCGCN,99_NIMCGCN,100_NIMCGCN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.001312597373107167,0.0017191820033748936,0.001031302685640168,0.0012661773641341608,0.0013708463847358515,0.0012143242892492172,0.0014003931507319618,0.0012412832329429177,0.0012559756523882475,0.001443635109436188,0.001852320681038558,0.0012878398898115617,0.001652944570169576,0.0014644213257771397,0.0015444781592039581,0.0015529643205222262,0.0017094227403029586,0.0014622448405436895,0.001294904303768782,0.0014182192185773362,0.0016725295103113063,0.001275415751734456,0.00144357095300882,0.001470045501135046,0.0014962483870762555,0.0014064927740465047,0.0014468713863682002,0.0014322047844769082,0.0014215989532099336,0.0012525797386025736,0.0014503124523580861,0.001509911693333599,0.0012830590510723178,0.0016093121817278074,0.00114614623023633,0.001480238619308458,0.0016030159581818504,0.0015337760093480676,0.001230311555273665,0.0016662453676691202,0.0012038518265947173,0.0015684475217363142,0.0012510954770973122,0.001363099084803115,0.0016312342218125313,0.001379204508715284,0.0013090580434411056,0.0018331822324132397,0.0015776919044112228,0.0013857164568166099,0.0014825144105412387,0.0012872796550949446,0.0014439189700588084,0.0015022410490122293,0.0016706691724832786,0.0014273837991661974,0.0013040599291916347,0.0013017510787711514,0.0014944426164542294,0.0012928637310968413,0.0013367059197644004,0.0012303845191212874,0.0012375203290623514,0.001456370712552682,0.0015357549044806354,0.0014561939819287804,0.001319150495901544,0.0016299629508898655,0.0015790106830048153,0.0012805423871070554,0.0013841450858824477,0.0013413372659146566,0.0013672026433847913,0.0017056733467411898,0.0013520752759018334,0.0013761698467775298,0.0015862246574834026,0.0016182635487312076,0.0012617927932531115,0.0012899008511200606,0.0012179269282395458,0.001635847064402928,0.0014874035086938071,0.0015238238165511979,0.0015177863634335074,0.0013204488327524882,0.001491046664700973,0.0014016270283314792,0.0013153084495856793,0.001429258925709433,0.0012960190607313898,0.0014907990554726457,0.0012698030950105028,0.0011619280726890377,0.0015795179156450141,0.001237565376260148,0.0014722517767488319,0.0012522910287803273,0.00164143029958636,0.0013615713989582252
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.44371579168119946,0.4461590841686677,0.47172850750457124,0.4472627778072765,0.4376674862321305,0.4740278995441743,0.4418063627041479,0.47252516776690623,0.4784337220171781,0.45568123633740004,0.48015124960010347,0.46825358007198137,0.45353698669685094,0.4521989032495175,0.4643719071208445,0.44076646303321865,0.4700408577681013,0.46734156517989156,0.4597897576657847,0.4490877041275769,0.46959696356067204,0.44560644985986786,0.4460651025561122,0.4897719113001743,0.47360914801547116,0.43836003226224696,0.47058117979040553,0.47683358994837893,0.4920713930772889,0.4525398533144574,0.4624346025596177,0.43357842571949545,0.4550916654606539,0.4750138557440572,0.4649386943041675,0.4820823482805942,0.4643064008230479,0.43943596936091545,0.4542720438871061,0.44724859937856076,0.4798258231983451,0.48531664552199233,0.4429409524849721,0.48263685451452987,0.46109569360472547,0.47344012204775004,0.45977339963961933,0.48503505065918207,0.4765646012597694,0.4740147294233326,0.4551319321567353,0.5025670139180564,0.4765143838568292,0.47046537589263016,0.45431626343545395,0.424557240991706,0.454902132374932,0.4904922500071337,0.4455344948281242,0.45392394101682365,0.4553285448664173,0.46289852729202996,0.46972902768241626,0.4495563406282685,0.4475153080894208,0.45038935922620316,0.48048658593021587,0.4480350494748241,0.4737307319219336,0.4617082398743294,0.4735709365065364,0.4693232748478834,0.49098356519985803,0.45066170752823487,0.46341065804240017,0.44673431153605503,0.4691856494375366,0.47826269537526056,0.446039489457021,0.4680032676651044,0.4539618669094777,0.4384718678057336,0.4462284047616761,0.4810471315242249,0.48050937847797753,0.4593379724045996,0.4478260139916683,0.45495983665804124,0.4845024934467293,0.4693204887805992,0.45301844759706,0.4542875588735996,0.4801007369374133,0.47491265050048964,0.48200544402720413,0.4677594891754901,0.463792992416342,0.45926840025560106,0.4648970845825677,0.46985078016591225
NDCGk,0.23097107734558092,0.22329439422180972,0.23772181628030523,0.24026754115860635,0.24996898234148415,0.23378220700949867,0.23655386231180275,0.2372292503680283,0.22020708774737038,0.23524928133639156,0.2289490864487988,0.22162795730776239,0.2177240999816248,0.2266647538497661,0.2233418790015492,0.22755992969700506,0.22863623689969792,0.23578659572476782,0.2257785551056406,0.22445738290664263,0.22611277926835352,0.22959284121827672,0.23486997199996518,0.2430122923629786,0.21984519263574037,0.2305972311295642,0.2353172384079639,0.23328154655192018,0.23425941969745184,0.22300876726308047,0.23446670825836302,0.2398764199596599,0.24769165595630427,0.24373850691828056,0.23581348543644837,0.23883436696988972,0.228518065590755,0.23249879049550135,0.21614233888194992,0.23054683350285343,0.231406567006586,0.2166117078197694,0.2376455242552693,0.23933797821571723,0.23519336685226166,0.21933973652545508,0.2373807693920819,0.2352693078204087,0.24171675948178004,0.23116573544091476,0.2221604421696475,0.22255288112732133,0.24698357695502138,0.2299111248527119,0.22538207268017604,0.23322288450381723,0.22926649400924964,0.23160202736481372,0.22688774738369624,0.23035300412493825,0.22394990724063396,0.21761035640061965,0.22866467057443438,0.23590173307785955,0.23385274049938198,0.24707133208399715,0.23186878475487754,0.25044815405641413,0.2397383917543785,0.2410468993484287,0.23119658053150793,0.23559395514115572,0.22962804378221816,0.24448356919822045,0.23644993281972396,0.2318072591263751,0.25549064463007465,0.22962521986777668,0.21994682790624862,0.21664107721278178,0.23894296279583557,0.2174485716196305,0.23859617806590835,0.23813633439700144,0.22901933458407792,0.21806512041309406,0.23128807989704522,0.2288104019299852,0.2157998490063942,0.21904431292061596,0.2250646261407235,0.22157255313599591,0.22712055954863813,0.23377417989642688,0.23030445168782457,0.22459679652432896,0.2381947943569186,0.24983148742829564,0.2276194645223727,0.2265801114150952
global AUC,0.8983548744928114,0.8955599743050151,0.9004860066376944,0.9014409051759581,0.8935958043168925,0.9021309075383721,0.8973205684849387,0.899295417745371,0.9026738623896454,0.8974156914349614,0.9032313329598449,0.8986490671700977,0.8966314589682827,0.8968058777821946,0.8990683977606647,0.8947290976228344,0.8963709781937211,0.8969409974320361,0.8995389344505287,0.897939596584943,0.9013207825447092,0.8980865324903642,0.9003338043373722,0.904203900078618,0.9019731458781344,0.8964499322650936,0.9036232434201382,0.9017765384520626,0.9038136218519759,0.8995738042625963,0.8997740667759899,0.897605497887485,0.8952886468495646,0.9044792871921247,0.9031152420852223,0.9009445596633995,0.9020271979232853,0.8960837399478472,0.8986723090612377,0.8974404190772457,0.9022748231140021,0.898544262423886,0.8941295307702131,0.8998069486111744,0.8963876911502551,0.8990773541196753,0.9012846571682944,0.9021189587510002,0.8990723458130012,0.8958926500295462,0.9011861232684617,0.9058951661804983,0.902091643251089,0.899914299362868,0.8971136584558618,0.8911423130011985,0.8990383827974069,0.9013473168045819,0.8955340678273158,0.8983615638606394,0.8975589792284178,0.8978781367101429,0.8998002313419162,0.893203838053739,0.8970941135041889,0.896019287644686,0.8999103024830291,0.8981805114817591,0.9009270724421845,0.8998269399857263,0.9004047158215643,0.8981835876144102,0.9037517574064415,0.8965752724637411,0.9020681014195774,0.896766460037047,0.9015868017531137,0.899658659486401,0.8981483132316087,0.8978726401284448,0.9005240781388475,0.8928509337925017,0.8954399493287711,0.9012649238819693,0.9035872156987285,0.8992383872225737,0.8968213072729513,0.8962231285164696,0.8999167058612004,0.8999621014877126,0.8979856478950589,0.8978628885786808,0.9009528673141641,0.9010006345622212,0.906791485666603,0.9029979374983973,0.8984806959911252,0.8983126805553847,0.9009654090069219,0.8996452528493151
global NDCG,0.4813312179811813,0.4820694520274584,0.484827305218691,0.48474486976639897,0.477628756487643,0.4857768277486107,0.4776731701750119,0.48402720952964073,0.4868989409807709,0.4816808987250996,0.48676616037834136,0.4813895004884678,0.4816037185190421,0.4816792690679507,0.4833476245870188,0.4778653421096826,0.4831389350910985,0.4817493243827183,0.48259322095916063,0.4816773441750034,0.4896205194016279,0.4818824276833799,0.48500647159087223,0.48793450923962733,0.4867968293192324,0.48262855898378904,0.48564258089981094,0.4880228005798,0.48584114315229654,0.48440334537639057,0.4854140039115062,0.48332596681129353,0.48010514462210196,0.48648934921866144,0.48758823550569264,0.483966974502558,0.4856178202557143,0.4775572661229167,0.4847794949328687,0.4831588448364733,0.4862833387005237,0.48331179720182127,0.4820585816281282,0.47966992134448083,0.4823041861819249,0.484600270105531,0.4844393257238817,0.4863596089522774,0.48147759260808976,0.48102879861263415,0.4875386565459715,0.4851902720054932,0.4881404603573405,0.48423297723633,0.4823375663035255,0.47826545745488874,0.4821407977825673,0.4838949374143225,0.47919384053486136,0.4845755692181498,0.4827906535551569,0.4788492690795638,0.48790772802422355,0.4788569968978481,0.48277092704515867,0.48262842230069175,0.48304322701260793,0.48281366739571197,0.48655079472037505,0.48660983085449094,0.4829732558921293,0.48070603961459446,0.4861320964524088,0.48061482044687687,0.48465576053448595,0.4801020532278597,0.4829458224733208,0.48671112616295537,0.4861897659411998,0.485382773433292,0.4857003524401942,0.4775297314953953,0.4803868756073266,0.4851296525176132,0.4857442597662291,0.4827688880066397,0.48154548656650153,0.4793385617373113,0.4831833415215217,0.48414499729023996,0.48609084890127235,0.4819226615671387,0.4830410210120928,0.487136760133265,0.4923073053650313,0.4841987500639723,0.4830663240027425,0.4834989177314106,0.4842367466067141,0.4849611329146872
