,1_PMF,2_PMF,3_PMF,4_PMF,5_PMF,6_PMF,7_PMF,8_PMF,9_PMF,10_PMF,11_PMF,12_PMF,13_PMF,14_PMF,15_PMF,16_PMF,17_PMF,18_PMF,19_PMF,20_PMF,21_PMF,22_PMF,23_PMF,24_PMF,25_PMF,26_PMF,27_PMF,28_PMF,29_PMF,30_PMF,31_PMF,32_PMF,33_PMF,34_PMF,35_PMF,36_PMF,37_PMF,38_PMF,39_PMF,40_PMF,41_PMF,42_PMF,43_PMF,44_PMF,45_PMF,46_PMF,47_PMF,48_PMF,49_PMF,50_PMF,51_PMF,52_PMF,53_PMF,54_PMF,55_PMF,56_PMF,57_PMF,58_PMF,59_PMF,60_PMF,61_PMF,62_PMF,63_PMF,64_PMF,65_PMF,66_PMF,67_PMF,68_PMF,69_PMF,70_PMF,71_PMF,72_PMF,73_PMF,74_PMF,75_PMF,76_PMF,77_PMF,78_PMF,79_PMF,80_PMF,81_PMF,82_PMF,83_PMF,84_PMF,85_PMF,86_PMF,87_PMF,88_PMF,89_PMF,90_PMF,91_PMF,92_PMF,93_PMF,94_PMF,95_PMF,96_PMF,97_PMF,98_PMF,99_PMF,100_PMF
ACC,0.5943152454780362,0.5917312661498708,0.5555555555555556,0.6201550387596899,0.5684754521963824,0.5917312661498708,0.5555555555555556,0.5736434108527132,0.6046511627906976,0.5891472868217055,0.5581395348837209,0.5917312661498708,0.6124031007751938,0.6330749354005168,0.5607235142118863,0.5116279069767442,0.5917312661498708,0.6253229974160207,0.5891472868217055,0.6304909560723514,0.5581395348837209,0.5426356589147286,0.5762273901808785,0.6201550387596899,0.5607235142118863,0.5581395348837209,0.599483204134367,0.5400516795865633,0.5736434108527132,0.5684754521963824,0.6046511627906976,0.5788113695090439,0.6434108527131783,0.627906976744186,0.5813953488372093,0.5633074935400517,0.5788113695090439,0.5762273901808785,0.6072351421188631,0.5658914728682171,0.5813953488372093,0.5943152454780362,0.599483204134367,0.5607235142118863,0.58656330749354,0.6330749354005168,0.5658914728682171,0.6330749354005168,0.5736434108527132,0.5503875968992248,0.5943152454780362,0.5917312661498708,0.6020671834625323,0.6149870801033591,0.5943152454780362,0.5917312661498708,0.6253229974160207,0.5813953488372093,0.5658914728682171,0.6330749354005168,0.6124031007751938,0.6253229974160207,0.5736434108527132,0.5968992248062015,0.5607235142118863,0.5813953488372093,0.6149870801033591,0.6072351421188631,0.5968992248062015,0.5839793281653747,0.6046511627906976,0.5684754521963824,0.6227390180878553,0.58656330749354,0.5762273901808785,0.6227390180878553,0.5968992248062015,0.6098191214470284,0.5943152454780362,0.5426356589147286,0.6072351421188631,0.537467700258398,0.5581395348837209,0.6124031007751938,0.5736434108527132,0.6124031007751938,0.6098191214470284,0.6046511627906976,0.5633074935400517,0.5710594315245479,0.5400516795865633,0.5581395348837209,0.5788113695090439,0.5788113695090439,0.5658914728682171,0.58656330749354,0.5917312661498708,0.5710594315245479,0.5555555555555556,0.5658914728682171
AUC,0.545764258425453,0.5559473097529232,0.5141526761152364,0.5697838969007119,0.533372807536237,0.5476948557073207,0.5407088824524231,0.5395881420010832,0.5646516909410333,0.5397285132566295,0.5422615577634465,0.5399651218925541,0.5516859600853435,0.5636648446710071,0.5303079629805804,0.480085170383959,0.5494452830303272,0.5606152019312343,0.5405809251967002,0.5781472896648666,0.5083049474290089,0.5240151344678127,0.5457839531308272,0.5587467603422686,0.526381837457402,0.5241729762669481,0.558659709841624,0.5057770026397372,0.5455182855402039,0.5224615717825422,0.5523898707257273,0.5477175178440278,0.5523064378420065,0.5643583904822644,0.553263213692687,0.5337418029871225,0.5456550934412974,0.5426636150887922,0.5546643524425617,0.529887461072045,0.5431235366427131,0.566120459281703,0.5545661116011383,0.5304472135049333,0.5381322875933064,0.5457460988767687,0.5488217656940013,0.5659963290191685,0.548534824962337,0.5402981171588669,0.5392064611522805,0.5330363026906302,0.5600005676451058,0.5635106109321889,0.5340866362043963,0.5481450678369779,0.5537852697206074,0.5300393924551033,0.5412989826208452,0.5732313830892523,0.5547614251660234,0.5600154195234156,0.532721129824239,0.5502769692224988,0.5304091615527875,0.5376370360516709,0.567655116581087,0.552552752737483,0.5479060941519031,0.5246121384297405,0.5538173241370075,0.5427524967649894,0.5589346853805794,0.5448462152165781,0.5430531393324755,0.5735556013621201,0.541515011764722,0.5402788856088525,0.5394609340309201,0.5160928521573819,0.5516404587959408,0.5128159726846748,0.5178751988929164,0.5276533147378027,0.5375654595580085,0.5566948983249356,0.558506616496219,0.5562843812301487,0.5207402890528565,0.5019909551379338,0.5263551794609238,0.5358739082718904,0.540352420176445,0.5406707128712329,0.5298299803390687,0.5501917270360104,0.5614943013693928,0.5332026161223302,0.5274410970994389,0.5267305830210136
Fscore,0.0014626382849742433,0.001707033140156905,0.0011477394257075483,0.0014591686919893157,0.0014785799071885266,0.0014512480016405321,0.0015302503115305222,0.0013969302980076897,0.0014467766862550735,0.0017376224254354775,0.0019423714897627636,0.0015580605013856537,0.001865073199257744,0.0017746589444375162,0.001597781596044339,0.0016104343100621066,0.0018952263283874907,0.0017097195141380502,0.0014659244781497903,0.0017454796664212928,0.0018601326784437827,0.001341260233673851,0.0015713290448422029,0.001709326515025679,0.0016325570381483436,0.001536518879117506,0.0015931863250360377,0.0016209795015784017,0.0015100521344087465,0.0013987815665299733,0.001712959955227903,0.0016463802863135484,0.0016354049500849179,0.0018806342186161672,0.001252075363095923,0.001632002582727112,0.0017375036070593319,0.0016316121489228972,0.0014117407202813284,0.0017659122876377618,0.0013317083653089149,0.0017405815394949634,0.0013750267082775296,0.0015398046789929436,0.0018856455943340744,0.0016575165827716859,0.0013480738508021923,0.0022404706443241765,0.0016562689862653496,0.00133514200672595,0.001692676945335501,0.0014869134354533367,0.0016360484755727823,0.0017523972154181945,0.0019333259187464722,0.001496168329468625,0.0014834198688989985,0.0015508675046183502,0.00151291830798655,0.0015482400695386363,0.0015365789887789082,0.0014309259186618653,0.0013662259665079698,0.0016105045454192165,0.0016538299270895576,0.0016615854947342494,0.001471595700082916,0.0018904500443675187,0.0017240670961967376,0.001504306999085629,0.001571127401033519,0.0014447161185280697,0.0016255114210039388,0.0018008280636704756,0.0014300530080942932,0.001517854019812227,0.0019010640238727669,0.0018370038977578004,0.001490532642863769,0.0013705201406986598,0.0014904731387438551,0.0017514729140150269,0.0017020330866618638,0.0018720484050328962,0.0016529163533613115,0.0015191555692866435,0.0017241876364004047,0.0015845825637392037,0.0014695202847941017,0.0016999450558708657,0.0012789634834490158,0.0014951620759759321,0.0013359044219385435,0.0012312072756257625,0.0017212861350993825,0.0013776060365756255,0.0015487468396177873,0.0013787466480676442,0.001757533319092662,0.0015282726428884844
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5657849884232299,0.5700558849815507,0.5334940569530896,0.5737908705738182,0.5449561984883575,0.5588367191320879,0.5390996322920335,0.5494073601808136,0.5603190711005026,0.5495838660390471,0.5310550060808739,0.5672623090539372,0.5742699601697203,0.5688000180345902,0.5388861172684208,0.5272207385505302,0.5864978408692796,0.5662370199981388,0.5762183198374364,0.5795423591984219,0.5389873041381588,0.536582363684309,0.5538556307611434,0.5694683953311737,0.5520159043320075,0.5414425562292913,0.5720206278446671,0.5506789190762764,0.5581549731256319,0.5418121095017994,0.5424884588736114,0.5565163794162965,0.5866083699461566,0.5554957095362782,0.5474451400746774,0.5318868625650655,0.5392274352895645,0.557901941363139,0.5545497334283436,0.5321387377923493,0.5539090024346109,0.5438235478050187,0.5493348754594074,0.550642100659079,0.5664747004270912,0.5881217973199954,0.5496634288217874,0.5669390196211336,0.5637583296960799,0.5483854895969382,0.5544109361153622,0.5486190356299746,0.5652404064969112,0.5641533019949718,0.5564716588899525,0.5571888837225268,0.5899613950776551,0.5442553224938669,0.5500544066245711,0.569077751428132,0.5769789371267213,0.5886352221177868,0.5565772011395274,0.5505799080347062,0.5402809663011302,0.5474726453979611,0.5651825683568208,0.563774337097785,0.5524392834395871,0.5695930487262114,0.5698477173070131,0.550735136471928,0.5654952189638991,0.5674768334539442,0.5508789864155722,0.578249296581036,0.5700423661595742,0.552347013227997,0.5680972579483775,0.5256850781632277,0.5773444118106985,0.5247912313394302,0.5435211103712443,0.5603475456040018,0.5593451844335015,0.5676982022727631,0.5505043249113586,0.5673967454138376,0.5374268366029211,0.5382469236460591,0.5408648395529374,0.5317280960275904,0.5538259052839578,0.5646882339330273,0.5529361188404378,0.5595273373987328,0.5525941864963583,0.5516198449223491,0.5316182275101357,0.5440185727299042
NDCGk,0.22950845051874388,0.24620672134840654,0.22197347845904483,0.2544146373708825,0.26207955257235266,0.23653015963436308,0.2328835499670795,0.23791168221059097,0.24546382633184546,0.2544806584254908,0.24991895645393175,0.23580040105545969,0.2377319879174151,0.23727221479537375,0.23116832565657208,0.23329118297147264,0.2484769822791589,0.22339221403703996,0.23693048460587857,0.24645616880121557,0.22692743753866632,0.22981059921059968,0.23500435658617913,0.2571209310551776,0.24181348323584684,0.25131304232058954,0.2551270922563281,0.21911641320257816,0.24242704440470855,0.2235560500536308,0.24774164016313763,0.25226709341945247,0.2432488289893286,0.2532052193220308,0.2345046064664928,0.2526017889180039,0.23551256165546747,0.23129020263722697,0.23972914026509431,0.2418361781216534,0.24268263779187582,0.250213384303396,0.24513265343472262,0.22635743078336695,0.256015552620086,0.24036369062440605,0.25238713383352573,0.2500872764974808,0.24165692077011502,0.2282013805687298,0.23227364226489725,0.24031405655597218,0.2518223592142929,0.23396339095329244,0.23324280377781678,0.25369011102214306,0.2338097341240268,0.24724402271016443,0.24116665555494693,0.2278881934735395,0.22946014953062677,0.23286903260952652,0.2311814232453782,0.23462667776719703,0.2428304838104525,0.23155533584653593,0.23415871180819506,0.24679143068650308,0.2440374479902991,0.23790153736717617,0.2597541783982816,0.24205084765404658,0.24471458075418195,0.2470423553763904,0.23289172880587505,0.2428807677817642,0.2515641372749724,0.239786048287334,0.23134703206843404,0.24206683942527019,0.25600383572903695,0.23300544727442452,0.24229873904964064,0.24259117162848387,0.2458644542955335,0.2300508006747939,0.24204851135961417,0.2297289188555895,0.239673486019375,0.2288194427719758,0.23460080533726727,0.23462861511103142,0.24483911872125358,0.2200564745703802,0.24718946936950623,0.24447437108268666,0.23672887782864419,0.2346170009208244,0.2411520094294985,0.22697549059219438
global AUC,0.5900192204580426,0.5891372981097869,0.5529607086204287,0.6095063882695468,0.563918925475755,0.5873186271034434,0.5538210492126259,0.5698448543778334,0.5977011677055345,0.5820652342686369,0.5553348831461608,0.5874077582213865,0.6057728979292869,0.6213356319647376,0.5580476554749288,0.5143460084786308,0.5880413020403172,0.616483740706766,0.5864375696995159,0.6226999281845095,0.5568459408874167,0.5410108051914627,0.5730562392103427,0.6114748899546677,0.5586893604621168,0.5552269185630083,0.594658963193466,0.5412995849913409,0.5706774748993854,0.5638934793716497,0.5946206963823033,0.5741146660043982,0.6327091616047196,0.6185351514909536,0.575263200466445,0.5588788530235539,0.5706496292723053,0.5726614339766929,0.5994224487706729,0.5630954845246533,0.5770619638025264,0.5864460238327874,0.5937796914810545,0.5591011716173149,0.583168833477765,0.6248509610242973,0.563199612661189,0.6206583387036612,0.5732626400383232,0.5493750400559905,0.5883650981347699,0.5851000449017713,0.593200890267666,0.6059974765388734,0.5879501480687034,0.5853888526030793,0.6179950356101764,0.5767081178680283,0.5622538518412307,0.6219735563081688,0.6057068970967641,0.6189110674565339,0.5714575012255005,0.590529356252349,0.5588455247654904,0.5767839679053199,0.607107018752579,0.5997985460955478,0.5891848002942596,0.5798231590629552,0.5988805750998097,0.5655967361130466,0.6129464532218436,0.5835888197519357,0.5725696103707606,0.6143691052823349,0.5923042080629719,0.600478322583889,0.590722099330374,0.5398978450525896,0.6018659862512357,0.5391725055291566,0.5550388489744983,0.6023191473256047,0.5698691704740261,0.6038674813772603,0.6007618569149384,0.598854431459956,0.5607343818188478,0.5660997430920036,0.5410740995852815,0.5571430911162767,0.5746963829172156,0.5747145467481063,0.5624476970257382,0.5829586659567426,0.5864468329742559,0.5677925228464581,0.5531192445453471,0.560082841577606
global NDCG,0.46933017221775064,0.47143920852300225,0.46592104037506465,0.4737163786168432,0.46201304288478545,0.4731870464487508,0.4609894680551813,0.4660032407586979,0.47435675920438813,0.46374256405866215,0.45734004908427456,0.46867779439251794,0.4749818966644982,0.4716649976816002,0.45891175266120354,0.4583515210922373,0.46677774120662097,0.4686396843512274,0.46933369695821986,0.47560672942346555,0.46646522397698936,0.4568891859935051,0.4670312768607452,0.4728702625272018,0.4700467596371027,0.459620197518323,0.47227947285291183,0.4629499001017394,0.46718171162085337,0.4583615785664094,0.46663542254664203,0.4653821199001828,0.4742464073553126,0.4724158999540812,0.4669751109568533,0.4640139010428831,0.46138590087009584,0.4664977171715884,0.4703252860779076,0.4645694219182271,0.46840605653009615,0.4689549381236394,0.4676558858295496,0.4649299920132069,0.46826257982683417,0.4743535320614297,0.46369874658103416,0.4698677383215381,0.4700382169002993,0.45943878572035163,0.46864755318122964,0.4669512362782093,0.4712535679978966,0.4689707989347072,0.46228182235194615,0.46377616979290437,0.4763425320989733,0.4686558312743171,0.4671501325290941,0.47115965049345404,0.4745680337635985,0.47652721569284534,0.46668448590291356,0.4647781884036146,0.47065441523359625,0.46767252753472366,0.47316453081279264,0.47005831340341064,0.4724790128304122,0.4635575097060615,0.47326356185098517,0.46627080672230486,0.4693211336081693,0.47047940117102405,0.46659200834578496,0.4755638751175539,0.4682630497822918,0.4717501978405065,0.47153027458301033,0.4554887629978788,0.4721885426086816,0.4646738314880833,0.4631603958657944,0.4729462477138035,0.4688391696112669,0.47171517582906214,0.466663929830249,0.4833946207961629,0.4608579775139164,0.46532410966802285,0.4614128049436395,0.46090396882414536,0.46624929351145955,0.464689170176088,0.4602469669470577,0.47487209937605185,0.46914669068276094,0.4630004128193214,0.4587758742531213,0.4603754162221788
