,1_VariationalWrapper,2_VariationalWrapper,3_VariationalWrapper,4_VariationalWrapper,5_VariationalWrapper,6_VariationalWrapper,7_VariationalWrapper,8_VariationalWrapper,9_VariationalWrapper,10_VariationalWrapper,11_VariationalWrapper,12_VariationalWrapper,13_VariationalWrapper,14_VariationalWrapper,15_VariationalWrapper,16_VariationalWrapper,17_VariationalWrapper,18_VariationalWrapper,19_VariationalWrapper,20_VariationalWrapper,21_VariationalWrapper,22_VariationalWrapper,23_VariationalWrapper,24_VariationalWrapper,25_VariationalWrapper,26_VariationalWrapper,27_VariationalWrapper,28_VariationalWrapper,29_VariationalWrapper,30_VariationalWrapper,31_VariationalWrapper,32_VariationalWrapper,33_VariationalWrapper,34_VariationalWrapper,35_VariationalWrapper,36_VariationalWrapper,37_VariationalWrapper,38_VariationalWrapper,39_VariationalWrapper,40_VariationalWrapper,41_VariationalWrapper,42_VariationalWrapper,43_VariationalWrapper,44_VariationalWrapper,45_VariationalWrapper,46_VariationalWrapper,47_VariationalWrapper,48_VariationalWrapper,49_VariationalWrapper,50_VariationalWrapper,51_VariationalWrapper,52_VariationalWrapper,53_VariationalWrapper,54_VariationalWrapper,55_VariationalWrapper,56_VariationalWrapper,57_VariationalWrapper,58_VariationalWrapper,59_VariationalWrapper,60_VariationalWrapper,61_VariationalWrapper,62_VariationalWrapper,63_VariationalWrapper,64_VariationalWrapper,65_VariationalWrapper,66_VariationalWrapper,67_VariationalWrapper,68_VariationalWrapper,69_VariationalWrapper,70_VariationalWrapper,71_VariationalWrapper,72_VariationalWrapper,73_VariationalWrapper,74_VariationalWrapper,75_VariationalWrapper,76_VariationalWrapper,77_VariationalWrapper,78_VariationalWrapper,79_VariationalWrapper,80_VariationalWrapper,81_VariationalWrapper,82_VariationalWrapper,83_VariationalWrapper,84_VariationalWrapper,85_VariationalWrapper,86_VariationalWrapper,87_VariationalWrapper,88_VariationalWrapper,89_VariationalWrapper,90_VariationalWrapper,91_VariationalWrapper,92_VariationalWrapper,93_VariationalWrapper,94_VariationalWrapper,95_VariationalWrapper,96_VariationalWrapper,97_VariationalWrapper,98_VariationalWrapper,99_VariationalWrapper,100_VariationalWrapper
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.001312597373107167,0.0017191820033748936,0.001031302685640168,0.0012661773641341608,0.0013708463847358515,0.0012143242892492172,0.0014003931507319618,0.0012412832329429177,0.0012559756523882475,0.001443635109436188,0.001852320681038558,0.0012878398898115617,0.001652944570169576,0.0014644213257771397,0.0015444781592039581,0.0015529643205222262,0.0017094227403029586,0.0014622448405436895,0.001294904303768782,0.0014182192185773362,0.0016725295103113063,0.001275415751734456,0.00144357095300882,0.001470045501135046,0.0014962483870762555,0.0014064927740465047,0.0014468713863682002,0.0014322047844769082,0.0014215989532099336,0.0012525797386025736,0.0014503124523580861,0.001509911693333599,0.0012830590510723178,0.0016093121817278074,0.00114614623023633,0.001480238619308458,0.0016030159581818504,0.0015337760093480676,0.001230311555273665,0.0016662453676691202,0.0012038518265947173,0.0015684475217363142,0.0012510954770973122,0.001363099084803115,0.0016312342218125313,0.001379204508715284,0.0013090580434411056,0.0018331822324132397,0.0015776919044112228,0.0013857164568166099,0.0014825144105412387,0.0012872796550949446,0.0014439189700588084,0.0015022410490122293,0.0016706691724832786,0.0014273837991661974,0.0013040599291916347,0.0013017510787711514,0.0014944426164542294,0.0012928637310968413,0.0013367059197644004,0.0012303845191212874,0.0012375203290623514,0.001456370712552682,0.0015357549044806354,0.0014561939819287804,0.001319150495901544,0.0016299629508898655,0.0015790106830048153,0.0012805423871070554,0.0013841450858824477,0.0013413372659146566,0.0013672026433847913,0.0017056733467411898,0.0013520752759018334,0.0013761698467775298,0.0015862246574834026,0.0016182635487312076,0.0012617927932531115,0.0012899008511200606,0.0012179269282395458,0.001635847064402928,0.0014874035086938071,0.0015238238165511979,0.0015177863634335074,0.0013204488327524882,0.001491046664700973,0.0014016270283314792,0.0013153084495856793,0.001429258925709433,0.0012960190607313898,0.0014907990554726457,0.0012698030950105028,0.0011619280726890377,0.0015795179156450141,0.001237565376260148,0.0014722517767488319,0.0012522910287803273,0.00164143029958636,0.0013615713989582252
HR@10,0.002583979328165375,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.00516795865633075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
NDCGk,0.23097107734558092,0.22329439422180972,0.23772181628030523,0.24026754115860635,0.24996898234148415,0.23378220700949867,0.23655386231180275,0.2372292503680283,0.22020708774737038,0.23524928133639156,0.2289490864487988,0.22162795730776239,0.2177240999816248,0.2266647538497661,0.2233418790015492,0.22755992969700506,0.22863623689969792,0.23578659572476782,0.2257785551056406,0.22445738290664263,0.22611277926835352,0.22959284121827672,0.23486997199996518,0.2430122923629786,0.21984519263574037,0.2305972311295642,0.2353172384079639,0.23328154655192018,0.23425941969745184,0.22300876726308047,0.23446670825836302,0.2398764199596599,0.24769165595630427,0.24373850691828056,0.23581348543644837,0.23883436696988972,0.228518065590755,0.23249879049550135,0.21614233888194992,0.23054683350285343,0.231406567006586,0.2166117078197694,0.2376455242552693,0.23933797821571723,0.23519336685226166,0.21933973652545508,0.2373807693920819,0.2352693078204087,0.24171675948178004,0.23116573544091476,0.2221604421696475,0.22255288112732133,0.24698357695502138,0.2299111248527119,0.22538207268017604,0.23322288450381723,0.22926649400924964,0.23160202736481372,0.22688774738369624,0.23035300412493825,0.22394990724063396,0.21761035640061965,0.22866467057443438,0.23590173307785955,0.23385274049938198,0.24707133208399715,0.23186878475487754,0.25044815405641413,0.2397383917543785,0.2410468993484287,0.23119658053150793,0.23559395514115572,0.22962804378221816,0.24448356919822045,0.23644993281972396,0.2318072591263751,0.25549064463007465,0.22962521986777668,0.21994682790624862,0.21664107721278178,0.23894296279583557,0.2174485716196305,0.23859617806590835,0.23813633439700144,0.22901933458407792,0.21806512041309406,0.23128807989704522,0.2288104019299852,0.2157998490063942,0.21904431292061596,0.2250646261407235,0.22157255313599591,0.22712055954863813,0.23377417989642688,0.23030445168782457,0.22459679652432896,0.2381947943569186,0.24983148742829564,0.2276194645223727,0.2265801114150952
global AUC,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649,0.9008352139594649
global NDCG,0.49547020695750943,0.4849002928574563,0.4866391935432943,0.4918215803448021,0.47753319389729126,0.48698114650295443,0.49240265065099953,0.4925479869960999,0.48621270646940445,0.4920280366077058,0.490246141657843,0.5026479803667419,0.4877135956273449,0.49171656053228097,0.48942580637020433,0.486473500712932,0.485635851419854,0.48730221448295663,0.49004917461933234,0.48272489171715305,0.48779654285821,0.48808370754361485,0.4943452679646647,0.49044740251564933,0.4946893710789852,0.48996820283583037,0.491634776992261,0.49232884721575454,0.4910630111791217,0.4856299262534272,0.48150615051524204,0.49229419007748615,0.48956225194773817,0.48422465459072483,0.49230953490185453,0.48364059636855533,0.48623680002149267,0.4831485485376208,0.48417545154917435,0.48939226485068377,0.4907107122943266,0.4851760529201741,0.49052938156061704,0.48961608262598566,0.48300995585550194,0.4817638037413938,0.4909349242623278,0.49140408274735065,0.48170109568882147,0.4877450641054969,0.4946128065991397,0.49254334163715396,0.4886526471781688,0.48762560718213854,0.49186098719536453,0.48835223314085463,0.5104230005345638,0.4836419774177072,0.491113615505304,0.493590815935137,0.4933604655781685,0.4914262306327396,0.4877053613001894,0.4920801619531976,0.48735714766671756,0.486097720642721,0.4899471345423183,0.48618211986855026,0.4887487428249652,0.4896247439968564,0.48925584706762615,0.4875563859897779,0.49925118103797095,0.49037638221206137,0.49211843721184345,0.49154564695841374,0.4899132987687145,0.4872308832758255,0.48708072968975663,0.48375996230416063,0.5026970261111482,0.48976480648004517,0.4856995441329035,0.4867120900162279,0.4900148713290743,0.4904116374276805,0.4837677812789575,0.49357641048533035,0.4897374428603904,0.4843764065512661,0.48801945132054664,0.49927967765639836,0.48324935655981255,0.49878349344282663,0.5005638513042411,0.4852120500460318,0.48800467354185906,0.4995951138361188,0.4892764021209284,0.4895365860764198
