,1_ALSWR,2_ALSWR,3_ALSWR,4_ALSWR,5_ALSWR,6_ALSWR,7_ALSWR,8_ALSWR,9_ALSWR,10_ALSWR,11_ALSWR,12_ALSWR,13_ALSWR,14_ALSWR,15_ALSWR,16_ALSWR,17_ALSWR,18_ALSWR,19_ALSWR,20_ALSWR,21_ALSWR,22_ALSWR,23_ALSWR,24_ALSWR,25_ALSWR,26_ALSWR,27_ALSWR,28_ALSWR,29_ALSWR,30_ALSWR,31_ALSWR,32_ALSWR,33_ALSWR,34_ALSWR,35_ALSWR,36_ALSWR,37_ALSWR,38_ALSWR,39_ALSWR,40_ALSWR,41_ALSWR,42_ALSWR,43_ALSWR,44_ALSWR,45_ALSWR,46_ALSWR,47_ALSWR,48_ALSWR,49_ALSWR,50_ALSWR,51_ALSWR,52_ALSWR,53_ALSWR,54_ALSWR,55_ALSWR,56_ALSWR,57_ALSWR,58_ALSWR,59_ALSWR,60_ALSWR,61_ALSWR,62_ALSWR,63_ALSWR,64_ALSWR,65_ALSWR,66_ALSWR,67_ALSWR,68_ALSWR,69_ALSWR,70_ALSWR,71_ALSWR,72_ALSWR,73_ALSWR,74_ALSWR,75_ALSWR,76_ALSWR,77_ALSWR,78_ALSWR,79_ALSWR,80_ALSWR,81_ALSWR,82_ALSWR,83_ALSWR,84_ALSWR,85_ALSWR,86_ALSWR,87_ALSWR,88_ALSWR,89_ALSWR,90_ALSWR,91_ALSWR,92_ALSWR,93_ALSWR,94_ALSWR,95_ALSWR,96_ALSWR,97_ALSWR,98_ALSWR,99_ALSWR,100_ALSWR
ACC,0.24458204334365324,0.23529411764705882,0.21981424148606812,0.24148606811145512,0.26006191950464397,0.24148606811145512,0.26006191950464397,0.24458204334365324,0.25696594427244585,0.2476780185758514,0.24458204334365324,0.2631578947368421,0.2631578947368421,0.26006191950464397,0.26006191950464397,0.25696594427244585,0.2260061919504644,0.2476780185758514,0.25696594427244585,0.2631578947368421,0.23529411764705882,0.24148606811145512,0.23839009287925697,0.22910216718266255,0.2260061919504644,0.2724458204334365,0.23839009287925697,0.26006191950464397,0.2755417956656347,0.24148606811145512,0.25386996904024767,0.25077399380804954,0.25386996904024767,0.25077399380804954,0.24148606811145512,0.2631578947368421,0.2631578947368421,0.22910216718266255,0.22291021671826625,0.26625386996904027,0.24458204334365324,0.25077399380804954,0.26006191950464397,0.2693498452012384,0.25696594427244585,0.2631578947368421,0.2755417956656347,0.26006191950464397,0.25077399380804954,0.2724458204334365,0.25386996904024767,0.22910216718266255,0.26625386996904027,0.25696594427244585,0.23219814241486067,0.23839009287925697,0.25386996904024767,0.25386996904024767,0.25077399380804954,0.23219814241486067,0.23839009287925697,0.24458204334365324,0.22910216718266255,0.23529411764705882,0.26625386996904027,0.25077399380804954,0.25696594427244585,0.25696594427244585,0.2476780185758514,0.2631578947368421,0.23839009287925697,0.23529411764705882,0.25386996904024767,0.25696594427244585,0.25077399380804954,0.2476780185758514,0.23839009287925697,0.25077399380804954,0.24458204334365324,0.24148606811145512,0.2631578947368421,0.23219814241486067,0.23839009287925697,0.24148606811145512,0.22910216718266255,0.2631578947368421,0.26625386996904027,0.25386996904024767,0.25386996904024767,0.2631578947368421,0.25386996904024767,0.25386996904024767,0.25386996904024767,0.24458204334365324,0.25077399380804954,0.24458204334365324,0.24458204334365324,0.25696594427244585,0.24148606811145512,0.26006191950464397
AUC,0.505690366198405,0.5055639725181221,0.506204582726177,0.5118459629095404,0.5085760844494999,0.5163010173248745,0.5308948368139591,0.5110100587990447,0.5179029695448746,0.5155963223789952,0.506254127359974,0.5096913098549712,0.5257188963954561,0.518748701941298,0.5133520641336222,0.5181090376871907,0.49936400957642035,0.5132445127496574,0.5095221794737231,0.5224803811343313,0.5001543057426803,0.509963540050603,0.5118692973589991,0.5047140390424509,0.5044167164752553,0.5191070905002007,0.5103784740460042,0.5119735038476899,0.5209699501934362,0.5088961390408631,0.5174295736065117,0.5224596057263468,0.5191998257307308,0.5125076968730244,0.5185645655538904,0.5182104368234927,0.5214940619234687,0.5033681536780488,0.5050766953700752,0.5172448135540868,0.5097870867650576,0.5111516395761642,0.5083312962359581,0.5277688654209545,0.5161886660566877,0.5282260868899589,0.5229500292224476,0.5166775825052973,0.5086781734449795,0.5317291060551026,0.5217881775140222,0.5098922052679099,0.5263668980126198,0.5084523143464755,0.5165852447906972,0.5070446426739871,0.5099942650291444,0.512690128380339,0.5032464532218772,0.49960385183864237,0.5196836388280115,0.4975558521444669,0.5008538545903864,0.5094459417578303,0.5265493659879082,0.5171343722220072,0.5077088634128281,0.5289279597499906,0.5163219540319169,0.524505370233012,0.5101147815797833,0.5101644482484488,0.522717117051474,0.5203506444385897,0.5169899449278561,0.514922314806095,0.5133812153336161,0.5101754530442844,0.5057495415702332,0.5089205956535394,0.5111171489938462,0.5010920348020844,0.5103672677514703,0.49983518793748,0.5055304637497401,0.5117555646943381,0.524119358014492,0.5112670317904964,0.51806140730014,0.5296430623385076,0.5189767323616691,0.5176455576759896,0.5113027933592658,0.5142320325181416,0.5053473672926454,0.5227822935664148,0.5188471409673521,0.5141791569345198,0.5231690823818378,0.5324121990340526
Fscore,0.003155059592654327,0.0030103300741845785,0.002684433961180787,0.0030474235325612226,0.0033593662202126237,0.003067710233957301,0.0031663484464604648,0.003146436452733815,0.0032192998527716243,0.0030174558135278055,0.003244734413745251,0.003307250901285923,0.003119444520180797,0.003245594794698701,0.0033181644402069037,0.0032758293534252817,0.0028878874639912577,0.0033382125942351395,0.0034852466323843133,0.003302788117231352,0.0030687324490726994,0.0031933194136915047,0.0031845393797993553,0.002969824303874121,0.0028459032451163316,0.0034652993996098194,0.002861118988572954,0.0032972435415697726,0.0034585146662888195,0.0032181974916723134,0.0032347375132049973,0.0030735655353849806,0.0031229024472175944,0.0031383459440899814,0.002855196446000702,0.0032818527238640794,0.003348401113374644,0.0028903243166476978,0.0028858500498250917,0.003491159790695499,0.0030436077188544415,0.003178169519516895,0.0033203698977242128,0.0032762106083934497,0.0032589735702482307,0.0032514577953960716,0.0034731096872675617,0.00321098922881163,0.0033796209722634055,0.003258376963523137,0.003182814610291161,0.002896185892198912,0.003370017362042859,0.003317787581463552,0.00275176012809592,0.0030877867702610415,0.003171362298341108,0.0033134032677076294,0.0033202965668416365,0.0029802159853617666,0.0028558420181507855,0.0033439278126500185,0.002925432931924391,0.0030216862557392627,0.0031582492778461425,0.0031350279619205617,0.0032395407269832006,0.003255037275327424,0.003110153042174049,0.0031609628186469274,0.0030605843420367356,0.0028941691705731292,0.0031376296446537716,0.0032964633380722255,0.0031743203618095177,0.003191572778256911,0.003102454908561226,0.0032286978067090025,0.0031195974860052187,0.003171438991456344,0.0034398279856186916,0.0028842039928407286,0.0029813671503209275,0.003199474798638413,0.0027819737702013047,0.0034870210565950597,0.0032752585231122814,0.0032895360425936075,0.0030099125044678187,0.003246423067859201,0.0030238556074491433,0.0032189857579332697,0.0032190823404261515,0.0030236920440280582,0.003333332017102483,0.002917072976149525,0.002964011644750147,0.003373338050091699,0.0029652351950607233,0.003106724441246504
HR@10,0.0030959752321981426,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0,0.006191950464396285,0.0,0.0030959752321981426,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0,0.0030959752321981426,0.0,0.0030959752321981426,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0030959752321981426,0.0030959752321981426,0.0,0.0030959752321981426,0.0030959752321981426,0.0,0.0,0.0,0.0030959752321981426,0.0030959752321981426,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0030959752321981426,0.0,0.0030959752321981426,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0030959752321981426,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.29473930635009293,0.27429278012521774,0.2795293623550442,0.28088428409675387,0.2944815168365808,0.275507420004574,0.29737357568061495,0.2706095833731208,0.2990944658140741,0.2795494240998204,0.28749450616212124,0.29323644014233147,0.29133551352737685,0.3038045325954177,0.289742066735836,0.29065731546167717,0.2824531203378137,0.28275407433595506,0.28777668110149607,0.28080474002554634,0.27664849539947456,0.286241954680173,0.2781709493800942,0.27376339276134304,0.2703617473303392,0.2951160105043846,0.2809636068253515,0.2923696019943054,0.2997017899633751,0.2783599403304946,0.2951373898555846,0.28292341085272604,0.288282922450424,0.2783120991603708,0.2723037806774547,0.30135223633297126,0.2981003114077524,0.2801944906059863,0.2791017749562445,0.3067907444092397,0.2887529331622045,0.2814970017740173,0.29764093317539175,0.2870391594289658,0.307034424253279,0.29004385244700903,0.30164522401521043,0.2972648820616023,0.2981401451419189,0.2951330051367504,0.3020791062590411,0.2793167532729318,0.2958510306057222,0.2885892214906389,0.25929513995672954,0.2924989420623424,0.2968061511462666,0.28526359171445276,0.2851255745409376,0.2837009391126416,0.2761027906156916,0.288012371807139,0.28939574609071467,0.2795722439923888,0.28912240862720734,0.27816246568278663,0.2962446865467381,0.291161011338405,0.2875565307953505,0.2889761199769887,0.2824385450799807,0.27941660925908735,0.294070444777847,0.27653694251307526,0.2867963091952705,0.2956365065463548,0.2820094390730372,0.28876536624060134,0.26941131742816365,0.3003932296049369,0.29592425798758676,0.2769083858475153,0.27969788172996535,0.2804461403961452,0.2732145300199667,0.3009372713448881,0.2957438973189265,0.29659342489055496,0.28200276233685345,0.2930344844468459,0.2846197480958625,0.29167703425371583,0.2981752832787523,0.286293906890638,0.2878569578630843,0.27699012167446013,0.28300647717432154,0.2957778370434997,0.27009049660996787,0.2999984863694741
NDCGk,0.2444242247572105,0.23545061771348932,0.24573088072072802,0.24838923763611664,0.23818281714966533,0.24660422220352585,0.24465149980211512,0.2420200874051669,0.23899633857334682,0.24942891484329555,0.23454443643382528,0.24279492809699502,0.2513580857665745,0.24102251803095182,0.24208355784068683,0.24489215310122664,0.2572700088055526,0.23553202813729804,0.2374435156527843,0.24711075801038107,0.23337049694859627,0.24060265583300425,0.23391510542845978,0.2307615759725483,0.2419481688757708,0.25524928390447504,0.24657193311683118,0.24295407487903292,0.25557061563310407,0.24475293662488792,0.24340112735339475,0.2479745167865593,0.24558789712580942,0.2401677420085258,0.24272102193948858,0.2402873624889418,0.24160269461163306,0.23635244302180425,0.23871233863006178,0.24076447111555913,0.24800603564994397,0.23923301432376595,0.23471025837365983,0.2459100322755909,0.23983453088349652,0.2415095335641235,0.24815328909693793,0.2439791998207219,0.23633304956896914,0.24865176757457913,0.24716129027601727,0.24951881430912365,0.24999766701337348,0.24571117302246448,0.24215751641975547,0.2410775950597105,0.25043341260849133,0.25006838344029186,0.23666406607631874,0.23616658660996276,0.23904498302696764,0.23188229008492975,0.22934856722685373,0.23348396297422486,0.2532838276390372,0.24310328933401817,0.23949441522088896,0.2444570956177707,0.2406730090234262,0.24053176009758148,0.24187334625615145,0.23650028123455547,0.2411143833441261,0.24395282789425338,0.25025571245014083,0.23612636882974752,0.2541948513211262,0.23847749759235629,0.23607504790847866,0.23633134838974518,0.2398909083142781,0.23817972662953268,0.23650650533614734,0.2444801221785528,0.2474242113879933,0.2386834058535089,0.2420077130840895,0.23784442063690547,0.24501022822994073,0.2555854452258145,0.2517808233438857,0.24335565531432754,0.23941466737697265,0.24815131436858084,0.2314318439301032,0.24850242851974422,0.23696933460968989,0.2384993519054546,0.2497760992944206,0.2503962776088236
global AUC,0.29254080270651117,0.28451468667516233,0.2718416586270497,0.2885216207801117,0.30506811843954135,0.2891558507375211,0.30565794377825545,0.29084274168201657,0.30343325984974656,0.29467217427637343,0.2920615837171681,0.30776441868514276,0.3074909898308327,0.30586512912896535,0.30603746750609534,0.3027178066180277,0.27849262669452285,0.2947086420394223,0.3020580617583615,0.3084887194222611,0.28410685761371196,0.28983852893271284,0.2864923338830316,0.2795098391779169,0.27683120887935975,0.316551294862074,0.28761878256387435,0.30581475098207306,0.3177526674602185,0.2892784041432859,0.2998692941902985,0.29730242317382727,0.30057315961277364,0.2966625622262014,0.288744019829908,0.30961597849783823,0.30866403203161213,0.27925642790900546,0.27460160410035,0.3127917734340843,0.29385579765917225,0.2975409465724631,0.3050517768714947,0.3130880103051465,0.30322373521526713,0.30775616435527053,0.3172584436364113,0.30531919877926816,0.2986760088303284,0.3152460330008108,0.3009335429866284,0.28001225884950215,0.3107426276887185,0.3021179056499351,0.2805477793864253,0.2882050572040099,0.3000699295464539,0.2998685255684886,0.29815021303021827,0.2821589694372241,0.2868563682104837,0.293379878730861,0.2808499396581752,0.28549581570641236,0.3105560196805949,0.29688593876243,0.30305845646237,0.30311537624923185,0.2952609218736366,0.3083243095461926,0.28756785301437937,0.2847147037920358,0.29993425108782545,0.30297707445094757,0.2973699365743308,0.2952662270350424,0.2862771197762415,0.29707246322470465,0.29102219816547353,0.2907115412808896,0.30697770084430426,0.28166389344575793,0.28749882743401056,0.2899064767716306,0.27920821359959996,0.30900225904633616,0.31215681662778944,0.3015433441378167,0.29943269193848393,0.30843225913756817,0.3010799737960115,0.3015121314086642,0.3001333241366063,0.2928274819324583,0.2978193464047832,0.2917416365341854,0.29211558775390295,0.3028545544635223,0.28849105970858074,0.30602100897386014
global NDCG,0.4265937369167082,0.4256117331259497,0.4213043451524362,0.4252623003734986,0.4339557970933649,0.42437949117210866,0.4443713303151272,0.42971265927313107,0.4325439613513893,0.440957648910202,0.4283799181975396,0.43314281884784095,0.42778626152754523,0.43346793640619413,0.4314644571156502,0.43612324914645756,0.4267780813977112,0.4272572769486946,0.4287221829919423,0.42793453174781176,0.42623470168772754,0.4259729709466433,0.4270060596425437,0.42476999170327245,0.4231058838163307,0.43467307053721455,0.43018785313721397,0.4306301119253269,0.43333597900309817,0.430315641823104,0.43199801114643976,0.4360268181188285,0.42592009372723494,0.4308375743385609,0.4399040924175019,0.4301520378281235,0.43912216360888795,0.4276728275685804,0.43103423919964146,0.4305445636573215,0.42761493251429716,0.4315896275173819,0.427845460219044,0.43689983075760547,0.43288497656623925,0.4275610479953696,0.4359630913613308,0.42799143241594223,0.4423197755558039,0.43420708366074373,0.42752495969450943,0.4421811659537286,0.4246939439802958,0.4273775975517536,0.4372157734426916,0.4296759598917826,0.4466711374683474,0.42928867947908544,0.4306332189826534,0.42537684919785107,0.42568796089588573,0.4286929642768544,0.42631752522216354,0.42487092998266185,0.42920530795383693,0.43006849874719627,0.4376416152656699,0.4278444300554944,0.4297389053771652,0.42867780257563515,0.4246126894152196,0.4267350565174342,0.4246060155610743,0.4429989767157252,0.42556413325739256,0.4281101820602489,0.43186591140738717,0.4316169023096145,0.42093786868132294,0.4288520796853043,0.43337891824843444,0.42971696184157876,0.42521841133349175,0.4268783848011333,0.42614207776661994,0.43431745196053495,0.4403632644153677,0.42864730498921316,0.4417177864085904,0.43139965936685015,0.4260336430978219,0.4281447343158431,0.42879873278436514,0.42625215610807693,0.4344396124494333,0.4245244194006427,0.42714488431706027,0.4296674760838678,0.4282688335533381,0.4328889192398918
