,1_BNNR,2_BNNR,3_BNNR,4_BNNR,5_BNNR,6_BNNR,7_BNNR,8_BNNR,9_BNNR,10_BNNR,11_BNNR,12_BNNR,13_BNNR,14_BNNR,15_BNNR,16_BNNR,17_BNNR,18_BNNR,19_BNNR,20_BNNR,21_BNNR,22_BNNR,23_BNNR,24_BNNR,25_BNNR,26_BNNR,27_BNNR,28_BNNR,29_BNNR,30_BNNR,31_BNNR,32_BNNR,33_BNNR,34_BNNR,35_BNNR,36_BNNR,37_BNNR,38_BNNR,39_BNNR,40_BNNR,41_BNNR,42_BNNR,43_BNNR,44_BNNR,45_BNNR,46_BNNR,47_BNNR,48_BNNR,49_BNNR,50_BNNR,51_BNNR,52_BNNR,53_BNNR,54_BNNR,55_BNNR,56_BNNR,57_BNNR,58_BNNR,59_BNNR,60_BNNR,61_BNNR,62_BNNR,63_BNNR,64_BNNR,65_BNNR,66_BNNR,67_BNNR,68_BNNR,69_BNNR,70_BNNR,71_BNNR,72_BNNR,73_BNNR,74_BNNR,75_BNNR,76_BNNR,77_BNNR,78_BNNR,79_BNNR,80_BNNR,81_BNNR,82_BNNR,83_BNNR,84_BNNR,85_BNNR,86_BNNR,87_BNNR,88_BNNR,89_BNNR,90_BNNR,91_BNNR,92_BNNR,93_BNNR,94_BNNR,95_BNNR,96_BNNR,97_BNNR,98_BNNR,99_BNNR,100_BNNR
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028
HR@10,0.0123839009287925,0.0123839009287925,0.0123839009287925,0.0092879256965944,0.01238390092879257,0.01238390092879257,0.01238390092879257,0.01238390092879257,0.006191950464396285,0.009287925696594427,0.009287925696594427,0.015479876160990712,0.009287925696594427,0.015479876160990712,0.009287925696594427,0.01238390092879257,0.015479876160990712,0.009287925696594427,0.009287925696594427,0.006191950464396285,0.006191950464396285,0.01238390092879257,0.01238390092879257,0.015479876160990712,0.01238390092879257,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.015479876160990712,0.01238390092879257,0.01238390092879257,0.006191950464396285,0.009287925696594427,0.009287925696594427,0.006191950464396285,0.015479876160990712,0.009287925696594427,0.01238390092879257,0.009287925696594427,0.015479876160990712,0.009287925696594427,0.009287925696594427,0.006191950464396285,0.01238390092879257,0.01238390092879257,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.006191950464396285,0.006191950464396285,0.01238390092879257,0.009287925696594427,0.01238390092879257,0.009287925696594427,0.006191950464396285,0.01238390092879257,0.01238390092879257,0.01238390092879257,0.009287925696594427,0.015479876160990712,0.006191950464396285,0.009287925696594427,0.01238390092879257,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.015479876160990712,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.01238390092879257,0.01238390092879257,0.01238390092879257,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.01238390092879257,0.009287925696594427,0.006191950464396285,0.009287925696594427,0.006191950464396285,0.006191950464396285,0.009287925696594427,0.006191950464396285,0.01238390092879257,0.01238390092879257,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.006191950464396285,0.009287925696594427,0.006191950464396285,0.009287925696594427,0.009287925696594427,0.006191950464396285,0.009287925696594427,0.006191950464396285,0.01238390092879257
HR@2,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.0,0.0030959752321981426,0.006191950464396285,0.006191950464396285,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.0030959752321981426,0.006191950464396285,0.0,0.006191950464396285,0.006191950464396285,0.0030959752321981426,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.0030959752321981426,0.006191950464396285,0.006191950464396285,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.0030959752321981426,0.0,0.0030959752321981426,0.006191950464396285,0.0,0.006191950464396285,0.0,0.006191950464396285,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.006191950464396285,0.006191950464396285,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.0,0.0030959752321981426,0.0,0.0030959752321981426
HR@5,0.0092879256965944,0.0061919504643962,0.0092879256965944,0.0092879256965944,0.009287925696594427,0.009287925696594427,0.006191950464396285,0.009287925696594427,0.0030959752321981426,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.006191950464396285,0.006191950464396285,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.006191950464396285,0.006191950464396285,0.006191950464396285,0.006191950464396285,0.006191950464396285,0.006191950464396285,0.009287925696594427,0.009287925696594427,0.006191950464396285,0.009287925696594427,0.009287925696594427,0.006191950464396285,0.0,0.009287925696594427,0.009287925696594427,0.0030959752321981426,0.006191950464396285,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.006191950464396285,0.006191950464396285,0.009287925696594427,0.0,0.009287925696594427,0.006191950464396285,0.006191950464396285,0.009287925696594427,0.009287925696594427,0.0030959752321981426,0.006191950464396285,0.006191950464396285,0.009287925696594427,0.009287925696594427,0.006191950464396285,0.0030959752321981426,0.009287925696594427,0.009287925696594427,0.006191950464396285,0.009287925696594427,0.006191950464396285,0.0030959752321981426,0.009287925696594427,0.009287925696594427,0.006191950464396285,0.009287925696594427,0.006191950464396285,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.006191950464396285,0.01238390092879257,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.006191950464396285,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.0030959752321981426,0.009287925696594427,0.006191950464396285,0.0030959752321981426,0.009287925696594427,0.0030959752321981426,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.006191950464396285,0.006191950464396285,0.009287925696594427,0.006191950464396285,0.009287925696594427,0.006191950464396285,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.006191950464396285
Lin's AUC,0.6716137152420454,0.64915160139309,0.6401108938307045,0.6554163260010447,0.6715557465187117,0.6557609520092624,0.6514837303544708,0.6644291676967664,0.651056246055529,0.6539717202495804,0.6459277351641174,0.6551633120930159,0.6641249859117011,0.6491354751973174,0.652799170888622,0.6627744797420663,0.6570616181400505,0.6791828001662891,0.6550823930475476,0.6655264903960234,0.6490778582026007,0.6524902873502322,0.6498999732201339,0.6525461120730239,0.6404414455075863,0.6501790278969907,0.6271390843061366,0.6593594621548923,0.643622092839171,0.6600430613156386,0.6517255681380112,0.662987055213935,0.6574301549179302,0.6599852072028825,0.6571681794508716,0.6469592873656064,0.6372258404028873,0.6440498386539554,0.6508128451781499,0.646980311598578,0.6670175683351863,0.654731396510873,0.6204606343127058,0.6284976316771139,0.6396648693529754,0.6403834898916608,0.6553725662664622,0.632633724127949,0.6388995768638925,0.6553181721103244,0.6634876718624109,0.6377622090202346,0.6632722636847049,0.6346541965785781,0.650582544612525,0.6307470167711925,0.6537459974845375,0.6138567612258936,0.6372918532303435,0.6285036596709301,0.6555511600178859,0.6676503546584746,0.6574164014246832,0.6689159078251581,0.6444640105309746,0.6429707395649701,0.6420901560188684,0.6535303311624282,0.6450452504539669,0.6414982641123967,0.6285304781696622,0.6376904429278069,0.6255492243636277,0.6468462193758282,0.6303452988877742,0.6506744714598635,0.6526944520393809,0.6831091469131777,0.6609233161750905,0.6528994891130322,0.6421556079347867,0.6523267045593808,0.6299888840883464,0.6502826080187889,0.6724370892053243,0.6623106195818177,0.6490036994657751,0.6438827527604969,0.6410713864725438,0.6822224628270642,0.6650035396587297,0.6608043246764836,0.6623903171636674,0.6510405876256468,0.6564871583073663,0.6347906054744015,0.6444025848440584,0.6596672270888495,0.66699476897122,0.6328905404433666
NDCGk,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795
global AUC,0.9327563690426002,0.9294888073459124,0.9280278745043768,0.9297894721469668,0.9348185980679055,0.9303657045760634,0.9315352044328491,0.9341323023374557,0.9317664175697054,0.9322869249175795,0.9308547652664082,0.9335610826592937,0.9329628609627643,0.932428652095669,0.931175614744559,0.9330816130324039,0.9320841925606165,0.9327392254344041,0.9318626122601394,0.9329743234532347,0.9309805602511108,0.9310804643772363,0.933035336986693,0.9292754145386286,0.9317937036439591,0.9299303388028127,0.9296333249553557,0.9323147373306814,0.9309991659116628,0.932383395309315,0.9329750168837806,0.9325975901567484,0.932092497017998,0.9328320281633726,0.9294880387241026,0.9310771643162045,0.9295885276711704,0.9319987669301069,0.9336853821733009,0.9281393915035007,0.934215614257988,0.9316653772200346,0.9282859810499969,0.9305739593136394,0.9303315677421993,0.9307441004349429,0.9324687039756361,0.9283666027941941,0.9285769044050686,0.9303923389926958,0.9363498430958831,0.9310858363753214,0.9317434758795949,0.9292189375447659,0.9311287121049814,0.9293928298746856,0.9313700760624801,0.9268796370661384,0.9304513724895349,0.9293732216639465,0.9338790163873177,0.9325378214564387,0.9309352867555868,0.9326747447482161,0.9297212987342571,0.9295560199813598,0.9309945040532936,0.9323309201616151,0.9308775064464813,0.9286540840602908,0.9299340064655799,0.928228835689343,0.9296745130588678,0.930265482975712,0.9262952338530186,0.931305912850518,0.9315687480911862,0.9344639626484557,0.9326394883999763,0.9329321829270448,0.9312992709555297,0.9326303484841056,0.929684371469039,0.932464961121605,0.9342903877927619,0.9315487806332969,0.9294099567737119,0.9289059079580729,0.9321215709734185,0.9348789348799875,0.9337468802726829,0.931636086045407,0.93139113797099,0.9320677006100417,0.9298794343170722,0.9287262676737484,0.9288338747271434,0.9336140340183324,0.9314634970307303,0.9282712017893249
global NDCG,0.6020881147031971,0.5946194017322761,0.6070357800737305,0.6053568555149162,0.6048087985727092,0.599996102806961,0.5969332801341634,0.6020974246340051,0.5856935501601301,0.5952664555071825,0.6020038436214707,0.6022102590784618,0.607248159545214,0.5968057969303165,0.5957801394448461,0.6065439799192154,0.6067219203743993,0.5904959442994278,0.6004189333152248,0.5944311176956837,0.5930183995117801,0.5910659051974217,0.6061700723396068,0.6043303391151916,0.5969443307150029,0.600758048703205,0.5962520178083967,0.600652156806604,0.5949876214986471,0.6030399910935842,0.6036941077339907,0.5806050961517827,0.6092455637987205,0.6094976577046669,0.5796731146696696,0.6017787068840064,0.5994460631804227,0.5946183020964819,0.6104081487526105,0.5906172756865576,0.5983769650275031,0.602168779199447,0.5717842184062951,0.6008539703651334,0.5918252991913453,0.5977961417742114,0.6009375401040108,0.598448269743906,0.5836147624787963,0.5998329723550994,0.5981861867275705,0.5935637823720674,0.6010927897700545,0.5899957425470121,0.5863837917473601,0.6098640569206255,0.6035872143990794,0.5869804531637479,0.5899760496911112,0.5920960193127027,0.5812773140049656,0.598783911145415,0.5986046356427962,0.5946071443303697,0.6004874008153522,0.5888050686299683,0.6050928682383525,0.6076135783577407,0.6013098508272102,0.6027121528360567,0.585446785681563,0.5992349763709534,0.5949180698805294,0.5975268432309787,0.5879353722518208,0.5925187117737415,0.6038456601108912,0.6036131111448848,0.601875131933515,0.5749748355971644,0.6008238211951694,0.6007229742069964,0.5780109966842836,0.6101690109685981,0.5746143125814405,0.6043296730032575,0.5967971603352528,0.5927652727832278,0.6036619943128629,0.6030918201012752,0.5992793819549419,0.594865717319963,0.6005247965685109,0.5871236004246497,0.6073007817356721,0.5955059535895829,0.5771556466394318,0.5988210698938299,0.5778110208135654,0.5904648540391387
