,1_DRRS,2_DRRS,3_DRRS,4_DRRS,5_DRRS,6_DRRS,7_DRRS,8_DRRS,9_DRRS,10_DRRS,11_DRRS,12_DRRS,13_DRRS,14_DRRS,15_DRRS,16_DRRS,17_DRRS,18_DRRS,19_DRRS,20_DRRS,21_DRRS,22_DRRS,23_DRRS,24_DRRS,25_DRRS,26_DRRS,27_DRRS,28_DRRS,29_DRRS,30_DRRS,31_DRRS,32_DRRS,33_DRRS,34_DRRS,35_DRRS,36_DRRS,37_DRRS,38_DRRS,39_DRRS,40_DRRS,41_DRRS,42_DRRS,43_DRRS,44_DRRS,45_DRRS,46_DRRS,47_DRRS,48_DRRS,49_DRRS,50_DRRS,51_DRRS,52_DRRS,53_DRRS,54_DRRS,55_DRRS,56_DRRS,57_DRRS,58_DRRS,59_DRRS,60_DRRS,61_DRRS,62_DRRS,63_DRRS,64_DRRS,65_DRRS,66_DRRS,67_DRRS,68_DRRS,69_DRRS,70_DRRS,71_DRRS,72_DRRS,73_DRRS,74_DRRS,75_DRRS,76_DRRS,77_DRRS,78_DRRS,79_DRRS,80_DRRS,81_DRRS,82_DRRS,83_DRRS,84_DRRS,85_DRRS,86_DRRS,87_DRRS,88_DRRS,89_DRRS,90_DRRS,91_DRRS,92_DRRS,93_DRRS,94_DRRS,95_DRRS,96_DRRS,97_DRRS,98_DRRS,99_DRRS,100_DRRS
ACC,0.5046439628482973,0.5170278637770898,0.5232198142414861,0.5541795665634675,0.4891640866873065,0.5170278637770898,0.5139318885448917,0.5758513931888545,0.5170278637770898,0.5479876160990712,0.5294117647058824,0.5882352941176471,0.5634674922600619,0.5479876160990712,0.5510835913312694,0.5201238390092879,0.5170278637770898,0.5479876160990712,0.5696594427244582,0.5510835913312694,0.5170278637770898,0.5201238390092879,0.5139318885448917,0.544891640866873,0.5325077399380805,0.5139318885448917,0.5820433436532507,0.5232198142414861,0.5789473684210527,0.5696594427244582,0.5325077399380805,0.5015479876160991,0.5139318885448917,0.5510835913312694,0.5077399380804953,0.5077399380804953,0.5015479876160991,0.56656346749226,0.5572755417956656,0.5386996904024768,0.5232198142414861,0.5634674922600619,0.5046439628482973,0.5325077399380805,0.5325077399380805,0.5046439628482973,0.5541795665634675,0.5386996904024768,0.5634674922600619,0.5201238390092879,0.5263157894736842,0.5294117647058824,0.5077399380804953,0.5572755417956656,0.5077399380804953,0.5294117647058824,0.4767801857585139,0.5510835913312694,0.5139318885448917,0.5541795665634675,0.5139318885448917,0.541795665634675,0.5108359133126935,0.5232198142414861,0.5634674922600619,0.5294117647058824,0.5077399380804953,0.5294117647058824,0.5108359133126935,0.5170278637770898,0.5232198142414861,0.5696594427244582,0.5232198142414861,0.5479876160990712,0.5263157894736842,0.541795665634675,0.4984520123839009,0.5479876160990712,0.5603715170278638,0.5263157894736842,0.5015479876160991,0.5572755417956656,0.5077399380804953,0.5015479876160991,0.5479876160990712,0.5232198142414861,0.4984520123839009,0.5325077399380805,0.5325077399380805,0.5572755417956656,0.5479876160990712,0.5015479876160991,0.5325077399380805,0.4953560371517028,0.5046439628482973,0.5356037151702786,0.4984520123839009,0.5046439628482973,0.5263157894736842,0.5789473684210527
AUC,0.5764413119628615,0.5508120113335723,0.5699999270827708,0.568175924857352,0.5482245446914737,0.56234231768865,0.5511261615624672,0.5952724836042351,0.5751448670372379,0.5794884769196933,0.5795222253955835,0.5884171494349019,0.5712322802716888,0.5846473260939702,0.5582275751682753,0.5833681261987351,0.5678059389235018,0.5623705361298922,0.6021173753441327,0.5466314068117787,0.5675209426462292,0.5756436135553035,0.5811171072504706,0.5756847109370115,0.5959644421248002,0.5506396762114224,0.5749456305145682,0.5419675031804813,0.6031623304189482,0.5788293727179489,0.5868189772993373,0.5586132505694174,0.5677776718817599,0.5678324184384959,0.5650897802495064,0.5866553833471695,0.5851821887972418,0.591779372980045,0.5883560501851481,0.5837317488584317,0.5741041056356233,0.5918352504367717,0.5785543727944138,0.5838432624458493,0.5613131529658842,0.5511792517860348,0.5906125523499384,0.572279784276579,0.5675057381024038,0.5600764088572812,0.5593253273177392,0.5666892320104951,0.5618073819482094,0.5948298813786185,0.5697727942433348,0.5772601338953431,0.574111301270565,0.5796947245925647,0.5640085411773977,0.577264449420306,0.5710032164248386,0.5829747002669676,0.5681071290032965,0.5798405156390839,0.5968330258863745,0.5733576530135658,0.5653624124161469,0.567070626766835,0.5556895809174017,0.5818695342951009,0.585929365885111,0.5959516097229739,0.5608961046011852,0.5818933112894151,0.5609091549936756,0.5685461429130199,0.5752844843360343,0.5704204076578415,0.5927064360750288,0.5769060580257556,0.5604458091841082,0.5724454470193118,0.5688998777799072,0.5804749133733489,0.5786420654251252,0.5773970438844833,0.5736748841115227,0.5703784090934456,0.5682955753501017,0.5875665439766395,0.5777025674588813,0.569100061023178,0.5773097997109714,0.5517991305454296,0.5489413709142654,0.5611753915950944,0.5576670008996917,0.5633003747417109,0.5653123323711817,0.5909843892361252
Fscore,0.0027057977854132,0.0029809666467683,0.0028656787780057,0.0034438556078669,0.0026474543690205,0.0030499281812041,0.0030273412612002,0.0037760730545771,0.0025112422610062,0.0033300171570476,0.0030588122246998,0.003780866852338,0.0036577009640408,0.0033949791784591,0.0033387134727298,0.0028131875452148,0.0030473248175268,0.0031474301946035,0.0032738123366032,0.0032155976801895,0.0030909049613937,0.0028667019754764,0.0025968103017293,0.0031665651865584,0.0029241658409137,0.0029385313935359,0.0037123858242092,0.0030269074625076,0.0038099467320603,0.003520715095699,0.0030665772903175,0.0027043422953824,0.0027891498267764,0.0033242964098825,0.0028686828016654,0.002778025898274,0.0025900491729322,0.0033959664200301,0.0031322270601276,0.002865721134035,0.0029690315385423,0.0035264275067072,0.0026209819358528,0.0032735915936408,0.0030262886221768,0.0029270090692759,0.0034950674803177,0.0035549619135536,0.0038049248326241,0.0029058696139515,0.0031539756616014,0.0031474238010014,0.0027790016629675,0.0033058019864042,0.0029104629106841,0.0031074239510535,0.002202184354167,0.0031630421431688,0.0028333335253847,0.0031235105913918,0.0028477901834898,0.0035066268223738,0.002914611034271,0.0028290073053732,0.0035566113086725,0.0030972736610766,0.0026703760891772,0.0030751481327748,0.0029085579354841,0.002628563236754,0.0028816751172168,0.0035543186979393,0.003155140371271,0.0034440090558488,0.0030795494958472,0.0031161917144071,0.0027248394136546,0.003161103617362,0.003243582539124,0.003080634681913,0.0027160571022084,0.0033940071056423,0.0027368914937864,0.0024965956704377,0.0033903032539542,0.0033448476643742,0.0027136168541349,0.0030807840149911,0.0034185334371525803,0.0034101164593704153,0.0034317652544199008,0.0031743561518920442,0.0031963497284179325,0.0029103188894636337,0.002678637875570786,0.002988028639377306,0.002795702971496193,0.0027475985024101,0.0032901935844889736,0.0037312182593859594
HR@10,0.0123839009287925,0.0092879256965944,0.0123839009287925,0.0123839009287925,0.0123839009287925,0.0061919504643962,0.0092879256965944,0.0154798761609907,0.0123839009287925,0.0061919504643962,0.0154798761609907,0.0123839009287925,0.0154798761609907,0.0123839009287925,0.0092879256965944,0.0154798761609907,0.0092879256965944,0.0123839009287925,0.0154798761609907,0.0154798761609907,0.0061919504643962,0.0123839009287925,0.0123839009287925,0.0092879256965944,0.0123839009287925,0.0123839009287925,0.0123839009287925,0.0061919504643962,0.0092879256965944,0.0154798761609907,0.0123839009287925,0.0092879256965944,0.0061919504643962,0.0123839009287925,0.0123839009287925,0.0092879256965944,0.0123839009287925,0.0092879256965944,0.0123839009287925,0.0061919504643962,0.0092879256965944,0.0154798761609907,0.0061919504643962,0.0092879256965944,0.0092879256965944,0.0092879256965944,0.0123839009287925,0.0154798761609907,0.0123839009287925,0.0092879256965944,0.0061919504643962,0.0092879256965944,0.0123839009287925,0.0123839009287925,0.0092879256965944,0.0061919504643962,0.0092879256965944,0.0154798761609907,0.0061919504643962,0.0123839009287925,0.0061919504643962,0.0154798761609907,0.0092879256965944,0.0123839009287925,0.0123839009287925,0.0092879256965944,0.0123839009287925,0.0061919504643962,0.0092879256965944,0.0123839009287925,0.0123839009287925,0.0123839009287925,0.0154798761609907,0.0123839009287925,0.0123839009287925,0.0092879256965944,0.0123839009287925,0.0154798761609907,0.0123839009287925,0.0123839009287925,0.0123839009287925,0.0123839009287925,0.0061919504643962,0.0092879256965944,0.0123839009287925,0.0154798761609907,0.0154798761609907,0.0061919504643962,0.01238390092879257,0.01238390092879257,0.01238390092879257,0.01238390092879257,0.01238390092879257,0.006191950464396285,0.01238390092879257,0.006191950464396285,0.006191950464396285,0.009287925696594427,0.01238390092879257,0.01238390092879257
HR@2,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0061919504643962,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0061919504643962,0.0061919504643962,0.0061919504643962,0.0030959752321981,0.0061919504643962,0.0,0.0,0.0061919504643962,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0061919504643962,0.0061919504643962,0.0061919504643962,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0061919504643962,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0061919504643962,0.0061919504643962,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0030959752321981426,0.006191950464396285,0.006191950464396285,0.006191950464396285,0.0030959752321981426,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426
HR@5,0.0092879256965944,0.0061919504643962,0.0123839009287925,0.0123839009287925,0.0092879256965944,0.0030959752321981,0.0092879256965944,0.0092879256965944,0.0123839009287925,0.0061919504643962,0.0092879256965944,0.0061919504643962,0.0061919504643962,0.0123839009287925,0.0061919504643962,0.0092879256965944,0.0092879256965944,0.0061919504643962,0.0092879256965944,0.0061919504643962,0.0061919504643962,0.0092879256965944,0.0092879256965944,0.0061919504643962,0.0092879256965944,0.0061919504643962,0.0061919504643962,0.0061919504643962,0.0030959752321981,0.0092879256965944,0.0061919504643962,0.0061919504643962,0.0061919504643962,0.0061919504643962,0.0092879256965944,0.0061919504643962,0.0092879256965944,0.0092879256965944,0.0092879256965944,0.0061919504643962,0.0030959752321981,0.0123839009287925,0.0061919504643962,0.0092879256965944,0.0061919504643962,0.0092879256965944,0.0061919504643962,0.0092879256965944,0.0092879256965944,0.0061919504643962,0.0061919504643962,0.0061919504643962,0.0092879256965944,0.0061919504643962,0.0061919504643962,0.0061919504643962,0.0092879256965944,0.0061919504643962,0.0061919504643962,0.0123839009287925,0.0061919504643962,0.0092879256965944,0.0061919504643962,0.0123839009287925,0.0061919504643962,0.0061919504643962,0.0092879256965944,0.0061919504643962,0.0092879256965944,0.0061919504643962,0.0092879256965944,0.0123839009287925,0.0092879256965944,0.0092879256965944,0.0123839009287925,0.0030959752321981,0.0092879256965944,0.0092879256965944,0.0061919504643962,0.0092879256965944,0.0092879256965944,0.0092879256965944,0.0061919504643962,0.0061919504643962,0.0123839009287925,0.0092879256965944,0.0123839009287925,0.0061919504643962,0.006191950464396285,0.009287925696594427,0.009287925696594427,0.009287925696594427,0.01238390092879257,0.006191950464396285,0.009287925696594427,0.006191950464396285,0.006191950464396285,0.006191950464396285,0.006191950464396285,0.009287925696594427
Lin's AUC,0.4765343238093132,0.4715945956278454,0.510097891053012,0.5118176477464546,0.4687281526812109,0.5105688554638353,0.4825126555554709,0.525830949483258,0.4907600976099842,0.497062834547259,0.5135231806058943,0.5469765277502616,0.5423968553717987,0.532575225152981,0.4924238113251134,0.4789110312316246,0.4776798690185403,0.5295803701596326,0.5137972546978945,0.5385501247988282,0.4867336824278065,0.5083476669985828,0.4924670303828418,0.4967942834510857,0.5074700091277508,0.4855499412981945,0.5413530823416395,0.4730236180698784,0.5264744376363958,0.5386453284132694,0.4959438944823293,0.4685961616273215,0.484447449522964,0.5223089185965697,0.4965642183853368,0.4909377527985403,0.4687266998577574,0.5238536712267958,0.5019033481346618,0.4897114419012393,0.5192169421238604,0.5173199208579424,0.4829713567498268,0.4824685025538716,0.4780090459042195,0.4788647766098463,0.5187338369003025,0.5225999270824816,0.5338208279798268,0.4818825916807859,0.4824784061427503,0.4959937172242091,0.4873998542423992,0.5223633080381982,0.4744081316995168,0.4844946017303453,0.4669540612681132,0.49740166076052,0.476460130960523,0.4986108215572982,0.4834495395146628,0.5184059530040126,0.4596474466372169,0.4930132296050639,0.5199012683087423,0.4920574304714247,0.4737906054413853,0.4965710089321228,0.4793633182884698,0.4866725053344832,0.4989739205858987,0.5287303096591572,0.4939932833685833,0.50634853744275,0.5330200049069307,0.4738609609652803,0.4761199144669301,0.5248281383791457,0.525753035605023,0.5149761460011996,0.4895201807961512,0.5141747039342616,0.4908092012460716,0.4739223075390133,0.49945538758078,0.4957713702308634,0.4823365086611524,0.4870505338357525,0.5161653121400328,0.5007401704587534,0.5195435220635751,0.49793874796204557,0.4986769866545507,0.47260063590156165,0.49003090928080606,0.49295836470431387,0.4721352703983739,0.5012011126894844,0.5205627247820866,0.5251867130974618
NDCGk,0.2639605122749685,0.2403752720425136,0.277749429065392,0.2598291070790881,0.249707365833315,0.249006601399626,0.2447762616036176,0.2542041045530473,0.258459588040013,0.2698889637170931,0.2579690730967753,0.2601623355971455,0.2607890137656419,0.2692197241485393,0.2752132099762576,0.281349124326911,0.2803944073810982,0.2770378298768235,0.2780066261163539,0.2621926931002635,0.2552927550615708,0.2552764819853522,0.2578192879456356,0.2598659268679298,0.2515113898208622,0.2619873188160382,0.2605984870199903,0.2428410013879948,0.2665236108502787,0.2531452766917139,0.2623098038506722,0.2470150817415194,0.2694845100387444,0.2543348120167455,0.2626313154849647,0.2603013375467751,0.2737670343607455,0.2650676234446963,0.2568427668583593,0.2470688692575439,0.2717495394987018,0.2721745842174951,0.2627874156483761,0.2598541771204399,0.2707918173994567,0.2582931276995004,0.2656033087738937,0.2715311476150531,0.2631343439782751,0.2518343185877891,0.2645719936719478,0.2614165034499755,0.2642714613667477,0.2703069276156771,0.2547601719840991,0.2597271524482733,0.2643839311559757,0.2574161476154372,0.24655063556192,0.2623325216836682,0.261255429792692,0.2691572253866077,0.2589135965850495,0.2511147166497647,0.2761760252550297,0.250186696661382,0.2743883811322086,0.2494625300366785,0.2564237906836086,0.2718333650903066,0.2750695295412079,0.2607627210139754,0.2420913526045361,0.2653750339076649,0.2591038823837393,0.2627754875044499,0.2698064468092622,0.2491493108438217,0.262143831605214,0.2523587475498894,0.2510051933011855,0.2595006903035537,0.2524598622516268,0.272660011141953,0.2607839119489146,0.2642104828848486,0.2545681547231194,0.2567165684052424,0.2507622278182766,0.2722213227907022,0.253170383384414,0.24657816637892882,0.25284505564894516,0.25406312393560604,0.26342201111552843,0.24100631852448975,0.25646081083872674,0.2622374384357141,0.27513274602533266,0.2690156615056707
global AUC,0.5073417251462545,0.5186993989945557,0.5272485788767555,0.5531714020955103,0.4929875290442964,0.5217821322097018,0.5177710709398163,0.5726553300296631,0.5203986213063503,0.5472269478539227,0.5323999073108934,0.5846274752421066,0.5636830739685872,0.5491685784463273,0.5506651686561774,0.520421086785122,0.5185110950056994,0.5486914481032068,0.5671731934521844,0.5528185462026423,0.5198139089735894,0.5246337107700858,0.5170291921560874,0.5439793619697091,0.5326430340858042,0.5157497459621373,0.5791583801716427,0.5247307576281788,0.5746823862525773,0.568619722989368,0.5328695519459514,0.5048051060816733,0.5179902952473541,0.5517380728024542,0.5120234757820133,0.5119374653305613,0.5029505887459264,0.5651529211522016,0.555697260454752,0.5374722682086424,0.525859704329904,0.5616364930807829,0.508100705765255,0.530476506422721,0.5320388639248324,0.509335070619134,0.5543907119874157,0.5404370764580531,0.5625547622153138,0.5219745800726641,0.5263220554123522,0.5301457985343987,0.5110125626556271,0.5568456065025941,0.5100071969736083,0.5298794543680762,0.4832538695346018,0.5489759885554218,0.5159940507335176,0.5503308933601068,0.5168899295805406,0.5432371991300939,0.5113994049998315,0.5240279365288152,0.5610236090877698,0.5296123081616041,0.5088048970165409,0.5308516941210023,0.5136956375933461,0.5180341985909559,0.5263206184237511,0.5687436298378853,0.5251346516801454,0.5463548294463293,0.5333392717722738,0.5389155561668884,0.502038485295045,0.5494440207555962,0.5613236472949574,0.5287005890216276,0.5063349224756345,0.5575726391889717,0.5122324740776445,0.5047833925155418,0.5469454150522685,0.5250511726679155,0.5025614823092165,0.532182579494126,0.5349932874252236,0.5550459787895803,0.548115533148336,0.5074946725318525,0.5319636392424746,0.5000936548966273,0.508909061980961,0.5372427677616887,0.5035452179709528,0.5102303897089695,0.5303413793666951,0.575518337662178
global NDCG,0.5280273845788349,0.5156041832382745,0.5370764723231073,0.5444340363569029,0.5317724816800982,0.5033784070640326,0.5089063729060747,0.5482403329493525,0.5343303698625902,0.5158758873710696,0.5428438840017952,0.552787987701185,0.5535723915218775,0.5521739033409853,0.5167756502232351,0.5246131499783556,0.5280076957718147,0.5504185851248469,0.5570726647418489,0.5416875431974969,0.5074395053746628,0.5456552798280829,0.5337187287880066,0.528364813617585,0.5383033225453334,0.5260416835243845,0.5438114076736678,0.484135689513119,0.5256779473498343,0.5634185332171004,0.5207024081763533,0.5147884690097535,0.5012494421011082,0.5502141830751215,0.5260133601072636,0.521371787477341,0.5245767184466905,0.5382705457899966,0.5511949803073004,0.5296563282812458,0.5280035495885258,0.5493475450176869,0.532279327149921,0.533186116461002,0.5040485088154918,0.5098021987837322,0.5346480356043602,0.5333601597394128,0.5305520559425825,0.5067755685310095,0.5135873484737147,0.5297167849842538,0.5286397242211505,0.5332658624592643,0.5078285757336949,0.5046809479544428,0.5253386570606592,0.5330429763181269,0.5079947772605347,0.5257470752050725,0.5148290463415105,0.5419398841108973,0.4995301712542084,0.5339496139848983,0.5347371849099415,0.5204840887896742,0.5138487255624365,0.5231096301968263,0.5222537318207336,0.51999447837102,0.5426112867869044,0.550585166873616,0.5464594122389281,0.5297277517913738,0.5382663787516496,0.4971218405333291,0.5254394264941457,0.5403808727418463,0.5434214415501744,0.5373803911581587,0.5147386742528993,0.5402205030540864,0.5123492803197801,0.5275912784576329,0.5426770974905563,0.5377270917236185,0.5255609426693867,0.5157386655943927,0.532337694502171,0.5477186783502147,0.5554565555086778,0.5392813787963979,0.5382828623176557,0.5154947750714515,0.5307797347486406,0.5085213846407791,0.5080809761478043,0.529805039080739,0.5339719844313843,0.5396258639352248
