,1_FastaiCollabWrapper,2_FastaiCollabWrapper,3_FastaiCollabWrapper,4_FastaiCollabWrapper,5_FastaiCollabWrapper,6_FastaiCollabWrapper,7_FastaiCollabWrapper,8_FastaiCollabWrapper,9_FastaiCollabWrapper,10_FastaiCollabWrapper,11_FastaiCollabWrapper,12_FastaiCollabWrapper,13_FastaiCollabWrapper,14_FastaiCollabWrapper,15_FastaiCollabWrapper,16_FastaiCollabWrapper,17_FastaiCollabWrapper,18_FastaiCollabWrapper,19_FastaiCollabWrapper,20_FastaiCollabWrapper,21_FastaiCollabWrapper,22_FastaiCollabWrapper,23_FastaiCollabWrapper,24_FastaiCollabWrapper,25_FastaiCollabWrapper,26_FastaiCollabWrapper,27_FastaiCollabWrapper,28_FastaiCollabWrapper,29_FastaiCollabWrapper,30_FastaiCollabWrapper,31_FastaiCollabWrapper,32_FastaiCollabWrapper,33_FastaiCollabWrapper,34_FastaiCollabWrapper,35_FastaiCollabWrapper,36_FastaiCollabWrapper,37_FastaiCollabWrapper,38_FastaiCollabWrapper,39_FastaiCollabWrapper,40_FastaiCollabWrapper,41_FastaiCollabWrapper,42_FastaiCollabWrapper,43_FastaiCollabWrapper,44_FastaiCollabWrapper,45_FastaiCollabWrapper,46_FastaiCollabWrapper,47_FastaiCollabWrapper,48_FastaiCollabWrapper,49_FastaiCollabWrapper,50_FastaiCollabWrapper,51_FastaiCollabWrapper,52_FastaiCollabWrapper,53_FastaiCollabWrapper,54_FastaiCollabWrapper,55_FastaiCollabWrapper,56_FastaiCollabWrapper,57_FastaiCollabWrapper,58_FastaiCollabWrapper,59_FastaiCollabWrapper,60_FastaiCollabWrapper,61_FastaiCollabWrapper,62_FastaiCollabWrapper,63_FastaiCollabWrapper,64_FastaiCollabWrapper,65_FastaiCollabWrapper,66_FastaiCollabWrapper,67_FastaiCollabWrapper,68_FastaiCollabWrapper,69_FastaiCollabWrapper,70_FastaiCollabWrapper,71_FastaiCollabWrapper,72_FastaiCollabWrapper,73_FastaiCollabWrapper,74_FastaiCollabWrapper,75_FastaiCollabWrapper,76_FastaiCollabWrapper,77_FastaiCollabWrapper,78_FastaiCollabWrapper,79_FastaiCollabWrapper,80_FastaiCollabWrapper,81_FastaiCollabWrapper,82_FastaiCollabWrapper,83_FastaiCollabWrapper,84_FastaiCollabWrapper,85_FastaiCollabWrapper,86_FastaiCollabWrapper,87_FastaiCollabWrapper,88_FastaiCollabWrapper,89_FastaiCollabWrapper,90_FastaiCollabWrapper,91_FastaiCollabWrapper,92_FastaiCollabWrapper,93_FastaiCollabWrapper,94_FastaiCollabWrapper,95_FastaiCollabWrapper,96_FastaiCollabWrapper,97_FastaiCollabWrapper,98_FastaiCollabWrapper,99_FastaiCollabWrapper,100_FastaiCollabWrapper
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006191950464396285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.680000794040609,0.39847102270352563,0.4117293814064932,0.5534000002891561,0.6299227910173479,0.3175859461321057,0.530949743431797,0.5159582837681479,0.6380385018980633,0.5245084400150803,0.48286150769739516,0.58455450280523,0.578285183072511,0.611090986738432,0.6147776828953526,0.42747281964227163,0.6195998730160279,0.5168221768009541,0.3311759154510711,0.45148743203552455,0.43870442921250474,0.5771375436881188,0.5444020947056762,0.357278458201468,0.639952558464007,0.3783328778953943,0.588272361369124,0.5322640922121031,0.4993886651141246,0.5425597717971116,0.6442892355447677,0.4269809280025983,0.6372456952573413,0.4109921001125637,0.6080126462358721,0.38631397596636696,0.5167177176921827,0.41231557301890887,0.4064453042316876,0.5657174083854773,0.33792920798266246,0.7155759275853908,0.6214048292058182,0.6951925503369603,0.4473758788577688,0.4279529443539255,0.5402261111240624,0.39158009000205324,0.6107731608453144,0.48424057612874455,0.4048636177478499,0.43832799533582195,0.5556582037814313,0.4977984472433486,0.5443320060997808,0.5948243473893451,0.316533333793847,0.6449971005922072,0.6401942400681425,0.6040898393215562,0.4023080562301048,0.5902346429957075,0.4289816333778363,0.643301121174096,0.3902582251148679,0.42073572637184536,0.45361585249400826,0.5346691027058551,0.4108552746603386,0.3714483258720812,0.5610993324789971,0.5590884525241269,0.419891706677816,0.43104480360122477,0.3222209896059795,0.6637734115935863,0.6547408889412837,0.34769379536198336,0.3733435621936119,0.5743291223679657,0.6022463350313155,0.40912726912243425,0.5829630920355124,0.49761521353621335,0.6311244863153896,0.3715220311068518,0.42493068646154525,0.38682187252514855,0.5809576646734436,0.44495053633716625,0.5268491565241755,0.5587431274974969,0.540717513360486,0.6561968952678782,0.4367645873396794,0.5088531131960585,0.5550396771114495,0.373740578654687,0.5647570708703636,0.3336364353736207
NDCGk,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795
global AUC,0.9308640973377313,0.8843363446933298,0.886515053341184,0.9107420963371194,0.9177435392407668,0.8724461161857416,0.905403767229368,0.9051494202469488,0.918565730649052,0.9075775466721365,0.9017019342100501,0.9183577181944378,0.9139490371658388,0.9197635274848632,0.9194815769539645,0.8881338042913092,0.9178707127319763,0.9062791940525782,0.8743517468718512,0.8912707504078123,0.8906141802904047,0.9102817085821203,0.9104670466933406,0.8775705177927761,0.9248721556356237,0.8844083110875801,0.9160252183479116,0.9049276060180949,0.8965331697572448,0.9110782681239602,0.9227644275410026,0.8909947149230164,0.9239563093307112,0.8869399508195663,0.9151971118935235,0.8830429212788571,0.8987739863891782,0.8868029189181855,0.8913013114793433,0.9123431021489362,0.8781945551566185,0.9384057811187652,0.9188565537491049,0.9322245579413688,0.8940567371222179,0.8897466401953316,0.9152947101542193,0.8869468517066863,0.9200809682923786,0.9014544881147508,0.8905313696449659,0.8945989496816386,0.9072039129266448,0.9000723390087365,0.9062851090986811,0.91722400102474,0.8732791518452153,0.9255316832760827,0.921624795325202,0.9169795124524921,0.8897348101031259,0.9156358111461458,0.8897919888821195,0.9292690065720173,0.8839755268810607,0.8931270890430655,0.897691532952371,0.9021524635548779,0.8836797745759221,0.8832676930307624,0.9091874250531077,0.9105981635486187,0.8882284450289535,0.8914107398322446,0.8740096600389077,0.9286548276183462,0.9257446249357825,0.8765639741142878,0.882429728166203,0.9144823771561054,0.9190990706393186,0.8874299138050793,0.9180629517303164,0.9073084120744604,0.9207947171887798,0.8858929876593759,0.8967806158525441,0.8863040833635184,0.9144064673977864,0.8934218555071869,0.9028494531539878,0.9082311592664928,0.9073537607612483,0.9244561307263953,0.8972902956583997,0.8996267388689944,0.9094772623121434,0.8854000671508115,0.9093372728877112,0.8782744082790059
global NDCG,0.49284097851404535,0.45086163024397674,0.4560934062944357,0.47231200032099285,0.48703552929787264,0.44744877897763935,0.46908619264345686,0.46256247200171907,0.5145572542131615,0.4718232047912996,0.4594733507060973,0.4854100823922374,0.46694760525838164,0.4737384882430491,0.47640935556430775,0.45770513313097255,0.4780701603984732,0.46932400925659623,0.45211056014045636,0.4556201597053375,0.45572578281449067,0.4715141849227323,0.47042841930882223,0.4533398325059841,0.4801445379190056,0.45448568725022576,0.47383114388863057,0.5022970620538542,0.46680516958244134,0.48711436325684293,0.4837347244844286,0.4544494507215321,0.4717930920946584,0.45999499760108925,0.47695243300165285,0.4549285770132035,0.48463813643794296,0.45497058510803806,0.4576611788450692,0.4818520798084407,0.4532349641799233,0.5111278887732725,0.4940406174732234,0.5067279484969585,0.45668460509763237,0.45665464502467573,0.48899925828401397,0.4551091263708289,0.47014011059852534,0.47518318358021433,0.4557842020976955,0.45939539261837603,0.4636417792796531,0.4606726606188879,0.47196182599199915,0.4775699133082284,0.4489105692253856,0.4808633414460606,0.48166103608968563,0.4913185468206162,0.45615879920934405,0.4750396051713423,0.45437316248859727,0.5073834315003757,0.452357086733907,0.4543471220100822,0.46497637225144656,0.4592562811252311,0.4457927625809371,0.4575933623444361,0.4673740489364151,0.4718084793947247,0.4544020203475689,0.47776756852339347,0.44675305785526076,0.4864022487980289,0.48177074788820806,0.44748925379026677,0.4517545346158346,0.47001269030700155,0.47651542379351564,0.4570482651032218,0.4890084641232343,0.47667112457385596,0.4797289886066008,0.4544906960830582,0.4625425871463877,0.46039632872134,0.4696755498887099,0.4602875157150306,0.46156437270219525,0.4648297400481554,0.46915237975306473,0.4996652362229848,0.5029015692240782,0.4782025895873426,0.47229235557558785,0.4609859718609448,0.4658004275057405,0.46640644577626594
