,1_HAN,2_HAN,3_HAN,4_HAN,5_HAN,6_HAN,7_HAN,8_HAN,9_HAN,10_HAN,11_HAN,12_HAN,13_HAN,14_HAN,15_HAN,16_HAN,17_HAN,18_HAN,19_HAN,20_HAN,21_HAN,22_HAN,23_HAN,24_HAN,25_HAN,26_HAN,27_HAN,28_HAN,29_HAN,30_HAN,31_HAN,32_HAN,33_HAN,34_HAN,35_HAN,36_HAN,37_HAN,38_HAN,39_HAN,40_HAN,41_HAN,42_HAN,43_HAN,44_HAN,45_HAN,46_HAN,47_HAN,48_HAN,49_HAN,50_HAN,51_HAN,52_HAN,53_HAN,54_HAN,55_HAN,56_HAN,57_HAN,58_HAN,59_HAN,60_HAN,61_HAN,62_HAN,63_HAN,64_HAN,65_HAN,66_HAN,67_HAN,68_HAN,69_HAN,70_HAN,71_HAN,72_HAN,73_HAN,74_HAN,75_HAN,76_HAN,77_HAN,78_HAN,79_HAN,80_HAN,81_HAN,82_HAN,83_HAN,84_HAN,85_HAN,86_HAN,87_HAN,88_HAN,89_HAN,90_HAN,91_HAN,92_HAN,93_HAN,94_HAN,95_HAN,96_HAN,97_HAN,98_HAN,99_HAN,100_HAN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028
HR@10,0.0,0.0,0.009287925696594427,0.0030959752321981426,0.0,0.0,0.0,0.015479876160990712,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.006191950464396285,0.009287925696594427,0.0,0.0,0.006191950464396285,0.0030959752321981426,0.0,0.006191950464396285,0.0,0.006191950464396285,0.006191950464396285,0.01238390092879257,0.0,0.0,0.006191950464396285,0.0,0.0,0.0,0.006191950464396285,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.009287925696594427,0.0,0.01238390092879257,0.009287925696594427,0.006191950464396285,0.0,0.006191950464396285,0.006191950464396285,0.006191950464396285,0.0,0.009287925696594427,0.0,0.0,0.0,0.006191950464396285,0.006191950464396285,0.0,0.009287925696594427,0.0030959752321981426,0.006191950464396285,0.009287925696594427,0.006191950464396285,0.0,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.0030959752321981426,0.01238390092879257,0.0,0.0030959752321981426,0.006191950464396285,0.0,0.009287925696594427,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0,0.0,0.006191950464396285,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.006191950464396285,0.0,0.0,0.006191950464396285,0.0030959752321981426,0.0,0.006191950464396285,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.006191950464396285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.006191950464396285,0.0,0.0,0.0,0.0,0.006191950464396285,0.0030959752321981426,0.0030959752321981426,0.0,0.006191950464396285,0.0030959752321981426,0.0,0.0,0.006191950464396285,0.0,0.0,0.0,0.0,0.0,0.006191950464396285,0.006191950464396285,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0030959752321981426,0.006191950464396285,0.006191950464396285,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.006191950464396285,0.009287925696594427,0.0030959752321981426,0.0,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.006191950464396285,0.0,0.0,0.0030959752321981426,0.0,0.006191950464396285,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.006191950464396285,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.6926339314310512,0.7535665836416935,0.736838388114538,0.7645813635247265,0.7051997778415813,0.7361400849161469,0.7292673091573527,0.7293749977060878,0.7145673752754522,0.7283183434780786,0.7059041061524369,0.7368375517231709,0.7286086191303337,0.732492602601323,0.7243532100951723,0.7129392581718822,0.7515864537547344,0.7238444160679796,0.7098818361703755,0.6978129006558679,0.7606527143028092,0.7360731109344091,0.7122593467406104,0.706131943131926,0.7324388584620812,0.7119485854750075,0.7379803206141544,0.7803588269405727,0.6736697360569877,0.747195818512083,0.7717369047570175,0.7286385824147901,0.7148118744731027,0.7248883555657505,0.7138361976385478,0.7372136557219945,0.7356581539338933,0.7486826642533974,0.7475365164827088,0.7166193502475433,0.7535851593764288,0.7679566601270543,0.7072151205219901,0.7436510256726105,0.7525792526102292,0.7439272474869727,0.7475275837709616,0.7371448737635921,0.720452200759382,0.7172840311240111,0.6973789288938821,0.7118969535111758,0.7234346474483128,0.7229453723917538,0.7116572675475862,0.7035458893853045,0.7498586445589536,0.7054004843191678,0.7469808378048493,0.7550395846758143,0.7578874563195724,0.6949744069023077,0.7209486184757115,0.6890102842270656,0.681370399553347,0.7286015148211148,0.759739365583,0.730034380072313,0.7181032291443449,0.7580045708906901,0.7540138709816308,0.7303851756016463,0.7393557855660481,0.7441592100011019,0.6844352478098659,0.7548502375797274,0.7407506865600294,0.72135243493387,0.7433877393197396,0.723997251607489,0.7221822991767911,0.7451210006229668,0.708731332117365,0.7257517490466989,0.6899114669279753,0.7182778143842139,0.7354534116009094,0.7133286643396535,0.7394975997992506,0.7048656781910734,0.7483293544640992,0.7366763814624708,0.734484374628895,0.7398967090284516,0.759256206372054,0.7224715032143261,0.7312577623063274,0.6687630062871036,0.7291957296278638,0.7156183661766014
NDCGk,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795
global AUC,0.9288884719394056,0.9392388167782388,0.9375757029823428,0.9422702779059093,0.9316103789876977,0.9363473450750006,0.9364833911353644,0.9363690335773773,0.9318647259701169,0.9366963327950641,0.930608764514295,0.9376407684894734,0.9367860443276228,0.9368550531988219,0.9344111533173601,0.9325617155692267,0.9387665989310342,0.9350381482042538,0.9309666248035127,0.9288983303495769,0.9410507925677212,0.9367456248459205,0.93086113981468,0.9307733999641555,0.9370492638791962,0.9339152752857444,0.9365287398221522,0.9471906104223982,0.9245980918328619,0.9392368450962045,0.9471935679454495,0.9358199201308368,0.933974425746772,0.9355636014663834,0.9351594066493606,0.9369260337520551,0.9391264309022861,0.9401053710322949,0.9396607567335699,0.9332971529680048,0.9396656859386555,0.9428696692443235,0.9330014006628662,0.9396913178051008,0.9390012290931108,0.9381869244129626,0.9383771917292685,0.9374219117836707,0.9353930509704201,0.933260676850371,0.929619965974115,0.9332399741890112,0.9367988602608456,0.9333977087517518,0.9308483238814572,0.9313570178462955,0.9385832325018483,0.9313787063486725,0.9400107302946505,0.9409640385582139,0.9411099430287488,0.9311559062788014,0.9329639387042152,0.9283048540572654,0.9245369696898,0.9379976429376738,0.9441384466333679,0.9347670419245434,0.932969853750318,0.9412696492735237,0.9428617825161864,0.9357035908908157,0.939815533773259,0.9386167510964307,0.9296554562507316,0.9426626426307264,0.9386049210042251,0.9354571306365335,0.9378615968773101,0.9362103131736197,0.9339882275210118,0.938496478492341,0.932472004036668,0.9364232548333196,0.9294178685656037,0.9349602667639006,0.9365001504326554,0.9341045567610331,0.9379996146197082,0.9312968815442508,0.9422130991269159,0.937645697694559,0.9389351777449633,0.9388622255096957,0.9443218130625539,0.9370068727154597,0.9362803078858358,0.9248652547485037,0.9390160167083678,0.9322225862593345
global NDCG,0.5189643626385045,0.5867196422305649,0.5660101271377617,0.5459631201506904,0.5242295878793863,0.5300905805150992,0.5289817956545129,0.5403667933017096,0.548749254970781,0.5574205265398328,0.5501076991402342,0.5544917542590923,0.5623207426724094,0.5334927143879147,0.5571439150349222,0.5966973051236855,0.5703734293360266,0.5142470780970914,0.5475343519753766,0.5438074729439475,0.5777616234898333,0.5618318903472774,0.5516851638205827,0.5361611356137219,0.530557421168494,0.5434424438567381,0.5384382579080069,0.5784832883220746,0.5428631522378554,0.5613225043912153,0.5537697316150655,0.5249880701107302,0.5303754488456487,0.5665534530869103,0.5074882502634288,0.5325357459091223,0.5096921171452043,0.5537036204476854,0.5202364183106333,0.5841922533267084,0.5670305720927494,0.5545706118386238,0.5071033607373786,0.5597123586004157,0.5891274228775433,0.5414883342175584,0.5389839555959076,0.5617443313467643,0.5363374262823373,0.5072515298675361,0.5389137924005086,0.5410790265617132,0.5282551072457646,0.5080710670613494,0.5467765175554372,0.5532983318846102,0.5589238931284802,0.5487895161441136,0.5659955134673716,0.5947546692665777,0.5710946127020619,0.5465748656942347,0.5528008221865572,0.5360253455138608,0.5380803841329624,0.5352099742018315,0.5690374181361907,0.5567921660030095,0.5043484926037028,0.5874691898137323,0.5297142037562012,0.5158748699403539,0.5534314846246849,0.5408902897291681,0.5023972212568932,0.516800580780914,0.5650228315596026,0.5460741663231543,0.5265774967547069,0.533550520346597,0.5724957899474624,0.5612059038193388,0.5663339797656424,0.5171747134036073,0.49865674325777026,0.5546147839275284,0.5121172137301051,0.5863079461659682,0.5232141586319636,0.5645288694046785,0.5607053395645877,0.5629942366857745,0.577650069447549,0.5619005896153916,0.6063405302260492,0.5573333439107191,0.5125260107692868,0.5262194723878537,0.5306929574801534,0.5555002919785532
