,1_LRSSL,2_LRSSL,3_LRSSL,4_LRSSL,5_LRSSL,6_LRSSL,7_LRSSL,8_LRSSL,9_LRSSL,10_LRSSL,11_LRSSL,12_LRSSL,13_LRSSL,14_LRSSL,15_LRSSL,16_LRSSL,17_LRSSL,18_LRSSL,19_LRSSL,20_LRSSL,21_LRSSL,22_LRSSL,23_LRSSL,24_LRSSL,25_LRSSL,26_LRSSL,27_LRSSL,28_LRSSL,29_LRSSL,30_LRSSL,31_LRSSL,32_LRSSL,33_LRSSL,34_LRSSL,35_LRSSL,36_LRSSL,37_LRSSL,38_LRSSL,39_LRSSL,40_LRSSL,41_LRSSL,42_LRSSL,43_LRSSL,44_LRSSL,45_LRSSL,46_LRSSL,47_LRSSL,48_LRSSL,49_LRSSL,50_LRSSL,51_LRSSL,52_LRSSL,53_LRSSL,54_LRSSL,55_LRSSL,56_LRSSL,57_LRSSL,58_LRSSL,59_LRSSL,60_LRSSL,61_LRSSL,62_LRSSL,63_LRSSL,64_LRSSL,65_LRSSL,66_LRSSL,67_LRSSL,68_LRSSL,69_LRSSL,70_LRSSL,71_LRSSL,72_LRSSL,73_LRSSL,74_LRSSL,75_LRSSL,76_LRSSL,77_LRSSL,78_LRSSL,79_LRSSL,80_LRSSL,81_LRSSL,82_LRSSL,83_LRSSL,84_LRSSL,85_LRSSL,86_LRSSL,87_LRSSL,88_LRSSL,89_LRSSL,90_LRSSL,91_LRSSL,92_LRSSL,93_LRSSL,94_LRSSL,95_LRSSL,96_LRSSL,97_LRSSL,98_LRSSL,99_LRSSL,100_LRSSL
ACC,0.0,0.0,0.0,0.0,0.0061919504643962,0.0,0.1300309597523219,0.7708978328173375,0.1176470588235294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0650154798761609,0.4303405572755417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0743034055727554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0,0.0,0.0,0.0,6.347997206881229e-06,0.0,0.0005275282859262,0.0035002250199935,0.0005549258726882,0.004049670655826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004140838290075,0.0017570859850596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001278356601413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004049670655826028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004049670655826028,0.0,0.0,0.0,0.0,0.0
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061919504643962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.3685132810286829,0.4212706741945565,0.564330326495554,0.5552022414158796,0.4552083873400018,0.5093411410637676,0.5040742514559845,0.6243220304828543,0.5315741428089774,0.4465780200138229,0.4195472921997458,0.5459679875630318,0.5293179433456405,0.4665058208894536,0.4490741889681179,0.4987341659949266,0.5451266365435705,0.3895322204180853,0.5436851940086456,0.4909366779192651,0.5412847641281379,0.522743226701486,0.556536250889043,0.5023898364557655,0.5208869952401308,0.5067876460188422,0.5223361928661884,0.5712887126716315,0.5345545581009359,0.4282099706164352,0.5375089725962751,0.4204591861653293,0.4926113895891174,0.4407884489375063,0.530350709108551,0.5765397054627586,0.5422983748961279,0.4962420549612926,0.5081943310293172,0.407758080348903,0.4077363718561998,0.4588697869577648,0.4900258090635361,0.4695646557498582,0.4503347403710525,0.4333922562114606,0.4101407381208623,0.4399362578185206,0.452177285613194,0.5161309864679574,0.5433266920684077,0.5809272348051219,0.3952955041013583,0.48680174225507,0.4965436700990817,0.4576324585679058,0.4970459576796304,0.4167806299381767,0.4799203176909384,0.568176967743261,0.5364410720115461,0.5915745165006427,0.4697173668921933,0.4837019742571037,0.5661190269358226,0.5213560609337899,0.5391758755827298,0.5886211269603434,0.49894670681673464,0.437717133129671,0.5373232198341761,0.4046696130569363,0.4806686429355813,0.5166869380181456,0.5337994229029764,0.50304208188552,0.4988120391032049,0.5657441655880922,0.3744322758775719,0.5496145295856528,0.39835683688819334,0.5210886868650709,0.5674488490728041,0.5233102727616246,0.46629056856739054,0.5873523311393416,0.506353900400956,0.5413841978938284,0.5780581610043121,0.5425335351668314,0.5589318047148271,0.5800189154452022,0.527477019363319,0.44257409387484775,0.5203491271850614,0.4987556643746177,0.5147165589663302,0.48804984320079997,0.5882037690008889,0.4520190970978106
NDCGk,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795
global AUC,0.0827016598789006,0.0859603155880947,0.1063748607332471,0.1067358790555536,0.0958260109574056,0.0952746083546049,0.1950578603460289,0.7335901415764612,0.188960467073428,0.8991618730564939,0.0838921548075172,0.1010989069562914,0.1057532963265324,0.0942668950342319,0.091621716493578,0.0974648964571179,0.1081049615907985,0.0852913806850485,0.102030593554157,0.0968648367519125,0.100069003858448,0.1012646285021876,0.1090228798327639,0.0953074251640564,0.1042499221937509,0.0970919310784175,0.1048721883855964,0.1082468391514161,0.1101578000626861,0.0921551066113539,0.1073955403693709,0.082760375901514,0.0983795397018061,0.0842436321938782,0.1037318376754951,0.1131467530624315,0.1006859398251331,0.1020570775882612,0.0970988653838769,0.0873087622986591,0.1391236471546005,0.4341721453528004,0.0964104810072047,0.0931791949181132,0.0901797151414052,0.0887566452785951,0.0877265917982237,0.0918890130825781,0.0947696572437977,0.1033080931298276,0.1063495630501974,0.1163655072741867,0.1486219245895785,0.0963329003319076,0.0987851380890905,0.091016794419966,0.0992923282286485,0.0863690720084679,0.0915254549664648,0.1062416552317463,0.1024548895024273,0.1086603242668375,0.0902937552251662,0.1006349601481288,0.0994500627913891,0.09852753281856391,0.1085909812122429,0.1122725961361248,0.09328130465465004,0.093043566586994,0.903170051994592,0.08414449668956257,0.0922891308621741,0.10227969385726471,0.10034159725426901,0.1011464612534905,0.0938070252634961,0.11177780420054495,0.07765943396885325,0.10587884902827321,0.0833146858998568,0.10094951026927194,0.10288289488638919,0.09934624871953454,0.09462204843794493,0.11306786907189151,0.09593201393050169,0.10194280357612326,0.11264942133304487,0.10144019174908547,0.10987568244008952,0.11260988743734102,0.10513522413630216,0.08770199590030495,0.9026925206313968,0.10101400766462984,0.10353899714704293,0.10078088132783361,0.10993541772205961,0.0920127444848127
global NDCG,0.3643214483098309,0.3644170415516884,0.3651106538254915,0.3651018981654668,0.3707611004027695,0.3647347209230914,0.3927576139189819,0.4727992498744303,0.3984080675989737,0.5012565332265504,0.3643477306373403,0.3649547647293369,0.3650963191431642,0.3646804391490589,0.3646213574704898,0.3647983749642524,0.3651559338217994,0.3643963142503322,0.3649568564562943,0.364793308481918,0.3648954893072371,0.3649064318743851,0.3651934931997114,0.364746902230819,0.365023419014695,0.3647894621594367,0.3650570122169941,0.3651680483419128,0.3652338327386419,0.3646210837121902,0.3651421707700331,0.3643129604461375,0.3648285509816922,0.3643600075255664,0.364994290388355,0.3653363969279658,0.3649230390105244,0.3649563073692909,0.3647873938726591,0.3644678259137547,0.3795695700944765,0.4188016590091558,0.3647673227247783,0.3646638371375793,0.3645480390613641,0.3645078362609478,0.3644892829366624,0.3646066576967983,0.3647151206097038,0.3649886861792116,0.365092549800489,0.3654593461745846,0.3844759795783645,0.3647661764390182,0.3648390080603205,0.364577662440795,0.3648664915393498,0.3644433072271468,0.3646090412924808,0.3651057599720155,0.3649673756239483,0.3651852067905438,0.3645711107847897,0.3649107639308593,0.3648818562487981,0.3648523449259268,0.36517724725431844,0.36529709034543467,0.3646723808510415,0.36467145950910407,0.46563225253904345,0.3643634023728653,0.3646292929026044,0.3649779614669983,0.36489757617845514,0.36491284968643956,0.36468098557631595,0.36528008966390163,0.3641397626828414,0.3650870593966439,0.36431003270441853,0.36492252771916067,0.3649903704223562,0.3648832194960364,0.3647027729464032,0.36532727238405405,0.3647682115042822,0.3649511404084681,0.3653084379589331,0.3649565324252643,0.3652164803914756,0.3653075512133708,0.36506094764526476,0.36448387352053735,0.46341423238232227,0.36490177313237226,0.3650097741183942,0.36491029782748535,0.36522260000988865,0.3646181474654321
