,1_LogisticMF,2_LogisticMF,3_LogisticMF,4_LogisticMF,5_LogisticMF,6_LogisticMF,7_LogisticMF,8_LogisticMF,9_LogisticMF,10_LogisticMF,11_LogisticMF,12_LogisticMF,13_LogisticMF,14_LogisticMF,15_LogisticMF,16_LogisticMF,17_LogisticMF,18_LogisticMF,19_LogisticMF,20_LogisticMF,21_LogisticMF,22_LogisticMF,23_LogisticMF,24_LogisticMF,25_LogisticMF,26_LogisticMF,27_LogisticMF,28_LogisticMF,29_LogisticMF,30_LogisticMF,31_LogisticMF,32_LogisticMF,33_LogisticMF,34_LogisticMF,35_LogisticMF,36_LogisticMF,37_LogisticMF,38_LogisticMF,39_LogisticMF,40_LogisticMF,41_LogisticMF,42_LogisticMF,43_LogisticMF,44_LogisticMF,45_LogisticMF,46_LogisticMF,47_LogisticMF,48_LogisticMF,49_LogisticMF,50_LogisticMF,51_LogisticMF,52_LogisticMF,53_LogisticMF,54_LogisticMF,55_LogisticMF,56_LogisticMF,57_LogisticMF,58_LogisticMF,59_LogisticMF,60_LogisticMF,61_LogisticMF,62_LogisticMF,63_LogisticMF,64_LogisticMF,65_LogisticMF,66_LogisticMF,67_LogisticMF,68_LogisticMF,69_LogisticMF,70_LogisticMF,71_LogisticMF,72_LogisticMF,73_LogisticMF,74_LogisticMF,75_LogisticMF,76_LogisticMF,77_LogisticMF,78_LogisticMF,79_LogisticMF,80_LogisticMF,81_LogisticMF,82_LogisticMF,83_LogisticMF,84_LogisticMF,85_LogisticMF,86_LogisticMF,87_LogisticMF,88_LogisticMF,89_LogisticMF,90_LogisticMF,91_LogisticMF,92_LogisticMF,93_LogisticMF,94_LogisticMF,95_LogisticMF,96_LogisticMF,97_LogisticMF,98_LogisticMF,99_LogisticMF,100_LogisticMF
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028
HR@10,0.006191950464396285,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006191950464396285,0.0,0.0,0.009287925696594427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006191950464396285,0.0,0.0,0.006191950464396285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.006191950464396285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.006191950464396285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.779142376908876,0.707697026928649,0.6566301120380067,0.7239082605787582,0.6648787103625564,0.7182942373029638,0.7688447157489046,0.7582385718333103,0.7055109889920171,0.7294523081718307,0.7332997997663688,0.7444870954174932,0.6899259059440822,0.6641165972745824,0.7271326448498866,0.7194630055397087,0.7013481527124563,0.6959058438243514,0.7736776955676002,0.6778258595725195,0.7321057037931207,0.7508353420332302,0.6829725337862845,0.6760286953444662,0.6930295711512813,0.7215060411627514,0.7566244877533985,0.7512836702184775,0.724554503634343,0.6620943913164485,0.7511555951646504,0.7464494379094093,0.6659587203310732,0.6709009667954209,0.6548487488103557,0.7354721308692557,0.6642968286665217,0.6619902627420009,0.7025372743536222,0.6829720871669912,0.6949220303626021,0.7640678854243803,0.7081849450178686,0.6722805520615055,0.6478995790055146,0.6890429499331734,0.6850424793154077,0.664936579284104,0.7546952761658375,0.6989783773372832,0.6691949943795923,0.7240015519323616,0.7109809971080926,0.6870184376666425,0.6730619943599758,0.6731119484485009,0.6950327980287521,0.7164318503383632,0.7037973226064849,0.6982424429977532,0.7504233309994134,0.6859119907553194,0.7800575632041611,0.6878989767997664,0.7389511965889097,0.6734947588774715,0.748139348418928,0.7006653604916775,0.7095013743175709,0.7055816557645618,0.7663971955979232,0.7382278256078398,0.6585407698559661,0.6590743310400796,0.6730815167761312,0.7643398800307795,0.7271254085515462,0.6549584334814281,0.6846752385535938,0.794500733937082,0.6762106749413848,0.7433318014432088,0.6848698306854799,0.7549340305095545,0.673748198342601,0.718894345021719,0.7042421579437776,0.7513633392815361,0.7142635679701298,0.7120768227418527,0.6778320904866805,0.694738590893724,0.7410399170098585,0.6869993795286549,0.6972987089510563,0.6807719072119814,0.6785806405611793,0.7297688008731071,0.6482548977782652,0.7551805239061168
NDCGk,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795
global AUC,0.9441712049607253,0.9280061860019999,0.9184930039875765,0.9340337015265731,0.9237878558355557,0.9339854621534129,0.9423469813497927,0.9417878256922132,0.9271458475591028,0.9355114270837395,0.935687341223203,0.9390944579059086,0.9274080645604893,0.9209092669022193,0.9330489466054804,0.932070524459735,0.9287956107283429,0.9311157457892307,0.9422455232708775,0.9267150350346176,0.9345067548322669,0.9366900919201506,0.9260485730886991,0.9236880519644486,0.9279407194747947,0.9331352995949129,0.9391315522628243,0.9371928374205467,0.9332230895729468,0.9192852358544429,0.9375175801352568,0.9370850298571143,0.9223882122287796,0.9229528484940477,0.9222365598038397,0.9335020658716243,0.9203061327097738,0.9203455997687986,0.9283945238168997,0.9266551994976288,0.9270658106358477,0.9408526468778632,0.9283393501382802,0.9232024166539093,0.9188693112002334,0.9277382377553783,0.9244265638504664,0.9217995314681957,0.9403105679918007,0.9279215039295456,0.9224447059318122,0.9308807146070794,0.930789365575882,0.9245982171516353,0.9234862219026537,0.9240459122536663,0.9273258554451626,0.9325593010941933,0.929659107204329,0.9276706491636109,0.9401141517010151,0.9250440512197543,0.9446741509711587,0.9255368881824697,0.9342777723695765,0.9246175162427334,0.9401006339826616,0.9279899279798022,0.9284358455937701,0.931417262757944,0.9409776314678314,0.9371372125943429,0.9202349850648427,0.9212848723297451,0.9231921405144933,0.9439137333635569,0.9325724846291512,0.9221123271265117,0.924929108840825,0.9461536142819824,0.9224243708721875,0.9379291102778136,0.9301098036408546,0.9388961701881074,0.9248714287867382,0.9309734839177081,0.9304854591958899,0.9386574295702647,0.9279881400986355,0.9301522950596098,0.9234666220464997,0.9276864560382244,0.9353337584814492,0.9274283494926043,0.9281949996205348,0.9241541542555131,0.9276984198037882,0.9333225592606579,0.9200435146883126,0.9368832666319984
global NDCG,0.5949232826689782,0.5538075317529348,0.5410809292128149,0.5635417138449742,0.5464856494108681,0.5667776871714899,0.5727486473875237,0.5642274641326348,0.5451342576588436,0.5694629893172843,0.557871844217584,0.5643643299416219,0.5631953812689827,0.539328918038146,0.5480448703655411,0.5580867517105927,0.5579140317757011,0.5579870392661423,0.5732973708450925,0.5647624746033352,0.5470866353464399,0.5615011661426934,0.5500348885845899,0.5509446805349032,0.5620052016262836,0.5529748490781312,0.5674287690103376,0.559428360345542,0.5807687987783257,0.5268305595783408,0.5468036785795586,0.5918892087539819,0.541511174380511,0.5487932060840368,0.5465227635997464,0.558446584607037,0.5331585858260881,0.5379220074114004,0.5537750196165716,0.5533499863225007,0.5583315477730522,0.5705435491014679,0.5569072462399357,0.5378774432442754,0.5482719297950353,0.5647943525764,0.548266493838016,0.533855653163476,0.5556306252598536,0.5643927334371207,0.5527350256978477,0.5597029663304137,0.556102863099105,0.5477782206597768,0.5357242126599518,0.5544800618120721,0.5500764220328925,0.5631632474105468,0.5684246731385786,0.5485632492489478,0.5559399312518221,0.5394925377021328,0.5722347084908554,0.5473606420543928,0.5618676163240092,0.5507087517877763,0.5624508850918447,0.5481467411843791,0.5499586274629853,0.5559139914075739,0.5683046669862688,0.5642248755316379,0.5506883323525742,0.5378503910091302,0.5449522937148366,0.5683162262446941,0.5634300603567919,0.548805072393022,0.5497867674934385,0.593971854904124,0.5357154193716425,0.5771158286180904,0.5689496396652692,0.570598004191009,0.5490628833783128,0.5570078122541173,0.5557902137466763,0.5648785068112202,0.558525462404998,0.5525942424852056,0.5531579876090719,0.5552086432142533,0.5653073215657386,0.562055208429026,0.5495141314264733,0.5466012958520959,0.5603378961545364,0.5532659969626345,0.5388013619920528,0.563186313725109
