,1_MBiRW,2_MBiRW,3_MBiRW,4_MBiRW,5_MBiRW,6_MBiRW,7_MBiRW,8_MBiRW,9_MBiRW,10_MBiRW,11_MBiRW,12_MBiRW,13_MBiRW,14_MBiRW,15_MBiRW,16_MBiRW,17_MBiRW,18_MBiRW,19_MBiRW,20_MBiRW,21_MBiRW,22_MBiRW,23_MBiRW,24_MBiRW,25_MBiRW,26_MBiRW,27_MBiRW,28_MBiRW,29_MBiRW,30_MBiRW,31_MBiRW,32_MBiRW,33_MBiRW,34_MBiRW,35_MBiRW,36_MBiRW,37_MBiRW,38_MBiRW,39_MBiRW,40_MBiRW,41_MBiRW,42_MBiRW,43_MBiRW,44_MBiRW,45_MBiRW,46_MBiRW,47_MBiRW,48_MBiRW,49_MBiRW,50_MBiRW,51_MBiRW,52_MBiRW,53_MBiRW,54_MBiRW,55_MBiRW,56_MBiRW,57_MBiRW,58_MBiRW,59_MBiRW,60_MBiRW,61_MBiRW,62_MBiRW,63_MBiRW,64_MBiRW,65_MBiRW,66_MBiRW,67_MBiRW,68_MBiRW,69_MBiRW,70_MBiRW,71_MBiRW,72_MBiRW,73_MBiRW,74_MBiRW,75_MBiRW,76_MBiRW,77_MBiRW,78_MBiRW,79_MBiRW,80_MBiRW,81_MBiRW,82_MBiRW,83_MBiRW,84_MBiRW,85_MBiRW,86_MBiRW,87_MBiRW,88_MBiRW,89_MBiRW,90_MBiRW,91_MBiRW,92_MBiRW,93_MBiRW,94_MBiRW,95_MBiRW,96_MBiRW,97_MBiRW,98_MBiRW,99_MBiRW,100_MBiRW
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028
HR@10,0.0061919504643962,0.0061919504643962,0.0061919504643962,0.0092879256965944,0.0092879256965944,0.0092879256965944,0.0154798761609907,0.0154798761609907,0.0030959752321981,0.0123839009287925,0.0123839009287925,0.0061919504643962,0.0092879256965944,0.0216718266253869,0.0092879256965944,0.0092879256965944,0.0061919504643962,0.0061919504643962,0.0061919504643962,0.0092879256965944,0.0092879256965944,0.0061919504643962,0.0123839009287925,0.0092879256965944,0.0092879256965944,0.0092879256965944,0.0061919504643962,0.0061919504643962,0.0154798761609907,0.0061919504643962,0.0185758513931888,0.0092879256965944,0.0154798761609907,0.0123839009287925,0.0123839009287925,0.0092879256965944,0.0123839009287925,0.0123839009287925,0.0123839009287925,0.0092879256965944,0.0092879256965944,0.0092879256965944,0.0092879256965944,0.0123839009287925,0.0092879256965944,0.0123839009287925,0.0123839009287925,0.0061919504643962,0.0061919504643962,0.0061919504643962,0.0092879256965944,0.0154798761609907,0.0123839009287925,0.0061919504643962,0.0154798761609907,0.0123839009287925,0.0123839009287925,0.0123839009287925,0.0092879256965944,0.0185758513931888,0.0030959752321981,0.0092879256965944,0.0154798761609907,0.0092879256965944,0.0092879256965944,0.0092879256965944,0.0185758513931888,0.0061919504643962,0.0092879256965944,0.0123839009287925,0.0061919504643962,0.0154798761609907,0.0154798761609907,0.0092879256965944,0.0092879256965944,0.0092879256965944,0.0092879256965944,0.0061919504643962,0.0123839009287925,0.0030959752321981,0.0061919504643962,0.0061919504643962,0.01238390092879257,0.015479876160990712,0.0030959752321981426,0.015479876160990712,0.015479876160990712,0.006191950464396285,0.01238390092879257,0.01238390092879257,0.009287925696594427,0.0030959752321981426,0.009287925696594427,0.006191950464396285,0.015479876160990712,0.018575851393188854,0.0030959752321981426,0.009287925696594427,0.0,0.01238390092879257
HR@2,0.0,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0,0.0030959752321981,0.0030959752321981,0.0030959752321981426,0.0030959752321981426,0.0,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.0,0.0030959752321981426,0.0,0.0030959752321981426,0.0030959752321981426,0.0,0.0030959752321981426,0.0,0.0030959752321981426
HR@5,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0123839009287925,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0092879256965944,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0061919504643962,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0061919504643962,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0092879256965944,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0061919504643962,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0030959752321981,0.0092879256965944,0.0030959752321981,0.0061919504643962,0.0061919504643962,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0030959752321981,0.0030959752321981,0.0061919504643962,0.0092879256965944,0.0,0.0061919504643962,0.0030959752321981,0.006191950464396285,0.006191950464396285,0.0,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.006191950464396285,0.006191950464396285,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.006191950464396285,0.0030959752321981426,0.0030959752321981426,0.0,0.0030959752321981426
Lin's AUC,0.8519495208214672,0.8408860631761316,0.8394343974423746,0.8438494203398154,0.8520882091368345,0.859989555394012,0.852046020537771,0.8474184120698918,0.8412142684911469,0.842726430961255,0.8492515315696123,0.845815935062976,0.8552048324228283,0.8362444184327761,0.852590935156537,0.8438925771759258,0.8526690591605374,0.839993987068104,0.8503105327657139,0.8535666975856193,0.8469055757989793,0.8441472467209686,0.8367350762637099,0.8331702226227944,0.8532451532784882,0.8459537117693093,0.836148500810015,0.8527116375981029,0.8395386558493957,0.8518084913790189,0.8532708872900678,0.8479234954215794,0.8507884232443353,0.8472643207459183,0.831865759841432,0.848276004423826,0.8488912813118621,0.8423683156554014,0.8385244298965483,0.840234217005733,0.8510926191628156,0.8511732070194096,0.8319013235005491,0.8543399244268199,0.8405627708770393,0.840712522540498,0.8413699940295103,0.8342850069777012,0.8453300450312765,0.848829688080963,0.8540002995661023,0.8435870399977772,0.849270485813642,0.8360192202407556,0.8319520365021315,0.8492231490151764,0.844918613758412,0.8385467720226301,0.8507653424819508,0.8374176854861871,0.8488634876336439,0.849432228447962,0.8490716591102792,0.8458566461632125,0.8427860087569252,0.8483454967586338,0.8363734786756818,0.8464767469465859,0.8476632965784751,0.8401570159582249,0.847106754247835,0.831920595403033,0.839904423600173,0.8368700499578096,0.8425196059685067,0.8421291805377148,0.8560584874005324,0.8462324270146061,0.8455359277712844,0.8505212429831899,0.8465553857565629,0.8509937300085342,0.8346112397770139,0.8493932885525399,0.8537273065290804,0.8508017792534657,0.8377592502557323,0.8407587835150219,0.8429205641473024,0.8434599486800158,0.848461332142144,0.8499784169860926,0.848249540774964,0.840082126305353,0.8408224716465271,0.8413709472983579,0.8441009385779334,0.84966550027769,0.8424604500075378,0.8381062938448312
NDCGk,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.2453866401878079,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795
global AUC,0.9618137990940888,0.9597723228576528,0.9563131905294164,0.9590342287008798,0.960387821835737,0.9630305942559422,0.9614397476193528,0.9614792146783772,0.9594668625248712,0.9601808286404794,0.959943207537012,0.9616355122525168,0.9620728747715565,0.9589398218916124,0.96223497042761,0.9599741027919386,0.9629707420097836,0.9584724162853048,0.9624277107010436,0.9628522739960304,0.9606701566775406,0.9588100417699168,0.9564271303581589,0.954961368566556,0.9619724693703372,0.9606322435713056,0.9589143738260346,0.961788601666058,0.9593800583878546,0.9607974137145991,0.9612046830188616,0.9603664675167556,0.9622201995215228,0.9605097152292956,0.9561168577844796,0.961922258315143,0.9612152097958244,0.9611307449425772,0.9584351715458612,0.9586917074295216,0.9617462940481702,0.9603184453628028,0.9579951522688264,0.9637999345602076,0.9601062723249127,0.9584454476852772,0.9591567403337204,0.9590648900274296,0.9606466468756576,0.960885888768594,0.9632422158912292,0.961192635707449,0.9599408014165632,0.9566529380785904,0.9564409822599078,0.9623910173642026,0.9587081826709268,0.958506202226604,0.9628675294680412,0.9568083333575615,0.9630073016732664,0.9606581260752978,0.9609453567038476,0.9586086127281968,0.9590193742489436,0.9612531229020592,0.9581863552986398,0.9591620037222016,0.9621403965266448,0.9574855894271592,0.9598935813027598,0.9555612110525544,0.9593279257781352,0.9593702668143624,0.9595231055903568,0.9601951316898129,0.963123747877476,0.9626437268479832,0.9595396643776106,0.961849874191648,0.9618593482909142,0.9622904448712858,0.9593246841991975,0.9617231852663621,0.9623852359914581,0.9608430798756129,0.9548830025602792,0.9596352241195929,0.9601076257676653,0.9596851344097315,0.9625058761972831,0.9610346672163316,0.9573856853010336,0.9609850576912492,0.956911328680097,0.9595958071880777,0.9582952656672779,0.9606402973911405,0.9584629588952084,0.9590648733182596
global NDCG,0.6208423520896025,0.6226767138799244,0.6234509615902483,0.6217257266310658,0.6275691563831811,0.6264954272611248,0.6577537510827888,0.6273322659457932,0.6149452817387221,0.6248633879685767,0.6562379147977361,0.6226886314877975,0.6304452253166958,0.6486169948753224,0.6301550818997103,0.6280504539138577,0.6289564828201764,0.6358437355079352,0.6323750120712007,0.6237336188915529,0.6226382160516465,0.619677011496605,0.6447814526023427,0.6253441113322744,0.6241509927889742,0.6287575164342223,0.622910244168013,0.6286770151964837,0.6447254730518698,0.625495282065517,0.6524854627438992,0.6350388267180409,0.6326359961304013,0.6283227616369189,0.6305843620021359,0.6318369204982986,0.6281457282985227,0.6247582252693198,0.660471084032602,0.6133936572732775,0.6289430283818066,0.6496848214013334,0.6299270440811756,0.6337582103702943,0.6226609620412523,0.6447756194710873,0.6568120180689003,0.6169333489344595,0.620808024799197,0.6223102284553619,0.6274074929958384,0.6253332767438898,0.6228340330081941,0.624469011629381,0.6274678674572511,0.6320027633047623,0.6500656786790941,0.6151096710992379,0.6231806885346217,0.6393591436787881,0.6274078088487668,0.6280238096098486,0.6298279319927372,0.6229508230026722,0.6206214166241072,0.622873181351347,0.6570017613414468,0.6232804847071581,0.6267692970413502,0.649889072446566,0.6134226203104155,0.6425556408966427,0.621563075475201,0.6250453763671175,0.6202799496633365,0.6259740813780253,0.6302340750686642,0.6316465019944107,0.6521683296722817,0.607986240022908,0.6274871218071782,0.6235603742753979,0.6423859897773369,0.6327927849394548,0.6067367444641185,0.6221012596589091,0.635872171383012,0.6239706768841514,0.6528119586278266,0.6549152421019815,0.6276109109266987,0.6156131444874182,0.618573188337544,0.6175930621493091,0.6290733649073178,0.6466933160725338,0.6092079528513265,0.6282743206733025,0.601204671064526,0.6247308386740534
