,1_NIMCGCN,2_NIMCGCN,3_NIMCGCN,4_NIMCGCN,5_NIMCGCN,6_NIMCGCN,7_NIMCGCN,8_NIMCGCN,9_NIMCGCN,10_NIMCGCN,11_NIMCGCN,12_NIMCGCN,13_NIMCGCN,14_NIMCGCN,15_NIMCGCN,16_NIMCGCN,17_NIMCGCN,18_NIMCGCN,19_NIMCGCN,20_NIMCGCN,21_NIMCGCN,22_NIMCGCN,23_NIMCGCN,24_NIMCGCN,25_NIMCGCN,26_NIMCGCN,27_NIMCGCN,28_NIMCGCN,29_NIMCGCN,30_NIMCGCN,31_NIMCGCN,32_NIMCGCN,33_NIMCGCN,34_NIMCGCN,35_NIMCGCN,36_NIMCGCN,37_NIMCGCN,38_NIMCGCN,39_NIMCGCN,40_NIMCGCN,41_NIMCGCN,42_NIMCGCN,43_NIMCGCN,44_NIMCGCN,45_NIMCGCN,46_NIMCGCN,47_NIMCGCN,48_NIMCGCN,49_NIMCGCN,50_NIMCGCN,51_NIMCGCN,52_NIMCGCN,53_NIMCGCN,54_NIMCGCN,55_NIMCGCN,56_NIMCGCN,57_NIMCGCN,58_NIMCGCN,59_NIMCGCN,60_NIMCGCN,61_NIMCGCN,62_NIMCGCN,63_NIMCGCN,64_NIMCGCN,65_NIMCGCN,66_NIMCGCN,67_NIMCGCN,68_NIMCGCN,69_NIMCGCN,70_NIMCGCN,71_NIMCGCN,72_NIMCGCN,73_NIMCGCN,74_NIMCGCN,75_NIMCGCN,76_NIMCGCN,77_NIMCGCN,78_NIMCGCN,79_NIMCGCN,80_NIMCGCN,81_NIMCGCN,82_NIMCGCN,83_NIMCGCN,84_NIMCGCN,85_NIMCGCN,86_NIMCGCN,87_NIMCGCN,88_NIMCGCN,89_NIMCGCN,90_NIMCGCN,91_NIMCGCN,92_NIMCGCN,93_NIMCGCN,94_NIMCGCN,95_NIMCGCN,96_NIMCGCN,97_NIMCGCN,98_NIMCGCN,99_NIMCGCN,100_NIMCGCN
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028
HR@10,0.0,0.0030959752321981426,0.0,0.006191950464396285,0.0030959752321981426,0.0030959752321981426,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0030959752321981426,0.0,0.0,0.0,0.0030959752321981426,0.0030959752321981426,0.0,0.0030959752321981426,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0030959752321981426,0.006191950464396285,0.0,0.0030959752321981426,0.0030959752321981426,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0030959752321981426,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0
Lin's AUC,0.5082525757303059,0.5188209584939623,0.5070360640655289,0.4816351667149435,0.49588816992378515,0.48775004180187803,0.49188840311605564,0.4746474569952023,0.5178504080704078,0.5188148553404179,0.49657582475809264,0.5171157466673627,0.48034614524789254,0.49854585212277774,0.4952667620289376,0.49686938388666724,0.4938052128944496,0.5164384035271767,0.49409152365164605,0.4841177762792286,0.5036555705210718,0.5095777402085612,0.5103501138593097,0.496310114758072,0.483251367777963,0.5077254599702047,0.5064257934455593,0.5271003009004476,0.5118753364069051,0.5028782418951198,0.486737596821063,0.4890396797778466,0.5053869518371941,0.5328997176092557,0.5101981449557337,0.4869600008062607,0.5167255110841444,0.49397273240817346,0.5062238089380162,0.4999542055615666,0.5186491183672446,0.5118463217813854,0.522097111885655,0.49547649769282376,0.4895343755069327,0.5240659030219957,0.5036326268053871,0.5041755729862064,0.5290004224559801,0.4957024863029113,0.499936249021746,0.4955239759766943,0.4810843570640314,0.5002907040653889,0.5205586324115926,0.5057115998024172,0.5065796191878346,0.5200662437243678,0.48746122156251487,0.5119702141741301,0.4995889151535528,0.4990208595265505,0.5154106700257114,0.505191503930176,0.4879522157917876,0.49229663014735653,0.5083643450980739,0.5096409374815424,0.5010217770158673,0.501092014114423,0.49847468600851863,0.4951280276166928,0.4860538478531207,0.47448861534732206,0.4800722380810715,0.4899196747888668,0.5120393731490274,0.48199908690461485,0.48776571896104304,0.5057840512945624,0.5061835877659852,0.5152558588753932,0.4931949485535197,0.5060367369502344,0.49256599165726683,0.4906851577189653,0.48918891782853036,0.48749106787251767,0.5108540925662863,0.4722522541086897,0.4927584627937594,0.49757909389758864,0.49958287219172576,0.4990347553747297,0.49324219672925423,0.5210056578344994,0.5151227215939789,0.4912679976362287,0.5009498562470958,0.492545229440338
NDCGk,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795
global AUC,0.909783967478074,0.91181548504932,0.9088850392075657,0.906890783084933,0.908438093979656,0.9085953272673032,0.9086967519278791,0.9052140513156649,0.9114293695540011,0.912045018914613,0.9099024020734875,0.9113547296925856,0.906664382188974,0.9089773824343649,0.9092571440640224,0.9090454054645467,0.9081564442138134,0.9104374547536569,0.9093213239851542,0.9072377072225285,0.9106048137981918,0.9103089695926195,0.9111266829434033,0.9092260650082281,0.9073523154180623,0.9107478192277697,0.9112047565392088,0.9125584415744996,0.9106514574456379,0.9101963581428746,0.90818503360331,0.9084940529892555,0.910818256732985,0.9128657482705425,0.9105109834552819,0.9093573238914493,0.9117394416176428,0.9096008516864347,0.9100804884050224,0.9105158625328582,0.9121321321712708,0.911299564368551,0.9118469985435286,0.9081687003898484,0.9085656434271857,0.912148122846752,0.9091325354303743,0.9100558340250092,0.9130149695112793,0.9079711562301025,0.9087838651845366,0.9091126849366735,0.9069725577618454,0.9097291446920198,0.9129801392468689,0.9105404751399468,0.9107899096264501,0.9118445172318159,0.9075014113400257,0.9103948463707131,0.9090152955406,0.9098263502872255,0.9111111851884304,0.9100483483169471,0.9079277123886698,0.9074571821676132,0.9112222677491403,0.9114199121639048,0.9087640063362509,0.9092791500406249,0.9080798827978729,0.90842668997128,0.9075501603428641,0.9067797840700724,0.9071913225672141,0.9078921803391287,0.909415254583083,0.9066305962476752,0.9081143203967934,0.9104571882831692,0.9113679466458832,0.9111982148992391,0.9094718568957189,0.910371035803774,0.9082952389326063,0.9088131480045794,0.9070557610727741,0.9072580005092284,0.9096884745727707,0.9071470599764623,0.9086126296126124,0.9089241136011005,0.9096452563051299,0.9086976458684624,0.907376535359661,0.9117084628168672,0.9106457429095725,0.9087927962357849,0.909025554970846,0.9087954864121199
global NDCG,0.4852964730788384,0.48901822579815624,0.48117903353566854,0.49369666887892405,0.4850971331316598,0.48825745951403876,0.4827257213967412,0.48122688702553335,0.48412082175342014,0.48791414722025805,0.4894663288624729,0.48702187530724234,0.4795910870145648,0.48380471331972535,0.48337770559915805,0.4892847235341963,0.48544288530749286,0.4834744960324003,0.485000862249867,0.48391603893488266,0.4863844750727627,0.4827464038469026,0.4863303611806131,0.4839696240389225,0.4848227680792214,0.48684071532732176,0.48811360054841446,0.49036955183564135,0.48726575645163867,0.48913234817520923,0.4839451197221582,0.4888388069163651,0.48658488346716594,0.48635944955412924,0.4832518426507987,0.4912017897133107,0.48353912211479466,0.48552581184694554,0.482288445204551,0.48531326548610504,0.48727442638160895,0.4871299755755808,0.48693881162396696,0.4826052515829469,0.4843969971126091,0.4863102271690606,0.4850431555965329,0.4867501693693269,0.48688527716679775,0.4842177513622092,0.4846145542395901,0.4847018813191753,0.48358911453041514,0.4830727780623291,0.4913230174609693,0.4882125948466337,0.48694167627906,0.4856171747630238,0.4821722351469824,0.48575617239614044,0.4831797002381311,0.48388978808544625,0.48450647716451556,0.48442109329464206,0.48153990798981333,0.48189428516780103,0.4868993114172687,0.4845777869949329,0.48281065123379574,0.48211148070412996,0.4817082950594811,0.4830716222229707,0.48577280800600686,0.4822976824869214,0.48182747521706065,0.4871638181215448,0.48426362481073976,0.488169625690376,0.4837182911466989,0.48945913655373097,0.4921359328732205,0.4875978935195433,0.49030245130822586,0.48504927421654986,0.48442940614744356,0.48817788279973323,0.48309954015304324,0.4816156957556587,0.48289924722011,0.4819443143390056,0.48198771722289563,0.48232529862612505,0.48530626757798534,0.48838001397613,0.48036906823930203,0.48553907051924255,0.48501559383138326,0.48897372208130124,0.4847141504810976,0.4839618435947742
