,1_PMF,2_PMF,3_PMF,4_PMF,5_PMF,6_PMF,7_PMF,8_PMF,9_PMF,10_PMF,11_PMF,12_PMF,13_PMF,14_PMF,15_PMF,16_PMF,17_PMF,18_PMF,19_PMF,20_PMF,21_PMF,22_PMF,23_PMF,24_PMF,25_PMF,26_PMF,27_PMF,28_PMF,29_PMF,30_PMF,31_PMF,32_PMF,33_PMF,34_PMF,35_PMF,36_PMF,37_PMF,38_PMF,39_PMF,40_PMF,41_PMF,42_PMF,43_PMF,44_PMF,45_PMF,46_PMF,47_PMF,48_PMF,49_PMF,50_PMF,51_PMF,52_PMF,53_PMF,54_PMF,55_PMF,56_PMF,57_PMF,58_PMF,59_PMF,60_PMF,61_PMF,62_PMF,63_PMF,64_PMF,65_PMF,66_PMF,67_PMF,68_PMF,69_PMF,70_PMF,71_PMF,72_PMF,73_PMF,74_PMF,75_PMF,76_PMF,77_PMF,78_PMF,79_PMF,80_PMF,81_PMF,82_PMF,83_PMF,84_PMF,85_PMF,86_PMF,87_PMF,88_PMF,89_PMF,90_PMF,91_PMF,92_PMF,93_PMF,94_PMF,95_PMF,96_PMF,97_PMF,98_PMF,99_PMF,100_PMF
ACC,0.5356037151702786,0.5170278637770898,0.5479876160990712,0.5294117647058824,0.4891640866873065,0.5170278637770898,0.5015479876160991,0.5572755417956656,0.5325077399380805,0.5572755417956656,0.5108359133126935,0.5108359133126935,0.5386996904024768,0.5386996904024768,0.5541795665634675,0.5201238390092879,0.5479876160990712,0.5170278637770898,0.5232198142414861,0.541795665634675,0.5634674922600619,0.5356037151702786,0.4953560371517028,0.541795665634675,0.5294117647058824,0.5510835913312694,0.5541795665634675,0.48606811145510836,0.5510835913312694,0.4984520123839009,0.5077399380804953,0.5510835913312694,0.5479876160990712,0.5325077399380805,0.5696594427244582,0.4984520123839009,0.544891640866873,0.5386996904024768,0.5170278637770898,0.5325077399380805,0.4953560371517028,0.5510835913312694,0.5325077399380805,0.5510835913312694,0.5325077399380805,0.5108359133126935,0.5201238390092879,0.5510835913312694,0.541795665634675,0.5232198142414861,0.5170278637770898,0.5108359133126935,0.5356037151702786,0.5170278637770898,0.5232198142414861,0.5046439628482973,0.5479876160990712,0.5510835913312694,0.5263157894736842,0.5386996904024768,0.5294117647058824,0.541795665634675,0.5139318885448917,0.5139318885448917,0.5603715170278638,0.5201238390092879,0.5294117647058824,0.541795665634675,0.541795665634675,0.544891640866873,0.5232198142414861,0.5386996904024768,0.5294117647058824,0.5386996904024768,0.544891640866873,0.5634674922600619,0.544891640866873,0.5263157894736842,0.5727554179566563,0.5356037151702786,0.5356037151702786,0.5479876160990712,0.5294117647058824,0.5170278637770898,0.5882352941176471,0.5356037151702786,0.5479876160990712,0.5015479876160991,0.5572755417956656,0.5077399380804953,0.5325077399380805,0.5263157894736842,0.5541795665634675,0.544891640866873,0.544891640866873,0.5386996904024768,0.5572755417956656,0.5603715170278638,0.5386996904024768,0.5201238390092879
AUC,0.5195840405376876,0.5116249058390927,0.5230224598575279,0.5193067971280666,0.5029016689692203,0.516474941403235,0.5240619348195157,0.5296466200931782,0.5173110705580735,0.5469786293816109,0.504109337358709,0.5083637550321769,0.5173131027600207,0.5312065397611104,0.5221578160669118,0.5247173345224532,0.531870614869285,0.5261822561229603,0.5259390534673498,0.5196931508503627,0.5492845583830612,0.5115961590979318,0.49885788486120164,0.5261427116306048,0.5169226317665021,0.5346995049374258,0.5174486843066793,0.5016975231916144,0.5256764101759268,0.5032479488210052,0.4949293273044479,0.5217461831971694,0.5253367174374578,0.5206568341010196,0.5302412037741497,0.4993242183225048,0.5188041124108063,0.5006059831322003,0.5109263181562989,0.5159382663701015,0.4944828252581751,0.5380756086955143,0.5152385895445808,0.5207023517523456,0.505844099537945,0.49953288752072617,0.5053310063023394,0.5208664976034681,0.5281319780885474,0.5177351524204898,0.5131678701246429,0.5141556824639324,0.5163954492519549,0.5127154070346792,0.5130135066658231,0.512316144097805,0.5212411738293782,0.5245462283197575,0.5182155028648525,0.527302348241448,0.5264495475926136,0.526494468983636,0.5193935485249407,0.5125216446964007,0.5184772295866449,0.5147917202206238,0.5242444197511577,0.5268487908665453,0.536489605622678,0.525146085048763,0.5242506468968553,0.5096385964827945,0.5172435219183209,0.5155476482117934,0.5333059742766154,0.5273646386918542,0.5249587285398968,0.5195598209585579,0.5292613710646299,0.5167578192202682,0.5125036187071491,0.5165539491753735,0.5158265273745893,0.5020065338500238,0.5480053077210734,0.5199403101021082,0.5320201243462359,0.5005916699613084,0.5422391337176302,0.5136905284121369,0.5203677438423586,0.5112270211894582,0.5295546669583164,0.525270749749724,0.5153758219102248,0.5294248863771287,0.522855622150688,0.5334436163823479,0.5374998974557946,0.5249306718571835
Fscore,0.003837242018331204,0.003892689254971772,0.004207242021892853,0.004078772753806842,0.0035016788502538654,0.003706387821094232,0.003606938280446091,0.004197189150512494,0.0039937253887530316,0.003942340951997684,0.0038292373735687737,0.003902753459389358,0.004147071783885865,0.003966526004394012,0.004204599971825781,0.0037419935258418122,0.004051384924914927,0.0038426576109332495,0.003899986505467127,0.004043559558026246,0.004042281271508906,0.0039746323938082305,0.0038397320403846563,0.003938789515382323,0.0038749510274373824,0.003995413337381782,0.004060876021309413,0.0035388815460108154,0.004215676392818493,0.003706005026691365,0.004043234770276146,0.00409195942577545,0.00403101925020122,0.004098221223852863,0.004138466725466657,0.0037296227667795966,0.0039306083420179725,0.004080001168163802,0.0036929249292566454,0.004150854753369392,0.0038053828247759055,0.004051345004826147,0.00404421436329742,0.004253426183774689,0.004024230738715683,0.003919154890203524,0.003937789738670841,0.004207853581314939,0.003934180049819868,0.003895922590978502,0.0036231913777308427,0.00375843760454546,0.0039014863383220934,0.003891700691948065,0.003993258095468766,0.0038158043576137653,0.004104437064820204,0.004056430939593376,0.003907504410063487,0.003948055995054151,0.003925751818146244,0.004023784008818537,0.003655219827341924,0.0037875572086820187,0.0041602710917813986,0.003813684413158416,0.003909747669906101,0.004105227361901999,0.003954188567351374,0.0041685211388189135,0.0038177328614665733,0.003980713923321554,0.003936914651904665,0.003996544377581961,0.004060827828094264,0.004284631694042317,0.00413287520822016,0.0038566377707134063,0.004174989802778047,0.0038663786997202767,0.004057912292476926,0.004196978234167497,0.003986756383920488,0.004020307778912071,0.004251548978501784,0.004076349052469883,0.003990072037581609,0.0037744841416097233,0.004030951750402113,0.0038344349462796183,0.003964323100520404,0.003904358564441268,0.004145620362851313,0.004032578307996111,0.00404949833707219,0.0040329705474406435,0.004307113541832037,0.004084362426657729,0.003923261945129941,0.003731177011242341
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5117303277360439,0.5188646052090006,0.5226971756269884,0.5237071421959519,0.4955284295433731,0.5027961978224558,0.5047497115258114,0.5308682358986293,0.5079606529924182,0.5148980658428145,0.5058112362660852,0.4952306182823962,0.5049281582954658,0.5156518630631532,0.5200450393694855,0.504365547819881,0.5175402678947905,0.49356705360297337,0.5045766587782051,0.5126364237323903,0.519049924341857,0.5156019705007016,0.5025713183464438,0.5094920316772282,0.50375251695406,0.5050976435140997,0.518631391410374,0.49129260055939794,0.510520226989444,0.49472446392259906,0.4996952740838121,0.5166766677675375,0.4949704182595202,0.5129507495158191,0.5266379013545104,0.5103339224949615,0.5255463796484144,0.52606699155055,0.4943941405462545,0.5155761078426697,0.5040619833856973,0.5152348922226536,0.5073759753749199,0.5114834829995941,0.5145734173980526,0.4961141343240071,0.5042836537240611,0.5147941607282325,0.5291502180754214,0.5084021476938451,0.5000963172827597,0.5243141024523597,0.5041304712767999,0.515525977355094,0.5123582596523183,0.4865190742101876,0.5061676043087632,0.5160665540992936,0.5000112575499622,0.5207656330557067,0.5131293511881255,0.5152473638786785,0.5046861010074636,0.5067209442377351,0.5147086458455389,0.5101915207681581,0.5054589047702249,0.5063137174586232,0.5152182689704582,0.5269616356362604,0.501214224634636,0.5201633783568435,0.5118613464478573,0.509845379867092,0.5098696330138046,0.5201220889810868,0.5141016867623678,0.5165980080928587,0.5251201686405109,0.5099888542921707,0.5050920185278872,0.5137371173775519,0.5096539765673346,0.5117231650376827,0.5252618337217301,0.5074623005465295,0.5207865135006631,0.49844762752910554,0.5112249019321806,0.49824472256643265,0.5049956973619617,0.5078966212904596,0.5136458260113753,0.4979238366373708,0.509738564367741,0.5086134759737804,0.5116322576046647,0.5112237796831481,0.5051838061447824,0.5073794523727548
NDCGk,0.24643307835197245,0.23612314883263427,0.24102249087672387,0.25044078274194465,0.2449781053503685,0.24084599383980065,0.24238239727045324,0.24270113187315873,0.23784203804087956,0.26703251601905625,0.23899860189252298,0.2381902925757004,0.23863366401234787,0.2465472474736675,0.24973172573459937,0.24267879761255118,0.2433967625325379,0.23977406028481799,0.2429246775321212,0.26249727352242,0.259021149678247,0.24591098829185914,0.24392021257510943,0.24593348828568298,0.24151736624734738,0.2459012091024734,0.24316969097566518,0.23376835836603052,0.2399623438381444,0.23828087169314682,0.2250753628377876,0.23769002821198398,0.2556304723253641,0.23852560250899402,0.25164573263844753,0.233917384331277,0.24059624361565748,0.24548870792233793,0.23093289852369,0.23818192403072566,0.23152360666130106,0.2561840076890645,0.23595668513671944,0.2360414587035009,0.24906387876393335,0.23198243286366557,0.23022367873058996,0.24440872695513963,0.2631437171031862,0.23460696739034606,0.23978422638469665,0.24225484889213542,0.24108957802892836,0.25192536010013755,0.24259104972421353,0.23866236557651405,0.23914007053142466,0.2469105672289072,0.235418468543519,0.24948483850995035,0.24197592396390086,0.23898074281201037,0.2379534058032955,0.24700843069252895,0.25173827918040814,0.2403126999337484,0.249444181778244,0.24505196950979943,0.24321036344070815,0.24218294498686777,0.26344739949004814,0.2398303235872314,0.23721626835995852,0.23995950604806526,0.24598183405854476,0.24740844265293285,0.2553924698753402,0.24663089753386236,0.2417080461329366,0.23813551780307068,0.2359223995348364,0.247250538220484,0.24044686464649537,0.24125311437276534,0.2438553593730203,0.24520976784866677,0.23819407699945241,0.23660135380633243,0.2417724854641651,0.2429767900361869,0.2416899297757622,0.23994935337836867,0.2504681066338943,0.2479919170140596,0.24356391368257038,0.23969133595490963,0.24238739774679613,0.26646459164009006,0.25283562789270353,0.23813572120811016
global AUC,0.5325121845772425,0.5192530239169376,0.5462876084562969,0.5300164361419477,0.4929165819094029,0.5168569623885612,0.5049596993204948,0.5536923605909686,0.5321736233791229,0.5514039896618361,0.5120789919986135,0.5127978204826283,0.5367269891088627,0.5378678076757181,0.5501937277853677,0.519123995707882,0.5453247759659581,0.5176180984904635,0.5238873121559311,0.5391021975933515,0.5587486890403118,0.5346111737760675,0.49935614556079627,0.5382298285482114,0.5275988532028922,0.5460914595122279,0.5491657295328793,0.49089263359206814,0.5453005142514348,0.5011044594134099,0.5100674753035964,0.5480228891564807,0.5424776503993208,0.5321968491251197,0.5630696135092168,0.5023026572692959,0.5431845819544507,0.5386294784710535,0.5162639372438338,0.5305545215364322,0.4993690617490377,0.5471978571893326,0.5298880261721741,0.5471166506241928,0.5312264975083786,0.5135816142187549,0.5207466566037362,0.5469452813789103,0.540044093493954,0.523360054303465,0.5175867520879528,0.5143707047617023,0.5329021933091204,0.5189182557003583,0.5233474054619403,0.5055385885075868,0.5445700728944216,0.5482805612636865,0.5247738004495368,0.537635967944995,0.5292055568416046,0.540885985013412,0.5153719015058605,0.5167773264853809,0.5552453609580023,0.5206869881584453,0.5266555203136886,0.5373955229918344,0.5383157470992296,0.5442899603721988,0.5216940665303667,0.5375910202782819,0.5292340961035921,0.5370080874721027,0.5421875959210778,0.5578204111130817,0.5409329711988385,0.5269370196970034,0.5664528026607949,0.5330545809375309,0.5330447058181899,0.54523347706227,0.5293129968033019,0.5182807841640114,0.5792042217789392,0.5335658982420249,0.5469605201417512,0.504359973798685,0.5522854652045073,0.5097779555187864,0.5299681800596177,0.5254221162370724,0.5507366922574285,0.5391638544298465,0.5421990918298876,0.5368484814823467,0.551525632417848,0.5546020245030617,0.5362184622357223,0.5206630104998083
global NDCG,0.4363961667442087,0.4335015668310395,0.4386907826075185,0.4374480202025777,0.42857597478429954,0.4326637936783368,0.43351145409072805,0.441252693193886,0.4363958673233375,0.43739656726159964,0.43033183840406874,0.4337696406714239,0.43860248098712246,0.43836125307125906,0.4385784774721145,0.434866977924668,0.4379012856773689,0.4330754119239698,0.4360710109161083,0.4383781499802488,0.4394209216112928,0.43763925316974384,0.42976188272372745,0.43518409759835774,0.4368317685617337,0.4400071285604648,0.4365428148937005,0.4323513249380039,0.4363310931174664,0.4306170279624702,0.43468003901557895,0.44260280677869307,0.436276418985971,0.4378822407336696,0.4396086350437871,0.4321634612643667,0.44071544402906526,0.4380210719448509,0.4343354758501177,0.4337329451275493,0.43307998249651175,0.43837289669997404,0.43355160665910547,0.4393042206804464,0.4374941011329985,0.4390621295287803,0.43622109794859626,0.43704773903775856,0.4379549353368193,0.432025905990387,0.4332921582037231,0.43322213267708176,0.43508219288776706,0.4355445390838228,0.4346203181760362,0.431634327001969,0.44047470588892945,0.4375862269752325,0.43829935183802826,0.438649704473152,0.43619277880592183,0.4396096224105869,0.435351215896871,0.4346400866328152,0.440825200535861,0.43510605785730827,0.4331555529348032,0.43591782865618683,0.438400075375428,0.4395646975072716,0.43479394455399223,0.4358488985802533,0.4376238719025465,0.43336911858355076,0.43919344283777173,0.4414269850428363,0.4358325913301547,0.4372981563073941,0.44203856470497715,0.4351395698912449,0.43759022654096696,0.4375612938137049,0.4377072466138862,0.4317512946237324,0.4423378254686138,0.43372438416518505,0.4420126281224163,0.43438472579052023,0.4410375607563618,0.43294884030769454,0.43232497251871477,0.4334690222128643,0.4398583859613496,0.4344192522367576,0.4378212137123442,0.43952585116685244,0.43709206657017813,0.4402314043630055,0.4375182866395229,0.4355981681393223
