,1_SCPMF,2_SCPMF,3_SCPMF,4_SCPMF,5_SCPMF,6_SCPMF,7_SCPMF,8_SCPMF,9_SCPMF,10_SCPMF,11_SCPMF,12_SCPMF,13_SCPMF,14_SCPMF,15_SCPMF,16_SCPMF,17_SCPMF,18_SCPMF,19_SCPMF,20_SCPMF,21_SCPMF,22_SCPMF,23_SCPMF,24_SCPMF,25_SCPMF,26_SCPMF,27_SCPMF,28_SCPMF,29_SCPMF,30_SCPMF,31_SCPMF,32_SCPMF,33_SCPMF,34_SCPMF,35_SCPMF,36_SCPMF,37_SCPMF,38_SCPMF,39_SCPMF,40_SCPMF,41_SCPMF,42_SCPMF,43_SCPMF,44_SCPMF,45_SCPMF,46_SCPMF,47_SCPMF,48_SCPMF,49_SCPMF,50_SCPMF,51_SCPMF,52_SCPMF,53_SCPMF,54_SCPMF,55_SCPMF,56_SCPMF,57_SCPMF,58_SCPMF,59_SCPMF,60_SCPMF,61_SCPMF,62_SCPMF,63_SCPMF,64_SCPMF,65_SCPMF,66_SCPMF,67_SCPMF,68_SCPMF,69_SCPMF,70_SCPMF,71_SCPMF,72_SCPMF,73_SCPMF,74_SCPMF,75_SCPMF,76_SCPMF,77_SCPMF,78_SCPMF,79_SCPMF,80_SCPMF,81_SCPMF,82_SCPMF,83_SCPMF,84_SCPMF,85_SCPMF,86_SCPMF,87_SCPMF,88_SCPMF,89_SCPMF,90_SCPMF,91_SCPMF,92_SCPMF,93_SCPMF,94_SCPMF,95_SCPMF,96_SCPMF,97_SCPMF,98_SCPMF,99_SCPMF,100_SCPMF
ACC,0.4891640866873065,0.4582043343653251,0.4489164086687306,0.5603715170278638,0.5325077399380805,0.4427244582043343,0.6037151702786377,0.56656346749226,0.5139318885448917,0.5201238390092879,0.5170278637770898,0.479876160990712,0.4953560371517028,0.4210526315789473,0.436532507739938,0.4674922600619195,0.5263157894736842,0.436532507739938,0.4458204334365325,0.5356037151702786,0.4829721362229102,0.56656346749226,0.5851393188854489,0.4458204334365325,0.5386996904024768,0.5232198142414861,0.5820433436532507,0.5294117647058824,0.4674922600619195,0.6006191950464397,0.4922600619195046,0.4705882352941176,0.4674922600619195,0.4613003095975232,0.5201238390092879,0.4705882352941176,0.5727554179566563,0.5820433436532507,0.5356037151702786,0.5325077399380805,0.5139318885448917,0.5325077399380805,0.6068111455108359,0.5727554179566563,0.4984520123839009,0.5232198142414861,0.6160990712074303,0.5077399380804953,0.6037151702786377,0.479876160990712,0.5727554179566563,0.4086687306501548,0.4334365325077399,0.5386996904024768,0.5634674922600619,0.6068111455108359,0.4303405572755417,0.4489164086687306,0.5727554179566563,0.4984520123839009,0.4643962848297213,0.5851393188854489,0.4705882352941176,0.4767801857585139,0.5634674922600619,0.5572755417956656,0.5015479876160991,0.6130030959752322,0.5139318885448917,0.5294117647058824,0.5077399380804953,0.5696594427244582,0.479876160990712,0.4643962848297213,0.5015479876160991,0.4767801857585139,0.4829721362229102,0.4489164086687306,0.4117647058823529,0.5201238390092879,0.4458204334365325,0.5201238390092879,0.4705882352941176,0.479876160990712,0.47368421052631576,0.5572755417956656,0.5170278637770898,0.4953560371517028,0.4984520123839009,0.5077399380804953,0.5046439628482973,0.5820433436532507,0.38699690402476783,0.48606811145510836,0.47987616099071206,0.5603715170278638,0.5015479876160991,0.49226006191950467,0.6037151702786377,0.43343653250773995
AUC,0.5093866618202432,0.5289633471053351,0.5021310829513189,0.5331775564715958,0.5323527583498779,0.4806048011035525,0.5363879555568358,0.5122362517379269,0.5284155797237644,0.5063211496873636,0.4793637399289152,0.4759899067635111,0.4868655136122454,0.4716703115044076,0.5096355212484605,0.4997473970503388,0.5545168879898231,0.5230214452408307,0.4949574171862341,0.516005239645972,0.509376267761118,0.5198201288212424,0.5130576732256593,0.5077806942712398,0.4982082337168534,0.511532139701792,0.499749390309851,0.533190441001156,0.4821852231443855,0.512205785087328,0.4772231490077824,0.4827020602798684,0.4586823168632792,0.5235649205509038,0.5111487826417206,0.4709695053186644,0.5155511893576299,0.4872505243879292,0.5251527150144923,0.5187530495596813,0.4814834188343658,0.4959188995070346,0.5191335776741862,0.4863759257428776,0.4852323523666114,0.4951316376175476,0.5499362843160094,0.5400178582598782,0.5047190336376719,0.4848135508877084,0.5113781963260818,0.5131249505849057,0.5064614217263598,0.5345990439601521,0.5350897883327492,0.5672569982535118,0.5315570792737646,0.5330040140250276,0.5088049813888936,0.5299518500862432,0.5361101522335112,0.5182462680162093,0.4830219010444102,0.4659700894994006,0.5365268561445946,0.5328615944191906,0.5256541797677882,0.5320441809456479,0.499112782713255,0.5078119793675439,0.493680568197722,0.5368395225782483,0.5043901563157859,0.4803921444994869,0.5344107339927551,0.4980913074735582,0.4824923332733988,0.4722915745525395,0.4856611069448237,0.5327003870294942,0.4979749234350323,0.493396102498073,0.4993250991655174,0.4598179913737686,0.45419896536784915,0.5112710701496134,0.48647645505686576,0.49848240271958977,0.5253985525163137,0.5204408715279071,0.5148554781980147,0.526392491552399,0.4993747068326735,0.4685731686660936,0.5034894284657386,0.5050633905448121,0.5026401882035972,0.5037874687699805,0.5292051046616258,0.5043387240090212
Fscore,0.0039246303142948,0.0035436884703267,0.0026990419869846,0.0038347752416892,0.0033774935966035,0.003568053868725,0.004201512158569,0.0037327208609591,0.0036493978019839,0.0039475558918545,0.0036890859837737,0.0033359281355948,0.0035708191455125,0.0034992523353762,0.003290163889411,0.0034907128370176,0.0039985339450124,0.0034955064094405,0.0035373267423499,0.0037021004343299,0.003493993509018,0.0039027110293131,0.0041969536410295,0.0034654133270909,0.00289937129645,0.0033110288047911,0.0039710223382065,0.0038422033896458,0.0033968459833637,0.0034334419475419,0.0034163389155287,0.003186827006319,0.0029423544310529,0.0033910616242301,0.0038373661708043,0.0035182880953553,0.0039716863141838,0.0034744672524347,0.003995211568663,0.0037113448728953,0.0036463707057558,0.0039193306785715,0.0038322139739792,0.0034475901686926,0.0038505383949705,0.003777237539789,0.0041596119472133,0.0032431147704391,0.0040206793049764,0.0035040607435757,0.0038329172435602,0.003241249397716,0.0032986147786678,0.0040347437363815,0.0038597281865894,0.0041461474746339,0.0029082641597998,0.0033267361173125,0.0035055267415014,0.0037593891527439,0.0031737576066157,0.0034944749804043,0.0034754161936303,0.0035155871508725,0.003678679897157,0.0041065947922252,0.0036480314125391,0.0041723513951945,0.0039157363690984,0.0035120698373325,0.0035104891923285,0.0037376565598181,0.0034745183608591,0.0034205523324636,0.0034001746574713,0.003408199396868,0.003598011399695,0.0031961935966234,0.0027422011973644,0.0036758741226278,0.0034333571185196,0.0031295237343455,0.0031044708723837,0.0036451015828606,0.0028412475047373655,0.0042455671748721484,0.003505676226055398,0.003436945549774991,0.0038669020820039845,0.0037201329052741687,0.00372454979689861,0.003908939570394042,0.0034412122577808335,0.0031982514224914416,0.00350590468883013,0.003867490588955812,0.003497412722636044,0.003633096912873271,0.0038832953315579752,0.0032315990759011794
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061919504643962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981,0.0,0.0,0.0,0.006191950464396285,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.4716221833573366,0.5163765215369052,0.4527352543800146,0.537704650871534,0.5235384389901521,0.4733595512134784,0.5321695661631503,0.5428726073279775,0.5029843345424128,0.548897210056081,0.5031839310262416,0.4723388712722349,0.4983260952380426,0.5162045500018123,0.4974433991343115,0.478765713591338,0.5216803958463148,0.4986589484049616,0.4903784006992353,0.5416781121578539,0.5165321275248478,0.5168852203931845,0.5348437587651387,0.4851039846742813,0.4897808846538646,0.5248588006872766,0.5497367671727093,0.5510091319079561,0.4700277812701785,0.5231900327278781,0.502435992322612,0.5152414432238243,0.5040470640679917,0.4999234764284794,0.5286566232333303,0.4919602328570974,0.5017340504756139,0.5477640791000195,0.5587358827991912,0.5613491256350629,0.4769513690164731,0.5197171858102292,0.5263961366204833,0.5221266097325357,0.5142325221025883,0.4980980240061357,0.5187017995849776,0.5257870981512315,0.5659488818355397,0.4931640172605281,0.5176598466038613,0.4843958362059279,0.4897872482634697,0.5300349193789947,0.5048221651444456,0.5820604950126085,0.4652568758979796,0.5128832354630036,0.5256228572293288,0.4854373426439018,0.5256692021303736,0.5084624388997381,0.4486157987008982,0.4939388562028211,0.5326102615458566,0.5401073728104367,0.4747002631244477,0.5591928446501856,0.5124599430899096,0.4866045978388938,0.5132447545487909,0.5316748769887086,0.4770596050965233,0.4853817152276113,0.5423617273240983,0.4998857293278034,0.5064978462477219,0.4327778517017104,0.4631137764036077,0.5289678497140003,0.4872731200362813,0.4886177214810089,0.4831839016145439,0.5028331041616622,0.48955446364374083,0.5077925960012537,0.5218166843524876,0.5419826110613688,0.5330561730159062,0.4866548308543294,0.535835268468143,0.48831695937932645,0.42523445133304566,0.508089282004683,0.5275216219836656,0.5847292445557718,0.47370810959274645,0.48413253606935874,0.5563413363492378,0.510878345577596
NDCGk,0.2674548172175147,0.2599562529115221,0.2399389809947811,0.2454516608929322,0.272914452140712,0.2266389082144439,0.2506698583172329,0.2537553456012859,0.2526500859084535,0.2449865448041472,0.2382142043988427,0.2487474035938319,0.2371155190028387,0.2496045599107815,0.2566482245722441,0.2654331851924825,0.2900100261166292,0.2463727450171018,0.2513647715463769,0.250944746103629,0.2515906012888804,0.268351964366553,0.2373574184149832,0.2559857138788775,0.2342765369679587,0.2439472098828159,0.23982533110977,0.2618312111878008,0.2508051912050622,0.2480159948446024,0.256622124019119,0.232403290529219,0.2290454154960263,0.2304088174544796,0.2541306181942716,0.244035505275031,0.2535167404469681,0.2340486060597673,0.247804721536013,0.2505856374732149,0.2368213352746133,0.2552408165185972,0.2450766609977483,0.2437924941997122,0.245358103905804,0.254001937224226,0.2532618188680096,0.2641812898647439,0.2373063424643028,0.2460795347269456,0.239002626141785,0.2534458322312425,0.2342611126767199,0.2540726783138493,0.2701645210813266,0.2611439622641868,0.2444841456601763,0.2507430441831036,0.2553337869401566,0.257104688162009,0.2600132665865357,0.2311638526164376,0.2420775579825755,0.2489639243874908,0.2695799932497513,0.258495097977708,0.2424328967727718,0.2481792022355839,0.2712928356826266,0.2456605019127891,0.2428614067736905,0.2604974155752383,0.2464287107404817,0.2532303900776703,0.2501289505088651,0.2491050933702856,0.232787626133014,0.2533213278473283,0.2293337301327097,0.2557950721303222,0.2475550087442574,0.2453204299939003,0.2465896156728041,0.2487436364163189,0.23519470508658502,0.245911507601416,0.2409160932124141,0.2341553951704105,0.2682894105885239,0.24305324629776992,0.2466694126847263,0.23705715688336482,0.2416648119197583,0.2667040605381425,0.25134478107142183,0.2595319378251446,0.24752383566143457,0.23965902201873288,0.2568172501173841,0.2429836350689126
global AUC,0.4897908142274837,0.4675075990797793,0.4536951810988276,0.5552776764923603,0.5312143332327776,0.4507398636578531,0.5909390215892164,0.5627905870830298,0.5125428552609272,0.5198985325639495,0.5143733949380371,0.4820021522079045,0.4983628188356054,0.4363129659581744,0.4495053901943707,0.4720339627911518,0.5261695508197535,0.4498558650305448,0.4553285859908516,0.5354260298588186,0.4852976182181281,0.5573458874004472,0.574976985625001,0.456778056341917,0.5335524473603506,0.524226458174993,0.5733066200494197,0.5305334679825071,0.4694548523078153,0.5847807735202704,0.4928598709871634,0.4748608368440135,0.4717560057518308,0.4711682105772453,0.5207171315007317,0.4754145787305836,0.5648146189462135,0.5731913601962645,0.5362912807976316,0.5327994152057923,0.5095817898655477,0.5341108009777805,0.5921713061514574,0.5675730689488184,0.4994289139951963,0.5225573959146548,0.6019223264885557,0.5113683510077919,0.5958506820465885,0.4815331091029586,0.5653281585702885,0.4266551493701195,0.4405376288999661,0.5369207486416532,0.5542399702122287,0.6031257710237533,0.4377938328392599,0.4613200264178658,0.5601583247306172,0.4972695545659493,0.4736293041944127,0.5749912218376552,0.4683127304257172,0.4806707488505177,0.5589327071271192,0.5512720707664085,0.5039029111684725,0.6007978829080867,0.5145470867579196,0.5255960586945012,0.5098523447426553,0.56003786832566,0.4837386526774824,0.4676380976957753,0.5077878933977692,0.4803481449095398,0.4837149924930712,0.4508637120242761,0.4196343071203554,0.5199603732013122,0.4535725692109686,0.5128635376473804,0.4720072448286707,0.4823777910537701,0.4735626680253227,0.5506751858034615,0.5173529406751954,0.4984713950208479,0.5055765183229914,0.504765906369365,0.5085508006716686,0.5653886123465592,0.40209622884397717,0.48568883001023033,0.48738639811421647,0.5626190173277099,0.5008299945905733,0.491854095930485,0.5940598099385407,0.44883329725823573
global NDCG,0.4376867811228156,0.4415003778458657,0.4280362694091788,0.4429494311982289,0.4352193130747096,0.4252894360936637,0.4451537755679426,0.4392989032980623,0.4339895961073367,0.4438949922885123,0.4566606577224003,0.4400073127046441,0.4401666132163308,0.423574102183083,0.4334554392414822,0.4328109548681118,0.4357460224728923,0.4245053932833247,0.4319772631281026,0.4479515132068509,0.4318665378120597,0.4393120312739037,0.4437537051760864,0.435920976847771,0.4469226301122295,0.4434811983197764,0.4456088299626256,0.4738070068699005,0.431599328878867,0.4463501519785307,0.4295427773090726,0.4273390538564157,0.4347938966940723,0.4285069139117543,0.4434779707425715,0.4306633666648823,0.4416353983039804,0.4488290126812365,0.4499551996899087,0.4482861975845181,0.4319583906897375,0.4378872703010732,0.4448035057475287,0.4636328105934178,0.4369285342509225,0.434732336990394,0.4433798919187489,0.4403519549753113,0.4594278098962757,0.4342699359918242,0.4483353349544928,0.4321514916446846,0.4226506138996809,0.4440964166685506,0.4350577721312164,0.4672292848591478,0.4239009508170498,0.437364189341601,0.4495358748373778,0.4343173557673185,0.4324147808612243,0.4446243801930264,0.4306132244966316,0.4262333236522205,0.4500717785834575,0.4567852230692408,0.4379437032320706,0.4504246209895282,0.4372811532667555,0.4390082668463611,0.4472358673306557,0.4479843928685413,0.430168732462563,0.4294100520752357,0.4366812470814032,0.4347858573667126,0.4219905148368252,0.4212167276487055,0.4146912623253589,0.4438897973208484,0.4270792768512255,0.4374912120011008,0.4347376782261083,0.4331712319484748,0.4273830994347172,0.43944152543752313,0.4591968888670574,0.4365905288677509,0.43001367547248526,0.4298485810228014,0.44383911036390344,0.43452238774823,0.4301349282670662,0.4288395110437613,0.43317227242998635,0.456644045479691,0.43133702820045816,0.4286769044438544,0.44898172810010895,0.4258645848612067
