,1_SimpleBinaryClassifier,2_SimpleBinaryClassifier,3_SimpleBinaryClassifier,4_SimpleBinaryClassifier,5_SimpleBinaryClassifier,6_SimpleBinaryClassifier,7_SimpleBinaryClassifier,8_SimpleBinaryClassifier,9_SimpleBinaryClassifier,10_SimpleBinaryClassifier,11_SimpleBinaryClassifier,12_SimpleBinaryClassifier,13_SimpleBinaryClassifier,14_SimpleBinaryClassifier,15_SimpleBinaryClassifier,16_SimpleBinaryClassifier,17_SimpleBinaryClassifier,18_SimpleBinaryClassifier,19_SimpleBinaryClassifier,20_SimpleBinaryClassifier,21_SimpleBinaryClassifier,22_SimpleBinaryClassifier,23_SimpleBinaryClassifier,24_SimpleBinaryClassifier,25_SimpleBinaryClassifier,26_SimpleBinaryClassifier,27_SimpleBinaryClassifier,28_SimpleBinaryClassifier,29_SimpleBinaryClassifier,30_SimpleBinaryClassifier,31_SimpleBinaryClassifier,32_SimpleBinaryClassifier,33_SimpleBinaryClassifier,34_SimpleBinaryClassifier,35_SimpleBinaryClassifier,36_SimpleBinaryClassifier,37_SimpleBinaryClassifier,38_SimpleBinaryClassifier,39_SimpleBinaryClassifier,40_SimpleBinaryClassifier,41_SimpleBinaryClassifier,42_SimpleBinaryClassifier,43_SimpleBinaryClassifier,44_SimpleBinaryClassifier,45_SimpleBinaryClassifier,46_SimpleBinaryClassifier,47_SimpleBinaryClassifier,48_SimpleBinaryClassifier,49_SimpleBinaryClassifier,50_SimpleBinaryClassifier,51_SimpleBinaryClassifier,52_SimpleBinaryClassifier,53_SimpleBinaryClassifier,54_SimpleBinaryClassifier,55_SimpleBinaryClassifier,56_SimpleBinaryClassifier,57_SimpleBinaryClassifier,58_SimpleBinaryClassifier,59_SimpleBinaryClassifier,60_SimpleBinaryClassifier,61_SimpleBinaryClassifier,62_SimpleBinaryClassifier,63_SimpleBinaryClassifier,64_SimpleBinaryClassifier,65_SimpleBinaryClassifier,66_SimpleBinaryClassifier,67_SimpleBinaryClassifier,68_SimpleBinaryClassifier,69_SimpleBinaryClassifier,70_SimpleBinaryClassifier,71_SimpleBinaryClassifier,72_SimpleBinaryClassifier,73_SimpleBinaryClassifier,74_SimpleBinaryClassifier,75_SimpleBinaryClassifier,76_SimpleBinaryClassifier,77_SimpleBinaryClassifier,78_SimpleBinaryClassifier,79_SimpleBinaryClassifier,80_SimpleBinaryClassifier,81_SimpleBinaryClassifier,82_SimpleBinaryClassifier,83_SimpleBinaryClassifier,84_SimpleBinaryClassifier,85_SimpleBinaryClassifier,86_SimpleBinaryClassifier,87_SimpleBinaryClassifier,88_SimpleBinaryClassifier,89_SimpleBinaryClassifier,90_SimpleBinaryClassifier,91_SimpleBinaryClassifier,92_SimpleBinaryClassifier,93_SimpleBinaryClassifier,94_SimpleBinaryClassifier,95_SimpleBinaryClassifier,96_SimpleBinaryClassifier,97_SimpleBinaryClassifier,98_SimpleBinaryClassifier,99_SimpleBinaryClassifier,100_SimpleBinaryClassifier
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028,0.004049670655826028
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.4586222771511936,0.46529645905086475,0.45717635893731,0.464542692591651,0.4590108172038891,0.45517266559903125,0.455582362174844,0.4613677543633885,0.44925863750172906,0.47039073483758687,0.45884077064335016,0.477140441454133,0.466112619650962,0.4676209021006573,0.455245285506907,0.48180811879521823,0.44845414684703916,0.4700506875384696,0.46539459602109756,0.4393763343137656,0.4728433052816086,0.46635662083826307,0.4649818905939886,0.4781655309191526,0.46595319572279065,0.4591232523720541,0.4684951500097775,0.44948278274549713,0.45901410958119043,0.4488797651110984,0.4571095865588006,0.47759147887307396,0.4622931311053454,0.4634461011800458,0.43734336589507766,0.4549329866433185,0.4579216437438925,0.45149737833316544,0.47015975159038853,0.4516717968675261,0.46619753139761577,0.46437747859726447,0.4674529340325855,0.4578867226185277,0.46065016930102665,0.454427557034345,0.467779509269551,0.4588299083041091,0.45498460688811826,0.47173736591788523,0.46547661236335935,0.4549665847555751,0.4480789391816657,0.45533859180226577,0.45092552250074636,0.4710695091131448,0.4573244698503549,0.464067581340445,0.4513579870036827,0.4574115406454268,0.46208413963763273,0.44306633651203353,0.4480705526557152,0.4508854210370542,0.4698318745883321,0.4507326307636026,0.45808122268264106,0.4671775742963326,0.4799724045739182,0.4661845622307402,0.4738484499549281,0.45303175616885455,0.44937891369616,0.46182335145024644,0.4498014654421624,0.44335852508664575,0.4544066636061967,0.4591544336836269,0.46867702470852257,0.4627564157758725,0.4351098255793515,0.45993620405585295,0.4500707862638024,0.452590397823672,0.46885631881088846,0.4221735104784118,0.46456738662442915,0.4514921620458411,0.45483540764988556,0.4630565876693899,0.45493623167498015,0.45309238094440835,0.46507829885285806,0.45420514232820236,0.45224788567787655,0.4568461376734217,0.458937517361346,0.4636445578192967,0.4612940941144416,0.45901184452905197
NDCGk,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795,0.24538664018780795
global AUC,0.8966409439023377,0.8943159214092888,0.9036368142978627,0.9039513477098363,0.8949844720014299,0.8955014537144802,0.8954492459134968,0.8977154521289137,0.8974697772056113,0.9006755483924458,0.8963223835804469,0.8961089573548235,0.9014058727852706,0.8950965905306663,0.8966797927220805,0.9046350869373092,0.8952013653797831,0.8971953374465294,0.8965050315153321,0.8996740675924014,0.898266721058356,0.9011919536391386,0.8973110150289292,0.9021813620640156,0.8989208015094663,0.898522396419773,0.8952155347557582,0.8956595224606164,0.8956248592879039,0.8959190743494226,0.8959638966973623,0.896748225126922,0.8980478727071386,0.8973097033591011,0.8981200061930867,0.8961835805070691,0.8975221771620471,0.8949509032793384,0.9007239715664737,0.89637882715597,0.8973556368668315,0.8969562292269512,0.8976679396046391,0.8954719787389851,0.8967911092111672,0.8966604017305486,0.9016953591517409,0.8958301230840889,0.8972676547333452,0.897662275196083,0.8967412156301986,0.8972955423377111,0.8965632629720219,0.896653726417221,0.8975525293689559,0.9034090766683213,0.8966687312516849,0.8957702791925153,0.8959158996071641,0.8975946197676362,0.8963896463434037,0.8988749599021698,0.8977309665930562,0.8972263580202294,0.8964924077375619,0.8957356160198029,0.8958491464738857,0.8966003406197678,0.9039873225523765,0.8963182981884353,0.8957525758271314,0.89903158330512,0.8963059835303061,0.8959052976389374,0.8959974487102844,0.8966751726366359,0.8943320123397889,0.8965108797247558,0.8974397174091737,0.8972632936400321,0.897730055943303,0.8986457100927631,0.8970391986095031,0.8959721092543103,0.896851855397909,0.898918529062376,0.8970510454108783,0.8980572716151408,0.8954669743426353,0.8970654069423057,0.8970835948736133,0.8967878509230596,0.8969079230171119,0.8947855994626865,0.8973277492624657,0.896535383722241,0.895635661766168,0.895738673797873,0.8978458003623818,0.8977585617869509
global NDCG,0.4599825852293535,0.45900277926323274,0.46600730491148923,0.46840964096410226,0.45866803652940435,0.45856487016929126,0.4591948118377683,0.46043688389714116,0.4589682799664736,0.46650583631199183,0.46001042489686483,0.4591161081423544,0.46761197480618405,0.4593825739299681,0.45924640699365293,0.4700593786233668,0.45848522502273403,0.45994416560925977,0.4597866461639093,0.4676459505416843,0.4610743218063217,0.4706524602773804,0.46046750476168463,0.4683046467422624,0.4609665694274992,0.46131163177756873,0.4593061454700715,0.45848335074420843,0.4588654025209138,0.4596575651837551,0.4591264707910036,0.4605548398690438,0.4604811344701571,0.4598409848795123,0.46615877989868293,0.4594528661492414,0.4599978218003702,0.4590612634376141,0.466881153282782,0.46010301281939275,0.4607315498916663,0.4601216750809042,0.4602746104469609,0.4586707005766359,0.45959853546507035,0.4590859538939431,0.4679649423781179,0.45958253269123706,0.4602867060499484,0.46012071922859094,0.45958826568322353,0.4594408643152506,0.46191428666134765,0.4591309296050243,0.4599315480824844,0.46736530569844614,0.45951210883202226,0.45940750900795396,0.4584902035888292,0.46038040701514976,0.4599611389215967,0.47976633387580014,0.4623419394195589,0.46149585634286855,0.4601630237376705,0.459249620493917,0.45853297018255085,0.4588033045349139,0.4722157904803122,0.4598994223652203,0.458781588132844,0.46088211388375017,0.45869677766094846,0.4588773355768285,0.45938985939710747,0.4596457518542986,0.45808158322200354,0.4595997588799037,0.4603968290216946,0.45974433516084223,0.46430404960510036,0.460399282585891,0.46148254170173164,0.459150552289001,0.45963132554819225,0.46494550398143836,0.45914877699731,0.4599547576962236,0.45907198052458753,0.4596237120065458,0.4591045554482667,0.45916501067035603,0.4599047369213201,0.45842768966118885,0.4656704102465771,0.459890529849486,0.45935550749541115,0.4587142166755768,0.4600998746226681,0.45984844692495963
