,1_ALSWR,2_ALSWR,3_ALSWR,4_ALSWR,5_ALSWR,6_ALSWR,7_ALSWR,8_ALSWR,9_ALSWR,10_ALSWR,11_ALSWR,12_ALSWR,13_ALSWR,14_ALSWR,15_ALSWR,16_ALSWR,17_ALSWR,18_ALSWR,19_ALSWR,20_ALSWR,21_ALSWR,22_ALSWR,23_ALSWR,24_ALSWR,25_ALSWR,26_ALSWR,27_ALSWR,28_ALSWR,29_ALSWR,30_ALSWR,31_ALSWR,32_ALSWR,33_ALSWR,34_ALSWR,35_ALSWR,36_ALSWR,37_ALSWR,38_ALSWR,39_ALSWR,40_ALSWR,41_ALSWR,42_ALSWR,43_ALSWR,44_ALSWR,45_ALSWR,46_ALSWR,47_ALSWR,48_ALSWR,49_ALSWR,50_ALSWR,51_ALSWR,52_ALSWR,53_ALSWR,54_ALSWR,55_ALSWR,56_ALSWR,57_ALSWR,58_ALSWR,59_ALSWR,60_ALSWR,61_ALSWR,62_ALSWR,63_ALSWR,64_ALSWR,65_ALSWR,66_ALSWR,67_ALSWR,68_ALSWR,69_ALSWR,70_ALSWR,71_ALSWR,72_ALSWR,73_ALSWR,74_ALSWR,75_ALSWR,76_ALSWR,77_ALSWR,78_ALSWR,79_ALSWR,80_ALSWR,81_ALSWR,82_ALSWR,83_ALSWR,84_ALSWR,85_ALSWR,86_ALSWR,87_ALSWR,88_ALSWR,89_ALSWR,90_ALSWR,91_ALSWR,92_ALSWR,93_ALSWR,94_ALSWR,95_ALSWR,96_ALSWR,97_ALSWR,98_ALSWR,99_ALSWR,100_ALSWR
ACC,0.20739549839228297,0.2170418006430868,0.21141479099678456,0.19533762057877813,0.20659163987138263,0.21382636655948553,0.20176848874598072,0.1945337620578778,0.19935691318327975,0.20659163987138263,0.1985530546623794,0.20096463022508038,0.19533762057877813,0.21382636655948553,0.20096463022508038,0.19614147909967847,0.204983922829582,0.1985530546623794,0.20819935691318328,0.21221864951768488,0.2162379421221865,0.1977491961414791,0.21141479099678456,0.19614147909967847,0.182475884244373,0.21784565916398713,0.20980707395498394,0.19131832797427653,0.20659163987138263,0.20337620578778134,0.21382636655948553,0.20739549839228297,0.20016077170418006,0.20096463022508038,0.20418006430868169,0.204983922829582,0.2057877813504823,0.22508038585209003,0.1945337620578778,0.21945337620578778,0.20980707395498394,0.22186495176848875,0.19533762057877813,0.20016077170418006,0.19614147909967847,0.19935691318327975,0.20176848874598072,0.21543408360128619,0.2090032154340836,0.22990353697749197,0.1945337620578778,0.1945337620578778,0.1864951768488746,0.2090032154340836,0.1937299035369775,0.19614147909967847,0.2090032154340836,0.19051446945337622,0.21061093247588425,0.1985530546623794,0.19292604501607716,0.18890675241157556,0.20819935691318328,0.19533762057877813,0.20096463022508038,0.20016077170418006,0.21463022508038584,0.19051446945337622,0.2202572347266881,0.1977491961414791,0.20739549839228297,0.20980707395498394,0.19212218649517684,0.19212218649517684,0.20819935691318328,0.2057877813504823,0.20739549839228297,0.21141479099678456,0.1985530546623794,0.22427652733118972,0.22186495176848875,0.1985530546623794,0.20016077170418006,0.21382636655948553,0.21141479099678456,0.19212218649517684,0.20659163987138263,0.1985530546623794,0.22990353697749197,0.2090032154340836,0.19051446945337622,0.19212218649517684,0.21302250803858522,0.20176848874598072,0.20096463022508038,0.21061093247588425,0.20096463022508038,0.20739549839228297,0.20418006430868169,0.1945337620578778
AUC,0.4963101986983694,0.5032840260795695,0.499511942506325,0.49840127208612267,0.5005514561547171,0.5013532359436657,0.4915297647595216,0.49382430956862017,0.49566101355248493,0.49926177519681836,0.4943167430349015,0.4938099881167026,0.49376424162378435,0.5037660160315451,0.4938563745154154,0.4923269918325872,0.5043223701426547,0.49611348033478186,0.4975800390513465,0.5004181706693677,0.5047502146998506,0.4973789743190228,0.5011026340622516,0.4964193470302886,0.4906780323735492,0.4970107909398271,0.49753163323776617,0.4935095253649087,0.4917504778830504,0.49521009665717786,0.5000812638269289,0.5034939909632726,0.49994221987158494,0.4979930805762028,0.49953633579446044,0.5032649979987457,0.49661214391028585,0.5074150756202738,0.49954866518971086,0.5023605826171568,0.5016109412291782,0.50410428301376,0.4927802795012471,0.49488953735805213,0.4934305437620097,0.4980580088625917,0.49771822569048213,0.5024979513885749,0.4996860634499266,0.5113086108440171,0.49391941072780543,0.48916383750138803,0.4929111935718398,0.49955450210542435,0.4977751767298384,0.4905218314139784,0.49874675019396597,0.48809504881972643,0.49849919608207316,0.49875640337138755,0.4935662115747436,0.4891641194452174,0.5008006645915201,0.49623446570422153,0.4938643557203729,0.49412947071945207,0.5018424124384333,0.4939547600165639,0.5069732874147684,0.48993238106249853,0.5081193656278706,0.4985658620245793,0.4948930461466701,0.49066216139649416,0.4933828699691483,0.49664667054477085,0.495688241526142,0.4976153528639938,0.4955460478420036,0.5069472124001483,0.5040144405839528,0.4949249783032536,0.4988217932400028,0.5063946847215168,0.5024609264599174,0.4954306734390434,0.49732568992332626,0.4990695077740277,0.5033372156905694,0.5000358096690073,0.48957892247741047,0.4913565013384045,0.5053063717325541,0.49798333824307855,0.49507718862134326,0.4995188776110493,0.4972947448181083,0.4992608330026125,0.5034003961266896,0.49096571291908925
Fscore,0.0002996368257136099,0.0002930543445602759,0.00030026910001560564,0.00026339195504619607,0.00028409221844960455,0.0002850113432776001,0.00028455393228353276,0.0002723321814290539,0.00028888739041271175,0.00028470380160548016,0.00027236191517792925,0.00027892407285651704,0.0002600470401405326,0.00028812313897726095,0.00028418951278911414,0.0002848124231588527,0.00025826928829896314,0.0002729419154252108,0.00029115512970799887,0.0002885508053458995,0.00029238495021667734,0.000276585789943326,0.0002946970931109352,0.00025478813140338734,0.00023724539441814376,0.00031722840262974543,0.00029935147574205773,0.0002661733079551056,0.00030233290663104904,0.00028319083960729857,0.00028342545426959554,0.00028252889231592193,0.0002541555799441593,0.0002839137341719388,0.00027558742827632493,0.00026730212105894414,0.000286242476272559,0.0003012743853166686,0.0002757073210651763,0.0003008036803339165,0.0002821119552123728,0.0002994490273423391,0.00026853261433177066,0.0002848944633322328,0.0002657416558314744,0.0002799870119806367,0.0002719769243917835,0.0002927319210692864,0.00028489837058251445,0.0003090774395830884,0.00025793232874416497,0.0002653982421713636,0.00025165438378248493,0.0002939076501272136,0.0002697198639666334,0.00028393286633593217,0.0002959417855169613,0.00027069262703777365,0.0002860080194425979,0.0002621765288578281,0.0002661681376333781,0.00028113913775028163,0.0002843067364378466,0.00026304126098244154,0.000285573787435034,0.00027312187958540747,0.0002908746753065455,0.00025589302310412667,0.00031323811197516224,0.0002792555727138453,0.00026471538229160403,0.0002872115982218537,0.00026211786449363203,0.0002692412077211077,0.00029545551877117367,0.0002988816283536857,0.00028619383573917813,0.00029014233772424756,0.00026801850449564824,0.00030565296114053614,0.00031103105965132134,0.00027872516086737857,0.0002665176989971834,0.0002849722362566796,0.0002828332122874698,0.00026205301734298257,0.00029558670648059047,0.0002637145215963321,0.00031197343237697104,0.00029131689020735733,0.000272758348213657,0.000247434692028061,0.0002739938050496093,0.00027100869589199745,0.0002972423489787526,0.0002944333045860443,0.0002740159418051748,0.000294556508893749,0.0002581193864322874,0.00026913906708412455
HR@10,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.1578745493482226,0.16842331849419256,0.1751745103023824,0.15805708985920225,0.16692940478595544,0.17218811813662788,0.1621930213729147,0.1610878267127631,0.16262938085586093,0.16342553799122184,0.15837343129620227,0.16179873547809417,0.1543563014505214,0.17169334840490905,0.15853998513377401,0.16144482060595464,0.16651658706708386,0.16365945453401887,0.1615783695924394,0.17254603758090237,0.16731915428765276,0.16312054813503116,0.17284103593360753,0.15971561412053223,0.15626719438601863,0.17239012359753167,0.16432211758717943,0.16120899668850855,0.16068690552320686,0.16586141197656165,0.1693220374478801,0.17211435265020938,0.16486335735630714,0.16029069913085414,0.16310207558406284,0.1686931703564145,0.17172409264107016,0.16507775108568912,0.16244382908991867,0.17258848218179335,0.15731162310329758,0.16977365449331439,0.1597976288378828,0.16551466346302837,0.15488299020691998,0.16948624553265415,0.15895163048123448,0.16460606152274992,0.16356844653414623,0.18273612870098835,0.156535785225832,0.15394241397445277,0.15370586998533478,0.16774321382742705,0.1686203965171635,0.15792307016200569,0.16615247345671494,0.1638490414397232,0.15811526277063764,0.15928701740689466,0.16411571064055194,0.15559899338269784,0.16845857594905694,0.16014263001009074,0.1627010646339572,0.16404919183182465,0.16737419822508662,0.16809050923874255,0.16526648056992274,0.16465651341034834,0.16767716749339825,0.16529094775527997,0.16232735485947805,0.15855577956534314,0.1661661704594197,0.16626485215300077,0.16105027654911067,0.1658588088326622,0.16549858526234418,0.17691616981036082,0.17689417318402345,0.16538493010110997,0.16212821484205597,0.18314085300420607,0.17119982474927445,0.16360470067043142,0.16698692940176227,0.16168156823309957,0.17227612747704554,0.1651411828231604,0.1577810735775828,0.15790632424554596,0.16597624795588345,0.1658237148236395,0.17023543275837918,0.16672948900859128,0.16610440295605222,0.16895687729497763,0.16063289706082579,0.1633368294263341
NDCGk,0.16872672011491835,0.1688778433514544,0.1712384495094033,0.16925132941687274,0.1711276100940234,0.1672670655680461,0.16593861400022017,0.16668231084079846,0.16947090568578735,0.17095840604489754,0.16636768055445697,0.1693557183828713,0.16651674835743555,0.16997098245859765,0.1681599865073413,0.16948502900663606,0.1720642788626959,0.1659564153055243,0.16733059091739416,0.16842228861907987,0.16857765012584353,0.16921903708853192,0.16833328059231978,0.16945144423775435,0.1692203588757291,0.17015857089780412,0.16922950687395194,0.1658170734663366,0.16576684280646406,0.17191185824811847,0.16762416835349767,0.16986838605001242,0.1671342664484188,0.17059126559961105,0.16719604175375097,0.17034520804688327,0.16754396444439748,0.1711015902590106,0.17357237384578075,0.17412153242786826,0.1705553876954358,0.16760592585941597,0.16668955531612908,0.16859941238940415,0.1668395868547309,0.16857095017913146,0.16785300315763152,0.1682394224444503,0.16841157071744584,0.17166902848410595,0.1674276400411767,0.16763520705858664,0.167478419695104,0.17025118359344515,0.1669753612842787,0.1694715606888629,0.1675510210116563,0.16699748695668795,0.1678119958173425,0.1679800028049411,0.16891309148292272,0.16727345582350672,0.16742789428555782,0.16525891989992292,0.1676532505047129,0.16833983764777305,0.17197482825491706,0.16698171919548685,0.16742174776903185,0.17001681272689068,0.17212770534651992,0.16757470433561955,0.16759060737865836,0.16731708309565788,0.17165245594214296,0.16890690105382705,0.17119966890892843,0.16899446882404418,0.16782262812917267,0.16877298531960533,0.16779863046251794,0.1681364197396244,0.16981746837413725,0.17015942676525458,0.17019618576549128,0.16841971630223562,0.16739501910598364,0.16935869453871769,0.16670878446818427,0.17103249326479272,0.16715506789890458,0.1667825973741798,0.16807920915825567,0.168106093334791,0.1692463447862627,0.1692886724188946,0.17166442142803087,0.17279576599076096,0.16795142863828003,0.1707695120950954
global AUC,0.2543782090567014,0.2625541634719858,0.2587958446306402,0.2446171587140288,0.25219236516631915,0.2580506574503277,0.2481719099245917,0.24393223397531172,0.24747578321865382,0.2535585290523274,0.24649306554253508,0.24619753476523537,0.24374381259720124,0.25801405998442095,0.24724730160892877,0.2453246234902172,0.25239800284065306,0.24668510224949655,0.2537145841964421,0.25715484008456363,0.26192040978729547,0.24594276979337876,0.25862531834418784,0.24327722168528426,0.23217062731126015,0.2638421088977528,0.25569328099549804,0.23991962038087955,0.2529813008720789,0.25006330006959077,0.25993935010206876,0.25511834519317195,0.24682640348126073,0.2494344473223324,0.25223943101885743,0.2507427224625428,0.2530398605517643,0.26802822412844135,0.24485605048580428,0.26528952752079443,0.2551825020485312,0.2670276889934394,0.24405287555333846,0.24778719112680803,0.2440334523735143,0.2475481991203105,0.2485807403321936,0.2597139086999092,0.25544554129843233,0.2731886144709672,0.24176551624568737,0.24260196714052168,0.23700965727301088,0.2553013258895255,0.24177560801509093,0.2440060472669185,0.25523040761254095,0.23852043824383473,0.2568193045978241,0.244922651299536,0.24123241566484738,0.23759055016245167,0.2568830845902817,0.24631540072588254,0.24801210138320964,0.24713419704325743,0.2594355782500658,0.2392796499323554,0.2676918725148707,0.24494923585718084,0.2565200879834251,0.2557251499866565,0.24169660855930603,0.24029858280666613,0.2544707571514375,0.2529027753201641,0.25313852247320523,0.255168291811279,0.2460893714274235,0.2675188462565246,0.26739309295334124,0.24757691317445435,0.24830626891915333,0.2623249713749656,0.2571371351440698,0.24079689284900496,0.25458178332066417,0.2459540705212816,0.2741395098338617,0.2560495142153425,0.24119264360805898,0.23808799224088528,0.25985883508745794,0.2491601628667028,0.24811301195271895,0.2562699158746339,0.2474343368980627,0.25385968574908135,0.2513435716429527,0.24246449939553322
global NDCG,0.45196187512429015,0.4620225906922789,0.4559506134058429,0.4541551220555084,0.4535851036215113,0.4601339130422618,0.4507282724988083,0.45062490162308666,0.45343672405352,0.45124356107553054,0.4499045055070851,0.45553855169153523,0.45416734550248306,0.4591301697809553,0.4522360977236903,0.4539391247155508,0.45360477339920513,0.45464504432389885,0.4573296070187435,0.45329813272027725,0.4579930092114631,0.45598188707567744,0.4565103266710475,0.45202789430796625,0.4479874016264203,0.46703955226205407,0.4580795658642895,0.4518938752527588,0.4552031661691867,0.4577326299492942,0.45694537799830737,0.4585831354669191,0.45297224677177006,0.454742649921242,0.4584321844660126,0.4498275907129607,0.45278172648402965,0.45584790450634677,0.4531447091954025,0.45778889666057526,0.4541910608399224,0.45873006293203344,0.4545031509411887,0.4554976853823864,0.45106721655941534,0.4555064521194388,0.45328111713196784,0.4562115590440374,0.4555452462904,0.45822815493569274,0.4528227761317375,0.45520193698546657,0.45016416671077225,0.4572320347089452,0.45252290591306626,0.45834709596703904,0.46020004979646584,0.4557288554824997,0.45542320787410684,0.45587120634311024,0.45105721338857274,0.45026972908227036,0.4569764028389646,0.4506171947562921,0.4507232490768482,0.4545719009716767,0.45713990142221833,0.4505804662937361,0.4581898632449491,0.45448449365816773,0.45465501961567406,0.45434122065576976,0.45244634378445203,0.45184377864117997,0.4564617574053895,0.4552093117545264,0.4547978554449361,0.4532158222021661,0.451542528569333,0.4604979422461272,0.4587987457462639,0.44796455099398724,0.4544344840899314,0.45601805618565106,0.4572197631633528,0.45302632398643194,0.455378570223971,0.4549166748259047,0.461815606771257,0.45428135616344123,0.45190171520621897,0.4499058133693249,0.4572211181472571,0.45439541869262623,0.4565348505434454,0.4556194129093989,0.4517708145016619,0.45308991412604455,0.4520170493343047,0.4508064858451843
