,1_BNNR,2_BNNR,3_BNNR,4_BNNR,5_BNNR,6_BNNR,7_BNNR,8_BNNR,9_BNNR,10_BNNR,11_BNNR,12_BNNR,13_BNNR,14_BNNR,15_BNNR,16_BNNR,17_BNNR,18_BNNR,19_BNNR,20_BNNR,21_BNNR,22_BNNR,23_BNNR,24_BNNR,25_BNNR,26_BNNR,27_BNNR,28_BNNR,29_BNNR,30_BNNR,31_BNNR,32_BNNR,33_BNNR,34_BNNR,35_BNNR,36_BNNR,37_BNNR,38_BNNR,39_BNNR,40_BNNR,41_BNNR,42_BNNR,43_BNNR,44_BNNR,45_BNNR,46_BNNR,47_BNNR,48_BNNR,49_BNNR,50_BNNR,51_BNNR,52_BNNR,53_BNNR,54_BNNR,55_BNNR,56_BNNR,57_BNNR,58_BNNR,59_BNNR,60_BNNR,61_BNNR,62_BNNR,63_BNNR,64_BNNR,65_BNNR,66_BNNR,67_BNNR,68_BNNR,69_BNNR,70_BNNR,71_BNNR,72_BNNR,73_BNNR,74_BNNR,75_BNNR,76_BNNR,77_BNNR,78_BNNR,79_BNNR,80_BNNR,81_BNNR,82_BNNR,83_BNNR,84_BNNR,85_BNNR,86_BNNR,87_BNNR,88_BNNR,89_BNNR,90_BNNR,91_BNNR,92_BNNR,93_BNNR,94_BNNR,95_BNNR,96_BNNR,97_BNNR,98_BNNR,99_BNNR,100_BNNR
ACC,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084
HR@10,0.0033140016570008283,0.0033140016570008283,0.004971002485501243,0.0016570008285004142,0.004142502071251036,0.0033140016570008283,0.0024855012427506215,0.0033140016570008283,0.004142502071251036,0.0033140016570008283,0.0024855012427506215,0.0033140016570008283,0.0024855012427506215,0.0024855012427506215,0.004142502071251036,0.0024855012427506215,0.0033140016570008283,0.0033140016570008283,0.0024855012427506215,0.0033140016570008283,0.0033140016570008283,0.0024855012427506215,0.004142502071251036,0.0033140016570008283,0.0033140016570008283,0.0033140016570008283,0.004142502071251036,0.00579950289975145,0.0033140016570008283,0.004971002485501243,0.0033140016570008283,0.0016570008285004142,0.004142502071251036,0.0024855012427506215,0.004142502071251036,0.0024855012427506215,0.004142502071251036,0.0033140016570008283,0.0033140016570008283,0.0033140016570008283,0.0033140016570008283,0.0033140016570008283,0.004142502071251036,0.0033140016570008283,0.004142502071251036,0.004142502071251036,0.0033140016570008283,0.004971002485501243,0.0033140016570008283,0.0024855012427506215,0.0033140016570008283,0.004142502071251036,0.0033140016570008283,0.004142502071251036,0.0016570008285004142,0.004142502071251036,0.0033140016570008283,0.0033140016570008283,0.004142502071251036,0.0016570008285004142,0.0033140016570008283,0.0033140016570008283,0.0024855012427506215,0.0024855012427506215,0.004142502071251036,0.0033140016570008283,0.0033140016570008283,0.0024855012427506215,0.0033140016570008283,0.0033140016570008283,0.0024855012427506215,0.0033140016570008283,0.004971002485501243,0.0008285004142502071,0.0033140016570008283,0.0024855012427506215,0.0024855012427506215,0.0024855012427506215,0.00579950289975145,0.004142502071251036,0.0024855012427506215,0.004142502071251036,0.004142502071251036,0.0024855012427506215,0.0033140016570008283,0.0016570008285004142,0.0024855012427506215,0.004142502071251036,0.0033140016570008283,0.0033140016570008283,0.0033140016570008283,0.0024855012427506215,0.0024855012427506215,0.0033140016570008283,0.0033140016570008283,0.004971002485501243,0.0024855012427506215,0.0033140016570008283,0.0033140016570008283,0.0033140016570008283
HR@2,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0,0.0008285004142502071,0.0016570008285004142,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0,0.0,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0016570008285004142,0.0016570008285004142,0.0008285004142502071,0.0,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0,0.0008285004142502071,0.0016570008285004142,0.0016570008285004142,0.0016570008285004142,0.0008285004142502071,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0016570008285004142,0.0,0.0008285004142502071,0.0008285004142502071,0.0,0.0008285004142502071,0.0016570008285004142,0.0016570008285004142,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0008285004142502071,0.0016570008285004142,0.0008285004142502071,0.0,0.0008285004142502071,0.0008285004142502071,0.0,0.0008285004142502071,0.0016570008285004142,0.0,0.0,0.0016570008285004142,0.0008285004142502071
HR@5,0.0016570008285004142,0.0016570008285004142,0.0016570008285004142,0.0016570008285004142,0.0016570008285004142,0.0024855012427506215,0.0016570008285004142,0.0024855012427506215,0.0024855012427506215,0.0024855012427506215,0.0024855012427506215,0.0016570008285004142,0.0016570008285004142,0.0024855012427506215,0.0024855012427506215,0.0008285004142502071,0.0024855012427506215,0.0016570008285004142,0.0016570008285004142,0.0016570008285004142,0.0024855012427506215,0.0008285004142502071,0.0016570008285004142,0.0024855012427506215,0.0008285004142502071,0.0016570008285004142,0.0024855012427506215,0.0024855012427506215,0.0024855012427506215,0.0016570008285004142,0.0024855012427506215,0.0008285004142502071,0.0016570008285004142,0.0008285004142502071,0.0016570008285004142,0.0016570008285004142,0.0024855012427506215,0.0024855012427506215,0.0024855012427506215,0.0016570008285004142,0.0024855012427506215,0.0024855012427506215,0.0024855012427506215,0.0016570008285004142,0.0024855012427506215,0.0024855012427506215,0.0024855012427506215,0.0016570008285004142,0.0016570008285004142,0.0,0.0008285004142502071,0.0024855012427506215,0.0024855012427506215,0.0024855012427506215,0.0008285004142502071,0.0008285004142502071,0.0016570008285004142,0.0008285004142502071,0.0016570008285004142,0.0016570008285004142,0.0016570008285004142,0.0016570008285004142,0.0008285004142502071,0.0008285004142502071,0.0024855012427506215,0.0016570008285004142,0.0033140016570008283,0.0024855012427506215,0.0008285004142502071,0.0016570008285004142,0.0008285004142502071,0.0016570008285004142,0.0016570008285004142,0.0,0.0016570008285004142,0.0016570008285004142,0.0008285004142502071,0.0008285004142502071,0.0033140016570008283,0.0033140016570008283,0.0016570008285004142,0.0024855012427506215,0.0024855012427506215,0.0008285004142502071,0.0008285004142502071,0.0,0.0008285004142502071,0.0008285004142502071,0.0024855012427506215,0.0024855012427506215,0.0008285004142502071,0.0008285004142502071,0.0024855012427506215,0.0016570008285004142,0.0016570008285004142,0.0033140016570008283,0.0008285004142502071,0.0008285004142502071,0.0016570008285004142,0.0024855012427506215
Lin's AUC,0.7453358315912827,0.7641181985230903,0.7520570784701779,0.7626868087886465,0.7504853273824863,0.7620009749440221,0.7641092068093654,0.7691202393306329,0.7576037464303345,0.7566794584703853,0.7455425497165421,0.7596357715604717,0.7592258217005106,0.7668304137206171,0.7460665149733002,0.7561164763750816,0.759604647198875,0.7596334159958806,0.7641549096307421,0.7502188039138948,0.7484184927895755,0.75607022764391,0.7548421611412269,0.753252371811529,0.7546623899028059,0.7459899436807422,0.7680489859153155,0.7647302448166223,0.7561364782054147,0.7743078248789204,0.7608808015891778,0.7560599720352541,0.7558263314389857,0.7457220979744079,0.7424336646063968,0.7644329459695454,0.7578280565516434,0.7538000758218825,0.7595253643953986,0.7461302735895976,0.7640725696923844,0.7572050128722058,0.7665331943464493,0.7562639520038069,0.7538512468397087,0.7566957251072098,0.7491829129362058,0.7605773558028066,0.7682676468921175,0.758159359948035,0.7537233356439852,0.7654139712549682,0.7421715048582329,0.7543466875717285,0.7600307567472301,0.7654646041160916,0.7545438516732575,0.7567190668684873,0.7578795458342488,0.7558827639656553,0.7566119405078169,0.7516255683550008,0.7647917084105303,0.7607677208969083,0.7659936706089435,0.7580326173718023,0.7491298169161694,0.7590012918099114,0.763792315053522,0.7708835037093051,0.7613443674246216,0.7496805570129411,0.7473651539970269,0.7588737522646881,0.7548474363302885,0.7537945493630165,0.7676919523031429,0.7709583992229332,0.7450892782803697,0.7571861753719519,0.7521569313409003,0.7544306696798558,0.7667872550297856,0.75440536324403,0.7505087631262317,0.762140200979269,0.750605566239172,0.7712628017585538,0.7435859159949161,0.760594358988275,0.7497289403799149,0.7519537454905051,0.7443427602478314,0.7535228807968942,0.7555859202017585,0.7578274483380253,0.74612002004778,0.7668944045333109,0.7591199997824163,0.7571754003798208
NDCGk,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868
global AUC,0.9572925993455357,0.9591465213583159,0.9577175036683365,0.9596985083227353,0.9585967140077568,0.9588215149395225,0.9593995575268889,0.959353996177876,0.95856988058302,0.9570603535289164,0.9570326600018212,0.9585907593773754,0.9584704899944567,0.9603304199487329,0.9578257512721033,0.9585803968759526,0.9587961157557366,0.9588418326159729,0.9581111470414919,0.9585483183254365,0.9569269283387148,0.9589662966254751,0.958916299152987,0.9579133141634526,0.9580827874939756,0.9575125860625581,0.9590141260307499,0.9582591450827935,0.9581386098813223,0.9595744314944148,0.9590673710591012,0.9579553680342099,0.9573497532823777,0.9584239474261296,0.9569653378911673,0.9588048175053904,0.9583356182796373,0.9581057756396164,0.9587164065496765,0.9574652897684282,0.9590230481493883,0.9591526231470271,0.9590136585143866,0.9590436503155646,0.9581753375540986,0.958293628283948,0.9578082652265542,0.958579241228568,0.9582255632571183,0.9580908212578216,0.9583893099421182,0.960276713054505,0.957181096570032,0.9581784502352988,0.9602719831057166,0.959501303877096,0.9588516511966239,0.958182505319426,0.9584304398354492,0.9572779473876207,0.9580991618676676,0.9579774732298718,0.9588912070608742,0.9584724241806518,0.9571496518567294,0.9584166133399519,0.9583601423749913,0.9581441038741938,0.9583313187505385,0.959712650754146,0.9585006933203793,0.9576795893933349,0.9570330631517698,0.9595925852800983,0.9575968724085899,0.9581837272986122,0.959639307435636,0.9589402842410357,0.9570201490870524,0.9590223777068474,0.9584496942376898,0.9587171806663664,0.957824111156895,0.9587133122939767,0.95797274450945,0.9577223223052,0.958108654194125,0.9587648395743443,0.956992026859981,0.9586919608241178,0.9573795701641387,0.9578926289596879,0.9565505722613777,0.9580619529208212,0.9571312897400546,0.95931386592936,0.9566263273550529,0.9583571977343547,0.9582662013124251,0.9583753240046243
global NDCG,0.6492678994802307,0.6479296240780407,0.6502075592483446,0.6501578368767366,0.6474819698182642,0.6462149513428275,0.647610093007743,0.6481376482953439,0.650473306675247,0.651329334686212,0.6498507353496263,0.6477453874194667,0.6467882505691853,0.6471228902778657,0.6500737145091614,0.644746988388032,0.6501197862619823,0.6525270363654562,0.6455285772367706,0.6451790279598786,0.6457690697490731,0.6472397752369788,0.6487434005990368,0.6508861653765585,0.6472123897008942,0.6490758250533162,0.6591363512774694,0.6544606670966058,0.650068266839633,0.6498317823018579,0.650385684923305,0.6476464711263187,0.6488240186752888,0.6449198995433948,0.6475766649020813,0.6496312074296792,0.6473584453531135,0.6498005203398004,0.6548167364316707,0.6495047337762487,0.6495174791498085,0.6562084367311785,0.6529977823189557,0.6441098061636287,0.650280858482895,0.6490856750203303,0.654810795808325,0.6483301420476892,0.6445308754789114,0.6371062218223398,0.6454052261963452,0.6530792979322865,0.6455378014749493,0.6534852033207323,0.6436436017026288,0.6455589835346354,0.6490336820467988,0.6426722870087108,0.6526064645526014,0.641857713461408,0.6498435477039756,0.6493121433884127,0.6421605094590507,0.6448320252014412,0.6546081107177664,0.6509658876687981,0.6571191832545258,0.6452190428549118,0.6467923176509089,0.6475176531553638,0.6421911176520919,0.6408220928837313,0.653594951623277,0.6410706307393538,0.6499777504758034,0.6478445796518741,0.643724186471469,0.6489573264631989,0.656287275971362,0.6532834028065367,0.6462014454083355,0.6454024453467346,0.6460885614323396,0.641009533872018,0.640675280397619,0.6434596630177356,0.6452931614039141,0.650159034367317,0.6516753710282379,0.6536992577025921,0.6482359458570045,0.6512511303550407,0.6523451066876307,0.6472550368227667,0.6469157898847654,0.6586686091829645,0.6402418681531589,0.645853282124688,0.6502414918636624,0.6524295162245475
