,1_FastaiCollabWrapper,2_FastaiCollabWrapper,3_FastaiCollabWrapper,4_FastaiCollabWrapper,5_FastaiCollabWrapper,6_FastaiCollabWrapper,7_FastaiCollabWrapper,8_FastaiCollabWrapper,9_FastaiCollabWrapper,10_FastaiCollabWrapper,11_FastaiCollabWrapper,12_FastaiCollabWrapper,13_FastaiCollabWrapper,14_FastaiCollabWrapper,15_FastaiCollabWrapper,16_FastaiCollabWrapper,17_FastaiCollabWrapper,18_FastaiCollabWrapper,19_FastaiCollabWrapper,20_FastaiCollabWrapper,21_FastaiCollabWrapper,22_FastaiCollabWrapper,23_FastaiCollabWrapper,24_FastaiCollabWrapper,25_FastaiCollabWrapper,26_FastaiCollabWrapper,27_FastaiCollabWrapper,28_FastaiCollabWrapper,29_FastaiCollabWrapper,30_FastaiCollabWrapper,31_FastaiCollabWrapper,32_FastaiCollabWrapper,33_FastaiCollabWrapper,34_FastaiCollabWrapper,35_FastaiCollabWrapper,36_FastaiCollabWrapper,37_FastaiCollabWrapper,38_FastaiCollabWrapper,39_FastaiCollabWrapper,40_FastaiCollabWrapper,41_FastaiCollabWrapper,42_FastaiCollabWrapper,43_FastaiCollabWrapper,44_FastaiCollabWrapper,45_FastaiCollabWrapper,46_FastaiCollabWrapper,47_FastaiCollabWrapper,48_FastaiCollabWrapper,49_FastaiCollabWrapper,50_FastaiCollabWrapper,51_FastaiCollabWrapper,52_FastaiCollabWrapper,53_FastaiCollabWrapper,54_FastaiCollabWrapper,55_FastaiCollabWrapper,56_FastaiCollabWrapper,57_FastaiCollabWrapper,58_FastaiCollabWrapper,59_FastaiCollabWrapper,60_FastaiCollabWrapper,61_FastaiCollabWrapper,62_FastaiCollabWrapper,63_FastaiCollabWrapper,64_FastaiCollabWrapper,65_FastaiCollabWrapper,66_FastaiCollabWrapper,67_FastaiCollabWrapper,68_FastaiCollabWrapper,69_FastaiCollabWrapper,70_FastaiCollabWrapper,71_FastaiCollabWrapper,72_FastaiCollabWrapper,73_FastaiCollabWrapper,74_FastaiCollabWrapper,75_FastaiCollabWrapper,76_FastaiCollabWrapper,77_FastaiCollabWrapper,78_FastaiCollabWrapper,79_FastaiCollabWrapper,80_FastaiCollabWrapper,81_FastaiCollabWrapper,82_FastaiCollabWrapper,83_FastaiCollabWrapper,84_FastaiCollabWrapper,85_FastaiCollabWrapper,86_FastaiCollabWrapper,87_FastaiCollabWrapper,88_FastaiCollabWrapper,89_FastaiCollabWrapper,90_FastaiCollabWrapper,91_FastaiCollabWrapper,92_FastaiCollabWrapper,93_FastaiCollabWrapper,94_FastaiCollabWrapper,95_FastaiCollabWrapper,96_FastaiCollabWrapper,97_FastaiCollabWrapper,98_FastaiCollabWrapper,99_FastaiCollabWrapper,100_FastaiCollabWrapper
ACC,0.964630225080386,0.9614147909967846,0.9726688102893892,0.965434083601286,0.9734726688102894,0.965434083601286,0.9718649517684887,0.9622186495176848,0.9718649517684887,0.964630225080386,0.9742765273311896,0.9614147909967846,0.9718649517684887,0.9630225080385852,0.965434083601286,0.9718649517684887,0.9710610932475884,0.9718649517684887,0.959807073954984,0.9662379421221864,0.9517684887459807,0.9710610932475884,0.9686495176848876,0.965434083601286,0.9694533762057878,0.965434083601286,0.9726688102893892,0.965434083601286,0.952572347266881,0.9726688102893892,0.9622186495176848,0.9726688102893892,0.9694533762057878,0.957395498392283,0.9405144694533762,0.9678456591639871,0.9694533762057878,0.9662379421221865,0.9694533762057878,0.9622186495176849,0.9742765273311897,0.9670418006430869,0.9742765273311897,0.9598070739549839,0.9638263665594855,0.9622186495176849,0.9646302250803859,0.9622186495176849,0.9598070739549839,0.9718649517684887,0.9598070739549839,0.9694533762057878,0.9622186495176849,0.9678456591639871,0.9622186495176849,0.9726688102893891,0.9662379421221865,0.9694533762057878,0.9614147909967846,0.9581993569131833,0.9702572347266881,0.9726688102893891,0.9678456591639871,0.9622186495176849,0.9654340836012861,0.9662379421221865,0.9686495176848875,0.9718649517684887,0.9638263665594855,0.9726688102893891,0.9702572347266881,0.9678456591639871,0.9678456591639871,0.9630225080385852,0.9590032154340836,0.9606109324758842,0.9557877813504824,0.9726688102893891,0.9662379421221865,0.9710610932475884,0.9557877813504824,0.9678456591639871,0.9662379421221865,0.9614147909967846,0.957395498392283,0.9662379421221865,0.9598070739549839,0.9702572347266881,0.9710610932475884,0.9726688102893891,0.9557877813504824,0.9630225080385852,0.9686495176848875,0.9654340836012861,0.9686495176848875,0.9670418006430869,0.9598070739549839,0.9702572347266881,0.9654340836012861,0.9718649517684887
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0002322411487091,0.0002339314325082,0.0002351005830143,0.0002339314325082,0.000235141091936,0.0002341721930805,0.0002349390584811,0.0002330516246185,0.000235141091936,0.000234011939198,0.000235141091936,0.0002332113673475,0.0002351005830143,0.0002334956892963,0.0002342532109239,0.0002348985495594,0.0002348985495594,0.000235141091936,0.0002335286362492,0.0002344539737281,0.0002163114455499,0.0002349795674028,0.0002350600740926,0.0002341321953124,0.0002347382956769,0.0002341734637312,0.0002350600740926,0.0002344552443787,0.0002161111938993,0.0002349795674028,0.0002322970844309,0.0002346565183365,0.0002348985495594,0.000232449575026,0.0002145455384524,0.00023389219423726977,0.00023497956740285467,0.00023425321092394343,0.0002345767711438368,0.000234291938041383,0.00023493905848116976,0.0002337326903283746,0.0002351410919360084,0.00023265608049332067,0.00023361543425718013,0.00023369016078243117,0.00023429371984562834,0.00023421143135159914,0.00023245531768914142,0.00023489854955948485,0.00023321136734750285,0.00023437473768899816,0.0002332481167289134,0.00023445524437878205,0.00023364889236367282,0.0002351410919360084,0.00023441346480643774,0.00023497956740285467,0.00023357065464163496,0.00023293913179152912,0.00023461600941486235,0.00023493905848116976,0.00023425372207752936,0.00023269936953633754,0.00023421321315584444,0.00023365721382952442,0.00023453626222215188,0.0002350600740926386,0.0002338909235866104,0.00023489854955948485,0.00023489854955948485,0.00023473702502633113,0.00023389270539085573,0.0002341721930805736,0.00023313213130837836,0.00023218424455666973,0.00022861615290452377,0.00023493905848116976,0.00023401395982233775,0.00023497956740285467,0.00023228805049291615,0.0002343742265354122,0.0002340529592733501,0.0002336083834419879,0.00023225210349680852,0.00023433295811665388,0.00023183835245012616,0.00023493905848116976,0.0002351005830143235,0.0002351410919360084,0.0002315350008777556,0.00023393016185763597,0.0002346154982612764,0.00023441473545709714,0.00023469778675530562,0.0002342937198456283,0.00022962351336524268,0.00023485804063779994,0.00023429371984562834,0.0002351410919360084
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.4411745318854029,0.4450529465836473,0.5375922467961818,0.407845477283796,0.4332188498399791,0.5193987977364979,0.4864595896348597,0.5232169157518509,0.4439959088619937,0.4594964791318084,0.5835591705954065,0.4231186077040422,0.470738544976538,0.4637536390781333,0.5373428327901143,0.5167982815676521,0.5255620915276478,0.466056486603589,0.4127013230209528,0.4051056724753299,0.3946034450686377,0.5675847560516443,0.4237045962252639,0.4942765512107727,0.4671887629016569,0.5413306177826265,0.5227659519209136,0.4970999308535913,0.4782794688444027,0.5007470129500172,0.5174024459785034,0.4242411224363894,0.4766051339850098,0.4379505111224653,0.5674728366550214,0.5685570732982489,0.4813950978821848,0.5277966685500854,0.5775218270224308,0.42237079730452076,0.589391402872882,0.5605025023178751,0.5057353458056321,0.5876099085820171,0.5515949545794694,0.5333732166117382,0.532726566698124,0.4548419651729427,0.4419019609191366,0.5510103394196473,0.5418901961272401,0.5259919897595969,0.5955713181667038,0.6035579406350875,0.5405382895201268,0.5248579514655999,0.41877823173083256,0.42834102893402637,0.5114708599110147,0.3958918125401537,0.5762866319440324,0.5776881659573361,0.4430864485271893,0.48808997282001193,0.5099700824540229,0.5431408740190712,0.5175156359776989,0.5282079216632637,0.49644026471105107,0.6171908923470043,0.6027991543362576,0.4177148003604165,0.549946084553931,0.5319530645036417,0.5462866368858454,0.5162401855443263,0.4101261594664095,0.5804797713438496,0.5317857419079359,0.575537917144071,0.55367745295718,0.5013376188757193,0.4585925946885442,0.532760298566187,0.5682215513477543,0.44240163788384007,0.5577330574499523,0.551419805898052,0.4719259474452046,0.3610650166548883,0.512083624733596,0.6063000365506419,0.39884049047022474,0.5186689126728793,0.44054225879367626,0.474059061738594,0.5321600947052288,0.5208590866773324,0.4308439616936593,0.5446604399288173
NDCGk,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868
global AUC,0.8726569112309424,0.8673707125544055,0.9078167655486378,0.867668133296699,0.886058421333167,0.8951249541302696,0.8938671901654983,0.8890766337645161,0.8820087592165785,0.8887174568867281,0.9133928157719056,0.8647007936719437,0.889840246690898,0.8841009428490205,0.8955457716770825,0.8930497317851255,0.901670772833651,0.8989074612315152,0.8632416463580432,0.8679961637086174,0.8531767351921788,0.9092051540275504,0.87708844184324,0.8898154705346986,0.8844588532807479,0.9000925415106907,0.9024289256700824,0.8918059896261554,0.8697834335619381,0.894643578105488,0.8886877955161905,0.8743326417034323,0.8850945379578797,0.8673047062701531,0.8811212323432993,0.9070278322996115,0.8911149314068665,0.8946444441040065,0.9107180448410063,0.8685997560775263,0.9105563057985294,0.8998351839480917,0.8975192914018738,0.8964639155901866,0.8942450038227532,0.8951373999416038,0.8952618064635448,0.874373188859604,0.8731686500236434,0.9050885017049883,0.8905013167941089,0.889018642572936,0.8980507835593657,0.909780459568251,0.8929252896405502,0.9000390608816077,0.8677910424396411,0.8786179475445863,0.8935754690446603,0.8665721317133718,0.9078297579831505,0.9086736643267918,0.8839699080604039,0.8818402887246234,0.893590290517179,0.8943617944711972,0.8944799412364705,0.9013252124006561,0.8924029721538885,0.9156039704036719,0.9119416761804773,0.873407711064349,0.8956527661011492,0.8973184645028565,0.8922411925753109,0.8899430462427078,0.8591269287130229,0.9108546920370435,0.8946560521692561,0.9117582773481013,0.8893062781461526,0.8804567252700811,0.879969413777439,0.8904264969788339,0.8973084864802087,0.8751813558743101,0.8953578807077102,0.9072756614217722,0.9009670010190889,0.8870660787839283,0.8822041677901125,0.9045407250902462,0.8692192803624438,0.89183024372651,0.8799730595697838,0.8911997525837567,0.8858013155857402,0.8903295026880155,0.8733040946486884,0.9092441792373895
global NDCG,0.4861051073195653,0.4830618487913087,0.5015565979529042,0.4817062239753845,0.4907937484679624,0.4968706345440083,0.4934431702026081,0.4968934344335701,0.486925170928582,0.4964286516243007,0.5042693282922712,0.4820070436197193,0.4881356657827146,0.4925464399113913,0.497036370303247,0.4946417411006975,0.4952100553736778,0.4979086390776363,0.4810415923031918,0.4846703806000138,0.480954249870808,0.5056081052737581,0.4861435641981513,0.4960563421583336,0.4890327183657442,0.5008599984479529,0.5002942986535956,0.4947793305124478,0.4896780420685482,0.4955141136435048,0.4976255551189151,0.4838701019419189,0.4924428955550321,0.4865393084738164,0.4987131006908423,0.5069108596341617,0.49487001528467106,0.4965519705788201,0.5071021798269331,0.4838773778772505,0.5040476230047065,0.5012029994608632,0.4938824998814153,0.5014922772815457,0.49990029397900887,0.4985360173802233,0.4979997158417157,0.4873427081864562,0.48793476803164054,0.500342888490673,0.49730004435504205,0.4920597471892813,0.5037750185661605,0.5060654319909668,0.49869512051668163,0.4998081361652234,0.48524521778110363,0.4860686636183088,0.4965688050797251,0.4825681404441337,0.5031192112056763,0.506914515540004,0.4921658811270083,0.494524793104814,0.5022138651629807,0.49642885976983925,0.4947498282113964,0.49995604859837633,0.49320237028603553,0.512143126126172,0.51179241403594,0.4832336763113665,0.49790109647352593,0.4996954929267759,0.496800546460211,0.49804547584333303,0.48298185563938145,0.5061030445637725,0.49553761442312466,0.5075594949903591,0.5040839165827469,0.4894582521693586,0.48645586978138133,0.49704510044580513,0.5026429313567311,0.4900220152243542,0.5015679120721303,0.5051245096432937,0.49816035162107375,0.4896353945931562,0.49241962425646296,0.5069579514897772,0.48259938956994497,0.49470563179137267,0.48794246642761907,0.4970186375285965,0.4940937709495139,0.5024123161489865,0.4829871412805064,0.5010511078078935
