,1_HAN,2_HAN,3_HAN,4_HAN,5_HAN,6_HAN,7_HAN,8_HAN,9_HAN,10_HAN,11_HAN,12_HAN,13_HAN,14_HAN,15_HAN,16_HAN,17_HAN,18_HAN,19_HAN,20_HAN,21_HAN,22_HAN,23_HAN,24_HAN,25_HAN,26_HAN,27_HAN,28_HAN,29_HAN,30_HAN,31_HAN,32_HAN,33_HAN,34_HAN,35_HAN,36_HAN,37_HAN,38_HAN,39_HAN,40_HAN,41_HAN,42_HAN,43_HAN,44_HAN,45_HAN,46_HAN,47_HAN,48_HAN,49_HAN,50_HAN,51_HAN,52_HAN,53_HAN,54_HAN,55_HAN,56_HAN,57_HAN,58_HAN,59_HAN,60_HAN,61_HAN,62_HAN,63_HAN,64_HAN,65_HAN,66_HAN,67_HAN,68_HAN,69_HAN,70_HAN,71_HAN,72_HAN,73_HAN,74_HAN,75_HAN,76_HAN,77_HAN,78_HAN,79_HAN,80_HAN,81_HAN,82_HAN,83_HAN,84_HAN,85_HAN,86_HAN,87_HAN,88_HAN,89_HAN,90_HAN,91_HAN,92_HAN,93_HAN,94_HAN,95_HAN,96_HAN,97_HAN,98_HAN,99_HAN,100_HAN
ACC,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084
HR@10,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.6738958486306628,0.661498751415093,0.6709067669819689,0.6536180095338748,0.6812593241328286,0.6869951533750757,0.6634576493903499,0.6667078375730515,0.6742468235466997,0.6680660209158055,0.6750857508885112,0.6864810972566193,0.6639143997995508,0.6768613338130595,0.6679907885516393,0.6758892323373717,0.6822993212172866,0.677686548756333,0.6802923294211861,0.6745424355438996,0.6886256521606553,0.6644267387371262,0.6591841150656876,0.683181447940445,0.6679609560772573,0.6801684331223197,0.6728183175415786,0.6700527870528067,0.65908532466833,0.6519113020238574,0.6779005571637507,0.6527215194302414,0.6630960988663368,0.6494535574921657,0.6932127385722893,0.6724963115271985,0.661690028800228,0.6819142294976822,0.675921152556297,0.6648783770772039,0.654702766385423,0.6694010351311612,0.6773367838232951,0.6829993281589483,0.6668684183581338,0.6745469875619577,0.6614550207105603,0.6660225716295413,0.6807081005237029,0.6759531251049885,0.6520470467155807,0.6742796473254102,0.6814411576004964,0.6779954691072747,0.6846250300005765,0.674823431628071,0.683091160058738,0.6665430409346328,0.6583866563227314,0.6759972975003435,0.6930878345875525,0.6689402396405858,0.6587126100649666,0.669960013665135,0.6826844011832603,0.659495685881657,0.6730533441768508,0.6791230336307947,0.6668923147176741,0.6660268774726693,0.6714600481140188,0.6862281328231361,0.681322844605172,0.6793063827167803,0.6769464827280589,0.6764505923204105,0.6835730572654692,0.6929049688003608,0.6696836084768157,0.677429907849108,0.6913762068228511,0.670539521242782,0.6664718447154709,0.6691672047633592,0.6635888908019598,0.6715096323040453,0.6763455608497264,0.6736608888118708,0.6835903449007249,0.6849568970061903,0.6770364546388372,0.6837436334981581,0.6622176834052541,0.6783303758059495,0.6683798582514767,0.6730816448432698,0.6774586127489801,0.675353255986841,0.6753521665682182,0.6693826524726579
NDCGk,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868
global AUC,0.9385473605040509,0.9380143955348936,0.9409773928833891,0.9362035373559657,0.941468259269241,0.9409995255944648,0.9341961933259142,0.9376307102848456,0.9401228071197181,0.9387861770997845,0.9390677113756367,0.9405794684066349,0.9354515668891008,0.938408373269463,0.937758321615489,0.9384879272099732,0.9401016804409639,0.938075531345208,0.9386077998304502,0.9399019443315703,0.939585198924461,0.9387405187098031,0.9353085555252264,0.9406775178644426,0.9399880761757217,0.9395639948586054,0.9394273292370674,0.9372061646451192,0.9349524974704723,0.9359884786004428,0.9382319306776701,0.9358436099461285,0.9368768051404389,0.9345429649284687,0.9406539921855369,0.9389922589515148,0.936407761917256,0.9394474498834998,0.9382925247782725,0.9389695845307272,0.9348445424636517,0.9394520157224981,0.9361941735166646,0.940256918966901,0.9362445525198475,0.9382860242617329,0.9381614310280544,0.9380345161813262,0.9399117724934815,0.9368629528492413,0.935383001917027,0.9383253369093779,0.940090149762816,0.9358820713356553,0.9410741267604685,0.9393009561000509,0.9382111135473225,0.9386262179606459,0.9377641256481136,0.9383425942330489,0.940794295000853,0.9377782101006163,0.9354494000502541,0.9377036089346127,0.941161419411145,0.9366160106078327,0.93882177516655,0.9383223961995147,0.9370180366009749,0.9368162884269381,0.9361875182259215,0.9410617448242024,0.9400300199848235,0.9400200370487088,0.9357660680702616,0.942066616339304,0.9414440371064204,0.942785232965352,0.9388204595858215,0.9396464895089786,0.9408148025827938,0.9369408042735148,0.9380945685722171,0.9368617146556145,0.9363983980779548,0.9392058473521062,0.9393582999423835,0.938893513009792,0.9405871297296996,0.9412150486725979,0.9404035675245535,0.9403480809726606,0.9392244202565055,0.9418644038426569,0.9371656911909492,0.939771547065267,0.9381324108649307,0.937367903687596,0.936957055564864,0.9368663578817144
global NDCG,0.532814084605853,0.5343085465062504,0.5430241731818728,0.5384502666527335,0.5418772178391507,0.5408351189443732,0.5268527856602147,0.5310089072780878,0.5366954923457006,0.5392146935934982,0.5360147661577878,0.5398694383474058,0.5259470224644582,0.5356657478140321,0.5351116935386638,0.5304918824165752,0.5415907781995642,0.5347897162491884,0.5361665862825132,0.5331922223211696,0.5385912522633426,0.5359225992367852,0.5306015177334608,0.5433738317855845,0.5451328208678554,0.543180161116527,0.5427494818624301,0.5324607951584096,0.5301991527353398,0.5258761928243486,0.53330591619543,0.5379832262446534,0.5379319993407837,0.5336233300156256,0.5394269044318397,0.5385263426735573,0.530933556424467,0.5370310642585189,0.5420912448645879,0.5328116333276464,0.5328000771202955,0.5346515285188556,0.5213807373834495,0.5388212371365932,0.5323625163965862,0.5407275641277147,0.5351385145997749,0.5385439663612435,0.5342450785983616,0.5369283718783584,0.5349786844191584,0.531466581099,0.5350154199814593,0.5352151699980626,0.5381858178994837,0.5327332415638062,0.5344705172613741,0.5390211720183818,0.5400032789696391,0.5393683773736819,0.5440214569835047,0.5302881311225601,0.5316529022871063,0.5367097061936191,0.541657947791649,0.5346585741653453,0.5399496887165118,0.5379682448586964,0.5328605492324994,0.5369927548147225,0.5328282824626601,0.5370579255957695,0.5304508994907674,0.5405442212506741,0.5312406392963542,0.547712438016673,0.5427191179058409,0.5398781695347181,0.5314653179106967,0.5355336529057917,0.5437795353295671,0.5367098528635043,0.5370386124428822,0.5314034989703246,0.5340557350496453,0.5422798882437065,0.5431801766742048,0.5408395882294146,0.5381313881149711,0.5434833009825841,0.5435536775333533,0.5391425081506849,0.549435540416206,0.5399895661773404,0.5315409997462511,0.5473233013906587,0.5376597523123391,0.5343865082043311,0.5370793741007097,0.5281046958488352
