,1_LRSSL,2_LRSSL,3_LRSSL,4_LRSSL,5_LRSSL,6_LRSSL,7_LRSSL,8_LRSSL,9_LRSSL,10_LRSSL,11_LRSSL,12_LRSSL,13_LRSSL,14_LRSSL,15_LRSSL,16_LRSSL,17_LRSSL,18_LRSSL,19_LRSSL,20_LRSSL,21_LRSSL,22_LRSSL,23_LRSSL,24_LRSSL,25_LRSSL,26_LRSSL,27_LRSSL,28_LRSSL,29_LRSSL,30_LRSSL,31_LRSSL,32_LRSSL,33_LRSSL,34_LRSSL,35_LRSSL,36_LRSSL,37_LRSSL,38_LRSSL,39_LRSSL,40_LRSSL,41_LRSSL,42_LRSSL,43_LRSSL,44_LRSSL,45_LRSSL,46_LRSSL,47_LRSSL,48_LRSSL,49_LRSSL,50_LRSSL,51_LRSSL,52_LRSSL,53_LRSSL,54_LRSSL,55_LRSSL,56_LRSSL,57_LRSSL,58_LRSSL,59_LRSSL,60_LRSSL,61_LRSSL,62_LRSSL,63_LRSSL,64_LRSSL,65_LRSSL,66_LRSSL,67_LRSSL,68_LRSSL,69_LRSSL,70_LRSSL,71_LRSSL,72_LRSSL,73_LRSSL,74_LRSSL,75_LRSSL,76_LRSSL,77_LRSSL,78_LRSSL,79_LRSSL,80_LRSSL,81_LRSSL,82_LRSSL,83_LRSSL,84_LRSSL,85_LRSSL,86_LRSSL,87_LRSSL,88_LRSSL,89_LRSSL,90_LRSSL,91_LRSSL,92_LRSSL,93_LRSSL,94_LRSSL,95_LRSSL,96_LRSSL,97_LRSSL,98_LRSSL,99_LRSSL,100_LRSSL
ACC,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.970257234726688,0.9284565916398714,0.9702572347266881,0.9702572347266881,0.9533762057877814,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.792604501607717,0.47186495176848875,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.8858520900321544,0.8344051446945338,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.5257234726688103,0.9702572347266881,0.9702572347266881,0.7532154340836013,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.7821543408360129,0.9702572347266881,0.9702572347266881,0.7885852090032154,0.8247588424437299,0.9702572347266881,0.9485530546623794,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.000235141091936,0.0002079045381759938,0.0002351410919360084,0.0002351410919360084,0.00023081224553855715,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0001699544398520515,9.854111429088999e-05,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0001930761922534162,0.00018867401915416667,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.00013799501576579286,0.0002351410919360084,0.0002351410919360084,0.00014974397245216657,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.00015852676678225334,0.0002351410919360084,0.0002351410919360084,0.0001642951941638161,0.00019285696273473382,0.0002351410919360084,0.0002169044107697222,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084
HR@10,0.0,0.0008285004142502,0.0,0.0,0.0008285004142502,0.0008285004142502,0.0,0.0,0.0,0.0008285004142502,0.0008285004142502,0.0,0.0,0.0,0.0008285004142502,0.0,0.0008285004142502,0.0,0.0,0.0,0.0,0.0008285004142502,0.0,0.0,0.0008285004142502,0.0,0.0,0.0,0.0008285004142502,0.0,0.0008285004142502,0.0,0.0,0.0,0.0008285004142502,0.0,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0024855012427506215,0.0,0.0,0.0016570008285004142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0,0.0016570008285004142,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0008285004142502071,0.0016570008285004142,0.0008285004142502071,0.0,0.0,0.0,0.0008285004142502071,0.0008285004142502071,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0008285004142502071,0.0
HR@2,0.0,0.0008285004142502,0.0,0.0,0.0008285004142502,0.0,0.0,0.0,0.0,0.0008285004142502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502,0.0,0.0,0.0,0.0008285004142502,0.0,0.0008285004142502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0,0.0,0.0,0.0008285004142502071,0.0008285004142502071,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0
HR@5,0.0,0.0008285004142502,0.0,0.0,0.0008285004142502,0.0,0.0,0.0,0.0,0.0008285004142502,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502,0.0,0.0,0.0,0.0008285004142502,0.0,0.0008285004142502,0.0,0.0,0.0,0.0008285004142502,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0016570008285004142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0008285004142502071,0.0016570008285004142,0.0008285004142502071,0.0,0.0,0.0,0.0008285004142502071,0.0008285004142502071,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0008285004142502071,0.0
Lin's AUC,0.4937793580765445,0.5178533868322049,0.5235465098724084,0.4673392136936046,0.5592220367999853,0.5029428565352715,0.5375876043663206,0.4754689674648153,0.5275335730535784,0.536237694091975,0.5157647630775638,0.5209923500921688,0.5326079041776439,0.4897167924304847,0.4762870602441472,0.4943174523687088,0.4981525560384273,0.4920063037376168,0.4864438924275587,0.5048339520135339,0.5523293014944677,0.4897266478237554,0.5139091838634056,0.4565481921207135,0.5156799776408764,0.5068013695219936,0.5061021431650917,0.5007251132662177,0.4842204687491662,0.5157420576191605,0.5296424244476843,0.5288460449296652,0.4956166640730312,0.5212572340560816,0.4992676827824661,0.5093810592217748,0.5065237988701764,0.49534967087382514,0.4235209804550239,0.5197708476218206,0.5185010754150464,0.44422793996386356,0.44859510601742325,0.4128152651686729,0.45905733487701256,0.5304319880044269,0.541429975776785,0.514205568124976,0.45554643471347095,0.4785125988872652,0.4912854802504113,0.5206139965822265,0.4648903308912627,0.45276686490588325,0.450491568282715,0.46633847942315987,0.4338537898439371,0.49791231702110866,0.4556750080330645,0.4915235974009773,0.4911584591881278,0.4598795696989301,0.46841827719962287,0.4666835002746433,0.49399696847846436,0.4327358014465506,0.45847073701405444,0.44656999564975913,0.4896370540924318,0.46938429622898503,0.4440906013575442,0.47438544382672043,0.4612478088988929,0.44924804710728916,0.47213434899225537,0.4639464223009718,0.45208539177008195,0.42876189942221754,0.44630270445721754,0.4069990568640426,0.4275348436532797,0.4912912807396732,0.44125261337158844,0.4743469600520209,0.46774617478734265,0.4867861304753163,0.4910474197243049,0.48432839440260933,0.4263813982974728,0.46451695816069566,0.4669994475807569,0.4907979664740879,0.47748989094237776,0.5110791016476167,0.46220378505121845,0.4777506797249404,0.4753936647771061,0.4272151672931288,0.41656206818835695,0.48017721687300013
NDCGk,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.1657241155771986,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868
global AUC,0.8940235361868457,0.8968026873318156,0.8932315246508866,0.8906967396166965,0.9016711025272716,0.8957553285781872,0.9000460714159983,0.8923360126570826,0.8965147220649785,0.8954629588797355,0.8958579844110941,0.895492332812467,0.8959232865955576,0.8904219682365097,0.8930625392276138,0.8926173722591909,0.8933724558986027,0.8934978004013506,0.889903036619801,0.8931102357236125,0.9020278627164274,0.8911623657694125,0.8933560122450293,0.885185956446605,0.8954006160763087,0.8954482762126532,0.892925654465458,0.8941653179556603,0.890730518963736,0.8944620660443529,0.8999262992759168,0.8980227740963571,0.8919843167781287,0.8981934038112849,0.895094927934824,0.8971009526990473,0.8956946683914566,0.8599675612137535,0.8864986662362508,0.8997523261925237,0.8932669642583485,0.8881533196560009,0.8929107032774164,0.8890714291748373,0.8974622519488076,0.7597471541987839,0.47278852281142375,0.8978081116119292,0.8978810237737297,0.8925032184226903,0.8278357671431861,0.794474838650362,0.895097451982705,0.8885505650916471,0.893802894259029,0.8930003185238363,0.8925792383522245,0.5171096165069108,0.8891870577883897,0.8918531903533566,0.7140271554857779,0.8918765927042462,0.8951350527785266,0.8965265517275794,0.9035041290399093,0.8902015847570456,0.8940810969587364,0.8989334773010544,0.8943441875543654,0.9005093432811104,0.8923160946911544,0.8977627126529931,0.9025532950953493,0.8974269123303945,0.9016537420207983,0.893571098270293,0.8923192226041017,0.8914848702509256,0.8946920003205289,0.8907466371001359,0.8926438995749477,0.9077012022841934,0.8965520305095273,0.9021419536605534,0.8932000708476704,0.8974970356084552,0.8962339808226636,0.8951860611968031,0.8886689609696855,0.7318673352218468,0.8902920684587172,0.8924615903038287,0.7392420206384266,0.7848572681706204,0.8981531330376192,0.8854149257179067,0.8977146488753532,0.8893553020151999,0.8897028740214915,0.8943123767877883
global NDCG,0.4974134595168507,0.5072772119049718,0.503187658121947,0.5050403531785049,0.5150709724987924,0.5082543851385493,0.5086411211520785,0.5033710282071002,0.5079834119117701,0.510761148957845,0.5107204434053504,0.5032407714618193,0.5080192009594242,0.5098194970260626,0.5103588864940423,0.5012226083128389,0.508505703779706,0.5034675194816628,0.5022840188604303,0.5021958432997576,0.5113663952061328,0.5063802858146238,0.5070601432786316,0.4998169867993134,0.5101906869030614,0.5056922522495002,0.5056759410137309,0.5106130575640433,0.5024870901046422,0.5007295977811816,0.5104994061829692,0.5097037882278005,0.5001455498741997,0.5073234388596015,0.5086939628838193,0.506333277822633,0.5108923263073218,0.5154109601534821,0.49183375651193284,0.5173759563490349,0.5085029179181826,0.49465774435399584,0.4934424816904556,0.4977588162192989,0.4969957120932663,0.5116883006044106,0.4744206659544469,0.5074223744933642,0.5011494695332126,0.49654179020684125,0.5095992515377025,0.5206543042917716,0.4983022881101241,0.4927744547892338,0.5149045188777933,0.4984125420193345,0.4974973798753544,0.4678114928736264,0.5065149802472991,0.5003378980817296,0.504590913156065,0.5012877447131154,0.49854940285268284,0.4975640781302803,0.5025112314829574,0.4946509911891312,0.5130868570985047,0.5107346976997047,0.49918419442898293,0.5099481475776915,0.49744267570640643,0.5091809846887613,0.507969696692399,0.505567235806927,0.5153727630452094,0.5048670231676772,0.4947189218520021,0.4976188603644121,0.5059165775807384,0.49430544505759083,0.4956274840624829,0.5256910129919519,0.5040237359568279,0.5109899909710509,0.5155590858026733,0.5104055167030319,0.5124713915602179,0.5032600667480183,0.4949110969574343,0.49127195075113034,0.511303760447257,0.5171845773017962,0.49492501246195686,0.521072194943939,0.5062357181722872,0.5252191290610866,0.5032452251654264,0.5099848300416773,0.5162304677863417,0.5043987498790978
