,1_LogisticMF,2_LogisticMF,3_LogisticMF,4_LogisticMF,5_LogisticMF,6_LogisticMF,7_LogisticMF,8_LogisticMF,9_LogisticMF,10_LogisticMF,11_LogisticMF,12_LogisticMF,13_LogisticMF,14_LogisticMF,15_LogisticMF,16_LogisticMF,17_LogisticMF,18_LogisticMF,19_LogisticMF,20_LogisticMF,21_LogisticMF,22_LogisticMF,23_LogisticMF,24_LogisticMF,25_LogisticMF,26_LogisticMF,27_LogisticMF,28_LogisticMF,29_LogisticMF,30_LogisticMF,31_LogisticMF,32_LogisticMF,33_LogisticMF,34_LogisticMF,35_LogisticMF,36_LogisticMF,37_LogisticMF,38_LogisticMF,39_LogisticMF,40_LogisticMF,41_LogisticMF,42_LogisticMF,43_LogisticMF,44_LogisticMF,45_LogisticMF,46_LogisticMF,47_LogisticMF,48_LogisticMF,49_LogisticMF,50_LogisticMF,51_LogisticMF,52_LogisticMF,53_LogisticMF,54_LogisticMF,55_LogisticMF,56_LogisticMF,57_LogisticMF,58_LogisticMF,59_LogisticMF,60_LogisticMF,61_LogisticMF,62_LogisticMF,63_LogisticMF,64_LogisticMF,65_LogisticMF,66_LogisticMF,67_LogisticMF,68_LogisticMF,69_LogisticMF,70_LogisticMF,71_LogisticMF,72_LogisticMF,73_LogisticMF,74_LogisticMF,75_LogisticMF,76_LogisticMF,77_LogisticMF,78_LogisticMF,79_LogisticMF,80_LogisticMF,81_LogisticMF,82_LogisticMF,83_LogisticMF,84_LogisticMF,85_LogisticMF,86_LogisticMF,87_LogisticMF,88_LogisticMF,89_LogisticMF,90_LogisticMF,91_LogisticMF,92_LogisticMF,93_LogisticMF,94_LogisticMF,95_LogisticMF,96_LogisticMF,97_LogisticMF,98_LogisticMF,99_LogisticMF,100_LogisticMF
ACC,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084
HR@10,0.0,0.0008285004142502071,0.0008285004142502071,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0008285004142502071,0.0,0.0,0.0008285004142502071,0.0008285004142502071,0.0,0.0,0.0008285004142502071,0.0008285004142502071,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0008285004142502071,0.0,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0008285004142502071,0.0008285004142502071,0.0,0.0,0.0008285004142502071,0.0008285004142502071,0.0008285004142502071,0.0,0.0,0.0008285004142502071,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0008285004142502071,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0008285004142502071,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.7194766939248398,0.6930910493615384,0.7210155586750245,0.6957436957452271,0.6629622525003374,0.6991703443135102,0.7121376838089257,0.7012593092469664,0.7001428879473102,0.7154407154115289,0.7034263737962838,0.7134140946438363,0.7200316220092249,0.7120836229434925,0.7105059382382376,0.7079129200506662,0.7083513199428333,0.6776577726576155,0.722652300342745,0.7114404584165179,0.7104192275021355,0.6908378610387778,0.7126061028134415,0.6980281015485642,0.6766581566795934,0.7011718785671027,0.7140158964041825,0.70031903418266,0.7002921487701169,0.7113713034804541,0.700034669542311,0.71487263464777,0.7034517133004949,0.7063860091659367,0.709602808915971,0.7091551544749358,0.7067478037020127,0.6900287767946286,0.7054048480772805,0.7021228171717823,0.7186199353601826,0.712035387064124,0.6997680313862485,0.6865418750969376,0.6831799714127511,0.7030502322272493,0.6891290634944912,0.7260835601953535,0.702660952820353,0.7286551118071184,0.7070032199323164,0.7147722889171436,0.6916471580039338,0.6899599269660702,0.708861179259754,0.7147801616596509,0.7082630960913044,0.7161145883711624,0.7009425691816363,0.7089340313318746,0.7095874106232487,0.7060102387534714,0.6880771509690011,0.7081102337663175,0.7054777572090511,0.7176019171516584,0.7036786263120638,0.6980962918852948,0.7058144584271924,0.7039176252999928,0.6967757257041013,0.7035264542438744,0.7185965989181645,0.7153157324017184,0.7031087545552369,0.7060031084847278,0.6966459807799865,0.7185062918267885,0.7182058527454818,0.6759171929304023,0.7003917722710501,0.6987063783245572,0.7188957649439703,0.7052659002549209,0.690681597880542,0.7002111114008852,0.712247260583579,0.7065903609374764,0.7028121744787293,0.6894481897867191,0.6876718413440259,0.7097886077207737,0.7115603163572214,0.6972846938022988,0.7077500603341902,0.7002644009529702,0.7066854943146254,0.6999750963269256,0.7097384107261718,0.7130758589167996
NDCGk,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868
global AUC,0.9428844397902579,0.9412548477534535,0.9427600082096363,0.9407772902293742,0.9316603025160269,0.9413034183551908,0.940410394295287,0.9399486261966803,0.9394494150245355,0.9406134246384781,0.9410793706578813,0.9427897474586225,0.9408916202136585,0.942047948604996,0.9450482622595869,0.9410573912469689,0.9401951181188593,0.9385931156893278,0.9424995984014785,0.9432868158679079,0.9432647396616999,0.9408636119790165,0.9409093042719187,0.9377687789468205,0.9367799865060576,0.9400950273612809,0.9422629648590316,0.9397514414049082,0.9377808827808672,0.9421369265747754,0.9406630550749984,0.9413724520719948,0.9376646522676354,0.9431735211510724,0.9447653929948127,0.9424458057672553,0.9417959496692586,0.9390184853174318,0.9387111460054383,0.9408577089400362,0.9426379665392529,0.9441134363897709,0.9398050257081402,0.9371807190290723,0.9382890236875241,0.9403794758142756,0.9359900509098098,0.9454453912460705,0.9391868319900242,0.946047409831572,0.9419019950572185,0.9438285142785794,0.9373686055763246,0.9374577402856941,0.9437980100028169,0.9430848365152592,0.9387060581105957,0.9430338352215095,0.9432817795644661,0.9414943104700677,0.9414575390674373,0.9422342525246009,0.9367014462137426,0.9435495580987427,0.9407533213557656,0.9439288806816435,0.9421958950548963,0.9393426522704272,0.939540831547874,0.9418373181114016,0.9385105743610201,0.939805934699493,0.9429256107110364,0.9430343683326543,0.9421807045810232,0.9417387706737363,0.9382377418348216,0.9435710427235512,0.940889999752317,0.9372439804051121,0.93707439750428,0.9387208348705666,0.9438787534936327,0.938225433600557,0.9374827473748315,0.9342144954982942,0.9409550221148482,0.9395369744764578,0.9383597328964975,0.9416673780015349,0.9399432921371523,0.9416528994889969,0.9398250141823165,0.9393807065792318,0.9387831135532521,0.94045891379697,0.9388628394650991,0.940989988801133,0.9415408390350147,0.9400425761034867
global NDCG,0.550240342665016,0.5517813812452553,0.5483729438377201,0.5496430300120679,0.5385441522740583,0.5455275093339945,0.5456715759923799,0.5481105794825832,0.5462514516698842,0.5494728686931906,0.5504910145662959,0.550239351077795,0.5457051055522435,0.5503054761674473,0.5554267271682486,0.5477059490293298,0.5503357029403175,0.5435980249029388,0.5504456039331297,0.5500673483959301,0.5465401162704907,0.5501167998865988,0.547604864888996,0.5443461203644374,0.5447990142582887,0.548458296742527,0.5533438955427111,0.5489493740400391,0.5459213993333085,0.5521566717772923,0.5455693678999072,0.5512706396126531,0.5456320604227598,0.5501961571492879,0.552463071946326,0.5513469537127272,0.546941715231198,0.5457513019992393,0.5478115510408351,0.5471976897849425,0.5484153417544605,0.5471385138228044,0.5448173677865638,0.5449771778241664,0.5495880639960183,0.5439021407179397,0.5448186100424677,0.5534802705996485,0.5474740605725807,0.550766534040936,0.5467094762485419,0.5487344254213227,0.5436255616348739,0.5483064065094804,0.5544643339697316,0.5498442959663832,0.545405438741028,0.5496800114679438,0.5472879461663418,0.5495557652117433,0.5530372134806834,0.5513375960432003,0.5447254650969684,0.5532498466172932,0.5450792198212527,0.5523510417688037,0.5469358474025937,0.5464655038533442,0.5507090147535156,0.5468240383393684,0.5457900959980441,0.5475942343577792,0.5480141969028041,0.5500063466663964,0.5484875040915561,0.5519114806136118,0.5451840619048388,0.5522191806208536,0.5472374116378453,0.5464323005455195,0.5455477524645541,0.5449674793684388,0.5483472744606086,0.5453012472596875,0.544306994227639,0.538102847691428,0.5472907246015967,0.5474819012097343,0.5457218926885624,0.5500021577518907,0.5466241578817727,0.5507736255349555,0.5491358436628643,0.5458271200508448,0.5434141890737366,0.551485041179404,0.5425584930108602,0.5484882165390612,0.5465799938296858,0.5445324855871025
