,1_NIMCGCN,2_NIMCGCN,3_NIMCGCN,4_NIMCGCN,5_NIMCGCN,6_NIMCGCN,7_NIMCGCN,8_NIMCGCN,9_NIMCGCN,10_NIMCGCN,11_NIMCGCN,12_NIMCGCN,13_NIMCGCN,14_NIMCGCN,15_NIMCGCN,16_NIMCGCN,17_NIMCGCN,18_NIMCGCN,19_NIMCGCN,20_NIMCGCN,21_NIMCGCN,22_NIMCGCN,23_NIMCGCN,24_NIMCGCN,25_NIMCGCN,26_NIMCGCN,27_NIMCGCN,28_NIMCGCN,29_NIMCGCN,30_NIMCGCN,31_NIMCGCN,32_NIMCGCN,33_NIMCGCN,34_NIMCGCN,35_NIMCGCN,36_NIMCGCN,37_NIMCGCN,38_NIMCGCN,39_NIMCGCN,40_NIMCGCN,41_NIMCGCN,42_NIMCGCN,43_NIMCGCN,44_NIMCGCN,45_NIMCGCN,46_NIMCGCN,47_NIMCGCN,48_NIMCGCN,49_NIMCGCN,50_NIMCGCN,51_NIMCGCN,52_NIMCGCN,53_NIMCGCN,54_NIMCGCN,55_NIMCGCN,56_NIMCGCN,57_NIMCGCN,58_NIMCGCN,59_NIMCGCN,60_NIMCGCN,61_NIMCGCN,62_NIMCGCN,63_NIMCGCN,64_NIMCGCN,65_NIMCGCN,66_NIMCGCN,67_NIMCGCN,68_NIMCGCN,69_NIMCGCN,70_NIMCGCN,71_NIMCGCN,72_NIMCGCN,73_NIMCGCN,74_NIMCGCN,75_NIMCGCN,76_NIMCGCN,77_NIMCGCN,78_NIMCGCN,79_NIMCGCN,80_NIMCGCN,81_NIMCGCN,82_NIMCGCN,83_NIMCGCN,84_NIMCGCN,85_NIMCGCN,86_NIMCGCN,87_NIMCGCN,88_NIMCGCN,89_NIMCGCN,90_NIMCGCN,91_NIMCGCN,92_NIMCGCN,93_NIMCGCN,94_NIMCGCN,95_NIMCGCN,96_NIMCGCN,97_NIMCGCN,98_NIMCGCN,99_NIMCGCN,100_NIMCGCN
ACC,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881,0.9702572347266881
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084,0.0002351410919360084
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5346907727578455,0.5335137795023603,0.5354056680043743,0.5347833848657131,0.5353480488971559,0.5363945185433198,0.5361604264115744,0.534499318839451,0.5344136691445724,0.5358407862868187,0.533730601092267,0.5337187844830457,0.5358320789130313,0.5361137674373724,0.534812866091487,0.5345237485921805,0.5361716051622558,0.535489343826813,0.5357446819118106,0.5357342225418062,0.5346196565647598,0.5345779188778212,0.535986429681423,0.5358162470431298,0.5345275823905278,0.5339055288611544,0.5352858276251441,0.5353231890965389,0.5347704041489185,0.534996705833377,0.5347521847125757,0.534231838154412,0.5346882869474061,0.5343699763141778,0.5359900919025555,0.5360763557177979,0.5356754602232858,0.5347877620397438,0.5358525974414508,0.535540625680399,0.5356171186053721,0.5349023721082617,0.5353437000220685,0.5357683278571025,0.5343646932994054,0.5357356796252544,0.5347769562078643,0.5356027089478538,0.5358283162858153,0.5363960176237037,0.5339664045153757,0.5335780902253393,0.5358133142603692,0.5348038484147852,0.5343284547788638,0.5346437909712999,0.534497046331094,0.5346881922966518,0.5335691918920731,0.5355391582525979,0.5350805355498861,0.5355240799401948,0.5357747086213316,0.5359720595696832,0.5338697235517402,0.5349225087791386,0.5356602181723726,0.5346936863001438,0.534852072119446,0.5363601005113481,0.5346806585370044,0.535622516199887,0.5359313976740859,0.5354659679429896,0.534891269609247,0.5339591103946822,0.5343625013720023,0.5348584026380805,0.5362644799195411,0.5351919124168214,0.5336296681663921,0.5361273280428931,0.5351847803765207,0.5360115413461728,0.5349593823425303,0.534592456839055,0.5346908023109543,0.5353516076869996,0.5362940766275012,0.5360283606888425,0.5363083001695012,0.5337425127908705,0.5346231068140788,0.5338154916792497,0.5361557296522087,0.5349222624738736,0.5363015094481828,0.5356521919281284,0.5336336016752403,0.5358377663332098
NDCGk,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868,0.16572411557719868
global AUC,0.9065086120167297,0.9064190434482442,0.9066131059775561,0.9064960713754866,0.9066092412902663,0.9065028499942458,0.9065353162172904,0.9065830871523107,0.9064518619668565,0.9065516962414693,0.9065744200425976,0.90661778703735,0.9065992426310581,0.9065339451143878,0.9064758694111792,0.906509881902217,0.9065566200265217,0.9066062632380556,0.9066461276680193,0.9067173925900845,0.9064402207357062,0.9065711235977403,0.9066342021928161,0.906526132210873,0.9065959427467738,0.906501896044672,0.9066124861437226,0.9065912516143729,0.906494531249327,0.906533775599784,0.9065539210592237,0.9064632975694222,0.9065118509740261,0.906545781655842,0.9066388378030423,0.9064821021437797,0.9066399406306596,0.9064906564894305,0.9065615637111146,0.9066639709226029,0.9066351490178632,0.9065419091070055,0.906503013367016,0.9066294349016804,0.9065540743593871,0.9066358580311186,0.9065511464245374,0.9065828400049321,0.9065107906478965,0.9066109212045558,0.9065618626955678,0.9065095396792564,0.9066492833420537,0.9066127531906418,0.906425028787793,0.9066942985592347,0.90659282539778,0.9065618287926471,0.9065558034083441,0.9064935738603264,0.9065620228745846,0.9065825014670713,0.9065026146391874,0.9065504054737482,0.9066374109322917,0.906582194866745,0.9066328242110598,0.9065663752234514,0.9065950624992015,0.9066914150912594,0.9065129764035902,0.9064613385702203,0.9065414496978623,0.9065447952773875,0.9065541834383494,0.9066221359467902,0.9064838650956577,0.906572310445639,0.9064795800612855,0.9065013560546736,0.9066208181550017,0.9066095913747739,0.9066582904636673,0.9065640835825488,0.9066017998448397,0.9065604144512366,0.9064254776329828,0.9066021848149612,0.906620131989367,0.9065395671030685,0.9064882609287055,0.906603552232764,0.9064053191528558,0.9065324678806026,0.9065521246957717,0.9066406383429413,0.9065054826297424,0.9066485089796904,0.9066096842392958,0.9065297357474038
global NDCG,0.5038728375314233,0.5038023526178483,0.5042121177808964,0.5039516159064176,0.5041584246275475,0.5039874005436623,0.5038915070783563,0.5041001205967938,0.5038908026072915,0.5040847177984497,0.5041409339566535,0.504078865107601,0.5042079249738667,0.5039718880554731,0.5039416357002513,0.5039957415442686,0.5040325093807084,0.5041554096736108,0.5041823961615952,0.5042320394484604,0.5039046054943477,0.5040067838631149,0.5041344008156221,0.5039286586028926,0.5041188710327288,0.5039328465484137,0.5041100265785599,0.5041735395304956,0.5038860156644974,0.5039810920113943,0.5040360918544395,0.5038474293429054,0.503993119267506,0.5040293408549911,0.5041911446041832,0.5040216647299646,0.504225536438115,0.5038723521759199,0.5040470373511038,0.5042036595436441,0.5041860062356633,0.5039855359366003,0.5040751455940687,0.5042041802104518,0.5040128155973588,0.5041745651650712,0.5040320149131172,0.5040755025086332,0.5040104303828795,0.5042636327806341,0.50403931758113,0.5039892109068633,0.5041958194830068,0.5041300674982645,0.5037858690218759,0.5042045135338536,0.5041246105548327,0.5040243583524232,0.5040008705724717,0.5039271750196209,0.5040329323479467,0.5041789029635414,0.5039851241053672,0.5040429110419843,0.5041522384390786,0.5039105524202515,0.5042444600623455,0.5041372607709474,0.5041286324710199,0.5040515648882674,0.504075671808436,0.5039236672801043,0.5039478923658026,0.504082999848169,0.5040212231093425,0.5041320365390228,0.5038842627141698,0.504030832690168,0.5039321528186405,0.5040946145087155,0.5041554711372059,0.504342213385496,0.5041740378951057,0.5040322436690526,0.5041545178434699,0.5039935887689885,0.5040540341928356,0.504165448113118,0.5040490102608931,0.5040853751009008,0.5039361188746493,0.5040532739346407,0.5038984864787863,0.5039685744287672,0.5042577308963441,0.5041227475526023,0.5039740995368388,0.5041094173894557,0.5041780728519369,0.5040507682756943
