,1_PMF,2_PMF,3_PMF,4_PMF,5_PMF,6_PMF,7_PMF,8_PMF,9_PMF,10_PMF,11_PMF,12_PMF,13_PMF,14_PMF,15_PMF,16_PMF,17_PMF,18_PMF,19_PMF,20_PMF,21_PMF,22_PMF,23_PMF,24_PMF,25_PMF,26_PMF,27_PMF,28_PMF,29_PMF,30_PMF,31_PMF,32_PMF,33_PMF,34_PMF,35_PMF,36_PMF,37_PMF,38_PMF,39_PMF,40_PMF,41_PMF,42_PMF,43_PMF,44_PMF,45_PMF,46_PMF,47_PMF,48_PMF,49_PMF,50_PMF,51_PMF,52_PMF,53_PMF,54_PMF,55_PMF,56_PMF,57_PMF,58_PMF,59_PMF,60_PMF,61_PMF,62_PMF,63_PMF,64_PMF,65_PMF,66_PMF,67_PMF,68_PMF,69_PMF,70_PMF,71_PMF,72_PMF,73_PMF,74_PMF,75_PMF,76_PMF,77_PMF,78_PMF,79_PMF,80_PMF,81_PMF,82_PMF,83_PMF,84_PMF,85_PMF,86_PMF,87_PMF,88_PMF,89_PMF,90_PMF,91_PMF,92_PMF,93_PMF,94_PMF,95_PMF,96_PMF,97_PMF,98_PMF,99_PMF,100_PMF
ACC,0.4967845659163987,0.49115755627009644,0.4983922829581994,0.47266881028938906,0.502411575562701,0.5152733118971061,0.4967845659163987,0.4919614147909968,0.4895498392282958,0.4782958199356913,0.4919614147909968,0.5072347266881029,0.49517684887459806,0.4967845659163987,0.49437299035369775,0.5008038585209004,0.49115755627009644,0.48311897106109325,0.49356913183279744,0.48231511254019294,0.4742765273311897,0.4790996784565916,0.49115755627009644,0.4734726688102894,0.4766881028938907,0.5016077170418006,0.49758842443729906,0.5064308681672026,0.4782958199356913,0.49356913183279744,0.49115755627009644,0.5104501607717041,0.4847266881028939,0.5032154340836013,0.49517684887459806,0.4903536977491961,0.502411575562701,0.4895498392282958,0.5032154340836013,0.4879421221864952,0.49356913183279744,0.5008038585209004,0.4927652733118971,0.4871382636655949,0.4887459807073955,0.5048231511254019,0.5,0.4991961414790997,0.4879421221864952,0.5032154340836013,0.4895498392282958,0.5072347266881029,0.4919614147909968,0.5112540192926045,0.4903536977491961,0.4871382636655949,0.49437299035369775,0.4903536977491961,0.4967845659163987,0.4815112540192926,0.49437299035369775,0.49758842443729906,0.477491961414791,0.4983922829581994,0.4879421221864952,0.5136655948553055,0.4967845659163987,0.5016077170418006,0.49115755627009644,0.5120578778135049,0.4670418006430868,0.4847266881028939,0.4903536977491961,0.4790996784565916,0.4855305466237942,0.48633440514469456,0.4879421221864952,0.4983922829581994,0.5072347266881029,0.4903536977491961,0.502411575562701,0.5008038585209004,0.5032154340836013,0.5016077170418006,0.4694533762057878,0.4766881028938907,0.4967845659163987,0.5016077170418006,0.502411575562701,0.4903536977491961,0.4903536977491961,0.5217041800643086,0.49437299035369775,0.48311897106109325,0.4879421221864952,0.5096463022508039,0.5072347266881029,0.5016077170418006,0.4887459807073955,0.4991961414790997
AUC,0.5056209860969582,0.5113319651174266,0.5060953403855255,0.4923461959359961,0.5077690344796613,0.5059542366398014,0.5134329496569757,0.5054931053984241,0.5100191471794853,0.49429424631076235,0.5022883834587704,0.5154154231971737,0.5044512707000207,0.501321853578932,0.5053601226232637,0.5051585855428283,0.5109832313016311,0.5084164082487269,0.5040150009689149,0.5025875395779228,0.5002033181868121,0.5028554915507027,0.5020191887790134,0.49774423655215005,0.49987571624873506,0.5063516995903211,0.5073705016652368,0.514163875647133,0.5044252595290384,0.5021715300715038,0.4992875735820132,0.5186629290560079,0.5059082360794016,0.5076709417341974,0.5025104191184523,0.5014363315658804,0.5186330743458184,0.5099757495904543,0.5013826962916693,0.5083798735742392,0.5051318335561336,0.5072338795770159,0.5095581743968325,0.5026475131097866,0.5023742443099247,0.5100298936198011,0.5074697361778838,0.509672069742672,0.5062089596271819,0.5098822103110119,0.5097404549594721,0.5076089200128616,0.50265296425141,0.5092694052106416,0.5053814921276163,0.5027033550088695,0.5095571381813262,0.5060435818311162,0.5015028681068564,0.49932769423694673,0.5041630013063786,0.5062771448398489,0.5024898141490697,0.5126719893993977,0.5049890859394611,0.5161477980641216,0.49349650923894683,0.5073492734929445,0.5030968406730449,0.5115247408057639,0.4944518567140706,0.4973947447968023,0.5069208972776977,0.502723906790731,0.502506893755663,0.4979349596753041,0.5007917495725148,0.5127101978662697,0.5172454561221659,0.5034454154046764,0.5068769170296944,0.5078888936148818,0.5083626784955987,0.5032864037980025,0.496039479188372,0.496820598545705,0.5062759036651043,0.5079916729321987,0.5057571624199445,0.5056350036741428,0.507291584082857,0.5104794519171222,0.501483658483229,0.4927550877996499,0.5067090880534598,0.5122008639804424,0.5069949202371188,0.505884212936814,0.5102976644201834,0.5167679630392227
Fscore,0.00022208532171620946,0.00022599504512768102,0.00022956942995284215,0.00021557189132794327,0.00022187692819948524,0.00024200931038201654,0.00022175431364052857,0.00021436599649809072,0.0002183541662950682,0.00021715614662626043,0.0002242366198116108,0.0002294206567339338,0.0002258873679646545,0.00023135019753992472,0.00022345205451631617,0.0002360567228649451,0.000221502765726486,0.000209769820225885,0.00021906816956841416,0.00021200658082810826,0.00021196269148854725,0.00021236934248252323,0.00022139086647351617,0.00021079419732968025,0.00021204602791008393,0.00022822525444682904,0.00022665579260928387,0.00022991939193515092,0.00022113781187906178,0.00021521040829199336,0.00022663425622877553,0.00023032531449484784,0.00021113940566885444,0.00022971536996543136,0.00022849197974295654,0.0002227743807401121,0.00022413599809350084,0.00022234320270070497,0.00023620197751273928,0.0002147706801748273,0.0002191934949468305,0.00022571955551333906,0.00021765756479052818,0.00021737925598006526,0.00022686570153298424,0.00022564478874839244,0.00022649080583461012,0.00022391543644627331,0.0002120808781802787,0.00023305678943445985,0.00022851356766658357,0.00022546468746902814,0.00022588964638536096,0.00023293105061907756,0.0002248441157855878,0.00022046302971114008,0.0002228348319715349,0.00021726386005674835,0.0002316049957318797,0.0002154865635908341,0.0002273097895394681,0.00023118585616795992,0.0002046451345118993,0.00022134993989415797,0.0002150555717171005,0.0002364579974201943,0.00022885067282008256,0.0002311651504519756,0.00022254692601702557,0.00023041235860582596,0.00021230273288359427,0.00021906162189939778,0.0002181231393348367,0.0002108627337889235,0.00021413293434862827,0.00022671855875597814,0.00022064419204946307,0.0002284750018097577,0.00022820296244556063,0.00022268003084259153,0.0002310559736710586,0.00022733482890391772,0.00022952654629990765,0.00023252035413759788,0.00021481013118392251,0.00021635381174736176,0.00023029725334811757,0.0002213293598190575,0.00022213488919738196,0.00022532215974169402,0.00021891459157504932,0.00024270843096054463,0.00023184693175911254,0.00022667668251024072,0.00022321895704535883,0.00023259093714732328,0.0002319333745921895,0.00023215415577722964,0.00021785448636369687,0.00022175192426808471
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.49287547291438605,0.4969096412572372,0.4926155031583663,0.4826766243155536,0.5013747175482826,0.4975658166855083,0.4999302695738835,0.4946840219238137,0.5012369301422216,0.48534449043052824,0.4907765483595105,0.5018077674482992,0.49100868539965575,0.4954121545725245,0.49082440956142587,0.48982589621472344,0.4953250469312732,0.4998771135261678,0.4903738250223125,0.492130101270712,0.48463985285334765,0.49860076327768954,0.5018571244449971,0.49044789455895105,0.49277254045059055,0.4978308122376902,0.5071111287110345,0.5036739162706131,0.49101508117417947,0.49214810016983856,0.50375184399197,0.49751419312550627,0.4934056347723473,0.4953415865461199,0.5013482977673563,0.49024007815659887,0.4975769955200958,0.49882583118671003,0.48877102163883607,0.48821109698528675,0.5045507332519237,0.49432447145451186,0.4971625595681306,0.4900508056544236,0.49646656461186334,0.5048833709247206,0.4985212287938576,0.49664605880861223,0.4879401869784371,0.5062553401718848,0.4993368215235022,0.49835595942221894,0.49742155880911926,0.4969656057993485,0.49370535639118707,0.500075946547195,0.4901533392079111,0.4927249885633349,0.497042493832496,0.48481539487363995,0.5014067853326744,0.4945650148954666,0.48819607664506726,0.49794679865803915,0.5025267263676997,0.5082651972975836,0.49303153684364426,0.5002153170387339,0.5017130457881215,0.49153677554490394,0.4839901033757035,0.4884898942135226,0.4944865889427765,0.49533431420856755,0.4970792431306122,0.48862336592551003,0.49865204756002757,0.4940788494377683,0.5002674008473391,0.4923416127937775,0.48954952140070307,0.4935435518529922,0.5035934745232306,0.4938014432687382,0.4896739042843268,0.49608742514639864,0.48614793235751186,0.4979780665451746,0.49804748830359313,0.500940726185717,0.49823406733827685,0.495484083907213,0.4947171810110061,0.4908366614214822,0.49814565972670777,0.5017519308694172,0.5090462901314565,0.503928519563265,0.5010292999523335,0.4871399156913531
NDCGk,0.18089025974688355,0.18641993960289158,0.18070501958774574,0.18009342401657671,0.17721173504471519,0.17786274864495683,0.1888516058852657,0.1770412981337545,0.18138814388286456,0.18340880962714368,0.17818655845711015,0.180544498797228,0.1750740275135915,0.17504524786742864,0.1793833152260915,0.18027330621199325,0.1829098404067326,0.1773563338264192,0.17853885204890968,0.1758113736483366,0.1845492060793207,0.17848207506418415,0.17818917396637132,0.18100622172760006,0.1833891917271007,0.17847080012739414,0.1825070958912854,0.17710653597842899,0.17577161789822468,0.18213478590630752,0.18197390061301288,0.18316374384129136,0.17834096371176242,0.17572466820088933,0.17654954800942294,0.18243794535985733,0.18074328994049546,0.17568290611119905,0.18220223359254667,0.18048998233430955,0.17944134727335947,0.17905255558937797,0.17985313472701886,0.18186972857437236,0.18325811119895247,0.17992034495080392,0.17797554710867997,0.18121741195869553,0.17828461547181054,0.18016818670082088,0.17680413573602263,0.17867524325764467,0.18097543414097716,0.18325398096234916,0.1792694613878674,0.17609090199899824,0.17921406850055904,0.1822096436084251,0.17922705973679412,0.17730660705099793,0.17633039866911,0.17752692663274874,0.18022765047493525,0.1815979305007076,0.1819473047445784,0.1819665398813083,0.17770358135437075,0.18225549588219192,0.18015801276485008,0.18009711084590319,0.1796818834436703,0.17266468424574152,0.17731930490915945,0.17552450667221312,0.18331416409666149,0.18015104755176825,0.18283801827878715,0.18442411303666817,0.18400252062989525,0.17990705433466303,0.17919432283030443,0.17541855042872467,0.18463232279217842,0.1834470591877686,0.1820618260752172,0.17671237985409327,0.1866197877239592,0.1855714048079467,0.18007541439665378,0.17592702394155346,0.1801642429822424,0.17931048088006615,0.18302072231999156,0.17637705525682495,0.18317276502959304,0.18280388665617597,0.18187984641246935,0.17968923220248603,0.17920078843152834,0.18154511544366023
global AUC,0.4952984517866179,0.4909662584517691,0.49616262986579507,0.474822346005258,0.501200552294695,0.5111087255902368,0.4960259647356039,0.4894560710277313,0.48933941255154356,0.4795582636730389,0.4902842265166142,0.5047686322665709,0.4944100876586007,0.4956387717616271,0.4934337710013197,0.49932762474676606,0.4898281791673705,0.4851440833422902,0.4912072635056033,0.4792570091982963,0.47800862209351314,0.4787515559579638,0.48981389228003674,0.4744713854266068,0.47652146163150383,0.5021395177602663,0.49627510698175953,0.5046892311348774,0.4809807889536989,0.4913130872962115,0.4920342427105408,0.5103514345758773,0.4882130897190911,0.49912583308854813,0.4959130783278572,0.48928177070745105,0.5034538681564675,0.4891992465762771,0.5016213848275813,0.4863636328192401,0.49223500254073643,0.4967878070942344,0.49536942632279696,0.4830527880646405,0.4904730195984859,0.5032097066915788,0.49701332834022904,0.49825585073107287,0.48788423728418173,0.5033575047547827,0.4911022111292782,0.5025768772299883,0.49069800036313566,0.5079007958539161,0.4902010400501191,0.4867467903629568,0.4922211804673593,0.490983081179304,0.4972728438974346,0.48158761585778376,0.4944083261807629,0.4975989290678577,0.47596977021211073,0.49668191451509136,0.4872169914445847,0.5108137952385766,0.49408537088867366,0.499884913587506,0.4897013837178848,0.5066685195153326,0.46817076935172286,0.4862083967500363,0.4893037766510841,0.4803206858207487,0.48575830501386735,0.48715142221320185,0.48829179559523633,0.49628061940013135,0.5068620442657061,0.4905802358655774,0.5015390552696917,0.49873575492688266,0.5027705253083777,0.5010699646315543,0.46905738575960904,0.47800462597098725,0.4924317343108723,0.4990844017540308,0.5011947214836763,0.4898037965798598,0.49013001490523245,0.5178957336024564,0.49429881090256866,0.483874267134873,0.4901825339688681,0.5087794077330835,0.5060544894689595,0.5016867088769724,0.49056777187441614,0.4975976019404825
global NDCG,0.4638264259877681,0.4641472159475286,0.463926778019106,0.4620594918238571,0.46444723905168783,0.465159971980543,0.4638606416931586,0.46240415258999373,0.4638251924102574,0.46183498379874593,0.46296555476867,0.4656377223369372,0.4630396398409542,0.4640813759620363,0.4643914994852677,0.4652951599053059,0.46542775961170396,0.4634971436890518,0.4631604105418996,0.4617139878783012,0.46236413817272765,0.46275916550734814,0.46310360230213055,0.46116694189213375,0.46169421829003426,0.4669737956472837,0.4642251674684265,0.4655253148600279,0.462311137796706,0.46483740571934545,0.4640041872206886,0.4657242440692139,0.4643921086432717,0.46463455845287144,0.46380196775208604,0.46393586986856655,0.4667919654043236,0.4622986911783159,0.4641460456152512,0.4624052907276259,0.4633146245391801,0.4637871829304912,0.4650680389631168,0.4624726053734006,0.4636643227763436,0.46547377827246333,0.46265601158753494,0.46471396331874065,0.4629392526138757,0.46561817385551973,0.4644493061541434,0.46482244229188,0.4646473349527766,0.4656749885939678,0.46494135261414277,0.46235103163241825,0.46277665330113327,0.46519954385514783,0.46368239594245725,0.4623852272091734,0.4645750077616855,0.46392183602324505,0.46132274216841723,0.4637231855037456,0.4631716177982486,0.4662417245146898,0.4630778697545196,0.46414351202422083,0.46413445230884876,0.4646978556164383,0.46088600198999885,0.46429627230866843,0.46331665145803463,0.4629058664614322,0.4620798534759987,0.4633215526846145,0.4648726860606995,0.46579334495274965,0.465819163358024,0.46329796214335733,0.46486881107055605,0.4633939960511635,0.46452629948757573,0.4645501751222865,0.4614647500379742,0.4617073372359578,0.4633522449199874,0.464263792665112,0.46417729035095023,0.4625098511501712,0.46299226432711643,0.4658758669637119,0.46514204250078256,0.4619730452421338,0.46431425738098164,0.46520047661260455,0.4653678819137236,0.4662851243544064,0.4635833705505221,0.46454976532607334
