,1_ALSWR,2_ALSWR,3_ALSWR,4_ALSWR,5_ALSWR,6_ALSWR,7_ALSWR,8_ALSWR,9_ALSWR,10_ALSWR,11_ALSWR,12_ALSWR,13_ALSWR,14_ALSWR,15_ALSWR,16_ALSWR,17_ALSWR,18_ALSWR,19_ALSWR,20_ALSWR,21_ALSWR,22_ALSWR,23_ALSWR,24_ALSWR,25_ALSWR,26_ALSWR,27_ALSWR,28_ALSWR,29_ALSWR,30_ALSWR,31_ALSWR,32_ALSWR,33_ALSWR,34_ALSWR,35_ALSWR,36_ALSWR,37_ALSWR,38_ALSWR,39_ALSWR,40_ALSWR,41_ALSWR,42_ALSWR,43_ALSWR,44_ALSWR,45_ALSWR,46_ALSWR,47_ALSWR,48_ALSWR,49_ALSWR,50_ALSWR,51_ALSWR,52_ALSWR,53_ALSWR,54_ALSWR,55_ALSWR,56_ALSWR,57_ALSWR,58_ALSWR,59_ALSWR,60_ALSWR,61_ALSWR,62_ALSWR,63_ALSWR,64_ALSWR,65_ALSWR,66_ALSWR,67_ALSWR,68_ALSWR,69_ALSWR,70_ALSWR,71_ALSWR,72_ALSWR,73_ALSWR,74_ALSWR,75_ALSWR,76_ALSWR,77_ALSWR,78_ALSWR,79_ALSWR,80_ALSWR,81_ALSWR,82_ALSWR,83_ALSWR,84_ALSWR,85_ALSWR,86_ALSWR,87_ALSWR,88_ALSWR,89_ALSWR,90_ALSWR,91_ALSWR,92_ALSWR,93_ALSWR,94_ALSWR,95_ALSWR,96_ALSWR,97_ALSWR,98_ALSWR,99_ALSWR,100_ALSWR
ACC,0.7436974789915967,0.7647058823529411,0.7699579831932774,0.7689075630252101,0.7710084033613446,0.7657563025210085,0.7542016806722689,0.7783613445378151,0.7783613445378151,0.7373949579831933,0.7783613445378151,0.7615546218487395,0.7563025210084033,0.7804621848739496,0.7773109243697479,0.7426470588235294,0.7321428571428571,0.7678571428571429,0.7542016806722689,0.7773109243697479,0.7573529411764706,0.7815126050420168,0.7720588235294118,0.7867647058823529,0.7773109243697479,0.7352941176470589,0.7310924369747899,0.7478991596638656,0.7783613445378151,0.7615546218487395,0.7951680672268907,0.7720588235294118,0.7584033613445378,0.7783613445378151,0.7289915966386554,0.773109243697479,0.7510504201680672,0.7531512605042017,0.7584033613445378,0.7531512605042017,0.7647058823529411,0.7615546218487395,0.7615546218487395,0.7846638655462185,0.7930672268907563,0.8025210084033614,0.75,0.7563025210084033,0.7710084033613446,0.7626050420168067,0.7899159663865546,0.7689075630252101,0.7678571428571429,0.7447478991596639,0.7584033613445378,0.7657563025210085,0.7626050420168067,0.7573529411764706,0.7846638655462185,0.7668067226890757,0.7794117647058824,0.7689075630252101,0.7510504201680672,0.782563025210084,0.7531512605042017,0.7657563025210085,0.7794117647058824,0.7478991596638656,0.782563025210084,0.7563025210084033,0.7552521008403361,0.7531512605042017,0.7573529411764706,0.7647058823529411,0.7489495798319328,0.75,0.7542016806722689,0.7710084033613446,0.7846638655462185,0.7489495798319328,0.7415966386554622,0.7563025210084033,0.7773109243697479,0.7573529411764706,0.7647058823529411,0.7531512605042017,0.7258403361344538,0.7489495798319328,0.7363445378151261,0.7762605042016807,0.7626050420168067,0.7657563025210085,0.7699579831932774,0.7836134453781513,0.7636554621848739,0.7878151260504201,0.7657563025210085,0.7657563025210085,0.7804621848739496,0.7615546218487395
AUC,0.6549551051343152,0.6698196787466604,0.6656948866167945,0.6629735308174115,0.6671638875522503,0.6678542982703543,0.660054327477196,0.6657525862969957,0.6664261513777029,0.6384240594801117,0.6673865757028332,0.6578198302670069,0.6607212627887977,0.673843123238606,0.6594088764214746,0.6625630031793588,0.6600842466573309,0.6688499601292199,0.6571147094653563,0.659365089594502,0.6623694480066336,0.6636299151769613,0.6752971503798426,0.6742647410123515,0.6694677034465144,0.6589259674824672,0.6565865080335039,0.6476940622437815,0.6609611551770309,0.6699802202027064,0.6741547042531711,0.6735807788787933,0.6567853272223071,0.658563177619874,0.6515612955206946,0.66661241714128,0.6576853554448112,0.6671370986042345,0.6633765747849961,0.6602815029609427,0.6596871626604741,0.6633192316879344,0.6638396883779808,0.6777097721764543,0.6653182158591051,0.6795780697562344,0.6470393039502187,0.6709414904347228,0.6559951719584699,0.6562848757434459,0.6735596137557515,0.6702224660996305,0.6657662719942727,0.6575031702761268,0.6644596609589404,0.6624724940830954,0.662078805842678,0.6558280618640644,0.6709742109202336,0.6627207895384433,0.66686530588038,0.6744475736709526,0.6631618050617404,0.6778686673413507,0.6501211103145509,0.6754392713464948,0.6626972923727436,0.6608773373487447,0.6657235387271867,0.6644782550998418,0.6581836840207081,0.6676737344808591,0.6739920715258453,0.6617311943646693,0.6551711940046725,0.6549300554482368,0.6462189959326172,0.6669365566476178,0.6725148031455229,0.6495797886155535,0.6583468071054009,0.6573936208976209,0.6576696329882391,0.65795624129311,0.661187784111302,0.6504662570754001,0.6602709606425086,0.6597958506902564,0.6491137629372102,0.6528776365645129,0.6676210383911276,0.6588421011531268,0.6610926321735716,0.6733324108349354,0.6608638917777973,0.6791878760883215,0.6633501515459547,0.661072995893866,0.6683015933001792,0.6644639527921602
Fscore,0.0004755206957201727,0.0005221220013106248,0.00048742331683551064,0.0005591410099235795,0.0005275773940539644,0.00048527847645898025,0.000521792670571841,0.00050777904596991,0.00047704174316737843,0.0004589565215221069,0.0005074521216368414,0.0005001119385270328,0.0005439041252028502,0.0005290422201428982,0.0005520710665720599,0.00046678432454481115,0.00047776134484541307,0.0005042839563937459,0.00046454437669318376,0.0005688212385225422,0.0005266936326801718,0.0005016953215169334,0.00048091258052717267,0.0005175898176084878,0.00046919923513029935,0.000514353089253708,0.00048309276700947743,0.0005061521382507118,0.0005661531924248585,0.0004804083634445138,0.0005460330391112515,0.0005681067584823389,0.0004761380246266181,0.0005690541516167194,0.0004591429545797486,0.0005361186164866264,0.0004961938985570762,0.0005017505986162109,0.0005013123088069497,0.0005167504362677204,0.0005560481800721561,0.0005446355967125107,0.0005669211981615252,0.0005469549162666371,0.0005121237669484482,0.0005556037904576555,0.0004461781158788326,0.0004759641882729974,0.0004912798547085736,0.0005069565195687884,0.0005365447632666385,0.0004906709952614152,0.00048019363139943725,0.0004743812070061962,0.0005126114189881468,0.0005138159185387208,0.0005172459773249388,0.0004688821213875361,0.000457455894251785,0.0005696512569401738,0.00051500716941307,0.0005258438660145701,0.00045859381978705424,0.0005371370790785431,0.0004539290317202706,0.0004921406502702249,0.0004987883300102787,0.0004917397158362789,0.0005330638054626684,0.0005029242977792269,0.0005372921386802414,0.0005485772410237738,0.0004950223714373911,0.0005533969206312344,0.000500322810639622,0.00046695918561260474,0.0004733784161927291,0.0005714017856040643,0.0005276145874274625,0.000512455944211228,0.0005274683704770494,0.0005195774142540044,0.0005121561833508854,0.00048803435356390443,0.0005418839044784986,0.00048678915642936415,0.00046731402377866874,0.0005102497006852903,0.0005395040641457227,0.0005629982175333868,0.0005095111225869518,0.0005030546713878016,0.0005342145617325497,0.0005401072506166089,0.0004932444611091292,0.0005824052417977447,0.0005069461067496747,0.0004709655142744293,0.0005210275203728137,0.0004944502012407373
HR@10,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.001081081081081081,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.001081081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.6722640844368254,0.7010530558789324,0.6956204272440307,0.6905648654130413,0.7211435692351158,0.7053470734768834,0.6884921991424855,0.7018326237209613,0.6959482014053395,0.6916992585847308,0.7091056007437814,0.702944097229058,0.6806314796273832,0.7226856404756271,0.7133110802865039,0.6969430921141291,0.6836395476288522,0.696832147030486,0.6948090762043148,0.7163624932362681,0.7055250393755321,0.7028059391406135,0.6919365938377618,0.7099777473822527,0.6934904170300003,0.6830945482417912,0.6642708246900024,0.6832032650527649,0.7107999341806518,0.7059675267948156,0.7142340659568219,0.7039913467709507,0.6829686578914043,0.7080793271849526,0.6662013466986065,0.6962488520814001,0.6999122236348737,0.6947634334906457,0.6880813053299126,0.6879880215300151,0.6907275424589678,0.7078006742659442,0.6886887674195032,0.7206012647244142,0.7139095547601374,0.7291159315582519,0.6679018971351511,0.7049611488829075,0.7224610074787732,0.7069769654258973,0.7268083384160828,0.7095472182061476,0.6941359049024838,0.6920583565947867,0.6853071362064481,0.7002260628652694,0.7231240959565386,0.7091961061419696,0.7228658766236821,0.692514096546774,0.702785221256649,0.693456075808133,0.7019631012687377,0.7058145551894549,0.6821515481777711,0.6839797354052645,0.7045972591594747,0.6900710960145361,0.7192244838308954,0.6942775633078246,0.6831941301431101,0.6929384239884093,0.6731843098236013,0.6948762275385216,0.6713472670411665,0.6857617609963776,0.6768031619458299,0.6947226912803389,0.7020875544799485,0.6877043995353225,0.6744332703641531,0.674612398693728,0.7079315172251176,0.711897807740087,0.7113367083819113,0.6867590279846625,0.6781017386096819,0.6912602734791028,0.6655144049531081,0.712002302281049,0.680810224751261,0.6877982659083773,0.6953499835830234,0.7154714625175758,0.6867821398622994,0.719660505986994,0.703463351799239,0.724728627216609,0.7122161438238801,0.6957037930359071
NDCGk,0.2189005523598776,0.21923383049430084,0.22731394385454512,0.21487197884208611,0.2224027802940553,0.21614122539158073,0.2204780235062697,0.21531337687191818,0.21277788362393157,0.2075670121036358,0.21895086791494797,0.22115048613987984,0.21505946423857839,0.22563958963323924,0.21813815855133084,0.21581531166267973,0.22055416069921346,0.22044303715046065,0.2145068108409748,0.21622575936184585,0.22337786383701452,0.22279015827453805,0.2239735601980158,0.220149885528968,0.21977618727734904,0.21503824486229245,0.22343002397556552,0.20977666802196038,0.22343758606221134,0.21341443564365117,0.22246780642749558,0.228987529710483,0.2133706669189335,0.21915685639613225,0.21910228868021375,0.21737062686000577,0.22126774734995922,0.21846360667045556,0.2074617711852605,0.22593530365826417,0.22958228007971448,0.218520750691563,0.22682465960112227,0.2185868258073328,0.21954072010905737,0.22196918724650372,0.21610707748729924,0.22555880873818449,0.22052488606302378,0.21834358368539025,0.21240666608910883,0.22430027253793616,0.21110402835978367,0.2235968113027754,0.2211609525991613,0.22278278801747647,0.21491873052508698,0.21064181926349998,0.2207080108264537,0.22641256676752933,0.21516843905227045,0.23100192250524287,0.21890627063274873,0.22150046349989896,0.22464023078289688,0.21502425927065155,0.2151331151323377,0.22140640080627028,0.21866389489986812,0.2150998373521905,0.2214080928549175,0.21997262682304272,0.21867098819451714,0.22142805965526313,0.2199051025652663,0.21474744807460125,0.21228172319835018,0.22709458059163887,0.21699188789506205,0.21940050541593517,0.21356008509150196,0.2146274580073682,0.21237720703318716,0.21681482429176524,0.2256246845062934,0.21838538943878735,0.2193401556430908,0.21805710827792615,0.20994208002403197,0.22486173247732844,0.2241806973445459,0.22117964958413786,0.22659391171755525,0.21299074316615907,0.22303828517691787,0.22042973389255552,0.22081200520642014,0.21768087784230086,0.22563340733496096,0.22579250456691033
global AUC,0.7560716312596272,0.7785849115162442,0.7812697452992562,0.7792450484388433,0.788437143329442,0.7761603123514619,0.7650942203425409,0.788140988750703,0.7939077842482384,0.747616419043327,0.7833491475941881,0.7733316252995074,0.7641214340666034,0.7945814740943564,0.7910336497382863,0.759152875471819,0.7468365411399845,0.7776599649828658,0.7688279894548204,0.7886955997499265,0.766681637511461,0.7958852668926786,0.7797453722415142,0.7982679461667335,0.7843428874092182,0.7530214551729777,0.7482123738264944,0.7613879158284651,0.7875043857215662,0.773086799592973,0.804247738271806,0.7808116264663637,0.7655250772899413,0.7886204111796291,0.7439895925554553,0.7845704230483898,0.7653273669597724,0.7680953271402234,0.7710236966813802,0.7667872009572796,0.7786954800899393,0.7752221565452352,0.7751824092954988,0.7971443887645449,0.8012479621480912,0.8109000501633885,0.7599654248987724,0.768886959635346,0.7869867512599475,0.7742894506451172,0.7988692922843903,0.7789451960690666,0.7719211246208432,0.758456126711461,0.7688482511166648,0.7757836268301483,0.7743935360727386,0.7716752368461244,0.796056710139697,0.7767151956171954,0.7902762569303552,0.7827935870941097,0.7621226368439508,0.7862025267018516,0.7657191360457407,0.7771415736661087,0.7896883342380284,0.7636997234435763,0.7907449831749591,0.771441118763681,0.7635459743165738,0.7701114199213289,0.7713659182960237,0.774971886881273,0.7629757580992138,0.7660747376145908,0.7616227221274311,0.7801838114680255,0.7931519962111486,0.7552743969382598,0.7578141877163189,0.7661237890575177,0.785912488738977,0.7712536200292059,0.7751532081403111,0.7656343865738289,0.7412085663280681,0.7617428140802971,0.7475268561740722,0.7927194685998346,0.7708898101970674,0.7761884445746037,0.779485810739312,0.7982868158374453,0.7746961152259327,0.801224824528238,0.772286079345096,0.7774137477427905,0.7846126618798859,0.7672865391094257
global NDCG,0.6799985527562863,0.7030432382170212,0.6845940148396389,0.682192357526864,0.6767006446909769,0.7295017911172753,0.7017552097585992,0.6923599600034251,0.7014425346758264,0.6847720690980443,0.6830734217290192,0.713596564223919,0.6433455096216785,0.6968390154189873,0.704124133777201,0.6726997939273358,0.7010287193514653,0.7060400081599382,0.6845867980404619,0.7035224223347951,0.6879795846711332,0.7071760319785904,0.6675192351496514,0.676513404065358,0.6847619386932633,0.6775271079771649,0.649704755044895,0.6863878572514891,0.6779762274907377,0.6920903979217585,0.6709572623811886,0.6993183061988772,0.6797446254867353,0.6956018573158844,0.6671476126365766,0.6840485666447653,0.7088680562378731,0.7136044284833462,0.7016293402259525,0.6904133116795329,0.7261251437843509,0.6808911824617545,0.7143514062719823,0.6790507193363883,0.7198787501575988,0.6710913808562389,0.67748847401754,0.6718679698032091,0.6693365079406673,0.7045591702626866,0.7022186497140694,0.6767631435533973,0.6950430645547176,0.6362525960845887,0.7018674158213682,0.697447757134819,0.6934243802296298,0.6826331182731918,0.7017752117025028,0.6756484138697266,0.694002371472458,0.7205379470610075,0.6688686092015015,0.7086865374689886,0.6856174378183394,0.7139700626445425,0.7101656961049104,0.683630674831502,0.6993889967346961,0.6702968493489867,0.7067520903647848,0.6824273038610472,0.6825053376450945,0.6981030888685219,0.7026617738538282,0.717217160209458,0.6763769682921131,0.6972297479800913,0.6669759236658362,0.6765437596429974,0.670555101395936,0.689758362314081,0.6935835897760484,0.6819724079776399,0.6866238868964744,0.6591379530310764,0.6847675505039367,0.6692384646950842,0.6527273662623623,0.7212083058248712,0.671533067553629,0.6702247876631487,0.711254112230187,0.7198045769560656,0.6597872285321124,0.7333272005434474,0.6900420313192579,0.6891580650755463,0.689403305651438,0.6852150975776368
