,1_BNNR,2_BNNR,3_BNNR,4_BNNR,5_BNNR,6_BNNR,7_BNNR,8_BNNR,9_BNNR,10_BNNR,11_BNNR,12_BNNR,13_BNNR,14_BNNR,15_BNNR,16_BNNR,17_BNNR,18_BNNR,19_BNNR,20_BNNR,21_BNNR,22_BNNR,23_BNNR,24_BNNR,25_BNNR,26_BNNR,27_BNNR,28_BNNR,29_BNNR,30_BNNR,31_BNNR,32_BNNR,33_BNNR,34_BNNR,35_BNNR,36_BNNR,37_BNNR,38_BNNR,39_BNNR,40_BNNR,41_BNNR,42_BNNR,43_BNNR,44_BNNR,45_BNNR,46_BNNR,47_BNNR,48_BNNR,49_BNNR,50_BNNR,51_BNNR,52_BNNR,53_BNNR,54_BNNR,55_BNNR,56_BNNR,57_BNNR,58_BNNR,59_BNNR,60_BNNR,61_BNNR,62_BNNR,63_BNNR,64_BNNR,65_BNNR,66_BNNR,67_BNNR,68_BNNR,69_BNNR,70_BNNR,71_BNNR,72_BNNR,73_BNNR,74_BNNR,75_BNNR,76_BNNR,77_BNNR,78_BNNR,79_BNNR,80_BNNR,81_BNNR,82_BNNR,83_BNNR,84_BNNR,85_BNNR,86_BNNR,87_BNNR,88_BNNR,89_BNNR,90_BNNR,91_BNNR,92_BNNR,93_BNNR,94_BNNR,95_BNNR,96_BNNR,97_BNNR,98_BNNR,99_BNNR,100_BNNR
ACC,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849,0.9716386554621849
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0002661786633384738,0.00027679939670664246,0.0002672564878418713,0.00029596176745510134,0.00029072170962170414,0.00026280112407546757,0.00028355944679742253,0.00027826747213395716,0.0002635138876293789,0.0002610536577216078,0.00027928237216543947,0.00028298093783254,0.000313302930525623,0.00026884572518255363,0.0002965009004340318,0.0002501213483546551,0.00026299388803867736,0.0002787631957728021,0.0002516021392225733,0.00030804398810869223,0.00027794374867519894,0.0002644627337940526,0.00027578993757164464,0.0002746848702319118,0.0002564903837509192,0.00028776928303248943,0.00027589625915238,0.00029405661385758326,0.0003202734751818321,0.00026729246876488534,0.00027556090376689677,0.000300278996609343,0.0002584860388506114,0.0003086254114268534,0.0002544734663576354,0.0002985685438320206,0.0002749122255312645,0.0002799820730053379,0.00028269192930700034,0.00028877949788975744,0.00029895343960931967,0.00029814722135519737,0.0002969273408093965,0.00028549580292046246,0.00027741081784324556,0.0002889173929541737,0.00025349241575824794,0.00026170711539369825,0.0002635407402007805,0.0002911377342137862,0.00029132770649691747,0.000265262013396795,0.0002662504807651346,0.0002592114212096228,0.00027723466495421843,0.0002816551076933194,0.0002882403240822291,0.0002533508947560559,0.00025159720432422794,0.0003123177714082149,0.00028376829525820905,0.0002840227191339441,0.0002519496349603093,0.00028890967869457304,0.00025400169619338236,0.00027552807350661495,0.0002593293025357836,0.0002647199605980059,0.00027754542867613915,0.0002797084916553362,0.0002993709722218245,0.0002816757230846188,0.0002667227919648576,0.00030291799232026577,0.0002726587570325743,0.0002512828251477245,0.0002782160736077364,0.00033702805421966165,0.0002956661611142556,0.0002652796805927651,0.0002970744249496795,0.00028708108872078323,0.00029347139237604703,0.0002666603727974576,0.0002928560402630262,0.0002698157290118711,0.00026591984817313507,0.0002746367280331781,0.00030269920524301434,0.0003195868975692597,0.0002771547550915647,0.0002878820916174001,0.00029924249586655395,0.0002870044118326111,0.0002685846457790121,0.0003267492436471312,0.00028479904859840603,0.00026628762437830815,0.0002765520015921534,0.0002714552193850414
HR@10,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.00972972972972973,0.010810810810810811,0.00972972972972973,0.010810810810810811,0.010810810810810811,0.00972972972972973,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.008648648648648649,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.00972972972972973,0.00972972972972973,0.008648648648648649,0.00972972972972973,0.010810810810810811,0.010810810810810811,0.008648648648648649,0.010810810810810811,0.010810810810810811,0.008648648648648649,0.0075675675675675675,0.00972972972972973,0.010810810810810811,0.00972972972972973,0.00972972972972973,0.010810810810810811,0.010810810810810811,0.00972972972972973,0.010810810810810811,0.008648648648648649,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.00972972972972973,0.010810810810810811,0.010810810810810811,0.00972972972972973,0.00972972972972973,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.00972972972972973,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.00972972972972973,0.00972972972972973,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.00972972972972973,0.00972972972972973,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.00972972972972973,0.00972972972972973,0.00972972972972973,0.00972972972972973,0.010810810810810811,0.00972972972972973,0.010810810810810811,0.010810810810810811,0.008648648648648649,0.00972972972972973,0.008648648648648649,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811
HR@2,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.001081081081081081,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.001081081081081081,0.002162162162162162,0.001081081081081081,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.001081081081081081,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.001081081081081081,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.001081081081081081,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.001081081081081081,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162,0.002162162162162162
HR@5,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.004324324324324324,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.004324324324324324,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.004324324324324324,0.005405405405405406,0.004324324324324324,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.004324324324324324,0.005405405405405406,0.005405405405405406,0.003243243243243243,0.005405405405405406,0.004324324324324324,0.005405405405405406,0.004324324324324324,0.004324324324324324,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.004324324324324324,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.004324324324324324,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.004324324324324324,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.004324324324324324,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.004324324324324324,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.004324324324324324,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.004324324324324324,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.005405405405405406
Lin's AUC,0.8546719277345174,0.8655034514634584,0.8650584786249959,0.8536040007421779,0.8791388293878106,0.856204739984784,0.8514173281350211,0.8582903368487188,0.8696614136058121,0.8639117333664352,0.854814482685442,0.8600601490722085,0.8641134035324203,0.8684981378850859,0.867138055473982,0.8742382677478324,0.8530609515643848,0.8670010431666337,0.8581039085150726,0.8576579923900399,0.8667394606358865,0.8718995972787686,0.8666178540451117,0.8660935465463943,0.8540338389580998,0.8581285968467086,0.8660236150263599,0.8586286117127488,0.871808099934704,0.8647610503471613,0.8681472039132556,0.8560078632682067,0.8556478458825634,0.8481754560847915,0.8575095261408212,0.8679192945730562,0.8530982649424185,0.8568989816544484,0.8487121711783122,0.8613011176373999,0.8626504425469461,0.8713880331301058,0.8617385128897602,0.8542955780727403,0.8727651466020644,0.8786329215293192,0.8631290078980013,0.8755964085278373,0.8620997403275917,0.8521044851440712,0.868795165414495,0.8683346733928574,0.8704047296945638,0.8357542111988154,0.8616312284916862,0.8751872767882038,0.8561576381457363,0.8615895551348933,0.86616722937088,0.8465089307717995,0.8686501133560182,0.8704320909875922,0.8563076665589532,0.8440091456757232,0.8694359400033106,0.8537331022521265,0.8564199745458881,0.8683826885611762,0.8672162539841715,0.8589478152298213,0.8477363412659644,0.8540831721310195,0.8554398822580342,0.8608705085604418,0.8510748447630265,0.8647453107292539,0.8483314343069577,0.8794332781412307,0.8597180780875983,0.8624022673220133,0.8614484455077345,0.8538181688861656,0.8630994712859762,0.8684840104959218,0.8805458730093825,0.8591768146717623,0.8558468866922359,0.8588684700120691,0.8559261843309544,0.8643521793453156,0.8628233456629663,0.8596129510044589,0.8743065876624886,0.8708390699720604,0.8638656534587834,0.8731054422015214,0.846325233453743,0.8604878886784219,0.8498161936488674,0.8394787774370528
NDCGk,0.18369290119249615,0.18404166552173437,0.18651987039344042,0.19106805458203713,0.18411422658370816,0.1827205531320171,0.18344497042073338,0.18711692476608566,0.18559140220437942,0.18236108615779106,0.18785564686327075,0.18372222869273727,0.18325908380598507,0.1875239899404874,0.18640852741763966,0.1849698180479271,0.18239454705837935,0.18430390444810113,0.18606785338609882,0.1835422531892027,0.18961019465222828,0.17988673589373524,0.1898559692668329,0.18246328304163947,0.1882919794881369,0.19033549897854204,0.18545350357360346,0.18560051223684992,0.1833154297613379,0.1851810354800926,0.1860205514208155,0.18612291716824916,0.18549730496800104,0.17895117832349353,0.1784038675963091,0.1861331286538855,0.1868809361900798,0.18405351172446147,0.1816192477831873,0.18864536259237627,0.19329282014973717,0.1846852452409346,0.18784557472751473,0.18078813375078265,0.19003583800975457,0.1831833439075291,0.18567093447220293,0.1842443509671606,0.1869450785089494,0.18459637571884674,0.1815781791955431,0.18349101070022647,0.18282357757841394,0.19389988577635542,0.18171575825133005,0.18777651684791777,0.1858153020919795,0.18314981340477632,0.17789554713582298,0.18995953272408364,0.18498876525053004,0.18320535133057148,0.18609423347769993,0.18803793526332316,0.18531007875793154,0.1810735403337784,0.18814203541368457,0.18790916399092308,0.1809569148670748,0.18588683201275602,0.18153085510065242,0.18767353775669188,0.1855041828130446,0.1875763558277224,0.18415346148959352,0.18403869495193448,0.17815561765006277,0.18754641198869032,0.1950741859433337,0.18935901006261913,0.18126589828615497,0.18305507497303244,0.17601800352343328,0.1894008467228977,0.18449563948948056,0.18930318175715047,0.1923247238818028,0.1820809414513455,0.18761617446050757,0.18388201995154888,0.1863633638015002,0.1791499865667659,0.1927521695451323,0.17965874498228793,0.18425334276566882,0.18454667751581647,0.18752085008322686,0.19154484523760756,0.1788099347790405,0.18524014839065972
global AUC,0.9773085165078731,0.9780934388918981,0.9800342053678829,0.9774759672753959,0.9805846687643389,0.9781369159640265,0.9768655768761078,0.9790865243521227,0.9813254240293497,0.9789663093073391,0.9773846788313361,0.9793911297172602,0.9786830688553994,0.9791979765336013,0.9804187710599003,0.9798487291846246,0.9766777541673649,0.9790283709711277,0.9772863595050468,0.9782537937993018,0.979669988737547,0.979838429273912,0.9792991590053578,0.9790023779848502,0.9789163637320416,0.978416618324108,0.9793409860051583,0.9781425736163457,0.9793482896114882,0.978245487153997,0.9798476218149538,0.9781973142853546,0.9771805118953582,0.9777634884890181,0.9774208664824483,0.9793715279013114,0.9778411411856291,0.975650552569458,0.9763569766291231,0.9790699005369256,0.9799052974711817,0.9793652840752117,0.979140893915015,0.9769776390260866,0.9803665389035094,0.9804900746845341,0.9782623123091345,0.9786297787491413,0.9783470004638826,0.976363849184945,0.9785214537430067,0.9777128199202991,0.9782441816475212,0.9748040581437715,0.9788601134710719,0.9804854305957776,0.9765209204209606,0.9778589446698397,0.9793657828491547,0.9781237863119728,0.9805868221865174,0.9803437755929089,0.9780008101644638,0.9774807747240584,0.980339890647245,0.9778336797104823,0.9788382049400354,0.9782953672938139,0.9784906148704418,0.9789881267778118,0.9755625505423309,0.977862535842227,0.9782624138942861,0.9791892548534652,0.9778699794713339,0.9791758071758241,0.9776925221087841,0.9815631712642147,0.9783268646395015,0.9780736393967352,0.9782751825072199,0.9781417824418988,0.978964598833029,0.9776460510202273,0.9810237211624865,0.9771042754421899,0.9763452979974113,0.978125032331648,0.9777732690342031,0.9802799572381421,0.9788464402011797,0.9791506241252151,0.9805819177286109,0.9809148273710209,0.979693727631676,0.9814457877911349,0.9751120377832703,0.978118636127821,0.9762668733451657,0.9753171656598716
global NDCG,0.8544504891637842,0.8555073544312776,0.8636694272837978,0.8557426441151857,0.866419068258347,0.8524391055414976,0.8500421724696422,0.8593328951216611,0.8643081910009369,0.8545912505071529,0.8475164322444628,0.8624390123688717,0.859306870880121,0.8570243806873765,0.8616480134677388,0.8600801795344314,0.8473117635195716,0.8566024018358946,0.8514657567534449,0.8581471952307961,0.8543185668315717,0.8560685253800209,0.852845842729521,0.8556716876429679,0.8489000867221972,0.8592023095351419,0.8539807863349173,0.8576424466975893,0.8537253450935441,0.8532972790015626,0.8651950978685083,0.8468884637480248,0.84903554812962,0.8511372322284809,0.8510286643026588,0.8491046740434001,0.8475417089220646,0.8455860628493977,0.8471866866725418,0.8506044602890599,0.8612192969529754,0.8568158121545469,0.8610826658438787,0.8535964849688623,0.8588002435678649,0.85983645422366,0.8548547564527539,0.8566735371752362,0.845838356584408,0.8545498500705357,0.8579770366837689,0.8473762883318268,0.8480922299914685,0.843270542788763,0.856780662105258,0.8640883918652638,0.848448463780537,0.8562473688281486,0.8550161164525177,0.8531589586970556,0.860672380701955,0.8645058197995349,0.8484512970455279,0.8553847915116297,0.8539747356973254,0.8543943973707686,0.8565194484133202,0.8462155578205098,0.8539164283699486,0.8577541586438513,0.8447098854843321,0.8518160303358336,0.8586188621958281,0.8600998530466373,0.8472677298754011,0.8547942201381907,0.8584569479445239,0.8605536768224065,0.8582234786270779,0.8522413312666244,0.8480061541102191,0.8572651006286246,0.8579584166793497,0.8554998610800117,0.8583810026880586,0.8496572952490493,0.8452204810202977,0.8534889847114644,0.8604996024578646,0.8678811236208115,0.8571781259853889,0.8532285221823821,0.863217294860713,0.8699270780488186,0.8566564727667656,0.8593608992195528,0.8527068753881891,0.8496698527101255,0.852870361006581,0.8522827819321678
